"id","uuid:ID","decode","instanceType","code","codeSystemVersion","codeSystem"
"Code_322","4cf047ef-ad0c-44ef-8193-bec440e8aefe","Laboratory Test Fasting Status","Code","C83309","","NCI Thesaurus"
"Code_323","8d5a1d29-a53a-4558-8a60-7763628e0a9f","Molarity Unit","Code","C64567","","NCI Thesaurus"
"Code_324","af62c44e-e426-4f27-93e1-2e6ccfa01839","Biospecimen Type","Code","C70713","","NCI Thesaurus"
"Code_320","3de5f361-75fd-4f9a-84c8-66f4e0bbca79","Potassium Measurement","Code","C64853","","NCI Thesaurus"
"Code_326","5e703830-54ea-4944-bc17-f89be05480c9","Laboratory Test Result","Code","C36292","","NCI Thesaurus"
"Code_327","cc1c1e8a-1f50-4c65-ad10-ba3d5985cf16","Laboratory Test Fasting Status","Code","C83309","","NCI Thesaurus"
"Code_328","f08a6587-832c-4457-a35b-a018dc6ac430","Molarity Unit","Code","C64567","","NCI Thesaurus"
"Code_329","348f5e07-12b0-4c64-acbd-6c3a41c6a36f","Biospecimen Type","Code","C70713","","NCI Thesaurus"
"Code_325","59e81eb2-f816-4756-8d76-fc2932f8adff","Sodium Measurement","Code","C64809","","NCI Thesaurus"
"Code_145","bcf4bf2f-fee8-496a-b7b7-08fd46514858","Adverse Event Verbatim Description","Code","C78541","","NCI Thesaurus"
"Code_146","ead8a19e-b80c-4520-9bb6-58f3c66828c5","Adverse Event Dictionary Derived Term","Code","C83344","","NCI Thesaurus"
"Code_147","b9e7f78f-d2ce-4073-b72b-26122fd7fae4","Adverse Event Category","Code","C83198","","NCI Thesaurus"
"Code_148","49d1b30e-1a34-4992-bf0c-b0c7380b8949","Adverse Event Subcategory","Code","C83212","","NCI Thesaurus"
"Code_149","9152a56c-7132-4a50-823a-9aeace1aebdf","Adverse Event Pre-specified","Code","C87840","","NCI Thesaurus"
"Code_150","0acec7a5-949a-46fd-907e-b526cf19eead","Severity of Adverse Event","Code","C53253","","NCI Thesaurus"
"Code_151","32ea9f61-8a58-41af-a0ca-ec5d7ba33b65","Adverse Event Toxicity Grade","Code","C78605","","NCI Thesaurus"
"Code_152","18b6b4bd-bc51-4842-9220-19cc0fad48f5","Seriousness of Adverse Event","Code","C53252","","NCI Thesaurus"
"Code_153","c544b7db-7cd9-4e45-9a7e-a28cab37949d","Adverse Event Action Taken with Study Treatment","Code","C83013","","NCI Thesaurus"
"Code_154","7930fd11-3a58-4b84-8570-d937b6ad7fd2","Adverse Event Attribution to Product or Procedure","Code","C41358","","NCI Thesaurus"
"Code_155","305ce99f-cabc-47a7-97dd-8d7224e9fc5d","Intermittent","Code","C71325","2023-09-29","http://www.cdisc.org"
"Code_156","2cf45cd4-3fe8-4870-96f4-1dd83066d00b","Adverse Event Pattern","Code","C83208","","NCI Thesaurus"
"Code_157","81d0dbca-ea35-42b4-93ad-7581536cca51","Adverse Event Outcome","Code","C49489","","NCI Thesaurus"
"Code_158","4cc7dc54-bc6a-4ce0-aaff-6eba714a465c","Adverse Event Start Date Time","Code","C83215","","NCI Thesaurus"
"Code_159","b735aded-6f6f-42fc-9dc9-ec101960580d","Adverse Event End Date Time","Code","C83201","","NCI Thesaurus"
"Code_144","159232bb-fd89-485b-88fe-07ba4456a839","Adverse Event","Code","C41331","","NCI Thesaurus"
"Code_161","e6ca269a-08d5-4cb4-9706-afb00be9a7e4","Vital Signs Result","Code","C173522","","NCI Thesaurus"
"Code_162","c1efd525-6314-43b7-a04d-aade263ced24","Pascal","Code","C42547","2023-09-29","http://www.cdisc.org"
"Code_163","7d43cf24-7853-46eb-a457-16d27b1c301b","Unit of Pressure","Code","C49669","","NCI Thesaurus"
"Code_164","4ed9640c-6641-4e28-85cd-835f093b81dc","Vital Signs Location","Code","C83088","","NCI Thesaurus"
"Code_165","0da95f97-6ce4-40b3-b3ee-e4a8d31299a8","Vital Signs Laterality","Code","C123975","","NCI Thesaurus"
"Code_166","c69a182f-b1f0-4f79-96b4-c0ccd5ca611e","Test Method","Code","C82535","","NCI Thesaurus"
"Code_167","a3f9dfe3-642f-40c1-a7ac-7d67c88975a7","Vital Signs Position","Code","C83114","","NCI Thesaurus"
"Code_160","10800689-ef3f-4a9b-b5e2-331b77da357d","Systolic Blood Pressure","Code","C25298","","NCI Thesaurus"
"Code_169","ca1db848-9366-49db-bbbe-8cb8f08007cb","Vital Signs Result","Code","C173522","","NCI Thesaurus"
"Code_170","9a8343cf-9507-48f2-9ce2-acd2502f7e49","Pascal","Code","C42547","2023-09-29","http://www.cdisc.org"
"Code_171","b2a7069f-b671-44ec-9e22-ae40012e0f60","Unit of Pressure","Code","C49669","","NCI Thesaurus"
"Code_172","f2124ee6-65a4-476b-83ec-eda802fcc627","Vital Signs Location","Code","C83088","","NCI Thesaurus"
"Code_173","43127297-2e56-4ee0-9731-ab1e3a7c1cef","Vital Signs Laterality","Code","C123975","","NCI Thesaurus"
"Code_174","08b61edb-0702-49f9-81c2-c15a5353ba79","Test Method","Code","C82535","","NCI Thesaurus"
"Code_175","cb63d139-2f6e-4c9b-a1c9-970a2ef2be9d","Vital Signs Position","Code","C83114","","NCI Thesaurus"
"Code_168","ee6e97c2-5bc1-4494-8be4-e0180fe7661f","Diastolic Blood Pressure","Code","C25299","","NCI Thesaurus"
"Code_177","1ef37ade-7ba2-42f5-bbda-4f1b411c519e","Vital Signs Result","Code","C173522","","NCI Thesaurus"
"Code_178","2c676ccf-883a-45fd-a42d-88a9995a5c64","Kelvin","Code","C42537","2023-09-29","http://www.cdisc.org"
"Code_179","aa2b9a13-71a6-4f3f-aeae-fcfacc99b6cd","Unit of Temperature","Code","C44276","","NCI Thesaurus"
"Code_180","f51a0df6-d970-401e-ad37-5aa42a9b864d","Vital Signs Location","Code","C83088","","NCI Thesaurus"
"Code_176","898dbe92-cf01-4995-bf5e-00bdaa328615","Body Temperature","Code","C174446","","NCI Thesaurus"
"Code_182","1b992b8a-f986-4156-8362-e9ec0bad9c62","Vital Signs Result","Code","C173522","","NCI Thesaurus"
"Code_183","9fc31929-058e-4228-8593-80a9b84cc218","Kilogram","Code","C28252","2023-09-29","http://www.cdisc.org"
"Code_184","013b122a-aa5c-4eb0-94b4-c5778a49eb6e","Gram","Code","C48155","2023-09-29","http://www.cdisc.org"
"Code_185","429bc8c8-e074-4c3e-89ac-d43ccc0a3626","Pound","Code","C48531","2023-09-29","http://www.cdisc.org"
"Code_186","1e893768-6d27-4d8b-9ca1-4439a456d07f","Unit of Weight","Code","C48208","","NCI Thesaurus"
"Code_181","2e68b4eb-d7c0-42a4-b9f4-a207a30a72c3","Body Weight","Code","C81328","","NCI Thesaurus"
"Code_188","3f14f355-f494-49b4-bec7-fbea76726eb6","Vital Signs Result","Code","C173522","","NCI Thesaurus"
"Code_189","5f7ab76c-3a9b-4522-a0af-e83e1704b07d","Centimeter","Code","C49668","2023-09-29","http://www.cdisc.org"
"Code_190","c8ae42e0-08c9-4469-a08a-d9b98cd883f4","Inch","Code","C48500","2023-09-29","http://www.cdisc.org"
"Code_191","86c4d234-e561-4a69-b72b-9c89a59d5e08","Millimeter","Code","C28251","2023-09-29","http://www.cdisc.org"
"Code_192","cd821cb1-7b6d-4823-8966-35e10323de04","Meter","Code","C41139","2023-09-29","http://www.cdisc.org"
"Code_193","b3306abe-1026-4416-8547-986273b3d96b","Unit of Height","Code","C168688","","NCI Thesaurus"
"Code_187","36367eab-c6bb-47a6-a0a4-eb8365ceb565","Body Height","Code","C164634","","NCI Thesaurus"
"Code_195","8f5694f5-dcbe-4b81-89a7-bd1c18982fdd","Laboratory Test Result","Code","C36292","","NCI Thesaurus"
"Code_196","5d9d652b-286c-4899-804d-07634b506ed4","Laboratory Test Fasting Status","Code","C83309","","NCI Thesaurus"
"Code_197","af974e5c-2345-412c-a09f-80beab1b7a0a","Unit of Catalytic Activity Concentration","Code","C67365","","NCI Thesaurus"
"Code_198","e8bfa1cd-1f9d-4f57-83f6-b53409c8d1a2","Biospecimen Type","Code","C70713","","NCI Thesaurus"
"Code_194","6f080ad4-04a5-47fd-80df-b51491da52eb","Alanine Aminotransferase Measurement","Code","C64433","","NCI Thesaurus"
"Code_200","fb48dc99-6204-4e24-a1c9-856a0c58bc53","Laboratory Test Result","Code","C36292","","NCI Thesaurus"
"Code_201","9304e67e-5b22-49c6-ba26-f5f32cc68abb","Laboratory Test Fasting Status","Code","C83309","","NCI Thesaurus"
"Code_202","3046e9e2-e759-4e76-8938-2eb7b4b896ea","Unit of Concentration","Code","C48207","","NCI Thesaurus"
"Code_203","52d8b17c-f27e-4a2b-82aa-824112c6f963","Biospecimen Type","Code","C70713","","NCI Thesaurus"
"Code_199","0236bc5f-7598-41e6-9ed9-848796d454bb","Albumin Measurement","Code","C64431","","NCI Thesaurus"
"Code_205","39ba61ee-00af-4129-8177-642b87e2657d","Laboratory Test Result","Code","C36292","","NCI Thesaurus"
"Code_206","7dccf46d-a6ad-4277-b784-5f8d57b84f0a","Laboratory Test Fasting Status","Code","C83309","","NCI Thesaurus"
"Code_207","ab66e9ec-d3c9-4e6f-a3ab-f5efeb4a5ee2","Unit of Catalytic Activity Concentration","Code","C67365","","NCI Thesaurus"
"Code_208","955cae5b-1043-4961-84d7-cd36fe4cf8d6","Biospecimen Type","Code","C70713","","NCI Thesaurus"
"Code_204","cb1eaf60-d5ee-48e4-951e-b2836ff80a0b","Alkaline Phosphatase Measurement","Code","C64432","","NCI Thesaurus"
"Code_210","6352eb55-ea41-43ad-83b9-c55dfee346ac","Laboratory Test Result","Code","C36292","","NCI Thesaurus"
"Code_211","2fa58e3c-4006-4695-9060-2fe504a129d9","Laboratory Test Fasting Status","Code","C83309","","NCI Thesaurus"
"Code_212","e7be5847-6bde-479d-973f-c9b61855b852","Unit of Catalytic Activity Concentration","Code","C67365","","NCI Thesaurus"
"Code_213","1e7f6e92-1f23-4576-ad5d-7466fb46539a","Biospecimen Type","Code","C70713","","NCI Thesaurus"
"Code_209","c531aa4f-976a-4054-a808-b264050e9286","Aspartate Aminotransferase Measurement","Code","C64467","","NCI Thesaurus"
"Code_215","747381cd-bc46-489c-a5a2-0c1bc3e5f841","Laboratory Test Result","Code","C36292","","NCI Thesaurus"
"Code_216","f313e5cc-31ca-4ec6-93d5-b9f4287e645a","Laboratory Test Fasting Status","Code","C83309","","NCI Thesaurus"
"Code_217","1bbf1c2c-e06a-4e04-b785-6ee09afe85c6","Unit of Concentration","Code","C48207","","NCI Thesaurus"
"Code_218","c09b36c9-7b44-4b2b-aeed-913d4abac55f","Biospecimen Type","Code","C70713","","NCI Thesaurus"
"Code_214","23339093-0395-4746-a5cd-8cfa2cd30388","Creatinine Measurement","Code","C64547","","NCI Thesaurus"
"Code_220","b427442d-db31-4fed-803e-4b9165948fac","Laboratory Test Result","Code","C36292","","NCI Thesaurus"
"Code_221","9cb85c0a-e960-4a01-9adf-9342bbc71b1b","Laboratory Test Fasting Status","Code","C83309","","NCI Thesaurus"
"Code_222","a7fbabbf-7fb8-44a9-bac7-1bd96e4c4176","Molarity Unit","Code","C64567","","NCI Thesaurus"
"Code_223","1254882c-98c8-407d-8322-b7158347f50e","Biospecimen Type","Code","C70713","","NCI Thesaurus"
"Code_219","ac4764de-de96-40dd-ab52-d579074e8935","Potassium Measurement","Code","C64853","","NCI Thesaurus"
"Code_225","63bee918-3627-4046-8c1b-0e4802b797ea","Laboratory Test Result","Code","C36292","","NCI Thesaurus"
"Code_226","0f928aa9-1cb4-420f-b575-d8863a3a99b1","Laboratory Test Fasting Status","Code","C83309","","NCI Thesaurus"
"Code_227","f84ccfb4-0cbc-434f-831f-797450d89e3b","Molarity Unit","Code","C64567","","NCI Thesaurus"
"Code_228","a7d26957-670d-4739-ab54-b95d00049dfc","Biospecimen Type","Code","C70713","","NCI Thesaurus"
"Code_224","54ed9f3f-d0aa-48c2-b3ae-537bdb2cf262","Sodium Measurement","Code","C64809","","NCI Thesaurus"
"Code_230","7f0e6c37-2e35-4792-a3b0-3d4a1c557db3","Vital Signs Result","Code","C173522","","NCI Thesaurus"
"Code_231","e9ac9dcf-bc50-4098-b657-f1b3b684dbaf","Pascal","Code","C42547","2023-09-29","http://www.cdisc.org"
"Code_232","63a5618c-297e-4f82-b745-79c4647dd1f0","Unit of Pressure","Code","C49669","","NCI Thesaurus"
"Code_233","e73737cd-9d70-458e-b3fa-8f1978f5d71e","Vital Signs Location","Code","C83088","","NCI Thesaurus"
"Code_234","8e8c1324-30d4-4ee8-b53e-fda87f1e76cb","Vital Signs Laterality","Code","C123975","","NCI Thesaurus"
"Code_235","024e9126-4bfd-41f8-9eb5-c4d188cdcec7","Test Method","Code","C82535","","NCI Thesaurus"
"Code_236","42f0c2f3-475b-44d7-a5dc-110e24ddec4d","Vital Signs Position","Code","C83114","","NCI Thesaurus"
"Code_229","dcae0cd6-686c-4ade-9ce7-ea35c639f49e","Systolic Blood Pressure","Code","C25298","","NCI Thesaurus"
"Code_238","14ba9a7f-d94c-4ce7-a872-629ecd872100","Vital Signs Result","Code","C173522","","NCI Thesaurus"
"Code_239","9fb407e6-63ed-48f1-bd61-dcabf0bfdb66","Pascal","Code","C42547","2023-09-29","http://www.cdisc.org"
"Code_240","f9e25b3a-2460-44cf-be70-8d68745794be","Unit of Pressure","Code","C49669","","NCI Thesaurus"
"Code_241","d99a2d0c-f977-4229-be09-cf2bc0c2f2e2","Vital Signs Location","Code","C83088","","NCI Thesaurus"
"Code_242","d9de6903-a6e5-4e1b-a35f-a92e7612a28d","Vital Signs Laterality","Code","C123975","","NCI Thesaurus"
"Code_243","85d9f8b5-7b8e-4fbf-acd9-b6414ba8b8d0","Test Method","Code","C82535","","NCI Thesaurus"
"Code_244","271dc3a5-fa61-477b-8c11-6b8449325481","Vital Signs Position","Code","C83114","","NCI Thesaurus"
"Code_237","6491b0f6-af53-4df6-9dce-2e11db531421","Diastolic Blood Pressure","Code","C25299","","NCI Thesaurus"
"Code_246","222d1b5f-9bd4-460a-acfb-177ee6e18464","Vital Signs Result","Code","C173522","","NCI Thesaurus"
