"id","uuid:ID","sectionNumber","instanceType","name","text","sectionTitle"
"NarrativeContent_67","d6ec566a-9af9-4562-866a-7a13bb2fd7f2","8.3.4","NarrativeContent","SECTION 8.3.4","<div></div>","Clinical Laboratory Assessments"
"NarrativeContent_68","65fb95ff-c349-40e4-9312-322ac03ee1b1","8.3.5","NarrativeContent","SECTION 8.3.5","<div></div>","Suicidal Ideation and Behaviour Risk Monitoring"
"NarrativeContent_69","59353cf7-7969-435a-b79d-2218b876c61a","8.4","NarrativeContent","SECTION 8.4","<div></div>","Adverse Events and Serious Adverse Events"
"NarrativeContent_70","0cc6d0ec-bb59-4252-ae39-e038d026973a","8.4.1","NarrativeContent","SECTION 8.4.1","<div></div>","Definitions of AE and SAE"
"NarrativeContent_71","aa747345-4fec-4a0f-8671-51a8f06cba69","8.4.2","NarrativeContent","SECTION 8.4.2","<div></div>","Time Period and Frequency for Collecting AE and SAE Information"
"NarrativeContent_72","0aeed6fa-0aca-466d-858c-858cb2b6ea87","8.4.3","NarrativeContent","SECTION 8.4.3","<div></div>","Identifying AEs and SAEs"
"NarrativeContent_73","ff50dc1b-3ef5-4af2-aa6f-5537b5fe1dea","8.4.4","NarrativeContent","SECTION 8.4.4","<div></div>","Recording of AEs and SAEs"
"NarrativeContent_74","fea09cd4-07b1-4a54-b752-c581991d7c5b","8.4.5","NarrativeContent","SECTION 8.4.5","<div></div>","Follow-up of AEs and SAEs"
"NarrativeContent_75","8194c105-758e-4437-9fc5-84a14ca5bd35","8.4.6","NarrativeContent","SECTION 8.4.6","<div></div>","Reporting of SAEs"
"NarrativeContent_76","2e45df39-b435-4c85-b897-7089730c0a98","8.4.7","NarrativeContent","SECTION 8.4.7","<div></div>","Regulatory Reporting Requirements for SAEs"
"NarrativeContent_77","0edcca24-fe7c-4b2a-809d-51487921ef25","8.4.8","NarrativeContent","SECTION 8.4.8","<div></div>","Serious and Unexpected Adverse Reaction Reporting"
"NarrativeContent_78","85bee116-b7c7-4e61-af5c-f54071a48a7b","8.4.9","NarrativeContent","SECTION 8.4.9","<div></div>","Adverse Events of Special Interest"
"NarrativeContent_79","e68f910e-91d9-4d5e-8c55-2ff951c47b78","8.4.10","NarrativeContent","SECTION 8.4.10","<div></div>","Disease-related Events or Outcomes Not Qualifying as AEs or SAEs"
"NarrativeContent_80","ae34c053-dece-43fc-966d-74845694df7c","8.5","NarrativeContent","SECTION 8.5","<div></div>","Pregnancy and Postpartum Information"
"NarrativeContent_81","58ad3e5a-1c82-4ab3-b02a-cf52169fa549","8.5.1","NarrativeContent","SECTION 8.5.1","<div></div>","Participants Who Become Pregnant During the Trial"
"NarrativeContent_82","e7e350f2-f3a4-4622-b7a7-ff6d1bfa909c","8.5.2","NarrativeContent","SECTION 8.5.2","<div></div>","Participants Whose Partners Become Pregnant"
"NarrativeContent_83","fe3787e2-b724-4a9f-840b-57f15f8c31bc","8.6","NarrativeContent","SECTION 8.6","<div></div>","Medical Device Product Complaints for Drug/Device Combination Products"
"NarrativeContent_84","06bb21d2-c6bf-4c53-91c1-82f75f86c933","8.6.1","NarrativeContent","SECTION 8.6.1","<div></div>","Definition of Medical Device Product Complaints"
"NarrativeContent_85","12de7f5e-71cc-4099-9509-3cd9580ce089","8.6.2","NarrativeContent","SECTION 8.6.2","<div></div>","Recording of Medical Device Product Complaints"
"NarrativeContent_86","2d360f46-6039-40f1-a790-08b574f78c2f","8.6.3","NarrativeContent","SECTION 8.6.3","<div></div>","Time Period and Frequency for Collecting Medical Device Product Complaints ."
"NarrativeContent_87","a42557a3-f919-44d4-b690-59c1265a91f7","8.6.4","NarrativeContent","SECTION 8.6.4","<div></div>","Follow-Up of Medical Device Product Complaints"
"NarrativeContent_88","0e143f4d-e0a8-4384-a60a-f6d7026ab53c","8.6.5","NarrativeContent","SECTION 8.6.5","<div></div>","Regulatory Reporting Requirements for Medical Device Product Complaints"
"NarrativeContent_89","9809c6d3-0737-4f20-88ec-1c2cf1caa69a","8.7","NarrativeContent","SECTION 8.7","<div></div>","Pharmacokinetics"
"NarrativeContent_90","e4630e06-2ee2-4746-a333-f69c9ebddb3f","8.8","NarrativeContent","SECTION 8.8","<div></div>","Genetics"
"NarrativeContent_91","1513d957-5e9e-405e-a898-978155cec832","8.9","NarrativeContent","SECTION 8.9","<div></div>","Biomarkers"
"NarrativeContent_92","3cb315e0-0599-4289-acac-9149658b08cd","8.1","NarrativeContent","SECTION 8.1","<div></div>","Immunogenicity Assessments"
"NarrativeContent_93","2c660882-e671-4a6e-9508-01deb00c1fa6","8.1.1","NarrativeContent","SECTION 8.1.1","<div></div>","Medical Resource Utilisation and Health Economics"
"NarrativeContent_94","005f7b13-3977-48b5-bda2-16ce11b1a89c","9","NarrativeContent","SECTION 9","<div></div>","STATISTICAL CONSIDERATIONS"
"NarrativeContent_95","0217d590-ae35-466d-b208-dd9d42d450c3","9.1","NarrativeContent","SECTION 9.1","<div></div>","Analysis Sets"
"NarrativeContent_96","784c5cc3-a2a7-417c-8cbb-cfce69d3a65d","9.2","NarrativeContent","SECTION 9.2","<div></div>","Analyses Supporting Primary Objective(s)"
"NarrativeContent_97","6229f99e-bbab-430f-86d2-be9ec9482ad2","9.2.1","NarrativeContent","SECTION 9.2.1","<div></div>","Statistical Model, Hypothesis, and Method of Analysis"
"NarrativeContent_98","85899a46-bcc0-4b11-a981-5703c283ec73","9.2.2","NarrativeContent","SECTION 9.2.2","<div></div>","Handling of Intercurrent Events of Primary Estimand(s)"
"NarrativeContent_99","22fd4374-baeb-439f-9845-c3e60c53993c","9.2.3","NarrativeContent","SECTION 9.2.3","<div></div>","Handling of Missing Data"
"NarrativeContent_100","24c7635b-571a-4c4b-b05e-621a04433ba9","9.2.4","NarrativeContent","SECTION 9.2.4","<div></div>","Sensitivity Analysis"
"NarrativeContent_101","976165dd-4b75-4d45-ac47-d6e3d51351d0","9.2.5","NarrativeContent","SECTION 9.2.5","<div></div>","Supplementary Analysis"
"NarrativeContent_102","253cf395-6c9c-4bbb-81ed-e0bcfe2ddc0d","9.3","NarrativeContent","SECTION 9.3","<div></div>","Analysis Supporting Secondary Objective(s)"
"NarrativeContent_103","b9e7a8d0-0b41-43ab-8a5d-79dbc9b5dd3c","9.4","NarrativeContent","SECTION 9.4","<div></div>","Analysis of Exploratory Objective(s)"
"NarrativeContent_104","9f6117ef-baf3-4f9f-9e95-f7e6be71e607","9.5","NarrativeContent","SECTION 9.5","<div></div>","Safety Analyses"
"NarrativeContent_105","024718ea-8f0b-47b7-99eb-c88a36fac9ab","9.6","NarrativeContent","SECTION 9.6","<div></div>","Other Analyses"
"NarrativeContent_106","1cd8e381-0da6-4c5d-81b4-d074a46ed229","9.7","NarrativeContent","SECTION 9.7","<div></div>","Interim Analyses"
"NarrativeContent_107","1df718df-cca3-4b49-b70e-34ae403f0b3d","9.8","NarrativeContent","SECTION 9.8","<div></div>","Sample Size Determination"
"NarrativeContent_108","8c1661e0-1c49-492d-ad41-2cf54018a92e","9.9","NarrativeContent","SECTION 9.9","<div></div>","Protocol Deviations"
"NarrativeContent_109","7f0a9dcc-5c1c-4487-85f5-8454a223918b","10","NarrativeContent","SECTION 10","<div></div>","GENERAL CONSIDERATIONS: REGULATORY, ETHICAL, AND TRIAL OVERSIGHT"
"NarrativeContent_110","b1f80203-b047-41e7-b121-45e5f16fb757","10.1","NarrativeContent","SECTION 10.1","<div></div>","Regulatory and Ethical Considerations"
"NarrativeContent_111","72dbf53d-129f-49bd-947a-aa7f7663efbb","10.2","NarrativeContent","SECTION 10.2","<div></div>","Committees"
"NarrativeContent_112","1ede1ad6-bb4f-4614-aa47-299796a07745","10.3","NarrativeContent","SECTION 10.3","<div></div>","Informed Consent Process"
"NarrativeContent_113","3f209039-4cb4-49ab-b539-551269682fa4","10.4","NarrativeContent","SECTION 10.4","<div></div>","Data Protection"
"NarrativeContent_114","87f3fe91-e8f9-4203-9b63-fd6e2fb407af","10.5","NarrativeContent","SECTION 10.5","<div></div>","Early Site Closure or Trial Termination"
"NarrativeContent_115","f545bdaf-2bb5-47aa-bbb3-25d33847fbc3","11","NarrativeContent","SECTION 11","<div></div>","GENERAL CONSIDERATIONS: RISK MANAGEMENT AND QUALITY ASSURANCE"
"NarrativeContent_116","b5af7928-6829-4dc4-9363-0e3cd88dc2e3","11.1","NarrativeContent","SECTION 11.1","<div></div>","Quality Tolerance Limits"
"NarrativeContent_117","8fe4bed8-c2c4-4387-8087-0b0fae90beee","11.2","NarrativeContent","SECTION 11.2","<div></div>","Data Quality Assurance"
"NarrativeContent_118","7f26d037-2b05-426e-a5b2-93b819651599","11.3","NarrativeContent","SECTION 11.3","<div></div>","Source Data"
"NarrativeContent_119","a508880b-984e-4159-898a-1cd86970aec5","12","NarrativeContent","SECTION 12","<div></div>","APPENDIX: ADVERSE EVENTS AND SERIOUS ADVERSE EVENTS - DEFINITIONS, SEVERITY, AND CAUSALITY"
"NarrativeContent_120","f04fcda5-1023-477e-b6ca-52615eddf917","12.1","NarrativeContent","SECTION 12.1","<div></div>","Further Details and Clarifications on the AE Definition"
"NarrativeContent_121","3ed24a8e-2d6f-4966-b969-67a5d68e4d39","12.2","NarrativeContent","SECTION 12.2","<div></div>","Further Details and Clarifications on the SAE Definition"
"NarrativeContent_122","bc7e12e8-b60e-4fab-87a9-fe3e6b83a872","12.3","NarrativeContent","SECTION 12.3","<div></div>","Severity"
"NarrativeContent_123","0b3c1364-eec7-4d1a-b2c4-6fd6c915d74a","12.4","NarrativeContent","SECTION 12.4","<div></div>","Causality"
"NarrativeContent_124","e6de78e0-a44d-495b-ba6d-9b595dfa60ae","13","NarrativeContent","SECTION 13","<div></div>","APPENDIX: DEFINITIONS AND SUPPORTING OPERATIONAL DETAILS"
"NarrativeContent_125","82dc24d6-102a-4846-964e-9e73b740f92a","13.1","NarrativeContent","SECTION 13.1","<div></div>","Contraception and Pregnancy Testing"
"NarrativeContent_126","476c8762-5f37-4c0b-af8b-3760ae2de9a1","13.1.1","NarrativeContent","SECTION 13.1.1","<div></div>","Definitions Related to Childbearing Potential"
"NarrativeContent_127","6a849396-ccfb-41b5-8452-8b465fa96b59","13.1.2","NarrativeContent","SECTION 13.1.2","<div></div>","Contraception"
"NarrativeContent_128","c7db5f4d-9ea4-44c0-b836-96201177dce2","13.1.3","NarrativeContent","SECTION 13.1.3","<div></div>","Pregnancy Testing"
"NarrativeContent_129","1bd88853-e14d-4535-8af3-df189d3f716f","13.2","NarrativeContent","SECTION 13.2","<div></div>","Clinical Laboratory Tests"
"NarrativeContent_130","6d88e51a-88e9-4ea3-9c9e-81676260b8b5","13.3","NarrativeContent","SECTION 13.3","<div></div>","Country/Region-Specific Differences"
"NarrativeContent_131","3d0c3460-41ef-4d65-8103-bc44008530ed","13.4","NarrativeContent","SECTION 13.4","<div></div>","Prior Protocol Amendments"
"NarrativeContent_132","0e0a63ed-ba07-49ba-8a90-9b01287fdca3","14","NarrativeContent","SECTION 14","<div></div>","APPENDIX: GLOSSARY OF TERMS"
"NarrativeContent_133","5e5300f3-163a-4a25-834c-741dae2fd9b0","15","NarrativeContent","SECTION 15","<div></div>","APPENDIX: REFERENCES"
