"sectionTitle","id","sectionNumber","name","text","uuid:ID"
"Participants Whose Partners Become Pregnant","NarrativeContent_81","8.5.2","SECTION 8.5.2","<div></div>","36fd02d8-a795-4a56-ba4b-99825181c360"
"Medical Device Product Complaints for Drug/Device Combination Products","NarrativeContent_82","8.6","SECTION 8.6","<div></div>","62ce4e6b-3f70-41f0-868b-30095ad83516"
"Definition of Medical Device Product Complaints","NarrativeContent_83","8.6.1","SECTION 8.6.1","<div></div>","4bd1bf42-27b0-4aaf-bdf2-7bdc76b71453"
"Recording of Medical Device Product Complaints","NarrativeContent_84","8.6.2","SECTION 8.6.2","<div></div>","94bedccb-9a00-488b-a44a-74c4ea5a9ad1"
"Time Period and Frequency for Collecting Medical Device Product Complaints .","NarrativeContent_85","8.6.3","SECTION 8.6.3","<div></div>","dde731d1-2fac-4887-8d1f-46abd9ef7e08"
"Follow-Up of Medical Device Product Complaints","NarrativeContent_86","8.6.4","SECTION 8.6.4","<div></div>","fdf0db03-2324-4788-8c81-d0673a03f6b3"
"Regulatory Reporting Requirements for Medical Device Product Complaints","NarrativeContent_87","8.6.5","SECTION 8.6.5","<div></div>","73bdaf1c-814d-49a3-aa7b-3d6b01df7fcb"
"Pharmacokinetics","NarrativeContent_88","8.7","SECTION 8.7","<div></div>","8c56b79b-9293-4efa-875a-74df776389bf"
"Genetics","NarrativeContent_89","8.8","SECTION 8.8","<div></div>","e98ec047-b67a-46a7-9542-8195192af2c8"
"Biomarkers","NarrativeContent_90","8.9","SECTION 8.9","<div></div>","735873ee-d0c5-4009-aeec-52aab21f83a5"
"Immunogenicity Assessments","NarrativeContent_91","8.1","SECTION 8.1","<div></div>","f9967dc3-d96a-494b-b1a7-25ea334a2342"
"Medical Resource Utilisation and Health Economics","NarrativeContent_92","8.1.1","SECTION 8.1.1","<div></div>","e0164437-326b-46c4-a0bf-15bcbb20dbbd"
"STATISTICAL CONSIDERATIONS","NarrativeContent_93","9","SECTION 9","<div></div>","740fab59-49f7-421d-91e0-c7056ab54f42"
"Analysis Sets","NarrativeContent_94","9.1","SECTION 9.1","<div></div>","d6b5ddf8-ee3b-4652-baef-050ae4d24c66"
"Analyses Supporting Primary Objective(s)","NarrativeContent_95","9.2","SECTION 9.2","<div></div>","7d9a28e2-231a-46ac-bb9c-9e5d480fc7df"
"Statistical Model, Hypothesis, and Method of Analysis","NarrativeContent_96","9.2.1","SECTION 9.2.1","<div></div>","d570bc98-5457-44b2-b261-d322ce36667a"
"Handling of Intercurrent Events of Primary Estimand(s)","NarrativeContent_97","9.2.2","SECTION 9.2.2","<div></div>","ccdf1725-3a88-4f8f-af29-d0c455d370e2"
"Handling of Missing Data","NarrativeContent_98","9.2.3","SECTION 9.2.3","<div></div>","610f044b-4eba-471e-be00-68c21e91ece9"
"Sensitivity Analysis","NarrativeContent_99","9.2.4","SECTION 9.2.4","<div></div>","a30cc29c-4b31-4042-9905-654d3e634062"
"Supplementary Analysis","NarrativeContent_100","9.2.5","SECTION 9.2.5","<div></div>","15d8c42d-47c3-4cee-a051-c251f21f49f8"
"Analysis Supporting Secondary Objective(s)","NarrativeContent_101","9.3","SECTION 9.3","<div></div>","6d4514d8-030e-4484-96e9-6cd87d0e173f"
"Analysis of Exploratory Objective(s)","NarrativeContent_102","9.4","SECTION 9.4","<div></div>","fafb8be9-78bc-475f-8f27-80a005a59408"
"Safety Analyses","NarrativeContent_103","9.5","SECTION 9.5","<div></div>","9a56c5ff-dc8e-4209-a510-039a34a3b731"
"Other Analyses","NarrativeContent_104","9.6","SECTION 9.6","<div></div>","a21c8390-906d-4745-bb28-58bbb24ac579"
"Interim Analyses","NarrativeContent_105","9.7","SECTION 9.7","<div></div>","340683b6-a9bb-410e-9b63-a888c197ae82"
"Sample Size Determination","NarrativeContent_106","9.8","SECTION 9.8","<div></div>","a0146dbc-c7d7-4785-be2d-cbc4ae107ade"
"Protocol Deviations","NarrativeContent_107","9.9","SECTION 9.9","<div></div>","53d3f487-26c6-43f6-a1f8-1a870ccc7ded"
"GENERAL CONSIDERATIONS: REGULATORY, ETHICAL, AND TRIAL OVERSIGHT","NarrativeContent_108","10","SECTION 10","<div></div>","5924dff5-b3b7-494b-9c7f-a3d970450c93"
"Regulatory and Ethical Considerations","NarrativeContent_109","10.1","SECTION 10.1","<div></div>","c39d3be9-07e6-4cf5-818b-9c7c803ea177"
"Committees","NarrativeContent_110","10.2","SECTION 10.2","<div></div>","2332757d-a3b9-4938-812b-e9bf685eeb63"
"Informed Consent Process","NarrativeContent_111","10.3","SECTION 10.3","<div></div>","49a65404-2e01-401a-af02-338a0a812dc6"
"Data Protection","NarrativeContent_112","10.4","SECTION 10.4","<div></div>","61254540-f489-4177-aa7c-ca423c275a46"
"Early Site Closure or Trial Termination","NarrativeContent_113","10.5","SECTION 10.5","<div></div>","4db22957-f9f1-4c5e-a0c4-38c121fae389"
"GENERAL CONSIDERATIONS: RISK MANAGEMENT AND QUALITY ASSURANCE","NarrativeContent_114","11","SECTION 11","<div></div>","83ff0e0a-fd96-476b-94f5-027c5ce6e849"
"Quality Tolerance Limits","NarrativeContent_115","11.1","SECTION 11.1","<div></div>","b6f062b9-1212-43ba-b593-76434696e203"
"Data Quality Assurance","NarrativeContent_116","11.2","SECTION 11.2","<div></div>","b5463555-c9fa-4a5a-8048-d606b1cc313b"
"Source Data","NarrativeContent_117","11.3","SECTION 11.3","<div></div>","0f09de32-5834-48e0-8fb3-53c31cfd818c"
"APPENDIX: ADVERSE EVENTS AND SERIOUS ADVERSE EVENTS - DEFINITIONS, SEVERITY, AND CAUSALITY","NarrativeContent_118","12","SECTION 12","<div></div>","a07c7314-0dc2-45b7-a9e3-dde04db70f94"
"Further Details and Clarifications on the AE Definition","NarrativeContent_119","12.1","SECTION 12.1","<div></div>","6d58d288-5607-459e-aa4d-efa603b1662d"
"Further Details and Clarifications on the SAE Definition","NarrativeContent_120","12.2","SECTION 12.2","<div></div>","651c9ac6-895a-4483-82e9-00d8af099521"
"Severity","NarrativeContent_121","12.3","SECTION 12.3","<div></div>","1334e04a-11f5-4f31-9f05-b6880ed3f489"
"Causality","NarrativeContent_122","12.4","SECTION 12.4","<div></div>","86570040-6292-441d-9337-4fcb355727e1"
"APPENDIX: DEFINITIONS AND SUPPORTING OPERATIONAL DETAILS","NarrativeContent_123","13","SECTION 13","<div></div>","67fc4185-331e-4d1f-a6e8-11f7456d323c"
"Contraception and Pregnancy Testing","NarrativeContent_124","13.1","SECTION 13.1","<div></div>","574b226c-6c32-412c-838c-8c5e9ef82968"
"Definitions Related to Childbearing Potential","NarrativeContent_125","13.1.1","SECTION 13.1.1","<div></div>","feb7989f-9fb6-4c92-8eba-58b921900138"
"Contraception","NarrativeContent_126","13.1.2","SECTION 13.1.2","<div></div>","6e007506-3e22-4fa0-b8c0-30375bffaf34"
"Pregnancy Testing","NarrativeContent_127","13.1.3","SECTION 13.1.3","<div></div>","e9419b0a-15f5-4910-804f-7848fca0693f"
"Clinical Laboratory Tests","NarrativeContent_128","13.2","SECTION 13.2","<div></div>","70af8a85-4654-483e-b3b6-cb7987ee7332"
"Country/Region-Specific Differences","NarrativeContent_129","13.3","SECTION 13.3","<div></div>","e9c991de-e521-4432-8a77-1d4413e188db"
"Prior Protocol Amendments","NarrativeContent_130","13.4","SECTION 13.4","<div></div>","826f93d3-daae-4787-886f-0b41ea6f0205"
"APPENDIX: GLOSSARY OF TERMS","NarrativeContent_131","14","SECTION 14","<div></div>","72c14253-fce3-4a09-bb76-15c27ed0abe3"
"APPENDIX: REFERENCES","NarrativeContent_132","15","SECTION 15","<div></div>","f9d7ecae-40cd-479f-bc2b-ca462b913e8f"
