"id","uuid:ID","codeSystem","decode","codeSystemVersion","code"
"Code_65","ef010159-f85d-45e4-9de0-b12a04bed59a","http://www.cdisc.org","Clinic","2023-09-29","C51282"
"Code_66","f9efa821-5b96-46b0-950f-1cbee06ea2d1","http://www.cdisc.org","In Person","2023-09-29","C175574"
"Code_67","8351bb23-29d7-46a9-ac96-56d8b5375fe8","http://www.cdisc.org","Visit","2023-09-29","C25716"
"Code_68","3acad894-20ba-4411-97ff-9dd3f71156fe","http://www.cdisc.org","Clinic","2023-09-29","C51282"
"Code_69","0084f7d0-7187-44d5-9f8c-47e7d8a9a0f3","http://www.cdisc.org","In Person","2023-09-29","C175574"
"Code_70","d0a41ff2-eb07-4596-ad70-e496a73f139a","http://www.cdisc.org","Visit","2023-09-29","C25716"
"Code_71","5e7921ed-20bd-4b38-bdae-702c14f66dc4","http://www.cdisc.org","Home","2023-09-29","C18002"
"Code_72","3bf74626-93cd-47b6-934f-47025501b3f5","http://www.cdisc.org","Telephone Call","2023-09-29","C171537"
"Code_53","7af76c61-723f-4d4d-97c8-72b332757add","SNOMED","Test","January 31, 2018","12345678"
"Code_54","3b7e1323-3f51-4129-83a1-24d58ab04d47","SNOMED","Test","January 31, 2018","12345679"
"Code_89","d5e97dd5-a7e8-4567-b36a-7787f6129f29","http://www.cdisc.org","Male","2023-09-29","C20197"
"Code_90","b9dff17d-4f93-4dd2-a47b-a7fc65a3d489","http://www.cdisc.org","Female","2023-09-29","C16576"
"Code_91","2a3a1779-aea8-4ac9-84f4-04acc7c181b9","NCI Thesaurus","Sex","","C28421"
"Code_88","64aaf882-be9a-4f8d-b8f5-690bce460ddb","NCI Thesaurus","Sex","","C28421"
"Code_93","86c39b8b-56af-4790-a9a7-06b899311109","NCI Thesaurus","Race","","C17049"
"Code_92","bc494cc5-d7ae-489e-99f7-7b9b8151f818","NCI Thesaurus","Race","","C17049"
"Code_95","af529ab3-ca58-4685-8a70-747eb648b075","NCI Thesaurus","Vital Signs Result","","C173522"
"Code_96","49e60093-9933-4947-985f-b167f5304c5b","http://www.cdisc.org","Kilogram","2023-09-29","C28252"
"Code_97","de40f2d6-1370-4b01-862f-9b7b60717a76","http://www.cdisc.org","Gram","2023-09-29","C48155"
"Code_98","e6cbb4a9-8f9f-4d44-a73f-864fbdc1f3bb","http://www.cdisc.org","Pound","2023-09-29","C48531"
"Code_99","882f2496-d164-4620-b6ee-6f18c4c8f660","NCI Thesaurus","Unit of Weight","","C48208"
"Code_94","ba3a774f-abe4-4a68-8db2-fc78f34eb911","NCI Thesaurus","Body Weight","","C81328"
"Code_73","60ebe9ff-1388-4542-9227-049c15668085","http://www.cdisc.org","Active Comparator Arm","2023-09-29","C174267"
"Code_74","d82ee5b2-7772-4c24-9d89-482d6e2e032d","http://www.cdisc.org","Data Generated Within Study","2023-09-29","C188866"
"Code_75","ceb3dcc3-4a58-440c-823b-45dd06ca84e5","http://www.cdisc.org","Placebo Comparator Arm","2023-09-29","C174268"
"Code_76","db402327-081e-4cac-9b44-d650a2da539f","http://www.cdisc.org","Data Generated Within Study","2023-09-29","C188866"
"Code_83","92f731b2-6f37-4c00-b178-d3c91802cf6c","http://www.cdisc.org","Open Label Study","2023-09-29","C49659"
"Code_77","5a5bf41a-4d54-47af-bc57-41a1dd5a2493","http://www.cdisc.org","Trial Screening","2023-09-29","C48262"
"Code_78","74a1d96a-a8e4-43d1-8db2-91fd2b485e4f","http://www.cdisc.org","Baseline Epoch","2023-09-29","C125938"
"Code_79","b518c44f-a2d7-40a7-9a43-e092ed7421d1","http://www.cdisc.org","Treatment Epoch","2023-09-29","C101526"
"Code_80","168fb1b7-3ff4-49f3-b2c5-68fcb3388375","http://www.cdisc.org","Clinical Study Follow-up","2023-09-29","C99158"
"Code_100","f2d4950e-375f-4eb3-972e-678054fdb41d","SNOMED","Indication1","January 31, 2018","12345"
"Code_101","7beb6aaf-ecca-458e-98b9-3ab20d1da77d","SNOMED","Indication2","January 31, 2018","345678"
"Code_107","4daaedd0-444e-4ede-8d66-51934e7784bf","M11","role1","None set","role1"
"Code_108","ece6e114-efa3-470a-8859-876006907dc3","http://www.cdisc.org","Pharmacologic Substance","2023-09-29","C1909"
"Code_111","b50d717d-deeb-4ccb-a892-fcd533477f6d","http://www.cdisc.org","Day","2023-09-29","C25301"
"Code_106","9053ed62-4b85-439b-9fbe-3d83354f3b97","SPONSOR","B","12","A"
"Code_102","9f068fa1-33d0-46ef-8de2-0fda17dc0296","http://www.cdisc.org","Percentage","2023-09-29","C25613"
"Code_104","d2978087-7ec3-4850-b360-101bc0d70b71","http://www.cdisc.org","Milligram","2023-09-29","C28253"
"Code_103","308990a8-fa38-42d0-b3bd-94b3f8725327","http://www.cdisc.org","Dental Route of Administration","2023-09-29","C38197"
"Code_105","8ee182d9-54bb-4ff4-b9a3-9af520cbdcf9","http://www.cdisc.org","Ten Days Per Month","2023-09-29","C139179"
"Code_110","631f5fe8-333a-4bc2-931d-69063eaf82d3","M11","desig_1","None set","desig1"
"Code_109","2cc0d8eb-671e-46a2-bf53-ddc846924f5d","FDA","B","None set","A"
"Code_117","4e938ff1-9960-42a7-8f32-cf91643d48e1","M11","role2","None set","role2"
"Code_118","6619be72-672f-43e0-9c71-6644b6d6f77e","http://www.cdisc.org","Pharmacologic Substance","2023-09-29","C1909"
"Code_121","ba6581dc-55c4-4474-8221-af35bcc743eb","http://www.cdisc.org","Day","2023-09-29","C25301"
"Code_116","3cdfaca1-23d2-47a2-96d5-a64df36eeb10","SPONSOR","B","12","A"
"Code_112","b525e5be-a590-48f2-a06b-e142d6683e93","http://www.cdisc.org","Percentage","2023-09-29","C25613"
"Code_114","a91e2b4f-ad59-4440-82eb-1c28ab71a5f6","http://www.cdisc.org","Milligram","2023-09-29","C28253"
"Code_113","a85bed15-a0d1-4eb8-9491-b888f319b736","http://www.cdisc.org","Dental Route of Administration","2023-09-29","C38197"
"Code_115","f9e0c6de-27df-4086-b93a-7a5c682b7563","http://www.cdisc.org","Ten Days Per Month","2023-09-29","C139179"
"Code_120","cab197b8-952d-4d16-ba0a-b14e6333936c","M11","desig_2","None set","desig2"
"Code_119","66ddd416-8d35-4470-bf6c-f92a282c29c1","FDA","B","None set","A"
"Code_128","e614aede-6a9c-45f2-934f-2c8358130f86","http://www.cdisc.org","Trial Primary Objective","2023-09-29","C85826"
"Code_127","0e47713f-6943-4590-acee-98ffc9be6296","http://www.cdisc.org","Primary Endpoint","2023-09-29","C94496"
"Code_130","909183de-a206-4a8f-9c1f-bf7fc156fb45","http://www.cdisc.org","Trial Secondary Objective","2023-09-29","C85827"
"Code_129","759703be-cf3a-414a-b488-d21363129651","http://www.cdisc.org","Secondary Endpoint","2023-09-29","C139173"
"Code_131","ccb700ff-d44a-4a48-8a72-169eed32df4c","http://www.cdisc.org","Secondary Endpoint","2023-09-29","C139173"
"Code_132","1c0e3fed-a250-4c1e-abfd-c02c694c57a4","http://www.cdisc.org","Inclusion Criteria","2023-09-29","C25532"
"Code_133","4c3ff9e4-1da9-4f62-8676-202b57a62072","http://www.cdisc.org","Inclusion Criteria","2023-09-29","C25532"
"Code_134","b6bba544-3203-4a09-a843-498ec691131d","http://www.cdisc.org","Exclusion Criteria","2023-09-29","C25370"
"Code_135","a8e98f73-ea20-452e-9df4-27e40533dd1e","http://www.cdisc.org","Exclusion Criteria","2023-09-29","C25370"
"Code_17","1be9f86f-bcc4-4b7b-95fe-defec59b3bfe","http://www.cdisc.org","Before","2023-09-29","C201264"
"Code_18","a1f22e9c-e4fb-447c-9d40-47394b6d0688","http://www.cdisc.org","Start to Start","2023-09-29","C201265"
"Code_19","0b5251ea-4a90-474b-ad36-ce8aa7adee3a","http://www.cdisc.org","Before","2023-09-29","C201264"
"Code_20","848eeaee-47a1-4938-a753-5bfd6539a074","http://www.cdisc.org","Start to Start","2023-09-29","C201265"
"Code_22","9062b2c4-5948-4866-b534-49839d981a3d","http://www.cdisc.org","Fixed Reference","2023-09-29","C201264"
"Code_23","7547c89a-190c-4d36-9519-8e5ab40c7463","http://www.cdisc.org","Start to Start","2023-09-29","C201265"
"Code_24","d1c0084a-861b-434e-8d83-81b896f89c20","http://www.cdisc.org","After","2023-09-29","C201264"
"Code_25","2e2ed579-33f2-409c-947f-8948b61ee459","http://www.cdisc.org","Start to Start","2023-09-29","C201265"
"Code_27","5d8ead70-e478-4657-ae87-267909007de0","http://www.cdisc.org","After","2023-09-29","C201264"
"Code_28","4c7eb390-5ec9-4939-b8b6-99ba4bc15ed2","http://www.cdisc.org","Start to Start","2023-09-29","C201265"
"Code_30","f9b11f6d-267c-486b-8439-485a45f04eb1","http://www.cdisc.org","After","2023-09-29","C201264"
"Code_31","98f90984-26ee-42b1-959b-46c439ef1345","http://www.cdisc.org","Start to Start","2023-09-29","C201265"
"Code_5","d37a992a-4fd3-4ba3-aa64-3e45f977e2d6","http://www.cdisc.org","Draft","2023-09-29","C85255"
"Code_15","bb0e7040-2e89-4ddd-880b-7ddc9bb160b8","http://www.cdisc.org","Protocol Effective Date","2023-09-29","C99903x1"
"Code_16","2892d909-c4ef-4001-b101-855d1656849a","http://www.cdisc.org","Global","2023-09-29","C68846"
