"synonyms","label","name","uuid:ID","instanceType","id","reference"
"['Creatinine', 'Creatinine Measurement']","Creatinine Concentration in Urine","Creatinine Concentration in Urine","33f33224-20a7-499d-b4e9-47fad1273c69","BiomedicalConcept","BiomedicalConcept_30","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/CREATURIN"
"['Potassium', 'K', 'Potassium Measurement']","Potassium Concentration in Urine","Potassium Concentration in Urine","e62249f0-8ea3-41a5-ba39-86192b0e4b8a","BiomedicalConcept","BiomedicalConcept_31","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/KURIN"
"['Sodium', 'NA', 'Sodium Measurement']","Sodium Concentration in Urine","Sodium Concentration in Urine","9d8257a8-6142-4895-9021-339f38003459","BiomedicalConcept","BiomedicalConcept_32","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SODIUMURIN"
"['Hemoglobin A1C', 'HBA1C', 'Glycosylated Hemoglobin A1C', 'Glycosylated Hemoglobin Measurement']","Hemoglobin A1C Concentration in Blood","Hemoglobin A1C Concentration in Blood","6bdfac42-51bc-4148-863b-d91b08f4f818","BiomedicalConcept","BiomedicalConcept_33","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/HBA1CBLD"
"['Adverse Event', 'Solicited Adverse Event']","Adverse Event Prespecified","Adverse Event Prespecified","c7158be1-0caf-4efe-afb5-9155bd5d8c3b","BiomedicalConcept","BiomedicalConcept_1","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/AEPRESP"
"['SYSBP', 'Systolic Blood Pressure']","Systolic Blood Pressure","Systolic Blood Pressure","2d2aa545-76c1-48f2-9afa-3cc0a90b30a7","BiomedicalConcept","BiomedicalConcept_2","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP"
"['DIABP', 'Diastolic Blood Pressure']","Diastolic Blood Pressure","Diastolic Blood Pressure","d6b84975-7472-4078-a4b3-d0a37638043b","BiomedicalConcept","BiomedicalConcept_3","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP"
"['Temperature', 'Body Temperature']","Temperature","Temperature","1c77eb4f-cca6-4370-9dbf-4b848109f719","BiomedicalConcept","BiomedicalConcept_4","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/TEMP"
"['Weight', 'Body Weight']","Weight","Weight","5dabb847-2bb6-4692-89db-a0a36a9bb21a","BiomedicalConcept","BiomedicalConcept_5","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/WEIGHT"
"['Height', 'Body Height']","Height","Height","f63b1bf9-da4e-49c0-9eff-09499ebc095a","BiomedicalConcept","BiomedicalConcept_6","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HEIGHT"
"['ALT', 'SGPT', 'Alanine Aminotransferase Measurement']","Alanine Aminotransferase Concentration in Serum/Plasma","Alanine Aminotransferase Concentration in Serum/Plasma","a047552e-82eb-489f-80e7-a5b3ba0fa8f5","BiomedicalConcept","BiomedicalConcept_7","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALTSERPL"
"['Albumin', 'Albumin Measurement']","Albumin Presence in Urine","Albumin Presence in Urine","05ccde9a-8e74-42b9-85af-f119f75c63d8","BiomedicalConcept","BiomedicalConcept_8","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/ALBURINPRES"
"['Alkaline Phosphatase', 'Alkaline Phosphatase Measurement']","Alkaline Phosphatase Concentration in Serum/Plasma","Alkaline Phosphatase Concentration in Serum/Plasma","9fe6a311-ef41-4480-9d56-1f096e06e2d3","BiomedicalConcept","BiomedicalConcept_9","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALPSERPL"
"['AST', 'SGOT', 'Aspartate Aminotransferase Measurement']","Aspartate Aminotransferase in Serum/Plasma","Aspartate Aminotransferase in Serum/Plasma","69c62871-eb84-40db-b2f2-bc0c94ba0e54","BiomedicalConcept","BiomedicalConcept_10","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ASTSERPL"
"['Creatinine', 'Creatinine Measurement']","Creatinine Concentration in Urine","Creatinine Concentration in Urine","dd61fd50-fa1a-421e-8e13-e26bfb7aafe3","BiomedicalConcept","BiomedicalConcept_11","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/CREATURIN"
"['Potassium', 'K', 'Potassium Measurement']","Potassium Concentration in Urine","Potassium Concentration in Urine","d30952ba-43c8-4384-992b-9b68adbed788","BiomedicalConcept","BiomedicalConcept_12","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/KURIN"
"['Sodium', 'NA', 'Sodium Measurement']","Sodium Concentration in Urine","Sodium Concentration in Urine","3e9a580c-2370-4f02-aa93-3282189b70d5","BiomedicalConcept","BiomedicalConcept_13","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SODIUMURIN"
"['SYSBP', 'Systolic Blood Pressure']","Systolic Blood Pressure","Systolic Blood Pressure","9a00e398-c8fe-481b-a51c-504f9791c571","BiomedicalConcept","BiomedicalConcept_14","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP"
"['DIABP', 'Diastolic Blood Pressure']","Diastolic Blood Pressure","Diastolic Blood Pressure","1e65d346-1bd5-4c1c-ab9f-fa3b8bb63e05","BiomedicalConcept","BiomedicalConcept_15","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP"
"['Heart Rate']","Heart Rate","Heart Rate","91527864-e278-4e17-a287-f514820b241a","BiomedicalConcept","BiomedicalConcept_16","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HR"
"['SYSBP', 'Systolic Blood Pressure']","Systolic Blood Pressure","Systolic Blood Pressure","89f3a7f5-abaa-446a-8134-358687a6ba7d","BiomedicalConcept","BiomedicalConcept_17","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP"
"['DIABP', 'Diastolic Blood Pressure']","Diastolic Blood Pressure","Diastolic Blood Pressure","10b0caaa-79b7-403c-8bbb-12fa7cecd862","BiomedicalConcept","BiomedicalConcept_18","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP"
"['Heart Rate']","Heart Rate","Heart Rate","f8c392a9-638f-46b7-861c-e89dc2f21871","BiomedicalConcept","BiomedicalConcept_19","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HR"
