"datatype","uuid:ID","name","instanceType","label","id","isRequired","isEnabled"
"string","7849f206-6ae2-42a5-b777-5f2f49ee2f61","Vital Signs Laterality","BiomedicalConceptProperty","Vital Signs Laterality","BiomedicalConceptProperty_24","True","True"
"string","afce3fe8-40d0-4400-89a5-c90f1f22c8e5","Test Method","BiomedicalConceptProperty","Test Method","BiomedicalConceptProperty_25","True","True"
"string","3c62aa8e-9e51-482f-b796-487d99ceeb8d","Vital Signs Position","BiomedicalConceptProperty","Vital Signs Position","BiomedicalConceptProperty_26","True","True"
"decimal","6634c8ea-a520-41be-89e3-de679de39816","Vital Signs Result","BiomedicalConceptProperty","Vital Signs Result","BiomedicalConceptProperty_27","True","True"
"string","e9fd182d-e024-47e4-a8a1-44229a0963f8","Unit of Temperature","BiomedicalConceptProperty","Unit of Temperature","BiomedicalConceptProperty_28","True","True"
"string","5fd12ef8-1e0d-41ce-bc0a-31cb950268c9","Vital Signs Location","BiomedicalConceptProperty","Vital Signs Location","BiomedicalConceptProperty_29","True","True"
"decimal","e5c56d15-1c2a-4286-bf9f-9333bc2f88d4","Vital Signs Result","BiomedicalConceptProperty","Vital Signs Result","BiomedicalConceptProperty_30","True","True"
"string","c62c38e0-df64-4b0f-96ce-1c8c45350be3","Unit of Weight","BiomedicalConceptProperty","Unit of Weight","BiomedicalConceptProperty_31","True","True"
"decimal","9db68221-53bd-4121-b48c-723c176e256d","Vital Signs Result","BiomedicalConceptProperty","Vital Signs Result","BiomedicalConceptProperty_32","True","True"
"string","c499e1af-b276-43f5-83fc-2e4358d41ab0","Unit of Height","BiomedicalConceptProperty","Unit of Height","BiomedicalConceptProperty_33","True","True"
"decimal","fe7da5f3-13f0-4913-82da-3108583eaef0","Laboratory Test Result","BiomedicalConceptProperty","Laboratory Test Result","BiomedicalConceptProperty_34","True","True"
"boolean","c90159d9-f2a3-47b4-8168-a057fd7c4375","Laboratory Test Fasting Status","BiomedicalConceptProperty","Laboratory Test Fasting Status","BiomedicalConceptProperty_35","True","True"
"string","86516328-169a-4d16-af4e-72695cdc001b","Unit of Catalytic Activity Concentration","BiomedicalConceptProperty","Unit of Catalytic Activity Concentration","BiomedicalConceptProperty_36","True","True"
"string","0c16035d-601e-4c79-8bf8-8337a8da5757","Biospecimen Type","BiomedicalConceptProperty","Biospecimen Type","BiomedicalConceptProperty_37","True","True"
"string","e2b229ee-8d96-43e6-b670-02357ece9ef7","Laboratory Test Result","BiomedicalConceptProperty","Laboratory Test Result","BiomedicalConceptProperty_38","True","True"
"boolean","68327e83-a364-402e-8406-a4c0d4980603","Laboratory Test Fasting Status","BiomedicalConceptProperty","Laboratory Test Fasting Status","BiomedicalConceptProperty_39","True","True"
"string","461a91ed-4332-4f86-a974-56349c231e1f","Unit of Concentration","BiomedicalConceptProperty","Unit of Concentration","BiomedicalConceptProperty_40","True","True"
"string","4b85601f-d943-4f3e-9e85-c4beade4fdb6","Biospecimen Type","BiomedicalConceptProperty","Biospecimen Type","BiomedicalConceptProperty_41","True","True"
"decimal","195b65ab-b887-4b5f-ba6e-13195bf228fd","Laboratory Test Result","BiomedicalConceptProperty","Laboratory Test Result","BiomedicalConceptProperty_42","True","True"
"boolean","19a6944b-a37b-492b-8fb0-700790fe0463","Laboratory Test Fasting Status","BiomedicalConceptProperty","Laboratory Test Fasting Status","BiomedicalConceptProperty_43","True","True"
"string","2ee61913-9007-4571-b05b-e69685330957","Unit of Catalytic Activity Concentration","BiomedicalConceptProperty","Unit of Catalytic Activity Concentration","BiomedicalConceptProperty_44","True","True"
"string","39ddb662-06e8-400d-974a-966cc3ddd7a7","Biospecimen Type","BiomedicalConceptProperty","Biospecimen Type","BiomedicalConceptProperty_45","True","True"
"decimal","a413ade8-3b24-4a21-b600-c9f7cc84d4a4","Laboratory Test Result","BiomedicalConceptProperty","Laboratory Test Result","BiomedicalConceptProperty_46","True","True"
"boolean","28841d48-80bf-40a8-a374-5008d8923661","Laboratory Test Fasting Status","BiomedicalConceptProperty","Laboratory Test Fasting Status","BiomedicalConceptProperty_47","True","True"
"string","a2289b6e-e641-494e-8535-df57a110d193","Unit of Catalytic Activity Concentration","BiomedicalConceptProperty","Unit of Catalytic Activity Concentration","BiomedicalConceptProperty_48","True","True"
"string","c92bd30d-af34-496f-8943-a802c3d75837","Biospecimen Type","BiomedicalConceptProperty","Biospecimen Type","BiomedicalConceptProperty_49","True","True"
"string","881027c8-1d97-4a20-a857-25c92fff7554","Laboratory Test Result","BiomedicalConceptProperty","Laboratory Test Result","BiomedicalConceptProperty_50","True","True"
"boolean","884152bd-9607-4e85-b548-4ad3cf3ab27b","Laboratory Test Fasting Status","BiomedicalConceptProperty","Laboratory Test Fasting Status","BiomedicalConceptProperty_51","True","True"
"string","82d5d975-92c3-45e0-8220-7f0a1088a798","Unit of Concentration","BiomedicalConceptProperty","Unit of Concentration","BiomedicalConceptProperty_52","True","True"
"string","adfd9847-30ea-4ec4-95dc-31c55bc458a3","Biospecimen Type","BiomedicalConceptProperty","Biospecimen Type","BiomedicalConceptProperty_53","True","True"
"decimal","45fa1962-fb20-4284-b976-180e2b08797b","Laboratory Test Result","BiomedicalConceptProperty","Laboratory Test Result","BiomedicalConceptProperty_54","True","True"
"boolean","3ad9148c-2a82-4c29-ab06-fd5c6824d25c","Laboratory Test Fasting Status","BiomedicalConceptProperty","Laboratory Test Fasting Status","BiomedicalConceptProperty_55","True","True"
"string","8c5a29bf-cddf-478c-bfa0-de57d68c145d","Molarity Unit","BiomedicalConceptProperty","Molarity Unit","BiomedicalConceptProperty_56","True","True"
"string","08df95e2-d2dd-44f6-82c5-a6d3e233f8ef","Biospecimen Type","BiomedicalConceptProperty","Biospecimen Type","BiomedicalConceptProperty_57","True","True"
"decimal","dd570f5f-2f29-4025-a27a-bb088f83fe38","Laboratory Test Result","BiomedicalConceptProperty","Laboratory Test Result","BiomedicalConceptProperty_58","True","True"
"boolean","564264e6-7982-4b92-9016-87124ad7a2d7","Laboratory Test Fasting Status","BiomedicalConceptProperty","Laboratory Test Fasting Status","BiomedicalConceptProperty_59","True","True"
"string","452076b9-c0ed-4de9-8e3e-c76887268124","Molarity Unit","BiomedicalConceptProperty","Molarity Unit","BiomedicalConceptProperty_60","True","True"
"string","08a5d2fb-3f7d-41c2-a85e-d8a089d46131","Biospecimen Type","BiomedicalConceptProperty","Biospecimen Type","BiomedicalConceptProperty_61","True","True"
"decimal","572aa533-9122-44d2-87ab-08018b319bee","Vital Signs Result","BiomedicalConceptProperty","Vital Signs Result","BiomedicalConceptProperty_62","True","True"
"string","4ef4b17e-c595-42f7-baf0-3cf5a92a8033","Unit of Pressure","BiomedicalConceptProperty","Unit of Pressure","BiomedicalConceptProperty_63","True","True"
"string","3e4a346a-b884-44e9-ad19-0d08356c7349","Vital Signs Location","BiomedicalConceptProperty","Vital Signs Location","BiomedicalConceptProperty_64","True","True"
"string","3a737b5c-eb5f-4874-9c16-3c5b032a0e39","Vital Signs Laterality","BiomedicalConceptProperty","Vital Signs Laterality","BiomedicalConceptProperty_65","True","True"
"string","949328b4-f470-4698-a099-f378b1d6ea36","Test Method","BiomedicalConceptProperty","Test Method","BiomedicalConceptProperty_66","True","True"
"string","b2b7b9c8-e8e1-4f0e-a39e-edeb1dbde54a","Vital Signs Position","BiomedicalConceptProperty","Vital Signs Position","BiomedicalConceptProperty_67","True","True"
"decimal","f35b0643-77cc-4da8-89f3-b399a74cf37b","Vital Signs Result","BiomedicalConceptProperty","Vital Signs Result","BiomedicalConceptProperty_68","True","True"
"string","d7abcd86-11e6-4556-8f1e-547328ca12c3","Unit of Pressure","BiomedicalConceptProperty","Unit of Pressure","BiomedicalConceptProperty_69","True","True"
"string","1db1b5f5-316b-4438-8cae-e29618676eef","Vital Signs Location","BiomedicalConceptProperty","Vital Signs Location","BiomedicalConceptProperty_70","True","True"
"string","6bc1dd56-34a2-4363-817b-4f9ef65d4f99","Vital Signs Laterality","BiomedicalConceptProperty","Vital Signs Laterality","BiomedicalConceptProperty_71","True","True"
"string","67403f35-b68e-44d1-9fb5-4a71c5c06bb3","Test Method","BiomedicalConceptProperty","Test Method","BiomedicalConceptProperty_72","True","True"
"string","76f9f2ad-675f-4ff9-891b-b01a48c2c4a1","Vital Signs Position","BiomedicalConceptProperty","Vital Signs Position","BiomedicalConceptProperty_73","True","True"
"integer","2dae1f62-77cd-4c8a-bcd8-1e902a5733ab","Vital Signs Result","BiomedicalConceptProperty","Vital Signs Result","BiomedicalConceptProperty_74","True","True"
"string","dce5f065-6112-4c3c-bc93-cb8d993b3a53","Count per Minute","BiomedicalConceptProperty","Count per Minute","BiomedicalConceptProperty_75","True","True"
"string","ebcbec7b-5645-4777-868c-33cd0d1d1f00","Vital Signs Location","BiomedicalConceptProperty","Vital Signs Location","BiomedicalConceptProperty_76","True","True"
"string","93fdc052-eb2b-4981-9b6c-d1f433267f02","Vital Signs Laterality","BiomedicalConceptProperty","Vital Signs Laterality","BiomedicalConceptProperty_77","True","True"
"string","8728e9f0-32d2-43a3-91a0-1ee80a9fdd0e","Test Method","BiomedicalConceptProperty","Test Method","BiomedicalConceptProperty_78","True","True"
"string","a8510304-33a1-44e1-8859-7d7591a7f300","Vital Signs Position","BiomedicalConceptProperty","Vital Signs Position","BiomedicalConceptProperty_79","True","True"
"decimal","7b6f259f-594f-4c65-889c-68ddea5c81c5","Vital Signs Result","BiomedicalConceptProperty","Vital Signs Result","BiomedicalConceptProperty_80","True","True"
"string","bb513794-fdeb-46d2-b6d8-2d0a34ac18ed","Unit of Pressure","BiomedicalConceptProperty","Unit of Pressure","BiomedicalConceptProperty_81","True","True"
"string","d6f1c715-536b-4774-8166-40794966d93e","Vital Signs Location","BiomedicalConceptProperty","Vital Signs Location","BiomedicalConceptProperty_82","True","True"
"string","563a6243-0862-40f3-92b2-b8bf9006380b","Vital Signs Laterality","BiomedicalConceptProperty","Vital Signs Laterality","BiomedicalConceptProperty_83","True","True"
"string","ac0d5020-26e3-4d5a-ade8-0c37326601a9","Test Method","BiomedicalConceptProperty","Test Method","BiomedicalConceptProperty_84","True","True"
"string","f731ac4c-16b4-4d18-9f5c-5dd08a40dea6","Vital Signs Position","BiomedicalConceptProperty","Vital Signs Position","BiomedicalConceptProperty_85","True","True"
"decimal","478a5578-f04e-4dc4-903a-97e48695da73","Vital Signs Result","BiomedicalConceptProperty","Vital Signs Result","BiomedicalConceptProperty_86","True","True"
"string","a5f02672-9a1a-4618-8d55-5684990b7ce6","Unit of Pressure","BiomedicalConceptProperty","Unit of Pressure","BiomedicalConceptProperty_87","True","True"
"string","2a616845-a430-44be-9f2d-e16cf78b7423","Vital Signs Location","BiomedicalConceptProperty","Vital Signs Location","BiomedicalConceptProperty_88","True","True"
"string","adae7136-3bd2-43c5-acfb-7ce6d34783e5","Vital Signs Laterality","BiomedicalConceptProperty","Vital Signs Laterality","BiomedicalConceptProperty_89","True","True"
"string","0526e4f7-52f3-4e67-b1b6-6169b3971c63","Test Method","BiomedicalConceptProperty","Test Method","BiomedicalConceptProperty_90","True","True"
"string","fd8c25bf-9fed-4192-8250-eca9e9fea047","Vital Signs Position","BiomedicalConceptProperty","Vital Signs Position","BiomedicalConceptProperty_91","True","True"
"integer","27d5d40a-f37b-489d-a9ea-3e9a618dd9d1","Vital Signs Result","BiomedicalConceptProperty","Vital Signs Result","BiomedicalConceptProperty_92","True","True"
"string","1c3db6a5-d192-4361-b960-36334ec3e4e1","Count per Minute","BiomedicalConceptProperty","Count per Minute","BiomedicalConceptProperty_93","True","True"
"string","d6e51f65-f217-4ca6-aaea-8e0c992a8660","Vital Signs Location","BiomedicalConceptProperty","Vital Signs Location","BiomedicalConceptProperty_94","True","True"
"string","b545daeb-00ec-42d4-a855-3ba81f89f6a3","Vital Signs Laterality","BiomedicalConceptProperty","Vital Signs Laterality","BiomedicalConceptProperty_95","True","True"
"string","7c4e2b58-81b1-44fa-9039-f8bbb13bd2a2","Test Method","BiomedicalConceptProperty","Test Method","BiomedicalConceptProperty_96","True","True"
"string","dc04d9a9-17bd-488f-aeaa-b4ff43053991","Vital Signs Position","BiomedicalConceptProperty","Vital Signs Position","BiomedicalConceptProperty_97","True","True"
