"uuid:ID","sectionNumber","name","instanceType","id","text","sectionTitle"
"06105a41-1e50-4b8e-a542-b6a4cb8be960","4.2.1","SECTION 4.2.1","NarrativeContent","NarrativeContent_16","<div><p>The parallel dosing regimen maximizes the ability to make direct comparisons between the treatment groups. The use of placebo allows for a blinded, thus minimally biased, study. The placebo treatment group is a comparator group for efficacy and safety assessment.</p><p>Two interim analyses are planned for this study. The first interim analysis will occur when 50% of the patients have completed Visit 8 (8 weeks). If required, the second interim analysis will occur when 50% of the patients have completed Visit 12 (24 weeks).</p></div>","Rationale for Comparator"
"1cba028d-a7a8-4ba5-8fa2-766ed11a7298","4.2.2","SECTION 4.2.2","NarrativeContent","NarrativeContent_17","<div></div>","Rationale for Adaptive or Novel Trial Design"
"ea62bb46-37d6-44f5-b2cb-ba5022dfe8fb","4.2.3","SECTION 4.2.3","NarrativeContent","NarrativeContent_18","<div></div>","Other Trial Design Considerations"
"c3809b1e-40c4-4011-a6e2-04e73d5c458a","4.3","SECTION 4.3","NarrativeContent","NarrativeContent_19","<div></div>","Access to Trial Intervention After End of Trial"
"335b31e1-b1f1-4507-80f5-ab32a90d3678","4.4","SECTION 4.4","NarrativeContent","NarrativeContent_20","<div></div>","Start of Trial and End of Trial"
"b0eac1f1-1c59-43a5-b135-dd3f607834b3","5","SECTION 5","NarrativeContent","NarrativeContent_21","<div></div>","TRIAL POPULATION"
"be8fab79-e747-4948-9653-e13900e74356","5.1","SECTION 5.1","NarrativeContent","NarrativeContent_22","<div><p>For Lilly studies, the following definitions are used:</p>
<div>
  <div><strong>Screen</strong></div>
  <div>
    <p>Screening is the act of determining if an individual meets minimum requirements to become part of a pool of potential candidates for participation in a clinical study.</p>
    <p>In this study, <strong>screening</strong> will include asking the candidate preliminary questions (such as age and general health status) and conducting invasive or diagnostic procedures and/or tests (for example, diagnostic psychological tests, x-rays, blood draws). Patients will sign the consent at their screening visit, thereby consenting to undergo the screening procedures and to participate in the study if they qualify.</p>
  </div>  
</div>
<div>
  <div>To <strong>enter</strong></div>
  <div>
    <p>Patients <strong>entered</strong> into the study are those from whom informed consent for the study has been obtained. Adverse events will be reported for each patient who has <strong>entered</strong> the study, even if the patient is never assigned to a treatment group (<strong>enrolled</strong>).</p></div>
  </div>  
</div>
<div>
  <div>To <strong>enroll</strong></div>
  <div>
    <p>Patients who are enrolled in the study are those who have been assigned to a treatment group. Patients who are entered into the study but fail to meet criteria specified in the protocol for treatment assignment will not be enrolled in the study.</p></div>
  </div>  
</div>
<p>At Visit 1, patients who meet the enrollment criteria of Mini-Mental State Examination (MMSE) score of 10 to 23 (Attachment LZZT.6), Hachinski Ischemia Score ≤4 (Attachment LZZT.8), a physical exam, safety labs, ECG, and urinalysis, will proceed to Visit 2 and Visit 3. At Visit 3, patients whose CNS imaging and other pending labs from Visit 1 satisfy the inclusion criteria (Section 3.4.2.1) will be enrolled in the study. Approximately 300 patients with a diagnosis of probable mild to moderate AD will be enrolled in the study.</p></div>","Selection of Trial Population"
"5f9c9925-df4f-4360-92eb-1060af5be0bc","5.2","SECTION 5.2","NarrativeContent","NarrativeContent_23","<div></div>","Rationale for Trial Population"
"3c3e808e-34d1-4765-8566-4f7decf69ba7","5.3","SECTION 5.3","NarrativeContent","NarrativeContent_24","<div><usdm:section name=""M11-inclusion""></div>","Inclusion Criteria"
"dd7d69bd-60ed-41d1-b484-88e96d359987","5.4","SECTION 5.4","NarrativeContent","NarrativeContent_25","<div><usdm:section name=""M11-exclusion""></div>","Exclusion Criteria"
"9329c8af-08a1-4561-ab2d-c8f79baf5073","5.5","SECTION 5.5","NarrativeContent","NarrativeContent_26","<div></div>","Lifestyle Considerations"
"055d208a-2551-4e4d-9d37-0b14f6344631","5.5.1","SECTION 5.5.1","NarrativeContent","NarrativeContent_27","<div></div>","Meals and Dietary Restrictions"
"1e0c8269-496d-4c94-8b2f-27e8f0492145","5.5.2","SECTION 5.5.2","NarrativeContent","NarrativeContent_28","<div><p>Not applicable</p></div>","Caffeine, Alcohol, Tobacco, and Other Habits"
"7a99e51d-4703-4861-b96a-69f6bd35b4c8","5.5.3","SECTION 5.5.3","NarrativeContent","NarrativeContent_29","<div></div>","Physical Activity"
"5c43c40f-cfd5-4c3d-aa34-62dca25573b3","5.5.4","SECTION 5.5.4","NarrativeContent","NarrativeContent_30","<div></div>","Other Activity"
"e89dec6c-f375-4397-a2fc-b29b25231897","5.6","SECTION 5.6","NarrativeContent","NarrativeContent_31","<div></div>","Screen Failures"
"58bfcbec-6721-4d46-a8aa-d1be5233d3be","6","SECTION 6","NarrativeContent","NarrativeContent_32","<div></div>","TRIAL INTERVENTION AND CONCOMITANT THERAPY"
"8a1ecb91-8aa0-41e0-92b7-a6a1ad1ea60f","6.1","SECTION 6.1","NarrativeContent","NarrativeContent_33","<div></div>","Description of Trial Intervention"
"c7ed0324-a841-4899-b94f-a23b5f76b1eb","6.2","SECTION 6.2","NarrativeContent","NarrativeContent_34","<div></div>","Rationale for Trial Intervention"
"8d69c0a1-9a17-40b0-91c1-420502090b44","6.3","SECTION 6.3","NarrativeContent","NarrativeContent_35","<div></div>","Dosing and Administration"
"fc1ac43a-25fd-495d-ab71-1c48775dffac","6.3.1","SECTION 6.3.1","NarrativeContent","NarrativeContent_36","<div></div>","Trial Intervention Dose Modification"
"01beb160-77cb-42d5-9fd2-73fb29abeb2b","6.4","SECTION 6.4","NarrativeContent","NarrativeContent_37","<div></div>","Treatment of Overdose"
"80d6a7da-91c8-41d2-9740-12aaaa9983db","6.5","SECTION 6.5","NarrativeContent","NarrativeContent_38","<div></div>","Preparation, Handling, Storage and Accountability"
"3aba29a5-11ed-46ad-bd54-e587856ded8c","6.5.1","SECTION 6.5.1","NarrativeContent","NarrativeContent_39","<div></div>","Preparation of Trial Intervention"
"a1f29f59-4df0-429c-929c-5b4aec0e7082","6.5.2","SECTION 6.5.2","NarrativeContent","NarrativeContent_40","<div></div>","Handling and Storage of Trial Intervention"
"bfa4cd70-3c0a-4bb7-bc3e-293db5c99e5e","6.5.3","SECTION 6.5.3","NarrativeContent","NarrativeContent_41","<div></div>","Accountability of Trial Intervention"
"4447767f-2add-4cf6-9d92-ceab29a0948c","6.6","SECTION 6.6","NarrativeContent","NarrativeContent_42","<div></div>","Participant Assignment, Randomisation and Blinding"
"e36ce89e-e9c9-45a5-9aba-00ad7bde5d2b","6.6.1","SECTION 6.6.1","NarrativeContent","NarrativeContent_43","<div></div>","Participant Assignment"
"db993777-27fa-4265-b0a3-ad6bd380b8e9","6.6.2","SECTION 6.6.2","NarrativeContent","NarrativeContent_44","<div></div>","Randomisation"
"e65fb2fc-6271-43c7-b9c6-cfae53cb3bbf","6.6.3","SECTION 6.6.3","NarrativeContent","NarrativeContent_45","<div><p>The study will be double-blind. To further preserve the blinding of the study, only a minimum number of Lilly and CRO personnel will see the randomization table and codes before the study is complete.</p>
<p>Emergency codes generated by a computer drug-labeling system will be available to the investigator. These codes, which reveal the patients treatment group, may be opened during the study only if the choice of follow-up treatment depends on the patient’s therapy assignment.</p>
<p>The investigator should make every effort to contact the clinical research physician prior to unblinding a patient’s therapy assignment. If a patient’s therapy assignment is unblinded, Lilly must be notified immediately by telephone. After the study, the investigator must return all sealed and any opened codes.</p></div>","Blinding and Unblinding"
"dbd8f5f0-5700-4a28-aeef-cfa671aaa870","6.7","SECTION 6.7","NarrativeContent","NarrativeContent_46","<div></div>","Trial Intervention Compliance"
"f17594a9-cdb8-45bd-92ce-9c80792241b3","6.8","SECTION 6.8","NarrativeContent","NarrativeContent_47","<div></div>","Concomitant Therapy"
"31f33476-c75b-4a07-8282-128b5ed924c7","6.8.1","SECTION 6.8.1","NarrativeContent","NarrativeContent_48","<div></div>","Prohibited Concomitant Therapy"
"833a47b4-abe0-4d6c-991b-30fb447e57b4","6.8.2","SECTION 6.8.2","NarrativeContent","NarrativeContent_49","<div></div>","Permitted Concomitant Therapy"
"8a63bc2e-49d6-42d3-8c77-f6713a82625a","6.8.3","SECTION 6.8.3","NarrativeContent","NarrativeContent_50","<div></div>","Rescue Therapy"
"5da939d8-ad31-4b10-8867-13c9c0b7bcd2","6.8.4","SECTION 6.8.4","NarrativeContent","NarrativeContent_51","<div></div>","Other Therapy"
"e6b0721e-666a-46e0-80b5-b813eee1118f","7","SECTION 7","NarrativeContent","NarrativeContent_52","<div></div>","DISCONTINUATION OF TRIAL INTERVENTION AND PARTICIPANT WITHDRAWAL FROM TRIAL"
"f5943e82-e5c6-49df-a3fa-d1e5884afc24","7.1","SECTION 7.1","NarrativeContent","NarrativeContent_53","<div></div>","Discontinuation of Trial Intervention"
"10b8eaba-6865-43bc-94fe-117d610f521b","7.1.1","SECTION 7.1.1","NarrativeContent","NarrativeContent_54","<div></div>","Criteria for Permanent Discontinuation of Trial Intervention"
"4fddbb2e-b759-460e-8a5b-cb82e1d063fe","7.1.2","SECTION 7.1.2","NarrativeContent","NarrativeContent_55","<div></div>","Temporary Discontinuation or Interruption of Trial Intervention"
"6e02d3bf-4a8f-4426-b3bc-0e3d34270cb6","7.1.3","SECTION 7.1.3","NarrativeContent","NarrativeContent_56","<div></div>","Rechallenge"
"c6820b6c-4ab6-4f53-9ef8-0225b4d07a52","7.2","SECTION 7.2","NarrativeContent","NarrativeContent_57","<div></div>","Participant Withdrawal from the Trial"
"176cdfc1-49d9-492b-bbf2-f441d4dd6ff3","7.3","SECTION 7.3","NarrativeContent","NarrativeContent_58","<div></div>","Lost to Follow-Up"
"13543b1a-d2e3-4c25-9c4d-801cba2fcc85","7.4","SECTION 7.4","NarrativeContent","NarrativeContent_59","<div></div>","Trial Stopping Rules"
"74e6c958-8a05-4f28-8ee2-289cd12cbe0e","8","SECTION 8","NarrativeContent","NarrativeContent_60","<div></div>","TRIAL ASSESSMENTS AND PROCEDURES"
"406e0649-64c3-4a0d-98f9-7daea6fb0684","8.1","SECTION 8.1","NarrativeContent","NarrativeContent_61","<div></div>","Screening/Baseline Assessments and Procedures"
"0a63f5e7-9878-48d4-b424-acaa77eabeb5","8.2","SECTION 8.2","NarrativeContent","NarrativeContent_62","<div></div>","Efficacy Assessments and Procedures"
"5679cc97-e0c5-4769-a795-4daacf3f6807","8.3","SECTION 8.3","NarrativeContent","NarrativeContent_63","<div></div>","Safety Assessments and Procedures"
"8618aa65-018d-4718-ba9c-90e275016d86","8.3.1","SECTION 8.3.1","NarrativeContent","NarrativeContent_64","<div></div>","Physical Examination"
"42826462-d5cb-4e00-9582-3c4ebd1cdb8d","8.3.2","SECTION 8.3.2","NarrativeContent","NarrativeContent_65","<div></div>","Vital Signs"
"7250c904-94b2-4d9a-a2e6-6460b39a0a06","8.3.3","SECTION 8.3.3","NarrativeContent","NarrativeContent_66","<div></div>","Electrocardiograms"
"2674c988-8262-4090-a660-2948d76deb04","8.3.4","SECTION 8.3.4","NarrativeContent","NarrativeContent_67","<div></div>","Clinical Laboratory Assessments"
"9bc4f2b3-b1f6-4f5c-82e9-a07a1bd09999","8.3.5","SECTION 8.3.5","NarrativeContent","NarrativeContent_68","<div></div>","Suicidal Ideation and Behaviour Risk Monitoring"
"92a4f102-1495-4fd3-966b-1f9bead32aad","8.4","SECTION 8.4","NarrativeContent","NarrativeContent_69","<div></div>","Adverse Events and Serious Adverse Events"
"387d985b-b507-40d8-92cf-41e98aadddc1","8.4.1","SECTION 8.4.1","NarrativeContent","NarrativeContent_70","<div></div>","Definitions of AE and SAE"
"73770109-3eee-4a50-8a20-c23a50105bf9","8.4.2","SECTION 8.4.2","NarrativeContent","NarrativeContent_71","<div></div>","Time Period and Frequency for Collecting AE and SAE Information"
"8cc74eed-fa8a-450a-88f1-225a6386c58e","8.4.3","SECTION 8.4.3","NarrativeContent","NarrativeContent_72","<div></div>","Identifying AEs and SAEs"
"2474f194-e749-4520-aba3-f04d38f2dd20","8.4.4","SECTION 8.4.4","NarrativeContent","NarrativeContent_73","<div></div>","Recording of AEs and SAEs"
"5261e9c1-a2c5-438d-b6a4-cd1f96830718","8.4.5","SECTION 8.4.5","NarrativeContent","NarrativeContent_74","<div></div>","Follow-up of AEs and SAEs"
"b4e2c2e4-81d1-4105-9513-7199c662db6c","8.4.6","SECTION 8.4.6","NarrativeContent","NarrativeContent_75","<div></div>","Reporting of SAEs"
"a41c8368-b53f-46f7-af50-2e77db6df5a3","8.4.7","SECTION 8.4.7","NarrativeContent","NarrativeContent_76","<div></div>","Regulatory Reporting Requirements for SAEs"
"80fec5be-89d0-42a5-9ae0-a32575d7b093","8.4.8","SECTION 8.4.8","NarrativeContent","NarrativeContent_77","<div></div>","Serious and Unexpected Adverse Reaction Reporting"
"c8215091-431a-42be-805d-6ae958e109b8","8.4.9","SECTION 8.4.9","NarrativeContent","NarrativeContent_78","<div></div>","Adverse Events of Special Interest"
"b6df5414-6133-410f-89c1-d456058ee6e5","8.4.10","SECTION 8.4.10","NarrativeContent","NarrativeContent_79","<div></div>","Disease-related Events or Outcomes Not Qualifying as AEs or SAEs"
"8dc6078f-61ca-45af-88b9-91d7dde98eec","8.5","SECTION 8.5","NarrativeContent","NarrativeContent_80","<div></div>","Pregnancy and Postpartum Information"
"61bd208d-d58f-4962-98c2-b907774a7a46","8.5.1","SECTION 8.5.1","NarrativeContent","NarrativeContent_81","<div></div>","Participants Who Become Pregnant During the Trial"
"e75eba4e-8eea-428e-95f1-f02ce7701cc8","8.5.2","SECTION 8.5.2","NarrativeContent","NarrativeContent_82","<div></div>","Participants Whose Partners Become Pregnant"
"34c31ad2-4569-4ad3-b328-7c098ddeb205","8.6","SECTION 8.6","NarrativeContent","NarrativeContent_83","<div></div>","Medical Device Product Complaints for Drug/Device Combination Products"
"34d6caf2-1c00-434c-8500-6d53348ae009","8.6.1","SECTION 8.6.1","NarrativeContent","NarrativeContent_84","<div></div>","Definition of Medical Device Product Complaints"
"ae71a122-9ee9-4791-8728-f3a3447e281c","8.6.2","SECTION 8.6.2","NarrativeContent","NarrativeContent_85","<div></div>","Recording of Medical Device Product Complaints"
"b13374dd-9fcc-4940-9875-db60f2a95201","8.6.3","SECTION 8.6.3","NarrativeContent","NarrativeContent_86","<div></div>","Time Period and Frequency for Collecting Medical Device Product Complaints ."
"3cbba562-8dd1-420f-94bc-99b8b3633b33","8.6.4","SECTION 8.6.4","NarrativeContent","NarrativeContent_87","<div></div>","Follow-Up of Medical Device Product Complaints"
"ffe21beb-0876-488a-8d2a-3714b844851e","8.6.5","SECTION 8.6.5","NarrativeContent","NarrativeContent_88","<div></div>","Regulatory Reporting Requirements for Medical Device Product Complaints"
"f67f3cbb-4714-4e17-9ab4-5515ab2117f4","8.7","SECTION 8.7","NarrativeContent","NarrativeContent_89","<div></div>","Pharmacokinetics"
"4273435d-a56b-4c31-b57d-2c0722460c7d","8.8","SECTION 8.8","NarrativeContent","NarrativeContent_90","<div></div>","Genetics"
"567dd518-37bf-4fc8-97ca-ea73f9b78cac","8.9","SECTION 8.9","NarrativeContent","NarrativeContent_91","<div></div>","Biomarkers"
"23e3aa25-d370-4181-9a76-ae642cc25cfa","8.1","SECTION 8.1","NarrativeContent","NarrativeContent_92","<div></div>","Immunogenicity Assessments"
"9b3666dd-a550-407a-aed9-bb9c3664859d","8.1.1","SECTION 8.1.1","NarrativeContent","NarrativeContent_93","<div></div>","Medical Resource Utilisation and Health Economics"
"0c8ca53c-e0aa-4409-9160-fe704219a218","9","SECTION 9","NarrativeContent","NarrativeContent_94","<div></div>","STATISTICAL CONSIDERATIONS"
"7117e51b-c26f-42f7-a5ee-df0009ef3d15","9.1","SECTION 9.1","NarrativeContent","NarrativeContent_95","<div></div>","Analysis Sets"
"bf886e78-1aef-4468-b4bf-a4e151041cd6","9.2","SECTION 9.2","NarrativeContent","NarrativeContent_96","<div></div>","Analyses Supporting Primary Objective(s)"
"5d402fa5-05aa-4425-8602-dce1247186b9","9.2.1","SECTION 9.2.1","NarrativeContent","NarrativeContent_97","<div></div>","Statistical Model, Hypothesis, and Method of Analysis"
"dddefcc2-4927-4857-b5cd-e54e28e5cf49","9.2.2","SECTION 9.2.2","NarrativeContent","NarrativeContent_98","<div></div>","Handling of Intercurrent Events of Primary Estimand(s)"
"884af079-ad13-44bf-bf04-2ee244563bb7","9.2.3","SECTION 9.2.3","NarrativeContent","NarrativeContent_99","<div></div>","Handling of Missing Data"
"f3977d70-ca79-42f5-8156-404cc33ec6f1","9.2.4","SECTION 9.2.4","NarrativeContent","NarrativeContent_100","<div></div>","Sensitivity Analysis"
"91c0397c-1957-453f-934f-6874edfd6b5d","9.2.5","SECTION 9.2.5","NarrativeContent","NarrativeContent_101","<div></div>","Supplementary Analysis"
"f9a2911b-f568-464b-a2bb-0291ed30b663","9.3","SECTION 9.3","NarrativeContent","NarrativeContent_102","<div></div>","Analysis Supporting Secondary Objective(s)"
"8328c55b-0846-4661-87df-a600186f120a","9.4","SECTION 9.4","NarrativeContent","NarrativeContent_103","<div></div>","Analysis of Exploratory Objective(s)"
"391340ec-6345-4560-8878-05d94e9d48c1","9.5","SECTION 9.5","NarrativeContent","NarrativeContent_104","<div></div>","Safety Analyses"
"e6c567f1-d02c-4c70-b31c-84856aebf6ec","9.6","SECTION 9.6","NarrativeContent","NarrativeContent_105","<div></div>","Other Analyses"
"7e3e955f-4596-4fb7-9b29-c844a5e30ed5","9.7","SECTION 9.7","NarrativeContent","NarrativeContent_106","<div></div>","Interim Analyses"
"4043357d-0838-4f35-9836-4b884040b6b3","9.8","SECTION 9.8","NarrativeContent","NarrativeContent_107","<div></div>","Sample Size Determination"
"6457c582-e61d-4a83-9021-2d9672c1d8ba","9.9","SECTION 9.9","NarrativeContent","NarrativeContent_108","<div></div>","Protocol Deviations"
"10a533e3-8072-490a-9250-1dde8b6c5de0","10","SECTION 10","NarrativeContent","NarrativeContent_109","<div></div>","GENERAL CONSIDERATIONS: REGULATORY, ETHICAL, AND TRIAL OVERSIGHT"
"31cf17d7-a275-4d6d-9159-1f36ccb3dead","10.1","SECTION 10.1","NarrativeContent","NarrativeContent_110","<div></div>","Regulatory and Ethical Considerations"
"bb417645-2971-493d-977f-3b2ed4d297cf","10.2","SECTION 10.2","NarrativeContent","NarrativeContent_111","<div></div>","Committees"
"4b06bfbc-f2e9-4c16-8943-a1fb976d28c1","10.3","SECTION 10.3","NarrativeContent","NarrativeContent_112","<div></div>","Informed Consent Process"
"8b553f25-3ebf-45a7-aa53-56e0fd60f891","10.4","SECTION 10.4","NarrativeContent","NarrativeContent_113","<div></div>","Data Protection"
"20c42d2c-010e-471f-886c-6fc54998c4cc","10.5","SECTION 10.5","NarrativeContent","NarrativeContent_114","<div></div>","Early Site Closure or Trial Termination"
"3f6757c1-4960-4b03-bd43-00f5489d1182","11","SECTION 11","NarrativeContent","NarrativeContent_115","<div></div>","GENERAL CONSIDERATIONS: RISK MANAGEMENT AND QUALITY ASSURANCE"
"bfa17231-68b9-48c1-9779-663fa812eeba","11.1","SECTION 11.1","NarrativeContent","NarrativeContent_116","<div></div>","Quality Tolerance Limits"
"7b3d2ebb-d3d3-4cf9-aba5-fae44bda65b0","11.2","SECTION 11.2","NarrativeContent","NarrativeContent_117","<div></div>","Data Quality Assurance"
"baf39508-c7d9-4174-a360-2bea841be2f7","11.3","SECTION 11.3","NarrativeContent","NarrativeContent_118","<div></div>","Source Data"
"65089040-e9a3-4fcf-afdd-3e3c235c27be","12","SECTION 12","NarrativeContent","NarrativeContent_119","<div></div>","APPENDIX: ADVERSE EVENTS AND SERIOUS ADVERSE EVENTS - DEFINITIONS, SEVERITY, AND CAUSALITY"
"4cb1c2c5-fb32-4ce8-ac0b-5fa47039005f","12.1","SECTION 12.1","NarrativeContent","NarrativeContent_120","<div></div>","Further Details and Clarifications on the AE Definition"
"aa4c53b5-62cf-47e6-a58f-f3bc158f0094","12.2","SECTION 12.2","NarrativeContent","NarrativeContent_121","<div></div>","Further Details and Clarifications on the SAE Definition"
"5578c073-8fdf-428a-a531-036e531601cd","12.3","SECTION 12.3","NarrativeContent","NarrativeContent_122","<div></div>","Severity"
"e843041c-8b6d-45f6-883d-f61fe863d1ba","12.4","SECTION 12.4","NarrativeContent","NarrativeContent_123","<div></div>","Causality"
"5e94f7f9-7777-436e-80ac-583996b32411","13","SECTION 13","NarrativeContent","NarrativeContent_124","<div></div>","APPENDIX: DEFINITIONS AND SUPPORTING OPERATIONAL DETAILS"
"b60f2be5-8f8a-4294-8773-e634046db2a9","13.1","SECTION 13.1","NarrativeContent","NarrativeContent_125","<div></div>","Contraception and Pregnancy Testing"
"4e4f9bdd-adeb-47bd-be31-b815a23aba27","13.1.1","SECTION 13.1.1","NarrativeContent","NarrativeContent_126","<div></div>","Definitions Related to Childbearing Potential"
"5c81f7c2-4498-4d87-9fd8-135abcccd17f","13.1.2","SECTION 13.1.2","NarrativeContent","NarrativeContent_127","<div></div>","Contraception"
"c1a98c30-8f4e-4ed8-8b4b-cc3596113b3f","13.1.3","SECTION 13.1.3","NarrativeContent","NarrativeContent_128","<div></div>","Pregnancy Testing"
"8d341cf3-7ff3-4f43-92a0-fac787ccb9f3","13.2","SECTION 13.2","NarrativeContent","NarrativeContent_129","<div></div>","Clinical Laboratory Tests"
"de32beb4-96f6-43ed-a236-cae8a7b5cfa6","13.3","SECTION 13.3","NarrativeContent","NarrativeContent_130","<div></div>","Country/Region-Specific Differences"
"a255da3e-0958-4b54-92b3-b54e72aa0c41","13.4","SECTION 13.4","NarrativeContent","NarrativeContent_131","<div></div>","Prior Protocol Amendments"
"a5b83cd4-cbfa-4ca8-91e3-7d1e86912875","14","SECTION 14","NarrativeContent","NarrativeContent_132","<div></div>","APPENDIX: GLOSSARY OF TERMS"
"01c2c0fc-c470-47c4-bce3-9eb2fd4c5340","15","SECTION 15","NarrativeContent","NarrativeContent_133","<div></div>","APPENDIX: REFERENCES"
