"bcSynonyms","bcReference","uuid:ID","name","id","label"
"['Adverse Event Reported Term', 'AETERM']","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C41331","9060e2ed-a0d4-4221-b800-9f3b96fb8207","Adverse Event","BiomedicalConcept_1","Adverse Event"
"['SYSBP']","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25298","6999d7fb-09fe-44f8-b87b-af8774ed9b55","Systolic Blood Pressure","BiomedicalConcept_2","Systolic Blood Pressure"
"['DIABP']","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25299","1be18d67-4734-44c5-90a6-e0db5e5b2115","Diastolic Blood Pressure","BiomedicalConcept_3","Diastolic Blood Pressure"
"['Temperature']","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C174446","839a49f8-8e80-4588-a1fe-7a23cba7f65f","Body Temperature","BiomedicalConcept_4","Body Temperature"
"['Weight']","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C81328","5177023d-b0af-4787-8b61-5cfbaa7b14b6","Body Weight","BiomedicalConcept_5","Body Weight"
"['Height']","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C164634","2320aa4f-afcb-4d36-bb17-ac76e76400ec","Body Height","BiomedicalConcept_6","Body Height"
"['ALT', 'SGPT']","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64433","07978c82-2f70-45bb-9b58-626ab5934c50","Alanine Aminotransferase Measurement","BiomedicalConcept_7","Alanine Aminotransferase Measurement"
"['Albumin']","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64431","2e516276-38b4-47b6-8522-3020b434e5bc","Albumin Measurement","BiomedicalConcept_8","Albumin Measurement"
"['Alkaline Phosphatase']","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64432","fb040c74-3b33-4dc0-b6cb-e951882d29e5","Alkaline Phosphatase Measurement","BiomedicalConcept_9","Alkaline Phosphatase Measurement"
"['AST', 'SGOT']","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64467","b7b464a7-3cce-4d2b-a1d5-94537615baa6","Aspartate Aminotransferase Measurement","BiomedicalConcept_10","Aspartate Aminotransferase Measurement"
"['Creatinine']","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64547","dfd1c897-6979-4b57-abb3-ec37e4b026cc","Creatinine Measurement","BiomedicalConcept_11","Creatinine Measurement"
"['Potassium', 'K']","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64853","472a2bbd-5939-4a7f-a546-98825848d0ca","Potassium Measurement","BiomedicalConcept_12","Potassium Measurement"
"['Sodium', 'NA']","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64809","be51ba04-f0de-4fda-818b-629cdf6592b0","Sodium Measurement","BiomedicalConcept_13","Sodium Measurement"
"['SYSBP']","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25298","d6690b98-01e5-4005-a24b-f076bd32ccc4","Systolic Blood Pressure","BiomedicalConcept_14","Systolic Blood Pressure"
"['DIABP']","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25299","dd5a14f9-520e-4177-a68e-4dcc98b19114","Diastolic Blood Pressure","BiomedicalConcept_15","Diastolic Blood Pressure"
"['SYSBP']","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25298","33a46233-27d6-4672-a1d7-3c1facb8d90e","Systolic Blood Pressure","BiomedicalConcept_16","Systolic Blood Pressure"
"['DIABP']","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25299","d71bd5ad-e35c-4be7-a9a4-fed883dd9490","Diastolic Blood Pressure","BiomedicalConcept_17","Diastolic Blood Pressure"
