"sectionTitle","sectionNumber","uuid:ID","name","text","id"
"Rationale for Trial Intervention","6.2","d4d6b2eb-2bba-404e-88cf-21767879e0aa","SECTION 6.2","<div></div>","NarrativeContent_34"
"Dosing and Administration","6.3","6a22df79-bdc5-43b0-9ecd-a4ceb7257629","SECTION 6.3","<div></div>","NarrativeContent_35"
"Trial Intervention Dose Modification","6.3.1","2038f1e8-2e62-4063-99c9-e44d24e29693","SECTION 6.3.1","<div></div>","NarrativeContent_36"
"Treatment of Overdose","6.4","b906b579-a847-4bf2-bbad-56a2720b45fc","SECTION 6.4","<div></div>","NarrativeContent_37"
"Preparation, Handling, Storage and Accountability","6.5","d06578d3-14da-4005-864f-6a724ecc8cf8","SECTION 6.5","<div></div>","NarrativeContent_38"
"Preparation of Trial Intervention","6.5.1","3be8c3ce-7d27-4aba-8e17-b4e5314c7471","SECTION 6.5.1","<div></div>","NarrativeContent_39"
"Handling and Storage of Trial Intervention","6.5.2","2c5de8ed-a47d-4792-aa04-2afae89f58be","SECTION 6.5.2","<div></div>","NarrativeContent_40"
"Accountability of Trial Intervention","6.5.3","c06b696f-8c37-4125-b3a3-8bf04b3e795f","SECTION 6.5.3","<div></div>","NarrativeContent_41"
"Participant Assignment, Randomisation and Blinding","6.6","e032833a-8185-4c4d-9564-d322a43913f2","SECTION 6.6","<div></div>","NarrativeContent_42"
"Participant Assignment","6.6.1","9456c6cf-9775-489a-929f-e77aa73bb22c","SECTION 6.6.1","<div></div>","NarrativeContent_43"
"Randomisation","6.6.2","0033c563-18a6-4457-a91b-5d41ca045dc4","SECTION 6.6.2","<div></div>","NarrativeContent_44"
"Blinding and Unblinding","6.6.3","cd88231c-ee01-4eab-80f2-7ad0e484f64f","SECTION 6.6.3","<div><p>The study will be double-blind. To further preserve the blinding of the study, only a minimum number of Lilly and CRO personnel will see the randomization table and codes before the study is complete.</p>
<p>Emergency codes generated by a computer drug-labeling system will be available to the investigator. These codes, which reveal the patients treatment group, may be opened during the study only if the choice of follow-up treatment depends on the patient’s therapy assignment.</p>
<p>The investigator should make every effort to contact the clinical research physician prior to unblinding a patient’s therapy assignment. If a patient’s therapy assignment is unblinded, Lilly must be notified immediately by telephone. After the study, the investigator must return all sealed and any opened codes.</p></div>","NarrativeContent_45"
"Trial Intervention Compliance","6.7","443f85b3-0913-471e-9098-f27f34075287","SECTION 6.7","<div></div>","NarrativeContent_46"
"Concomitant Therapy","6.8","f381a018-98bb-4744-ad47-8a50296401bd","SECTION 6.8","<div></div>","NarrativeContent_47"
"Prohibited Concomitant Therapy","6.8.1","fd2aaaf2-48c9-4ac0-967e-c4a2892fa44c","SECTION 6.8.1","<div></div>","NarrativeContent_48"
"Permitted Concomitant Therapy","6.8.2","05c23ba4-7c09-425f-bca5-ebf6a9a6384c","SECTION 6.8.2","<div></div>","NarrativeContent_49"
"Rescue Therapy","6.8.3","6c40fc73-d30e-48b1-8f71-ba571c2f2400","SECTION 6.8.3","<div></div>","NarrativeContent_50"
"Other Therapy","6.8.4","1acb6152-a657-425d-b438-86462d17ebf1","SECTION 6.8.4","<div></div>","NarrativeContent_51"
"DISCONTINUATION OF TRIAL INTERVENTION AND PARTICIPANT WITHDRAWAL FROM TRIAL","7","c45f5b1e-bd62-4708-a5ce-f46a1588473b","SECTION 7","<div></div>","NarrativeContent_52"
"Discontinuation of Trial Intervention","7.1","aaec616a-544a-4149-aa12-27d748d2e4ff","SECTION 7.1","<div></div>","NarrativeContent_53"
"Criteria for Permanent Discontinuation of Trial Intervention","7.1.1","dce71aef-838d-43a9-bba0-545935cc126e","SECTION 7.1.1","<div></div>","NarrativeContent_54"
"Temporary Discontinuation or Interruption of Trial Intervention","7.1.2","2286c5ed-1f75-42ee-9f64-99e64b598406","SECTION 7.1.2","<div></div>","NarrativeContent_55"
"Rechallenge","7.1.3","9c381a3c-7aec-4d3b-885e-08d6973f670c","SECTION 7.1.3","<div></div>","NarrativeContent_56"
"Participant Withdrawal from the Trial","7.2","25f3c643-643d-407c-ac86-713b68ee4469","SECTION 7.2","<div></div>","NarrativeContent_57"
"Lost to Follow-Up","7.3","c2a40e21-be89-4cc7-8dbb-073e52558b82","SECTION 7.3","<div></div>","NarrativeContent_58"
"Trial Stopping Rules","7.4","89f69e08-f257-470f-ba09-48a200e42cde","SECTION 7.4","<div></div>","NarrativeContent_59"
"TRIAL ASSESSMENTS AND PROCEDURES","8","a564f622-253f-402f-8ea3-c2d6b8c7de1e","SECTION 8","<div></div>","NarrativeContent_60"
"Screening/Baseline Assessments and Procedures","8.1","5543a9ca-5fbe-4736-b319-984da45a940b","SECTION 8.1","<div></div>","NarrativeContent_61"
"Efficacy Assessments and Procedures","8.2","6204f5b2-5622-49d7-9abb-d701cee67f7c","SECTION 8.2","<div></div>","NarrativeContent_62"
"Safety Assessments and Procedures","8.3","d46c23a5-5d26-47d1-ac65-739359003760","SECTION 8.3","<div></div>","NarrativeContent_63"
"Physical Examination","8.3.1","417bba59-214a-4083-8c33-3eddd6318aff","SECTION 8.3.1","<div></div>","NarrativeContent_64"
"Vital Signs","8.3.2","9da7fa21-566b-44d7-a149-a884ea598992","SECTION 8.3.2","<div></div>","NarrativeContent_65"
"Electrocardiograms","8.3.3","3343008c-3d6e-48f3-8f5f-f5a746166350","SECTION 8.3.3","<div></div>","NarrativeContent_66"
"Clinical Laboratory Assessments","8.3.4","3a0f16d7-c7bd-484a-a042-ee79034d1bff","SECTION 8.3.4","<div></div>","NarrativeContent_67"
"Suicidal Ideation and Behaviour Risk Monitoring","8.3.5","35fc8612-9d46-423e-823c-f7be9a5ab7ce","SECTION 8.3.5","<div></div>","NarrativeContent_68"
"Adverse Events and Serious Adverse Events","8.4","6168debb-4a94-4c75-9caf-f99f5d5963e1","SECTION 8.4","<div></div>","NarrativeContent_69"
"Definitions of AE and SAE","8.4.1","c36dda36-757f-4d86-8244-fc5bd29c0775","SECTION 8.4.1","<div></div>","NarrativeContent_70"
"Time Period and Frequency for Collecting AE and SAE Information","8.4.2","09e8426b-3f23-4d03-8f57-25ad4d5e55c7","SECTION 8.4.2","<div></div>","NarrativeContent_71"
"Identifying AEs and SAEs","8.4.3","058d74b0-773c-4fa6-a52b-392c5613a151","SECTION 8.4.3","<div></div>","NarrativeContent_72"
"Recording of AEs and SAEs","8.4.4","48631a74-65f1-4af8-8dc6-7eeab7c0c48d","SECTION 8.4.4","<div></div>","NarrativeContent_73"
"Follow-up of AEs and SAEs","8.4.5","985e5e67-b035-4242-b249-d26377cf8a16","SECTION 8.4.5","<div></div>","NarrativeContent_74"
"Reporting of SAEs","8.4.6","bfdfd101-2a99-41e9-aae2-f20b4e8a6b06","SECTION 8.4.6","<div></div>","NarrativeContent_75"
"Regulatory Reporting Requirements for SAEs","8.4.7","6726e3ce-65b9-424a-a67f-90d8c28d3e5a","SECTION 8.4.7","<div></div>","NarrativeContent_76"
"Serious and Unexpected Adverse Reaction Reporting","8.4.8","e27f8fd1-8f3d-40bd-9cc2-775af56a10bc","SECTION 8.4.8","<div></div>","NarrativeContent_77"
"Adverse Events of Special Interest","8.4.9","1f06cdcf-015f-4db0-98ec-b4f43797168a","SECTION 8.4.9","<div></div>","NarrativeContent_78"
"Disease-related Events or Outcomes Not Qualifying as AEs or SAEs","8.4.10","2a047a54-dc82-4460-ab50-459d8a2e9a6e","SECTION 8.4.10","<div></div>","NarrativeContent_79"
"Pregnancy and Postpartum Information","8.5","11296928-7208-4751-9f12-0bb8071ce944","SECTION 8.5","<div></div>","NarrativeContent_80"
"Participants Who Become Pregnant During the Trial","8.5.1","22e62bbd-7807-4b39-88ac-9a03085faa3b","SECTION 8.5.1","<div></div>","NarrativeContent_81"
"Participants Whose Partners Become Pregnant","8.5.2","a7606f23-6395-4d86-b7c1-7214cbb805ac","SECTION 8.5.2","<div></div>","NarrativeContent_82"
"Medical Device Product Complaints for Drug/Device Combination Products","8.6","3844bd34-0c73-4935-b557-82bf9ddd6f72","SECTION 8.6","<div></div>","NarrativeContent_83"
"Definition of Medical Device Product Complaints","8.6.1","0fbf5000-bb12-44a5-ad3a-34fac8409da5","SECTION 8.6.1","<div></div>","NarrativeContent_84"
"Recording of Medical Device Product Complaints","8.6.2","8c5ef350-24a4-4b98-bae3-1d6f77cb240b","SECTION 8.6.2","<div></div>","NarrativeContent_85"
"Time Period and Frequency for Collecting Medical Device Product Complaints .","8.6.3","5f89f498-8b6e-40cb-96cc-3e1c99ba5e98","SECTION 8.6.3","<div></div>","NarrativeContent_86"
"Follow-Up of Medical Device Product Complaints","8.6.4","b27fbd34-698b-4b10-adc2-d880baee8d23","SECTION 8.6.4","<div></div>","NarrativeContent_87"
"Regulatory Reporting Requirements for Medical Device Product Complaints","8.6.5","123ddf1e-b07c-4ba2-92b2-5c7b482a0c88","SECTION 8.6.5","<div></div>","NarrativeContent_88"
"Pharmacokinetics","8.7","466ed4b7-451a-4562-835c-9f87a8a3c0ef","SECTION 8.7","<div></div>","NarrativeContent_89"
"Genetics","8.8","7430bdf8-40a3-4872-bebd-4d7cf9249707","SECTION 8.8","<div></div>","NarrativeContent_90"
"Biomarkers","8.9","9c52fa57-4edd-4212-85de-73abf1cdcf1d","SECTION 8.9","<div></div>","NarrativeContent_91"
"Immunogenicity Assessments","8.1","639b6365-ba78-4fe3-b7fd-889729712e6a","SECTION 8.1","<div></div>","NarrativeContent_92"
"Medical Resource Utilisation and Health Economics","8.1.1","d7f1034b-8155-4035-a3ba-b480c93f7a87","SECTION 8.1.1","<div></div>","NarrativeContent_93"
"STATISTICAL CONSIDERATIONS","9","345d0fc3-7ced-4a32-b0e7-de09e06dfcc2","SECTION 9","<div></div>","NarrativeContent_94"
"Analysis Sets","9.1","7b0911b2-3923-4677-8fa6-f794241071de","SECTION 9.1","<div></div>","NarrativeContent_95"
"Analyses Supporting Primary Objective(s)","9.2","cbfd8541-05ab-4b7a-ba02-86296a97ee93","SECTION 9.2","<div></div>","NarrativeContent_96"
"Statistical Model, Hypothesis, and Method of Analysis","9.2.1","3a23da6e-1b73-4f45-84b1-dfdf86a7faa1","SECTION 9.2.1","<div></div>","NarrativeContent_97"
"Handling of Intercurrent Events of Primary Estimand(s)","9.2.2","61b65b12-0887-429a-ba34-0b8db535d0cc","SECTION 9.2.2","<div></div>","NarrativeContent_98"
"Handling of Missing Data","9.2.3","f9505097-c64d-4989-bfc7-80027bb5425c","SECTION 9.2.3","<div></div>","NarrativeContent_99"
"Sensitivity Analysis","9.2.4","e43e872f-7bb0-47d9-9cd9-e3ed9f527525","SECTION 9.2.4","<div></div>","NarrativeContent_100"
"Supplementary Analysis","9.2.5","77fd0f29-5349-4f76-bc87-9baf4f346db1","SECTION 9.2.5","<div></div>","NarrativeContent_101"
"Analysis Supporting Secondary Objective(s)","9.3","aa51a227-06c0-49ca-b495-7737c0d92bc8","SECTION 9.3","<div></div>","NarrativeContent_102"
"Analysis of Exploratory Objective(s)","9.4","9df9c4c0-065a-4416-a709-41b6b38c6905","SECTION 9.4","<div></div>","NarrativeContent_103"
"Safety Analyses","9.5","83e3005a-c6d4-4950-ba75-78ba2898aca4","SECTION 9.5","<div></div>","NarrativeContent_104"
"Other Analyses","9.6","d9ec240e-9241-499c-a7ee-4746980fc3e3","SECTION 9.6","<div></div>","NarrativeContent_105"
"Interim Analyses","9.7","9be2ce25-6e1d-42f3-ad07-62430c1d04a5","SECTION 9.7","<div></div>","NarrativeContent_106"
"Sample Size Determination","9.8","3af52446-b623-4a9f-805a-2e11d4e30dd5","SECTION 9.8","<div></div>","NarrativeContent_107"
"Protocol Deviations","9.9","391456be-d4f7-4372-b989-c96fd4c0a341","SECTION 9.9","<div></div>","NarrativeContent_108"
"GENERAL CONSIDERATIONS: REGULATORY, ETHICAL, AND TRIAL OVERSIGHT","10","403aa3fa-096a-405e-89ff-97122f578969","SECTION 10","<div></div>","NarrativeContent_109"
"Regulatory and Ethical Considerations","10.1","f0177ef6-1c9a-484b-ad90-1b82e0f89cad","SECTION 10.1","<div></div>","NarrativeContent_110"
"Committees","10.2","faf896e9-8c58-493a-87ce-d6eb291f0dbd","SECTION 10.2","<div></div>","NarrativeContent_111"
"Informed Consent Process","10.3","ae1f8886-7f96-467f-b97c-74db0bf36b3c","SECTION 10.3","<div></div>","NarrativeContent_112"
"Data Protection","10.4","be650fb6-d857-4e81-88ca-90caa0a4487d","SECTION 10.4","<div></div>","NarrativeContent_113"
"Early Site Closure or Trial Termination","10.5","795dc724-ee10-438a-8d72-740c522c1d47","SECTION 10.5","<div></div>","NarrativeContent_114"
"GENERAL CONSIDERATIONS: RISK MANAGEMENT AND QUALITY ASSURANCE","11","7bf00b46-4169-4e18-8993-a4ac12c8a587","SECTION 11","<div></div>","NarrativeContent_115"
"Quality Tolerance Limits","11.1","c67ee618-7b02-49c2-808f-e327d2c2408c","SECTION 11.1","<div></div>","NarrativeContent_116"
"Data Quality Assurance","11.2","42448581-e099-4076-93ac-2d312a1c1880","SECTION 11.2","<div></div>","NarrativeContent_117"
"Source Data","11.3","26388184-a8aa-46c3-8810-fd170c9f2310","SECTION 11.3","<div></div>","NarrativeContent_118"
"APPENDIX: ADVERSE EVENTS AND SERIOUS ADVERSE EVENTS - DEFINITIONS, SEVERITY, AND CAUSALITY","12","6ba1b54b-befc-4d8e-993f-615eb5783cf4","SECTION 12","<div></div>","NarrativeContent_119"
"Further Details and Clarifications on the AE Definition","12.1","d0600a0e-0c89-45e3-8822-6014e62e6aa7","SECTION 12.1","<div></div>","NarrativeContent_120"
"Further Details and Clarifications on the SAE Definition","12.2","0c813a1e-5472-4f52-b72e-fa90ed758dac","SECTION 12.2","<div></div>","NarrativeContent_121"
"Severity","12.3","d545aefb-62e7-4123-9089-25d7088855f6","SECTION 12.3","<div></div>","NarrativeContent_122"
"Causality","12.4","c64a712d-c3ec-4879-b974-1cf271f17b79","SECTION 12.4","<div></div>","NarrativeContent_123"
"APPENDIX: DEFINITIONS AND SUPPORTING OPERATIONAL DETAILS","13","cdb90aee-6df4-4778-b143-754933722707","SECTION 13","<div></div>","NarrativeContent_124"
"Contraception and Pregnancy Testing","13.1","2ea5dcf9-df20-4fc1-91cc-7d5ee8d285d6","SECTION 13.1","<div></div>","NarrativeContent_125"
"Definitions Related to Childbearing Potential","13.1.1","8168d4d5-4118-4aca-8f73-e29f1c98e30a","SECTION 13.1.1","<div></div>","NarrativeContent_126"
"Contraception","13.1.2","250297ed-b440-4c6b-9348-228e037130c0","SECTION 13.1.2","<div></div>","NarrativeContent_127"
"Pregnancy Testing","13.1.3","d0bdc67d-17ef-47cf-aaa8-8df9695864bb","SECTION 13.1.3","<div></div>","NarrativeContent_128"
"Clinical Laboratory Tests","13.2","7de68c7b-f3ec-4678-93c7-751601978e55","SECTION 13.2","<div></div>","NarrativeContent_129"
"Country/Region-Specific Differences","13.3","cce93bcc-ec1f-49cd-a1b2-4259a314f68a","SECTION 13.3","<div></div>","NarrativeContent_130"
"Prior Protocol Amendments","13.4","3464b050-9687-43f0-82ba-ee340a9fc438","SECTION 13.4","<div></div>","NarrativeContent_131"
"APPENDIX: GLOSSARY OF TERMS","14","301296a6-7749-48b9-a84c-2c6cd21f6962","SECTION 14","<div></div>","NarrativeContent_132"
"APPENDIX: REFERENCES","15","2c3de146-12a7-4b99-a7d5-e6c7de35db72","SECTION 15","<div></div>","NarrativeContent_133"
