"code","uuid:ID","codeSystemVersion","id","codeSystem","decode"
"C25716","4698bd7c-1ad6-471c-81df-7773c24abccd","2023-09-29","Code_78","http://www.cdisc.org","Visit"
"C51282","92bea149-80cb-40c4-b076-83bb88e56e54","2023-09-29","Code_79","http://www.cdisc.org","Clinic"
"C175574","75c2bdf0-2e8f-4f34-87a3-fe3930795dc6","2023-09-29","Code_80","http://www.cdisc.org","In Person"
"C25716","1dfca2d7-4a1d-4eb0-a774-5890d08912e4","2023-09-29","Code_81","http://www.cdisc.org","Visit"
"C51282","9b33589c-42dc-48ad-9b30-c59dc9e24b13","2023-09-29","Code_82","http://www.cdisc.org","Clinic"
"C175574","1b3f4b48-22e7-4fc3-9300-ccb28163d234","2023-09-29","Code_83","http://www.cdisc.org","In Person"
"C25716","ee5f87c4-44a6-478a-8de1-14835f6b98a6","2023-09-29","Code_84","http://www.cdisc.org","Visit"
"C51282","777d92d6-08cb-4acf-b897-b3c88eea0182","2023-09-29","Code_85","http://www.cdisc.org","Clinic"
"C175574","377ee3a9-532d-48c2-aab3-97cdf1a2cb70","2023-09-29","Code_86","http://www.cdisc.org","In Person"
"C171537","8c59a9e9-1482-4a55-860c-db82d51d5b95","2023-09-29","Code_87","http://www.cdisc.org","Telephone Call"
"C25716","2b953d8b-2f90-4169-aee1-d1018fae834a","2023-09-29","Code_88","http://www.cdisc.org","Visit"
"C51282","a67eef42-6310-4e07-987f-0c3f548b2dbe","2023-09-29","Code_89","http://www.cdisc.org","Clinic"
"C175574","db0b53d2-fbbd-4340-ac9c-277a2b16aceb","2023-09-29","Code_90","http://www.cdisc.org","In Person"
"C171537","edff82be-95b5-49d4-814d-bd15026e4fb8","2023-09-29","Code_91","http://www.cdisc.org","Telephone Call"
"C25716","63ec8f22-038b-4a8a-b0b0-ef5606357e9a","2023-09-29","Code_92","http://www.cdisc.org","Visit"
"C51282","0a9a1076-b872-4115-836e-72d3e1292b15","2023-09-29","Code_93","http://www.cdisc.org","Clinic"
"C175574","886e6e0c-0083-463a-a93c-796990e8f068","2023-09-29","Code_94","http://www.cdisc.org","In Person"
"C171537","6bd044c1-9112-4bb6-afa5-02f351b7c0ce","2023-09-29","Code_95","http://www.cdisc.org","Telephone Call"
"C25716","490f5e6b-ae35-4459-9e47-56adad327f0a","2023-09-29","Code_96","http://www.cdisc.org","Visit"
"C51282","24474d79-37c3-4610-9123-c74c439a7c19","2023-09-29","Code_97","http://www.cdisc.org","Clinic"
"C175574","2a013136-fc3e-422e-9380-e662252f0f03","2023-09-29","Code_98","http://www.cdisc.org","In Person"
"C171537","77470b06-0356-4ab6-a227-9d10cfb75fdc","2023-09-29","Code_99","http://www.cdisc.org","Telephone Call"
"C25716","341255ba-79e2-41a8-a438-5d9fa25b629d","2023-09-29","Code_100","http://www.cdisc.org","Visit"
"C51282","f0ee76e6-6d21-418b-a1c9-8a1f7e1057d3","2023-09-29","Code_101","http://www.cdisc.org","Clinic"
"C175574","e382de58-7c87-48ab-90df-86c30e06497a","2023-09-29","Code_102","http://www.cdisc.org","In Person"
"C25716","c04b6b36-cd33-4ec5-ae94-992f4448bb23","2023-09-29","Code_103","http://www.cdisc.org","Visit"
"C51282","a5cafa85-43b2-4fbc-b86e-4de85138c303","2023-09-29","Code_104","http://www.cdisc.org","Clinic"
"C175574","4e31594a-473a-4efe-af69-b966a0bc12ac","2023-09-29","Code_105","http://www.cdisc.org","In Person"
"383371000119108","a7860ee3-8711-4743-acbd-c2cb70f459a1","January 31, 2018","Code_63","SNOMED","CT of head without contrast"
"123","fc8aaa28-cccf-44e2-a134-9ce468b68357","12","Code_64","SPONSOR","Supine for 5 minutes"
"124","a14a0099-2414-4c73-adc3-73848d564d31","12","Code_65","SPONSOR","Standingfor 1-3 minutes"
"C173522","94fe4ad2-77a1-43c5-9b94-dbebfa3d1676","","Code_244","NCI Thesaurus","Vital Signs Result"
"C42537","d159d732-02c8-4634-ba8c-1f575035c37e","2023-09-29","Code_245","http://www.cdisc.org","Kelvin"
"C44276","4cd1825e-36b0-4652-adda-72838b65ad4c","","Code_246","NCI Thesaurus","Unit of Temperature"
"C83088","dcae539d-4a5e-479e-a463-d5d74ee0069b","","Code_247","NCI Thesaurus","Vital Signs Location"
"C174446","1f318544-ff6f-4124-bbb4-6fc1a1ddd758","","Code_243","NCI Thesaurus","Body Temperature"
"C173522","6cd68450-d9e6-41d4-8942-b54da9e92641","","Code_249","NCI Thesaurus","Vital Signs Result"
"C28252","13034e09-4706-4ef6-9abf-45918e414462","2023-09-29","Code_250","http://www.cdisc.org","Kilogram"
"C48155","8f54bddc-5604-4393-a4f0-7206683aed65","2023-09-29","Code_251","http://www.cdisc.org","Gram"
"C48531","74208279-a509-4d82-b013-aef4a9c7cac0","2023-09-29","Code_252","http://www.cdisc.org","Pound"
"C48208","050599b1-657c-4a48-942b-0027909ae0a5","","Code_253","NCI Thesaurus","Unit of Weight"
"C81328","cbd6a50f-4158-466e-b52b-a14dbb113a83","","Code_248","NCI Thesaurus","Body Weight"
"C173522","f174dfca-0f11-4f91-8813-843513c7f579","","Code_255","NCI Thesaurus","Vital Signs Result"
"C49668","fa215d37-e038-4dbd-8527-6fd5bca5d254","2023-09-29","Code_256","http://www.cdisc.org","Centimeter"
"C48500","1d837f8c-f554-4f50-b4de-1e121ed78acc","2023-09-29","Code_257","http://www.cdisc.org","Inch"
"C28251","75ed0c71-f02a-4146-b468-4a40c45606ab","2023-09-29","Code_258","http://www.cdisc.org","Millimeter"
"C41139","34be4591-97df-4969-b263-cb0e34e70d5b","2023-09-29","Code_259","http://www.cdisc.org","Meter"
"C168688","40b0900e-cfd9-48ce-888b-abf713ffa194","","Code_260","NCI Thesaurus","Unit of Height"
"C164634","0feb797d-4ec2-4537-b708-e83c2b10aa90","","Code_254","NCI Thesaurus","Body Height"
"C36292","142676c7-800f-45e9-88a0-4f4bd8e9170d","","Code_262","NCI Thesaurus","Laboratory Test Result"
"C83309","c7f47f68-3267-4b72-9982-af3ada3f077a","","Code_263","NCI Thesaurus","Laboratory Test Fasting Status"
"C67365","9af82641-4c78-4501-959c-c61a518ead86","","Code_264","NCI Thesaurus","Unit of Catalytic Activity Concentration"
"C70713","5474b121-598c-4b16-a8f1-f26e22401071","","Code_265","NCI Thesaurus","Biospecimen Type"
"C64433","5d08e4f5-b4aa-4106-bddd-f03b7cb82ff7","","Code_261","NCI Thesaurus","Alanine Aminotransferase Measurement"
"C36292","71f6c168-d9de-4775-b913-4613b0f1d8d8","","Code_267","NCI Thesaurus","Laboratory Test Result"
"C83309","4bbe2a60-6e2e-4d19-b7c6-305c219bcde9","","Code_268","NCI Thesaurus","Laboratory Test Fasting Status"
"C48207","2e3944a4-25f5-4877-8cd0-d689dbe6524a","","Code_269","NCI Thesaurus","Unit of Concentration"
"C70713","a37f8fb8-a932-4c66-a4a7-2825cdc9cd76","","Code_270","NCI Thesaurus","Biospecimen Type"
"C64431","618b8086-e340-47b3-81fe-7e5d200408d2","","Code_266","NCI Thesaurus","Albumin Measurement"
"C36292","8ffab81f-f330-4610-ac61-ab1b89c12bbb","","Code_272","NCI Thesaurus","Laboratory Test Result"
"C83309","98a8b37c-3bd5-4021-8028-c92faf8926a4","","Code_273","NCI Thesaurus","Laboratory Test Fasting Status"
"C67365","55f72874-8a50-4c00-b348-6801c4483693","","Code_274","NCI Thesaurus","Unit of Catalytic Activity Concentration"
"C70713","d248ab20-599f-439c-a5e9-c4a6926ededd","","Code_275","NCI Thesaurus","Biospecimen Type"
"C64432","229b9d47-d6b8-4f9a-974e-bacc17aaf9c9","","Code_271","NCI Thesaurus","Alkaline Phosphatase Measurement"
"C36292","4eb1a551-9b65-4d0d-a4d5-6fd309b63480","","Code_277","NCI Thesaurus","Laboratory Test Result"
"C83309","21b93a2a-af97-41ee-9ef9-5ff2b96011bf","","Code_278","NCI Thesaurus","Laboratory Test Fasting Status"
"C67365","4058adc3-ef1e-4b88-9ff8-63cd81a7d8e6","","Code_279","NCI Thesaurus","Unit of Catalytic Activity Concentration"
"C70713","f436be2c-5645-449f-9e08-4958a5c00d36","","Code_280","NCI Thesaurus","Biospecimen Type"
"C64467","9c9261bd-be63-4da2-afa2-04676fe0f04a","","Code_276","NCI Thesaurus","Aspartate Aminotransferase Measurement"
"C36292","3797cd6d-4624-4d68-8337-ebf6704ce42f","","Code_282","NCI Thesaurus","Laboratory Test Result"
"C83309","37518ae7-043f-4286-9cdf-6c64798d2b9a","","Code_283","NCI Thesaurus","Laboratory Test Fasting Status"
"C48207","769cf308-d504-4e3a-9369-b3dc1198c4fe","","Code_284","NCI Thesaurus","Unit of Concentration"
"C70713","5b026b23-408c-444c-b51b-e22d8df1d350","","Code_285","NCI Thesaurus","Biospecimen Type"
"C64547","1124ff27-13a0-4c07-b32a-8523bf201b21","","Code_281","NCI Thesaurus","Creatinine Measurement"
"C36292","9e3218ff-aede-4b31-819e-b731d7cf7fc5","","Code_287","NCI Thesaurus","Laboratory Test Result"
"C83309","4204f4b7-13a5-4a1d-a278-65c51061b76f","","Code_288","NCI Thesaurus","Laboratory Test Fasting Status"
"C64567","3555562d-e6e0-4a96-ac75-ab3141fddce2","","Code_289","NCI Thesaurus","Molarity Unit"
"C70713","7a09f7a7-5133-4ea3-afbe-d61b847bf407","","Code_290","NCI Thesaurus","Biospecimen Type"
"C64853","3db8b56d-13ea-46f9-85b8-9a02a2ff6442","","Code_286","NCI Thesaurus","Potassium Measurement"
"C36292","26b4be15-0ed7-4b29-8831-d24c39d4e2a6","","Code_292","NCI Thesaurus","Laboratory Test Result"
"C83309","70ee4d15-0b19-43e3-b492-a3f3cba835f6","","Code_293","NCI Thesaurus","Laboratory Test Fasting Status"
"C64567","866eb5aa-b22c-4ca9-a783-b5a2c8038a51","","Code_294","NCI Thesaurus","Molarity Unit"
"C70713","5f3fa100-fd19-4348-81a5-5df6a8e32b53","","Code_295","NCI Thesaurus","Biospecimen Type"
"C64809","ca7f3937-a9e1-48da-a01e-60cb5390035c","","Code_291","NCI Thesaurus","Sodium Measurement"
"C78541","841948d4-b69f-4454-a541-8f2f3df8e0bd","","Code_126","NCI Thesaurus","Adverse Event Verbatim Description"
"C83344","25c3c2a7-9289-4814-888c-bc8aef670995","","Code_127","NCI Thesaurus","Adverse Event Dictionary Derived Term"
"C83198","e7005264-6710-49ed-9926-c3b51f7a78b3","","Code_128","NCI Thesaurus","Adverse Event Category"
"C83212","12811271-1b4e-4cbd-863e-b20b3c540e74","","Code_129","NCI Thesaurus","Adverse Event Subcategory"
"C87840","448eb4bf-b8c3-4785-ac43-5068c442eaab","","Code_130","NCI Thesaurus","Adverse Event Pre-specified"
"C53253","1d37e7c6-a7d1-4bb7-9515-d48e93ead85d","","Code_131","NCI Thesaurus","Severity of Adverse Event"
"C78605","9ad24c17-2323-430d-8e2c-90817b3553d2","","Code_132","NCI Thesaurus","Adverse Event Toxicity Grade"
"C53252","7ce87bd0-62a6-48c0-abb8-49df98ca2b2f","","Code_133","NCI Thesaurus","Seriousness of Adverse Event"
"C17998","fc7e1cf4-d34b-4b1e-8a41-723899b882fb","2023-09-29","Code_134","http://www.cdisc.org","Unknown"
"C83013","d3ab3e92-1d53-477b-9341-6fd8f730a8c5","","Code_135","NCI Thesaurus","Adverse Event Action Taken with Study Treatment"
"C41358","ed3d020f-f63b-4fa9-8957-2737cbeb5cd9","","Code_136","NCI Thesaurus","Adverse Event Attribution to Product or Procedure"
"C83208","e9064645-1f22-4884-9279-b96a133acd9e","","Code_137","NCI Thesaurus","Adverse Event Pattern"
"C17998","eeaf42e6-52fd-40b6-ba63-4cffa97f4472","2023-09-29","Code_138","http://www.cdisc.org","Unknown"
"C49489","a1242222-7dea-4b09-852d-e6d4528aed27","","Code_139","NCI Thesaurus","Adverse Event Outcome"
"C83215","e7f9e685-d012-4600-be6c-9932bd1e9bfc","","Code_140","NCI Thesaurus","Adverse Event Start Date Time"
"C83201","9154f8d2-981f-46c8-a915-2ae246522401","","Code_141","NCI Thesaurus","Adverse Event End Date Time"
"C41331","f422eb3c-9147-4620-a982-df71fd46772e","","Code_125","NCI Thesaurus","Adverse Event"
"C173522","e38aafef-5d84-48a7-b325-8e1bf8746a90","","Code_143","NCI Thesaurus","Vital Signs Result"
"C42547","9781aeda-a13f-4447-aed1-d9b811129695","2023-09-29","Code_144","http://www.cdisc.org","Pascal"
"C49669","709aa261-1986-4345-89a4-082c91ed4d15","","Code_145","NCI Thesaurus","Unit of Pressure"
"C83088","749ac151-cf66-423d-9d03-d04e5e88c026","","Code_146","NCI Thesaurus","Vital Signs Location"
"C123975","1a69901d-e306-4bbe-bdb4-415d0b03f653","","Code_147","NCI Thesaurus","Vital Signs Laterality"
"C82535","e5da6b8a-5a46-4017-b29d-07add82b2617","","Code_148","NCI Thesaurus","Test Method"
"C83114","38441b8e-fb01-4df6-99db-1091d76cf8d5","","Code_149","NCI Thesaurus","Vital Signs Position"
"C25298","2edd3a2f-5d9c-40f3-8b07-fed5bb99876b","","Code_142","NCI Thesaurus","Systolic Blood Pressure"
"C173522","8e66280c-9bec-4bd3-8330-8ccddae11769","","Code_151","NCI Thesaurus","Vital Signs Result"
"C42547","6fa705dc-3413-4814-9efb-76c921f9748f","2023-09-29","Code_152","http://www.cdisc.org","Pascal"
"C49669","9dcad0d2-e3a7-4e45-99d2-576da5ec0b2e","","Code_153","NCI Thesaurus","Unit of Pressure"
"C83088","d8e097cd-2efd-4ba2-98e5-185c9887f45c","","Code_154","NCI Thesaurus","Vital Signs Location"
"C123975","31fd9a2e-74a0-4da0-827e-9e6c6d720251","","Code_155","NCI Thesaurus","Vital Signs Laterality"
"C82535","d6ef5352-09ac-4052-8542-486fe3f8786e","","Code_156","NCI Thesaurus","Test Method"
"C83114","fa9b268b-93b4-4d5b-901b-06b847221f07","","Code_157","NCI Thesaurus","Vital Signs Position"
"C25299","6e88a13d-1670-410d-95bb-ea00fcc2bfba","","Code_150","NCI Thesaurus","Diastolic Blood Pressure"
"C173522","8a998c5a-80d4-4d64-9d2f-63e41b9ccda1","","Code_159","NCI Thesaurus","Vital Signs Result"
"C42537","87dd73cb-08f0-43f6-a16b-fd7884d7e6aa","2023-09-29","Code_160","http://www.cdisc.org","Kelvin"
"C44276","0b0d96ff-a041-43cc-9227-829b63c710dc","","Code_161","NCI Thesaurus","Unit of Temperature"
"C83088","24e8395c-db7a-4f6c-99b4-fe9da5c226fb","","Code_162","NCI Thesaurus","Vital Signs Location"
"C174446","86dd93b8-17af-4e36-944f-1ba617d70806","","Code_158","NCI Thesaurus","Body Temperature"
"C173522","a487fed4-71ff-431d-bdfd-1361ddb383c3","","Code_164","NCI Thesaurus","Vital Signs Result"
"C28252","362b7920-d03b-47c8-a8d1-951d71d4e5ce","2023-09-29","Code_165","http://www.cdisc.org","Kilogram"
"C48155","fde53e5f-4c04-4677-b290-194b08c3bef4","2023-09-29","Code_166","http://www.cdisc.org","Gram"
"C48531","5e948d0c-fcc5-4bf7-b5ea-0e3b87f387a3","2023-09-29","Code_167","http://www.cdisc.org","Pound"
"C48208","5c29a68e-7b20-4e50-9738-ae71d73bb9b0","","Code_168","NCI Thesaurus","Unit of Weight"
"C81328","c6845e1f-d538-4237-a7f2-c48a4b26849b","","Code_163","NCI Thesaurus","Body Weight"
"C173522","cd6ccdc8-2791-4597-96d7-65d916eb7a85","","Code_170","NCI Thesaurus","Vital Signs Result"
"C49668","caa5ad5c-0bff-44aa-b7a5-683ee0609495","2023-09-29","Code_171","http://www.cdisc.org","Centimeter"
"C48500","805d5996-0531-4c7d-a245-a82e3a0ba0ed","2023-09-29","Code_172","http://www.cdisc.org","Inch"
"C28251","e2d566d1-51c9-4b9b-9963-d1da063757b5","2023-09-29","Code_173","http://www.cdisc.org","Millimeter"
"C41139","0a0fee3d-a0b7-47ea-a6d8-5e8e37a5c181","2023-09-29","Code_174","http://www.cdisc.org","Meter"
"C168688","edf4488e-8d6c-44d8-9b37-4ae31ea8fc11","","Code_175","NCI Thesaurus","Unit of Height"
"C164634","54eb4928-f36c-4f62-be48-622a823112d2","","Code_169","NCI Thesaurus","Body Height"
"C36292","d9afc35f-148f-44df-b1e5-361a1866beb4","","Code_177","NCI Thesaurus","Laboratory Test Result"
"C83309","5057ef34-653e-4079-9267-1214a63f5a46","","Code_178","NCI Thesaurus","Laboratory Test Fasting Status"
"C67365","f60b72e1-c134-4a69-af78-7e9f1ae1dbba","","Code_179","NCI Thesaurus","Unit of Catalytic Activity Concentration"
"C70713","adb2be2b-b359-4097-88ba-795b25763351","","Code_180","NCI Thesaurus","Biospecimen Type"
"C64433","4ba0631e-80eb-4ab6-aff9-04b9c22b8973","","Code_176","NCI Thesaurus","Alanine Aminotransferase Measurement"
"C36292","4f31cebb-75a9-4dbd-bc30-d2758f72e20c","","Code_182","NCI Thesaurus","Laboratory Test Result"
"C83309","7572796a-5566-4c89-89e2-44eefb651bea","","Code_183","NCI Thesaurus","Laboratory Test Fasting Status"
"C48207","d2982341-1985-48d8-9f23-59271556c699","","Code_184","NCI Thesaurus","Unit of Concentration"
"C70713","124170bf-60da-4f15-b982-cd8956976815","","Code_185","NCI Thesaurus","Biospecimen Type"
"C64431","e6d40628-e147-42f5-9a74-57a6a4f20a9f","","Code_181","NCI Thesaurus","Albumin Measurement"
"C36292","aa67a63e-b755-4600-bddb-b880f03f1e1f","","Code_187","NCI Thesaurus","Laboratory Test Result"
"C83309","79e915c1-54ee-4828-91d8-56ce72b7c113","","Code_188","NCI Thesaurus","Laboratory Test Fasting Status"
"C67365","c91b2310-18cc-447d-ae0a-bcfea2c34e54","","Code_189","NCI Thesaurus","Unit of Catalytic Activity Concentration"
"C70713","f98e410c-8082-4aab-bcea-9f435d78f31e","","Code_190","NCI Thesaurus","Biospecimen Type"
"C64432","e86d3915-9411-4ea1-a7e5-ada81e71f362","","Code_186","NCI Thesaurus","Alkaline Phosphatase Measurement"
"C36292","c16e05de-14d6-4d91-bfb2-56a526bf2de9","","Code_192","NCI Thesaurus","Laboratory Test Result"
"C83309","8c9990a6-ea45-498a-9fd3-ac0c1c5dd77f","","Code_193","NCI Thesaurus","Laboratory Test Fasting Status"
"C67365","fd4038fe-42ea-4c8a-bca2-b47d4daa08ab","","Code_194","NCI Thesaurus","Unit of Catalytic Activity Concentration"
"C70713","c3f6f463-50a3-433d-83ca-617ca4b20556","","Code_195","NCI Thesaurus","Biospecimen Type"
"C64467","19eb90ad-efe5-4554-92cb-59f1825bd85e","","Code_191","NCI Thesaurus","Aspartate Aminotransferase Measurement"
"C36292","72668957-c2b2-4fc0-bd8e-8a08d78176cd","","Code_197","NCI Thesaurus","Laboratory Test Result"
"C83309","80dcb212-9ef7-4255-a800-52d470a238a0","","Code_198","NCI Thesaurus","Laboratory Test Fasting Status"
"C48207","4a6fdf88-5948-48bc-94cc-2ed4d08fa2c4","","Code_199","NCI Thesaurus","Unit of Concentration"
"C70713","9e8ee1b2-e885-43fe-8587-996461a048bc","","Code_200","NCI Thesaurus","Biospecimen Type"
"C64547","0d0f9808-b336-4396-8b41-3f6d3ed6d4bf","","Code_196","NCI Thesaurus","Creatinine Measurement"
"C36292","ab45c1be-eba3-4fad-8d9c-f8d3db560a5b","","Code_202","NCI Thesaurus","Laboratory Test Result"
"C83309","9750350c-0db8-433d-a08a-a41965f579ab","","Code_203","NCI Thesaurus","Laboratory Test Fasting Status"
"C64567","c27603fc-024a-4f54-afa8-0d9592990caf","","Code_204","NCI Thesaurus","Molarity Unit"
"C70713","dce2be71-7f3a-41e2-be22-0983d0d0ab7e","","Code_205","NCI Thesaurus","Biospecimen Type"
"C64853","2dced347-f001-4ea5-a8a5-26efd11734b7","","Code_201","NCI Thesaurus","Potassium Measurement"
"C36292","9b79aee8-76c5-4c31-8feb-55613900af8a","","Code_207","NCI Thesaurus","Laboratory Test Result"
"C83309","ce7ebf53-8857-44a9-a5e0-b10cf93ca0f5","","Code_208","NCI Thesaurus","Laboratory Test Fasting Status"
"C64567","a1ee654d-8b2e-43b1-a069-bac69126b818","","Code_209","NCI Thesaurus","Molarity Unit"
"C70713","a8c7f1ea-cf75-4c71-9833-3943092e6594","","Code_210","NCI Thesaurus","Biospecimen Type"
"C64809","074e907f-8501-4aeb-aff5-63d530fe96bd","","Code_206","NCI Thesaurus","Sodium Measurement"
"C173522","f585f330-92c4-4537-9c86-3525f9bad85d","","Code_212","NCI Thesaurus","Vital Signs Result"
"C42547","b05489fd-01cd-48c9-8f0f-eb57162f1a26","2023-09-29","Code_213","http://www.cdisc.org","Pascal"
"C49669","90143b75-b7cf-4eb3-ad2d-300d14077181","","Code_214","NCI Thesaurus","Unit of Pressure"
"C83088","9f03ef2c-30e0-43d0-bf75-03b7d734adce","","Code_215","NCI Thesaurus","Vital Signs Location"
"C123975","43168cb1-20be-4538-9dac-026ec1c2d16e","","Code_216","NCI Thesaurus","Vital Signs Laterality"
"C82535","b0950421-55ab-4780-b275-d6275418a28b","","Code_217","NCI Thesaurus","Test Method"
"C83114","f8e6ea32-1df2-4c89-aee0-f514da6eabcc","","Code_218","NCI Thesaurus","Vital Signs Position"
"C25298","a0f00696-7053-44a4-86d1-6f5ddd0b00db","","Code_211","NCI Thesaurus","Systolic Blood Pressure"
"C173522","93bb0a65-5a3e-414d-b443-3ad840b4b585","","Code_220","NCI Thesaurus","Vital Signs Result"
"C42547","3259f840-75f1-46f2-9651-2449837ccb77","2023-09-29","Code_221","http://www.cdisc.org","Pascal"
"C49669","1cb3714a-cfcb-4b14-8ef2-7e58d736205d","","Code_222","NCI Thesaurus","Unit of Pressure"
"C83088","4e236746-4e63-4519-ad27-235aee2b392c","","Code_223","NCI Thesaurus","Vital Signs Location"
"C123975","8a1034dd-381e-4538-8bb8-a55b8dfcfe7d","","Code_224","NCI Thesaurus","Vital Signs Laterality"
"C82535","a0cc967b-fa55-4bb6-b308-b9129b38f444","","Code_225","NCI Thesaurus","Test Method"
"C83114","885d6ec6-9eeb-4cab-ad93-fea3b1c05d97","","Code_226","NCI Thesaurus","Vital Signs Position"
"C25299","a0a379db-5f7f-4d58-921e-b0a86357bbb8","","Code_219","NCI Thesaurus","Diastolic Blood Pressure"
"C173522","31a37b22-24c1-43f1-9c36-b09dd57debc8","","Code_228","NCI Thesaurus","Vital Signs Result"
"C42547","b06b36ec-c1be-4d1d-bfbc-00ecf39a59f3","2023-09-29","Code_229","http://www.cdisc.org","Pascal"
"C49669","9e942b0c-ab91-4396-bb8d-e778f43573ca","","Code_230","NCI Thesaurus","Unit of Pressure"
"C83088","81cc0e90-e2a6-427b-90ba-174d2b84a6b9","","Code_231","NCI Thesaurus","Vital Signs Location"
"C123975","0c8f4543-5268-4b88-b39a-09b1578a6017","","Code_232","NCI Thesaurus","Vital Signs Laterality"
"C82535","4ab93596-f5b9-481f-940a-44f831f3052a","","Code_233","NCI Thesaurus","Test Method"
"C83114","f0092e05-6240-4acc-b664-1fa79d6aefd6","","Code_234","NCI Thesaurus","Vital Signs Position"
"C25298","2768ec91-c891-49fb-9112-65d0d1915deb","","Code_227","NCI Thesaurus","Systolic Blood Pressure"
"C173522","6a1717c8-f174-4c1e-a1ad-8da2aaca622e","","Code_236","NCI Thesaurus","Vital Signs Result"
"C42547","560ae688-d03b-4f67-aead-f9b6048c0734","2023-09-29","Code_237","http://www.cdisc.org","Pascal"
"C49669","6ea4a1b7-78d9-4c10-883f-8dda56a729b7","","Code_238","NCI Thesaurus","Unit of Pressure"
"C83088","469f15ad-9725-4fc4-8ed2-52ca36344236","","Code_239","NCI Thesaurus","Vital Signs Location"
