"id","sectionNumber","sectionTitle","name","uuid:ID","text"
"NarrativeContent_22","5.1","Selection of Trial Population","SECTION 5.1","48d422a8-dd47-4fdd-b18f-9c33b405b749","<div><p>For Lilly studies, the following definitions are used:</p>
<div>
  <div><strong>Screen</strong></div>
  <div>
    <p>Screening is the act of determining if an individual meets minimum requirements to become part of a pool of potential candidates for participation in a clinical study.</p>
    <p>In this study, <strong>screening</strong> will include asking the candidate preliminary questions (such as age and general health status) and conducting invasive or diagnostic procedures and/or tests (for example, diagnostic psychological tests, x-rays, blood draws). Patients will sign the consent at their screening visit, thereby consenting to undergo the screening procedures and to participate in the study if they qualify.</p>
  </div>  
</div>
<div>
  <div>To <strong>enter</strong></div>
  <div>
    <p>Patients <strong>entered</strong> into the study are those from whom informed consent for the study has been obtained. Adverse events will be reported for each patient who has <strong>entered</strong> the study, even if the patient is never assigned to a treatment group (<strong>enrolled</strong>).</p></div>
  </div>  
</div>
<div>
  <div>To <strong>enroll</strong></div>
  <div>
    <p>Patients who are enrolled in the study are those who have been assigned to a treatment group. Patients who are entered into the study but fail to meet criteria specified in the protocol for treatment assignment will not be enrolled in the study.</p></div>
  </div>  
</div>
<p>At Visit 1, patients who meet the enrollment criteria of Mini-Mental State Examination (MMSE) score of 10 to 23 (Attachment LZZT.6), Hachinski Ischemia Score ≤4 (Attachment LZZT.8), a physical exam, safety labs, ECG, and urinalysis, will proceed to Visit 2 and Visit 3. At Visit 3, patients whose CNS imaging and other pending labs from Visit 1 satisfy the inclusion criteria (Section 3.4.2.1) will be enrolled in the study. Approximately 300 patients with a diagnosis of probable mild to moderate AD will be enrolled in the study.</p></div>"
"NarrativeContent_23","5.2","Rationale for Trial Population","SECTION 5.2","1264ae3a-5c76-43da-b979-d77568200837","<div></div>"
"NarrativeContent_24","5.3","Inclusion Criteria","SECTION 5.3","45c488d7-151e-41e4-997d-8e478e24e6a3","<div><usdm:section name=""M11-inclusion""></div>"
"NarrativeContent_25","5.4","Exclusion Criteria","SECTION 5.4","1df759ca-68e9-4c5d-b8c7-d34329525b16","<div><usdm:section name=""M11-exclusion""></div>"
"NarrativeContent_26","5.5","Lifestyle Considerations","SECTION 5.5","f817fa7d-ca0d-48a5-950d-bf6b0e1f2a67","<div></div>"
"NarrativeContent_27","5.5.1","Meals and Dietary Restrictions","SECTION 5.5.1","1cceff98-599a-4689-997f-3687b0c2e29b","<div></div>"
"NarrativeContent_28","5.5.2","Caffeine, Alcohol, Tobacco, and Other Habits","SECTION 5.5.2","30e8cfec-1a1f-41e3-bcca-8dcc305fd2d0","<div><p>Not applicable</p></div>"
"NarrativeContent_29","5.5.3","Physical Activity","SECTION 5.5.3","25b5ab16-492a-4c6a-8753-a96311ff5d50","<div></div>"
"NarrativeContent_30","5.5.4","Other Activity","SECTION 5.5.4","e14953f8-7ebd-49a1-947c-dbdaa841462c","<div></div>"
"NarrativeContent_31","5.6","Screen Failures","SECTION 5.6","9fece070-e73c-4749-82bf-e70ca26e1e8a","<div></div>"
"NarrativeContent_32","6","TRIAL INTERVENTION AND CONCOMITANT THERAPY","SECTION 6","df78d1e4-624d-4aa0-a15f-dd1dae8f1f00","<div></div>"
"NarrativeContent_33","6.1","Description of Trial Intervention","SECTION 6.1","8511df76-c78d-4a40-b86b-95c6a07cb72c","<div></div>"
"NarrativeContent_34","6.2","Rationale for Trial Intervention","SECTION 6.2","71e73820-34c9-45a9-b95f-b3cf371ba561","<div></div>"
"NarrativeContent_35","6.3","Dosing and Administration","SECTION 6.3","ed5b4e9d-2a92-47fb-b77d-364939756f5c","<div></div>"
"NarrativeContent_36","6.3.1","Trial Intervention Dose Modification","SECTION 6.3.1","7e7df414-3359-4615-87ed-455db91bf9d2","<div></div>"
"NarrativeContent_37","6.4","Treatment of Overdose","SECTION 6.4","39776628-624f-44f9-9db5-6ab3232fa75e","<div></div>"
"NarrativeContent_38","6.5","Preparation, Handling, Storage and Accountability","SECTION 6.5","171b6fd9-ab96-4596-a14c-71edcb2c37f0","<div></div>"
"NarrativeContent_39","6.5.1","Preparation of Trial Intervention","SECTION 6.5.1","b0212d6d-4abd-4b62-a6cd-20bb4adb0966","<div></div>"
"NarrativeContent_40","6.5.2","Handling and Storage of Trial Intervention","SECTION 6.5.2","92b378c7-c999-4e64-86bf-c50d8868a31d","<div></div>"
"NarrativeContent_41","6.5.3","Accountability of Trial Intervention","SECTION 6.5.3","9e048c8b-44e8-4af6-9efb-0e97e6626e35","<div></div>"
"NarrativeContent_42","6.6","Participant Assignment, Randomisation and Blinding","SECTION 6.6","080901fc-9272-47e4-89bc-e2f08e264650","<div></div>"
"NarrativeContent_43","6.6.1","Participant Assignment","SECTION 6.6.1","af370c03-1196-4e50-a7e7-1c62c8f520c9","<div></div>"
"NarrativeContent_44","6.6.2","Randomisation","SECTION 6.6.2","e8ca0c0e-0c20-4693-ba99-5ad46b90f43f","<div></div>"
"NarrativeContent_45","6.6.3","Blinding and Unblinding","SECTION 6.6.3","65cafe77-96d1-478a-afdd-98230aba96a2","<div><p>The study will be double-blind. To further preserve the blinding of the study, only a minimum number of Lilly and CRO personnel will see the randomization table and codes before the study is complete.</p>
<p>Emergency codes generated by a computer drug-labeling system will be available to the investigator. These codes, which reveal the patients treatment group, may be opened during the study only if the choice of follow-up treatment depends on the patient’s therapy assignment.</p>
<p>The investigator should make every effort to contact the clinical research physician prior to unblinding a patient’s therapy assignment. If a patient’s therapy assignment is unblinded, Lilly must be notified immediately by telephone. After the study, the investigator must return all sealed and any opened codes.</p></div>"
"NarrativeContent_46","6.7","Trial Intervention Compliance","SECTION 6.7","1aa2fd77-2551-4f0a-b5d6-4eb6d3884b05","<div></div>"
"NarrativeContent_47","6.8","Concomitant Therapy","SECTION 6.8","72ba6753-6a16-436b-8f2e-3b1c323994a8","<div></div>"
"NarrativeContent_48","6.8.1","Prohibited Concomitant Therapy","SECTION 6.8.1","e0892892-cf2d-405a-a978-fac2d08ec565","<div></div>"
"NarrativeContent_49","6.8.2","Permitted Concomitant Therapy","SECTION 6.8.2","542e69f0-ba53-47e7-b86a-82d356090b7f","<div></div>"
"NarrativeContent_50","6.8.3","Rescue Therapy","SECTION 6.8.3","699b5337-6399-4cc1-ae65-3617a6e7f357","<div></div>"
"NarrativeContent_51","6.8.4","Other Therapy","SECTION 6.8.4","09196034-9ff4-4518-a251-664cf0b536d1","<div></div>"
"NarrativeContent_52","7","DISCONTINUATION OF TRIAL INTERVENTION AND PARTICIPANT WITHDRAWAL FROM TRIAL","SECTION 7","6b00096f-a3e1-43d3-8898-77335642e56b","<div></div>"
"NarrativeContent_53","7.1","Discontinuation of Trial Intervention","SECTION 7.1","611444d9-826b-46ec-9a83-bba36026bf4d","<div></div>"
"NarrativeContent_54","7.1.1","Criteria for Permanent Discontinuation of Trial Intervention","SECTION 7.1.1","e002d7b5-ef29-4f31-8d5c-169b1331b9e8","<div></div>"
"NarrativeContent_55","7.1.2","Temporary Discontinuation or Interruption of Trial Intervention","SECTION 7.1.2","bdbbb292-529d-4f8c-ae22-a1a5a0eb4881","<div></div>"
"NarrativeContent_56","7.1.3","Rechallenge","SECTION 7.1.3","cc0014c9-8088-4eb8-9f27-2225df78eee0","<div></div>"
"NarrativeContent_57","7.2","Participant Withdrawal from the Trial","SECTION 7.2","fb2f03d9-ff42-42e5-b5b6-15f68c3d7564","<div></div>"
"NarrativeContent_58","7.3","Lost to Follow-Up","SECTION 7.3","28889c37-d92e-4511-a9cf-c816516196fb","<div></div>"
"NarrativeContent_59","7.4","Trial Stopping Rules","SECTION 7.4","956c3a20-7748-4689-b993-e21c1fd67212","<div></div>"
"NarrativeContent_60","8","TRIAL ASSESSMENTS AND PROCEDURES","SECTION 8","025fa510-c97e-4b76-a684-1487ba4b6cac","<div></div>"
"NarrativeContent_61","8.1","Screening/Baseline Assessments and Procedures","SECTION 8.1","3fb4d941-4caa-4d49-8acf-56c7e5a13cce","<div></div>"
"NarrativeContent_62","8.2","Efficacy Assessments and Procedures","SECTION 8.2","3fe028b9-6929-471f-9ed3-5e1489b03a7d","<div></div>"
"NarrativeContent_63","8.3","Safety Assessments and Procedures","SECTION 8.3","b34a63b3-3333-4ebb-9eda-99dd5bb4e42f","<div></div>"
"NarrativeContent_64","8.3.1","Physical Examination","SECTION 8.3.1","9d2ea41b-9d8e-4ff5-984d-f12e37f21884","<div></div>"
"NarrativeContent_65","8.3.2","Vital Signs","SECTION 8.3.2","79e05234-b55c-480a-b1fd-ac536faaa5e1","<div></div>"
"NarrativeContent_66","8.3.3","Electrocardiograms","SECTION 8.3.3","6a272459-1d93-47e1-bb23-2902f70d554d","<div></div>"
"NarrativeContent_67","8.3.4","Clinical Laboratory Assessments","SECTION 8.3.4","f7f63765-5e00-46f9-91b4-782fbd7223c5","<div></div>"
"NarrativeContent_68","8.3.5","Suicidal Ideation and Behaviour Risk Monitoring","SECTION 8.3.5","65115bf7-c2c5-4bc5-a88f-52d85ed39383","<div></div>"
"NarrativeContent_69","8.4","Adverse Events and Serious Adverse Events","SECTION 8.4","47a4a10c-16ad-4cfc-93f8-d7cfea4b768d","<div></div>"
"NarrativeContent_70","8.4.1","Definitions of AE and SAE","SECTION 8.4.1","e8835c8b-630d-4efb-be6f-769e02fed885","<div></div>"
"NarrativeContent_71","8.4.2","Time Period and Frequency for Collecting AE and SAE Information","SECTION 8.4.2","ed374270-6c28-4027-a06e-b02e8b35f482","<div></div>"
"NarrativeContent_72","8.4.3","Identifying AEs and SAEs","SECTION 8.4.3","c141f6b8-55d1-415e-b348-dec83729d2f4","<div></div>"
"NarrativeContent_73","8.4.4","Recording of AEs and SAEs","SECTION 8.4.4","44f87fe0-855a-4af7-9790-4a3dadd60971","<div></div>"
"NarrativeContent_74","8.4.5","Follow-up of AEs and SAEs","SECTION 8.4.5","0b2eedd5-bb57-4af7-a58b-e13044ba8ca0","<div></div>"
"NarrativeContent_75","8.4.6","Reporting of SAEs","SECTION 8.4.6","43f9e394-0fcc-4c7e-9490-a4308455f024","<div></div>"
"NarrativeContent_76","8.4.7","Regulatory Reporting Requirements for SAEs","SECTION 8.4.7","98944b6f-7bed-4816-8631-4517df4b61fb","<div></div>"
"NarrativeContent_77","8.4.8","Serious and Unexpected Adverse Reaction Reporting","SECTION 8.4.8","3ae9761e-dbef-435f-810a-82b8b0342170","<div></div>"
"NarrativeContent_78","8.4.9","Adverse Events of Special Interest","SECTION 8.4.9","aeec7558-0e0b-4494-bbc3-d9b5c31330b4","<div></div>"
"NarrativeContent_79","8.4.10","Disease-related Events or Outcomes Not Qualifying as AEs or SAEs","SECTION 8.4.10","5ea922ba-0276-440a-b990-22ede307a2c0","<div></div>"
"NarrativeContent_80","8.5","Pregnancy and Postpartum Information","SECTION 8.5","1025a971-4c6a-47bd-940b-5d073bae611a","<div></div>"
"NarrativeContent_81","8.5.1","Participants Who Become Pregnant During the Trial","SECTION 8.5.1","0ffc1620-4acb-4a2d-bb58-7c60dbc7ee3d","<div></div>"
"NarrativeContent_82","8.5.2","Participants Whose Partners Become Pregnant","SECTION 8.5.2","e19d9336-03f5-46c1-b37e-c992bc215089","<div></div>"
"NarrativeContent_83","8.6","Medical Device Product Complaints for Drug/Device Combination Products","SECTION 8.6","430e0317-394d-497e-8cb8-e6f212b58b89","<div></div>"
"NarrativeContent_84","8.6.1","Definition of Medical Device Product Complaints","SECTION 8.6.1","5d6b2f33-c682-4d8d-9831-f064463f2029","<div></div>"
"NarrativeContent_85","8.6.2","Recording of Medical Device Product Complaints","SECTION 8.6.2","00b51376-1295-4792-b7d4-f1b702dcdfb2","<div></div>"
"NarrativeContent_86","8.6.3","Time Period and Frequency for Collecting Medical Device Product Complaints .","SECTION 8.6.3","b4d566c3-0030-4da1-80d8-3ae7876e7790","<div></div>"
"NarrativeContent_87","8.6.4","Follow-Up of Medical Device Product Complaints","SECTION 8.6.4","984bd752-bccd-4322-ad2a-7317194c826d","<div></div>"
"NarrativeContent_88","8.6.5","Regulatory Reporting Requirements for Medical Device Product Complaints","SECTION 8.6.5","f0b7f92e-d942-4fea-b7ed-b79227dbead8","<div></div>"
"NarrativeContent_89","8.7","Pharmacokinetics","SECTION 8.7","2cdd603c-5ccc-48cc-8ad6-80fb9a5052ec","<div></div>"
"NarrativeContent_90","8.8","Genetics","SECTION 8.8","e66cf8a0-4e7c-4c21-b2f2-2c3c67e3015b","<div></div>"
"NarrativeContent_91","8.9","Biomarkers","SECTION 8.9","b207dcb3-9e63-424d-9b16-066ec3060d15","<div></div>"
"NarrativeContent_92","8.1","Immunogenicity Assessments","SECTION 8.1","71b3a8f4-85d9-473f-90b1-bb4d018a7a2f","<div></div>"
"NarrativeContent_93","8.1.1","Medical Resource Utilisation and Health Economics","SECTION 8.1.1","96b9578d-9168-4d3b-b658-c0894bad0be2","<div></div>"
"NarrativeContent_94","9","STATISTICAL CONSIDERATIONS","SECTION 9","da529df3-d543-478a-bc47-b9c53633bd56","<div></div>"
"NarrativeContent_95","9.1","Analysis Sets","SECTION 9.1","0c7462a1-9775-4ca1-9c08-8affb8acd513","<div></div>"
"NarrativeContent_96","9.2","Analyses Supporting Primary Objective(s)","SECTION 9.2","d115b286-5aea-40e5-8460-37a3986bb91b","<div></div>"
"NarrativeContent_97","9.2.1","Statistical Model, Hypothesis, and Method of Analysis","SECTION 9.2.1","bd7d4c72-846c-4414-a075-f133b9d3e785","<div></div>"
"NarrativeContent_98","9.2.2","Handling of Intercurrent Events of Primary Estimand(s)","SECTION 9.2.2","3f98f507-968f-4923-9d67-29b5d48dec0f","<div></div>"
"NarrativeContent_99","9.2.3","Handling of Missing Data","SECTION 9.2.3","950e7dd9-1169-450f-9edb-f2ea09a8bc37","<div></div>"
"NarrativeContent_100","9.2.4","Sensitivity Analysis","SECTION 9.2.4","b3446c3e-2685-4543-954f-47545adff743","<div></div>"
"NarrativeContent_101","9.2.5","Supplementary Analysis","SECTION 9.2.5","2fae6aa9-3729-433d-a312-7a8f62757d47","<div></div>"
"NarrativeContent_102","9.3","Analysis Supporting Secondary Objective(s)","SECTION 9.3","b64f173a-3e4c-4b93-8cb0-30589340d342","<div></div>"
"NarrativeContent_103","9.4","Analysis of Exploratory Objective(s)","SECTION 9.4","d50038de-5712-4dbd-8d8c-bbd6147d988e","<div></div>"
"NarrativeContent_104","9.5","Safety Analyses","SECTION 9.5","68cea4b2-03c1-4c13-882b-de3849bcafb8","<div></div>"
"NarrativeContent_105","9.6","Other Analyses","SECTION 9.6","1b1a185a-740f-49d2-b6d8-9e13731055f1","<div></div>"
"NarrativeContent_106","9.7","Interim Analyses","SECTION 9.7","e031bf75-8bba-4694-b526-a4e6700beeed","<div></div>"
"NarrativeContent_107","9.8","Sample Size Determination","SECTION 9.8","268e0d21-8032-4c61-bb1e-d77da3198af6","<div></div>"
"NarrativeContent_108","9.9","Protocol Deviations","SECTION 9.9","72bf808d-9e74-4d37-a696-feff0815830e","<div></div>"
"NarrativeContent_109","10","GENERAL CONSIDERATIONS: REGULATORY, ETHICAL, AND TRIAL OVERSIGHT","SECTION 10","54f43081-d648-488c-80fa-48da5dacaf6d","<div></div>"
"NarrativeContent_110","10.1","Regulatory and Ethical Considerations","SECTION 10.1","2a01ddc0-4f44-4f5e-b75a-6ad24b644401","<div></div>"
"NarrativeContent_111","10.2","Committees","SECTION 10.2","1f53839f-d49a-4b78-bb14-7bc549edac32","<div></div>"
"NarrativeContent_112","10.3","Informed Consent Process","SECTION 10.3","74fa416a-1194-44e3-a7d0-cb2f07627d20","<div></div>"
"NarrativeContent_113","10.4","Data Protection","SECTION 10.4","a918274d-ab13-444d-a2ea-a0619fb640da","<div></div>"
"NarrativeContent_114","10.5","Early Site Closure or Trial Termination","SECTION 10.5","8edb0eb7-3d2f-48f9-b1ec-b0a018546925","<div></div>"
"NarrativeContent_115","11","GENERAL CONSIDERATIONS: RISK MANAGEMENT AND QUALITY ASSURANCE","SECTION 11","fb541350-e61f-4401-a557-3894d12e02c9","<div></div>"
"NarrativeContent_116","11.1","Quality Tolerance Limits","SECTION 11.1","9d4741bb-7a65-4fc1-9071-04eee18cfc3f","<div></div>"
"NarrativeContent_117","11.2","Data Quality Assurance","SECTION 11.2","92752e3b-1748-4c86-bb8b-dde296071e25","<div></div>"
"NarrativeContent_118","11.3","Source Data","SECTION 11.3","c104dccd-a753-4149-9bcb-634403c632e5","<div></div>"
"NarrativeContent_119","12","APPENDIX: ADVERSE EVENTS AND SERIOUS ADVERSE EVENTS - DEFINITIONS, SEVERITY, AND CAUSALITY","SECTION 12","274fbb48-38b1-4817-b883-a10f8116ac0b","<div></div>"
"NarrativeContent_120","12.1","Further Details and Clarifications on the AE Definition","SECTION 12.1","c7fa4e6a-03a1-426c-beb2-8ae749347218","<div></div>"
"NarrativeContent_121","12.2","Further Details and Clarifications on the SAE Definition","SECTION 12.2","193e97a5-cf79-4366-b9de-bbb3d269136f","<div></div>"
"NarrativeContent_122","12.3","Severity","SECTION 12.3","c28a160f-6da5-40f9-8d37-69005eebca89","<div></div>"
"NarrativeContent_123","12.4","Causality","SECTION 12.4","632f2057-e447-4cc0-a266-45bbc3364b0a","<div></div>"
"NarrativeContent_124","13","APPENDIX: DEFINITIONS AND SUPPORTING OPERATIONAL DETAILS","SECTION 13","376e37f3-1063-4218-9e4e-a3d922edd024","<div></div>"
"NarrativeContent_125","13.1","Contraception and Pregnancy Testing","SECTION 13.1","8bfa66a3-aa3f-4b6f-ab55-62a37de473d6","<div></div>"
"NarrativeContent_126","13.1.1","Definitions Related to Childbearing Potential","SECTION 13.1.1","226325d8-4051-4938-bd25-863d43c5e969","<div></div>"
"NarrativeContent_127","13.1.2","Contraception","SECTION 13.1.2","b4fbf9d1-a079-43aa-84d8-d7118c489404","<div></div>"
"NarrativeContent_128","13.1.3","Pregnancy Testing","SECTION 13.1.3","890883ff-16e4-412d-8b98-7d51e2b4dd36","<div></div>"
"NarrativeContent_129","13.2","Clinical Laboratory Tests","SECTION 13.2","b424b0ac-0f2b-4872-87a3-8c2bad3c3fd9","<div></div>"
"NarrativeContent_130","13.3","Country/Region-Specific Differences","SECTION 13.3","47b92332-78f7-4c83-9467-b6a97ef5ea51","<div></div>"
"NarrativeContent_131","13.4","Prior Protocol Amendments","SECTION 13.4","9a58ab70-a0cd-4f7f-ab27-f9740a40d24f","<div></div>"
"NarrativeContent_132","14","APPENDIX: GLOSSARY OF TERMS","SECTION 14","14df85cf-acb9-40b3-b31c-7aad438ce997","<div></div>"
"NarrativeContent_133","15","APPENDIX: REFERENCES","SECTION 15","0b147b30-4a94-44b1-81b9-71bb05cdd1c8","<div></div>"
