"id","uuid:ID","text","sectionTitle","sectionNumber","name"
"NarrativeContent_78","844b0007-2b19-4bb1-b9f4-d73749541b9b","<div></div>","Disease-related Events or Outcomes Not Qualifying as AEs or SAEs","8.4.10","SECTION 8.4.10"
"NarrativeContent_79","67a65f34-fadb-4319-b108-e52c76b007c2","<div></div>","Pregnancy and Postpartum Information","8.5","SECTION 8.5"
"NarrativeContent_80","c81504ce-a041-4456-8a4c-0a2d0895528a","<div></div>","Participants Who Become Pregnant During the Trial","8.5.1","SECTION 8.5.1"
"NarrativeContent_81","909aaf4d-d0d2-4347-81d4-c4fe91b5f45a","<div></div>","Participants Whose Partners Become Pregnant","8.5.2","SECTION 8.5.2"
"NarrativeContent_82","db1aaf2e-0d2b-4b65-9f5b-35a36b99f826","<div></div>","Medical Device Product Complaints for Drug/Device Combination Products","8.6","SECTION 8.6"
"NarrativeContent_83","d6319f11-bfeb-4d56-bc33-061aa6c9a23e","<div></div>","Definition of Medical Device Product Complaints","8.6.1","SECTION 8.6.1"
"NarrativeContent_84","ae5b204d-a55a-427d-934a-ebe5868c6bbe","<div></div>","Recording of Medical Device Product Complaints","8.6.2","SECTION 8.6.2"
"NarrativeContent_85","9942fea3-098b-44f2-a969-1df0a4fa3f21","<div></div>","Time Period and Frequency for Collecting Medical Device Product Complaints .","8.6.3","SECTION 8.6.3"
"NarrativeContent_86","469ceba7-4c28-499e-b938-dfce93e656b2","<div></div>","Follow-Up of Medical Device Product Complaints","8.6.4","SECTION 8.6.4"
"NarrativeContent_87","7de43fbe-fa01-4876-ab55-4e607c3b04ea","<div></div>","Regulatory Reporting Requirements for Medical Device Product Complaints","8.6.5","SECTION 8.6.5"
"NarrativeContent_88","143dd430-07b1-4a37-8bcd-3b8207965794","<div></div>","Pharmacokinetics","8.7","SECTION 8.7"
"NarrativeContent_89","8a3e3d63-36cc-4ece-93f8-20506d5d63ab","<div></div>","Genetics","8.8","SECTION 8.8"
"NarrativeContent_90","8196eee7-407e-4a29-ab21-16859c65858e","<div></div>","Biomarkers","8.9","SECTION 8.9"
"NarrativeContent_91","4bf762bd-db35-49f4-b354-f325c11e96dc","<div></div>","Immunogenicity Assessments","8.1","SECTION 8.1"
"NarrativeContent_92","25998636-d6b4-41d6-b3b6-1eee4e59e943","<div></div>","Medical Resource Utilisation and Health Economics","8.1.1","SECTION 8.1.1"
"NarrativeContent_93","4c1104be-3c3d-4111-a934-68c9c3ab8a58","<div></div>","STATISTICAL CONSIDERATIONS","9","SECTION 9"
"NarrativeContent_94","9f4a6e31-aff0-4297-b30a-9be31de7cc43","<div></div>","Analysis Sets","9.1","SECTION 9.1"
"NarrativeContent_95","9e7f97ec-5bca-47c8-98ae-bbbe1569e9f4","<div></div>","Analyses Supporting Primary Objective(s)","9.2","SECTION 9.2"
"NarrativeContent_96","38b2188b-44e2-46f1-92a8-9b681e463fd6","<div></div>","Statistical Model, Hypothesis, and Method of Analysis","9.2.1","SECTION 9.2.1"
"NarrativeContent_97","2189ce80-25aa-4fef-be48-68f2c5c0b96a","<div></div>","Handling of Intercurrent Events of Primary Estimand(s)","9.2.2","SECTION 9.2.2"
"NarrativeContent_98","2ade0e6c-b1ad-43b2-b9cc-25eb0ce67ce2","<div></div>","Handling of Missing Data","9.2.3","SECTION 9.2.3"
"NarrativeContent_99","632b02fa-d5fd-4a9e-aeb0-acfe2b16f191","<div></div>","Sensitivity Analysis","9.2.4","SECTION 9.2.4"
"NarrativeContent_100","38ae60de-82be-4384-a87a-4d899c18f506","<div></div>","Supplementary Analysis","9.2.5","SECTION 9.2.5"
"NarrativeContent_101","535de978-451c-4c45-8a9d-6c8288079e4c","<div></div>","Analysis Supporting Secondary Objective(s)","9.3","SECTION 9.3"
"NarrativeContent_102","d5d23456-ed99-4dd1-8c38-202477b32b53","<div></div>","Analysis of Exploratory Objective(s)","9.4","SECTION 9.4"
"NarrativeContent_103","a92009f0-8550-488c-a176-f0d610980896","<div></div>","Safety Analyses","9.5","SECTION 9.5"
"NarrativeContent_104","bdabb828-8abf-4d47-9a7d-734f63b5d0b8","<div></div>","Other Analyses","9.6","SECTION 9.6"
"NarrativeContent_105","58b8aae4-3294-4af5-93e9-7033277d0e41","<div></div>","Interim Analyses","9.7","SECTION 9.7"
"NarrativeContent_106","82ac59b4-7c29-4424-a82b-442b573bc9f1","<div></div>","Sample Size Determination","9.8","SECTION 9.8"
"NarrativeContent_107","ab9e1da2-61c2-4ecd-8463-e25e323f80ec","<div></div>","Protocol Deviations","9.9","SECTION 9.9"
"NarrativeContent_108","18733a3f-f054-467e-8284-b2bc415eb597","<div></div>","GENERAL CONSIDERATIONS: REGULATORY, ETHICAL, AND TRIAL OVERSIGHT","10","SECTION 10"
"NarrativeContent_109","d83c218d-5f7b-4b90-b206-f705a34b8711","<div></div>","Regulatory and Ethical Considerations","10.1","SECTION 10.1"
"NarrativeContent_110","671dd781-5304-4b2b-88a8-1031db1f9e13","<div></div>","Committees","10.2","SECTION 10.2"
"NarrativeContent_111","45007032-6f6a-4887-aa5e-b5dac4ee218a","<div></div>","Informed Consent Process","10.3","SECTION 10.3"
"NarrativeContent_112","f959a7b8-5395-4d63-9262-e02fd7bd2da4","<div></div>","Data Protection","10.4","SECTION 10.4"
"NarrativeContent_113","c601f852-019c-4e59-8ecd-52015757ef37","<div></div>","Early Site Closure or Trial Termination","10.5","SECTION 10.5"
"NarrativeContent_114","270f6c86-d031-4ab7-8234-7e79752d74e9","<div></div>","GENERAL CONSIDERATIONS: RISK MANAGEMENT AND QUALITY ASSURANCE","11","SECTION 11"
"NarrativeContent_115","61a85ec2-6d04-43ab-9118-3212bb201f06","<div></div>","Quality Tolerance Limits","11.1","SECTION 11.1"
"NarrativeContent_116","2ab72f1e-c134-4e7d-8cf7-7782bcbe6979","<div></div>","Data Quality Assurance","11.2","SECTION 11.2"
"NarrativeContent_117","fdab448f-6b2d-4a93-a55f-b27ba13d97d0","<div></div>","Source Data","11.3","SECTION 11.3"
"NarrativeContent_118","ba97ebc3-0022-4c0f-8880-3ab81abfef87","<div></div>","APPENDIX: ADVERSE EVENTS AND SERIOUS ADVERSE EVENTS - DEFINITIONS, SEVERITY, AND CAUSALITY","12","SECTION 12"
"NarrativeContent_119","12c34a2e-687e-4bf0-abab-560de4e5ff27","<div></div>","Further Details and Clarifications on the AE Definition","12.1","SECTION 12.1"
"NarrativeContent_120","9acaf0d7-fff4-468d-8bca-368c6e6c240f","<div></div>","Further Details and Clarifications on the SAE Definition","12.2","SECTION 12.2"
"NarrativeContent_121","3891fae1-ffaf-4714-8da0-08fd2a18ffd2","<div></div>","Severity","12.3","SECTION 12.3"
"NarrativeContent_122","44bbc953-3f9d-49d6-8a9d-ad76082fba8b","<div></div>","Causality","12.4","SECTION 12.4"
"NarrativeContent_123","6dcc41f8-ec54-4780-9ae8-e2e31f9c78b4","<div></div>","APPENDIX: DEFINITIONS AND SUPPORTING OPERATIONAL DETAILS","13","SECTION 13"
"NarrativeContent_124","88a46219-2b6e-4d34-a45c-3dd97674a64f","<div></div>","Contraception and Pregnancy Testing","13.1","SECTION 13.1"
"NarrativeContent_125","7fea69b5-0d8e-4862-b13d-8d3b3cc522c8","<div></div>","Definitions Related to Childbearing Potential","13.1.1","SECTION 13.1.1"
"NarrativeContent_126","4dad117e-c17f-4519-99f2-60000105a846","<div></div>","Contraception","13.1.2","SECTION 13.1.2"
"NarrativeContent_127","1a96d0d4-4b3e-4fb1-a248-ffefe945d3d6","<div></div>","Pregnancy Testing","13.1.3","SECTION 13.1.3"
"NarrativeContent_128","b891e017-2e04-4ed8-a7f4-63e2e555fd81","<div></div>","Clinical Laboratory Tests","13.2","SECTION 13.2"
"NarrativeContent_129","3a67a691-6651-49cc-bb2b-75cab691ef59","<div></div>","Country/Region-Specific Differences","13.3","SECTION 13.3"
"NarrativeContent_130","bccaa6b8-330a-46e7-b9f8-92d2e4fe1d1c","<div></div>","Prior Protocol Amendments","13.4","SECTION 13.4"
"NarrativeContent_131","e6791de4-58d8-41c0-a3d9-80f6d0e07101","<div></div>","APPENDIX: GLOSSARY OF TERMS","14","SECTION 14"
"NarrativeContent_132","04de2df5-e578-4040-99d2-fd091ceaf70a","<div></div>","APPENDIX: REFERENCES","15","SECTION 15"
