"decode","codeSystemVersion","codeSystem","instanceType","uuid:ID","id","code"
"In Person","2023-09-29","http://www.cdisc.org","Code","5dd4a064-fa7f-43bf-aa01-3db6fd9a7b5a","Code_119","C175574"
"Visit","2023-09-29","http://www.cdisc.org","Code","3661dd6e-c289-4607-b98d-cdc129eaca48","Code_120","C25716"
"Clinic","2023-09-29","http://www.cdisc.org","Code","b58f9e36-d047-46b3-a10e-f192b1096c4b","Code_121","C51282"
"In Person","2023-09-29","http://www.cdisc.org","Code","61d4e921-cf73-46e9-8ad1-10f0547ed80f","Code_122","C175574"
"CT of head without contrast","January 31, 2018","SNOMED","Code","65f0fa77-1730-48c4-a369-015d670d44fc","Code_80","383371000119108"
"Subject Supine","12","SPONSOR","Code","c5175e63-6347-4466-86ae-25d185952d38","Code_81","123"
"Subject Standing","12","SPONSOR","Code","b1e6535c-92cb-4a4d-b55a-7bf086439c90","Code_82","124"
"Male","2023-09-29","http://www.cdisc.org","Code","d03db8a8-0144-4135-a360-add667a8304c","Code_269","C20197"
"Female","2023-09-29","http://www.cdisc.org","Code","dfa4c5b1-791b-4ac8-b1b3-ae357f0654aa","Code_270","C16576"
"Sex","","NCI Thesaurus","Code","be75046a-c672-4ad8-b2b6-86e38ef20012","Code_271","C28421"
"Sex","","NCI Thesaurus","Code","e1e77ecb-3aea-4955-8a03-2c02b2d7091a","Code_268","C28421"
"Race","","NCI Thesaurus","Code","a3bc578e-00aa-4494-92d8-e8ccd40fb181","Code_273","C17049"
"Race","","NCI Thesaurus","Code","15a2c7cb-8160-47fb-b769-9d423cb213df","Code_272","C17049"
"Clinical Test Result","","NCI Thesaurus","Code","91b9b8fc-10fd-4c32-9f17-97bcdf8d6566","Code_275","C77140"
"Kelvin","2023-09-29","http://www.cdisc.org","Code","56a47051-ffe1-46f7-90c0-5c9579d1aed9","Code_276","C42537"
"Unit of Temperature","","NCI Thesaurus","Code","3cf6f5d0-aa43-4b17-bf10-614e8675c6f4","Code_277","C44276"
"Anatomic Site","","NCI Thesaurus","Code","210b2aa0-cf4a-4b63-acdb-b699496800ff","Code_278","C13717"
"Body Temperature","","NCI Thesaurus","Code","a661f305-2ae3-4837-881b-2a81d79f814b","Code_274","C174446"
"Clinical Test Result","","NCI Thesaurus","Code","3620f466-d1b9-4b77-b194-4819f662eed2","Code_280","C77140"
"Kilogram","2023-09-29","http://www.cdisc.org","Code","2c5a5ed2-5a93-495e-9183-5a260e34fbb9","Code_281","C28252"
"Gram","2023-09-29","http://www.cdisc.org","Code","6b390d25-4420-4c04-9d59-163a11a56395","Code_282","C48155"
"Pound","2023-09-29","http://www.cdisc.org","Code","73a19f46-23f6-4302-b867-54b1d5427643","Code_283","C48531"
"Unit of Weight","","NCI Thesaurus","Code","74398ac3-7451-4849-af2c-3be6704903fb","Code_284","C48208"
"Body Weight","","NCI Thesaurus","Code","87a32ec1-48c7-42b8-87b4-416af5a2269d","Code_279","C81328"
"Clinical Test Result","","NCI Thesaurus","Code","7c931303-747e-4a64-8fee-b88221f74841","Code_286","C77140"
"Centimeter","2023-09-29","http://www.cdisc.org","Code","66383ce5-a93a-466e-ad86-00aef9d734fa","Code_287","C49668"
"Inch","2023-09-29","http://www.cdisc.org","Code","0778fa96-e35c-4287-a386-2176cfeb9a84","Code_288","C48500"
"Millimeter","2023-09-29","http://www.cdisc.org","Code","a9f2d7fa-ff48-4a89-8bea-1528800036c6","Code_289","C28251"
"Meter","2023-09-29","http://www.cdisc.org","Code","637ba961-1418-4996-ba42-6a79cd7d742b","Code_290","C41139"
"Unit of Height","","NCI Thesaurus","Code","7566a9d4-20ad-4447-b8d3-1ef9a410e2fb","Code_291","C168688"
"Body Height","","NCI Thesaurus","Code","e93e823e-8080-480d-901d-ca1582c2c9f5","Code_285","C164634"
"Laboratory Test Result","","NCI Thesaurus","Code","011062ed-3fd2-404c-baae-83a54ce89872","Code_293","C36292"
"Laboratory Test Fasting Status","","NCI Thesaurus","Code","a9fddd01-63bb-414b-9005-12dddc22cc38","Code_294","C83309"
"Unit of Catalytic Activity Concentration","","NCI Thesaurus","Code","c4e50bdf-b4ca-472c-bb7b-c69317d19d86","Code_295","C67365"
"Biospecimen Type","","NCI Thesaurus","Code","0361df0b-8fff-40b2-abe5-7efd825e9639","Code_296","C70713"
"Alanine Aminotransferase Measurement","","NCI Thesaurus","Code","29ae6bdc-611d-4eaf-9410-4f3d0db6e4f7","Code_292","C64433"
"Laboratory Test Result","","NCI Thesaurus","Code","113f6bad-79c1-47c9-87f4-bbeec75b9e92","Code_298","C36292"
"Laboratory Test Fasting Status","","NCI Thesaurus","Code","289c54bf-36ab-4944-9188-1471a9e80e68","Code_299","C83309"
"Unit of Concentration","","NCI Thesaurus","Code","170368a5-05b5-4149-aa8e-47193686eba9","Code_300","C48207"
"Biospecimen Type","","NCI Thesaurus","Code","a1d7c663-282e-46c9-b7d3-2e528f9dd728","Code_301","C70713"
"Albumin Measurement","","NCI Thesaurus","Code","5447a08d-d714-4d08-8c93-e5390ba8cfe5","Code_297","C64431"
"Laboratory Test Result","","NCI Thesaurus","Code","b9062e8f-648c-48f2-9f34-ccd9a4bf7e4a","Code_303","C36292"
"Laboratory Test Fasting Status","","NCI Thesaurus","Code","c3624ace-db37-4cec-b3ec-a991adcd1694","Code_304","C83309"
"Unit of Catalytic Activity Concentration","","NCI Thesaurus","Code","e39bf844-a114-4bbb-aec1-3d38df88df80","Code_305","C67365"
"Biospecimen Type","","NCI Thesaurus","Code","a64c9a52-f5e2-43ad-a0ba-dedd71b8f99c","Code_306","C70713"
"Alkaline Phosphatase Measurement","","NCI Thesaurus","Code","2b89ded0-76d3-4787-929a-59e14e2ffd97","Code_302","C64432"
"Laboratory Test Result","","NCI Thesaurus","Code","6935605e-c1d1-4d11-a72c-27910b9d5a90","Code_308","C36292"
"Laboratory Test Fasting Status","","NCI Thesaurus","Code","94077b98-7418-4be3-8321-2a8c5ef75eb9","Code_309","C83309"
"Unit of Catalytic Activity Concentration","","NCI Thesaurus","Code","0491fba4-c736-4f96-99cb-8570ca406d06","Code_310","C67365"
"Biospecimen Type","","NCI Thesaurus","Code","c7f17794-c996-4966-8675-86419e5efbc9","Code_311","C70713"
"Aspartate Aminotransferase Measurement","","NCI Thesaurus","Code","4f6064aa-8537-49cd-b927-f6dc2c0e86ab","Code_307","C64467"
"Laboratory Test Result","","NCI Thesaurus","Code","d64ddb5f-a24f-494d-b095-af34c7a11574","Code_313","C36292"
"Laboratory Test Fasting Status","","NCI Thesaurus","Code","cb146dda-49f5-4654-9b97-73a912972100","Code_314","C83309"
"Unit of Concentration","","NCI Thesaurus","Code","17d393c1-9d71-446b-a6b5-1b9818178fc2","Code_315","C48207"
"Biospecimen Type","","NCI Thesaurus","Code","536c517f-2fa0-43b2-b6c4-8f60998b429b","Code_316","C70713"
"Creatinine Measurement","","NCI Thesaurus","Code","4a1f4c9c-7ddc-4ac8-83f9-a957c1dce1f4","Code_312","C64547"
"Laboratory Test Result","","NCI Thesaurus","Code","8fe9ed06-92fe-41bf-8e69-2f4b686458cf","Code_318","C36292"
"Laboratory Test Fasting Status","","NCI Thesaurus","Code","8513261e-db85-4d04-afa8-52dc6773f640","Code_319","C83309"
"Molarity Unit","","NCI Thesaurus","Code","9a55f1f9-9307-43af-9d96-4f331cf3df10","Code_320","C64567"
"Biospecimen Type","","NCI Thesaurus","Code","4756fa5d-8b7a-47f6-a2a0-49eff2d0ca6f","Code_321","C70713"
"Potassium Measurement","","NCI Thesaurus","Code","12bae0a1-9f32-42f2-9ead-c5144548f2f0","Code_317","C64853"
"Laboratory Test Result","","NCI Thesaurus","Code","9080f47c-34f6-4fee-bdf5-7d2229bbfc17","Code_323","C36292"
"Laboratory Test Fasting Status","","NCI Thesaurus","Code","53afaa06-c9a0-4e5c-8263-164d822653d1","Code_324","C83309"
"Molarity Unit","","NCI Thesaurus","Code","ff38753c-4181-4d10-b747-bd349384997e","Code_325","C64567"
"Biospecimen Type","","NCI Thesaurus","Code","6532f535-f2ba-48e4-8367-4fbb3e53d60c","Code_326","C70713"
"Sodium Measurement","","NCI Thesaurus","Code","9050e659-04b4-4175-a10a-84688d8c4b31","Code_322","C64809"
"Reported Event Term","","NCI Thesaurus","Code","383e799d-4f6f-42c9-bfb7-5f9e31dad1f3","Code_146","C82571"
"Dictionary-derived Term","","NCI Thesaurus","Code","2df81665-56d7-4ddc-b014-64b4ae2e0bcf","Code_147","C82977"
"Category","","NCI Thesaurus","Code","43068abd-7f8b-4740-9da9-08f4a5a136dd","Code_148","C25372"
"Subcategory","","NCI Thesaurus","Code","e57ab7ce-1944-4ed8-8f8b-b0e241578929","Code_149","C25692"
"Observation Start Date Time","","NCI Thesaurus","Code","b77defa5-e2a8-43cd-b281-02fccd1b9412","Code_150","C82517"
"Adverse Event","","NCI Thesaurus","Code","1c6180bc-b4f8-4da8-b2ad-1dede8aad627","Code_145","C41331"
"Clinical Test Result","","NCI Thesaurus","Code","be0ae7ee-0cfc-440d-87d3-a00fa6315560","Code_152","C77140"
"Pascal","2023-09-29","http://www.cdisc.org","Code","fdebcf51-b1e0-4d0e-87a4-81261bce0952","Code_153","C42547"
"Unit of Pressure","","NCI Thesaurus","Code","783f37ec-5ed7-4f14-af09-4b77aab8b990","Code_154","C49669"
"Anatomic Site","","NCI Thesaurus","Code","36859cad-7e37-48bb-9bc0-06aa367b6719","Code_155","C13717"
"Laterality","","NCI Thesaurus","Code","426949ba-119b-4ad0-bb0e-2acc5504a239","Code_156","C25185"
"Test Method","","NCI Thesaurus","Code","4965f2a6-6de9-4028-8de5-8bc682349d31","Code_157","C82535"
"Body Position","","NCI Thesaurus","Code","e5c6e462-7d5b-4331-a7c0-582f5238a0c6","Code_158","C62164"
"Systolic Blood Pressure","","NCI Thesaurus","Code","93ac8519-c9ed-4ddc-831b-d31dcbcf7f9b","Code_151","C25298"
"Clinical Test Result","","NCI Thesaurus","Code","73b2d042-1981-44f0-a42b-26e420f32699","Code_160","C77140"
"Pascal","2023-09-29","http://www.cdisc.org","Code","8c694dfd-7b07-4140-af38-8107b2370419","Code_161","C42547"
"Unit of Pressure","","NCI Thesaurus","Code","63888dfc-5437-4bed-8f0f-461428a24627","Code_162","C49669"
"Anatomic Site","","NCI Thesaurus","Code","3b3c6656-fdb9-4c2e-8dad-16b9a8db3507","Code_163","C13717"
"Laterality","","NCI Thesaurus","Code","07fea638-0e74-4cdb-8d5a-2a473e5a6080","Code_164","C25185"
"Test Method","","NCI Thesaurus","Code","ab043e7d-140b-4d35-a57a-7584b9ead638","Code_165","C82535"
"Body Position","","NCI Thesaurus","Code","6c84ac95-b6e4-44f0-8a74-490e29b3f659","Code_166","C62164"
"Diastolic Blood Pressure","","NCI Thesaurus","Code","9aa3b0df-7d74-47d2-a932-041f7d4e21b8","Code_159","C25299"
"Clinical Test Result","","NCI Thesaurus","Code","1b837f99-5a74-4f4d-a204-ff4f1f24aabe","Code_168","C77140"
"Kelvin","2023-09-29","http://www.cdisc.org","Code","4117f252-f084-4088-8b5e-67cc41e40204","Code_169","C42537"
"Unit of Temperature","","NCI Thesaurus","Code","ceebc943-9f3f-4468-93c6-c8f2420bb7e8","Code_170","C44276"
"Anatomic Site","","NCI Thesaurus","Code","d7b82ed3-796a-4cff-ac42-0fa6e1763184","Code_171","C13717"
"Body Temperature","","NCI Thesaurus","Code","af0a5bce-bd77-43f6-b0e4-5d7967e857b7","Code_167","C174446"
"Clinical Test Result","","NCI Thesaurus","Code","85f0a2f5-632c-4385-8ac8-99135910f139","Code_173","C77140"
"Kilogram","2023-09-29","http://www.cdisc.org","Code","490f848b-4493-4fdf-acca-caee0631b64b","Code_174","C28252"
"Gram","2023-09-29","http://www.cdisc.org","Code","ec29b108-cae9-440b-9794-55e2e910f6cd","Code_175","C48155"
"Pound","2023-09-29","http://www.cdisc.org","Code","7210e6b8-10c7-473f-8aa4-ef5477916148","Code_176","C48531"
"Unit of Weight","","NCI Thesaurus","Code","3da7554b-d62c-47e8-bc37-484ac03c1b77","Code_177","C48208"
"Body Weight","","NCI Thesaurus","Code","b6235cbd-febc-4f8f-8c3a-c103eec624b5","Code_172","C81328"
"Clinical Test Result","","NCI Thesaurus","Code","a01acab8-74c8-4133-9670-e1912f1adc68","Code_179","C77140"
"Centimeter","2023-09-29","http://www.cdisc.org","Code","cbcdfd3d-428f-495b-9a9c-8b4c08118ae3","Code_180","C49668"
"Inch","2023-09-29","http://www.cdisc.org","Code","5b0b71a1-c5c5-40e7-9d34-7235c98c5fb5","Code_181","C48500"
"Millimeter","2023-09-29","http://www.cdisc.org","Code","f7548ffe-756c-4eca-8800-01c8ded66bab","Code_182","C28251"
"Meter","2023-09-29","http://www.cdisc.org","Code","d5606a54-1c42-476e-8d7a-7c562f9a9a51","Code_183","C41139"
"Unit of Height","","NCI Thesaurus","Code","a33ac43d-dbb3-40d2-8985-b8cf0c419a62","Code_184","C168688"
"Body Height","","NCI Thesaurus","Code","95f90cad-d279-4733-b62a-86d889a9ee17","Code_178","C164634"
"Laboratory Test Result","","NCI Thesaurus","Code","055d924c-842d-4ac8-8914-e262c84c1dbc","Code_186","C36292"
"Laboratory Test Fasting Status","","NCI Thesaurus","Code","0eddc101-df18-435e-b3b5-5463c53b7e53","Code_187","C83309"
"Unit of Catalytic Activity Concentration","","NCI Thesaurus","Code","7bae5f34-01ac-45c6-a2cf-5dc3e38ad9b9","Code_188","C67365"
"Biospecimen Type","","NCI Thesaurus","Code","595c4bf1-4d8a-42f2-8cf8-de3a61f858a9","Code_189","C70713"
"Alanine Aminotransferase Measurement","","NCI Thesaurus","Code","e2a1ad64-1861-4ee5-b0ae-d6556336fe2c","Code_185","C64433"
"Laboratory Test Result","","NCI Thesaurus","Code","bb762ffe-cee5-4780-8407-854cdb0161b0","Code_191","C36292"
"Laboratory Test Fasting Status","","NCI Thesaurus","Code","533d69fe-6d4f-4e69-9e68-228c008deacf","Code_192","C83309"
"Unit of Concentration","","NCI Thesaurus","Code","198e891c-fcf5-4aa9-89fc-f0873ea88342","Code_193","C48207"
"Biospecimen Type","","NCI Thesaurus","Code","2bcf4962-1e6f-4b4c-94dc-37e253d186e0","Code_194","C70713"
"Albumin Measurement","","NCI Thesaurus","Code","3e133a3c-cf65-4744-ae95-6baf756f421d","Code_190","C64431"
"Laboratory Test Result","","NCI Thesaurus","Code","e919d5a3-6183-482f-b7dc-84d5d3c52533","Code_196","C36292"
"Laboratory Test Fasting Status","","NCI Thesaurus","Code","539d98cf-f545-470a-b201-f0ca159d47f7","Code_197","C83309"
"Unit of Catalytic Activity Concentration","","NCI Thesaurus","Code","94d71d2d-8c9c-4b0d-9063-529b3c44402b","Code_198","C67365"
"Biospecimen Type","","NCI Thesaurus","Code","2f58d914-50f6-4ec6-b8f5-885d06727fb7","Code_199","C70713"
"Alkaline Phosphatase Measurement","","NCI Thesaurus","Code","984ce5da-643b-4861-912c-ca20d0316455","Code_195","C64432"
"Laboratory Test Result","","NCI Thesaurus","Code","97796f82-6fc8-49d1-bdc3-2d4eb34a2ba7","Code_201","C36292"
"Laboratory Test Fasting Status","","NCI Thesaurus","Code","1ea54c36-2fa6-481d-bf50-0c54949fef5c","Code_202","C83309"
"Unit of Catalytic Activity Concentration","","NCI Thesaurus","Code","6ba3022c-bf52-4ff2-a47b-758a824c9c56","Code_203","C67365"
"Biospecimen Type","","NCI Thesaurus","Code","813625d9-1aec-4d4b-b5ed-b1b5d3a58d9b","Code_204","C70713"
"Aspartate Aminotransferase Measurement","","NCI Thesaurus","Code","a1c7b338-fd48-4b2a-ab16-2b724c9b76f3","Code_200","C64467"
"Laboratory Test Result","","NCI Thesaurus","Code","5faa3b44-2050-44d5-a535-a8ac3cd04b7c","Code_206","C36292"
"Laboratory Test Fasting Status","","NCI Thesaurus","Code","fb08a00c-d9f7-4271-8c21-9da4bb329f11","Code_207","C83309"
"Unit of Concentration","","NCI Thesaurus","Code","69285ee6-e1ed-47b4-bf79-6b765ccee0c0","Code_208","C48207"
"Biospecimen Type","","NCI Thesaurus","Code","2025fc43-5a65-4088-83e8-6a02b61e59dd","Code_209","C70713"
"Creatinine Measurement","","NCI Thesaurus","Code","3cb53439-57fb-4d3d-8ec2-bc65489aadf1","Code_205","C64547"
"Laboratory Test Result","","NCI Thesaurus","Code","88384db3-eb24-488b-9ff0-265689561567","Code_211","C36292"
"Laboratory Test Fasting Status","","NCI Thesaurus","Code","683815bd-f0d8-41f7-9c3c-f9cee70bc588","Code_212","C83309"
"Molarity Unit","","NCI Thesaurus","Code","4e99ca18-31b2-4f75-a542-93c449b2e991","Code_213","C64567"
"Biospecimen Type","","NCI Thesaurus","Code","49211719-9f6b-49c2-9f72-62946be6e6b3","Code_214","C70713"
"Potassium Measurement","","NCI Thesaurus","Code","2bb27723-40ba-40a6-b7bf-8823c6b416a6","Code_210","C64853"
"Laboratory Test Result","","NCI Thesaurus","Code","51c6a56d-f9c1-4caf-ad35-993231bfc966","Code_216","C36292"
"Laboratory Test Fasting Status","","NCI Thesaurus","Code","14597bc5-8541-4398-a36f-b182f100db57","Code_217","C83309"
"Molarity Unit","","NCI Thesaurus","Code","b4395d4b-0292-42b9-b859-670581ee7e99","Code_218","C64567"
"Biospecimen Type","","NCI Thesaurus","Code","556ca5a5-7ea2-463f-ac5a-365fa6adc852","Code_219","C70713"
"Sodium Measurement","","NCI Thesaurus","Code","d60f1dac-e395-45e8-95b4-227d1ba74775","Code_215","C64809"
"Clinical Test Result","","NCI Thesaurus","Code","9ac730ec-dfdc-458d-8ec3-3967083a73f5","Code_221","C77140"
"Pascal","2023-09-29","http://www.cdisc.org","Code","c48a1a1c-1b27-4a01-b6af-d0d7f255b5a6","Code_222","C42547"
"Unit of Pressure","","NCI Thesaurus","Code","c46e5eb3-9a00-46d6-a9db-c49a826e653c","Code_223","C49669"
"Anatomic Site","","NCI Thesaurus","Code","5f0bc027-a45e-4a42-89da-daddc5dc2834","Code_224","C13717"
"Laterality","","NCI Thesaurus","Code","fe90ec6c-55db-4c57-a293-ebd399e86634","Code_225","C25185"
"Test Method","","NCI Thesaurus","Code","16b02a9e-7c38-40b0-b39b-c02923a882e1","Code_226","C82535"
"Body Position","","NCI Thesaurus","Code","1a1d24c8-ae54-4943-b17f-1a9b1465d837","Code_227","C62164"
"Systolic Blood Pressure","","NCI Thesaurus","Code","5938c20e-ddf8-472e-a33a-79ecbfbc41cf","Code_220","C25298"
"Clinical Test Result","","NCI Thesaurus","Code","72383cdf-34cd-4975-8d35-dfb29079be74","Code_229","C77140"
"Pascal","2023-09-29","http://www.cdisc.org","Code","95414478-dd53-4c89-8c82-48b8facc6f8a","Code_230","C42547"
"Unit of Pressure","","NCI Thesaurus","Code","cb4884c6-365b-42fe-a1eb-a0ce61fb1b5e","Code_231","C49669"
"Anatomic Site","","NCI Thesaurus","Code","f9e69935-9751-4f31-a257-4abfde750680","Code_232","C13717"
"Laterality","","NCI Thesaurus","Code","2a840e37-51ac-40e1-bdba-a8628379594b","Code_233","C25185"
"Test Method","","NCI Thesaurus","Code","4b3e4cfb-79b9-4220-aa27-ef3d9f81aa09","Code_234","C82535"
"Body Position","","NCI Thesaurus","Code","793e8e0b-9080-453d-81d8-4ef76c9b3314","Code_235","C62164"
"Diastolic Blood Pressure","","NCI Thesaurus","Code","6b997c89-8aec-48d7-aa5d-7c6ebfd500a8","Code_228","C25299"
"Clinical Test Result","","NCI Thesaurus","Code","a56f87c6-0b78-4ad4-ac9a-b235ed17f35c","Code_237","C77140"
"Beats per Minute","2023-09-29","http://www.cdisc.org","Code","ec8046ad-66eb-4814-b28a-ba8955165eb4","Code_238","C49673"
"Count per Minute","","NCI Thesaurus","Code","b2a6eaf6-6cb9-4c41-b7b4-55109226138b","Code_239","C73688"
"Anatomic Site","","NCI Thesaurus","Code","cc3962b3-e608-42dd-ad0e-60eef36cb7ab","Code_240","C13717"
"Laterality","","NCI Thesaurus","Code","99f2509a-2c1d-4188-86c6-86bf1d0dd9e5","Code_241","C25185"
"Test Method","","NCI Thesaurus","Code","16c543b7-f4d8-40c7-9fb2-13d581b601d4","Code_242","C82535"
