"decode","codeSystem","uuid:ID","code","id","codeSystemVersion"
"Visit","http://www.cdisc.org","604d26af-9b06-46e4-bb7f-266fdaa41e2b","C25716","Code_19","2023-09-29"
"Clinic","http://www.cdisc.org","c8d9d0bf-338b-4d48-9c3a-7b80cc696f01","C51282","Code_20","2023-09-29"
"In Person","http://www.cdisc.org","4483b89a-637c-438c-8809-865d5a38088a","C175574","Code_21","2023-09-29"
"Visit","http://www.cdisc.org","6440bab6-be45-4408-802c-1c347418b86e","C25716","Code_22","2023-09-29"
"Clinic","http://www.cdisc.org","7968fe55-b239-4d1f-88a3-2526ee747c4a","C51282","Code_23","2023-09-29"
"In Person","http://www.cdisc.org","a42e73f4-df51-4db1-8f7a-261d71332906","C175574","Code_24","2023-09-29"
"Visit","http://www.cdisc.org","77fb4167-cd62-48c0-840b-dce9d4d48ca6","C25716","Code_25","2023-09-29"
"Clinic","http://www.cdisc.org","8942ce76-57f9-45bc-bb29-962f8d8008e6","C51282","Code_26","2023-09-29"
"In Person","http://www.cdisc.org","1edc98b0-597d-42d2-98cd-8a88c5d33bc3","C175574","Code_27","2023-09-29"
"Visit","http://www.cdisc.org","8ad1939d-8f42-4deb-bb19-c2f3778f3dca","C25716","Code_28","2023-09-29"
"Home","http://www.cdisc.org","6329698f-1cf9-4ec8-bb38-bc760bc56b3a","C18002","Code_29","2023-09-29"
"Telephone Call","http://www.cdisc.org","5cb41596-9575-41ae-ab9a-ededc807f31f","C171537","Code_30","2023-09-29"
"Male","http://www.cdisc.org","2f8761e2-5151-40f2-8fe4-f118e3cd7c5d","C20197","Code_72","2023-09-29"
"Female","http://www.cdisc.org","a7cb8e4c-d2ac-42fd-bb3d-775c0fcfee0f","C16576","Code_73","2023-09-29"
"Sex","NCI Thesaurus","eddceb61-55a3-4672-98bd-171e1658853c","C28421","Code_74",""
"Sex","NCI Thesaurus","c925173e-3892-4ba1-b4be-8428bb339092","C28421","Code_71",""
"Race","NCI Thesaurus","a173b782-5f09-42d7-8e7f-6cbc3d731265","C17049","Code_76",""
"Race","NCI Thesaurus","1b929f0b-a385-432e-b959-d45bda5b6d78","C17049","Code_75",""
"Vital Signs Result","NCI Thesaurus","adda9015-d20e-4f08-999b-950fc0c548e9","C173522","Code_78",""
"Kilogram","http://www.cdisc.org","c899a0be-cf2c-48f5-8438-a5f002f5f0cf","C28252","Code_79","2023-09-29"
"Gram","http://www.cdisc.org","28e47665-8be3-4f1d-8778-4ee33aee7df9","C48155","Code_80","2023-09-29"
"Pound","http://www.cdisc.org","5b36bd25-ed9b-4271-a3db-f55b3b145da0","C48531","Code_81","2023-09-29"
"Unit of Weight","NCI Thesaurus","2c2dc6cc-fb34-4e0f-b5aa-2775f8168f27","C48208","Code_82",""
"Body Weight","NCI Thesaurus","3bd687fe-dd88-4e41-86e0-436f72d34e46","C81328","Code_77",""
"Active Comparator Arm","http://www.cdisc.org","eb7007dd-cf1c-4783-94ed-e4c41a1f36f8","C174267","Code_31","2023-09-29"
"Data Generated Within Study","http://www.cdisc.org","7816a125-9b94-4c71-b444-552e18fa8410","C188866","Code_32","2023-09-29"
"Placebo Comparator Arm","http://www.cdisc.org","c19e058e-0c24-44c4-bcfb-f40abe9963dd","C174268","Code_33","2023-09-29"
"Data Generated Within Study","http://www.cdisc.org","ec8fcdd4-1231-402e-8622-13a3ebf98910","C188866","Code_34","2023-09-29"
"Open Label Study","http://www.cdisc.org","490732ed-a51f-475b-b17b-4fdc2b5ce49f","C49659","Code_41","2023-09-29"
"Trial Screening","http://www.cdisc.org","1eb49648-a747-436f-a111-59f948c3babc","C48262","Code_35","2023-09-29"
"Baseline Epoch","http://www.cdisc.org","2038b150-232a-460b-8442-b98510913d11","C125938","Code_36","2023-09-29"
"Treatment Epoch","http://www.cdisc.org","1ecb6c38-d10a-41a8-a280-30195af35348","C101526","Code_37","2023-09-29"
"Clinical Study Follow-up","http://www.cdisc.org","d81d5ed0-aae0-4406-8b8d-9967b8ee3710","C99158","Code_38","2023-09-29"
"Indication1","SNOMED","498b08a3-7c82-4395-b6da-b9b90d8be3df","12345","Code_83","January 31, 2018"
"Indication2","SNOMED","cc40d278-76b5-4b8e-a765-a9cadbce5923","345678","Code_84","January 31, 2018"
"role1","M11","9d35c736-1da7-44ce-b353-8b13da570a93","role1","Code_90","None set"
"Pharmacologic Substance","http://www.cdisc.org","6446e883-d56b-4dc8-a6fa-9b8314f2ddc6","C1909","Code_91","2023-09-29"
"Day","http://www.cdisc.org","569eab82-b151-48ad-9541-73f9f4fc403d","C25301","Code_94","2023-09-29"
"B","SPONSOR","b593299b-4641-418d-834e-17ca3f5876fa","A","Code_89","12"
"Percentage","http://www.cdisc.org","e5c33e2f-d32d-4d31-9113-1698b8a7c763","C25613","Code_85","2023-09-29"
"Milligram","http://www.cdisc.org","60b0c839-d63f-4dca-89f6-7bea288fe1f4","C28253","Code_87","2023-09-29"
"Dental Route of Administration","http://www.cdisc.org","aa696b44-e05f-4a13-99b9-79c3c519008f","C38197","Code_86","2023-09-29"
"Ten Days Per Month","http://www.cdisc.org","53b06890-72b9-4f3a-a8e6-a0d982b84ae0","C139179","Code_88","2023-09-29"
"desig_1","M11","71447e7f-0b2c-4819-a38c-5564527ee518","desig1","Code_93","None set"
"B","FDA","f19fd20b-97b2-4590-8652-afde0e8bda4b","A","Code_92","None set"
"role2","M11","de6a6c72-5f75-438a-9e66-2101b88eb38e","role2","Code_100","None set"
"Pharmacologic Substance","http://www.cdisc.org","ffa8cffe-8868-4999-b8db-433846ab7fb4","C1909","Code_101","2023-09-29"
"Day","http://www.cdisc.org","00786b43-3f67-4a35-afb5-15d8fb96850f","C25301","Code_104","2023-09-29"
"B","SPONSOR","054b27de-3aea-49c2-b867-00fd32d9a71d","A","Code_99","12"
"Percentage","http://www.cdisc.org","44bbfa50-c6f2-4632-abc7-bb37ff91f9b2","C25613","Code_95","2023-09-29"
"Milligram","http://www.cdisc.org","3d7fb7a2-5ab9-45d5-a3f2-1326caf87502","C28253","Code_97","2023-09-29"
"Dental Route of Administration","http://www.cdisc.org","923e9b2f-0149-4559-b355-769637e9722c","C38197","Code_96","2023-09-29"
"Ten Days Per Month","http://www.cdisc.org","b02d6b64-bd30-4cb6-8d7d-0edc614d1438","C139179","Code_98","2023-09-29"
"desig_2","M11","74afbdd8-196d-4c1e-be63-2c3e2ec65f5d","desig2","Code_103","None set"
"B","FDA","db2fa51e-7274-4a3e-981e-c32e140cc6d5","A","Code_102","None set"
"Trial Primary Objective","http://www.cdisc.org","f6156cd5-7b76-4d0b-8c0b-a803ff993b9e","C85826","Code_111","2023-09-29"
"Primary Endpoint","http://www.cdisc.org","809887b9-d1c5-474d-906c-e3f040093c2f","C94496","Code_110","2023-09-29"
"Trial Secondary Objective","http://www.cdisc.org","b2c15908-ae52-413c-8c5c-de3d3838c71e","C85827","Code_113","2023-09-29"
"Secondary Endpoint","http://www.cdisc.org","59740bbd-f5b5-4bf3-abc7-5bc8358a113a","C139173","Code_112","2023-09-29"
"Secondary Endpoint","http://www.cdisc.org","8d18d12e-3d7e-4113-9d12-26656d6ef801","C139173","Code_114","2023-09-29"
"Secondary Endpoint","http://www.cdisc.org","817c1628-3656-4c07-b119-d08d569a4256","C139173","Code_115","2023-09-29"
"Secondary Endpoint","http://www.cdisc.org","71cbcff8-294a-40e2-ba3e-fd7380304c07","C139173","Code_116","2023-09-29"
"Secondary Endpoint","http://www.cdisc.org","7e869077-040b-464f-a4f4-7df576aeba98","C139173","Code_117","2023-09-29"
"Secondary Endpoint","http://www.cdisc.org","2a0432b5-029a-491d-9f40-e93b2a3c8ec1","C139173","Code_118","2023-09-29"
"Secondary Endpoint","http://www.cdisc.org","522da362-c6d0-495f-b0bf-ac48c1aea5a7","C139173","Code_119","2023-09-29"
"Secondary Endpoint","http://www.cdisc.org","d65b951d-4547-47a6-bf12-3378d4fe9e3a","C139173","Code_120","2023-09-29"
"Secondary Endpoint","http://www.cdisc.org","fb4a9d0d-c4de-40aa-ac1e-469771bb8046","C139173","Code_121","2023-09-29"
"Secondary Endpoint","http://www.cdisc.org","ea1e801e-b49d-4670-8c19-de8e7b606479","C139173","Code_122","2023-09-29"
"Secondary Endpoint","http://www.cdisc.org","0d1966dd-4ac2-4088-b468-71c7dd518b01","C139173","Code_123","2023-09-29"
"Before","http://www.cdisc.org","850e9f44-c019-4bce-9d68-3919a51077eb","C201264","Code_48","2023-09-29"
"Start to Start","http://www.cdisc.org","5317c00a-e2a7-404b-8a17-04079dedd747","C201265","Code_50","2023-09-29"
"Before","http://www.cdisc.org","cd6fdec1-5052-4ee6-8e54-8f1684534f59","C201264","Code_53","2023-09-29"
"Start to Start","http://www.cdisc.org","3fade122-2269-4fd4-9861-be673914c90d","C201265","Code_55","2023-09-29"
"Fixed Reference","http://www.cdisc.org","83332796-2459-4548-bef7-c3d5da1deba2","C201264","Code_56","2023-09-29"
"Start to Start","http://www.cdisc.org","78727a9d-1818-46fa-b803-d7c19007b6db","C201265","Code_60","2023-09-29"
"After","http://www.cdisc.org","875f6744-a0bb-416f-9ce4-fc461119d491","C201264","Code_62","2023-09-29"
"Start to Start","http://www.cdisc.org","646134af-c261-4240-8dee-f9a329dd3703","C201265","Code_65","2023-09-29"
"After","http://www.cdisc.org","7683b378-4468-4de1-a11f-9893de0328be","C201264","Code_67","2023-09-29"
"Start to Start","http://www.cdisc.org","a9028299-8043-4aab-888f-1f521e122836","C201265","Code_70","2023-09-29"
"Draft","http://www.cdisc.org","0e7b20c0-f798-4766-84d6-ce270c6d2a7f","C85255","Code_5","2023-09-29"
"Protocol Effective Date","http://www.cdisc.org","566254b6-3cdc-4c63-beee-07e552d9c0ef","C99903x1","Code_8","2023-09-29"
"Global","http://www.cdisc.org","3426fd74-0f6a-4e77-a9db-d81aaf852eca","C68846","Code_9","2023-09-29"
