"decode","id","codeSystemVersion","instanceType","code","uuid:ID","codeSystem"
"Unit of Catalytic Activity Concentration","Code_197","","Code","C67365","020a7a08-023e-4f4b-85e0-a5f3cc4a3518","NCI Thesaurus"
"Biospecimen Type","Code_198","","Code","C70713","4a85163a-e6ed-441b-8877-c1d91b82e95c","NCI Thesaurus"
"Alanine Aminotransferase Measurement","Code_194","","Code","C64433","0dba62a4-c926-41e6-b519-fd86a126f3e8","NCI Thesaurus"
"Laboratory Test Result","Code_200","","Code","C36292","2699cb43-3661-4fcb-9015-ed4d3d2bf15d","NCI Thesaurus"
"Laboratory Test Fasting Status","Code_201","","Code","C83309","60775fde-27d5-458b-94ed-1f9a50810f58","NCI Thesaurus"
"Unit of Concentration","Code_202","","Code","C48207","476d5c13-1fd2-4717-a97e-338fc3f85487","NCI Thesaurus"
"Biospecimen Type","Code_203","","Code","C70713","65c23af5-15ab-4874-9e21-2fdcd89391d8","NCI Thesaurus"
"Albumin Measurement","Code_199","","Code","C64431","66485a1c-f062-4c09-8bdf-7c6293dcf7e5","NCI Thesaurus"
"Laboratory Test Result","Code_205","","Code","C36292","0c40140c-b8a2-4313-8fa7-99073922544b","NCI Thesaurus"
"Laboratory Test Fasting Status","Code_206","","Code","C83309","da7bd97d-3a14-421c-b961-c9a00d6a8b45","NCI Thesaurus"
"Unit of Catalytic Activity Concentration","Code_207","","Code","C67365","7f9ea2e4-3408-428c-b74b-ea35d378534a","NCI Thesaurus"
"Biospecimen Type","Code_208","","Code","C70713","53839b9b-2c21-4b59-a95f-4a86cde5e4c0","NCI Thesaurus"
"Alkaline Phosphatase Measurement","Code_204","","Code","C64432","482dce62-dc8c-4f56-b629-0d82a510176e","NCI Thesaurus"
"Laboratory Test Result","Code_210","","Code","C36292","f3090915-0ae2-4e14-a225-3e7a7f9db133","NCI Thesaurus"
"Laboratory Test Fasting Status","Code_211","","Code","C83309","1542b106-8467-471a-a92b-82497c128618","NCI Thesaurus"
"Unit of Catalytic Activity Concentration","Code_212","","Code","C67365","2ff75368-55ee-4cc7-8b62-69635e3e5648","NCI Thesaurus"
"Biospecimen Type","Code_213","","Code","C70713","a5cdb152-36fa-446d-abdd-f55af7347d01","NCI Thesaurus"
"Aspartate Aminotransferase Measurement","Code_209","","Code","C64467","5064e361-8ee4-4452-a428-91a736f4570d","NCI Thesaurus"
"Laboratory Test Result","Code_215","","Code","C36292","73185e8f-3c0e-4bc3-bade-e9344a26da80","NCI Thesaurus"
"Laboratory Test Fasting Status","Code_216","","Code","C83309","5255f14e-ba73-41b3-92cd-89ba5f0ec02f","NCI Thesaurus"
"Unit of Concentration","Code_217","","Code","C48207","aaf5fd20-9195-4580-a52b-8d1259178c84","NCI Thesaurus"
"Biospecimen Type","Code_218","","Code","C70713","dcdcd4f0-c7fb-4a45-815b-24b97596bfdf","NCI Thesaurus"
"Creatinine Measurement","Code_214","","Code","C64547","9fc38859-9eb6-4655-bb5e-ccc4320bb76f","NCI Thesaurus"
"Laboratory Test Result","Code_220","","Code","C36292","8e34612c-b037-44f8-8914-f812a79bc5b3","NCI Thesaurus"
"Laboratory Test Fasting Status","Code_221","","Code","C83309","9239e912-11a2-4ed0-8f12-c4a5fb159776","NCI Thesaurus"
"Molarity Unit","Code_222","","Code","C64567","444d8ce2-0be5-4158-9b2d-f87fa6ba767b","NCI Thesaurus"
"Biospecimen Type","Code_223","","Code","C70713","c9020601-2dc3-432d-bf0e-ed4b2fda5abd","NCI Thesaurus"
"Potassium Measurement","Code_219","","Code","C64853","4afcf951-11a0-4c57-8d53-3b336f0df391","NCI Thesaurus"
"Laboratory Test Result","Code_225","","Code","C36292","d0f5e556-8fd0-48d2-ada3-a4a3c77f95de","NCI Thesaurus"
"Laboratory Test Fasting Status","Code_226","","Code","C83309","ee9e5360-f720-4290-b6b2-9f0a9288f6bc","NCI Thesaurus"
"Molarity Unit","Code_227","","Code","C64567","2544aeef-884e-4df4-88cf-876da1df83ac","NCI Thesaurus"
"Biospecimen Type","Code_228","","Code","C70713","6fe9f0f3-44c3-4cb3-bf12-bcad49b28e2e","NCI Thesaurus"
"Sodium Measurement","Code_224","","Code","C64809","7e0393ed-e7fe-452a-a500-b13eefc17697","NCI Thesaurus"
"Vital Signs Result","Code_230","","Code","C173522","18e3ee43-7e3d-43ac-b3aa-b95c6f4eaa86","NCI Thesaurus"
"Pascal","Code_231","2023-09-29","Code","C42547","e6bf446c-c5f0-4360-90f2-fa549a529f9e","http://www.cdisc.org"
"Unit of Pressure","Code_232","","Code","C49669","b4b64f7f-54d6-41d9-a760-e84e17804c65","NCI Thesaurus"
"Vital Signs Location","Code_233","","Code","C83088","cd44abaa-59a6-440d-9746-280dce1510b0","NCI Thesaurus"
"Vital Signs Laterality","Code_234","","Code","C123975","75c49a97-dbad-4fb1-913d-1a17add4cf93","NCI Thesaurus"
"Test Method","Code_235","","Code","C82535","f89f6811-aa82-4e07-b419-24ae7e7ab6d0","NCI Thesaurus"
"Vital Signs Position","Code_236","","Code","C83114","1a8d1775-f5e7-4c07-b76e-01779f7ef8e1","NCI Thesaurus"
"Systolic Blood Pressure","Code_229","","Code","C25298","d9a6e32c-e102-46ca-8d37-a7dc6e466c96","NCI Thesaurus"
"Vital Signs Result","Code_238","","Code","C173522","a32dc7df-a8c9-4733-b3ec-a938e12603c8","NCI Thesaurus"
"Pascal","Code_239","2023-09-29","Code","C42547","4f699cb3-84ce-471b-827c-a9a766a8d9e4","http://www.cdisc.org"
"Unit of Pressure","Code_240","","Code","C49669","d05888ef-6fac-4d70-aba7-05f45553fea5","NCI Thesaurus"
"Vital Signs Location","Code_241","","Code","C83088","5e6554f0-c916-40b0-9444-7a1fa7c49e76","NCI Thesaurus"
"Vital Signs Laterality","Code_242","","Code","C123975","c8e2b988-9ed4-44e8-b099-6c41b7dafa67","NCI Thesaurus"
"Test Method","Code_243","","Code","C82535","8bf62e92-abef-4008-a9f7-2fb94612d4c9","NCI Thesaurus"
"Vital Signs Position","Code_244","","Code","C83114","d580d176-5572-4c28-bb97-345c94e3ac58","NCI Thesaurus"
"Diastolic Blood Pressure","Code_237","","Code","C25299","4be38b9c-17cc-4de3-a893-ad4880090a96","NCI Thesaurus"
"Vital Signs Result","Code_246","","Code","C173522","72a388a2-6f2d-4887-b904-0e6cb799e19a","NCI Thesaurus"
