"name","id","instanceType","sectionTitle","sectionNumber","uuid:ID","text"
"SECTION 4.2","NarrativeContent_15","NarrativeContent","Rationale for Trial Design","4.2","1af42c65-89fb-4db4-8889-a81fb6549fe8","<div><p>Previous studies of the oral formulation have shown that xanomeline tartrate may improve behavior and cognition. Effects on behavior are manifest within 2 to 4 weeks of initiation of treatment. The same studies have shown that 8 to 12 weeks are required to demonstrate effects on cognition and clinical global assessment. This study is intended to determine the acute and chronic effects of the TTS formulation in AD; for that reason, the study is of 26 weeks duration. Dosage specification has been made on the basis of tolerance to the xanomeline TTS in a clinical pharmacology study (H2Q-EW-LKAA), and target plasma levels as determined in studies of the oral formulation of xanomeline (H2Q-MC-LZZA).</p></div>"
"SECTION 4.2.1","NarrativeContent_16","NarrativeContent","Rationale for Comparator","4.2.1","a8f4d15a-dfc6-4e9d-b08f-9f5258b41328","<div><p>The parallel dosing regimen maximizes the ability to make direct comparisons between the treatment groups. The use of placebo allows for a blinded, thus minimally biased, study. The placebo treatment group is a comparator group for efficacy and safety assessment.</p><p>Two interim analyses are planned for this study. The first interim analysis will occur when 50% of the patients have completed Visit 8 (8 weeks). If required, the second interim analysis will occur when 50% of the patients have completed Visit 12 (24 weeks).</p></div>"
"SECTION 4.2.2","NarrativeContent_17","NarrativeContent","Rationale for Adaptive or Novel Trial Design","4.2.2","e768c421-b8d6-479d-8a12-c805c9d3536e","<div></div>"
"SECTION 4.2.3","NarrativeContent_18","NarrativeContent","Other Trial Design Considerations","4.2.3","83016b2f-d5d1-4366-8b89-542ac9426a7a","<div></div>"
"SECTION 4.3","NarrativeContent_19","NarrativeContent","Access to Trial Intervention After End of Trial","4.3","708b7215-dc76-4341-90c2-582f06dbe21c","<div></div>"
"SECTION 4.4","NarrativeContent_20","NarrativeContent","Start of Trial and End of Trial","4.4","8a03d398-1300-4e62-bd7b-227f7e6280f7","<div></div>"
"SECTION 5","NarrativeContent_21","NarrativeContent","TRIAL POPULATION","5","823aa976-975e-4dde-86bf-6680b1e3852d","<div></div>"
"SECTION 5.1","NarrativeContent_22","NarrativeContent","Selection of Trial Population","5.1","3e49788b-caf7-4562-8f02-0954618e7419","<div><p>For Lilly studies, the following definitions are used:</p>
<div>
  <div><strong>Screen</strong></div>
  <div>
    <p>Screening is the act of determining if an individual meets minimum requirements to become part of a pool of potential candidates for participation in a clinical study.</p>
    <p>In this study, <strong>screening</strong> will include asking the candidate preliminary questions (such as age and general health status) and conducting invasive or diagnostic procedures and/or tests (for example, diagnostic psychological tests, x-rays, blood draws). Patients will sign the consent at their screening visit, thereby consenting to undergo the screening procedures and to participate in the study if they qualify.</p>
  </div>  
</div>
<div>
  <div>To <strong>enter</strong></div>
  <div>
    <p>Patients <strong>entered</strong> into the study are those from whom informed consent for the study has been obtained. Adverse events will be reported for each patient who has <strong>entered</strong> the study, even if the patient is never assigned to a treatment group (<strong>enrolled</strong>).</p></div>
  </div>  
</div>
<div>
  <div>To <strong>enroll</strong></div>
  <div>
    <p>Patients who are enrolled in the study are those who have been assigned to a treatment group. Patients who are entered into the study but fail to meet criteria specified in the protocol for treatment assignment will not be enrolled in the study.</p></div>
  </div>  
</div>
<p>At Visit 1, patients who meet the enrollment criteria of Mini-Mental State Examination (MMSE) score of 10 to 23 (Attachment LZZT.6), Hachinski Ischemia Score ≤4 (Attachment LZZT.8), a physical exam, safety labs, ECG, and urinalysis, will proceed to Visit 2 and Visit 3. At Visit 3, patients whose CNS imaging and other pending labs from Visit 1 satisfy the inclusion criteria (Section 3.4.2.1) will be enrolled in the study. Approximately 300 patients with a diagnosis of probable mild to moderate AD will be enrolled in the study.</p></div>"
"SECTION 5.2","NarrativeContent_23","NarrativeContent","Rationale for Trial Population","5.2","3ff104e2-2d0b-41e8-abb0-be161c284f6f","<div></div>"
"SECTION 5.3","NarrativeContent_24","NarrativeContent","Inclusion Criteria","5.3","03236ced-2400-4e62-a9b3-96638aede2ce","<div><usdm:section name=""M11-inclusion""></div>"
"SECTION 5.4","NarrativeContent_25","NarrativeContent","Exclusion Criteria","5.4","9d503389-118d-4ffa-bd51-e4e9b40f11e9","<div><usdm:section name=""M11-exclusion""></div>"
"SECTION 5.5","NarrativeContent_26","NarrativeContent","Lifestyle Considerations","5.5","458279e1-d5b4-40d8-8b01-163b3b128c3a","<div></div>"
"SECTION 5.5.1","NarrativeContent_27","NarrativeContent","Meals and Dietary Restrictions","5.5.1","eeb5bee5-1721-40e7-a4de-9e2a630eb5ce","<div></div>"
"SECTION 5.5.2","NarrativeContent_28","NarrativeContent","Caffeine, Alcohol, Tobacco, and Other Habits","5.5.2","d992a4e2-500d-40e8-8a9d-549f90f55515","<div><p>Not applicable</p></div>"
"SECTION 5.5.3","NarrativeContent_29","NarrativeContent","Physical Activity","5.5.3","bd1b7120-6f00-43c6-858f-46519d41bc29","<div></div>"
"SECTION 5.5.4","NarrativeContent_30","NarrativeContent","Other Activity","5.5.4","2dc7fe4c-9d32-4096-a938-df963d1839dc","<div></div>"
"SECTION 5.6","NarrativeContent_31","NarrativeContent","Screen Failures","5.6","95340d13-9f4e-4094-a2b7-3d2e96bfb567","<div></div>"
"SECTION 6","NarrativeContent_32","NarrativeContent","TRIAL INTERVENTION AND CONCOMITANT THERAPY","6","cdb20dc7-3cc8-4116-9a0e-48293bf3c1f2","<div></div>"
"SECTION 6.1","NarrativeContent_33","NarrativeContent","Description of Trial Intervention","6.1","e0cb1e6c-be98-4061-b2ba-b3d2b6ce8e4f","<div></div>"
"SECTION 6.2","NarrativeContent_34","NarrativeContent","Rationale for Trial Intervention","6.2","d6aa0375-ea62-4b75-8e61-7057b3a01e0b","<div></div>"
"SECTION 6.3","NarrativeContent_35","NarrativeContent","Dosing and Administration","6.3","023631a2-c8f6-4723-81fb-d8211e87250b","<div></div>"
"SECTION 6.3.1","NarrativeContent_36","NarrativeContent","Trial Intervention Dose Modification","6.3.1","7e2f2ccf-9a1c-4a63-9d06-153e367cdb4b","<div></div>"
"SECTION 6.4","NarrativeContent_37","NarrativeContent","Treatment of Overdose","6.4","6f48a39a-f12c-482b-8726-a27f2a1fc95d","<div></div>"
"SECTION 6.5","NarrativeContent_38","NarrativeContent","Preparation, Handling, Storage and Accountability","6.5","fabdfc03-6f14-4eda-8d24-8db394ad339a","<div></div>"
"SECTION 6.5.1","NarrativeContent_39","NarrativeContent","Preparation of Trial Intervention","6.5.1","8434a604-982a-4a4b-b0b2-957a11da460c","<div></div>"
"SECTION 6.5.2","NarrativeContent_40","NarrativeContent","Handling and Storage of Trial Intervention","6.5.2","f5054ce7-fcd2-4a43-9a24-8ef591f65dfb","<div></div>"
"SECTION 6.5.3","NarrativeContent_41","NarrativeContent","Accountability of Trial Intervention","6.5.3","415b2091-fbd9-41f7-afe5-2c225b05d56a","<div></div>"
"SECTION 6.6","NarrativeContent_42","NarrativeContent","Participant Assignment, Randomisation and Blinding","6.6","5fcfba7c-8c7c-4b05-96c9-5ad617a31672","<div></div>"
"SECTION 6.6.1","NarrativeContent_43","NarrativeContent","Participant Assignment","6.6.1","4e839e1b-6e81-4928-8003-0f5a2cfe1cc2","<div></div>"
"SECTION 6.6.2","NarrativeContent_44","NarrativeContent","Randomisation","6.6.2","ae1c2a1c-07e6-42d1-9fe9-aaf964ac3bca","<div></div>"
"SECTION 6.6.3","NarrativeContent_45","NarrativeContent","Blinding and Unblinding","6.6.3","933bb3fd-3134-4f48-b5f4-d622924f423e","<div><p>The study will be double-blind. To further preserve the blinding of the study, only a minimum number of Lilly and CRO personnel will see the randomization table and codes before the study is complete.</p>
<p>Emergency codes generated by a computer drug-labeling system will be available to the investigator. These codes, which reveal the patients treatment group, may be opened during the study only if the choice of follow-up treatment depends on the patient’s therapy assignment.</p>
<p>The investigator should make every effort to contact the clinical research physician prior to unblinding a patient’s therapy assignment. If a patient’s therapy assignment is unblinded, Lilly must be notified immediately by telephone. After the study, the investigator must return all sealed and any opened codes.</p></div>"
"SECTION 6.7","NarrativeContent_46","NarrativeContent","Trial Intervention Compliance","6.7","3d6fd5dd-a6fe-4f99-b4bf-97ba1ca720b8","<div></div>"
"SECTION 6.8","NarrativeContent_47","NarrativeContent","Concomitant Therapy","6.8","19ecf58a-57d8-4257-9ab2-5238a71e1868","<div></div>"
"SECTION 6.8.1","NarrativeContent_48","NarrativeContent","Prohibited Concomitant Therapy","6.8.1","c654a88a-7fa2-47b2-b85c-af63cdde5273","<div></div>"
"SECTION 6.8.2","NarrativeContent_49","NarrativeContent","Permitted Concomitant Therapy","6.8.2","f9532f1b-9d20-46aa-8690-1932092357c3","<div></div>"
"SECTION 6.8.3","NarrativeContent_50","NarrativeContent","Rescue Therapy","6.8.3","76e0ea60-ae6d-4d21-b0ce-1a357f20476d","<div></div>"
"SECTION 6.8.4","NarrativeContent_51","NarrativeContent","Other Therapy","6.8.4","d0d58378-57c2-42e2-8e31-a1bec38609b9","<div></div>"
"SECTION 7","NarrativeContent_52","NarrativeContent","DISCONTINUATION OF TRIAL INTERVENTION AND PARTICIPANT WITHDRAWAL FROM TRIAL","7","8211384b-1ce9-414b-a810-a4ec65aa91cf","<div></div>"
"SECTION 7.1","NarrativeContent_53","NarrativeContent","Discontinuation of Trial Intervention","7.1","1b9907ef-6483-44dd-ae9b-20bedf43dd41","<div></div>"
"SECTION 7.1.1","NarrativeContent_54","NarrativeContent","Criteria for Permanent Discontinuation of Trial Intervention","7.1.1","a05edd61-6a3c-4577-9a96-b2d0d96dafb8","<div></div>"
"SECTION 7.1.2","NarrativeContent_55","NarrativeContent","Temporary Discontinuation or Interruption of Trial Intervention","7.1.2","1a4fddb6-58cc-4105-83ec-433232b6c173","<div></div>"
"SECTION 7.1.3","NarrativeContent_56","NarrativeContent","Rechallenge","7.1.3","60c124d8-19aa-4d21-9f93-bf771069c47f","<div></div>"
"SECTION 7.2","NarrativeContent_57","NarrativeContent","Participant Withdrawal from the Trial","7.2","5c2cefd9-5e49-466b-8bc7-938e5d17ea87","<div></div>"
"SECTION 7.3","NarrativeContent_58","NarrativeContent","Lost to Follow-Up","7.3","7a09651d-cea4-43e8-9e53-976061d406e0","<div></div>"
"SECTION 7.4","NarrativeContent_59","NarrativeContent","Trial Stopping Rules","7.4","340f1e8d-0a34-43d4-8d12-9a12b173ad0e","<div></div>"
"SECTION 8","NarrativeContent_60","NarrativeContent","TRIAL ASSESSMENTS AND PROCEDURES","8","428307fb-110b-4cfc-a857-07ac846500e6","<div></div>"
"SECTION 8.1","NarrativeContent_61","NarrativeContent","Screening/Baseline Assessments and Procedures","8.1","2cd1639b-47eb-49c2-8843-42a84207d9b5","<div></div>"
"SECTION 8.2","NarrativeContent_62","NarrativeContent","Efficacy Assessments and Procedures","8.2","38ecaafd-ae21-4fe7-aa3a-02f1014fe838","<div></div>"
"SECTION 8.3","NarrativeContent_63","NarrativeContent","Safety Assessments and Procedures","8.3","52732b86-eace-424f-87a7-5d0bf83928ac","<div></div>"
"SECTION 8.3.1","NarrativeContent_64","NarrativeContent","Physical Examination","8.3.1","1aaf4c03-2990-4b10-8689-213e611e37ac","<div></div>"
"SECTION 8.3.2","NarrativeContent_65","NarrativeContent","Vital Signs","8.3.2","c35f9090-0498-459c-8b44-0e9c625e1f13","<div></div>"
"SECTION 8.3.3","NarrativeContent_66","NarrativeContent","Electrocardiograms","8.3.3","c7f4d504-6377-4c55-b883-d2e99f6f866c","<div></div>"
"SECTION 8.3.4","NarrativeContent_67","NarrativeContent","Clinical Laboratory Assessments","8.3.4","7f8d0538-7649-4ee5-9b6a-c25bebe6d2c9","<div></div>"
"SECTION 8.3.5","NarrativeContent_68","NarrativeContent","Suicidal Ideation and Behaviour Risk Monitoring","8.3.5","8b354398-d146-4b11-b5f5-3d304eb6a030","<div></div>"
"SECTION 8.4","NarrativeContent_69","NarrativeContent","Adverse Events and Serious Adverse Events","8.4","2ece3606-2415-4a33-b3f6-d3d9b87df98c","<div></div>"
"SECTION 8.4.1","NarrativeContent_70","NarrativeContent","Definitions of AE and SAE","8.4.1","ca697f65-ba15-4c7a-8d18-2add2d0425dd","<div></div>"
"SECTION 8.4.2","NarrativeContent_71","NarrativeContent","Time Period and Frequency for Collecting AE and SAE Information","8.4.2","806a1ef0-7526-476d-adad-727371afaf8e","<div></div>"
"SECTION 8.4.3","NarrativeContent_72","NarrativeContent","Identifying AEs and SAEs","8.4.3","4296c4c3-e17f-465a-a319-c676078a2cd3","<div></div>"
"SECTION 8.4.4","NarrativeContent_73","NarrativeContent","Recording of AEs and SAEs","8.4.4","148bc746-e4af-4594-91e0-fed6d7334c58","<div></div>"
"SECTION 8.4.5","NarrativeContent_74","NarrativeContent","Follow-up of AEs and SAEs","8.4.5","6238d527-809d-4a8d-bf2e-0bbf3ce5885c","<div></div>"
"SECTION 8.4.6","NarrativeContent_75","NarrativeContent","Reporting of SAEs","8.4.6","63285231-2ea5-4d81-b3d2-79d8ea336e2c","<div></div>"
"SECTION 8.4.7","NarrativeContent_76","NarrativeContent","Regulatory Reporting Requirements for SAEs","8.4.7","b2b974e8-f124-444f-aea3-b39627ecd77c","<div></div>"
"SECTION 8.4.8","NarrativeContent_77","NarrativeContent","Serious and Unexpected Adverse Reaction Reporting","8.4.8","a1110bc2-4875-429d-a5d8-95ae500d37f7","<div></div>"
"SECTION 8.4.9","NarrativeContent_78","NarrativeContent","Adverse Events of Special Interest","8.4.9","4e6ccbdd-8f30-4285-969e-86ddd60eead3","<div></div>"
"SECTION 8.4.10","NarrativeContent_79","NarrativeContent","Disease-related Events or Outcomes Not Qualifying as AEs or SAEs","8.4.10","c9a52843-9063-4a14-9212-9bc747284abc","<div></div>"
"SECTION 8.5","NarrativeContent_80","NarrativeContent","Pregnancy and Postpartum Information","8.5","c6243013-284f-4832-833d-30c5ed70f3a4","<div></div>"
"SECTION 8.5.1","NarrativeContent_81","NarrativeContent","Participants Who Become Pregnant During the Trial","8.5.1","66a1adb6-8e0c-4633-8047-9378b3cdc64d","<div></div>"
"SECTION 8.5.2","NarrativeContent_82","NarrativeContent","Participants Whose Partners Become Pregnant","8.5.2","d27fd895-2037-417a-b438-70f272867c93","<div></div>"
"SECTION 8.6","NarrativeContent_83","NarrativeContent","Medical Device Product Complaints for Drug/Device Combination Products","8.6","c9522ed8-5a62-48cd-86a8-dabc08aab6b8","<div></div>"
"SECTION 8.6.1","NarrativeContent_84","NarrativeContent","Definition of Medical Device Product Complaints","8.6.1","5d1dcdfc-1cc9-4130-8199-20ac0d19abcc","<div></div>"
"SECTION 8.6.2","NarrativeContent_85","NarrativeContent","Recording of Medical Device Product Complaints","8.6.2","42dae332-261c-42eb-aeee-3368aaa03c00","<div></div>"
"SECTION 8.6.3","NarrativeContent_86","NarrativeContent","Time Period and Frequency for Collecting Medical Device Product Complaints .","8.6.3","d3d7189d-268a-425a-8bc8-a56f188fd4de","<div></div>"
"SECTION 8.6.4","NarrativeContent_87","NarrativeContent","Follow-Up of Medical Device Product Complaints","8.6.4","58174d5b-aba4-4f21-8d8b-6fe6b8b674e3","<div></div>"
"SECTION 8.6.5","NarrativeContent_88","NarrativeContent","Regulatory Reporting Requirements for Medical Device Product Complaints","8.6.5","0c1b7c28-3da1-49b6-bf70-58911fb7e1e5","<div></div>"
"SECTION 8.7","NarrativeContent_89","NarrativeContent","Pharmacokinetics","8.7","10d90aef-3e4f-4506-92e0-fa018811740a","<div></div>"
"SECTION 8.8","NarrativeContent_90","NarrativeContent","Genetics","8.8","50c2064a-df3a-4d54-b5ec-41651fe892c5","<div></div>"
"SECTION 8.9","NarrativeContent_91","NarrativeContent","Biomarkers","8.9","993889b2-eee9-43a1-b21c-7f21fa25e096","<div></div>"
"SECTION 8.1","NarrativeContent_92","NarrativeContent","Immunogenicity Assessments","8.1","f8c728af-572d-4859-ad5b-a7597f6ce2d0","<div></div>"
"SECTION 8.1.1","NarrativeContent_93","NarrativeContent","Medical Resource Utilisation and Health Economics","8.1.1","b91a71ba-fbb6-4b39-8cee-3a862ca917df","<div></div>"
"SECTION 9","NarrativeContent_94","NarrativeContent","STATISTICAL CONSIDERATIONS","9","8290f774-b36e-4e2d-bcea-bf937d31e644","<div></div>"
"SECTION 9.1","NarrativeContent_95","NarrativeContent","Analysis Sets","9.1","ef27e015-38db-4bcf-8c3f-8d7a2316aa78","<div></div>"
"SECTION 9.2","NarrativeContent_96","NarrativeContent","Analyses Supporting Primary Objective(s)","9.2","c6d35a35-7567-45eb-9fe4-ca9845ca1a86","<div></div>"
"SECTION 9.2.1","NarrativeContent_97","NarrativeContent","Statistical Model, Hypothesis, and Method of Analysis","9.2.1","76f75c9d-88af-4215-bb65-cd94cf8a7639","<div></div>"
"SECTION 9.2.2","NarrativeContent_98","NarrativeContent","Handling of Intercurrent Events of Primary Estimand(s)","9.2.2","dc23a6b3-bcc9-4eaa-9125-31bad41ef91f","<div></div>"
"SECTION 9.2.3","NarrativeContent_99","NarrativeContent","Handling of Missing Data","9.2.3","1b87f9aa-9ed2-4c7f-bed0-71e72f4227b2","<div></div>"
"SECTION 9.2.4","NarrativeContent_100","NarrativeContent","Sensitivity Analysis","9.2.4","c5bcfbfe-6360-437e-b2e8-3120e079d8db","<div></div>"
"SECTION 9.2.5","NarrativeContent_101","NarrativeContent","Supplementary Analysis","9.2.5","9684098f-5a63-4d57-afb7-36e45f2954e7","<div></div>"
"SECTION 9.3","NarrativeContent_102","NarrativeContent","Analysis Supporting Secondary Objective(s)","9.3","5852588a-ea2d-4d06-88f6-d8e08e636610","<div></div>"
"SECTION 9.4","NarrativeContent_103","NarrativeContent","Analysis of Exploratory Objective(s)","9.4","b3227132-cf57-49cd-a0e0-71942c0288e1","<div></div>"
"SECTION 9.5","NarrativeContent_104","NarrativeContent","Safety Analyses","9.5","a226e6ac-2a79-46e2-a637-9936f797776e","<div></div>"
"SECTION 9.6","NarrativeContent_105","NarrativeContent","Other Analyses","9.6","55e8cc52-b3d5-40b9-8a5e-a3f28edb8b0c","<div></div>"
"SECTION 9.7","NarrativeContent_106","NarrativeContent","Interim Analyses","9.7","40deb676-fe88-4b8e-876e-2a451d17d00e","<div></div>"
"SECTION 9.8","NarrativeContent_107","NarrativeContent","Sample Size Determination","9.8","7496e4f0-2b7a-42fa-a621-2d2a1124c09c","<div></div>"
"SECTION 9.9","NarrativeContent_108","NarrativeContent","Protocol Deviations","9.9","64011c32-dffc-4ff0-8994-604dc3f899a3","<div></div>"
"SECTION 10","NarrativeContent_109","NarrativeContent","GENERAL CONSIDERATIONS: REGULATORY, ETHICAL, AND TRIAL OVERSIGHT","10","c4ced3f5-fcb1-4d2f-8c11-b3039097501b","<div></div>"
"SECTION 10.1","NarrativeContent_110","NarrativeContent","Regulatory and Ethical Considerations","10.1","0b7ae20f-bad3-4e95-9d82-36fe4fa7daa8","<div></div>"
"SECTION 10.2","NarrativeContent_111","NarrativeContent","Committees","10.2","cc9a9e37-3932-453d-a784-cbe7d5fa422e","<div></div>"
"SECTION 10.3","NarrativeContent_112","NarrativeContent","Informed Consent Process","10.3","f988db7b-a393-4eae-8cd2-773278b37dfc","<div></div>"
"SECTION 10.4","NarrativeContent_113","NarrativeContent","Data Protection","10.4","dbd4db22-2767-4f61-a35c-14dc8e7d140d","<div></div>"
"SECTION 10.5","NarrativeContent_114","NarrativeContent","Early Site Closure or Trial Termination","10.5","2ad972be-380d-45a9-81b4-cef5f8690c22","<div></div>"
"SECTION 11","NarrativeContent_115","NarrativeContent","GENERAL CONSIDERATIONS: RISK MANAGEMENT AND QUALITY ASSURANCE","11","2cb58865-24df-4151-9cf4-a49a73dc44eb","<div></div>"
"SECTION 11.1","NarrativeContent_116","NarrativeContent","Quality Tolerance Limits","11.1","16297197-a9d3-4269-8295-e1a86191ab97","<div></div>"
"SECTION 11.2","NarrativeContent_117","NarrativeContent","Data Quality Assurance","11.2","9f8708cc-5b0a-4c7b-93f8-48b51cd58677","<div></div>"
"SECTION 11.3","NarrativeContent_118","NarrativeContent","Source Data","11.3","f133bcba-6ae3-4638-94c2-434e418fa399","<div></div>"
"SECTION 12","NarrativeContent_119","NarrativeContent","APPENDIX: ADVERSE EVENTS AND SERIOUS ADVERSE EVENTS - DEFINITIONS, SEVERITY, AND CAUSALITY","12","c5866e46-8ffa-4f2b-9abb-9e2b85a457be","<div></div>"
"SECTION 12.1","NarrativeContent_120","NarrativeContent","Further Details and Clarifications on the AE Definition","12.1","1aa51d67-aee9-4858-8693-1b194662d5d8","<div></div>"
"SECTION 12.2","NarrativeContent_121","NarrativeContent","Further Details and Clarifications on the SAE Definition","12.2","ee58abce-5141-4563-ba9f-962a7d197205","<div></div>"
"SECTION 12.3","NarrativeContent_122","NarrativeContent","Severity","12.3","022a963e-c2d8-4bac-8903-5590a463e5e0","<div></div>"
"SECTION 12.4","NarrativeContent_123","NarrativeContent","Causality","12.4","ab9e0c96-977f-45ad-92da-a673eac6ce46","<div></div>"
"SECTION 13","NarrativeContent_124","NarrativeContent","APPENDIX: DEFINITIONS AND SUPPORTING OPERATIONAL DETAILS","13","5cb2074b-e4ba-43c9-a0be-8db44922d5b3","<div></div>"
"SECTION 13.1","NarrativeContent_125","NarrativeContent","Contraception and Pregnancy Testing","13.1","f4263f20-f18e-4ff7-94f8-afd62c04d9bb","<div></div>"
"SECTION 13.1.1","NarrativeContent_126","NarrativeContent","Definitions Related to Childbearing Potential","13.1.1","d8dcdee4-6c1d-4fc6-a9b4-9365743d1e93","<div></div>"
"SECTION 13.1.2","NarrativeContent_127","NarrativeContent","Contraception","13.1.2","a17bf00c-6091-467a-9d1c-9f2183cc22ed","<div></div>"
"SECTION 13.1.3","NarrativeContent_128","NarrativeContent","Pregnancy Testing","13.1.3","02e09706-99d2-48e1-9091-827e574d04a9","<div></div>"
"SECTION 13.2","NarrativeContent_129","NarrativeContent","Clinical Laboratory Tests","13.2","806bbeba-32fa-4837-862b-d34fa1486a8d","<div></div>"
"SECTION 13.3","NarrativeContent_130","NarrativeContent","Country/Region-Specific Differences","13.3","fa6b4cd7-426c-4ee4-8b92-2f9dafb43584","<div></div>"
"SECTION 13.4","NarrativeContent_131","NarrativeContent","Prior Protocol Amendments","13.4","78de19ac-f9a3-4b4f-9610-b0e89d31a329","<div></div>"
"SECTION 14","NarrativeContent_132","NarrativeContent","APPENDIX: GLOSSARY OF TERMS","14","70f6ba35-77ab-4a70-8ddb-038071ababd2","<div></div>"
"SECTION 15","NarrativeContent_133","NarrativeContent","APPENDIX: REFERENCES","15","c09506ad-ad81-4ec7-bb6d-0191514de454","<div></div>"
