"name","reference","id","uuid:ID","label","synonyms","instanceType"
"Systolic Blood Pressure","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25298","BiomedicalConcept_2","9e8b5582-7bb7-4f3e-8169-a0d7ad98acf6","Systolic Blood Pressure","['SYSBP']","BiomedicalConcept"
"Diastolic Blood Pressure","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25299","BiomedicalConcept_3","5e0a0498-695d-49f0-909e-ba1d740ab3cd","Diastolic Blood Pressure","['DIABP']","BiomedicalConcept"
"Body Temperature","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C174446","BiomedicalConcept_4","db58e944-a511-461f-b560-bf2c7c3d6a28","Body Temperature","['Temperature']","BiomedicalConcept"
"Body Weight","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C81328","BiomedicalConcept_5","bad54298-f0f5-4bf3-85c7-60cf6bf502d0","Body Weight","['Weight']","BiomedicalConcept"
"Body Height","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C164634","BiomedicalConcept_6","b09709ef-f81d-4822-aeaa-cd45e0225883","Body Height","['Height']","BiomedicalConcept"
"Alanine Aminotransferase Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64433","BiomedicalConcept_7","1e4c6b74-2fd5-440a-8ebd-b5a5e72280b5","Alanine Aminotransferase Measurement","['ALT', 'SGPT']","BiomedicalConcept"
"Albumin Measurement","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64431","BiomedicalConcept_8","349f4a52-9741-49cc-a3ba-28b33afb8eb1","Albumin Measurement","['Albumin']","BiomedicalConcept"
"Alkaline Phosphatase Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64432","BiomedicalConcept_9","4e290e91-209f-40e8-af42-8ce5918db930","Alkaline Phosphatase Measurement","['Alkaline Phosphatase']","BiomedicalConcept"
"Aspartate Aminotransferase Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64467","BiomedicalConcept_10","6c7468f3-6bc7-41d7-b9ab-a73d4226a99f","Aspartate Aminotransferase Measurement","['AST', 'SGOT']","BiomedicalConcept"
"Creatinine Measurement","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64547","BiomedicalConcept_11","507cfb9b-7561-4143-af1b-ac0335f50a8e","Creatinine Measurement","['Creatinine']","BiomedicalConcept"
"Potassium Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64853","BiomedicalConcept_12","25e85476-8dbd-4614-84a0-d6526872cd8d","Potassium Measurement","['Potassium', 'K']","BiomedicalConcept"
"Sodium Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64809","BiomedicalConcept_13","0d7a417c-c197-4cff-ab52-6da59bfe798e","Sodium Measurement","['Sodium', 'NA']","BiomedicalConcept"
"Systolic Blood Pressure","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25298","BiomedicalConcept_14","acbf24b4-91d5-4395-b0d7-6a0fcfeaf451","Systolic Blood Pressure","['SYSBP']","BiomedicalConcept"
"Diastolic Blood Pressure","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25299","BiomedicalConcept_15","ec448bbb-dfee-4e7c-935c-19b3d6453d38","Diastolic Blood Pressure","['DIABP']","BiomedicalConcept"
"Heart Rate","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C49677","BiomedicalConcept_16","e37df5cb-32c8-400d-af2c-6fbeb23a0ff8","Heart Rate","","BiomedicalConcept"
"Systolic Blood Pressure","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25298","BiomedicalConcept_17","86895960-03b1-46e0-acc0-773a56044f0d","Systolic Blood Pressure","['SYSBP']","BiomedicalConcept"
"Diastolic Blood Pressure","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25299","BiomedicalConcept_18","f3182e94-2244-4776-9e7c-d662a11ec92d","Diastolic Blood Pressure","['DIABP']","BiomedicalConcept"
"Heart Rate","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C49677","BiomedicalConcept_19","8a99a216-a02f-4460-8b6e-646e2f0f1ef7","Heart Rate","","BiomedicalConcept"
