"decode","uuid:ID","id","code","codeSystem","codeSystemVersion","instanceType"
"Clinic","80ebe874-ee36-4aec-86ee-e1d5439e13f3","Code_105","C51282","http://www.cdisc.org","2023-09-29","Code"
"In Person","0ee62c6b-59c9-403e-8af1-6caab03c6f73","Code_106","C175574","http://www.cdisc.org","2023-09-29","Code"
"Telephone Call","5ec5b59b-7723-4d26-be46-ac334df8d7f9","Code_107","C171537","http://www.cdisc.org","2023-09-29","Code"
"Visit","3d41a1e5-9d32-4add-9b01-e4fd2d0f7ad1","Code_108","C25716","http://www.cdisc.org","2023-09-29","Code"
"Clinic","a779ddf0-32b3-4755-a50d-311c9b0ecd11","Code_109","C51282","http://www.cdisc.org","2023-09-29","Code"
"In Person","565a8644-60ca-451e-af31-63985f581512","Code_110","C175574","http://www.cdisc.org","2023-09-29","Code"
"Telephone Call","df0926fe-d692-4cd1-8e79-0b0e170cd439","Code_111","C171537","http://www.cdisc.org","2023-09-29","Code"
"Visit","b5eef344-cb62-44cd-bebb-0d6c82570fbf","Code_112","C25716","http://www.cdisc.org","2023-09-29","Code"
"Clinic","e4a0b2e3-3090-400c-9b7f-f87b76e5fd02","Code_113","C51282","http://www.cdisc.org","2023-09-29","Code"
"In Person","d48ca718-ba0d-4a95-8ea9-72245deef335","Code_114","C175574","http://www.cdisc.org","2023-09-29","Code"
"Telephone Call","ee98d394-3879-4d13-a4cc-2c1cd693fbdb","Code_115","C171537","http://www.cdisc.org","2023-09-29","Code"
"Visit","c21c03c8-9447-4bf9-b755-494ac87a54e5","Code_116","C25716","http://www.cdisc.org","2023-09-29","Code"
"Clinic","ec301ca7-1d22-4e65-b949-5fc7a9799980","Code_117","C51282","http://www.cdisc.org","2023-09-29","Code"
"In Person","a39a63bb-1014-4309-bf37-5249bef07568","Code_118","C175574","http://www.cdisc.org","2023-09-29","Code"
"Visit","e4d2913a-432d-41bc-a8fc-27917b9ab412","Code_119","C25716","http://www.cdisc.org","2023-09-29","Code"
"Clinic","5920264a-c326-41b9-a04f-66252bffe2f3","Code_120","C51282","http://www.cdisc.org","2023-09-29","Code"
"In Person","d7a0b4ae-ec0a-40f1-8b0e-787fafbf2787","Code_121","C175574","http://www.cdisc.org","2023-09-29","Code"
"CT of head without contrast","78db624d-8efb-48f9-8498-c6b01a00a74e","Code_79","383371000119108","SNOMED","January 31, 2018","Code"
"Subject Supine","7e96db93-e74e-4ee4-a45e-dd03f21b887e","Code_80","123","SPONSOR","12","Code"
"Subject Standing","8c98bab8-87c4-4966-ae76-231079d0a5fa","Code_81","124","SPONSOR","12","Code"
"Vital Signs Result","bcf8dda7-e5b4-41f4-884a-0db7027c560d","Code_278","C173522","NCI Thesaurus","","Code"
"Kelvin","05962945-d4b7-41a6-aff1-86c221762647","Code_279","C42537","http://www.cdisc.org","2023-09-29","Code"
"Unit of Temperature","2ec47c56-1c93-4c3c-9b85-1a8227cd9925","Code_280","C44276","NCI Thesaurus","","Code"
"Vital Signs Location","5eb5c78e-2818-40a8-8c48-356513773bcc","Code_281","C83088","NCI Thesaurus","","Code"
"Body Temperature","5d58277c-ad28-47e5-ab47-5117f28a9792","Code_277","C174446","NCI Thesaurus","","Code"
"Vital Signs Result","9bd4f022-6263-493e-833b-51053e72d2d8","Code_283","C173522","NCI Thesaurus","","Code"
"Kilogram","8dbe460f-c75d-49ea-a9a4-5cf9c8530322","Code_284","C28252","http://www.cdisc.org","2023-09-29","Code"
"Gram","ed369707-faca-4725-8581-0282d68667b8","Code_285","C48155","http://www.cdisc.org","2023-09-29","Code"
"Pound","6168ee23-539c-495f-9260-3dbbd325e6f2","Code_286","C48531","http://www.cdisc.org","2023-09-29","Code"
"Unit of Weight","81c0f38d-1ef4-4d2a-a6ad-b225672b2979","Code_287","C48208","NCI Thesaurus","","Code"
"Body Weight","b97091d4-30cd-49a6-ab81-1241b3e947bb","Code_282","C81328","NCI Thesaurus","","Code"
"Vital Signs Result","c6b18b3b-ef71-4ea8-bd76-02a23a8d28b3","Code_289","C173522","NCI Thesaurus","","Code"
"Centimeter","89fe06e9-efce-42f1-9600-6ee46f7eea9f","Code_290","C49668","http://www.cdisc.org","2023-09-29","Code"
"Inch","7950f70f-0260-46b3-bec4-1ea4ed9e55fb","Code_291","C48500","http://www.cdisc.org","2023-09-29","Code"
"Millimeter","a8c48e48-9198-4afa-b7b0-1b7cde02eea7","Code_292","C28251","http://www.cdisc.org","2023-09-29","Code"
"Meter","bd3d31e7-5801-4eec-8a46-3f0b2a618865","Code_293","C41139","http://www.cdisc.org","2023-09-29","Code"
"Unit of Height","6940c075-d37c-4293-b7a4-9c490780e2a6","Code_294","C168688","NCI Thesaurus","","Code"
"Body Height","f1ab53e4-0518-4fd4-a239-aecd5b49c4c9","Code_288","C164634","NCI Thesaurus","","Code"
"Laboratory Test Result","d7907a50-f7b1-4bc4-b063-7c7e6ba02a4b","Code_296","C36292","NCI Thesaurus","","Code"
"Laboratory Test Fasting Status","f9fd9769-41a8-4d79-9d47-bd6007b70cf3","Code_297","C83309","NCI Thesaurus","","Code"
"Unit of Catalytic Activity Concentration","a98c03a2-f81f-4022-9f35-81a562ee0a2f","Code_298","C67365","NCI Thesaurus","","Code"
"Biospecimen Type","8aa9f53b-4fd0-44a5-b9d5-8dc192dd7d50","Code_299","C70713","NCI Thesaurus","","Code"
"Alanine Aminotransferase Measurement","fef73986-32f4-4636-840f-c4410b5602e8","Code_295","C64433","NCI Thesaurus","","Code"
"Laboratory Test Result","428e1134-31e2-41f2-8a56-958dc5440a20","Code_301","C36292","NCI Thesaurus","","Code"
"Laboratory Test Fasting Status","6b6dc43c-ba2e-4d69-bc2d-eaad4088ef65","Code_302","C83309","NCI Thesaurus","","Code"
"Unit of Concentration","644e2939-08a0-4225-a7ad-fce85a379168","Code_303","C48207","NCI Thesaurus","","Code"
"Biospecimen Type","3a9d7d4c-6a5d-476c-8f1d-05b2779fa7bd","Code_304","C70713","NCI Thesaurus","","Code"
"Albumin Measurement","f7355469-f233-47d6-a39b-e1bb3e81d2fe","Code_300","C64431","NCI Thesaurus","","Code"
"Laboratory Test Result","661888a6-aa4c-42ce-b7d9-6df649c2b3ca","Code_306","C36292","NCI Thesaurus","","Code"
"Laboratory Test Fasting Status","9f705aef-6d2c-4070-bbb6-ee7b2cb49ee5","Code_307","C83309","NCI Thesaurus","","Code"
"Unit of Catalytic Activity Concentration","2f5105f8-99f5-4fc0-9bba-a64b90fb763f","Code_308","C67365","NCI Thesaurus","","Code"
"Biospecimen Type","595c28df-aa03-4e44-a2d8-62a4603d1836","Code_309","C70713","NCI Thesaurus","","Code"
"Alkaline Phosphatase Measurement","d2e84e25-fa0d-4290-8f7c-db5fc7cf2027","Code_305","C64432","NCI Thesaurus","","Code"
"Laboratory Test Result","6d972d75-2369-4ab7-b436-478545d451d5","Code_311","C36292","NCI Thesaurus","","Code"
"Laboratory Test Fasting Status","3a89e088-7252-4f42-b580-b8bd15824800","Code_312","C83309","NCI Thesaurus","","Code"
"Unit of Catalytic Activity Concentration","472b2f96-baba-4c1b-98c6-af857ae3fd73","Code_313","C67365","NCI Thesaurus","","Code"
"Biospecimen Type","e0e18622-4af4-4b38-af9b-47d5839645c7","Code_314","C70713","NCI Thesaurus","","Code"
"Aspartate Aminotransferase Measurement","bc353bcb-97f2-4fdb-b8e2-2b5a3678951d","Code_310","C64467","NCI Thesaurus","","Code"
"Laboratory Test Result","4943a8e5-8386-4b48-8ec4-2e2b744a31a8","Code_316","C36292","NCI Thesaurus","","Code"
"Laboratory Test Fasting Status","0b921b25-6deb-46de-ab92-851e48bcba08","Code_317","C83309","NCI Thesaurus","","Code"
"Unit of Concentration","6c056a56-60d6-4a00-977c-3e444e2a2541","Code_318","C48207","NCI Thesaurus","","Code"
"Biospecimen Type","b8750f61-ce05-47b6-b589-7b76882a43ed","Code_319","C70713","NCI Thesaurus","","Code"
"Creatinine Measurement","85f7b418-a295-4db9-ab2c-13dc24bd892a","Code_315","C64547","NCI Thesaurus","","Code"
"Laboratory Test Result","820a9270-1153-4918-aaad-20eea8175f9d","Code_321","C36292","NCI Thesaurus","","Code"
"Laboratory Test Fasting Status","4e71009d-0fee-498d-8823-35b68c9610df","Code_322","C83309","NCI Thesaurus","","Code"
"Molarity Unit","47c16fc2-6bfe-47cc-a400-a9ace3087759","Code_323","C64567","NCI Thesaurus","","Code"
"Biospecimen Type","42504860-d14c-4e63-960f-5374c4cea656","Code_324","C70713","NCI Thesaurus","","Code"
"Potassium Measurement","b365eb07-ddf1-4a09-9cc4-820559e357c3","Code_320","C64853","NCI Thesaurus","","Code"
"Laboratory Test Result","b99cde2f-dc5a-46e8-9b26-4e7db02fa4cb","Code_326","C36292","NCI Thesaurus","","Code"
"Laboratory Test Fasting Status","595456dc-d8fa-433b-b0bf-c2797d59be47","Code_327","C83309","NCI Thesaurus","","Code"
"Molarity Unit","a1ddda9c-abfb-44ba-a768-8682c797e4b4","Code_328","C64567","NCI Thesaurus","","Code"
"Biospecimen Type","ccb8e978-7939-4727-b012-603202f6a85c","Code_329","C70713","NCI Thesaurus","","Code"
"Sodium Measurement","f6c3b492-fb52-4a06-9616-d3e40b77dfea","Code_325","C64809","NCI Thesaurus","","Code"
"Adverse Event Verbatim Description","e8fae842-0257-4f3e-834b-fe75ad9fdf32","Code_145","C78541","NCI Thesaurus","","Code"
"Adverse Event Dictionary Derived Term","16a3834e-e5ac-4935-99ca-5b0e8d25c26c","Code_146","C83344","NCI Thesaurus","","Code"
"Adverse Event Category","4c0c4043-9705-4041-ab8b-3f5f4e71c0cb","Code_147","C83198","NCI Thesaurus","","Code"
"Adverse Event Subcategory","e91c2232-03c5-4940-8adb-d5950cd5fc1b","Code_148","C83212","NCI Thesaurus","","Code"
"Adverse Event Pre-specified","763d301c-cd57-489f-a5cc-fffac3fff5c5","Code_149","C87840","NCI Thesaurus","","Code"
"Severity of Adverse Event","3d9832a9-23e3-488e-9ddb-471c69e3457d","Code_150","C53253","NCI Thesaurus","","Code"
"Adverse Event Toxicity Grade","3f3c3869-f699-4fcc-878a-1b1df535b799","Code_151","C78605","NCI Thesaurus","","Code"
"Seriousness of Adverse Event","f2748235-d459-43b2-a33e-9e093d52708c","Code_152","C53252","NCI Thesaurus","","Code"
"Adverse Event Action Taken with Study Treatment","9729aef2-bd57-4c5e-a36a-b4493fdfacf6","Code_153","C83013","NCI Thesaurus","","Code"
"Adverse Event Attribution to Product or Procedure","2e697603-3037-40d8-bb99-44c1029067b8","Code_154","C41358","NCI Thesaurus","","Code"
"Intermittent","1aa2def7-49c6-4747-afd0-c08fd8069aeb","Code_155","C71325","http://www.cdisc.org","2023-09-29","Code"
"Adverse Event Pattern","44ba2343-d7e5-4f35-b85f-d228b26b9a2e","Code_156","C83208","NCI Thesaurus","","Code"
"Adverse Event Outcome","ebf38731-ec60-4d6f-939e-f7aa2460682b","Code_157","C49489","NCI Thesaurus","","Code"
"Adverse Event Start Date Time","59ce2c97-7424-48cd-9d10-21e0ecb8cf31","Code_158","C83215","NCI Thesaurus","","Code"
"Adverse Event End Date Time","0c2913c3-25f9-4f8f-b0bc-23a3ed03b012","Code_159","C83201","NCI Thesaurus","","Code"
"Adverse Event","228f0cfe-2621-4077-b150-547e7beaaa97","Code_144","C41331","NCI Thesaurus","","Code"
"Vital Signs Result","98afca4b-bed7-47be-bb1e-fb28ea6ba607","Code_161","C173522","NCI Thesaurus","","Code"
"Pascal","5f6dcbd4-93ae-4eb7-bae4-db7fe775ac68","Code_162","C42547","http://www.cdisc.org","2023-09-29","Code"
"Unit of Pressure","9b13ca89-ee97-4215-a684-f1f707eb8caa","Code_163","C49669","NCI Thesaurus","","Code"
"Vital Signs Location","42168126-293b-4821-ad3f-2decd649e04e","Code_164","C83088","NCI Thesaurus","","Code"
"Vital Signs Laterality","479306f1-c796-4454-b48a-4e679f34aff2","Code_165","C123975","NCI Thesaurus","","Code"
"Test Method","a1a3fe57-9680-41d2-9bb6-02a91fd9772e","Code_166","C82535","NCI Thesaurus","","Code"
"Vital Signs Position","9451d576-cec8-4a58-98d9-17d70ac2e9c1","Code_167","C83114","NCI Thesaurus","","Code"
"Systolic Blood Pressure","0bc870a0-12dc-4c53-a9e4-ef0dc7b8116f","Code_160","C25298","NCI Thesaurus","","Code"
"Vital Signs Result","a18cd495-8bcf-4c12-94d7-bf9d50da7a5c","Code_169","C173522","NCI Thesaurus","","Code"
"Pascal","9eec3d75-30ee-4607-81c2-66ac4b2be1b3","Code_170","C42547","http://www.cdisc.org","2023-09-29","Code"
"Unit of Pressure","fffcc77e-879b-44bc-9dc6-b9e9f5d1d9ce","Code_171","C49669","NCI Thesaurus","","Code"
"Vital Signs Location","c45ddded-ed40-4a23-a5fc-3b2e34a78530","Code_172","C83088","NCI Thesaurus","","Code"
"Vital Signs Laterality","11daf163-5d47-4522-b77e-c438df57d93f","Code_173","C123975","NCI Thesaurus","","Code"
"Test Method","926cd8f8-498b-4fa8-a2b7-b5e9c3f87b4f","Code_174","C82535","NCI Thesaurus","","Code"
"Vital Signs Position","ecdce2e8-1720-4f20-a12a-04aaf8114edb","Code_175","C83114","NCI Thesaurus","","Code"
"Diastolic Blood Pressure","29f1dbb0-9c5f-4c17-a271-2be2fcc793d3","Code_168","C25299","NCI Thesaurus","","Code"
"Vital Signs Result","c51b2728-0b90-4eda-bf88-198c4a523c3b","Code_177","C173522","NCI Thesaurus","","Code"
"Kelvin","5fa2bef0-a735-491d-b0ab-75f9da33bbea","Code_178","C42537","http://www.cdisc.org","2023-09-29","Code"
"Unit of Temperature","640b2279-ff06-401d-b1d4-cde7b0eb30cf","Code_179","C44276","NCI Thesaurus","","Code"
"Vital Signs Location","6a7f553a-7531-4761-b3fe-fa747eea5868","Code_180","C83088","NCI Thesaurus","","Code"
"Body Temperature","1c12498a-6880-4a6b-aac7-dd4cfd0e636e","Code_176","C174446","NCI Thesaurus","","Code"
"Vital Signs Result","ac03ac86-bc0f-43a2-b599-676ef67dc2da","Code_182","C173522","NCI Thesaurus","","Code"
"Kilogram","1faaecd4-9291-4359-832e-604fadf4102c","Code_183","C28252","http://www.cdisc.org","2023-09-29","Code"
"Gram","d273eff3-1b54-4d6c-b79f-56766fa9e28c","Code_184","C48155","http://www.cdisc.org","2023-09-29","Code"
"Pound","12f919c2-c186-4500-b069-b6451dfb5395","Code_185","C48531","http://www.cdisc.org","2023-09-29","Code"
"Unit of Weight","0d4a90f2-472e-420b-878b-188aa96e9d76","Code_186","C48208","NCI Thesaurus","","Code"
"Body Weight","4659ed76-75c1-4f68-9655-a38757b5813e","Code_181","C81328","NCI Thesaurus","","Code"
"Vital Signs Result","5622bf04-a150-4136-b459-aad7778bdddf","Code_188","C173522","NCI Thesaurus","","Code"
"Centimeter","afbe8943-ccbb-4698-87d2-7eb7f20c9763","Code_189","C49668","http://www.cdisc.org","2023-09-29","Code"
"Inch","d02e381b-3a89-461d-a92d-e0f0443b1c0f","Code_190","C48500","http://www.cdisc.org","2023-09-29","Code"
"Millimeter","1dbbf53f-02f7-46d5-b196-70610b85e9ae","Code_191","C28251","http://www.cdisc.org","2023-09-29","Code"
"Meter","b55977c5-f396-4a23-9d98-c115167cfc78","Code_192","C41139","http://www.cdisc.org","2023-09-29","Code"
"Unit of Height","ef647893-26c0-4ffd-b50f-7b22c52b3693","Code_193","C168688","NCI Thesaurus","","Code"
"Body Height","ad63110d-2a69-4202-90e0-d020ebbd54f6","Code_187","C164634","NCI Thesaurus","","Code"
"Laboratory Test Result","2e973b8d-5817-4cd6-aeaf-ab3e637319d5","Code_195","C36292","NCI Thesaurus","","Code"
"Laboratory Test Fasting Status","b54a99b2-c16d-490a-b00c-91f5488e65ba","Code_196","C83309","NCI Thesaurus","","Code"
"Unit of Catalytic Activity Concentration","5b4d8e3a-fa0d-47b9-ae35-7d161eafec7b","Code_197","C67365","NCI Thesaurus","","Code"
"Biospecimen Type","b9a6beb1-8cc7-45cc-92b5-81a29bacda00","Code_198","C70713","NCI Thesaurus","","Code"
"Alanine Aminotransferase Measurement","bd33adb3-aaff-4582-a564-7a3d6534600b","Code_194","C64433","NCI Thesaurus","","Code"
"Laboratory Test Result","b3908169-1ecc-4780-b253-40ef3e67edad","Code_200","C36292","NCI Thesaurus","","Code"
"Laboratory Test Fasting Status","559c2b83-b409-4eca-a309-a2d4b9c8d115","Code_201","C83309","NCI Thesaurus","","Code"
"Unit of Concentration","9567f5c2-e1e1-4edf-981b-100825af95b9","Code_202","C48207","NCI Thesaurus","","Code"
"Biospecimen Type","ae05f3c0-36d7-44f9-9062-eb3dccda923f","Code_203","C70713","NCI Thesaurus","","Code"
"Albumin Measurement","e4e07dcf-f68e-4750-bd25-8f79f70134bc","Code_199","C64431","NCI Thesaurus","","Code"
"Laboratory Test Result","4c997dfc-44dc-4e3c-9bcb-d2163f538bcf","Code_205","C36292","NCI Thesaurus","","Code"
"Laboratory Test Fasting Status","9b881054-c1f6-49d6-ab28-b2373b294e8c","Code_206","C83309","NCI Thesaurus","","Code"
"Unit of Catalytic Activity Concentration","c2686e8d-c558-4889-bee0-fa035b218c7e","Code_207","C67365","NCI Thesaurus","","Code"
"Biospecimen Type","66e5e0ff-54fe-47a8-a1a6-286169657d5a","Code_208","C70713","NCI Thesaurus","","Code"
"Alkaline Phosphatase Measurement","02eb0d48-e0d0-4e86-b462-797ef39685c9","Code_204","C64432","NCI Thesaurus","","Code"
"Laboratory Test Result","15cdb6d0-aee6-4a5d-a36b-8df7583ed5c0","Code_210","C36292","NCI Thesaurus","","Code"
"Laboratory Test Fasting Status","5facda60-94ee-4815-8dd8-3e644c4967fd","Code_211","C83309","NCI Thesaurus","","Code"
"Unit of Catalytic Activity Concentration","27034c73-21af-4f87-a2f8-2160c02f4d2f","Code_212","C67365","NCI Thesaurus","","Code"
"Biospecimen Type","0cac0d1f-70f7-468d-9186-6c0eb170d7ba","Code_213","C70713","NCI Thesaurus","","Code"
"Aspartate Aminotransferase Measurement","9781d3c1-f10a-4e2e-aae2-e2bbf5276a48","Code_209","C64467","NCI Thesaurus","","Code"
"Laboratory Test Result","621ff2bf-2b1d-4b78-9ddd-adefe34bc67a","Code_215","C36292","NCI Thesaurus","","Code"
"Laboratory Test Fasting Status","0f257323-43e0-4287-9893-69f53ac35c7c","Code_216","C83309","NCI Thesaurus","","Code"
"Unit of Concentration","cb82e23e-f577-467a-9899-59af27b79749","Code_217","C48207","NCI Thesaurus","","Code"
"Biospecimen Type","42cedcfd-7f22-485d-afa1-66d02e625214","Code_218","C70713","NCI Thesaurus","","Code"
"Creatinine Measurement","9a5f4184-5698-47b6-9511-00cf412df657","Code_214","C64547","NCI Thesaurus","","Code"
"Laboratory Test Result","4352d879-ab4b-478d-b5e5-786c30a2f300","Code_220","C36292","NCI Thesaurus","","Code"
"Laboratory Test Fasting Status","07926c26-cd78-4fcc-b28b-6eeb678b4b7b","Code_221","C83309","NCI Thesaurus","","Code"
"Molarity Unit","82eb0cba-f69c-4abf-bee5-fee690630d50","Code_222","C64567","NCI Thesaurus","","Code"
"Biospecimen Type","b02b4964-8728-4f56-bb71-1012984b0a61","Code_223","C70713","NCI Thesaurus","","Code"
"Potassium Measurement","9fbd2feb-bfe3-4164-a29e-9d84aa0c2e4d","Code_219","C64853","NCI Thesaurus","","Code"
"Laboratory Test Result","d1747af2-23ab-4c3a-98b9-713735c2119e","Code_225","C36292","NCI Thesaurus","","Code"
"Laboratory Test Fasting Status","23b3c783-6859-4523-8af7-77554dd6956e","Code_226","C83309","NCI Thesaurus","","Code"
"Molarity Unit","6305a9ed-1d55-4cf5-84d8-22da5676b3c0","Code_227","C64567","NCI Thesaurus","","Code"
"Biospecimen Type","97b9db01-359b-4eaa-9637-e709f787e11c","Code_228","C70713","NCI Thesaurus","","Code"
"Sodium Measurement","fcea347e-c276-407c-9a98-332d6a24e095","Code_224","C64809","NCI Thesaurus","","Code"
"Vital Signs Result","212e158d-28ee-40e6-a7bf-519a3a220733","Code_230","C173522","NCI Thesaurus","","Code"
"Pascal","9fc6c68e-6c3a-44f2-b8be-6124077f9e84","Code_231","C42547","http://www.cdisc.org","2023-09-29","Code"
"Unit of Pressure","5bc39237-1c72-4e88-b408-fee91ed57d76","Code_232","C49669","NCI Thesaurus","","Code"
"Vital Signs Location","cdd3bddd-96d4-4b67-9999-0b107e3cdc55","Code_233","C83088","NCI Thesaurus","","Code"
"Vital Signs Laterality","629e4987-67a6-465b-b13d-d7abf84a6317","Code_234","C123975","NCI Thesaurus","","Code"
"Test Method","e30f60ce-589d-4526-9cea-f0a6dff81a82","Code_235","C82535","NCI Thesaurus","","Code"
"Vital Signs Position","74124644-ee8b-4368-816f-604d74e4ce6f","Code_236","C83114","NCI Thesaurus","","Code"
"Systolic Blood Pressure","3a074c80-58c5-4698-8828-ae14565a23bc","Code_229","C25298","NCI Thesaurus","","Code"
"Vital Signs Result","6c4205c5-1f71-4faf-a3fa-6ef93de12096","Code_238","C173522","NCI Thesaurus","","Code"
"Pascal","a1c95d42-4bd3-47e3-a5a4-b1b8d7cfd011","Code_239","C42547","http://www.cdisc.org","2023-09-29","Code"
"Unit of Pressure","3c57682e-5726-4fc4-b036-86e4355395f9","Code_240","C49669","NCI Thesaurus","","Code"
"Vital Signs Location","51f694ae-d157-4bbd-bdc6-a7e14fcccb49","Code_241","C83088","NCI Thesaurus","","Code"
"Vital Signs Laterality","1b3942b0-7c0c-436e-97e4-897bbb16e9c7","Code_242","C123975","NCI Thesaurus","","Code"
"Test Method","f5cff587-8888-4e8c-b8f5-84b738c14135","Code_243","C82535","NCI Thesaurus","","Code"
"Vital Signs Position","237de782-7ed0-4f49-b74f-604ccbe7dd4c","Code_244","C83114","NCI Thesaurus","","Code"
"Diastolic Blood Pressure","848beafc-ee08-4ac0-b027-bd6ae4e80f06","Code_237","C25299","NCI Thesaurus","","Code"
"Vital Signs Result","97b0d2be-9e87-44b2-9051-d02eb0f122ca","Code_246","C173522","NCI Thesaurus","","Code"
