"sectionNumber","name","uuid:ID","id","text","sectionTitle","instanceType"
"4.2.2","SECTION 4.2.2","ef51a4a0-b4fd-4ce7-b574-f290825dc494","NarrativeContent_17","<div></div>","Rationale for Adaptive or Novel Trial Design","NarrativeContent"
"4.2.3","SECTION 4.2.3","258f7381-423c-4946-a8dc-68c34e101f46","NarrativeContent_18","<div></div>","Other Trial Design Considerations","NarrativeContent"
"4.3","SECTION 4.3","8a0ee842-ed84-40f2-b79a-84595d949741","NarrativeContent_19","<div></div>","Access to Trial Intervention After End of Trial","NarrativeContent"
"4.4","SECTION 4.4","58ded27e-9f23-4154-ab95-acb7f0032ed4","NarrativeContent_20","<div></div>","Start of Trial and End of Trial","NarrativeContent"
"5","SECTION 5","ecd4fcb4-cd99-4cc8-ad57-43736d71a356","NarrativeContent_21","<div></div>","TRIAL POPULATION","NarrativeContent"
"5.1","SECTION 5.1","f6dba85f-99ae-429d-86fe-6fd15f035317","NarrativeContent_22","<div><p>For Lilly studies, the following definitions are used:</p>
<div>
  <div><strong>Screen</strong></div>
  <div>
    <p>Screening is the act of determining if an individual meets minimum requirements to become part of a pool of potential candidates for participation in a clinical study.</p>
    <p>In this study, <strong>screening</strong> will include asking the candidate preliminary questions (such as age and general health status) and conducting invasive or diagnostic procedures and/or tests (for example, diagnostic psychological tests, x-rays, blood draws). Patients will sign the consent at their screening visit, thereby consenting to undergo the screening procedures and to participate in the study if they qualify.</p>
  </div>  
</div>
<div>
  <div>To <strong>enter</strong></div>
  <div>
    <p>Patients <strong>entered</strong> into the study are those from whom informed consent for the study has been obtained. Adverse events will be reported for each patient who has <strong>entered</strong> the study, even if the patient is never assigned to a treatment group (<strong>enrolled</strong>).</p></div>
  </div>  
</div>
<div>
  <div>To <strong>enroll</strong></div>
  <div>
    <p>Patients who are enrolled in the study are those who have been assigned to a treatment group. Patients who are entered into the study but fail to meet criteria specified in the protocol for treatment assignment will not be enrolled in the study.</p></div>
  </div>  
</div>
<p>At Visit 1, patients who meet the enrollment criteria of Mini-Mental State Examination (MMSE) score of 10 to 23 (Attachment LZZT.6), Hachinski Ischemia Score ≤4 (Attachment LZZT.8), a physical exam, safety labs, ECG, and urinalysis, will proceed to Visit 2 and Visit 3. At Visit 3, patients whose CNS imaging and other pending labs from Visit 1 satisfy the inclusion criteria (Section 3.4.2.1) will be enrolled in the study. Approximately 300 patients with a diagnosis of probable mild to moderate AD will be enrolled in the study.</p></div>","Selection of Trial Population","NarrativeContent"
"5.2","SECTION 5.2","54ffd63c-0e83-4ce2-8333-ef29ff4df951","NarrativeContent_23","<div></div>","Rationale for Trial Population","NarrativeContent"
"5.3","SECTION 5.3","9bb01c99-7ac6-45ec-bafb-a5761107a5fa","NarrativeContent_24","<div><usdm:section name=""M11-inclusion""></div>","Inclusion Criteria","NarrativeContent"
"5.4","SECTION 5.4","f17a82c6-db7a-4252-9033-2d6824cb14d1","NarrativeContent_25","<div><usdm:section name=""M11-exclusion""></div>","Exclusion Criteria","NarrativeContent"
"5.5","SECTION 5.5","7e0f9f94-567d-4327-a505-e71ee5a9827e","NarrativeContent_26","<div></div>","Lifestyle Considerations","NarrativeContent"
"5.5.1","SECTION 5.5.1","332a48f2-6f70-4c51-8a40-475c3e1193ec","NarrativeContent_27","<div></div>","Meals and Dietary Restrictions","NarrativeContent"
"5.5.2","SECTION 5.5.2","51d19622-e43a-45c2-a459-e325525dd8c7","NarrativeContent_28","<div><p>Not applicable</p></div>","Caffeine, Alcohol, Tobacco, and Other Habits","NarrativeContent"
"5.5.3","SECTION 5.5.3","920d4841-7a94-48dc-ac08-a6d1504e7ef6","NarrativeContent_29","<div></div>","Physical Activity","NarrativeContent"
"5.5.4","SECTION 5.5.4","09eef41c-8b5b-4665-b122-07e959263106","NarrativeContent_30","<div></div>","Other Activity","NarrativeContent"
"5.6","SECTION 5.6","4041f480-bde6-47c3-9d8d-891ab96759e3","NarrativeContent_31","<div></div>","Screen Failures","NarrativeContent"
"6","SECTION 6","c430a12b-9864-4f91-8aeb-d06f10be2494","NarrativeContent_32","<div></div>","TRIAL INTERVENTION AND CONCOMITANT THERAPY","NarrativeContent"
"6.1","SECTION 6.1","73751f18-0390-4554-b419-a62ca671d1a2","NarrativeContent_33","<div></div>","Description of Trial Intervention","NarrativeContent"
"6.2","SECTION 6.2","b40fc969-69dd-43fa-b0a2-f7b610037b7b","NarrativeContent_34","<div></div>","Rationale for Trial Intervention","NarrativeContent"
"6.3","SECTION 6.3","7c576044-1e7a-49bd-b782-eeb8750f9f4f","NarrativeContent_35","<div></div>","Dosing and Administration","NarrativeContent"
"6.3.1","SECTION 6.3.1","be9f0d3f-ea2e-4975-a0fa-feeebd84ef8a","NarrativeContent_36","<div></div>","Trial Intervention Dose Modification","NarrativeContent"
"6.4","SECTION 6.4","b9b16651-c60e-402b-ab21-af80033c4260","NarrativeContent_37","<div></div>","Treatment of Overdose","NarrativeContent"
"6.5","SECTION 6.5","533db1c1-5518-486e-8710-3e0f44671729","NarrativeContent_38","<div></div>","Preparation, Handling, Storage and Accountability","NarrativeContent"
"6.5.1","SECTION 6.5.1","6c74b1ac-b2a3-4d88-80eb-4ab583be3748","NarrativeContent_39","<div></div>","Preparation of Trial Intervention","NarrativeContent"
"6.5.2","SECTION 6.5.2","c804751f-8c97-42c1-93c0-ba3e3da280bc","NarrativeContent_40","<div></div>","Handling and Storage of Trial Intervention","NarrativeContent"
"6.5.3","SECTION 6.5.3","04a6da63-2b37-4ff9-a4ab-09cac2438c21","NarrativeContent_41","<div></div>","Accountability of Trial Intervention","NarrativeContent"
"6.6","SECTION 6.6","41b817f1-caac-4a75-a8f2-1ca09aacf147","NarrativeContent_42","<div></div>","Participant Assignment, Randomisation and Blinding","NarrativeContent"
"6.6.1","SECTION 6.6.1","263c0699-e33c-4c71-9588-ebc8f7afcb9d","NarrativeContent_43","<div></div>","Participant Assignment","NarrativeContent"
"6.6.2","SECTION 6.6.2","c59f305c-81e7-4cf8-b249-f8112f4de8b1","NarrativeContent_44","<div></div>","Randomisation","NarrativeContent"
"6.6.3","SECTION 6.6.3","b5c9e934-4317-4d0e-98a0-70577dea4f47","NarrativeContent_45","<div><p>The study will be double-blind. To further preserve the blinding of the study, only a minimum number of Lilly and CRO personnel will see the randomization table and codes before the study is complete.</p>
<p>Emergency codes generated by a computer drug-labeling system will be available to the investigator. These codes, which reveal the patients treatment group, may be opened during the study only if the choice of follow-up treatment depends on the patient’s therapy assignment.</p>
<p>The investigator should make every effort to contact the clinical research physician prior to unblinding a patient’s therapy assignment. If a patient’s therapy assignment is unblinded, Lilly must be notified immediately by telephone. After the study, the investigator must return all sealed and any opened codes.</p></div>","Blinding and Unblinding","NarrativeContent"
"6.7","SECTION 6.7","cae442ca-0a75-4a3c-8a56-ae447ff6a689","NarrativeContent_46","<div></div>","Trial Intervention Compliance","NarrativeContent"
"6.8","SECTION 6.8","f65674c9-b171-4987-826b-95dbe067994a","NarrativeContent_47","<div></div>","Concomitant Therapy","NarrativeContent"
"6.8.1","SECTION 6.8.1","3f381549-4ec2-423f-ae4d-dd10222eec5e","NarrativeContent_48","<div></div>","Prohibited Concomitant Therapy","NarrativeContent"
"6.8.2","SECTION 6.8.2","55253654-bfff-4d05-a0fa-31deb1bc9370","NarrativeContent_49","<div></div>","Permitted Concomitant Therapy","NarrativeContent"
"6.8.3","SECTION 6.8.3","0cdd3c58-e0d2-4048-a1d0-b302f494dfb8","NarrativeContent_50","<div></div>","Rescue Therapy","NarrativeContent"
"6.8.4","SECTION 6.8.4","27a586bf-e9ba-45ee-8891-61c7e3de053f","NarrativeContent_51","<div></div>","Other Therapy","NarrativeContent"
"7","SECTION 7","5396400e-be7d-4da9-aca1-e996bc50866b","NarrativeContent_52","<div></div>","DISCONTINUATION OF TRIAL INTERVENTION AND PARTICIPANT WITHDRAWAL FROM TRIAL","NarrativeContent"
"7.1","SECTION 7.1","22b4fa4c-d4f5-4ca5-b84e-f3b9f996776a","NarrativeContent_53","<div></div>","Discontinuation of Trial Intervention","NarrativeContent"
"7.1.1","SECTION 7.1.1","da038e10-b703-4aaa-afbd-7d939f700291","NarrativeContent_54","<div></div>","Criteria for Permanent Discontinuation of Trial Intervention","NarrativeContent"
"7.1.2","SECTION 7.1.2","445f81f3-b624-4d0d-82e7-142e2375b8e9","NarrativeContent_55","<div></div>","Temporary Discontinuation or Interruption of Trial Intervention","NarrativeContent"
"7.1.3","SECTION 7.1.3","f529b304-1578-4e44-9ce1-e8b8072ca51d","NarrativeContent_56","<div></div>","Rechallenge","NarrativeContent"
"7.2","SECTION 7.2","35edd432-d38a-48af-9534-ec11fa92380b","NarrativeContent_57","<div></div>","Participant Withdrawal from the Trial","NarrativeContent"
"7.3","SECTION 7.3","61401614-0ff0-4c43-bc17-136a1cd4b477","NarrativeContent_58","<div></div>","Lost to Follow-Up","NarrativeContent"
"7.4","SECTION 7.4","3b1c7bd7-6d99-4d2a-bffa-d41ac3c6f369","NarrativeContent_59","<div></div>","Trial Stopping Rules","NarrativeContent"
"8","SECTION 8","fa50037b-26d8-4416-9308-f9fac9bbc6e5","NarrativeContent_60","<div></div>","TRIAL ASSESSMENTS AND PROCEDURES","NarrativeContent"
"8.1","SECTION 8.1","3b306020-41b6-47d7-836a-b66ef1383cc5","NarrativeContent_61","<div></div>","Screening/Baseline Assessments and Procedures","NarrativeContent"
"8.2","SECTION 8.2","8d036efc-e3b3-4401-b2a9-ec8a7a1c927c","NarrativeContent_62","<div></div>","Efficacy Assessments and Procedures","NarrativeContent"
"8.3","SECTION 8.3","2ca2d9d6-6707-4a83-97f2-dab471ab362d","NarrativeContent_63","<div></div>","Safety Assessments and Procedures","NarrativeContent"
"8.3.1","SECTION 8.3.1","2823cfe2-3dba-4dcc-b0c6-657eb96a0d61","NarrativeContent_64","<div></div>","Physical Examination","NarrativeContent"
"8.3.2","SECTION 8.3.2","1f4f6050-a597-4c68-a2d6-ad4173255578","NarrativeContent_65","<div></div>","Vital Signs","NarrativeContent"
"8.3.3","SECTION 8.3.3","0415e036-7ce2-411b-9493-b35648139ed9","NarrativeContent_66","<div></div>","Electrocardiograms","NarrativeContent"
"8.3.4","SECTION 8.3.4","b721fd62-5f3b-4112-98c5-dae48a36a158","NarrativeContent_67","<div></div>","Clinical Laboratory Assessments","NarrativeContent"
"8.3.5","SECTION 8.3.5","e6950ce1-5fb9-4b38-8765-915c880facd7","NarrativeContent_68","<div></div>","Suicidal Ideation and Behaviour Risk Monitoring","NarrativeContent"
"8.4","SECTION 8.4","1f5e61d7-0445-4176-850b-63ac8b30cd83","NarrativeContent_69","<div></div>","Adverse Events and Serious Adverse Events","NarrativeContent"
"8.4.1","SECTION 8.4.1","33fafbe6-d4ac-4f74-a106-7dc575ff223d","NarrativeContent_70","<div></div>","Definitions of AE and SAE","NarrativeContent"
"8.4.2","SECTION 8.4.2","603f4fb7-92f6-421f-a857-9d238859a23b","NarrativeContent_71","<div></div>","Time Period and Frequency for Collecting AE and SAE Information","NarrativeContent"
"8.4.3","SECTION 8.4.3","5bdc8fb9-9768-45da-9d03-1b0d3b9620fe","NarrativeContent_72","<div></div>","Identifying AEs and SAEs","NarrativeContent"
"8.4.4","SECTION 8.4.4","d853b39d-e27d-4ab6-9afb-68022c01abc0","NarrativeContent_73","<div></div>","Recording of AEs and SAEs","NarrativeContent"
"8.4.5","SECTION 8.4.5","df09de1c-a5be-40fe-85fe-af038f477765","NarrativeContent_74","<div></div>","Follow-up of AEs and SAEs","NarrativeContent"
"8.4.6","SECTION 8.4.6","fc632c01-b9b8-496b-b1ae-fc81ffcc742c","NarrativeContent_75","<div></div>","Reporting of SAEs","NarrativeContent"
"8.4.7","SECTION 8.4.7","26a74c24-09ed-4786-9999-4c635d1ed205","NarrativeContent_76","<div></div>","Regulatory Reporting Requirements for SAEs","NarrativeContent"
"8.4.8","SECTION 8.4.8","a7408179-0e4c-472c-886f-106b70b44c13","NarrativeContent_77","<div></div>","Serious and Unexpected Adverse Reaction Reporting","NarrativeContent"
"8.4.9","SECTION 8.4.9","15af934b-51ac-4ce3-bf2d-4ec264d9b1a6","NarrativeContent_78","<div></div>","Adverse Events of Special Interest","NarrativeContent"
"8.4.10","SECTION 8.4.10","4c863201-a0ab-4904-9082-8c974a839fb3","NarrativeContent_79","<div></div>","Disease-related Events or Outcomes Not Qualifying as AEs or SAEs","NarrativeContent"
"8.5","SECTION 8.5","607b4b7c-0b66-4004-8b29-fe64a5096e7a","NarrativeContent_80","<div></div>","Pregnancy and Postpartum Information","NarrativeContent"
"8.5.1","SECTION 8.5.1","7d203fb2-4896-4e17-b912-acbd67bb32f8","NarrativeContent_81","<div></div>","Participants Who Become Pregnant During the Trial","NarrativeContent"
"8.5.2","SECTION 8.5.2","aba841b0-357f-49e7-a71d-b10d60d70953","NarrativeContent_82","<div></div>","Participants Whose Partners Become Pregnant","NarrativeContent"
"8.6","SECTION 8.6","c6ddf878-3c63-4d1f-bafd-16f107acbaeb","NarrativeContent_83","<div></div>","Medical Device Product Complaints for Drug/Device Combination Products","NarrativeContent"
"8.6.1","SECTION 8.6.1","76f130af-0daa-4f09-b783-a9956ca4bab1","NarrativeContent_84","<div></div>","Definition of Medical Device Product Complaints","NarrativeContent"
"8.6.2","SECTION 8.6.2","1569ab12-a2d0-4f25-8675-2c77bce51db5","NarrativeContent_85","<div></div>","Recording of Medical Device Product Complaints","NarrativeContent"
"8.6.3","SECTION 8.6.3","2b6d96c1-360f-421d-b5e4-7af90d7cecc4","NarrativeContent_86","<div></div>","Time Period and Frequency for Collecting Medical Device Product Complaints .","NarrativeContent"
"8.6.4","SECTION 8.6.4","3ad07d40-9877-4430-9b9b-398be4013c5b","NarrativeContent_87","<div></div>","Follow-Up of Medical Device Product Complaints","NarrativeContent"
"8.6.5","SECTION 8.6.5","19f6ed8e-b521-4e7f-a09a-f11e9c9915ad","NarrativeContent_88","<div></div>","Regulatory Reporting Requirements for Medical Device Product Complaints","NarrativeContent"
"8.7","SECTION 8.7","58026c92-7b87-4039-8c93-aecdc5604526","NarrativeContent_89","<div></div>","Pharmacokinetics","NarrativeContent"
"8.8","SECTION 8.8","a1697023-f9fc-44d4-855a-b811c9744396","NarrativeContent_90","<div></div>","Genetics","NarrativeContent"
"8.9","SECTION 8.9","dcb8f152-a8d4-4beb-ba93-12aedba12faa","NarrativeContent_91","<div></div>","Biomarkers","NarrativeContent"
"8.1","SECTION 8.1","f6e1160d-449f-412a-b7ac-be1fc77bc9ee","NarrativeContent_92","<div></div>","Immunogenicity Assessments","NarrativeContent"
"8.1.1","SECTION 8.1.1","634e45aa-a65c-4316-aeb6-f8f7e0454e2c","NarrativeContent_93","<div></div>","Medical Resource Utilisation and Health Economics","NarrativeContent"
"9","SECTION 9","d4ae662d-baca-443a-ac64-5a2a48edd081","NarrativeContent_94","<div></div>","STATISTICAL CONSIDERATIONS","NarrativeContent"
"9.1","SECTION 9.1","f8ac4011-44fb-4da4-9e07-12f1ee4d9628","NarrativeContent_95","<div></div>","Analysis Sets","NarrativeContent"
"9.2","SECTION 9.2","56ed83e9-a63a-43e1-9f35-d53f18297cfe","NarrativeContent_96","<div></div>","Analyses Supporting Primary Objective(s)","NarrativeContent"
"9.2.1","SECTION 9.2.1","8b7d05ae-51ea-4687-ae00-2cf643b9d885","NarrativeContent_97","<div></div>","Statistical Model, Hypothesis, and Method of Analysis","NarrativeContent"
"9.2.2","SECTION 9.2.2","a1228318-603e-4ad7-b689-7972e8bc4c1e","NarrativeContent_98","<div></div>","Handling of Intercurrent Events of Primary Estimand(s)","NarrativeContent"
"9.2.3","SECTION 9.2.3","7925df9b-cfba-4ca4-98d7-b3fb272ee491","NarrativeContent_99","<div></div>","Handling of Missing Data","NarrativeContent"
"9.2.4","SECTION 9.2.4","0065a26e-6819-4c80-b2db-f919cd4deead","NarrativeContent_100","<div></div>","Sensitivity Analysis","NarrativeContent"
"9.2.5","SECTION 9.2.5","68fabcba-7d90-473d-a3a8-8f0dae45cb6a","NarrativeContent_101","<div></div>","Supplementary Analysis","NarrativeContent"
"9.3","SECTION 9.3","209f008e-9163-4123-8567-78f1a5a09829","NarrativeContent_102","<div></div>","Analysis Supporting Secondary Objective(s)","NarrativeContent"
"9.4","SECTION 9.4","38867279-4ccb-4dbd-bf1a-1ba84146cfe0","NarrativeContent_103","<div></div>","Analysis of Exploratory Objective(s)","NarrativeContent"
"9.5","SECTION 9.5","532b610f-6199-44c8-a8b5-00a5aaac83a6","NarrativeContent_104","<div></div>","Safety Analyses","NarrativeContent"
"9.6","SECTION 9.6","88272894-8bde-4ea2-8e62-c2316b26712a","NarrativeContent_105","<div></div>","Other Analyses","NarrativeContent"
"9.7","SECTION 9.7","4cfa88dc-bcc2-4bb8-ac89-15782d688081","NarrativeContent_106","<div></div>","Interim Analyses","NarrativeContent"
"9.8","SECTION 9.8","a4d98161-6d2e-4c39-9b17-2d9efdd0c1ec","NarrativeContent_107","<div></div>","Sample Size Determination","NarrativeContent"
"9.9","SECTION 9.9","f4b8a228-8e7a-429b-9ccc-c0aca405cf03","NarrativeContent_108","<div></div>","Protocol Deviations","NarrativeContent"
"10","SECTION 10","cea732f6-7ecd-40f2-89f6-4a5b4f31daa6","NarrativeContent_109","<div></div>","GENERAL CONSIDERATIONS: REGULATORY, ETHICAL, AND TRIAL OVERSIGHT","NarrativeContent"
"10.1","SECTION 10.1","e8eb25c4-2352-4ced-9d76-be233d154177","NarrativeContent_110","<div></div>","Regulatory and Ethical Considerations","NarrativeContent"
"10.2","SECTION 10.2","7acea79f-1014-4d2b-8f0f-7f0b60ca2ec4","NarrativeContent_111","<div></div>","Committees","NarrativeContent"
"10.3","SECTION 10.3","d5b36c96-8548-462e-a1a5-47abda48dd8a","NarrativeContent_112","<div></div>","Informed Consent Process","NarrativeContent"
"10.4","SECTION 10.4","e02f6ef3-50e4-488c-a81f-deeeef7c4552","NarrativeContent_113","<div></div>","Data Protection","NarrativeContent"
"10.5","SECTION 10.5","158d2dee-522d-4ef5-a839-c0661967093b","NarrativeContent_114","<div></div>","Early Site Closure or Trial Termination","NarrativeContent"
"11","SECTION 11","b19ab782-023e-4567-86eb-4fc99214d541","NarrativeContent_115","<div></div>","GENERAL CONSIDERATIONS: RISK MANAGEMENT AND QUALITY ASSURANCE","NarrativeContent"
"11.1","SECTION 11.1","52ec887f-652b-49ee-aa8d-5005a6e951f9","NarrativeContent_116","<div></div>","Quality Tolerance Limits","NarrativeContent"
"11.2","SECTION 11.2","21c9feac-142e-4658-bfec-51e6e4230d1b","NarrativeContent_117","<div></div>","Data Quality Assurance","NarrativeContent"
"11.3","SECTION 11.3","c7584de4-97a8-49dc-b911-5975bea9a4ac","NarrativeContent_118","<div></div>","Source Data","NarrativeContent"
"12","SECTION 12","ea144ee9-7c63-4068-a860-0aef72480d21","NarrativeContent_119","<div></div>","APPENDIX: ADVERSE EVENTS AND SERIOUS ADVERSE EVENTS - DEFINITIONS, SEVERITY, AND CAUSALITY","NarrativeContent"
"12.1","SECTION 12.1","923db798-90b4-4d71-8aa8-7d266f401060","NarrativeContent_120","<div></div>","Further Details and Clarifications on the AE Definition","NarrativeContent"
"12.2","SECTION 12.2","d116e48b-78dd-4df1-9d58-3251bc8c87ac","NarrativeContent_121","<div></div>","Further Details and Clarifications on the SAE Definition","NarrativeContent"
"12.3","SECTION 12.3","b6152b04-e5fe-4166-934b-5197b07f408c","NarrativeContent_122","<div></div>","Severity","NarrativeContent"
"12.4","SECTION 12.4","6522930c-6fb0-45d6-bf00-d6d6442c5b5e","NarrativeContent_123","<div></div>","Causality","NarrativeContent"
"13","SECTION 13","4d5949f8-080e-4486-8bf4-163275115581","NarrativeContent_124","<div></div>","APPENDIX: DEFINITIONS AND SUPPORTING OPERATIONAL DETAILS","NarrativeContent"
"13.1","SECTION 13.1","47881451-7a0d-48f3-b688-2a3f6637919a","NarrativeContent_125","<div></div>","Contraception and Pregnancy Testing","NarrativeContent"
"13.1.1","SECTION 13.1.1","01daec60-81be-4e25-bd82-e38ddd94f1fd","NarrativeContent_126","<div></div>","Definitions Related to Childbearing Potential","NarrativeContent"
"13.1.2","SECTION 13.1.2","cb2a2183-6c8d-447c-9cfd-32e83a50a621","NarrativeContent_127","<div></div>","Contraception","NarrativeContent"
"13.1.3","SECTION 13.1.3","00a2c7cb-d879-421a-a9e3-0cc3e1bbb752","NarrativeContent_128","<div></div>","Pregnancy Testing","NarrativeContent"
"13.2","SECTION 13.2","e77b8eef-dd42-4c58-93e6-f52419338f1d","NarrativeContent_129","<div></div>","Clinical Laboratory Tests","NarrativeContent"
"13.3","SECTION 13.3","5f977cbe-711e-4546-939a-35f77b9626d3","NarrativeContent_130","<div></div>","Country/Region-Specific Differences","NarrativeContent"
"13.4","SECTION 13.4","a341aa05-c4df-435e-b28c-bde249fd340c","NarrativeContent_131","<div></div>","Prior Protocol Amendments","NarrativeContent"
"14","SECTION 14","15a19027-4253-405a-989a-737bf8e6f5af","NarrativeContent_132","<div></div>","APPENDIX: GLOSSARY OF TERMS","NarrativeContent"
"15","SECTION 15","4f448d5f-fe90-4462-b6a5-b0b456c2f635","NarrativeContent_133","<div></div>","APPENDIX: REFERENCES","NarrativeContent"
