"name","uuid:ID","id","label","isRequired","isEnabled","datatype","instanceType"
"Molarity Unit","49b25631-5757-412f-9179-a1295ae21d81","BiomedicalConceptProperty_131","Molarity Unit","True","True","string","BiomedicalConceptProperty"
"Biospecimen Type","b5e002ab-2956-4187-a06f-f0b1b3c57403","BiomedicalConceptProperty_132","Biospecimen Type","True","True","string","BiomedicalConceptProperty"
"Adverse Event Verbatim Description","29f080ad-6e2f-4c66-9bb4-b94172b0b5dd","BiomedicalConceptProperty_1","Adverse Event Verbatim Description","True","True","string","BiomedicalConceptProperty"
"Adverse Event Dictionary Derived Term","2f1a2aad-b928-4fae-b62a-37770bba149e","BiomedicalConceptProperty_2","Adverse Event Dictionary Derived Term","True","True","string","BiomedicalConceptProperty"
"Adverse Event Category","8fc0f379-670e-4648-9b0d-8e6e82a7742b","BiomedicalConceptProperty_3","Adverse Event Category","True","True","string","BiomedicalConceptProperty"
"Adverse Event Subcategory","44c3ce40-0875-4a51-960a-ce364568b8f8","BiomedicalConceptProperty_4","Adverse Event Subcategory","True","True","string","BiomedicalConceptProperty"
"Adverse Event Pre-specified","156c3ea4-2587-4854-a6b3-381d652d27f6","BiomedicalConceptProperty_5","Adverse Event Pre-specified","True","True","boolean","BiomedicalConceptProperty"
"Severity of Adverse Event","49513bd2-542d-41b2-b270-f65eda926a9c","BiomedicalConceptProperty_6","Severity of Adverse Event","True","True","string","BiomedicalConceptProperty"
"Adverse Event Toxicity Grade","79fbdb6d-3506-47f1-82ee-a2744dbc3cd7","BiomedicalConceptProperty_7","Adverse Event Toxicity Grade","True","True","string","BiomedicalConceptProperty"
"Seriousness of Adverse Event","5f471aad-6005-4828-ab39-1109b9013adb","BiomedicalConceptProperty_8","Seriousness of Adverse Event","True","True","boolean","BiomedicalConceptProperty"
"Adverse Event Action Taken with Study Treatment","3085373d-3771-41bc-93e9-59c04af3b110","BiomedicalConceptProperty_9","Adverse Event Action Taken with Study Treatment","True","True","string","BiomedicalConceptProperty"
"Adverse Event Attribution to Product or Procedure","5aceec3a-82e6-4deb-9cdf-4f3db5dacde0","BiomedicalConceptProperty_10","Adverse Event Attribution to Product or Procedure","True","True","string","BiomedicalConceptProperty"
"Adverse Event Pattern","be576edc-0559-4f45-b770-60fe66a13fc7","BiomedicalConceptProperty_11","Adverse Event Pattern","True","True","string","BiomedicalConceptProperty"
"Adverse Event Outcome","00a3f5df-c810-4719-bb35-6e47c71d138b","BiomedicalConceptProperty_12","Adverse Event Outcome","True","True","string","BiomedicalConceptProperty"
"Adverse Event Start Date Time","4e0121f1-adfe-468c-956a-ee392bc210cf","BiomedicalConceptProperty_13","Adverse Event Start Date Time","True","True","datetime","BiomedicalConceptProperty"
"Adverse Event End Date Time","1be57cc4-2220-4ec8-8044-416c1dc3b735","BiomedicalConceptProperty_14","Adverse Event End Date Time","True","True","datetime","BiomedicalConceptProperty"
"Vital Signs Result","4bd70ad5-13b6-4298-9581-482611ba4e81","BiomedicalConceptProperty_15","Vital Signs Result","True","True","decimal","BiomedicalConceptProperty"
"Unit of Pressure","1c06886d-8caa-47d7-a518-b89d267bafd2","BiomedicalConceptProperty_16","Unit of Pressure","True","True","string","BiomedicalConceptProperty"
"Vital Signs Location","96389d07-dd32-4f13-a418-65a841061ef2","BiomedicalConceptProperty_17","Vital Signs Location","True","True","string","BiomedicalConceptProperty"
"Vital Signs Laterality","bfbc07c2-c471-4fc6-a19e-9e004583065e","BiomedicalConceptProperty_18","Vital Signs Laterality","True","True","string","BiomedicalConceptProperty"
"Test Method","62e6b20b-cf0b-4603-a8f9-2a3b0e4f0802","BiomedicalConceptProperty_19","Test Method","True","True","string","BiomedicalConceptProperty"
"Vital Signs Position","f6ba3d8e-1d06-4572-ab8d-395580a50f0f","BiomedicalConceptProperty_20","Vital Signs Position","True","True","string","BiomedicalConceptProperty"
"Vital Signs Result","e6800183-6cbe-4774-b6a7-55fa0a80e4b7","BiomedicalConceptProperty_21","Vital Signs Result","True","True","decimal","BiomedicalConceptProperty"
"Unit of Pressure","6f5e8e81-2702-4760-91b9-3f5c646397ef","BiomedicalConceptProperty_22","Unit of Pressure","True","True","string","BiomedicalConceptProperty"
"Vital Signs Location","75b68600-f061-4bfa-9b4e-9e1259e76059","BiomedicalConceptProperty_23","Vital Signs Location","True","True","string","BiomedicalConceptProperty"
"Vital Signs Laterality","53318f0b-f2c5-4aed-822e-f88bf0081dd1","BiomedicalConceptProperty_24","Vital Signs Laterality","True","True","string","BiomedicalConceptProperty"
"Test Method","4f72c6c4-d8d4-4017-b342-5a2d31f6d1b5","BiomedicalConceptProperty_25","Test Method","True","True","string","BiomedicalConceptProperty"
"Vital Signs Position","a30dd9dc-6ce0-492a-b60d-c4e09ac4eb3f","BiomedicalConceptProperty_26","Vital Signs Position","True","True","string","BiomedicalConceptProperty"
"Vital Signs Result","7241200c-07dd-47e0-9112-396126313476","BiomedicalConceptProperty_27","Vital Signs Result","True","True","decimal","BiomedicalConceptProperty"
"Unit of Temperature","69e47b70-15b2-4fec-98d5-38e1678b80bc","BiomedicalConceptProperty_28","Unit of Temperature","True","True","string","BiomedicalConceptProperty"
"Vital Signs Location","bb729095-e374-4315-8a20-67d16beb6cc0","BiomedicalConceptProperty_29","Vital Signs Location","True","True","string","BiomedicalConceptProperty"
"Vital Signs Result","192163be-ed7d-467c-bc63-f2592d2f3fdc","BiomedicalConceptProperty_30","Vital Signs Result","True","True","decimal","BiomedicalConceptProperty"
"Unit of Weight","cdda5652-4084-4ff5-857b-494339b2e563","BiomedicalConceptProperty_31","Unit of Weight","True","True","string","BiomedicalConceptProperty"
"Vital Signs Result","d0da2f49-fa82-41e1-bbee-23090c5c8525","BiomedicalConceptProperty_32","Vital Signs Result","True","True","decimal","BiomedicalConceptProperty"
"Unit of Height","25aa1cc0-eeb6-4798-b6b2-610277d59484","BiomedicalConceptProperty_33","Unit of Height","True","True","string","BiomedicalConceptProperty"
"Laboratory Test Result","8a866706-2db9-4350-9e8a-dc970205fb85","BiomedicalConceptProperty_34","Laboratory Test Result","True","True","decimal","BiomedicalConceptProperty"
"Laboratory Test Fasting Status","d70c4439-0527-41e7-9f1c-07ccf81740a9","BiomedicalConceptProperty_35","Laboratory Test Fasting Status","True","True","boolean","BiomedicalConceptProperty"
"Unit of Catalytic Activity Concentration","bd28ed81-44fd-438f-806d-751c04951490","BiomedicalConceptProperty_36","Unit of Catalytic Activity Concentration","True","True","string","BiomedicalConceptProperty"
"Biospecimen Type","22ee2c2d-cf96-4dee-a892-2b86c9cd9883","BiomedicalConceptProperty_37","Biospecimen Type","True","True","string","BiomedicalConceptProperty"
"Laboratory Test Result","b459030a-5913-40d3-b264-0c803cdb9833","BiomedicalConceptProperty_38","Laboratory Test Result","True","True","string","BiomedicalConceptProperty"
"Laboratory Test Fasting Status","bb449b4d-b2cf-48a8-b250-c8249253e816","BiomedicalConceptProperty_39","Laboratory Test Fasting Status","True","True","boolean","BiomedicalConceptProperty"
"Unit of Concentration","9d318253-eb95-4993-a1d4-26f11cf77260","BiomedicalConceptProperty_40","Unit of Concentration","True","True","string","BiomedicalConceptProperty"
"Biospecimen Type","9d5421ca-bea5-4a8f-b225-adca06427744","BiomedicalConceptProperty_41","Biospecimen Type","True","True","string","BiomedicalConceptProperty"
"Laboratory Test Result","7d7dacb1-587f-481e-a229-d346c8923019","BiomedicalConceptProperty_42","Laboratory Test Result","True","True","decimal","BiomedicalConceptProperty"
"Laboratory Test Fasting Status","f1458ec4-b0e6-4091-9821-4b29cf939536","BiomedicalConceptProperty_43","Laboratory Test Fasting Status","True","True","boolean","BiomedicalConceptProperty"
"Unit of Catalytic Activity Concentration","42e0eb61-ad43-48f3-b98d-479571671bfe","BiomedicalConceptProperty_44","Unit of Catalytic Activity Concentration","True","True","string","BiomedicalConceptProperty"
"Biospecimen Type","caaf6081-dfed-4eb0-93e8-91819ff6f6b2","BiomedicalConceptProperty_45","Biospecimen Type","True","True","string","BiomedicalConceptProperty"
"Laboratory Test Result","c59d0c47-5641-4095-a298-3f5ccdf172ff","BiomedicalConceptProperty_46","Laboratory Test Result","True","True","decimal","BiomedicalConceptProperty"
"Laboratory Test Fasting Status","15359d30-84d9-4f52-973c-93fbeca53478","BiomedicalConceptProperty_47","Laboratory Test Fasting Status","True","True","boolean","BiomedicalConceptProperty"
"Unit of Catalytic Activity Concentration","51bc7fcb-83e5-4b1d-ae78-c7610b0d8019","BiomedicalConceptProperty_48","Unit of Catalytic Activity Concentration","True","True","string","BiomedicalConceptProperty"
"Biospecimen Type","8df8ac29-9247-4b80-a8e3-f762e2a7bc19","BiomedicalConceptProperty_49","Biospecimen Type","True","True","string","BiomedicalConceptProperty"
"Laboratory Test Result","e981a14e-cfd2-46da-9a08-5be06d531708","BiomedicalConceptProperty_50","Laboratory Test Result","True","True","string","BiomedicalConceptProperty"
"Laboratory Test Fasting Status","83183e20-54fb-43f3-9b12-73b44d736e1f","BiomedicalConceptProperty_51","Laboratory Test Fasting Status","True","True","boolean","BiomedicalConceptProperty"
"Unit of Concentration","51b70579-9f2a-483c-8aad-542c9e920df4","BiomedicalConceptProperty_52","Unit of Concentration","True","True","string","BiomedicalConceptProperty"
"Biospecimen Type","7081633d-c4ae-4794-9eab-e9edfc9a0ce5","BiomedicalConceptProperty_53","Biospecimen Type","True","True","string","BiomedicalConceptProperty"
"Laboratory Test Result","fc8cc304-7dc2-493d-8a9f-1ebccbd707a1","BiomedicalConceptProperty_54","Laboratory Test Result","True","True","decimal","BiomedicalConceptProperty"
"Laboratory Test Fasting Status","5e7e3ec0-ff7e-4b30-9de8-9301828d025e","BiomedicalConceptProperty_55","Laboratory Test Fasting Status","True","True","boolean","BiomedicalConceptProperty"
"Molarity Unit","50dee164-ab03-4659-bc14-01680ef1ad14","BiomedicalConceptProperty_56","Molarity Unit","True","True","string","BiomedicalConceptProperty"
"Biospecimen Type","72f80039-2027-4057-b58f-b4a64caca964","BiomedicalConceptProperty_57","Biospecimen Type","True","True","string","BiomedicalConceptProperty"
"Laboratory Test Result","47af3bd2-198d-48f9-8125-f173a43679d4","BiomedicalConceptProperty_58","Laboratory Test Result","True","True","decimal","BiomedicalConceptProperty"
"Laboratory Test Fasting Status","71387649-e1f8-4345-b7d1-6e9d25f284f7","BiomedicalConceptProperty_59","Laboratory Test Fasting Status","True","True","boolean","BiomedicalConceptProperty"
"Molarity Unit","9604cd59-5358-4333-b533-d920cdbc9584","BiomedicalConceptProperty_60","Molarity Unit","True","True","string","BiomedicalConceptProperty"
"Biospecimen Type","2d3272ce-4f0e-4eab-943a-7fbede3e4b48","BiomedicalConceptProperty_61","Biospecimen Type","True","True","string","BiomedicalConceptProperty"
"Vital Signs Result","ae0c5730-f870-4433-9105-67e5c3da401e","BiomedicalConceptProperty_62","Vital Signs Result","True","True","decimal","BiomedicalConceptProperty"
"Unit of Pressure","b968e216-a84e-408e-874c-1867ee0d90f4","BiomedicalConceptProperty_63","Unit of Pressure","True","True","string","BiomedicalConceptProperty"
"Vital Signs Location","063ffc04-cb8e-42b0-abf1-f286db8849e8","BiomedicalConceptProperty_64","Vital Signs Location","True","True","string","BiomedicalConceptProperty"
"Vital Signs Laterality","caab2394-f329-4866-bd28-6d1e81f4e1a5","BiomedicalConceptProperty_65","Vital Signs Laterality","True","True","string","BiomedicalConceptProperty"
"Test Method","178dde8d-4833-4424-bbf5-af9a497316e2","BiomedicalConceptProperty_66","Test Method","True","True","string","BiomedicalConceptProperty"
"Vital Signs Position","3e4bae88-aed2-4ece-9021-f3dd190dd4e1","BiomedicalConceptProperty_67","Vital Signs Position","True","True","string","BiomedicalConceptProperty"
"Vital Signs Result","2f7478fd-9ae7-4d3b-8f72-fec50d2cc41b","BiomedicalConceptProperty_68","Vital Signs Result","True","True","decimal","BiomedicalConceptProperty"
"Unit of Pressure","87550e3e-333d-4afb-a68b-18efa6965939","BiomedicalConceptProperty_69","Unit of Pressure","True","True","string","BiomedicalConceptProperty"
"Vital Signs Location","9c0dfa3a-5390-405d-9175-3e66793de018","BiomedicalConceptProperty_70","Vital Signs Location","True","True","string","BiomedicalConceptProperty"
"Vital Signs Laterality","6f869243-51c7-40c6-b2ef-0324132a9e30","BiomedicalConceptProperty_71","Vital Signs Laterality","True","True","string","BiomedicalConceptProperty"
"Test Method","1a6799d9-51ca-4ebd-acf3-8439b0c23429","BiomedicalConceptProperty_72","Test Method","True","True","string","BiomedicalConceptProperty"
"Vital Signs Position","df3feefe-4a01-45be-aa4d-094a2ad136f2","BiomedicalConceptProperty_73","Vital Signs Position","True","True","string","BiomedicalConceptProperty"
"Vital Signs Result","f7228eda-122f-475d-8558-130b57e68220","BiomedicalConceptProperty_74","Vital Signs Result","True","True","integer","BiomedicalConceptProperty"
"Count per Minute","3b765b31-45f3-4adf-8934-96c448fce96d","BiomedicalConceptProperty_75","Count per Minute","True","True","string","BiomedicalConceptProperty"
"Vital Signs Location","7d1a53ed-b69c-4617-b5ad-708df8c1d0c3","BiomedicalConceptProperty_76","Vital Signs Location","True","True","string","BiomedicalConceptProperty"
"Vital Signs Laterality","ff5c8bf3-82c7-4a22-ac27-d0868e5df7a4","BiomedicalConceptProperty_77","Vital Signs Laterality","True","True","string","BiomedicalConceptProperty"
"Test Method","668b23c7-40c3-467c-ae34-6b888b7afa22","BiomedicalConceptProperty_78","Test Method","True","True","string","BiomedicalConceptProperty"
"Vital Signs Position","e3b5b5ae-a1a5-4355-bff3-53d2021b1bb6","BiomedicalConceptProperty_79","Vital Signs Position","True","True","string","BiomedicalConceptProperty"
"Vital Signs Result","4b0d3807-fc6e-40f2-9fa7-fe6512a616c9","BiomedicalConceptProperty_80","Vital Signs Result","True","True","decimal","BiomedicalConceptProperty"
"Unit of Pressure","168b337a-c2c5-4a87-aba7-cdb2e8d5539a","BiomedicalConceptProperty_81","Unit of Pressure","True","True","string","BiomedicalConceptProperty"
"Vital Signs Location","03a07284-d6fc-4983-8317-2bae53cefe9c","BiomedicalConceptProperty_82","Vital Signs Location","True","True","string","BiomedicalConceptProperty"
"Vital Signs Laterality","2d6f841d-2119-4bbf-ba1a-9f4553d5f9ea","BiomedicalConceptProperty_83","Vital Signs Laterality","True","True","string","BiomedicalConceptProperty"
"Test Method","f7d7662c-ee52-4fd4-b2ed-4265053090a4","BiomedicalConceptProperty_84","Test Method","True","True","string","BiomedicalConceptProperty"
"Vital Signs Position","5d5a5e07-d6b9-4f7f-8e12-ce5d163cb523","BiomedicalConceptProperty_85","Vital Signs Position","True","True","string","BiomedicalConceptProperty"
"Vital Signs Result","be363607-3fe4-470f-b3be-96750399c796","BiomedicalConceptProperty_86","Vital Signs Result","True","True","decimal","BiomedicalConceptProperty"
"Unit of Pressure","332762ec-b50b-41f3-baba-944332394a92","BiomedicalConceptProperty_87","Unit of Pressure","True","True","string","BiomedicalConceptProperty"
"Vital Signs Location","c2e21ccb-c6d1-4cd0-a508-dc3a93c60b1c","BiomedicalConceptProperty_88","Vital Signs Location","True","True","string","BiomedicalConceptProperty"
"Vital Signs Laterality","bccd9cf7-c977-4247-b0ab-5d7bba31ce1c","BiomedicalConceptProperty_89","Vital Signs Laterality","True","True","string","BiomedicalConceptProperty"
"Test Method","5098e27b-5f27-4b5d-a28d-22dc222ede46","BiomedicalConceptProperty_90","Test Method","True","True","string","BiomedicalConceptProperty"
"Vital Signs Position","2001d47d-e8dc-482b-9f85-78fffac19b21","BiomedicalConceptProperty_91","Vital Signs Position","True","True","string","BiomedicalConceptProperty"
"Vital Signs Result","0b08f104-7093-4847-90f8-61bd1c29fdc6","BiomedicalConceptProperty_92","Vital Signs Result","True","True","integer","BiomedicalConceptProperty"
"Count per Minute","cfc9c5f8-3b84-4d0a-8cb1-97d5a7e1d516","BiomedicalConceptProperty_93","Count per Minute","True","True","string","BiomedicalConceptProperty"
"Vital Signs Location","d6565a63-7b62-40a9-b2bb-3b4b253453f3","BiomedicalConceptProperty_94","Vital Signs Location","True","True","string","BiomedicalConceptProperty"
"Vital Signs Laterality","643f2a54-cc4d-49ba-be4a-68a41b182ea1","BiomedicalConceptProperty_95","Vital Signs Laterality","True","True","string","BiomedicalConceptProperty"
"Test Method","ad5861d6-c604-48f2-a17d-7a8f50f575bc","BiomedicalConceptProperty_96","Test Method","True","True","string","BiomedicalConceptProperty"
"Vital Signs Position","2c6ae4d3-b59a-4df9-af0e-29d9db162b24","BiomedicalConceptProperty_97","Vital Signs Position","True","True","string","BiomedicalConceptProperty"
