"decode","instanceType","code","codeSystemVersion","id","uuid:ID","codeSystem"
"Clinic","Code","C51282","2023-09-29","Code_90","0de79441-f757-437b-88dc-a23477d6d70a","http://www.cdisc.org"
"In Person","Code","C175574","2023-09-29","Code_91","7bd1296f-f5d2-4f27-9a4e-1b79d5f7e569","http://www.cdisc.org"
"Visit","Code","C25716","2023-09-29","Code_92","b83364b1-477a-4c11-a4b0-7a151890b05e","http://www.cdisc.org"
"Clinic","Code","C51282","2023-09-29","Code_93","cd90e779-562f-4c5f-9caa-45b7fd5fc950","http://www.cdisc.org"
"In Person","Code","C175574","2023-09-29","Code_94","3bd947df-34b3-4f7b-9a92-eada32d7be9d","http://www.cdisc.org"
"Visit","Code","C25716","2023-09-29","Code_95","f2af36d4-b01b-4278-a48d-e041ec8ce961","http://www.cdisc.org"
"Clinic","Code","C51282","2023-09-29","Code_96","76e11d6d-0a5d-41ee-b437-59e287e0e3a8","http://www.cdisc.org"
"In Person","Code","C175574","2023-09-29","Code_97","ce4e9756-0779-4f6f-9df9-b134494aa9cd","http://www.cdisc.org"
"Visit","Code","C25716","2023-09-29","Code_98","209c22f6-a99d-41ad-b835-9d555c8ff308","http://www.cdisc.org"
"Clinic","Code","C51282","2023-09-29","Code_99","b2be2c08-6375-4829-bd92-2ccee42e3715","http://www.cdisc.org"
"In Person","Code","C175574","2023-09-29","Code_100","6f217687-7a33-44c2-a535-043d925cf021","http://www.cdisc.org"
"Visit","Code","C25716","2023-09-29","Code_101","c4166dd6-4a12-4ace-aa86-d4e984a461c6","http://www.cdisc.org"
"Clinic","Code","C51282","2023-09-29","Code_102","f08e54db-c8b1-4dd8-a1e2-7e7867873eb2","http://www.cdisc.org"
"In Person","Code","C175574","2023-09-29","Code_103","7a76ead2-4230-432d-a56b-22bead5f910e","http://www.cdisc.org"
"Telephone Call","Code","C171537","2023-09-29","Code_104","06624d55-5153-49bc-8869-4751d4d17143","http://www.cdisc.org"
"Visit","Code","C25716","2023-09-29","Code_105","fb60d1dc-a1ba-410f-9531-fae5a14e7bd6","http://www.cdisc.org"
"Clinic","Code","C51282","2023-09-29","Code_106","14fbc715-c20d-4e1b-927e-342d8651993d","http://www.cdisc.org"
"In Person","Code","C175574","2023-09-29","Code_107","a3967e7b-489b-45f5-b40e-a1f1244b2429","http://www.cdisc.org"
"Telephone Call","Code","C171537","2023-09-29","Code_108","adffbdb7-e560-4a5f-93a4-ca8efbddf3f8","http://www.cdisc.org"
"Visit","Code","C25716","2023-09-29","Code_109","395edd7b-23c6-4a4f-91ac-147ef8d3918f","http://www.cdisc.org"
"Clinic","Code","C51282","2023-09-29","Code_110","3984a69c-cf0a-48b9-b73e-58600cdfe55e","http://www.cdisc.org"
"In Person","Code","C175574","2023-09-29","Code_111","9cec390d-3684-4bb4-9f93-b1c82dd94764","http://www.cdisc.org"
"Telephone Call","Code","C171537","2023-09-29","Code_112","ed508953-83cc-464a-aa50-a74c228c7b40","http://www.cdisc.org"
"Visit","Code","C25716","2023-09-29","Code_113","b4365d5e-0ba6-46e4-b6f3-ef6f1362da05","http://www.cdisc.org"
"Clinic","Code","C51282","2023-09-29","Code_114","d6802b95-fd37-4ae4-a742-a4bab70a4a51","http://www.cdisc.org"
"In Person","Code","C175574","2023-09-29","Code_115","52822bdc-9b2b-4f90-9e81-373fe90bedea","http://www.cdisc.org"
"Telephone Call","Code","C171537","2023-09-29","Code_116","98a4b1df-f48f-40d3-8fba-a9e3a0756f53","http://www.cdisc.org"
"Visit","Code","C25716","2023-09-29","Code_117","f861ccc3-1635-47fb-b895-f150f5f456ea","http://www.cdisc.org"
"Clinic","Code","C51282","2023-09-29","Code_118","88bafe09-072d-421d-b5a8-baf46bcbf740","http://www.cdisc.org"
"In Person","Code","C175574","2023-09-29","Code_119","11340707-bdfe-408d-a6c3-e6fc5fc51b92","http://www.cdisc.org"
"Visit","Code","C25716","2023-09-29","Code_120","97515d82-31ae-48c0-b793-0e46f8f5393c","http://www.cdisc.org"
"Clinic","Code","C51282","2023-09-29","Code_121","93da9acd-63b1-432a-93b1-7573a464f7c2","http://www.cdisc.org"
"In Person","Code","C175574","2023-09-29","Code_122","ea189b97-d008-4b20-b2d9-e9b0a3d914b3","http://www.cdisc.org"
"CT of head without contrast","Code","383371000119108","January 31, 2018","Code_80","93f8f326-4877-4dad-b845-ab7c8f949728","SNOMED"
"Subject Supine","Code","123","12","Code_81","f220d33d-507d-4b6c-a46a-263dc177cc1e","SPONSOR"
"Subject Standing","Code","124","12","Code_82","911b323c-c797-465c-b63f-1d2b95b3df74","SPONSOR"
"Male","Code","C20197","2023-09-29","Code_269","36f70f8e-79bf-46a9-9ac6-59058ee2fcda","http://www.cdisc.org"
"Female","Code","C16576","2023-09-29","Code_270","5ca20f2c-cf1d-4233-96b1-031c37d36286","http://www.cdisc.org"
"Sex","Code","C28421","","Code_271","261c4071-0fcb-480d-aec4-b696898fac48","NCI Thesaurus"
"Sex","Code","C28421","","Code_268","5f50227c-b9f3-4bb8-9478-6b7cf27f5c69","NCI Thesaurus"
"Race","Code","C17049","","Code_273","5b4911e7-0748-4d4f-8d5f-b873a111fbc0","NCI Thesaurus"
"Race","Code","C17049","","Code_272","45f15081-fef9-42a9-9921-92aa02a2fb6e","NCI Thesaurus"
"Clinical Test Result","Code","C77140","","Code_275","2f0c9bdd-7668-4e6c-b58b-be3724fa6234","NCI Thesaurus"
"Kelvin","Code","C42537","2023-09-29","Code_276","6f290e8a-6c5a-4ab0-8aec-adb130ad917f","http://www.cdisc.org"
"Unit of Temperature","Code","C44276","","Code_277","fd277c32-365c-4a8c-b0aa-785488f31e0b","NCI Thesaurus"
"Anatomic Site","Code","C13717","","Code_278","63f60a5d-3da2-4c25-bd0b-90c11ca9f492","NCI Thesaurus"
"Body Temperature","Code","C174446","","Code_274","6b7a229c-62d8-44f3-b3b0-294f1ea1ca49","NCI Thesaurus"
"Clinical Test Result","Code","C77140","","Code_280","a552a95c-60b3-497f-a7a0-8df65cb6d04d","NCI Thesaurus"
"Kilogram","Code","C28252","2023-09-29","Code_281","81cf5b4f-0585-4c9c-91d7-b4c01cbdd8e4","http://www.cdisc.org"
"Gram","Code","C48155","2023-09-29","Code_282","dc60d775-9048-4a98-951c-82a4cd10df28","http://www.cdisc.org"
"Pound","Code","C48531","2023-09-29","Code_283","2e7443f8-6599-4417-9c83-0a8f93b78aba","http://www.cdisc.org"
"Unit of Weight","Code","C48208","","Code_284","9f36fd07-1ac6-4eb3-aedf-f25690fe5c63","NCI Thesaurus"
"Body Weight","Code","C81328","","Code_279","a4ae657d-38d5-40fb-bd2f-3735035c03f3","NCI Thesaurus"
"Clinical Test Result","Code","C77140","","Code_286","d80978e7-2828-460b-b6ed-955bde502c42","NCI Thesaurus"
"Centimeter","Code","C49668","2023-09-29","Code_287","756a351a-3dc6-48ab-a7f5-534eaf250356","http://www.cdisc.org"
"Inch","Code","C48500","2023-09-29","Code_288","4f911cfb-b2b5-4c23-a4c7-e6e0b4e2ab8c","http://www.cdisc.org"
"Millimeter","Code","C28251","2023-09-29","Code_289","95854556-f3bb-49f8-b435-105a49f59770","http://www.cdisc.org"
"Meter","Code","C41139","2023-09-29","Code_290","eb446ef4-33c2-4d73-a201-5fd2c5ed3f9a","http://www.cdisc.org"
"Unit of Height","Code","C168688","","Code_291","5ebf2ad2-4878-4951-ad03-2cd629f3403c","NCI Thesaurus"
"Body Height","Code","C164634","","Code_285","9a6367b6-b614-4c8f-b5e6-dc44e67a04a6","NCI Thesaurus"
"Laboratory Test Result","Code","C36292","","Code_293","f2cf550b-bf94-483c-9b91-893ba6b3ba68","NCI Thesaurus"
"Laboratory Test Fasting Status","Code","C83309","","Code_294","fd4d01c7-935f-4a7b-b623-e6b54ac9f42b","NCI Thesaurus"
"Unit of Catalytic Activity Concentration","Code","C67365","","Code_295","b7050b79-3e46-4cac-bebc-0ee8a186d3f0","NCI Thesaurus"
"Biospecimen Type","Code","C70713","","Code_296","44313434-7f7e-45f0-8c0b-60a897690a47","NCI Thesaurus"
"Alanine Aminotransferase Measurement","Code","C64433","","Code_292","c30c63f2-e2a9-4882-a2e6-a1e4f33a93f4","NCI Thesaurus"
"Laboratory Test Result","Code","C36292","","Code_298","a86beee5-a3df-4aa8-8852-2693220ad350","NCI Thesaurus"
"Laboratory Test Fasting Status","Code","C83309","","Code_299","8dc1e66a-ceb8-4e7a-959a-00c19d6462dc","NCI Thesaurus"
"Unit of Concentration","Code","C48207","","Code_300","990582ee-91eb-478c-b2a4-b6e1b614d741","NCI Thesaurus"
"Biospecimen Type","Code","C70713","","Code_301","b29d6968-733f-4717-8592-622b7fa7d552","NCI Thesaurus"
"Albumin Measurement","Code","C64431","","Code_297","00f46d19-5bdb-412b-a0e8-d94ae640e48e","NCI Thesaurus"
"Laboratory Test Result","Code","C36292","","Code_303","d68cdc00-2a9c-4647-a4c3-5f703cfb4785","NCI Thesaurus"
"Laboratory Test Fasting Status","Code","C83309","","Code_304","3eb7af16-dd50-46d2-be93-53de8f9eae70","NCI Thesaurus"
"Unit of Catalytic Activity Concentration","Code","C67365","","Code_305","64a17c2d-c4fa-4284-97f3-5e6ffe511aff","NCI Thesaurus"
"Biospecimen Type","Code","C70713","","Code_306","0832a0e9-8e7f-4221-8e1e-5a314a729543","NCI Thesaurus"
"Alkaline Phosphatase Measurement","Code","C64432","","Code_302","7c48d315-1909-4eb0-a8a9-1b12c0f97edd","NCI Thesaurus"
"Laboratory Test Result","Code","C36292","","Code_308","9570e926-7a87-4e9d-a4b7-8c7814702de9","NCI Thesaurus"
"Laboratory Test Fasting Status","Code","C83309","","Code_309","beadbd23-d54d-4e4a-8942-d90d27383522","NCI Thesaurus"
"Unit of Catalytic Activity Concentration","Code","C67365","","Code_310","725e848a-3e37-48a0-ac66-a6540916c2ec","NCI Thesaurus"
"Biospecimen Type","Code","C70713","","Code_311","3271b986-35dc-4bd5-9b64-2ca83a24d646","NCI Thesaurus"
"Aspartate Aminotransferase Measurement","Code","C64467","","Code_307","b5689ba1-14f6-403e-82b3-3edeb63e2010","NCI Thesaurus"
"Laboratory Test Result","Code","C36292","","Code_313","f6dd8745-d980-49bf-82fa-656a2885a7e3","NCI Thesaurus"
"Laboratory Test Fasting Status","Code","C83309","","Code_314","9e645a07-6b9f-401a-9a14-c4229b96170f","NCI Thesaurus"
"Unit of Concentration","Code","C48207","","Code_315","b8df1ab5-0ff7-4541-9a44-ded2f828da95","NCI Thesaurus"
"Biospecimen Type","Code","C70713","","Code_316","8babf50b-eff8-438e-8fe6-f5a8c0319afe","NCI Thesaurus"
"Creatinine Measurement","Code","C64547","","Code_312","a018a690-b9fd-4fa9-ae6e-ee54df7596e8","NCI Thesaurus"
"Laboratory Test Result","Code","C36292","","Code_318","379cbf18-f971-4507-9e3f-c132e2677088","NCI Thesaurus"
"Laboratory Test Fasting Status","Code","C83309","","Code_319","7240e742-3f05-449c-9fea-0d8eb3c3805a","NCI Thesaurus"
"Molarity Unit","Code","C64567","","Code_320","4349c4a6-5842-465f-8673-b13425902851","NCI Thesaurus"
"Biospecimen Type","Code","C70713","","Code_321","a25487e3-14be-4770-9ea3-170f1e642cc5","NCI Thesaurus"
"Potassium Measurement","Code","C64853","","Code_317","58542f90-b79d-4e69-a19c-23601e7e754e","NCI Thesaurus"
"Laboratory Test Result","Code","C36292","","Code_323","92c4a9cd-68ab-4595-80f0-0b5dc930192e","NCI Thesaurus"
"Laboratory Test Fasting Status","Code","C83309","","Code_324","0a23530f-5650-4686-9ab2-880e2342598c","NCI Thesaurus"
"Molarity Unit","Code","C64567","","Code_325","740fd5ab-75eb-40cd-9c53-4db01bf25c09","NCI Thesaurus"
"Biospecimen Type","Code","C70713","","Code_326","03fe8864-b3aa-4f7a-9157-508fe80bb931","NCI Thesaurus"
"Sodium Measurement","Code","C64809","","Code_322","901bb1c7-21eb-45a5-a00a-d345b028aec7","NCI Thesaurus"
"Reported Event Term","Code","C82571","","Code_146","9f7eb40b-1b8c-433b-8222-05d34708ee43","NCI Thesaurus"
"Dictionary-derived Term","Code","C82977","","Code_147","8564aa2f-41f2-4f3f-8aa6-4194ef357438","NCI Thesaurus"
"Category","Code","C25372","","Code_148","f788738f-2fb3-4fbe-bf85-c5f9d53004ed","NCI Thesaurus"
"Subcategory","Code","C25692","","Code_149","31c24d23-1078-4454-9b63-0c8fa16974e7","NCI Thesaurus"
"Observation Start Date Time","Code","C82517","","Code_150","175d92b9-dae6-4af6-8344-a51fc973ed8d","NCI Thesaurus"
"Adverse Event","Code","C41331","","Code_145","f75ce738-29b3-4eba-b304-d9be4705ac72","NCI Thesaurus"
"Clinical Test Result","Code","C77140","","Code_152","f07736df-f067-47e8-adef-5f54a09d45a1","NCI Thesaurus"
"Pascal","Code","C42547","2023-09-29","Code_153","c8f21096-6d94-43a1-b02b-b83fdef0afa8","http://www.cdisc.org"
"Unit of Pressure","Code","C49669","","Code_154","860afb11-a661-4080-8883-90f365ac7ff6","NCI Thesaurus"
"Anatomic Site","Code","C13717","","Code_155","6a1f7d76-652b-415a-9762-1c7912b4cdb0","NCI Thesaurus"
"Laterality","Code","C25185","","Code_156","5e3ac439-9cfa-4fb1-9a55-65d5525a1d65","NCI Thesaurus"
"Test Method","Code","C82535","","Code_157","9b84c643-20d9-4b23-9cf8-b72d38545174","NCI Thesaurus"
"Body Position","Code","C62164","","Code_158","fa493c0a-eac6-4d83-8112-08f5bd87dbfe","NCI Thesaurus"
"Systolic Blood Pressure","Code","C25298","","Code_151","d50a93d2-7ea8-4e57-b1ea-42931b226274","NCI Thesaurus"
"Clinical Test Result","Code","C77140","","Code_160","c3593c49-e188-48c2-add4-329c5eb617a5","NCI Thesaurus"
"Pascal","Code","C42547","2023-09-29","Code_161","bb8eaf6b-b982-4a01-8569-75c3d977b246","http://www.cdisc.org"
"Unit of Pressure","Code","C49669","","Code_162","c3e28aa2-e5dc-4449-9853-f166e2e5e53d","NCI Thesaurus"
"Anatomic Site","Code","C13717","","Code_163","12693fa4-2741-44b3-8d1a-f14bcc1b8963","NCI Thesaurus"
"Laterality","Code","C25185","","Code_164","f7317882-e1d6-447e-a361-5d8a75b9378e","NCI Thesaurus"
"Test Method","Code","C82535","","Code_165","95683866-4158-4e71-aa9f-7c6cdf7f2769","NCI Thesaurus"
"Body Position","Code","C62164","","Code_166","92540209-d9c1-40e8-a50f-eb9450b17f65","NCI Thesaurus"
"Diastolic Blood Pressure","Code","C25299","","Code_159","ea1ae5e8-1565-4dea-a671-ec3e9d9b401a","NCI Thesaurus"
"Clinical Test Result","Code","C77140","","Code_168","b6660606-a786-42f0-b34b-e0f43bc8f2d9","NCI Thesaurus"
"Kelvin","Code","C42537","2023-09-29","Code_169","c526ac28-9883-4860-8a4a-818226f13c53","http://www.cdisc.org"
"Unit of Temperature","Code","C44276","","Code_170","67a151f3-b69d-49f2-9e37-ae8e373d94a3","NCI Thesaurus"
"Anatomic Site","Code","C13717","","Code_171","5b71f54f-5627-406b-b521-c91af6fc4289","NCI Thesaurus"
"Body Temperature","Code","C174446","","Code_167","24fcda6d-43c5-4507-b552-25304f3363ff","NCI Thesaurus"
"Clinical Test Result","Code","C77140","","Code_173","d748de9b-2a12-4acb-b60c-42ffc1dfbbfc","NCI Thesaurus"
"Kilogram","Code","C28252","2023-09-29","Code_174","fc622a52-d101-47c2-8489-2cfa34a3111e","http://www.cdisc.org"
"Gram","Code","C48155","2023-09-29","Code_175","99944047-38ad-4f2b-840d-f188f1fc7bba","http://www.cdisc.org"
"Pound","Code","C48531","2023-09-29","Code_176","fe671502-406f-49fe-a22a-06842f2c57df","http://www.cdisc.org"
"Unit of Weight","Code","C48208","","Code_177","a4a60cd1-5103-43ad-aef2-4264d8f86922","NCI Thesaurus"
"Body Weight","Code","C81328","","Code_172","9dd62924-0a4b-4edf-a185-a6a0bd5c4d37","NCI Thesaurus"
"Clinical Test Result","Code","C77140","","Code_179","eed643bb-974a-40a3-9614-8d12a40c3806","NCI Thesaurus"
"Centimeter","Code","C49668","2023-09-29","Code_180","943dba64-76cf-4c1d-bd1e-9fdfea401d2d","http://www.cdisc.org"
"Inch","Code","C48500","2023-09-29","Code_181","8f54cbf6-c54c-4556-a0e8-d66fab9b9457","http://www.cdisc.org"
"Millimeter","Code","C28251","2023-09-29","Code_182","be3ed286-d4fc-4823-a773-ec3581741310","http://www.cdisc.org"
"Meter","Code","C41139","2023-09-29","Code_183","6ca641ac-3d4d-4fe0-9af9-5469933e1462","http://www.cdisc.org"
"Unit of Height","Code","C168688","","Code_184","5d32937c-40ab-4755-9e49-9d49f0ca81ab","NCI Thesaurus"
"Body Height","Code","C164634","","Code_178","4a30869c-1102-4eb3-bb76-5d0d3d65c917","NCI Thesaurus"
"Laboratory Test Result","Code","C36292","","Code_186","1741c8c5-aaf2-4b8c-bfb3-37c722c68a8b","NCI Thesaurus"
"Laboratory Test Fasting Status","Code","C83309","","Code_187","786fffc4-8e87-47b7-ae19-074528bb320d","NCI Thesaurus"
"Unit of Catalytic Activity Concentration","Code","C67365","","Code_188","b72b7e1e-7d95-40e4-a933-377d4d26cdee","NCI Thesaurus"
"Biospecimen Type","Code","C70713","","Code_189","3362aae1-5383-4da4-a4a0-5e0823243ddc","NCI Thesaurus"
"Alanine Aminotransferase Measurement","Code","C64433","","Code_185","4d0806fa-211e-4a00-9465-52c9dcd6f9cf","NCI Thesaurus"
"Laboratory Test Result","Code","C36292","","Code_191","6c8db819-4c7b-40bf-8cd0-dea0db1bf147","NCI Thesaurus"
"Laboratory Test Fasting Status","Code","C83309","","Code_192","6ec63402-656f-43ee-a63e-e858a063440f","NCI Thesaurus"
"Unit of Concentration","Code","C48207","","Code_193","9cc4c314-e790-451c-8df4-1ceeaaf0f81b","NCI Thesaurus"
"Biospecimen Type","Code","C70713","","Code_194","06d88ffc-3021-43f7-b9fc-01b35a4f7fbf","NCI Thesaurus"
"Albumin Measurement","Code","C64431","","Code_190","e724e1c4-ca17-4f93-a45d-1dd722a47a66","NCI Thesaurus"
"Laboratory Test Result","Code","C36292","","Code_196","6e58c55a-4bdd-4562-9d60-1e86598f1478","NCI Thesaurus"
"Laboratory Test Fasting Status","Code","C83309","","Code_197","72468185-dff7-47e3-9f99-d5d767f9f60f","NCI Thesaurus"
"Unit of Catalytic Activity Concentration","Code","C67365","","Code_198","f6d9a9f5-4d7b-48e0-a4ae-95e8724cd12c","NCI Thesaurus"
"Biospecimen Type","Code","C70713","","Code_199","fb5523e0-db33-4b84-b021-0525c1ca20bf","NCI Thesaurus"
"Alkaline Phosphatase Measurement","Code","C64432","","Code_195","3bbb7a3b-d9e3-4aea-b2a5-cd41b0d4846f","NCI Thesaurus"
"Laboratory Test Result","Code","C36292","","Code_201","bb578193-606a-422a-aa19-28c7eeed6333","NCI Thesaurus"
"Laboratory Test Fasting Status","Code","C83309","","Code_202","20403476-9efe-4c51-b78e-d8965d35d6fa","NCI Thesaurus"
"Unit of Catalytic Activity Concentration","Code","C67365","","Code_203","0710cd0b-f694-4763-a720-b2e219c3e207","NCI Thesaurus"
"Biospecimen Type","Code","C70713","","Code_204","d71131c2-2e04-41a7-9d02-9be3b321a714","NCI Thesaurus"
"Aspartate Aminotransferase Measurement","Code","C64467","","Code_200","7506d82e-7020-4031-b045-d786171be9a7","NCI Thesaurus"
"Laboratory Test Result","Code","C36292","","Code_206","40a83583-67e7-407b-bde0-a9698853a2fd","NCI Thesaurus"
"Laboratory Test Fasting Status","Code","C83309","","Code_207","9ea48ca0-01a9-4e9c-a2cb-c65a55339432","NCI Thesaurus"
"Unit of Concentration","Code","C48207","","Code_208","caf97b93-949e-4bb7-b3ff-1841508efaa8","NCI Thesaurus"
"Biospecimen Type","Code","C70713","","Code_209","80953289-68fb-45db-b1a9-8bb0783a0586","NCI Thesaurus"
"Creatinine Measurement","Code","C64547","","Code_205","22e71f1b-a499-462f-af00-df223388f2bd","NCI Thesaurus"
"Laboratory Test Result","Code","C36292","","Code_211","ddf2db14-98fa-42a5-b25f-fad999819ba8","NCI Thesaurus"
"Laboratory Test Fasting Status","Code","C83309","","Code_212","bf8b3830-ff1c-43b7-81c4-1f56f0849157","NCI Thesaurus"
"Molarity Unit","Code","C64567","","Code_213","8913f6e7-daa3-496b-95bc-2c3f8462c990","NCI Thesaurus"
"Biospecimen Type","Code","C70713","","Code_214","6b540ec8-1558-4f6e-ab6d-28be5f252ece","NCI Thesaurus"
"Potassium Measurement","Code","C64853","","Code_210","788c95b6-f9a9-4a5d-a267-591acf3cd6ff","NCI Thesaurus"
"Laboratory Test Result","Code","C36292","","Code_216","4b4ee2a7-7ca1-470e-a8fd-8be6a4dbaa1a","NCI Thesaurus"
"Laboratory Test Fasting Status","Code","C83309","","Code_217","0b1b5e37-27a9-4ccc-8f79-0dab74321731","NCI Thesaurus"
"Molarity Unit","Code","C64567","","Code_218","bb56b17c-171b-40d4-b5fa-ac822cfa1d4e","NCI Thesaurus"
"Biospecimen Type","Code","C70713","","Code_219","1b6af2bb-781c-423f-95ab-5a6864bbc5e1","NCI Thesaurus"
"Sodium Measurement","Code","C64809","","Code_215","b9a44e9b-a199-496f-9859-2dc819a61f23","NCI Thesaurus"
"Clinical Test Result","Code","C77140","","Code_221","0c05885a-5778-42ae-a13f-d8559e2df298","NCI Thesaurus"
"Pascal","Code","C42547","2023-09-29","Code_222","57ab83c9-f719-4b2e-a49d-14f9c805b539","http://www.cdisc.org"
"Unit of Pressure","Code","C49669","","Code_223","34e308b0-b031-4bac-b0aa-11c0b08ec5e2","NCI Thesaurus"
"Anatomic Site","Code","C13717","","Code_224","59055919-c461-4a40-88d6-73d50effd105","NCI Thesaurus"
"Laterality","Code","C25185","","Code_225","40ac4819-4721-4227-aa11-e3bb3676037c","NCI Thesaurus"
"Test Method","Code","C82535","","Code_226","3aa0f0ec-1e95-426a-809b-daae01b7855e","NCI Thesaurus"
"Body Position","Code","C62164","","Code_227","992acbd3-7e98-49b5-addc-6a20ee343bda","NCI Thesaurus"
"Systolic Blood Pressure","Code","C25298","","Code_220","59c63b47-bc05-400e-922e-d840fee8c96f","NCI Thesaurus"
"Clinical Test Result","Code","C77140","","Code_229","4ce17037-6960-48ad-9056-67e3688b672c","NCI Thesaurus"
"Pascal","Code","C42547","2023-09-29","Code_230","0afd4765-2bd3-435f-adee-88fee66547eb","http://www.cdisc.org"
"Unit of Pressure","Code","C49669","","Code_231","6bfbfef1-4580-4e82-83f7-82061a75ee3a","NCI Thesaurus"
"Anatomic Site","Code","C13717","","Code_232","166d04c9-3d68-447c-8deb-9c5ea5c11de6","NCI Thesaurus"
"Laterality","Code","C25185","","Code_233","7be1d62b-3274-4d92-87ff-09ebdb5c0364","NCI Thesaurus"
"Test Method","Code","C82535","","Code_234","46487850-e01e-401c-aa41-e8873a9e9bff","NCI Thesaurus"
"Body Position","Code","C62164","","Code_235","31638d3b-b82c-453b-9b07-f34f256975ba","NCI Thesaurus"
"Diastolic Blood Pressure","Code","C25299","","Code_228","cc1b8c2e-bc04-4d29-9f25-7b54c4070abb","NCI Thesaurus"
"Clinical Test Result","Code","C77140","","Code_237","097c2176-95f4-4097-a7bd-b178af2bece8","NCI Thesaurus"
"Beats per Minute","Code","C49673","2023-09-29","Code_238","07951599-25fa-4179-8063-93004b08efef","http://www.cdisc.org"
"Count per Minute","Code","C73688","","Code_239","5e136063-f96b-4c90-9939-7eff3267eda8","NCI Thesaurus"
"Anatomic Site","Code","C13717","","Code_240","0f1d218b-f008-4a22-8dc1-094bba79ab7d","NCI Thesaurus"
"Laterality","Code","C25185","","Code_241","c61a143a-f9d1-4499-a325-b259139b463e","NCI Thesaurus"
"Test Method","Code","C82535","","Code_242","ac6de858-893d-44d1-b69e-e23041be0e68","NCI Thesaurus"
"Body Position","Code","C62164","","Code_243","fa0e3c5c-83b9-48be-bda9-5b51bd5efe5c","NCI Thesaurus"
