"bcPropertyRequired","label","bcPropertyResponseCodes","name","id","bcPropertyDatatype","uuid:ID","bcPropertyEnabled"
"True","Vital Signs Result","[]","Vital Signs Result","BiomedicalConceptProperty_30","decimal","1a7ef6e5-8ebb-42d3-a808-8dedbf0cde6b","True"
"True","Unit of Weight","","Unit of Weight","BiomedicalConceptProperty_31","string","994d09b3-266b-4f95-a8ca-72ce140b94e8","True"
"True","Vital Signs Result","[]","Vital Signs Result","BiomedicalConceptProperty_32","decimal","6701ef48-b2d2-4920-b13b-5c9de6bee8d1","True"
"True","Unit of Height","","Unit of Height","BiomedicalConceptProperty_33","string","9b580547-1a64-43f9-ae3e-e7937d94bb1c","True"
"True","Laboratory Test Result","[]","Laboratory Test Result","BiomedicalConceptProperty_34","decimal","98ec259e-169c-4689-8c4d-b4bc2d91061d","True"
"True","Laboratory Test Fasting Status","[]","Laboratory Test Fasting Status","BiomedicalConceptProperty_35","boolean","a99595d0-eee0-4f34-a32c-f3ce2050c148","True"
"True","Unit of Catalytic Activity Concentration","[]","Unit of Catalytic Activity Concentration","BiomedicalConceptProperty_36","string","da80e2d1-e4be-4b53-a1f3-651528dfc036","True"
"True","Biospecimen Type","[]","Biospecimen Type","BiomedicalConceptProperty_37","string","b74c94f3-4c1c-4865-ab2b-57be223be9be","True"
"True","Laboratory Test Result","[]","Laboratory Test Result","BiomedicalConceptProperty_38","string","020c91e9-e83f-42f7-b8b1-cefc0b213ec2","True"
"True","Laboratory Test Fasting Status","[]","Laboratory Test Fasting Status","BiomedicalConceptProperty_39","boolean","6ca3f2fe-85f2-4759-9b53-c80d5c61a822","True"
"True","Unit of Concentration","[]","Unit of Concentration","BiomedicalConceptProperty_40","string","2475e448-887c-4688-84c5-b18df9747e11","True"
"True","Biospecimen Type","[]","Biospecimen Type","BiomedicalConceptProperty_41","string","5c1ebafc-3ce7-4e02-a3a3-b00b960c3c82","True"
"True","Laboratory Test Result","[]","Laboratory Test Result","BiomedicalConceptProperty_42","decimal","1f2e0588-5f16-491d-ab9c-b03a65362503","True"
"True","Laboratory Test Fasting Status","[]","Laboratory Test Fasting Status","BiomedicalConceptProperty_43","boolean","19421c55-9412-4e5a-9bc6-68d4156b3c6b","True"
"True","Unit of Catalytic Activity Concentration","[]","Unit of Catalytic Activity Concentration","BiomedicalConceptProperty_44","string","53353627-3a19-40ca-a77e-13c705239326","True"
"True","Biospecimen Type","[]","Biospecimen Type","BiomedicalConceptProperty_45","string","261c94af-440c-4d7f-804c-5591142869fe","True"
"True","Laboratory Test Result","[]","Laboratory Test Result","BiomedicalConceptProperty_46","decimal","ef3a8d88-43ae-4a06-a3ca-1777053dc203","True"
"True","Laboratory Test Fasting Status","[]","Laboratory Test Fasting Status","BiomedicalConceptProperty_47","boolean","e33fd326-7655-48b8-a4ae-d56d93a21798","True"
"True","Unit of Catalytic Activity Concentration","[]","Unit of Catalytic Activity Concentration","BiomedicalConceptProperty_48","string","ca9cd453-85e7-45a3-a11f-8b6ff7c72929","True"
"True","Biospecimen Type","[]","Biospecimen Type","BiomedicalConceptProperty_49","string","68e7578e-857a-4858-9f5c-46cd7debc009","True"
"True","Laboratory Test Result","[]","Laboratory Test Result","BiomedicalConceptProperty_50","string","e07bf176-af9f-432f-8ba0-4f42c85ec83e","True"
"True","Laboratory Test Fasting Status","[]","Laboratory Test Fasting Status","BiomedicalConceptProperty_51","boolean","fac419d4-084d-4839-a936-04f3c15aab08","True"
"True","Unit of Concentration","[]","Unit of Concentration","BiomedicalConceptProperty_52","string","007cb79c-f211-425e-9cf2-139f74024c00","True"
"True","Biospecimen Type","[]","Biospecimen Type","BiomedicalConceptProperty_53","string","c62d6d47-50da-4384-91a8-20c92b5952df","True"
"True","Laboratory Test Result","[]","Laboratory Test Result","BiomedicalConceptProperty_54","decimal","35f39d3d-928a-4a6b-baa6-f4218ebc5f89","True"
"True","Laboratory Test Fasting Status","[]","Laboratory Test Fasting Status","BiomedicalConceptProperty_55","boolean","bb50369e-5449-41e1-b2b4-54435bfb3cec","True"
"True","Molarity Unit","[]","Molarity Unit","BiomedicalConceptProperty_56","string","aab23e62-b2c6-4b0f-a631-a094e5b814f9","True"
"True","Biospecimen Type","[]","Biospecimen Type","BiomedicalConceptProperty_57","string","eb012ef9-5dd2-4dbb-bd6d-e05091f56d0b","True"
"True","Laboratory Test Result","[]","Laboratory Test Result","BiomedicalConceptProperty_58","decimal","c31e2d67-bf20-4977-9abc-81c940eacb17","True"
"True","Laboratory Test Fasting Status","[]","Laboratory Test Fasting Status","BiomedicalConceptProperty_59","boolean","97fde46b-950c-4182-8320-6deeacb77ae6","True"
"True","Molarity Unit","[]","Molarity Unit","BiomedicalConceptProperty_60","string","27aa29fc-6762-43f3-95e0-e3d0f9f575bb","True"
"True","Biospecimen Type","[]","Biospecimen Type","BiomedicalConceptProperty_61","string","f49e3b5f-6a49-4ce3-aeda-ba0741d1ba43","True"
"True","Vital Signs Result","[]","Vital Signs Result","BiomedicalConceptProperty_62","decimal","d6a6e9c0-4792-4fea-bf90-faa4839bb217","True"
"True","Unit of Pressure","","Unit of Pressure","BiomedicalConceptProperty_63","string","16a4b736-5cef-4268-9d69-e586c64d599a","True"
"True","Vital Signs Location","[]","Vital Signs Location","BiomedicalConceptProperty_64","string","487f92e0-9cad-4cbe-9622-b351723cd5d2","True"
"True","Vital Signs Laterality","[]","Vital Signs Laterality","BiomedicalConceptProperty_65","string","ab9e3c8f-032b-4742-8120-c90af068a939","True"
"True","Test Method","[]","Test Method","BiomedicalConceptProperty_66","string","c1058f0f-e7da-4290-93f2-485f339b3154","True"
"True","Vital Signs Position","[]","Vital Signs Position","BiomedicalConceptProperty_67","string","5e8a1283-230c-489a-b988-346b232d6325","True"
"True","Vital Signs Result","[]","Vital Signs Result","BiomedicalConceptProperty_68","decimal","f3a6dab4-c514-43c5-972b-7367ec5ea06c","True"
"True","Unit of Pressure","","Unit of Pressure","BiomedicalConceptProperty_69","string","8f7ecc2e-5f2e-4d03-bbd7-f3c82809e5cb","True"
"True","Vital Signs Location","[]","Vital Signs Location","BiomedicalConceptProperty_70","string","9fdd33f0-6e8e-4e22-9498-dcc5dd078473","True"
"True","Vital Signs Laterality","[]","Vital Signs Laterality","BiomedicalConceptProperty_71","string","78a69ed5-cf19-426a-b1f5-bc6e8880ba94","True"
"True","Test Method","[]","Test Method","BiomedicalConceptProperty_72","string","93bd18b9-3830-4908-8a1d-4fbc8ccdfe6a","True"
"True","Vital Signs Position","[]","Vital Signs Position","BiomedicalConceptProperty_73","string","67c665a5-fe03-4392-8292-7457d46b24a0","True"
"True","Vital Signs Result","[]","Vital Signs Result","BiomedicalConceptProperty_74","decimal","8467e7e0-1243-47eb-90e9-24f27c6c877f","True"
"True","Unit of Pressure","","Unit of Pressure","BiomedicalConceptProperty_75","string","19bfeca6-9fff-4bd4-8612-be3c20804953","True"
"True","Vital Signs Location","[]","Vital Signs Location","BiomedicalConceptProperty_76","string","80d11391-9e43-4585-ad2c-f7cc49174683","True"
"True","Vital Signs Laterality","[]","Vital Signs Laterality","BiomedicalConceptProperty_77","string","e4e67774-5767-4e38-9d35-94ac04c96445","True"
"True","Test Method","[]","Test Method","BiomedicalConceptProperty_78","string","25bbfa79-1be7-4f87-adfe-2fe92da6ed51","True"
"True","Vital Signs Position","[]","Vital Signs Position","BiomedicalConceptProperty_79","string","e42b7ae3-dbdd-4ace-9376-09482588223d","True"
"True","Vital Signs Result","[]","Vital Signs Result","BiomedicalConceptProperty_80","decimal","312b9f10-e10b-4112-9fd4-c43855af09e4","True"
"True","Unit of Pressure","","Unit of Pressure","BiomedicalConceptProperty_81","string","e9a2ca54-bf24-47ca-8de9-b4225eb5a40d","True"
"True","Vital Signs Location","[]","Vital Signs Location","BiomedicalConceptProperty_82","string","6fba63f6-1d8e-440a-ba38-0fe25be21e75","True"
"True","Vital Signs Laterality","[]","Vital Signs Laterality","BiomedicalConceptProperty_83","string","d39f852a-7bcf-4c7f-bda0-a5afcad5600e","True"
"True","Test Method","[]","Test Method","BiomedicalConceptProperty_84","string","d392661e-52e2-4f57-a933-4ebf89156f27","True"
"True","Vital Signs Position","[]","Vital Signs Position","BiomedicalConceptProperty_85","string","6d57cfb8-5910-4f29-b81f-e7bd4b37b077","True"
