"code","codeSystem","codeSystemVersion","decode","id","uuid:ID"
"C81328","NCI Thesaurus","","Body Weight","Code_246","1af3d63a-b73f-40b6-beb5-9094372a37dd"
"C173522","NCI Thesaurus","","Vital Signs Result","Code_253","af35a3d2-9ada-49df-86e2-5c36e61bba4a"
"C49668","http://www.cdisc.org","2023-09-29","Centimeter","Code_254","29576232-cb75-4aed-879f-3b518f3fb997"
"C48500","http://www.cdisc.org","2023-09-29","Inch","Code_255","7b45f187-e33b-4b82-a001-df1c1cb4f33f"
"C28251","http://www.cdisc.org","2023-09-29","Millimeter","Code_256","4a33e29a-2ce9-46f3-b363-3cfb3efd1f2e"
"C41139","http://www.cdisc.org","2023-09-29","Meter","Code_257","67db21c5-afa9-4c72-862a-2c97330bdde2"
"C168688","NCI Thesaurus","","Unit of Height","Code_258","9fede43b-914d-404a-bbc7-83ae84ab4e11"
"C164634","NCI Thesaurus","","Body Height","Code_252","1da17aeb-2e9b-4daf-b32a-ae1986fffd22"
"C36292","NCI Thesaurus","","Laboratory Test Result","Code_260","bb632739-7b1f-4369-9b85-de7338b4b009"
"C83309","NCI Thesaurus","","Laboratory Test Fasting Status","Code_261","2dbd4567-5d18-441e-b55e-2b10aee047ba"
"C67365","NCI Thesaurus","","Unit of Catalytic Activity Concentration","Code_262","11bc4ba5-b054-4f59-a22e-0f9bd0ff78d8"
"C70713","NCI Thesaurus","","Biospecimen Type","Code_263","50374368-57b6-4063-aef3-b983d37adc53"
"C64433","NCI Thesaurus","","Alanine Aminotransferase Measurement","Code_259","3d6fe6ce-38fa-447b-93a1-59ba7a006399"
"C36292","NCI Thesaurus","","Laboratory Test Result","Code_265","56b242c5-0c7a-4ef8-a7ba-bb03f43c514e"
"C83309","NCI Thesaurus","","Laboratory Test Fasting Status","Code_266","668118d5-d318-4967-8108-719eaa18463d"
"C48207","NCI Thesaurus","","Unit of Concentration","Code_267","775270b6-51dc-4f66-b447-757004a5a4d7"
"C70713","NCI Thesaurus","","Biospecimen Type","Code_268","38a685cd-010c-4de4-a68e-9ebf291d9bc6"
"C64431","NCI Thesaurus","","Albumin Measurement","Code_264","371c54d6-e8d1-484a-bf0d-ca518c0e3ab8"
"C36292","NCI Thesaurus","","Laboratory Test Result","Code_270","f69803a1-1a8c-41bc-af21-8908a0194c2d"
"C83309","NCI Thesaurus","","Laboratory Test Fasting Status","Code_271","b19090dd-0f58-4adf-9c0d-2485d3d2f1de"
"C67365","NCI Thesaurus","","Unit of Catalytic Activity Concentration","Code_272","11203cff-152c-4476-904b-712133bc0b82"
"C70713","NCI Thesaurus","","Biospecimen Type","Code_273","cf6377d4-b9e5-4ab7-a53f-fe7c11eb1e4b"
"C64432","NCI Thesaurus","","Alkaline Phosphatase Measurement","Code_269","17c9fd5c-fcfb-44f0-8478-ca5258563c9e"
"C36292","NCI Thesaurus","","Laboratory Test Result","Code_275","cf9f3e5c-5e49-41b8-8f69-a65cc6bf7fba"
"C83309","NCI Thesaurus","","Laboratory Test Fasting Status","Code_276","6e934bc3-f693-4105-81d8-012cfc54c653"
"C67365","NCI Thesaurus","","Unit of Catalytic Activity Concentration","Code_277","1d3a4d16-a759-48a7-92f3-8334e9e3b1ef"
"C70713","NCI Thesaurus","","Biospecimen Type","Code_278","2c4e7dbf-b2fd-4c4a-9af4-2a1cd233b9d9"
"C64467","NCI Thesaurus","","Aspartate Aminotransferase Measurement","Code_274","48634165-fe0a-438a-af94-a523cb0dbfc1"
"C36292","NCI Thesaurus","","Laboratory Test Result","Code_280","0b2fbbfc-5315-4fc3-bf9b-316428b49232"
"C83309","NCI Thesaurus","","Laboratory Test Fasting Status","Code_281","bbaf2f38-a187-43f7-9213-904be6d0b7df"
"C48207","NCI Thesaurus","","Unit of Concentration","Code_282","f3b6eafc-d46f-4848-90e7-01b3c8cc5ecd"
"C70713","NCI Thesaurus","","Biospecimen Type","Code_283","c1468f21-a845-4c44-8a5d-177f12d915c9"
"C64547","NCI Thesaurus","","Creatinine Measurement","Code_279","83870d8a-0309-4fe9-8e6a-e2ea62d41d54"
"C36292","NCI Thesaurus","","Laboratory Test Result","Code_285","40026214-7879-4e1b-a985-caa723e7e7b9"
"C83309","NCI Thesaurus","","Laboratory Test Fasting Status","Code_286","040871b8-f4d3-4300-8e71-803bf3a4e331"
"C64567","NCI Thesaurus","","Molarity Unit","Code_287","74fdf808-6a79-427a-8eda-34d23c49a575"
"C70713","NCI Thesaurus","","Biospecimen Type","Code_288","c46af0e0-9a2b-4523-bf4f-9ea243224aa6"
"C64853","NCI Thesaurus","","Potassium Measurement","Code_284","64dff8c9-6ea1-4b31-a3a2-40e5371728d7"
"C36292","NCI Thesaurus","","Laboratory Test Result","Code_290","be351502-09c3-4ccd-ae63-1eced5d0fa8f"
"C83309","NCI Thesaurus","","Laboratory Test Fasting Status","Code_291","24c3bb03-372f-4cdc-9da0-bfab734e0f77"
"C64567","NCI Thesaurus","","Molarity Unit","Code_292","8a39e1ff-8fc9-4956-9522-920c49c43c03"
"C70713","NCI Thesaurus","","Biospecimen Type","Code_293","62317106-ea18-4a60-97c6-5cd123988be2"
"C64809","NCI Thesaurus","","Sodium Measurement","Code_289","df41241a-c275-4030-8c89-7d575c127347"
"C78541","NCI Thesaurus","","Adverse Event Verbatim Description","Code_124","2b276d36-080e-4001-add5-52a67a37f609"
"C83344","NCI Thesaurus","","Adverse Event Dictionary Derived Term","Code_125","4b8647c6-387d-42a3-8493-4192efe560f2"
"C83198","NCI Thesaurus","","Adverse Event Category","Code_126","d57c3e00-e765-4035-a8e5-1227e6347947"
"C83212","NCI Thesaurus","","Adverse Event Subcategory","Code_127","55ae203f-9fe8-4a3e-900c-5abc744362bd"
"C87840","NCI Thesaurus","","Adverse Event Pre-specified","Code_128","93ccd35d-238e-4fe8-a93e-9320b684501b"
"C53253","NCI Thesaurus","","Severity of Adverse Event","Code_129","a0f4264d-3a3e-4295-9e0d-8fa675b26ce5"
"C78605","NCI Thesaurus","","Adverse Event Toxicity Grade","Code_130","0f60fbe9-3d1d-4fbe-929d-5e9e5e13c0a8"
"C53252","NCI Thesaurus","","Seriousness of Adverse Event","Code_131","8c5ca6c6-2e7a-4537-9a3d-bf70e5aba52b"
"C17998","http://www.cdisc.org","2023-09-29","Unknown","Code_132","11f77d15-4723-4b72-8c74-1a1e926c7965"
"C83013","NCI Thesaurus","","Adverse Event Action Taken with Study Treatment","Code_133","d25bfe57-841c-4f74-bcca-bf06731092e7"
"C41358","NCI Thesaurus","","Adverse Event Attribution to Product or Procedure","Code_134","b7666ea9-1745-48ec-9381-275cef0f8307"
"C83208","NCI Thesaurus","","Adverse Event Pattern","Code_135","33f9aaf7-208f-47e3-a946-d4c1da9b3503"
"C17998","http://www.cdisc.org","2023-09-29","Unknown","Code_136","bedb547b-7dab-494b-a231-78dfa22d2873"
"C49489","NCI Thesaurus","","Adverse Event Outcome","Code_137","d8290240-9de5-45f3-9989-672347165bad"
"C83215","NCI Thesaurus","","Adverse Event Start Date Time","Code_138","6b2f2dad-499c-4a56-9f87-f7f9c454369b"
"C83201","NCI Thesaurus","","Adverse Event End Date Time","Code_139","453caed8-4cc8-44c5-9ea9-c033f41c9cd9"
"C41331","NCI Thesaurus","","Adverse Event","Code_123","42d88c29-163e-44ad-8079-838e7d866fb9"
"C173522","NCI Thesaurus","","Vital Signs Result","Code_141","fa602ce9-cc7c-4098-be28-c87413574d7c"
"C42547","http://www.cdisc.org","2023-09-29","Pascal","Code_142","9948e71a-fa91-42ac-9938-781e841ba715"
"C49669","NCI Thesaurus","","Unit of Pressure","Code_143","c91c4119-ecf4-473b-a04f-1fd3d8b19b1f"
"C83088","NCI Thesaurus","","Vital Signs Location","Code_144","666a6b82-cdcf-4b97-838e-74665a006604"
"C123975","NCI Thesaurus","","Vital Signs Laterality","Code_145","ed09057e-6bfd-42ed-a241-f4a35f57c0d0"
"C82535","NCI Thesaurus","","Test Method","Code_146","25d0db06-1dee-4b55-997b-619d637d945e"
"C83114","NCI Thesaurus","","Vital Signs Position","Code_147","785a56e0-0247-4c5c-9abd-90a83b04c680"
"C25298","NCI Thesaurus","","Systolic Blood Pressure","Code_140","c59c27b7-5dcc-4aaf-a979-48b8c83bfd7d"
"C173522","NCI Thesaurus","","Vital Signs Result","Code_149","5d242155-3b84-4b28-acdc-06271e9c4ad8"
"C42547","http://www.cdisc.org","2023-09-29","Pascal","Code_150","510985e4-c719-43e0-8eb4-f409481f6033"
"C49669","NCI Thesaurus","","Unit of Pressure","Code_151","d21ebcf2-c955-4071-b028-d7827b4cb183"
"C83088","NCI Thesaurus","","Vital Signs Location","Code_152","5d0ff11d-235e-4fd7-aea4-a230519e4e91"
"C123975","NCI Thesaurus","","Vital Signs Laterality","Code_153","7406affc-33ce-447f-b646-8f905a0b457f"
"C82535","NCI Thesaurus","","Test Method","Code_154","743aab80-283e-40e8-a96d-3d3b49d6576e"
"C83114","NCI Thesaurus","","Vital Signs Position","Code_155","ae222368-bc6e-4919-b7fe-220d85b97694"
"C25299","NCI Thesaurus","","Diastolic Blood Pressure","Code_148","6c1bfcf8-28fc-43b9-a4d4-f8fef358ffac"
"C173522","NCI Thesaurus","","Vital Signs Result","Code_157","463c2711-49fb-4e8c-87df-df38e7f7751c"
"C42537","http://www.cdisc.org","2023-09-29","Kelvin","Code_158","0c81c5af-b99d-4579-9de0-73cc0db59229"
"C44276","NCI Thesaurus","","Unit of Temperature","Code_159","efa6f0ae-9fba-4190-a4c3-ae293c78fc57"
"C83088","NCI Thesaurus","","Vital Signs Location","Code_160","0f26e6da-4e74-486d-a5e9-552906a0edb6"
"C174446","NCI Thesaurus","","Body Temperature","Code_156","bba729b9-6a62-403e-ac02-fdd1fef8fef6"
"C173522","NCI Thesaurus","","Vital Signs Result","Code_162","298775fe-1a9a-49d5-a3a5-3166a31199d8"
"C28252","http://www.cdisc.org","2023-09-29","Kilogram","Code_163","fe9d7db4-769f-4262-8a14-b7b11a2db34a"
"C48155","http://www.cdisc.org","2023-09-29","Gram","Code_164","90c3bcb9-e6c7-45fd-838a-b1f4b3bf1327"
"C48531","http://www.cdisc.org","2023-09-29","Pound","Code_165","2341a350-5845-4f7f-9d62-09cb882f7145"
"C48208","NCI Thesaurus","","Unit of Weight","Code_166","597c4b1e-8f5d-4142-a338-1fa55625e021"
"C81328","NCI Thesaurus","","Body Weight","Code_161","6e85c516-1af6-4094-92a8-4a00c965fc07"
"C173522","NCI Thesaurus","","Vital Signs Result","Code_168","a16ba02c-838d-45b1-8aa3-5121cf9b5c62"
"C49668","http://www.cdisc.org","2023-09-29","Centimeter","Code_169","b2d36464-582b-41fb-a5d7-39f4c03b0651"
"C48500","http://www.cdisc.org","2023-09-29","Inch","Code_170","368834ef-c2f7-46ed-ab0a-9358f39a5eb1"
"C28251","http://www.cdisc.org","2023-09-29","Millimeter","Code_171","7de567e3-42aa-444d-bd79-0a09972cf4f1"
"C41139","http://www.cdisc.org","2023-09-29","Meter","Code_172","7636d006-ae0c-443d-a8d9-d31b4a52d240"
"C168688","NCI Thesaurus","","Unit of Height","Code_173","ed955b5e-39a3-49a4-88ea-511b14b437f3"
"C164634","NCI Thesaurus","","Body Height","Code_167","fe19c5af-9773-4fde-8203-fd729fa45963"
"C36292","NCI Thesaurus","","Laboratory Test Result","Code_175","e93a7461-ad0e-4b75-8cff-3e0dee5f6fff"
"C83309","NCI Thesaurus","","Laboratory Test Fasting Status","Code_176","dc24bb70-8df0-4791-9da9-60ad096caf49"
"C67365","NCI Thesaurus","","Unit of Catalytic Activity Concentration","Code_177","91960aca-d092-42a5-af6c-ad9b51028dec"
"C70713","NCI Thesaurus","","Biospecimen Type","Code_178","e1b9bf75-25d5-438a-81e9-46f1f23107c5"
"C64433","NCI Thesaurus","","Alanine Aminotransferase Measurement","Code_174","48f5d1f7-b862-4713-a69b-34b75f843089"
"C36292","NCI Thesaurus","","Laboratory Test Result","Code_180","8b7e3833-8379-4d48-87e0-135fb4b1491b"
"C83309","NCI Thesaurus","","Laboratory Test Fasting Status","Code_181","9dde72b6-7b49-4cfa-a16c-82b36708e5d0"
"C48207","NCI Thesaurus","","Unit of Concentration","Code_182","90771572-2375-41db-b6a6-5b55ebc32715"
"C70713","NCI Thesaurus","","Biospecimen Type","Code_183","8806e53e-0d32-40da-9faa-c65489f76903"
"C64431","NCI Thesaurus","","Albumin Measurement","Code_179","d8838735-22d3-4ac7-bfa3-a7a2403d475c"
"C36292","NCI Thesaurus","","Laboratory Test Result","Code_185","fd39f48e-4e86-44c1-985c-2ccd3de9296f"
"C83309","NCI Thesaurus","","Laboratory Test Fasting Status","Code_186","8237cfef-4cfa-4a1c-80e6-c7fafaeb54b3"
"C67365","NCI Thesaurus","","Unit of Catalytic Activity Concentration","Code_187","fbdea561-dd4d-4dcc-bf3e-bbbd89d4e2e1"
"C70713","NCI Thesaurus","","Biospecimen Type","Code_188","1838f765-c61d-46aa-b0ea-44aa66480a8a"
"C64432","NCI Thesaurus","","Alkaline Phosphatase Measurement","Code_184","4e5a4817-2498-4195-88d6-5379f32b6707"
"C36292","NCI Thesaurus","","Laboratory Test Result","Code_190","0327d3c1-f2d8-4a74-a2ae-2d082847f208"
"C83309","NCI Thesaurus","","Laboratory Test Fasting Status","Code_191","faee7f20-15f2-48fa-bf3f-93ccfd9977f1"
"C67365","NCI Thesaurus","","Unit of Catalytic Activity Concentration","Code_192","4f9a5e2b-5338-449c-97ca-502d3a5a29da"
"C70713","NCI Thesaurus","","Biospecimen Type","Code_193","a6e0931f-d56b-4662-a0ca-883eb25a9af8"
"C64467","NCI Thesaurus","","Aspartate Aminotransferase Measurement","Code_189","d10d3123-0a01-482a-b0b9-7be967a33864"
"C36292","NCI Thesaurus","","Laboratory Test Result","Code_195","7ebd9bae-1e70-45e9-9e1d-3f065b89f2f4"
"C83309","NCI Thesaurus","","Laboratory Test Fasting Status","Code_196","031490e6-13d3-4c51-ab4b-48cf7fe4f4f5"
"C48207","NCI Thesaurus","","Unit of Concentration","Code_197","fe514212-3886-4a16-b3b7-be318c0afa48"
"C70713","NCI Thesaurus","","Biospecimen Type","Code_198","ff1f2543-f894-451c-9e67-cd517d94f379"
"C64547","NCI Thesaurus","","Creatinine Measurement","Code_194","73a9a618-1710-4ed1-96d7-dd35bab9ddf3"
"C36292","NCI Thesaurus","","Laboratory Test Result","Code_200","050eb195-e18d-4735-bd4d-d840061ce279"
"C83309","NCI Thesaurus","","Laboratory Test Fasting Status","Code_201","148bcb2a-06b8-4b31-84d5-6e6e397cda65"
"C64567","NCI Thesaurus","","Molarity Unit","Code_202","c9c36beb-23da-4e16-8d06-9057f883630d"
"C70713","NCI Thesaurus","","Biospecimen Type","Code_203","cc43acd1-7f65-4954-a862-e034a7668603"
"C64853","NCI Thesaurus","","Potassium Measurement","Code_199","25d93a9c-c7c6-45e5-afd2-caabd5862bb8"
"C36292","NCI Thesaurus","","Laboratory Test Result","Code_205","82e480a0-5047-4eac-a267-114fb952cbdb"
"C83309","NCI Thesaurus","","Laboratory Test Fasting Status","Code_206","44fe78fc-6273-4e09-a15f-64d591c3c062"
"C64567","NCI Thesaurus","","Molarity Unit","Code_207","e04bf07f-2a42-4e9a-972d-222964f715b4"
"C70713","NCI Thesaurus","","Biospecimen Type","Code_208","abd237fc-d90c-40ad-a647-f1fa73711c9d"
"C64809","NCI Thesaurus","","Sodium Measurement","Code_204","b7d7c032-0c50-4895-ac86-b3b64b0ab9ee"
"C173522","NCI Thesaurus","","Vital Signs Result","Code_210","56c08c0b-83a3-4ba6-9c3b-d490a068f36c"
"C42547","http://www.cdisc.org","2023-09-29","Pascal","Code_211","595e1f19-1daf-44dc-a314-e2b7791cc9b3"
"C49669","NCI Thesaurus","","Unit of Pressure","Code_212","86844c6a-006f-4abe-ba6c-7a4cc30aeda7"
"C83088","NCI Thesaurus","","Vital Signs Location","Code_213","1a9afeae-2318-4d67-b100-7c62c4207cf3"
"C123975","NCI Thesaurus","","Vital Signs Laterality","Code_214","c5ebdad2-fe6b-4e74-8c83-82067f4ee7b0"
"C82535","NCI Thesaurus","","Test Method","Code_215","356451bf-ea68-44ce-aadc-518a177a6fbb"
"C83114","NCI Thesaurus","","Vital Signs Position","Code_216","1a114345-365f-4219-88c7-6a7f6c4a53a4"
"C25298","NCI Thesaurus","","Systolic Blood Pressure","Code_209","7bdab43d-a6ff-4e98-bc32-e0dfb401975e"
"C173522","NCI Thesaurus","","Vital Signs Result","Code_218","2e12bbcb-282f-4012-a076-d1c67e635afa"
"C42547","http://www.cdisc.org","2023-09-29","Pascal","Code_219","e442370a-a1ad-4323-9f6f-eab6c8b15a42"
"C49669","NCI Thesaurus","","Unit of Pressure","Code_220","bbf899b8-2a9b-46fa-a7b3-08fadc1e4603"
"C83088","NCI Thesaurus","","Vital Signs Location","Code_221","1ff83151-c4b9-49f5-b19a-a49246038453"
"C123975","NCI Thesaurus","","Vital Signs Laterality","Code_222","967d66e1-dfbb-43f5-9299-0b0ea6c0622b"
"C82535","NCI Thesaurus","","Test Method","Code_223","ec2e6fa8-c9c4-4a5c-a883-9c9dd0534684"
"C83114","NCI Thesaurus","","Vital Signs Position","Code_224","a21fcb8a-0eea-46d7-a199-6104e4477a70"
"C25299","NCI Thesaurus","","Diastolic Blood Pressure","Code_217","45e3c744-8559-4b16-8177-8fd3137367fd"
"C173522","NCI Thesaurus","","Vital Signs Result","Code_226","9a5954a2-9788-49d6-ba79-833c104983f5"
"C42547","http://www.cdisc.org","2023-09-29","Pascal","Code_227","18192360-a657-431b-9f35-cd1211238f37"
"C49669","NCI Thesaurus","","Unit of Pressure","Code_228","6f690a97-b1bd-4113-b75c-41af8b795a2b"
"C83088","NCI Thesaurus","","Vital Signs Location","Code_229","f2312dcb-b5ab-4dca-8eaa-9429febe4586"
"C123975","NCI Thesaurus","","Vital Signs Laterality","Code_230","f9ddba94-6070-41a6-9d8d-3e7e22827495"
"C82535","NCI Thesaurus","","Test Method","Code_231","f3dfa7e6-c021-4839-ad35-da7e5da9439f"
"C83114","NCI Thesaurus","","Vital Signs Position","Code_232","ede7f23b-4587-47aa-9ed9-6a0cf0998f2e"
"C25298","NCI Thesaurus","","Systolic Blood Pressure","Code_225","236a9bcc-c777-4147-93e4-7af7525dddeb"
"C173522","NCI Thesaurus","","Vital Signs Result","Code_234","293d1c8c-9ca2-413c-867a-09e33f9d4a01"
"C42547","http://www.cdisc.org","2023-09-29","Pascal","Code_235","128f97f2-56c1-49b2-8178-76c77d278831"
"C49669","NCI Thesaurus","","Unit of Pressure","Code_236","27964dbc-636b-4e8e-958b-44d2098798ee"
"C83088","NCI Thesaurus","","Vital Signs Location","Code_237","e84f28cb-f169-4988-93b8-ca7bc2c8e829"
"C123975","NCI Thesaurus","","Vital Signs Laterality","Code_238","dc16580e-a552-4582-8f18-266c220da18f"
"C82535","NCI Thesaurus","","Test Method","Code_239","701496c5-bbb4-410c-abd4-f088a34f57aa"
