"text","name","id","sectionTitle","uuid:ID","sectionNumber"
"<div></div>","SECTION 6.6.1","NarrativeContent_43","Participant Assignment","ab3745f0-b5b9-4f60-b376-520bc9803586","6.6.1"
"<div></div>","SECTION 6.6.2","NarrativeContent_44","Randomisation","cfcb0562-4b4a-4860-9aec-00bc387b76e3","6.6.2"
"<div><p>The study will be double-blind. To further preserve the blinding of the study, only a minimum number of Lilly and CRO personnel will see the randomization table and codes before the study is complete.</p>
<p>Emergency codes generated by a computer drug-labeling system will be available to the investigator. These codes, which reveal the patients treatment group, may be opened during the study only if the choice of follow-up treatment depends on the patient’s therapy assignment.</p>
<p>The investigator should make every effort to contact the clinical research physician prior to unblinding a patient’s therapy assignment. If a patient’s therapy assignment is unblinded, Lilly must be notified immediately by telephone. After the study, the investigator must return all sealed and any opened codes.</p></div>","SECTION 6.6.3","NarrativeContent_45","Blinding and Unblinding","64cf6e1b-085f-4e45-961e-3fc8a54eb754","6.6.3"
"<div></div>","SECTION 6.7","NarrativeContent_46","Trial Intervention Compliance","0ff71a32-90c3-4cd0-9708-12792f119a86","6.7"
"<div></div>","SECTION 6.8","NarrativeContent_47","Concomitant Therapy","aa5e5e8e-db13-46f9-9a92-0b8db2f65fef","6.8"
"<div></div>","SECTION 6.8.1","NarrativeContent_48","Prohibited Concomitant Therapy","c0b3c7df-e83d-483e-9f36-cefa49ccffa1","6.8.1"
"<div></div>","SECTION 6.8.2","NarrativeContent_49","Permitted Concomitant Therapy","5d3a79f6-748c-42a1-8529-7f56c0725a73","6.8.2"
"<div></div>","SECTION 6.8.3","NarrativeContent_50","Rescue Therapy","ebafbd21-9575-4b95-ac65-ceb217e77601","6.8.3"
"<div></div>","SECTION 6.8.4","NarrativeContent_51","Other Therapy","2e4a56d4-631b-498c-9324-1f9e343a8517","6.8.4"
"<div></div>","SECTION 7","NarrativeContent_52","DISCONTINUATION OF TRIAL INTERVENTION AND PARTICIPANT WITHDRAWAL FROM TRIAL","ee69a4d2-dc6c-4770-a7fd-3f6b4f7ca4fa","7"
"<div></div>","SECTION 7.1","NarrativeContent_53","Discontinuation of Trial Intervention","1681d054-59af-40e9-bc53-98341cf0c47a","7.1"
"<div></div>","SECTION 7.1.1","NarrativeContent_54","Criteria for Permanent Discontinuation of Trial Intervention","a4c4826d-c01f-487f-aee7-313f4392156b","7.1.1"
"<div></div>","SECTION 7.1.2","NarrativeContent_55","Temporary Discontinuation or Interruption of Trial Intervention","1dbcca0f-1b28-40f4-9690-80ddf1e9015d","7.1.2"
"<div></div>","SECTION 7.1.3","NarrativeContent_56","Rechallenge","c13edddc-284a-402f-be1d-40dd4fffa48d","7.1.3"
"<div></div>","SECTION 7.2","NarrativeContent_57","Participant Withdrawal from the Trial","110b95e9-9ae7-4946-8a50-9aa69121b243","7.2"
"<div></div>","SECTION 7.3","NarrativeContent_58","Lost to Follow-Up","a515b84e-f381-4b0c-b256-a0bfa6a2c997","7.3"
"<div></div>","SECTION 7.4","NarrativeContent_59","Trial Stopping Rules","fb4cf6ed-460e-4626-9d9d-8705748d354c","7.4"
"<div></div>","SECTION 8","NarrativeContent_60","TRIAL ASSESSMENTS AND PROCEDURES","d6bba611-b2b7-471c-8889-a917996d631c","8"
"<div></div>","SECTION 8.1","NarrativeContent_61","Screening/Baseline Assessments and Procedures","8b899c4f-5ccf-4a7b-9c16-998e6894a6ec","8.1"
"<div></div>","SECTION 8.2","NarrativeContent_62","Efficacy Assessments and Procedures","3195846e-39c5-43f5-885a-9e411a7b7c04","8.2"
"<div></div>","SECTION 8.3","NarrativeContent_63","Safety Assessments and Procedures","97ef21da-bf86-464e-bd90-61212a9abe18","8.3"
"<div></div>","SECTION 8.3.1","NarrativeContent_64","Physical Examination","0c7b79ff-8a19-4f99-beb1-72bfc71e0034","8.3.1"
"<div></div>","SECTION 8.3.2","NarrativeContent_65","Vital Signs","ba6f5e62-d2b4-40f6-af28-014105fbe1dc","8.3.2"
"<div></div>","SECTION 8.3.3","NarrativeContent_66","Electrocardiograms","112cccae-9030-4bcb-9c12-1ed8c9263861","8.3.3"
"<div></div>","SECTION 8.3.4","NarrativeContent_67","Clinical Laboratory Assessments","e3d1f5ca-1764-45dc-a38d-ff98bb363f06","8.3.4"
"<div></div>","SECTION 8.3.5","NarrativeContent_68","Suicidal Ideation and Behaviour Risk Monitoring","e1f1e260-2f3c-4fa7-a9a8-b8becdb6c1f2","8.3.5"
"<div></div>","SECTION 8.4","NarrativeContent_69","Adverse Events and Serious Adverse Events","2f341857-9f98-4745-aaab-7623783872f3","8.4"
"<div></div>","SECTION 8.4.1","NarrativeContent_70","Definitions of AE and SAE","76cb77be-612f-4e8b-8b1e-ca0b1bd9241d","8.4.1"
"<div></div>","SECTION 8.4.2","NarrativeContent_71","Time Period and Frequency for Collecting AE and SAE Information","353caa69-4636-43a4-9311-27d234653815","8.4.2"
"<div></div>","SECTION 8.4.3","NarrativeContent_72","Identifying AEs and SAEs","b99c4fd6-5256-4beb-897c-c2927e120d63","8.4.3"
"<div></div>","SECTION 8.4.4","NarrativeContent_73","Recording of AEs and SAEs","f7b5a0a8-91d6-44d8-8bb2-159ce3313825","8.4.4"
"<div></div>","SECTION 8.4.5","NarrativeContent_74","Follow-up of AEs and SAEs","f2f1b8ad-1b6c-42d7-bfd2-2ac4724e2980","8.4.5"
"<div></div>","SECTION 8.4.6","NarrativeContent_75","Reporting of SAEs","2466632f-d186-412f-a68e-e4e54d8cc6b7","8.4.6"
"<div></div>","SECTION 8.4.7","NarrativeContent_76","Regulatory Reporting Requirements for SAEs","d4390e39-a3b3-4f90-8389-23cc708f1149","8.4.7"
"<div></div>","SECTION 8.4.8","NarrativeContent_77","Serious and Unexpected Adverse Reaction Reporting","c0e9d4e6-850d-4997-9a17-a13edf6c2456","8.4.8"
"<div></div>","SECTION 8.4.9","NarrativeContent_78","Adverse Events of Special Interest","21a85fcd-197c-4f4e-a05f-30816bbda381","8.4.9"
"<div></div>","SECTION 8.4.10","NarrativeContent_79","Disease-related Events or Outcomes Not Qualifying as AEs or SAEs","5803bb2c-6f25-4efe-9e63-a1b7628e996f","8.4.10"
"<div></div>","SECTION 8.5","NarrativeContent_80","Pregnancy and Postpartum Information","aee0bc1b-a0a7-463b-b320-559464cf4fa9","8.5"
"<div></div>","SECTION 8.5.1","NarrativeContent_81","Participants Who Become Pregnant During the Trial","a6c5f589-8c21-49c9-9ed9-2335526a9932","8.5.1"
"<div></div>","SECTION 8.5.2","NarrativeContent_82","Participants Whose Partners Become Pregnant","1b58ccab-62da-4526-8946-a1064016b17d","8.5.2"
"<div></div>","SECTION 8.6","NarrativeContent_83","Medical Device Product Complaints for Drug/Device Combination Products","b04fcce4-3b11-4fa8-9d08-4190ea9e325e","8.6"
"<div></div>","SECTION 8.6.1","NarrativeContent_84","Definition of Medical Device Product Complaints","aa9f2514-afd2-4d0f-b1b5-013a57eadedf","8.6.1"
"<div></div>","SECTION 8.6.2","NarrativeContent_85","Recording of Medical Device Product Complaints","f34e41fa-de2a-4b92-88c2-8cc838653963","8.6.2"
"<div></div>","SECTION 8.6.3","NarrativeContent_86","Time Period and Frequency for Collecting Medical Device Product Complaints .","c17e9624-50be-452b-a096-0bd114f0660e","8.6.3"
"<div></div>","SECTION 8.6.4","NarrativeContent_87","Follow-Up of Medical Device Product Complaints","78b99c70-5b4c-454e-a259-8f0b90a55e82","8.6.4"
"<div></div>","SECTION 8.6.5","NarrativeContent_88","Regulatory Reporting Requirements for Medical Device Product Complaints","a5111437-1864-4175-92d7-61c53f2ed3ff","8.6.5"
"<div></div>","SECTION 8.7","NarrativeContent_89","Pharmacokinetics","256fa526-b8e6-4623-98af-900f0d0446c8","8.7"
"<div></div>","SECTION 8.8","NarrativeContent_90","Genetics","b45b4845-b5c9-4c11-9787-77ff4684ba17","8.8"
"<div></div>","SECTION 8.9","NarrativeContent_91","Biomarkers","3dca897e-aad4-47f3-b842-26a755f56f8c","8.9"
"<div></div>","SECTION 8.1","NarrativeContent_92","Immunogenicity Assessments","1d66b4e5-747b-46d2-9801-601ee511b624","8.1"
"<div></div>","SECTION 8.1.1","NarrativeContent_93","Medical Resource Utilisation and Health Economics","42bc54b2-10cd-45f7-b95c-29a529ba4d58","8.1.1"
"<div></div>","SECTION 9","NarrativeContent_94","STATISTICAL CONSIDERATIONS","18d79912-c18b-4061-9243-7ac160492c31","9"
"<div></div>","SECTION 9.1","NarrativeContent_95","Analysis Sets","72cd8713-c28c-440d-83bb-d280d5b70fb4","9.1"
"<div></div>","SECTION 9.2","NarrativeContent_96","Analyses Supporting Primary Objective(s)","e4a6dd65-a290-44c0-b7ea-eb22416bd2e8","9.2"
"<div></div>","SECTION 9.2.1","NarrativeContent_97","Statistical Model, Hypothesis, and Method of Analysis","996703b6-6814-46ce-8f09-3487e4990880","9.2.1"
"<div></div>","SECTION 9.2.2","NarrativeContent_98","Handling of Intercurrent Events of Primary Estimand(s)","551cea7a-30ab-4e08-a16f-a105f8124cb4","9.2.2"
"<div></div>","SECTION 9.2.3","NarrativeContent_99","Handling of Missing Data","6105ffbe-3438-4154-8331-cb0b6833e87c","9.2.3"
"<div></div>","SECTION 9.2.4","NarrativeContent_100","Sensitivity Analysis","9dab2cc1-dbea-4966-85f4-1e192af78505","9.2.4"
"<div></div>","SECTION 9.2.5","NarrativeContent_101","Supplementary Analysis","a66ed140-f854-4f10-a60e-81012f5d92ea","9.2.5"
"<div></div>","SECTION 9.3","NarrativeContent_102","Analysis Supporting Secondary Objective(s)","b5a96af3-4d2a-40fb-987c-7c6e435b3d85","9.3"
"<div></div>","SECTION 9.4","NarrativeContent_103","Analysis of Exploratory Objective(s)","3d9b7221-bc1b-4dce-8daf-d90f9e58521f","9.4"
"<div></div>","SECTION 9.5","NarrativeContent_104","Safety Analyses","c81c742f-d556-4bfe-bf79-806eae069e7c","9.5"
"<div></div>","SECTION 9.6","NarrativeContent_105","Other Analyses","1c766ce1-390e-476c-a47a-be3635101a0b","9.6"
"<div></div>","SECTION 9.7","NarrativeContent_106","Interim Analyses","951a4f2e-3c47-445c-ad75-b8c05a27c803","9.7"
"<div></div>","SECTION 9.8","NarrativeContent_107","Sample Size Determination","4acf7c30-e6f2-408a-a930-6ce8dd45bae1","9.8"
"<div></div>","SECTION 9.9","NarrativeContent_108","Protocol Deviations","7cb2a3f7-9be6-4f58-ba17-fae0fdd6b1d2","9.9"
"<div></div>","SECTION 10","NarrativeContent_109","GENERAL CONSIDERATIONS: REGULATORY, ETHICAL, AND TRIAL OVERSIGHT","e34c763e-d0bc-4ff3-874e-eb6015320b4d","10"
"<div></div>","SECTION 10.1","NarrativeContent_110","Regulatory and Ethical Considerations","2ae0a538-b774-458f-bd11-6835886e6dd8","10.1"
"<div></div>","SECTION 10.2","NarrativeContent_111","Committees","f5e5a8b4-abf6-449c-a9db-6c3d01496e39","10.2"
"<div></div>","SECTION 10.3","NarrativeContent_112","Informed Consent Process","76f32e9f-3e68-456e-a221-7783173320aa","10.3"
"<div></div>","SECTION 10.4","NarrativeContent_113","Data Protection","28ec2e78-c77c-47a7-b64d-7976ea59ffc6","10.4"
"<div></div>","SECTION 10.5","NarrativeContent_114","Early Site Closure or Trial Termination","66e058f2-923a-43de-8d7c-05bba7667512","10.5"
"<div></div>","SECTION 11","NarrativeContent_115","GENERAL CONSIDERATIONS: RISK MANAGEMENT AND QUALITY ASSURANCE","622f0cea-9c6f-4ec4-8d0d-1bdc742cfd70","11"
"<div></div>","SECTION 11.1","NarrativeContent_116","Quality Tolerance Limits","98399c9c-a4af-4739-a555-22cdb65d1be0","11.1"
"<div></div>","SECTION 11.2","NarrativeContent_117","Data Quality Assurance","f9110b28-5d32-4b64-abcc-77647a984104","11.2"
"<div></div>","SECTION 11.3","NarrativeContent_118","Source Data","f11f3e47-852b-4909-a34f-1c83bb6b6794","11.3"
"<div></div>","SECTION 12","NarrativeContent_119","APPENDIX: ADVERSE EVENTS AND SERIOUS ADVERSE EVENTS - DEFINITIONS, SEVERITY, AND CAUSALITY","48b77620-88d3-4e0e-88f3-52f07d233d7b","12"
"<div></div>","SECTION 12.1","NarrativeContent_120","Further Details and Clarifications on the AE Definition","aef5ff34-5a10-42f7-8b5b-00bdf209336b","12.1"
"<div></div>","SECTION 12.2","NarrativeContent_121","Further Details and Clarifications on the SAE Definition","410c579f-5e44-463c-8c91-3c8ca1d10d81","12.2"
"<div></div>","SECTION 12.3","NarrativeContent_122","Severity","ccfc7c7a-fdd1-416c-8241-dfcad0ab5584","12.3"
"<div></div>","SECTION 12.4","NarrativeContent_123","Causality","dd17284f-0d52-41c2-b6ad-c0cc1860b22c","12.4"
"<div></div>","SECTION 13","NarrativeContent_124","APPENDIX: DEFINITIONS AND SUPPORTING OPERATIONAL DETAILS","f3116ac0-091b-4d95-94dd-398a3438fa53","13"
"<div></div>","SECTION 13.1","NarrativeContent_125","Contraception and Pregnancy Testing","1d095a60-b8ec-4705-8c60-bfa335a792a0","13.1"
"<div></div>","SECTION 13.1.1","NarrativeContent_126","Definitions Related to Childbearing Potential","175d0613-493e-48e5-8d07-683aa71f0a58","13.1.1"
"<div></div>","SECTION 13.1.2","NarrativeContent_127","Contraception","2b1c1fe5-348a-45c6-a1de-3613114e1e46","13.1.2"
"<div></div>","SECTION 13.1.3","NarrativeContent_128","Pregnancy Testing","c93cc6e8-1a48-4c93-8278-2d84fceafb4a","13.1.3"
"<div></div>","SECTION 13.2","NarrativeContent_129","Clinical Laboratory Tests","5b8dfba8-9a01-483b-9416-c8c27bb4f5dd","13.2"
"<div></div>","SECTION 13.3","NarrativeContent_130","Country/Region-Specific Differences","5cc1dd4f-6cf7-4458-be68-3fad690effd7","13.3"
"<div></div>","SECTION 13.4","NarrativeContent_131","Prior Protocol Amendments","06cb093b-7222-42a9-b49d-f712c33146bd","13.4"
"<div></div>","SECTION 14","NarrativeContent_132","APPENDIX: GLOSSARY OF TERMS","64c99bbf-d0c7-431f-878c-f2b1651f659e","14"
"<div></div>","SECTION 15","NarrativeContent_133","APPENDIX: REFERENCES","0aacc5e1-fe75-4c87-b417-4e7f424a8e25","15"
