"name","bcPropertyRequired","bcPropertyDatatype","label","bcPropertyResponseCodes","id","bcPropertyEnabled","uuid:ID"
"Laboratory Test Result","True","string","Laboratory Test Result","[]","BiomedicalConceptProperty_109","True","924e561c-2d29-4131-a511-0cef7cd4ab3b"
"Laboratory Test Fasting Status","True","boolean","Laboratory Test Fasting Status","[]","BiomedicalConceptProperty_110","True","f745fe95-cc09-47a4-85cd-c1acbf41fb74"
"Unit of Concentration","True","string","Unit of Concentration","[]","BiomedicalConceptProperty_111","True","2cde24fa-1bf0-4a8e-a4fa-25d47d3b2b76"
"Biospecimen Type","True","string","Biospecimen Type","[]","BiomedicalConceptProperty_112","True","0d614b35-7203-4c74-bd34-8f6c9de238eb"
"Laboratory Test Result","True","decimal","Laboratory Test Result","[]","BiomedicalConceptProperty_113","True","f32f09d1-fac4-497c-8947-d109f06d2e2c"
"Laboratory Test Fasting Status","True","boolean","Laboratory Test Fasting Status","[]","BiomedicalConceptProperty_114","True","a58c4258-4dc2-4258-938d-1d9668d9857f"
"Molarity Unit","True","string","Molarity Unit","[]","BiomedicalConceptProperty_115","True","aa916239-1c34-4405-b7d0-1daf9f065e35"
"Biospecimen Type","True","string","Biospecimen Type","[]","BiomedicalConceptProperty_116","True","d7811d31-2f17-4e03-806a-ba1d3730f5c3"
"Laboratory Test Result","True","decimal","Laboratory Test Result","[]","BiomedicalConceptProperty_117","True","232c2a13-1d2e-48fd-8cdc-c898a1ee8618"
"Laboratory Test Fasting Status","True","boolean","Laboratory Test Fasting Status","[]","BiomedicalConceptProperty_118","True","af6aa3fc-b001-43cc-98e9-6185be71cc01"
"Molarity Unit","True","string","Molarity Unit","[]","BiomedicalConceptProperty_119","True","e2bfb234-fee3-4d88-aa54-af72b22855c3"
"Biospecimen Type","True","string","Biospecimen Type","[]","BiomedicalConceptProperty_120","True","e9804dd8-4665-4237-9c65-c5bc8bcd1488"
"Adverse Event Verbatim Description","True","string","Adverse Event Verbatim Description","[]","BiomedicalConceptProperty_1","True","1c80313e-691e-45e6-aa04-b78dda704365"
"Adverse Event Dictionary Derived Term","True","string","Adverse Event Dictionary Derived Term","[]","BiomedicalConceptProperty_2","True","7372ed8b-f3e7-4774-8a3b-fcadc7adcb2b"
"Adverse Event Category","True","string","Adverse Event Category","[]","BiomedicalConceptProperty_3","True","276ceb29-e8c3-47e9-91be-9cedd2d5d528"
"Adverse Event Subcategory","True","string","Adverse Event Subcategory","[]","BiomedicalConceptProperty_4","True","88679e5b-4211-41b1-bf86-3a3efc21672e"
"Adverse Event Pre-specified","True","boolean","Adverse Event Pre-specified","[]","BiomedicalConceptProperty_5","True","baee1051-c2c0-4971-af53-986ab61ddb23"
"Severity of Adverse Event","True","string","Severity of Adverse Event","[]","BiomedicalConceptProperty_6","True","266371ae-31b4-4397-a125-faf7e6036bc6"
"Adverse Event Toxicity Grade","True","string","Adverse Event Toxicity Grade","[]","BiomedicalConceptProperty_7","True","539d7617-1554-43df-9fa6-70d0a3cf1620"
"Seriousness of Adverse Event","True","boolean","Seriousness of Adverse Event","[]","BiomedicalConceptProperty_8","True","2ef73e61-94cd-483f-be4d-bb7aa7842b71"
"Adverse Event Action Taken with Study Treatment","True","string","Adverse Event Action Taken with Study Treatment","","BiomedicalConceptProperty_9","True","53927dda-7c1e-4274-93be-9c054325dc2b"
"Adverse Event Attribution to Product or Procedure","True","string","Adverse Event Attribution to Product or Procedure","[]","BiomedicalConceptProperty_10","True","777fd615-b8f3-4f86-b3ce-70fa74a14e2c"
"Adverse Event Pattern","True","string","Adverse Event Pattern","[]","BiomedicalConceptProperty_11","True","da52e800-3b28-4afb-ae42-6dffd92557d1"
"Adverse Event Outcome","True","string","Adverse Event Outcome","","BiomedicalConceptProperty_12","True","5bc431a5-34bc-4a91-acfe-ae138464f65d"
"Adverse Event Start Date Time","True","datetime","Adverse Event Start Date Time","[]","BiomedicalConceptProperty_13","True","922dc25f-ab9a-4812-8121-56de2ee70a8e"
"Adverse Event End Date Time","True","datetime","Adverse Event End Date Time","[]","BiomedicalConceptProperty_14","True","03f04384-24e1-4bc7-92a6-942714f45a6f"
"Vital Signs Result","True","decimal","Vital Signs Result","[]","BiomedicalConceptProperty_15","True","7dc62663-86ec-4252-a875-0c8b63bd29a1"
"Unit of Pressure","True","string","Unit of Pressure","","BiomedicalConceptProperty_16","True","ab0fefb4-4985-4409-97d8-bbb6a87dd030"
"Vital Signs Location","True","string","Vital Signs Location","[]","BiomedicalConceptProperty_17","True","e6ec0751-9c94-4e29-9054-732dd5d1330a"
"Vital Signs Laterality","True","string","Vital Signs Laterality","[]","BiomedicalConceptProperty_18","True","f448c5dd-4e7a-448b-8147-7c1621ebba56"
"Test Method","True","string","Test Method","[]","BiomedicalConceptProperty_19","True","607c2276-6651-4ca1-8f49-5e3a1470bcf3"
"Vital Signs Position","True","string","Vital Signs Position","[]","BiomedicalConceptProperty_20","True","64ba3063-6cb1-4a32-a030-f5ef934d228f"
"Vital Signs Result","True","decimal","Vital Signs Result","[]","BiomedicalConceptProperty_21","True","a5feb370-a4ea-4be2-9f30-879a5b323b62"
"Unit of Pressure","True","string","Unit of Pressure","","BiomedicalConceptProperty_22","True","d9cce939-17ed-4009-8978-b2850f141ef3"
"Vital Signs Location","True","string","Vital Signs Location","[]","BiomedicalConceptProperty_23","True","d691b29c-a1e3-48a3-be81-274257d1f076"
"Vital Signs Laterality","True","string","Vital Signs Laterality","[]","BiomedicalConceptProperty_24","True","565a7123-4e0c-40d0-8ed6-0f723f855aba"
"Test Method","True","string","Test Method","[]","BiomedicalConceptProperty_25","True","f68333f3-7019-4f6a-b077-2b66961e796b"
"Vital Signs Position","True","string","Vital Signs Position","[]","BiomedicalConceptProperty_26","True","60076353-92e3-4116-b716-a494321e591b"
"Vital Signs Result","True","decimal","Vital Signs Result","[]","BiomedicalConceptProperty_27","True","00565e99-f402-4399-a8f4-cf6714c39f34"
"Unit of Temperature","True","string","Unit of Temperature","","BiomedicalConceptProperty_28","True","aed57415-2bc4-495b-a7a2-cbaa02094514"
"Vital Signs Location","True","string","Vital Signs Location","[]","BiomedicalConceptProperty_29","True","14be6469-61fd-402d-b874-e2a337a89d12"
"Vital Signs Result","True","decimal","Vital Signs Result","[]","BiomedicalConceptProperty_30","True","76c385dc-6725-4c92-8353-cd9b61ee9fc3"
"Unit of Weight","True","string","Unit of Weight","","BiomedicalConceptProperty_31","True","f8a6be5c-fa22-41a7-ba97-5d918e7a60cd"
"Vital Signs Result","True","decimal","Vital Signs Result","[]","BiomedicalConceptProperty_32","True","4910966f-b9bc-478c-8378-2dceabd30a1c"
"Unit of Height","True","string","Unit of Height","","BiomedicalConceptProperty_33","True","75ab6cc8-32a0-4d10-b838-79441e062cda"
"Laboratory Test Result","True","decimal","Laboratory Test Result","[]","BiomedicalConceptProperty_34","True","e376fefa-64cb-498a-bcb5-6c1e00666d85"
"Laboratory Test Fasting Status","True","boolean","Laboratory Test Fasting Status","[]","BiomedicalConceptProperty_35","True","79a074f9-01c2-42c2-8705-578ec54d5164"
"Unit of Catalytic Activity Concentration","True","string","Unit of Catalytic Activity Concentration","[]","BiomedicalConceptProperty_36","True","588b1a47-dec0-4842-b012-4da3d9904b31"
"Biospecimen Type","True","string","Biospecimen Type","[]","BiomedicalConceptProperty_37","True","4259dec4-1e71-420d-ac61-db07ade0ba60"
"Laboratory Test Result","True","string","Laboratory Test Result","[]","BiomedicalConceptProperty_38","True","bd9e2f2d-8035-4296-84e6-efa25f4f1fdf"
"Laboratory Test Fasting Status","True","boolean","Laboratory Test Fasting Status","[]","BiomedicalConceptProperty_39","True","f936e38c-0653-4a53-a69c-471d2685c73e"
"Unit of Concentration","True","string","Unit of Concentration","[]","BiomedicalConceptProperty_40","True","ffa40582-1908-44f7-aae2-f09bf1ea755e"
"Biospecimen Type","True","string","Biospecimen Type","[]","BiomedicalConceptProperty_41","True","f0d932f1-cbc6-416d-bbd6-964c24967924"
"Laboratory Test Result","True","decimal","Laboratory Test Result","[]","BiomedicalConceptProperty_42","True","0fb01683-9b27-4e12-8740-fe89c97baf5b"
"Laboratory Test Fasting Status","True","boolean","Laboratory Test Fasting Status","[]","BiomedicalConceptProperty_43","True","61118802-d531-49a1-bf98-9bcc2495a2ca"
"Unit of Catalytic Activity Concentration","True","string","Unit of Catalytic Activity Concentration","[]","BiomedicalConceptProperty_44","True","4f4edca2-37b2-4441-853d-ab6d77a9e4cc"
"Biospecimen Type","True","string","Biospecimen Type","[]","BiomedicalConceptProperty_45","True","cb595bfb-7766-4b87-a4c1-eae39fc40baf"
"Laboratory Test Result","True","decimal","Laboratory Test Result","[]","BiomedicalConceptProperty_46","True","8d8076b3-7d79-4146-8f95-164ee6a2ba34"
"Laboratory Test Fasting Status","True","boolean","Laboratory Test Fasting Status","[]","BiomedicalConceptProperty_47","True","9ca48fd2-35cf-4e5f-9410-becbeee5fc19"
"Unit of Catalytic Activity Concentration","True","string","Unit of Catalytic Activity Concentration","[]","BiomedicalConceptProperty_48","True","427c7a77-fc9c-4b23-8fe8-49b5c5f46706"
"Biospecimen Type","True","string","Biospecimen Type","[]","BiomedicalConceptProperty_49","True","4d294601-969e-44ce-8795-6583788eaec9"
"Laboratory Test Result","True","string","Laboratory Test Result","[]","BiomedicalConceptProperty_50","True","4c03a254-9224-46d9-a1a7-04ed3f5e8f1b"
"Laboratory Test Fasting Status","True","boolean","Laboratory Test Fasting Status","[]","BiomedicalConceptProperty_51","True","c815ea16-f019-44c8-826b-e7ac61fdffee"
"Unit of Concentration","True","string","Unit of Concentration","[]","BiomedicalConceptProperty_52","True","47500ae6-a931-496a-a864-abd13425d30a"
"Biospecimen Type","True","string","Biospecimen Type","[]","BiomedicalConceptProperty_53","True","2fb5c5bc-7a90-4f82-9a3e-3641798cbac8"
"Laboratory Test Result","True","decimal","Laboratory Test Result","[]","BiomedicalConceptProperty_54","True","c806500c-6a70-4992-9efb-4733cf0a5b9e"
"Laboratory Test Fasting Status","True","boolean","Laboratory Test Fasting Status","[]","BiomedicalConceptProperty_55","True","32b23e1f-e480-4ca0-9d0b-f9c3928971cd"
"Molarity Unit","True","string","Molarity Unit","[]","BiomedicalConceptProperty_56","True","8c140de4-880f-4534-b97c-155cd892f45e"
"Biospecimen Type","True","string","Biospecimen Type","[]","BiomedicalConceptProperty_57","True","2f7c996e-1217-4fea-b2d4-bd5226cf407b"
"Laboratory Test Result","True","decimal","Laboratory Test Result","[]","BiomedicalConceptProperty_58","True","c7e6acd1-8ed1-4f2c-a944-f09106c4d1ec"
"Laboratory Test Fasting Status","True","boolean","Laboratory Test Fasting Status","[]","BiomedicalConceptProperty_59","True","b0ae9fde-37f7-4e8c-b103-d2fd47c10113"
"Molarity Unit","True","string","Molarity Unit","[]","BiomedicalConceptProperty_60","True","e9f121a5-0a56-49bd-bedc-71ec7e646a40"
"Biospecimen Type","True","string","Biospecimen Type","[]","BiomedicalConceptProperty_61","True","0c1e058d-0272-4ceb-8924-7908589debf5"
"Vital Signs Result","True","decimal","Vital Signs Result","[]","BiomedicalConceptProperty_62","True","f1cdabd9-af3e-44ac-a8c9-c3ac1219cd65"
"Unit of Pressure","True","string","Unit of Pressure","","BiomedicalConceptProperty_63","True","cb356e23-175e-4b09-ac1a-e627e8906c64"
"Vital Signs Location","True","string","Vital Signs Location","[]","BiomedicalConceptProperty_64","True","415a08f9-7d07-4c3a-9f56-2f2d9ef6945b"
"Vital Signs Laterality","True","string","Vital Signs Laterality","[]","BiomedicalConceptProperty_65","True","8dd412c1-9544-49b1-ab4c-fb6bfe03e81d"
"Test Method","True","string","Test Method","[]","BiomedicalConceptProperty_66","True","da4a9590-0686-4925-8f4f-f730acd84184"
"Vital Signs Position","True","string","Vital Signs Position","[]","BiomedicalConceptProperty_67","True","9eb707cd-cbfe-4833-889a-4065650f8e16"
"Vital Signs Result","True","decimal","Vital Signs Result","[]","BiomedicalConceptProperty_68","True","fdaced85-f097-4f6c-8023-b7bb828db0e8"
"Unit of Pressure","True","string","Unit of Pressure","","BiomedicalConceptProperty_69","True","7173ad10-43b7-4deb-bc6c-5b2178e6a5bb"
"Vital Signs Location","True","string","Vital Signs Location","[]","BiomedicalConceptProperty_70","True","5d7c84c7-cef6-4894-b802-cd68507d265b"
"Vital Signs Laterality","True","string","Vital Signs Laterality","[]","BiomedicalConceptProperty_71","True","8fc46e52-bb7e-4d62-af94-2748bc6ca82b"
"Test Method","True","string","Test Method","[]","BiomedicalConceptProperty_72","True","7fcf6fff-73e7-42d6-8790-f8425da37bca"
"Vital Signs Position","True","string","Vital Signs Position","[]","BiomedicalConceptProperty_73","True","79ef849d-751e-4f0f-b424-59acaa33e2ab"
"Vital Signs Result","True","decimal","Vital Signs Result","[]","BiomedicalConceptProperty_74","True","767da472-b41e-4062-82f4-95db1d2b26e6"
"Unit of Pressure","True","string","Unit of Pressure","","BiomedicalConceptProperty_75","True","35f68aa0-eefc-4c09-b313-59150031ecbe"
"Vital Signs Location","True","string","Vital Signs Location","[]","BiomedicalConceptProperty_76","True","cfc3c4f3-75b2-46db-9530-ecdacd02a92e"
"Vital Signs Laterality","True","string","Vital Signs Laterality","[]","BiomedicalConceptProperty_77","True","1473244c-c511-48e8-b31f-9676841e45b8"
"Test Method","True","string","Test Method","[]","BiomedicalConceptProperty_78","True","4e4d847d-adc8-48fd-b9dd-24f4e980ddb7"
"Vital Signs Position","True","string","Vital Signs Position","[]","BiomedicalConceptProperty_79","True","1d60a672-2c09-43ad-b016-7df300218b67"
"Vital Signs Result","True","decimal","Vital Signs Result","[]","BiomedicalConceptProperty_80","True","8a127e32-7517-4d75-86eb-fa4eafc4a7fc"
"Unit of Pressure","True","string","Unit of Pressure","","BiomedicalConceptProperty_81","True","f6435f10-e402-4db4-98e6-1145c0d95ead"
"Vital Signs Location","True","string","Vital Signs Location","[]","BiomedicalConceptProperty_82","True","c2edb978-c241-4aaa-be6b-a5b8cc88ad9c"
"Vital Signs Laterality","True","string","Vital Signs Laterality","[]","BiomedicalConceptProperty_83","True","dc849586-7591-4983-a54d-cfba0c3532f4"
"Test Method","True","string","Test Method","[]","BiomedicalConceptProperty_84","True","5ddd87b9-8324-4a8d-99e3-a3ae43a06bbd"
"Vital Signs Position","True","string","Vital Signs Position","[]","BiomedicalConceptProperty_85","True","a0ad3d53-27ef-4895-85b2-4cd5df381e92"
