"codeSystem","decode","codeSystemVersion","code","id","uuid:ID"
"NCI Thesaurus","Laboratory Test Result","","C36292","Code_182","5410cf42-c63d-4e86-972c-4437468ea8fe"
"NCI Thesaurus","Laboratory Test Fasting Status","","C83309","Code_183","b33be0e1-877b-4572-88e0-6497ee48e636"
"NCI Thesaurus","Unit of Concentration","","C48207","Code_184","1b72842f-8caf-4059-977d-b5af6e36b2bb"
"NCI Thesaurus","Biospecimen Type","","C70713","Code_185","e3312989-e5d8-486c-b097-7fcf1620159b"
"NCI Thesaurus","Albumin Measurement","","C64431","Code_181","47a7a023-129a-4f89-9a55-7e39a9b9d9a8"
"NCI Thesaurus","Laboratory Test Result","","C36292","Code_187","07dea893-b77c-470b-bf13-ff74184ab2b7"
"NCI Thesaurus","Laboratory Test Fasting Status","","C83309","Code_188","6342e568-f83b-4c63-a781-b244b6ad66a9"
"NCI Thesaurus","Unit of Catalytic Activity Concentration","","C67365","Code_189","5de911e4-fe2e-46a8-9a32-d4f8a8d7c03a"
"NCI Thesaurus","Biospecimen Type","","C70713","Code_190","56fd1c74-7a17-4f0e-a648-15c65562de6c"
"NCI Thesaurus","Alkaline Phosphatase Measurement","","C64432","Code_186","676ba3fc-5030-40cf-a1fc-c0322380d35e"
"NCI Thesaurus","Laboratory Test Result","","C36292","Code_192","c6508aef-0c69-487a-b4fd-c1ae3ca3a8d5"
"NCI Thesaurus","Laboratory Test Fasting Status","","C83309","Code_193","2a229dd6-2555-473e-a8c8-b687f0566392"
"NCI Thesaurus","Unit of Catalytic Activity Concentration","","C67365","Code_194","cf7a4821-164d-4788-a1e3-e58ed724c840"
"NCI Thesaurus","Biospecimen Type","","C70713","Code_195","7944ca00-8f5e-42f8-8354-924a17d03e8a"
"NCI Thesaurus","Aspartate Aminotransferase Measurement","","C64467","Code_191","8b6785f2-3a2e-4b19-a72f-aa5abe9bed08"
"NCI Thesaurus","Laboratory Test Result","","C36292","Code_197","6c799377-dd78-4e72-83bb-6034a474d97d"
"NCI Thesaurus","Laboratory Test Fasting Status","","C83309","Code_198","407ecdef-215e-45bf-bcb8-06024e931066"
"NCI Thesaurus","Unit of Concentration","","C48207","Code_199","b6a813dc-b54b-4f3f-beca-14249faa5c45"
"NCI Thesaurus","Biospecimen Type","","C70713","Code_200","52062a77-4038-4fd3-b42f-d89f282ad02d"
"NCI Thesaurus","Creatinine Measurement","","C64547","Code_196","3a751d86-ac96-4a60-a833-8a8725564f92"
"NCI Thesaurus","Laboratory Test Result","","C36292","Code_202","54ba79be-5509-4cc1-ac35-b4da4be57575"
"NCI Thesaurus","Laboratory Test Fasting Status","","C83309","Code_203","5ba649b2-33f1-4a48-a83b-c7d52f476ae4"
"NCI Thesaurus","Molarity Unit","","C64567","Code_204","39e3c5c5-6d04-4da7-ae35-0edbaf9f441c"
"NCI Thesaurus","Biospecimen Type","","C70713","Code_205","f8a7b23a-6b05-472f-bb5c-7b1e5a34f440"
"NCI Thesaurus","Potassium Measurement","","C64853","Code_201","a099eb5c-096e-42c4-812b-00972cdb3d71"
"NCI Thesaurus","Laboratory Test Result","","C36292","Code_207","611ca007-f234-49d2-812c-7e6995db72be"
"NCI Thesaurus","Laboratory Test Fasting Status","","C83309","Code_208","d718b1a3-b6f8-4bd0-ba72-4159ed9311a6"
"NCI Thesaurus","Molarity Unit","","C64567","Code_209","28724f1e-1299-4ac7-8830-964642e1cc1c"
"NCI Thesaurus","Biospecimen Type","","C70713","Code_210","f1f83cdd-b623-49c1-adbe-95960183d68d"
"NCI Thesaurus","Sodium Measurement","","C64809","Code_206","931d3797-f3ab-444d-ba85-9846f1f4e95e"
"NCI Thesaurus","Vital Signs Result","","C173522","Code_212","14c8c0e6-89b6-4943-915c-8981a02a6386"
"http://www.cdisc.org","Pascal","2023-09-29","C42547","Code_213","6ef184f0-719b-4977-b377-0ed0f271909a"
"NCI Thesaurus","Unit of Pressure","","C49669","Code_214","2a781a71-2b25-49f4-8b36-a52975e669fa"
"NCI Thesaurus","Vital Signs Location","","C83088","Code_215","173e137b-6d5c-42bb-97a0-e792887fc990"
"NCI Thesaurus","Vital Signs Laterality","","C123975","Code_216","3f55215b-8a9a-4e61-ac45-09e007806ad6"
"NCI Thesaurus","Test Method","","C82535","Code_217","be9ce93f-86a8-405b-b238-c3a921511150"
"NCI Thesaurus","Vital Signs Position","","C83114","Code_218","e8b4231e-9d17-46f7-9d2a-b588f103efba"
"NCI Thesaurus","Systolic Blood Pressure","","C25298","Code_211","561a4895-25c3-45b7-96b7-58a961585973"
"NCI Thesaurus","Vital Signs Result","","C173522","Code_220","62d53444-eef1-4904-848c-9c737dd79267"
"http://www.cdisc.org","Pascal","2023-09-29","C42547","Code_221","b1e0c315-bf93-4cf7-ad59-ca630f468596"
"NCI Thesaurus","Unit of Pressure","","C49669","Code_222","886318d4-00ca-432e-840c-3e8d1bf4fe7f"
"NCI Thesaurus","Vital Signs Location","","C83088","Code_223","d1114a63-4526-48dc-a422-1d4c2fcf26ec"
"NCI Thesaurus","Vital Signs Laterality","","C123975","Code_224","687ab58c-8257-4a2e-abf1-1d32b42e8cfb"
"NCI Thesaurus","Test Method","","C82535","Code_225","c6970b58-115b-471c-8dd4-619d529140f4"
"NCI Thesaurus","Vital Signs Position","","C83114","Code_226","3e5655f4-594f-463e-a421-8ce5ddf1cad2"
"NCI Thesaurus","Diastolic Blood Pressure","","C25299","Code_219","27678fcd-772b-4d6a-8eb2-8e0c97cb033c"
"NCI Thesaurus","Vital Signs Result","","C173522","Code_228","490153e2-ecb5-407b-a3f0-39da5d3fb8f4"
"http://www.cdisc.org","Pascal","2023-09-29","C42547","Code_229","fb5bad0a-7782-4c86-b0ff-f97a27a819f0"
"NCI Thesaurus","Unit of Pressure","","C49669","Code_230","d3213f2b-5f00-4cf7-8d63-11bf8c6c9d8d"
"NCI Thesaurus","Vital Signs Location","","C83088","Code_231","2090cc46-6f05-437c-9991-52d842076241"
"NCI Thesaurus","Vital Signs Laterality","","C123975","Code_232","3646205a-ddde-4805-a1d7-52b8717487de"
"NCI Thesaurus","Test Method","","C82535","Code_233","38537b3b-805d-4af4-ab96-7694903c9754"
"NCI Thesaurus","Vital Signs Position","","C83114","Code_234","fcf1ecde-eb6c-441b-abcb-92d7540c8c78"
"NCI Thesaurus","Systolic Blood Pressure","","C25298","Code_227","a9c6be78-fec1-4f9f-ad9f-892fa5370feb"
"NCI Thesaurus","Vital Signs Result","","C173522","Code_236","b61b4987-a507-4db6-ab33-1ab0c730e2cb"
"http://www.cdisc.org","Pascal","2023-09-29","C42547","Code_237","1094052e-1de3-4221-ab1d-66b4d0b1ae68"
"NCI Thesaurus","Unit of Pressure","","C49669","Code_238","338f0a13-96ca-47d5-a438-cc6421778ca5"
"NCI Thesaurus","Vital Signs Location","","C83088","Code_239","114ea403-bb93-4e3d-8059-15ee0587cf3d"
