"sectionNumber","name","uuid:ID","text","sectionTitle","id"
"5.3","SECTION 5.3","9b1962d9-33d4-455b-b44b-0306071fb9be","<div><usdm:section name=""M11-inclusion""></div>","Inclusion Criteria","NarrativeContent_24"
"5.4","SECTION 5.4","29b943eb-4fb9-4839-938a-f7315029f3be","<div><usdm:section name=""M11-exclusion""></div>","Exclusion Criteria","NarrativeContent_25"
"5.5","SECTION 5.5","d8721568-ebcd-4637-a131-1b39d5bb3f65","<div></div>","Lifestyle Considerations","NarrativeContent_26"
"5.5.1","SECTION 5.5.1","c0ab4d4e-e161-46b4-a445-fb4893b7cfa6","<div></div>","Meals and Dietary Restrictions","NarrativeContent_27"
"5.5.2","SECTION 5.5.2","9c5ae8d7-682b-40cf-ac81-29306571d7e7","<div></div>","Caffeine, Alcohol, Tobacco, and Other Habits","NarrativeContent_28"
"5.5.3","SECTION 5.5.3","68cb9525-1e43-44a9-b7c3-2fa016e245bb","<div></div>","Physical Activity","NarrativeContent_29"
"5.5.4","SECTION 5.5.4","acbf8a56-249c-4fe7-bc61-d8eb1fb710af","<div></div>","Other Activity","NarrativeContent_30"
"5.6","SECTION 5.6","db5f7f27-d33d-4e06-bace-48e8e4d43f46","<div></div>","Screen Failures","NarrativeContent_31"
"6","SECTION 6","f36b31d5-933b-45e6-b225-cb47d317b956","<div></div>","TRIAL INTERVENTION AND CONCOMITANT THERAPY","NarrativeContent_32"
"6.1","SECTION 6.1","8bbee44f-ec6a-4f9f-aaf6-76c1e5b01056","<div></div>","Description of Trial Intervention","NarrativeContent_33"
"6.2","SECTION 6.2","f24b9b5d-e440-45fd-b4d1-56817bee553a","<div></div>","Rationale for Trial Intervention","NarrativeContent_34"
"6.3","SECTION 6.3","ff886c07-7863-4d03-845f-499db0a9f174","<div></div>","Dosing and Administration","NarrativeContent_35"
"6.3.1","SECTION 6.3.1","d5612441-0604-4fe3-8f36-7c53338c9e5b","<div></div>","Trial Intervention Dose Modification","NarrativeContent_36"
"6.4","SECTION 6.4","c13dc193-5436-43d6-b4e2-bfd99b0d8618","<div></div>","Treatment of Overdose","NarrativeContent_37"
"6.5","SECTION 6.5","4c39efe1-6e6a-4142-a4a4-19463d18e0c2","<div></div>","Preparation, Handling, Storage and Accountability","NarrativeContent_38"
"6.5.1","SECTION 6.5.1","11ed23e5-9b26-4585-aa63-9b37011b6218","<div></div>","Preparation of Trial Intervention","NarrativeContent_39"
"6.5.2","SECTION 6.5.2","5a5267c4-33a0-4753-a66c-41cc00c59980","<div></div>","Handling and Storage of Trial Intervention","NarrativeContent_40"
"6.5.3","SECTION 6.5.3","fb8ebc36-87d6-4eec-8423-51de5d071f71","<div></div>","Accountability of Trial Intervention","NarrativeContent_41"
"6.6","SECTION 6.6","4dc42a90-1a04-450d-b248-02a36e64c891","<div></div>","Participant Assignment, Randomisation and Blinding","NarrativeContent_42"
"6.6.1","SECTION 6.6.1","6b2d1abd-fc2d-4155-a88b-3cfddef52713","<div></div>","Participant Assignment","NarrativeContent_43"
"6.6.2","SECTION 6.6.2","3943d3bb-2a7b-483d-948b-334153289c7a","<div></div>","Randomisation","NarrativeContent_44"
"6.6.3","SECTION 6.6.3","9d506dac-f646-445c-8205-92132dea2842","<div><p>Blinding and unblinding text here please</p></div>","Blinding and Unblinding","NarrativeContent_45"
"6.7","SECTION 6.7","e4eedc6f-964f-4bf8-ad30-6dbfcda9fb09","<div></div>","Trial Intervention Compliance","NarrativeContent_46"
"6.8","SECTION 6.8","fd6317c9-ad0a-48f5-a0d5-e1e3e16ed3d9","<div></div>","Concomitant Therapy","NarrativeContent_47"
"6.8.1","SECTION 6.8.1","fe8c50d2-c1ab-444d-9ec7-c830782924e8","<div></div>","Prohibited Concomitant Therapy","NarrativeContent_48"
"6.8.2","SECTION 6.8.2","85b03ada-f0ab-4b70-b9e8-4c2fa53af743","<div></div>","Permitted Concomitant Therapy","NarrativeContent_49"
"6.8.3","SECTION 6.8.3","b9206d28-85c8-43f3-b25e-3ac0279a20c5","<div></div>","Rescue Therapy","NarrativeContent_50"
"6.8.4","SECTION 6.8.4","b314f996-3670-47e5-b34d-9ce77476c825","<div></div>","Other Therapy","NarrativeContent_51"
"7","SECTION 7","6e49c643-d487-4013-b388-3c8f11490528","<div></div>","DISCONTINUATION OF TRIAL INTERVENTION AND PARTICIPANT WITHDRAWAL FROM TRIAL","NarrativeContent_52"
"7.1","SECTION 7.1","538b819a-acf8-4a14-b3f8-6969016f26dc","<div></div>","Discontinuation of Trial Intervention","NarrativeContent_53"
"7.1.1","SECTION 7.1.1","47128699-0961-4dfc-834c-0e65fe40a6c4","<div></div>","Criteria for Permanent Discontinuation of Trial Intervention","NarrativeContent_54"
"7.1.2","SECTION 7.1.2","73caf191-5e11-485c-8143-e03e1f578b4c","<div></div>","Temporary Discontinuation or Interruption of Trial Intervention","NarrativeContent_55"
"7.1.3","SECTION 7.1.3","e70364c6-62eb-4f9e-9f9d-0d13732485e6","<div></div>","Rechallenge","NarrativeContent_56"
"7.2","SECTION 7.2","d664a3ed-81a4-428b-b880-c9d9e9df2708","<div></div>","Participant Withdrawal from the Trial","NarrativeContent_57"
"7.3","SECTION 7.3","eefdb703-9e3b-4231-9ab9-94d72a017f69","<div></div>","Lost to Follow-Up","NarrativeContent_58"
"7.4","SECTION 7.4","92aed9d2-6312-474d-ad1f-46a73eac19af","<div></div>","Trial Stopping Rules","NarrativeContent_59"
"8","SECTION 8","f9de5e86-a9dc-41bf-82de-14a0d7970a8e","<div></div>","TRIAL ASSESSMENTS AND PROCEDURES","NarrativeContent_60"
"8.1","SECTION 8.1","7d721201-a57b-432f-80b0-ef19604b05e7","<div></div>","Screening/Baseline Assessments and Procedures","NarrativeContent_61"
"8.2","SECTION 8.2","fd4889ad-074c-4ee6-a5ab-10644f00f112","<div></div>","Efficacy Assessments and Procedures","NarrativeContent_62"
"8.3","SECTION 8.3","11e6c9cd-1f5f-4123-968b-4ff30f82a982","<div></div>","Safety Assessments and Procedures","NarrativeContent_63"
"8.3.1","SECTION 8.3.1","885e7234-959c-406f-95eb-25ce16ef029c","<div></div>","Physical Examination","NarrativeContent_64"
"8.3.2","SECTION 8.3.2","c1d8ebf0-2b3e-475f-9900-8bd1cb83f7bd","<div></div>","Vital Signs","NarrativeContent_65"
"8.3.3","SECTION 8.3.3","aaf68323-304f-4472-9234-37d275e71c7b","<div></div>","Electrocardiograms","NarrativeContent_66"
"8.3.4","SECTION 8.3.4","0ff242bf-c22a-4a4c-8091-b27d72e2c2ce","<div></div>","Clinical Laboratory Assessments","NarrativeContent_67"
"8.3.5","SECTION 8.3.5","04d378cb-ffd2-4c09-94aa-694281b5c940","<div></div>","Suicidal Ideation and Behaviour Risk Monitoring","NarrativeContent_68"
"8.4","SECTION 8.4","3da97823-9d52-484e-9840-0b7830b21aa4","<div></div>","Adverse Events and Serious Adverse Events","NarrativeContent_69"
"8.4.1","SECTION 8.4.1","30731d3b-0e5d-41bf-bd13-e74a81361052","<div></div>","Definitions of AE and SAE","NarrativeContent_70"
"8.4.2","SECTION 8.4.2","9cb2ef86-a64e-42db-bc76-88917a7ce4a5","<div></div>","Time Period and Frequency for Collecting AE and SAE Information","NarrativeContent_71"
"8.4.3","SECTION 8.4.3","5c180b79-36ad-4b5f-b791-645416c2e5d0","<div></div>","Identifying AEs and SAEs","NarrativeContent_72"
"8.4.4","SECTION 8.4.4","033d169e-ec75-4d40-bf13-c836a661f8eb","<div></div>","Recording of AEs and SAEs","NarrativeContent_73"
"8.4.5","SECTION 8.4.5","44bcfc8a-cb61-4df6-ab5c-1520613b2565","<div></div>","Follow-up of AEs and SAEs","NarrativeContent_74"
"8.4.6","SECTION 8.4.6","532e1067-8cf6-4a70-8879-2b619b6beea7","<div></div>","Reporting of SAEs","NarrativeContent_75"
"8.4.7","SECTION 8.4.7","249a2081-2a53-4e3f-972c-1e93be0808c3","<div></div>","Regulatory Reporting Requirements for SAEs","NarrativeContent_76"
"8.4.8","SECTION 8.4.8","85ef5aaa-a4e1-47f4-a3c1-10a0d83af6db","<div></div>","Serious and Unexpected Adverse Reaction Reporting","NarrativeContent_77"
"8.4.9","SECTION 8.4.9","2765d797-2d53-4ee2-b6d4-90874ad444ac","<div></div>","Adverse Events of Special Interest","NarrativeContent_78"
"8.4.10","SECTION 8.4.10","f6f57a1b-98a3-4d4a-9cd6-0b14e100b8ce","<div></div>","Disease-related Events or Outcomes Not Qualifying as AEs or SAEs","NarrativeContent_79"
"8.5","SECTION 8.5","1a9daabe-12f0-4a9f-99a7-ec48c931ecea","<div></div>","Pregnancy and Postpartum Information","NarrativeContent_80"
"8.5.1","SECTION 8.5.1","fc86b00c-37cf-492a-a374-fad4dc01adcc","<div></div>","Participants Who Become Pregnant During the Trial","NarrativeContent_81"
"8.5.2","SECTION 8.5.2","536fcd63-7db8-4279-89bc-f391c7312a94","<div></div>","Participants Whose Partners Become Pregnant","NarrativeContent_82"
"8.6","SECTION 8.6","0fc9060d-6ec6-4283-a74f-15f8dc38e974","<div></div>","Medical Device Product Complaints for Drug/Device Combination Products","NarrativeContent_83"
"8.6.1","SECTION 8.6.1","e97ecf2a-f5f3-4213-ab9c-4377585be8f4","<div></div>","Definition of Medical Device Product Complaints","NarrativeContent_84"
"8.6.2","SECTION 8.6.2","adf94701-e4ff-4f9d-8184-e59f0550952f","<div></div>","Recording of Medical Device Product Complaints","NarrativeContent_85"
"8.6.3","SECTION 8.6.3","764c516b-1753-40d4-a04c-fbdfa455dcac","<div></div>","Time Period and Frequency for Collecting Medical Device Product Complaints .","NarrativeContent_86"
"8.6.4","SECTION 8.6.4","7ae6a7cf-ea7c-4338-b7dc-266706b2bd96","<div></div>","Follow-Up of Medical Device Product Complaints","NarrativeContent_87"
"8.6.5","SECTION 8.6.5","8ba3d5c1-986b-4aef-a93b-150bae74544a","<div></div>","Regulatory Reporting Requirements for Medical Device Product Complaints","NarrativeContent_88"
"8.7","SECTION 8.7","c306234e-322b-44a1-a0ae-407f57a5ba87","<div></div>","Pharmacokinetics","NarrativeContent_89"
"8.8","SECTION 8.8","9fb6d290-1057-461f-b48b-4da06abf98f2","<div></div>","Genetics","NarrativeContent_90"
"8.9","SECTION 8.9","f2c63e0e-c1a9-4c83-a026-252c4eb3d41b","<div></div>","Biomarkers","NarrativeContent_91"
"8.1","SECTION 8.1","03c91c9e-5c65-4f43-805b-434e9ca796ee","<div></div>","Immunogenicity Assessments","NarrativeContent_92"
"8.1.1","SECTION 8.1.1","eae6580b-b225-4d48-9e99-94fb920be5da","<div></div>","Medical Resource Utilisation and Health Economics","NarrativeContent_93"
"9","SECTION 9","a811cbc8-6e7b-4ee4-873c-079c5dcec148","<div></div>","STATISTICAL CONSIDERATIONS","NarrativeContent_94"
"9.1","SECTION 9.1","fafe546e-edff-442b-9d36-fd4eeb57de07","<div></div>","Analysis Sets","NarrativeContent_95"
"9.2","SECTION 9.2","4dd8867b-cda6-45ba-b767-60bed059fb13","<div></div>","Analyses Supporting Primary Objective(s)","NarrativeContent_96"
"9.2.1","SECTION 9.2.1","642db79a-1615-44e0-aaab-765f21608d1c","<div></div>","Statistical Model, Hypothesis, and Method of Analysis","NarrativeContent_97"
"9.2.2","SECTION 9.2.2","d9f30a90-7eb1-407e-920e-52d54b51e4a6","<div></div>","Handling of Intercurrent Events of Primary Estimand(s)","NarrativeContent_98"
"9.2.3","SECTION 9.2.3","4df73c30-cc48-431c-91f1-2b3c49e21594","<div></div>","Handling of Missing Data","NarrativeContent_99"
"9.2.4","SECTION 9.2.4","e330c50a-c37e-4a60-ad75-2805dae9a20f","<div></div>","Sensitivity Analysis","NarrativeContent_100"
"9.2.5","SECTION 9.2.5","bb7a30af-b6b9-4e2c-ba3b-64e5cb250723","<div></div>","Supplementary Analysis","NarrativeContent_101"
"9.3","SECTION 9.3","b1526279-1693-4a9c-8767-ca291c2e358c","<div></div>","Analysis Supporting Secondary Objective(s)","NarrativeContent_102"
"9.4","SECTION 9.4","6ffb2517-b1fc-4758-89ae-4e17e346b361","<div></div>","Analysis of Exploratory Objective(s)","NarrativeContent_103"
"9.5","SECTION 9.5","b0f99c67-dbd6-4c58-81f8-7d7063ad5430","<div></div>","Safety Analyses","NarrativeContent_104"
"9.6","SECTION 9.6","8e6e6e31-c172-423d-87c1-206e7e8b5edc","<div></div>","Other Analyses","NarrativeContent_105"
"9.7","SECTION 9.7","912f1c19-71a2-46dc-a9b7-b1b9870e7335","<div></div>","Interim Analyses","NarrativeContent_106"
"9.8","SECTION 9.8","d8ecef0c-f11f-4c55-be00-f91bac92debf","<div></div>","Sample Size Determination","NarrativeContent_107"
"9.9","SECTION 9.9","064fe18c-9912-4138-a00b-ea049c21622d","<div></div>","Protocol Deviations","NarrativeContent_108"
"10","SECTION 10","a4a4aebb-9948-4c65-8b5d-584ba7566218","<div></div>","GENERAL CONSIDERATIONS: REGULATORY, ETHICAL, AND TRIAL OVERSIGHT","NarrativeContent_109"
"10.1","SECTION 10.1","5a55aaa2-bb37-4a13-ad41-c2e391293941","<div></div>","Regulatory and Ethical Considerations","NarrativeContent_110"
"10.2","SECTION 10.2","210d6b08-a399-46fa-82a8-647f1d2ae0ef","<div></div>","Committees","NarrativeContent_111"
"10.3","SECTION 10.3","96a77f3e-ba0c-4c31-9df3-48cc586fb56a","<div></div>","Informed Consent Process","NarrativeContent_112"
"10.4","SECTION 10.4","01fddee1-2f80-46b9-9a49-7a76a634b041","<div></div>","Data Protection","NarrativeContent_113"
"10.5","SECTION 10.5","45e17073-56b4-4ba7-b251-b583b8db86be","<div></div>","Early Site Closure or Trial Termination","NarrativeContent_114"
"11","SECTION 11","f5214e6e-dad4-423f-bb44-767df5085cee","<div></div>","GENERAL CONSIDERATIONS: RISK MANAGEMENT AND QUALITY ASSURANCE","NarrativeContent_115"
"11.1","SECTION 11.1","ed29d410-bcdf-4377-bf60-0d808ce6cb5d","<div></div>","Quality Tolerance Limits","NarrativeContent_116"
"11.2","SECTION 11.2","7e47fdf7-9de3-4395-a2d4-d51744e81f1c","<div></div>","Data Quality Assurance","NarrativeContent_117"
"11.3","SECTION 11.3","12d82b2d-0760-4cc2-9762-da4c5dda8da7","<div></div>","Source Data","NarrativeContent_118"
"12","SECTION 12","5dc0198f-b269-4ca7-9df8-2c1698076c04","<div></div>","APPENDIX: ADVERSE EVENTS AND SERIOUS ADVERSE EVENTS - DEFINITIONS, SEVERITY, AND CAUSALITY","NarrativeContent_119"
"12.1","SECTION 12.1","8f14f083-39f0-4f95-8690-0a13c7d5100f","<div></div>","Further Details and Clarifications on the AE Definition","NarrativeContent_120"
"12.2","SECTION 12.2","fe15fa7d-b77e-4529-a600-a9267dcc8dd8","<div></div>","Further Details and Clarifications on the SAE Definition","NarrativeContent_121"
"12.3","SECTION 12.3","8038f19c-d1a2-417e-a93f-5f85d202f8bf","<div></div>","Severity","NarrativeContent_122"
"12.4","SECTION 12.4","67faf266-060c-404a-8013-80c7fd0d0f00","<div></div>","Causality","NarrativeContent_123"
"13","SECTION 13","df1e980b-1898-466c-9509-6a63085a0890","<div></div>","APPENDIX: DEFINITIONS AND SUPPORTING OPERATIONAL DETAILS","NarrativeContent_124"
"13.1","SECTION 13.1","25df7139-f8a4-4874-bc05-0969926263a9","<div></div>","Contraception and Pregnancy Testing","NarrativeContent_125"
"13.1.1","SECTION 13.1.1","287b025f-4b3f-47d0-b93f-9a19cfe6d74e","<div></div>","Definitions Related to Childbearing Potential","NarrativeContent_126"
"13.1.2","SECTION 13.1.2","2e998b8d-2494-422a-b2f9-1a67ce75fed1","<div></div>","Contraception","NarrativeContent_127"
"13.1.3","SECTION 13.1.3","39a96a00-187d-4cbe-90d3-5ad4bf53b14f","<div></div>","Pregnancy Testing","NarrativeContent_128"
"13.2","SECTION 13.2","77e1da9b-f141-414c-bef2-0070e4b10dd7","<div></div>","Clinical Laboratory Tests","NarrativeContent_129"
"13.3","SECTION 13.3","4d8580d5-2c36-4f63-bb06-83e988990a47","<div></div>","Country/Region-Specific Differences","NarrativeContent_130"
"13.4","SECTION 13.4","30a66802-c614-4353-97c6-52bc35117c82","<div></div>","Prior Protocol Amendments","NarrativeContent_131"
"14","SECTION 14","5500fd5d-b7f7-4b3a-a52a-552c320eee94","<div></div>","APPENDIX: GLOSSARY OF TERMS","NarrativeContent_132"
"15","SECTION 15","bd78cdda-6892-48f1-8c27-79e1ea7833ac","<div></div>","APPENDIX: REFERENCES","NarrativeContent_133"
