"id","codeSystemVersion","code","instanceType","uuid:ID","codeSystem","decode"
"Code_84","2023-09-29","C51282","Code","bef97e0e-3c3d-4d8d-a90b-72d95a021152","http://www.cdisc.org","Clinic"
"Code_85","2023-09-29","C175574","Code","34ca1b7c-4ac5-4b45-95a3-2d7ff84f2f69","http://www.cdisc.org","In Person"
"Code_86","2023-09-29","C25716","Code","27269199-7af1-4269-9116-7c4db0ae6ee0","http://www.cdisc.org","Visit"
"Code_87","2023-09-29","C51282","Code","ffc6e80d-39fe-4692-b78a-c652b3920bb8","http://www.cdisc.org","Clinic"
"Code_88","2023-09-29","C175574","Code","61bf3030-e208-467c-aaba-3b26920eeea8","http://www.cdisc.org","In Person"
"Code_89","2023-09-29","C25716","Code","0f430f35-6775-4d2e-adc1-e706b5412217","http://www.cdisc.org","Visit"
"Code_90","2023-09-29","C51282","Code","3bc0e0d9-7660-4c98-a660-2364171772e2","http://www.cdisc.org","Clinic"
"Code_91","2023-09-29","C175574","Code","575edb93-8372-4a41-9810-7f2ec13b6c4f","http://www.cdisc.org","In Person"
"Code_92","2023-09-29","C25716","Code","af8fc161-23da-4d54-b13b-ed4c9c6514b1","http://www.cdisc.org","Visit"
"Code_93","2023-09-29","C51282","Code","fb777480-d087-48e6-ad6f-25d2616c4ac5","http://www.cdisc.org","Clinic"
"Code_94","2023-09-29","C175574","Code","ceef7739-e5bf-432c-9405-9b8e2d8ad959","http://www.cdisc.org","In Person"
"Code_95","2023-09-29","C25716","Code","903293b0-b624-49a4-a997-bc7df7f6a237","http://www.cdisc.org","Visit"
"Code_96","2023-09-29","C51282","Code","29eebcae-8d57-4964-8448-44d5e88f949d","http://www.cdisc.org","Clinic"
"Code_97","2023-09-29","C175574","Code","c8c92b28-58ea-43a4-8cac-c5924304a43f","http://www.cdisc.org","In Person"
"Code_98","2023-09-29","C25716","Code","a8496fe6-c07b-4707-8e9e-fbed510141fd","http://www.cdisc.org","Visit"
"Code_99","2023-09-29","C51282","Code","254dae66-e25b-41e5-a1a2-78eafec0e276","http://www.cdisc.org","Clinic"
"Code_100","2023-09-29","C175574","Code","b86a8ea0-bcdc-4ce4-9ee3-bf7b0c28e7e3","http://www.cdisc.org","In Person"
"Code_101","2023-09-29","C25716","Code","29ae7979-c782-4c00-ab60-9db5a08bc9be","http://www.cdisc.org","Visit"
"Code_102","2023-09-29","C51282","Code","a44b900d-952d-4d5c-b7a1-f41983901039","http://www.cdisc.org","Clinic"
"Code_103","2023-09-29","C175574","Code","48a2aa19-460e-46f0-b63e-c1a3987d563b","http://www.cdisc.org","In Person"
"Code_104","2023-09-29","C171537","Code","38e43c6e-ec44-442d-89b9-4aae0670115a","http://www.cdisc.org","Telephone Call"
"Code_105","2023-09-29","C25716","Code","4ce08091-ae5b-4d00-9fda-c668d20f768e","http://www.cdisc.org","Visit"
"Code_106","2023-09-29","C51282","Code","927b09db-2a44-4edc-9c60-3eaa0d92636f","http://www.cdisc.org","Clinic"
"Code_107","2023-09-29","C175574","Code","e97e08bf-3b90-46f2-a42a-ae24be1ba036","http://www.cdisc.org","In Person"
"Code_108","2023-09-29","C171537","Code","3f312978-0bd3-4fcd-ab23-8e80823a4d41","http://www.cdisc.org","Telephone Call"
"Code_109","2023-09-29","C25716","Code","b434c314-c38b-4b22-b6d7-30cb32674e1d","http://www.cdisc.org","Visit"
"Code_110","2023-09-29","C51282","Code","e2a62d88-abb7-4aab-b7b8-bc184778c53b","http://www.cdisc.org","Clinic"
"Code_111","2023-09-29","C175574","Code","7ca01158-dbb3-4ffb-b3f9-6a4a63536cb9","http://www.cdisc.org","In Person"
"Code_112","2023-09-29","C171537","Code","fb055c99-4019-4f87-a5bb-72158878f123","http://www.cdisc.org","Telephone Call"
"Code_113","2023-09-29","C25716","Code","209f680b-e6cd-4c4c-8e1c-4794944edc2d","http://www.cdisc.org","Visit"
"Code_114","2023-09-29","C51282","Code","c83b3cac-3060-4b37-b3b2-6b36c3838f8a","http://www.cdisc.org","Clinic"
"Code_115","2023-09-29","C175574","Code","0f27716b-ee24-4c0d-90a5-014471ef2fa2","http://www.cdisc.org","In Person"
"Code_116","2023-09-29","C171537","Code","1dc4bbf6-a45e-4338-a52c-6c3ebb954a03","http://www.cdisc.org","Telephone Call"
"Code_117","2023-09-29","C25716","Code","c7f9cbc7-2629-4127-8864-67cf2fed7055","http://www.cdisc.org","Visit"
"Code_118","2023-09-29","C51282","Code","1265c303-7934-4956-8623-a54779c026a1","http://www.cdisc.org","Clinic"
"Code_119","2023-09-29","C175574","Code","c3772298-ec47-45b8-b6d7-86b70af42fed","http://www.cdisc.org","In Person"
"Code_120","2023-09-29","C25716","Code","a39a7739-61a0-4841-8448-608d9bdfa0af","http://www.cdisc.org","Visit"
"Code_121","2023-09-29","C51282","Code","ebfc0968-d92d-416b-9dce-704cbce2f361","http://www.cdisc.org","Clinic"
"Code_122","2023-09-29","C175574","Code","3d290145-09e0-439f-85b7-9cdb22ba49bb","http://www.cdisc.org","In Person"
"Code_80","January 31, 2018","383371000119108","Code","180d27a8-1c28-4a3f-a17a-7961b7f9aa71","SNOMED","CT of head without contrast"
"Code_81","12","123","Code","a691068d-cf9d-49bb-a8f8-d56a289f5233","SPONSOR","Subject Supine"
"Code_82","12","124","Code","ce64c85e-278b-45a5-9780-0c68c3fce348","SPONSOR","Subject Standing"
"Code_269","2023-09-29","C20197","Code","4c34bb70-185f-4273-8084-42b5229fbb51","http://www.cdisc.org","Male"
"Code_270","2023-09-29","C16576","Code","7e521da1-bc7f-4200-b7dd-8e1fa5c29ab6","http://www.cdisc.org","Female"
"Code_271","","C28421","Code","177f1b9e-c42e-457c-92a1-1f613aa04153","NCI Thesaurus","Sex"
"Code_268","","C28421","Code","4610b312-7e12-401f-a23f-265dbb2023a3","NCI Thesaurus","Sex"
"Code_273","","C17049","Code","98537289-615b-49c6-b166-b6216addb8ae","NCI Thesaurus","Race"
"Code_272","","C17049","Code","4813ff3d-55a8-4d13-be49-77b4f6852f59","NCI Thesaurus","Race"
"Code_275","","C77140","Code","9cbb7a52-fadd-42ee-a6f7-dba0c57be529","NCI Thesaurus","Clinical Test Result"
"Code_276","2023-09-29","C42537","Code","ece88e55-9459-4388-ad4f-9dca3dacf398","http://www.cdisc.org","Kelvin"
"Code_277","","C44276","Code","b85d13ea-55b6-4a53-aea6-37c1b9321ba1","NCI Thesaurus","Unit of Temperature"
"Code_278","","C13717","Code","f889ff37-acb8-4862-9f5b-59dd50e1489f","NCI Thesaurus","Anatomic Site"
"Code_274","","C174446","Code","01e63f8b-bcc9-429b-921c-a7bad20b6f6c","NCI Thesaurus","Body Temperature"
"Code_280","","C77140","Code","8cd3e519-05bb-475a-8646-694610e90a49","NCI Thesaurus","Clinical Test Result"
"Code_281","2023-09-29","C28252","Code","7999d7fa-e268-437b-9c42-99719d4882c4","http://www.cdisc.org","Kilogram"
"Code_282","2023-09-29","C48155","Code","289c834d-4ef3-41ed-8fc9-873dccfa4d78","http://www.cdisc.org","Gram"
"Code_283","2023-09-29","C48531","Code","d7a81070-6153-4505-9bbf-a4d2fcd33a95","http://www.cdisc.org","Pound"
"Code_284","","C48208","Code","1cbbea99-aed9-43f0-9c35-9de11867eef7","NCI Thesaurus","Unit of Weight"
"Code_279","","C81328","Code","531a1ad0-5df9-4bc5-8e42-88bd60bc7fe6","NCI Thesaurus","Body Weight"
"Code_286","","C77140","Code","568aca12-5d38-4279-a725-90c5d2d830bf","NCI Thesaurus","Clinical Test Result"
"Code_287","2023-09-29","C49668","Code","51783901-fd88-4fcd-ae39-8630ab955c69","http://www.cdisc.org","Centimeter"
"Code_288","2023-09-29","C48500","Code","2fc6a8bd-dde5-4976-8000-fed32ae2cbae","http://www.cdisc.org","Inch"
"Code_289","2023-09-29","C28251","Code","9fc96b85-7112-4ea5-9cc5-4ff07d8f1a6d","http://www.cdisc.org","Millimeter"
"Code_290","2023-09-29","C41139","Code","0d4ff45e-5836-4633-92ae-527280ae80d8","http://www.cdisc.org","Meter"
"Code_291","","C168688","Code","6367947b-f170-4ef6-8800-257f2efe49fb","NCI Thesaurus","Unit of Height"
"Code_285","","C164634","Code","370117f0-719d-48b4-a95f-69c41acf5dfe","NCI Thesaurus","Body Height"
"Code_293","","C36292","Code","a11cd5bf-e884-4d5d-a85b-abe5508e42bc","NCI Thesaurus","Laboratory Test Result"
"Code_294","","C83309","Code","ca7e77e1-5d70-4e5f-b1e0-3ee7dbf96dc6","NCI Thesaurus","Laboratory Test Fasting Status"
"Code_295","","C67365","Code","3fccdd87-a9ee-4880-8063-e246537642c1","NCI Thesaurus","Unit of Catalytic Activity Concentration"
"Code_296","","C70713","Code","0bbd0c8d-1c2b-4bd8-8ea7-a6fcfbaf3af3","NCI Thesaurus","Biospecimen Type"
"Code_292","","C64433","Code","41dfa743-b532-4419-b0d4-7f7a74298b1c","NCI Thesaurus","Alanine Aminotransferase Measurement"
"Code_298","","C36292","Code","a7c11dae-135d-4396-8238-e9cada161122","NCI Thesaurus","Laboratory Test Result"
"Code_299","","C83309","Code","ebfddcc1-0d0b-4ecf-a9eb-34be82521e6f","NCI Thesaurus","Laboratory Test Fasting Status"
"Code_300","","C48207","Code","48f9b32a-e665-4c01-9a5e-55e068137c3e","NCI Thesaurus","Unit of Concentration"
"Code_301","","C70713","Code","8fd4ab60-b886-4380-b18c-58403f9b9d03","NCI Thesaurus","Biospecimen Type"
"Code_297","","C64431","Code","78a5a59e-e644-431b-9cca-de623336dc7f","NCI Thesaurus","Albumin Measurement"
"Code_303","","C36292","Code","928f6e02-97e7-461f-a0be-3c1313387209","NCI Thesaurus","Laboratory Test Result"
"Code_304","","C83309","Code","bbb755a9-ae99-4e2f-a15e-51602471ca4d","NCI Thesaurus","Laboratory Test Fasting Status"
"Code_305","","C67365","Code","d0b220ae-7ca1-4bd6-b6d2-4e7964cd62da","NCI Thesaurus","Unit of Catalytic Activity Concentration"
"Code_306","","C70713","Code","725358cc-f5fd-4b64-86c9-ad616779fafb","NCI Thesaurus","Biospecimen Type"
"Code_302","","C64432","Code","fcc5f083-696f-49c5-a55c-52778fb130de","NCI Thesaurus","Alkaline Phosphatase Measurement"
"Code_308","","C36292","Code","ecf8c5c2-2aed-42c7-9d33-71646cab2893","NCI Thesaurus","Laboratory Test Result"
"Code_309","","C83309","Code","7af448a8-f4b6-40d2-9b4f-65d17957278f","NCI Thesaurus","Laboratory Test Fasting Status"
"Code_310","","C67365","Code","7ee80fe9-1097-4664-9b76-3db71b3e5fb7","NCI Thesaurus","Unit of Catalytic Activity Concentration"
"Code_311","","C70713","Code","9e3445b5-bdf4-4204-9ac5-d5bcd574be64","NCI Thesaurus","Biospecimen Type"
"Code_307","","C64467","Code","12b28ef8-2c9c-41a2-8a30-70091be7ce20","NCI Thesaurus","Aspartate Aminotransferase Measurement"
"Code_313","","C36292","Code","450382ec-f95a-4406-8d9a-278f87123be6","NCI Thesaurus","Laboratory Test Result"
"Code_314","","C83309","Code","93832e5b-048b-4c7b-87a7-275b4248a131","NCI Thesaurus","Laboratory Test Fasting Status"
"Code_315","","C48207","Code","5f1cefd0-b49f-488c-9f9d-a6d567da33c5","NCI Thesaurus","Unit of Concentration"
"Code_316","","C70713","Code","ad6f9cf1-28d4-4900-b2f0-d06b5245c497","NCI Thesaurus","Biospecimen Type"
"Code_312","","C64547","Code","02ec1554-9b06-4795-afe1-df90ef1e8980","NCI Thesaurus","Creatinine Measurement"
"Code_318","","C36292","Code","e0cf3a21-0a24-4f38-8348-b803975d1855","NCI Thesaurus","Laboratory Test Result"
"Code_319","","C83309","Code","3344ae43-5243-46c3-b4e5-de3f65ab4eb4","NCI Thesaurus","Laboratory Test Fasting Status"
"Code_320","","C64567","Code","fe83a7e2-e8e2-4aaa-b7f4-f40dd770ec9d","NCI Thesaurus","Molarity Unit"
"Code_321","","C70713","Code","e80c9516-57ab-44fa-a867-d1abf2db67b1","NCI Thesaurus","Biospecimen Type"
"Code_317","","C64853","Code","59b1e59e-e93b-465e-b73f-f5fabfe63415","NCI Thesaurus","Potassium Measurement"
"Code_323","","C36292","Code","ff9d211a-2b2f-42c9-850b-9fce2ed65c22","NCI Thesaurus","Laboratory Test Result"
"Code_324","","C83309","Code","4c4d1b0d-493e-4ac3-a594-d9acc0a54692","NCI Thesaurus","Laboratory Test Fasting Status"
"Code_325","","C64567","Code","7195a374-b0ab-4f03-81bc-28dea1959475","NCI Thesaurus","Molarity Unit"
"Code_326","","C70713","Code","72a8f06d-cca4-4e91-8187-f705c2c413de","NCI Thesaurus","Biospecimen Type"
"Code_322","","C64809","Code","22958111-717c-492a-a324-56c1d414ad20","NCI Thesaurus","Sodium Measurement"
"Code_146","","C82571","Code","5d925c2f-ed46-4f0e-b608-e26371f125d0","NCI Thesaurus","Reported Event Term"
"Code_147","","C82977","Code","a04c9e0e-256d-433c-9898-fb8c120ec93c","NCI Thesaurus","Dictionary-derived Term"
"Code_148","","C25372","Code","36142bb5-4998-4514-97d9-2c853c168c66","NCI Thesaurus","Category"
"Code_149","","C25692","Code","a00663b4-cae0-4d33-a21e-86913fb84470","NCI Thesaurus","Subcategory"
"Code_150","","C82517","Code","48570713-02ee-4019-952e-ec1b23fae56d","NCI Thesaurus","Observation Start Date Time"
"Code_145","","C41331","Code","0f1ffb3c-28b0-4d7b-b51b-b4b85e388ebc","NCI Thesaurus","Adverse Event"
"Code_152","","C77140","Code","7219d0d6-5985-4ea7-9145-1052ce686fa5","NCI Thesaurus","Clinical Test Result"
"Code_153","2023-09-29","C42547","Code","fc395df2-7ea6-4afe-b5e0-5b43b7f1492c","http://www.cdisc.org","Pascal"
"Code_154","","C49669","Code","9d17c496-9a7b-41e2-9985-fef39941ec9d","NCI Thesaurus","Unit of Pressure"
"Code_155","","C13717","Code","55b11c45-1542-4417-a7ec-b9ac2a476193","NCI Thesaurus","Anatomic Site"
"Code_156","","C25185","Code","b5b69822-e19d-4eb9-ad10-94f594b696c2","NCI Thesaurus","Laterality"
"Code_157","","C82535","Code","9305502c-5f67-4b6c-a7b0-fa7768ab36be","NCI Thesaurus","Test Method"
"Code_158","","C62164","Code","14913478-b54d-467c-91ff-d66cdb44c6bf","NCI Thesaurus","Body Position"
"Code_151","","C25298","Code","1083f9e9-a7c5-45b3-a7f5-784c21779b4e","NCI Thesaurus","Systolic Blood Pressure"
"Code_160","","C77140","Code","ca2965cf-3ad9-4ab9-b48b-559f8fbec231","NCI Thesaurus","Clinical Test Result"
"Code_161","2023-09-29","C42547","Code","a9ef90a0-1341-40c8-a3c8-95b2e7768977","http://www.cdisc.org","Pascal"
"Code_162","","C49669","Code","4f647e2e-1cbe-4b3c-a583-a5b3f0e53080","NCI Thesaurus","Unit of Pressure"
"Code_163","","C13717","Code","4d40b453-d986-444e-8539-2d09be0fea1c","NCI Thesaurus","Anatomic Site"
"Code_164","","C25185","Code","11e25745-b2aa-42fa-8675-d22369b81ae1","NCI Thesaurus","Laterality"
"Code_165","","C82535","Code","8b052821-5f6d-4fe1-ac62-63662a92af66","NCI Thesaurus","Test Method"
"Code_166","","C62164","Code","da93dbdf-ec2d-4250-a63b-2a29629ac235","NCI Thesaurus","Body Position"
"Code_159","","C25299","Code","7d29016c-6381-4d64-a878-0b818ea9d781","NCI Thesaurus","Diastolic Blood Pressure"
"Code_168","","C77140","Code","1025ab65-0bf0-4031-acfe-6bf114ca93ad","NCI Thesaurus","Clinical Test Result"
"Code_169","2023-09-29","C42537","Code","134035b4-d156-4971-b333-6d91dd7776fd","http://www.cdisc.org","Kelvin"
"Code_170","","C44276","Code","cbbc3636-73cb-4012-baab-cc675317f762","NCI Thesaurus","Unit of Temperature"
"Code_171","","C13717","Code","1ddd9bfe-8b70-4df6-b344-b75995f857bf","NCI Thesaurus","Anatomic Site"
"Code_167","","C174446","Code","3c43e708-9b2d-4adb-8ced-ae5df85a9e81","NCI Thesaurus","Body Temperature"
"Code_173","","C77140","Code","a85f5cc3-36fc-48eb-8c30-2a08eb0354eb","NCI Thesaurus","Clinical Test Result"
"Code_174","2023-09-29","C28252","Code","0f510e58-fbdd-4ed5-946c-1b4a4edfc004","http://www.cdisc.org","Kilogram"
"Code_175","2023-09-29","C48155","Code","42e7e983-d722-4208-8e02-1065a05a35c6","http://www.cdisc.org","Gram"
"Code_176","2023-09-29","C48531","Code","6e6ad3ec-c49d-4ed5-800c-2d01a31c5f80","http://www.cdisc.org","Pound"
"Code_177","","C48208","Code","d0af9635-2240-46f0-b30d-65bbd5b96532","NCI Thesaurus","Unit of Weight"
"Code_172","","C81328","Code","73734dc7-bceb-42c4-8aa9-73bff0835d22","NCI Thesaurus","Body Weight"
"Code_179","","C77140","Code","10763c67-56c0-4e7e-b12f-fcfae7a94cc8","NCI Thesaurus","Clinical Test Result"
"Code_180","2023-09-29","C49668","Code","405f5cdb-5734-4e81-8a68-408c69a7e413","http://www.cdisc.org","Centimeter"
"Code_181","2023-09-29","C48500","Code","c4e7dc16-2b30-4f44-9c45-54e393e48f3e","http://www.cdisc.org","Inch"
"Code_182","2023-09-29","C28251","Code","52afb52a-d514-40f9-a58b-e9934babbe83","http://www.cdisc.org","Millimeter"
"Code_183","2023-09-29","C41139","Code","045e3fa3-501b-4155-8d8f-b168e7506c09","http://www.cdisc.org","Meter"
"Code_184","","C168688","Code","93ac1eed-539c-4d20-ae27-9cb0cee12e09","NCI Thesaurus","Unit of Height"
"Code_178","","C164634","Code","74bcbab0-8087-44de-9b4e-79c02c63244d","NCI Thesaurus","Body Height"
"Code_186","","C36292","Code","6a94a143-c40d-4e8c-9eaa-ba81b41eedfe","NCI Thesaurus","Laboratory Test Result"
"Code_187","","C83309","Code","4af423ba-77e3-4f42-8616-e5479b5270d0","NCI Thesaurus","Laboratory Test Fasting Status"
"Code_188","","C67365","Code","869f7fe3-f5ef-4023-b816-87e13ae00bb8","NCI Thesaurus","Unit of Catalytic Activity Concentration"
"Code_189","","C70713","Code","2a322de6-858a-434e-82a2-7e7027c1bfd4","NCI Thesaurus","Biospecimen Type"
"Code_185","","C64433","Code","5c754c1e-6ddb-4efb-950c-8ecb7340c4ca","NCI Thesaurus","Alanine Aminotransferase Measurement"
"Code_191","","C36292","Code","93d3d7f6-a9bd-4f26-aa63-b5aae35b146f","NCI Thesaurus","Laboratory Test Result"
"Code_192","","C83309","Code","bb602636-edcc-43ca-b8dc-db7a998e1924","NCI Thesaurus","Laboratory Test Fasting Status"
"Code_193","","C48207","Code","780b6a71-fb2e-4257-b4f9-68a63660d223","NCI Thesaurus","Unit of Concentration"
"Code_194","","C70713","Code","6a4c2415-492d-41c5-bd47-7ac244ffe4d4","NCI Thesaurus","Biospecimen Type"
"Code_190","","C64431","Code","e568694f-d7ed-4616-9b3d-4803094d3a3d","NCI Thesaurus","Albumin Measurement"
"Code_196","","C36292","Code","f22c7d46-9b31-4b5d-892b-37716b79c726","NCI Thesaurus","Laboratory Test Result"
"Code_197","","C83309","Code","d0d0e4db-9dc6-42cd-bfdf-94610cfafead","NCI Thesaurus","Laboratory Test Fasting Status"
"Code_198","","C67365","Code","93f28a9d-3204-4eae-941d-238bf6df9dd8","NCI Thesaurus","Unit of Catalytic Activity Concentration"
"Code_199","","C70713","Code","8c172913-5eb9-4693-ac12-8a79f2705969","NCI Thesaurus","Biospecimen Type"
"Code_195","","C64432","Code","1f4780d1-2b09-403d-aa30-496b4f01b0ad","NCI Thesaurus","Alkaline Phosphatase Measurement"
"Code_201","","C36292","Code","165a13f9-e253-4635-aa07-1846f8d735f6","NCI Thesaurus","Laboratory Test Result"
"Code_202","","C83309","Code","7d4e6e1e-947c-47af-8c63-c68bdc920f5b","NCI Thesaurus","Laboratory Test Fasting Status"
"Code_203","","C67365","Code","9ad24080-b171-4c0f-a090-676a4ec5e6cc","NCI Thesaurus","Unit of Catalytic Activity Concentration"
"Code_204","","C70713","Code","0ec261e7-4530-4199-8c58-ab4e2ffc2974","NCI Thesaurus","Biospecimen Type"
"Code_200","","C64467","Code","93869770-2d94-47e7-b16b-aaaa74744d31","NCI Thesaurus","Aspartate Aminotransferase Measurement"
"Code_206","","C36292","Code","beb5de90-1c38-480c-a003-e53026e2d42b","NCI Thesaurus","Laboratory Test Result"
"Code_207","","C83309","Code","591a99c2-6dce-461c-b157-9f2a36167106","NCI Thesaurus","Laboratory Test Fasting Status"
"Code_208","","C48207","Code","08935608-fa75-4fa2-adf3-6d9d502f8049","NCI Thesaurus","Unit of Concentration"
"Code_209","","C70713","Code","c3ffd4f3-16d5-4733-8907-eed434162902","NCI Thesaurus","Biospecimen Type"
"Code_205","","C64547","Code","249a85b0-1e74-4518-8eb2-125ab2760abd","NCI Thesaurus","Creatinine Measurement"
"Code_211","","C36292","Code","a90e5c75-2cda-475b-9913-a1219cdbb2c9","NCI Thesaurus","Laboratory Test Result"
"Code_212","","C83309","Code","77fb6f88-36a9-45e1-bae2-4d2ff2a09148","NCI Thesaurus","Laboratory Test Fasting Status"
"Code_213","","C64567","Code","0be0b414-d2f5-4d24-afb4-003857ce055d","NCI Thesaurus","Molarity Unit"
"Code_214","","C70713","Code","8beb4535-8e37-4044-8310-764ce843ac58","NCI Thesaurus","Biospecimen Type"
"Code_210","","C64853","Code","0746d520-2c55-4500-982c-d1a94fa2484f","NCI Thesaurus","Potassium Measurement"
"Code_216","","C36292","Code","1825b11b-b201-411a-bf09-4125e3b723c8","NCI Thesaurus","Laboratory Test Result"
"Code_217","","C83309","Code","dd224a94-7dca-48f6-93be-062574e0c705","NCI Thesaurus","Laboratory Test Fasting Status"
"Code_218","","C64567","Code","84f00b1f-b2a5-49d5-a6a4-b25a204d55b3","NCI Thesaurus","Molarity Unit"
"Code_219","","C70713","Code","585f3293-58da-4201-afd2-c03031afd047","NCI Thesaurus","Biospecimen Type"
"Code_215","","C64809","Code","f5d4dda3-6195-4fc7-ad19-ad1019263d93","NCI Thesaurus","Sodium Measurement"
"Code_221","","C77140","Code","1e84f651-7489-4ae5-a91d-bd973be44e54","NCI Thesaurus","Clinical Test Result"
"Code_222","2023-09-29","C42547","Code","27cb3f36-e939-44d3-a934-a0a61257d7bf","http://www.cdisc.org","Pascal"
"Code_223","","C49669","Code","172b270b-6d2d-4de2-ad62-e0e810af8bb1","NCI Thesaurus","Unit of Pressure"
"Code_224","","C13717","Code","32ce9513-296b-4c32-b7fe-2a6af97d3678","NCI Thesaurus","Anatomic Site"
"Code_225","","C25185","Code","5c0a9fba-d09f-4e79-8ab7-f68136170885","NCI Thesaurus","Laterality"
"Code_226","","C82535","Code","6c756974-5ff1-45ac-ae45-71e38fd10ebb","NCI Thesaurus","Test Method"
"Code_227","","C62164","Code","b2ef891e-9518-4882-9794-c650bc908be3","NCI Thesaurus","Body Position"
"Code_220","","C25298","Code","21ee90ab-078b-4d93-a3dd-d9e25c93d9e2","NCI Thesaurus","Systolic Blood Pressure"
"Code_229","","C77140","Code","7b9f44c9-3937-4fca-a730-132e780efc6c","NCI Thesaurus","Clinical Test Result"
"Code_230","2023-09-29","C42547","Code","1240fd68-2e74-43bb-9a90-cf1895dc7a0d","http://www.cdisc.org","Pascal"
"Code_231","","C49669","Code","af5439de-2137-45b0-81f5-77b0bedcd738","NCI Thesaurus","Unit of Pressure"
"Code_232","","C13717","Code","abe33f20-cbf7-472b-91a5-d80fe94cec21","NCI Thesaurus","Anatomic Site"
"Code_233","","C25185","Code","78130211-4d61-4c51-bf85-1a68aad16200","NCI Thesaurus","Laterality"
"Code_234","","C82535","Code","9c156d64-8771-44b2-97ca-46cf63ed7c59","NCI Thesaurus","Test Method"
"Code_235","","C62164","Code","87572d54-a3b2-4a70-87e0-dbb1408e03f3","NCI Thesaurus","Body Position"
"Code_228","","C25299","Code","e192d3fa-4a2f-44df-bb14-867c6cdbc2d2","NCI Thesaurus","Diastolic Blood Pressure"
"Code_237","","C77140","Code","51a18db7-3b13-473a-ae65-5771dd1d500f","NCI Thesaurus","Clinical Test Result"
"Code_238","2023-09-29","C49673","Code","3a415287-edd2-425d-9666-e98f4dce4b59","http://www.cdisc.org","Beats per Minute"
"Code_239","","C73688","Code","a4082b65-f8ee-40e2-85a5-847e61ce4e7e","NCI Thesaurus","Count per Minute"
"Code_240","","C13717","Code","96c99e59-f811-4579-8c1c-25db288a5faf","NCI Thesaurus","Anatomic Site"
"Code_241","","C25185","Code","479c011b-775c-4ab2-922a-4716883f3984","NCI Thesaurus","Laterality"
"Code_242","","C82535","Code","664206e0-1d92-4c02-b19b-e0d9a18d77d4","NCI Thesaurus","Test Method"
"Code_243","","C62164","Code","1250f982-778f-4838-b3b2-cff11c1615f8","NCI Thesaurus","Body Position"
