"reference","id","synonyms","label","instanceType","uuid:ID","name"
"/mdr/bc/packages/2023-12-12/biomedicalconcepts/C41331","BiomedicalConcept_1","","Adverse Event","BiomedicalConcept","be0e940e-1234-460a-b713-917f50c1e0c3","Adverse Event"
"/mdr/bc/packages/2023-12-12/biomedicalconcepts/C25298","BiomedicalConcept_2","['SYSBP']","Systolic Blood Pressure","BiomedicalConcept","fa2111e2-6346-411b-a166-60faad34bb0f","Systolic Blood Pressure"
"/mdr/bc/packages/2023-12-12/biomedicalconcepts/C25299","BiomedicalConcept_3","['DIABP']","Diastolic Blood Pressure","BiomedicalConcept","be47053d-41a0-4e75-bdf8-af4cd9ab4f6c","Diastolic Blood Pressure"
"/mdr/bc/packages/2023-12-12/biomedicalconcepts/C174446","BiomedicalConcept_4","['Temperature']","Body Temperature","BiomedicalConcept","8ac399a4-5a43-4599-8fed-661980f71136","Body Temperature"
"/mdr/bc/packages/2023-12-12/biomedicalconcepts/C81328","BiomedicalConcept_5","['Weight']","Body Weight","BiomedicalConcept","10362737-bf40-4f3b-a506-b579b0650c8d","Body Weight"
"/mdr/bc/packages/2023-12-12/biomedicalconcepts/C164634","BiomedicalConcept_6","['Height']","Body Height","BiomedicalConcept","87649264-ddd4-46de-8141-074cebea978d","Body Height"
"/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64433","BiomedicalConcept_7","['ALT', 'SGPT']","Alanine Aminotransferase Measurement","BiomedicalConcept","d79d7934-a625-4821-9336-61a811ebc84b","Alanine Aminotransferase Measurement"
"/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64431","BiomedicalConcept_8","['Albumin']","Albumin Measurement","BiomedicalConcept","42d61f1f-c3d5-42be-8eb0-5b5dc89bbb93","Albumin Measurement"
"/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64432","BiomedicalConcept_9","['Alkaline Phosphatase']","Alkaline Phosphatase Measurement","BiomedicalConcept","ad147477-a1fb-4c88-a65a-91befdc89108","Alkaline Phosphatase Measurement"
"/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64467","BiomedicalConcept_10","['AST', 'SGOT']","Aspartate Aminotransferase Measurement","BiomedicalConcept","181e429b-c4da-4733-adbc-b6943beae0a1","Aspartate Aminotransferase Measurement"
"/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64547","BiomedicalConcept_11","['Creatinine']","Creatinine Measurement","BiomedicalConcept","3a2afe0b-9acc-46d4-8e9a-afb18c7a050a","Creatinine Measurement"
"/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64853","BiomedicalConcept_12","['Potassium', 'K']","Potassium Measurement","BiomedicalConcept","6cd506c7-155d-4547-9261-112329c206eb","Potassium Measurement"
"/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64809","BiomedicalConcept_13","['Sodium', 'NA']","Sodium Measurement","BiomedicalConcept","69323e42-0349-428d-99d4-355730df8126","Sodium Measurement"
"/mdr/bc/packages/2023-12-12/biomedicalconcepts/C25298","BiomedicalConcept_14","['SYSBP']","Systolic Blood Pressure","BiomedicalConcept","2c7d353a-55a8-41a3-b9be-1954470ce910","Systolic Blood Pressure"
"/mdr/bc/packages/2023-12-12/biomedicalconcepts/C25299","BiomedicalConcept_15","['DIABP']","Diastolic Blood Pressure","BiomedicalConcept","7fdea3db-4e7b-41f2-9cda-4825be51cfae","Diastolic Blood Pressure"
"/mdr/bc/packages/2023-12-12/biomedicalconcepts/C49677","BiomedicalConcept_16","","Heart Rate","BiomedicalConcept","f2d7bb30-79e4-43ae-8c1a-084423785c2c","Heart Rate"
"/mdr/bc/packages/2023-12-12/biomedicalconcepts/C25298","BiomedicalConcept_17","['SYSBP']","Systolic Blood Pressure","BiomedicalConcept","bd5ce100-916d-446c-b451-2156273b48b3","Systolic Blood Pressure"
"/mdr/bc/packages/2023-12-12/biomedicalconcepts/C25299","BiomedicalConcept_18","['DIABP']","Diastolic Blood Pressure","BiomedicalConcept","e4c67441-c084-4e6a-bfd7-0be402508466","Diastolic Blood Pressure"
"/mdr/bc/packages/2023-12-12/biomedicalconcepts/C49677","BiomedicalConcept_19","","Heart Rate","BiomedicalConcept","7d5f09bf-9aee-41a3-87a9-34514e7b928e","Heart Rate"
