"sectionTitle","name","id","text","sectionNumber","uuid:ID"
"Rationale for Trial Design","SECTION 4.2","NarrativeContent_15","<div><p>Previous studies of the oral formulation have shown that xanomeline tartrate may improve behavior and cognition. Effects on behavior are manifest within 2 to 4 weeks of initiation of treatment. The same studies have shown that 8 to 12 weeks are required to demonstrate effects on cognition and clinical global assessment. This study is intended to determine the acute and chronic effects of the TTS formulation in AD; for that reason, the study is of 26 weeks duration. Dosage specification has been made on the basis of tolerance to the xanomeline TTS in a clinical pharmacology study (H2Q-EW-LKAA), and target plasma levels as determined in studies of the oral formulation of xanomeline (H2Q-MC-LZZA).</p></div>","4.2","5454e7ab-5006-438b-8874-fc1a19a7df22"
"Rationale for Comparator","SECTION 4.2.1","NarrativeContent_16","<div><p>The parallel dosing regimen maximizes the ability to make direct comparisons between the treatment groups. The use of placebo allows for a blinded, thus minimally biased, study. The placebo treatment group is a comparator group for efficacy and safety assessment.</p><p>Two interim analyses are planned for this study. The first interim analysis will occur when 50% of the patients have completed Visit 8 (8 weeks). If required, the second interim analysis will occur when 50% of the patients have completed Visit 12 (24 weeks).</p></div>","4.2.1","a6588480-fdc8-44b1-9354-26342aec5ab8"
"Rationale for Adaptive or Novel Trial Design","SECTION 4.2.2","NarrativeContent_17","<div></div>","4.2.2","a1fcd9f8-312b-4d18-887a-9ffd2557fb44"
"Other Trial Design Considerations","SECTION 4.2.3","NarrativeContent_18","<div></div>","4.2.3","2de136ef-ed61-409c-8b1b-ed6d1e184501"
"Access to Trial Intervention After End of Trial","SECTION 4.3","NarrativeContent_19","<div></div>","4.3","9be2d114-7831-4f58-b277-a33ba1497690"
"Start of Trial and End of Trial","SECTION 4.4","NarrativeContent_20","<div></div>","4.4","88d66469-e02d-400c-9ccf-5580f76ff70f"
"TRIAL POPULATION","SECTION 5","NarrativeContent_21","<div></div>","5","f83da7ce-1e25-48f2-8400-4c00d22bb62a"
"Selection of Trial Population","SECTION 5.1","NarrativeContent_22","<div><p>For Lilly studies, the following definitions are used:</p>
<div>
  <div><strong>Screen</strong></div>
  <div>
    <p>Screening is the act of determining if an individual meets minimum requirements to become part of a pool of potential candidates for participation in a clinical study.</p>
    <p>In this study, <strong>screening</strong> will include asking the candidate preliminary questions (such as age and general health status) and conducting invasive or diagnostic procedures and/or tests (for example, diagnostic psychological tests, x-rays, blood draws). Patients will sign the consent at their screening visit, thereby consenting to undergo the screening procedures and to participate in the study if they qualify.</p>
  </div>  
</div>
<div>
  <div>To <strong>enter</strong></div>
  <div>
    <p>Patients <strong>entered</strong> into the study are those from whom informed consent for the study has been obtained. Adverse events will be reported for each patient who has <strong>entered</strong> the study, even if the patient is never assigned to a treatment group (<strong>enrolled</strong>).</p></div>
  </div>  
</div>
<div>
  <div>To <strong>enroll</strong></div>
  <div>
    <p>Patients who are enrolled in the study are those who have been assigned to a treatment group. Patients who are entered into the study but fail to meet criteria specified in the protocol for treatment assignment will not be enrolled in the study.</p></div>
  </div>  
</div>
<p>At Visit 1, patients who meet the enrollment criteria of Mini-Mental State Examination (MMSE) score of 10 to 23 (Attachment LZZT.6), Hachinski Ischemia Score ≤4 (Attachment LZZT.8), a physical exam, safety labs, ECG, and urinalysis, will proceed to Visit 2 and Visit 3. At Visit 3, patients whose CNS imaging and other pending labs from Visit 1 satisfy the inclusion criteria (Section 3.4.2.1) will be enrolled in the study. Approximately 300 patients with a diagnosis of probable mild to moderate AD will be enrolled in the study.</p></div>","5.1","751b8140-d609-4593-afbf-f9818cdd313c"
"Rationale for Trial Population","SECTION 5.2","NarrativeContent_23","<div></div>","5.2","26203b47-2abb-4d28-bbf0-b7e2632c9e25"
"Inclusion Criteria","SECTION 5.3","NarrativeContent_24","<div><usdm:section name=""M11-inclusion""></div>","5.3","b90f2f99-d305-452e-89f4-f21dc162dffd"
"Exclusion Criteria","SECTION 5.4","NarrativeContent_25","<div><usdm:section name=""M11-exclusion""></div>","5.4","a35de463-f5d5-4eb9-ad11-7f2ce60c46e6"
"Lifestyle Considerations","SECTION 5.5","NarrativeContent_26","<div></div>","5.5","c0b55847-f9eb-46e4-86cd-6aaeea958c9c"
"Meals and Dietary Restrictions","SECTION 5.5.1","NarrativeContent_27","<div></div>","5.5.1","95b97da4-baaf-44ee-8721-367af7f3f364"
"Caffeine, Alcohol, Tobacco, and Other Habits","SECTION 5.5.2","NarrativeContent_28","<div><p>Not applicable</p></div>","5.5.2","26ba8314-3fe2-41a0-a68a-2b88fee03ec8"
"Physical Activity","SECTION 5.5.3","NarrativeContent_29","<div></div>","5.5.3","c08d2c44-c5e4-46a2-9b0e-04b9549e1da6"
"Other Activity","SECTION 5.5.4","NarrativeContent_30","<div></div>","5.5.4","7995d503-bfee-425e-abb3-90eba6debab5"
"Screen Failures","SECTION 5.6","NarrativeContent_31","<div></div>","5.6","efd57051-17d6-4073-a4b5-1fca896f9a73"
"TRIAL INTERVENTION AND CONCOMITANT THERAPY","SECTION 6","NarrativeContent_32","<div></div>","6","df75d32f-dcb3-4dea-9bc6-a77c405ad44f"
"Description of Trial Intervention","SECTION 6.1","NarrativeContent_33","<div></div>","6.1","dc7e99a7-b4de-4bf3-9f7b-5200e58445a7"
"Rationale for Trial Intervention","SECTION 6.2","NarrativeContent_34","<div></div>","6.2","f3430479-93dd-4941-9396-9703624d0227"
"Dosing and Administration","SECTION 6.3","NarrativeContent_35","<div></div>","6.3","bb964556-35f7-4d4b-bbfd-f2b8ebf30103"
"Trial Intervention Dose Modification","SECTION 6.3.1","NarrativeContent_36","<div></div>","6.3.1","77a3b45f-508c-4d6b-ba58-0bef330296c7"
"Treatment of Overdose","SECTION 6.4","NarrativeContent_37","<div></div>","6.4","8e24702e-2bfe-4ea5-ba22-0d408d41d85f"
"Preparation, Handling, Storage and Accountability","SECTION 6.5","NarrativeContent_38","<div></div>","6.5","403a5c62-46a8-4d86-a0a8-7899404cc9eb"
"Preparation of Trial Intervention","SECTION 6.5.1","NarrativeContent_39","<div></div>","6.5.1","33d39509-21ce-4dfb-b974-cccf0e61168b"
"Handling and Storage of Trial Intervention","SECTION 6.5.2","NarrativeContent_40","<div></div>","6.5.2","e9077291-19db-4493-ad15-bb891610f5b2"
"Accountability of Trial Intervention","SECTION 6.5.3","NarrativeContent_41","<div></div>","6.5.3","f28526d2-9be6-49d9-8460-f0d9647834ce"
"Participant Assignment, Randomisation and Blinding","SECTION 6.6","NarrativeContent_42","<div></div>","6.6","76eaafca-0169-4567-afaf-1cf497e0a57e"
"Participant Assignment","SECTION 6.6.1","NarrativeContent_43","<div></div>","6.6.1","53dc8587-e00c-432a-ba78-3bcf0b6ab6a1"
"Randomisation","SECTION 6.6.2","NarrativeContent_44","<div></div>","6.6.2","efe55507-14f6-4d4f-9f65-500257209a6e"
"Blinding and Unblinding","SECTION 6.6.3","NarrativeContent_45","<div><p>The study will be double-blind. To further preserve the blinding of the study, only a minimum number of Lilly and CRO personnel will see the randomization table and codes before the study is complete.</p>
<p>Emergency codes generated by a computer drug-labeling system will be available to the investigator. These codes, which reveal the patients treatment group, may be opened during the study only if the choice of follow-up treatment depends on the patient’s therapy assignment.</p>
<p>The investigator should make every effort to contact the clinical research physician prior to unblinding a patient’s therapy assignment. If a patient’s therapy assignment is unblinded, Lilly must be notified immediately by telephone. After the study, the investigator must return all sealed and any opened codes.</p></div>","6.6.3","0a5bc687-579d-49a6-b456-9276a3ecc07f"
"Trial Intervention Compliance","SECTION 6.7","NarrativeContent_46","<div></div>","6.7","b34cc5c1-f03b-4a01-89c3-9224202620a5"
"Concomitant Therapy","SECTION 6.8","NarrativeContent_47","<div></div>","6.8","172bc427-3dab-4d17-86a5-b73489519410"
"Prohibited Concomitant Therapy","SECTION 6.8.1","NarrativeContent_48","<div></div>","6.8.1","b65f1df5-9e7c-4a6a-8a6e-b9d5946edb85"
"Permitted Concomitant Therapy","SECTION 6.8.2","NarrativeContent_49","<div></div>","6.8.2","b633eedc-25b6-4ef3-a995-59a464e2e648"
"Rescue Therapy","SECTION 6.8.3","NarrativeContent_50","<div></div>","6.8.3","6a17af1d-82cd-45da-9c16-69f1451a77cb"
"Other Therapy","SECTION 6.8.4","NarrativeContent_51","<div></div>","6.8.4","58f8a17f-63c2-4ef0-828e-223d8e4086de"
"DISCONTINUATION OF TRIAL INTERVENTION AND PARTICIPANT WITHDRAWAL FROM TRIAL","SECTION 7","NarrativeContent_52","<div></div>","7","18eee225-7e7e-458e-87ff-9dea3eb0e17a"
"Discontinuation of Trial Intervention","SECTION 7.1","NarrativeContent_53","<div></div>","7.1","a4ef3f7e-a63e-4b08-a1bd-8bb8f15c344d"
"Criteria for Permanent Discontinuation of Trial Intervention","SECTION 7.1.1","NarrativeContent_54","<div></div>","7.1.1","4fd21ccf-3854-452b-990d-7f87d0d80b6c"
"Temporary Discontinuation or Interruption of Trial Intervention","SECTION 7.1.2","NarrativeContent_55","<div></div>","7.1.2","cb1b4567-533c-4333-b1b5-0e68b67c203d"
"Rechallenge","SECTION 7.1.3","NarrativeContent_56","<div></div>","7.1.3","0275ff31-bb39-4b39-b676-8ea214d3c92d"
"Participant Withdrawal from the Trial","SECTION 7.2","NarrativeContent_57","<div></div>","7.2","3dfe8fca-03ef-403f-86ce-041dc42d78b6"
"Lost to Follow-Up","SECTION 7.3","NarrativeContent_58","<div></div>","7.3","788789e7-0318-44aa-b373-669150b2e80a"
"Trial Stopping Rules","SECTION 7.4","NarrativeContent_59","<div></div>","7.4","df3ca178-dd5b-4506-a180-96cca02ccfef"
"TRIAL ASSESSMENTS AND PROCEDURES","SECTION 8","NarrativeContent_60","<div></div>","8","1e1a2ecc-ee3a-4b5f-b4a2-4c16adf0fc75"
"Screening/Baseline Assessments and Procedures","SECTION 8.1","NarrativeContent_61","<div></div>","8.1","bcdd2885-5cd1-486e-a634-a1db9b0689e1"
"Efficacy Assessments and Procedures","SECTION 8.2","NarrativeContent_62","<div></div>","8.2","41073309-35ff-4160-898c-94fcdc55b2a6"
"Safety Assessments and Procedures","SECTION 8.3","NarrativeContent_63","<div></div>","8.3","24ae0b6d-6680-45b3-be43-f06ca65e3567"
"Physical Examination","SECTION 8.3.1","NarrativeContent_64","<div></div>","8.3.1","e4f137df-7a06-4a7d-b95f-c2482b94de24"
"Vital Signs","SECTION 8.3.2","NarrativeContent_65","<div></div>","8.3.2","9253f680-d473-4528-8b08-dbf39cf02a5e"
"Electrocardiograms","SECTION 8.3.3","NarrativeContent_66","<div></div>","8.3.3","f11e57b9-cea9-4d14-bbda-b3a543cbcd52"
"Clinical Laboratory Assessments","SECTION 8.3.4","NarrativeContent_67","<div></div>","8.3.4","aeed1da0-19ce-42cf-98e6-f9944e50b549"
"Suicidal Ideation and Behaviour Risk Monitoring","SECTION 8.3.5","NarrativeContent_68","<div></div>","8.3.5","77eb8e17-cbb5-466e-8087-45f58ad862b6"
"Adverse Events and Serious Adverse Events","SECTION 8.4","NarrativeContent_69","<div></div>","8.4","8ff3dccb-792f-4584-a187-d5ac93d842ba"
"Definitions of AE and SAE","SECTION 8.4.1","NarrativeContent_70","<div></div>","8.4.1","367e74bb-2bf3-47da-a915-7b67dbc777b5"
"Time Period and Frequency for Collecting AE and SAE Information","SECTION 8.4.2","NarrativeContent_71","<div></div>","8.4.2","3e11bb5c-6bbd-44f4-a0ec-619197c84253"
"Identifying AEs and SAEs","SECTION 8.4.3","NarrativeContent_72","<div></div>","8.4.3","5e94a278-0f87-49d4-ac43-09bea644ee2b"
"Recording of AEs and SAEs","SECTION 8.4.4","NarrativeContent_73","<div></div>","8.4.4","d0c699a9-44a2-4535-8a9a-0b584917786a"
"Follow-up of AEs and SAEs","SECTION 8.4.5","NarrativeContent_74","<div></div>","8.4.5","6be868de-e5c7-4e05-b2ac-780b79c5e1ab"
"Reporting of SAEs","SECTION 8.4.6","NarrativeContent_75","<div></div>","8.4.6","9b887efc-dfed-4a7a-8cdb-0b95d2fe2dcb"
"Regulatory Reporting Requirements for SAEs","SECTION 8.4.7","NarrativeContent_76","<div></div>","8.4.7","d71366ae-05e0-418f-947d-abfc9c5f531c"
"Serious and Unexpected Adverse Reaction Reporting","SECTION 8.4.8","NarrativeContent_77","<div></div>","8.4.8","2a13f260-ebf7-4f21-921c-86136e2f8980"
"Adverse Events of Special Interest","SECTION 8.4.9","NarrativeContent_78","<div></div>","8.4.9","8aa1ebdd-1323-44e0-9850-39ef0fcdc363"
"Disease-related Events or Outcomes Not Qualifying as AEs or SAEs","SECTION 8.4.10","NarrativeContent_79","<div></div>","8.4.10","ff413bcc-004d-4905-a8c8-f84a71b8e910"
"Pregnancy and Postpartum Information","SECTION 8.5","NarrativeContent_80","<div></div>","8.5","b18b01e2-9cdf-49fe-be64-a758ec6026c3"
"Participants Who Become Pregnant During the Trial","SECTION 8.5.1","NarrativeContent_81","<div></div>","8.5.1","aa550715-e712-4eed-859a-4c79647cc4f2"
"Participants Whose Partners Become Pregnant","SECTION 8.5.2","NarrativeContent_82","<div></div>","8.5.2","dcaf35bb-06c7-48ac-af8d-2f482c845236"
"Medical Device Product Complaints for Drug/Device Combination Products","SECTION 8.6","NarrativeContent_83","<div></div>","8.6","02a0e686-7256-4b0d-adbd-f0d77b1c5d21"
"Definition of Medical Device Product Complaints","SECTION 8.6.1","NarrativeContent_84","<div></div>","8.6.1","75f5e035-801f-4490-960f-8fda019716c5"
"Recording of Medical Device Product Complaints","SECTION 8.6.2","NarrativeContent_85","<div></div>","8.6.2","6ab23932-4558-4503-91d5-ccfeebc4f56b"
"Time Period and Frequency for Collecting Medical Device Product Complaints .","SECTION 8.6.3","NarrativeContent_86","<div></div>","8.6.3","a5b2ae0c-cdd9-47f0-a2d8-8e11b35043e0"
"Follow-Up of Medical Device Product Complaints","SECTION 8.6.4","NarrativeContent_87","<div></div>","8.6.4","4aca4a2a-fe2c-4941-ab66-26c7c289a105"
"Regulatory Reporting Requirements for Medical Device Product Complaints","SECTION 8.6.5","NarrativeContent_88","<div></div>","8.6.5","cbef7f79-16fd-4bf8-9ff6-b543b624e261"
"Pharmacokinetics","SECTION 8.7","NarrativeContent_89","<div></div>","8.7","ee59a540-0a21-4340-a6a6-a1b8cd296ab6"
"Genetics","SECTION 8.8","NarrativeContent_90","<div></div>","8.8","26116d1a-645e-43b7-bf81-74d3d3561b51"
"Biomarkers","SECTION 8.9","NarrativeContent_91","<div></div>","8.9","72af0e0b-0e7c-43c5-9f9d-2dc8a5773fb4"
"Immunogenicity Assessments","SECTION 8.1","NarrativeContent_92","<div></div>","8.1","e66e339d-d626-46cd-a817-af25494a90ef"
"Medical Resource Utilisation and Health Economics","SECTION 8.1.1","NarrativeContent_93","<div></div>","8.1.1","e669a72f-67ee-444a-a4fc-41087497c04f"
"STATISTICAL CONSIDERATIONS","SECTION 9","NarrativeContent_94","<div></div>","9","5b16fe39-e9da-41fb-83b8-f1b7eccc5b42"
"Analysis Sets","SECTION 9.1","NarrativeContent_95","<div></div>","9.1","27e60420-5333-435f-9a83-e749130aecf8"
"Analyses Supporting Primary Objective(s)","SECTION 9.2","NarrativeContent_96","<div></div>","9.2","847cd65d-3cf8-4513-af2d-6d1b37f98702"
"Statistical Model, Hypothesis, and Method of Analysis","SECTION 9.2.1","NarrativeContent_97","<div></div>","9.2.1","62f4d782-2f4f-4f2c-99ef-2836623d0c8e"
"Handling of Intercurrent Events of Primary Estimand(s)","SECTION 9.2.2","NarrativeContent_98","<div></div>","9.2.2","6764ca28-5b48-45e0-8608-e5d48747ea9b"
"Handling of Missing Data","SECTION 9.2.3","NarrativeContent_99","<div></div>","9.2.3","b6bef563-303b-4520-8036-2135300d9d08"
"Sensitivity Analysis","SECTION 9.2.4","NarrativeContent_100","<div></div>","9.2.4","a76a68c5-b45a-4944-a7ca-c1363cf87611"
"Supplementary Analysis","SECTION 9.2.5","NarrativeContent_101","<div></div>","9.2.5","d846f402-d161-4128-9af5-53e99d1f6841"
"Analysis Supporting Secondary Objective(s)","SECTION 9.3","NarrativeContent_102","<div></div>","9.3","5759aa53-3c12-4ebd-973e-d8488d52cdc2"
"Analysis of Exploratory Objective(s)","SECTION 9.4","NarrativeContent_103","<div></div>","9.4","35d6f36b-038b-4d98-98e0-d976d7121651"
"Safety Analyses","SECTION 9.5","NarrativeContent_104","<div></div>","9.5","fb684f0d-6d7f-4c31-b571-80a2ece4e2cd"
"Other Analyses","SECTION 9.6","NarrativeContent_105","<div></div>","9.6","b85c0e61-1fe6-4249-8743-23d8c8b0c100"
"Interim Analyses","SECTION 9.7","NarrativeContent_106","<div></div>","9.7","78104c93-b9af-459f-8b02-a1d2c7feb5a5"
"Sample Size Determination","SECTION 9.8","NarrativeContent_107","<div></div>","9.8","2e5d162c-2e82-4312-bab0-11e535ffcf40"
"Protocol Deviations","SECTION 9.9","NarrativeContent_108","<div></div>","9.9","41cee07d-8b77-46db-99da-5fd6863cbad6"
"GENERAL CONSIDERATIONS: REGULATORY, ETHICAL, AND TRIAL OVERSIGHT","SECTION 10","NarrativeContent_109","<div></div>","10","9bcabc98-e79d-4e66-9015-167d5bf04cfa"
"Regulatory and Ethical Considerations","SECTION 10.1","NarrativeContent_110","<div></div>","10.1","9f093060-9e5e-41e9-a582-487241626f94"
"Committees","SECTION 10.2","NarrativeContent_111","<div></div>","10.2","0a146d5b-888e-4cde-a3b5-b15d3f558d89"
"Informed Consent Process","SECTION 10.3","NarrativeContent_112","<div></div>","10.3","154a6bba-4b2b-4f3d-931a-b4536ff39d6e"
"Data Protection","SECTION 10.4","NarrativeContent_113","<div></div>","10.4","3ba458ae-ab11-4d47-9662-94afcdc4bebf"
"Early Site Closure or Trial Termination","SECTION 10.5","NarrativeContent_114","<div></div>","10.5","d065962a-00c5-43f7-b744-83fd0cc6f697"
"GENERAL CONSIDERATIONS: RISK MANAGEMENT AND QUALITY ASSURANCE","SECTION 11","NarrativeContent_115","<div></div>","11","49b44c97-a7d3-45b0-aaad-24678e6fb110"
"Quality Tolerance Limits","SECTION 11.1","NarrativeContent_116","<div></div>","11.1","c029f208-73f2-46a0-86bc-47e77ae987fb"
"Data Quality Assurance","SECTION 11.2","NarrativeContent_117","<div></div>","11.2","a3b9d1c1-3299-4cde-a213-d8e55a37455f"
"Source Data","SECTION 11.3","NarrativeContent_118","<div></div>","11.3","4f3ee104-0cd9-45da-a38f-5695d4af459a"
"APPENDIX: ADVERSE EVENTS AND SERIOUS ADVERSE EVENTS - DEFINITIONS, SEVERITY, AND CAUSALITY","SECTION 12","NarrativeContent_119","<div></div>","12","023f2cc8-becc-493e-980b-24de51ae3dc3"
"Further Details and Clarifications on the AE Definition","SECTION 12.1","NarrativeContent_120","<div></div>","12.1","d4731c22-cb14-4b6d-9d42-cae758a6dce2"
"Further Details and Clarifications on the SAE Definition","SECTION 12.2","NarrativeContent_121","<div></div>","12.2","849339d9-3f17-4752-b2ce-fdc0adec5a72"
"Severity","SECTION 12.3","NarrativeContent_122","<div></div>","12.3","3ea7a106-d1c8-44f6-8c71-4fe30bee0df2"
"Causality","SECTION 12.4","NarrativeContent_123","<div></div>","12.4","61ad6b99-46ee-4148-aeac-64de5694c303"
"APPENDIX: DEFINITIONS AND SUPPORTING OPERATIONAL DETAILS","SECTION 13","NarrativeContent_124","<div></div>","13","b52f5285-f8c8-4c9b-89e1-ca1c785adfea"
"Contraception and Pregnancy Testing","SECTION 13.1","NarrativeContent_125","<div></div>","13.1","a716a480-577e-4423-9989-454c0cacfc40"
"Definitions Related to Childbearing Potential","SECTION 13.1.1","NarrativeContent_126","<div></div>","13.1.1","38f45098-8c39-426c-b02e-534ab98c0a40"
"Contraception","SECTION 13.1.2","NarrativeContent_127","<div></div>","13.1.2","1ed7dd65-c3ef-4113-85fc-ecee0ea5f2e6"
"Pregnancy Testing","SECTION 13.1.3","NarrativeContent_128","<div></div>","13.1.3","8bed34eb-408c-4818-9955-69c4c2ac5881"
"Clinical Laboratory Tests","SECTION 13.2","NarrativeContent_129","<div></div>","13.2","bb44b02e-f9ce-4e0d-8970-ef31dd4e5748"
"Country/Region-Specific Differences","SECTION 13.3","NarrativeContent_130","<div></div>","13.3","c26d2e64-4fb0-4e4f-a2fe-40d674ad1aa2"
"Prior Protocol Amendments","SECTION 13.4","NarrativeContent_131","<div></div>","13.4","aad3a4f4-fe02-47fb-b8ef-92029071c001"
"APPENDIX: GLOSSARY OF TERMS","SECTION 14","NarrativeContent_132","<div></div>","14","7aeed4b5-c9ce-46da-bd71-a01e065f5efd"
"APPENDIX: REFERENCES","SECTION 15","NarrativeContent_133","<div></div>","15","2586338e-3383-4808-a350-b80c9911ef37"
