"label","bcSynonyms","name","id","bcReference","uuid:ID"
"Body Weight","['Weight']","Body Weight","BiomedicalConcept_5","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C81328","454e169d-9968-4a19-9f1f-f638ac610e21"
"Body Height","['Height']","Body Height","BiomedicalConcept_6","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C164634","b36b93fd-4743-43c2-9c53-663ab307db49"
"Alanine Aminotransferase Measurement","['ALT', 'SGPT']","Alanine Aminotransferase Measurement","BiomedicalConcept_7","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64433","353974cf-8984-423e-afe5-de8e5653fa8d"
"Albumin Measurement","['Albumin']","Albumin Measurement","BiomedicalConcept_8","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64431","ab349adc-7c8b-47ce-bd0a-d250d8439548"
"Alkaline Phosphatase Measurement","['Alkaline Phosphatase']","Alkaline Phosphatase Measurement","BiomedicalConcept_9","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64432","5a3e7113-d1df-4e01-a674-6f4201101b49"
"Aspartate Aminotransferase Measurement","['AST', 'SGOT']","Aspartate Aminotransferase Measurement","BiomedicalConcept_10","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64467","8f7e6c3a-8f35-4754-96c7-e2a7a48fe46a"
"Creatinine Measurement","['Creatinine']","Creatinine Measurement","BiomedicalConcept_11","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64547","2d667e88-4b6f-4fbd-9906-00cde9f96d97"
"Potassium Measurement","['Potassium', 'K']","Potassium Measurement","BiomedicalConcept_12","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64853","419cfad8-2e1b-4e68-ab14-72b8be2b92c9"
"Sodium Measurement","['Sodium', 'NA']","Sodium Measurement","BiomedicalConcept_13","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64809","248b0d5a-0ae6-4dd0-a7e1-693af0f50eff"
"Systolic Blood Pressure","['SYSBP']","Systolic Blood Pressure","BiomedicalConcept_14","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25298","74d22559-f23b-494c-8ffc-2f10b793d1f3"
"Diastolic Blood Pressure","['DIABP']","Diastolic Blood Pressure","BiomedicalConcept_15","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25299","fb48a7f2-9e43-4c03-902c-85647c090e39"
"Systolic Blood Pressure","['SYSBP']","Systolic Blood Pressure","BiomedicalConcept_16","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25298","c721fb16-b2f8-4690-9bbb-8977dff362b1"
"Diastolic Blood Pressure","['DIABP']","Diastolic Blood Pressure","BiomedicalConcept_17","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25299","9e346eee-d158-4843-a015-c64dc8be0acf"
