"bcPropertyDatatype","label","bcPropertyEnabled","name","id","bcPropertyResponseCodes","bcPropertyRequired","uuid:ID"
"decimal","Laboratory Test Result","True","Laboratory Test Result","BiomedicalConceptProperty_105","[]","True","1085ef46-5b4e-421c-9435-499a25fb9ca2"
"boolean","Laboratory Test Fasting Status","True","Laboratory Test Fasting Status","BiomedicalConceptProperty_106","[]","True","43ff1448-8165-46d5-8856-574da0cc30bb"
"string","Unit of Catalytic Activity Concentration","True","Unit of Catalytic Activity Concentration","BiomedicalConceptProperty_107","[]","True","9b0a2a37-57e1-4aa1-8fb0-77fcfbbeb578"
"string","Biospecimen Type","True","Biospecimen Type","BiomedicalConceptProperty_108","[]","True","4d5493c4-4e09-4ddb-999f-c8a199a84874"
"string","Laboratory Test Result","True","Laboratory Test Result","BiomedicalConceptProperty_109","[]","True","02a97e7e-70c7-46d9-b882-a5b4c6672ba4"
"boolean","Laboratory Test Fasting Status","True","Laboratory Test Fasting Status","BiomedicalConceptProperty_110","[]","True","c999b4dd-24e6-4131-976f-42e89b6533c4"
"string","Unit of Concentration","True","Unit of Concentration","BiomedicalConceptProperty_111","[]","True","7ed3e604-e3dd-4295-be5d-4063d181e7e3"
"string","Biospecimen Type","True","Biospecimen Type","BiomedicalConceptProperty_112","[]","True","c34ed7ef-1e76-41fc-814e-0248359dc90c"
"decimal","Laboratory Test Result","True","Laboratory Test Result","BiomedicalConceptProperty_113","[]","True","ca9e296a-65be-4967-bc3c-c9637ceb0ac3"
"boolean","Laboratory Test Fasting Status","True","Laboratory Test Fasting Status","BiomedicalConceptProperty_114","[]","True","e193011d-02fb-4d87-a8f6-8d570bcadbed"
"string","Molarity Unit","True","Molarity Unit","BiomedicalConceptProperty_115","[]","True","2eb231db-e798-4ef5-ba72-9a016b43582b"
"string","Biospecimen Type","True","Biospecimen Type","BiomedicalConceptProperty_116","[]","True","1bf013f2-4eb7-4b3e-b568-182cd08c69f8"
"decimal","Laboratory Test Result","True","Laboratory Test Result","BiomedicalConceptProperty_117","[]","True","749a3109-2aff-4d24-b56a-1d0e2cf62a92"
"boolean","Laboratory Test Fasting Status","True","Laboratory Test Fasting Status","BiomedicalConceptProperty_118","[]","True","9e3ff3a9-0433-40f3-89ba-b19ed001ae42"
"string","Molarity Unit","True","Molarity Unit","BiomedicalConceptProperty_119","[]","True","d9905f9c-7b9d-4b25-ab00-a89dd5a7e6d6"
"string","Biospecimen Type","True","Biospecimen Type","BiomedicalConceptProperty_120","[]","True","94fbaada-c51a-4029-97a0-cbdbf83fe7c8"
"string","Adverse Event Verbatim Description","True","Adverse Event Verbatim Description","BiomedicalConceptProperty_1","[]","True","1a15a3c0-c25c-4698-bde1-9a4f045c1ba1"
"string","Adverse Event Dictionary Derived Term","True","Adverse Event Dictionary Derived Term","BiomedicalConceptProperty_2","[]","True","09f30f7d-6dc9-493e-9861-91deab2f7cd9"
"string","Adverse Event Category","True","Adverse Event Category","BiomedicalConceptProperty_3","[]","True","c2e0d427-3720-4e05-b911-42c9bf7ae47a"
"string","Adverse Event Subcategory","True","Adverse Event Subcategory","BiomedicalConceptProperty_4","[]","True","e54afa32-d917-4c8c-9c66-1eb1f39840c7"
"boolean","Adverse Event Pre-specified","True","Adverse Event Pre-specified","BiomedicalConceptProperty_5","[]","True","164815ab-1bd0-47c9-9080-4107f09918dd"
"string","Severity of Adverse Event","True","Severity of Adverse Event","BiomedicalConceptProperty_6","[]","True","457d7264-6ef6-4f94-b015-b92493ab5631"
"string","Adverse Event Toxicity Grade","True","Adverse Event Toxicity Grade","BiomedicalConceptProperty_7","[]","True","2f017ace-1d64-4eff-952d-3cf675a31cee"
"boolean","Seriousness of Adverse Event","True","Seriousness of Adverse Event","BiomedicalConceptProperty_8","[]","True","3669c506-ad04-4712-ae3e-025c4296b27b"
"string","Adverse Event Action Taken with Study Treatment","True","Adverse Event Action Taken with Study Treatment","BiomedicalConceptProperty_9","","True","f5eff581-8349-486d-b593-74391d005e16"
"string","Adverse Event Attribution to Product or Procedure","True","Adverse Event Attribution to Product or Procedure","BiomedicalConceptProperty_10","[]","True","c60aa6c9-1f62-446a-a2c0-bf915348c7fc"
"string","Adverse Event Pattern","True","Adverse Event Pattern","BiomedicalConceptProperty_11","[]","True","afbad474-fc33-4873-bf8d-26c5b7dd149d"
"string","Adverse Event Outcome","True","Adverse Event Outcome","BiomedicalConceptProperty_12","","True","43c8aacf-86ab-43b3-8876-29bb6db4ec93"
"datetime","Adverse Event Start Date Time","True","Adverse Event Start Date Time","BiomedicalConceptProperty_13","[]","True","5db1465e-caec-4fbf-a561-0f1cea2877ff"
"datetime","Adverse Event End Date Time","True","Adverse Event End Date Time","BiomedicalConceptProperty_14","[]","True","d94a621e-40c9-4f83-b7c8-891fa2096472"
"decimal","Vital Signs Result","True","Vital Signs Result","BiomedicalConceptProperty_15","[]","True","d6be1d70-bed8-401a-8b96-2794f3e21413"
"string","Unit of Pressure","True","Unit of Pressure","BiomedicalConceptProperty_16","","True","dfb237e9-c180-46b7-8943-74c89a38b747"
"string","Vital Signs Location","True","Vital Signs Location","BiomedicalConceptProperty_17","[]","True","6c7c10dd-e742-45e5-8e6a-8239ed0400f9"
"string","Vital Signs Laterality","True","Vital Signs Laterality","BiomedicalConceptProperty_18","[]","True","4a7aeb74-0e2d-4e72-b139-ecbea795f8ab"
"string","Test Method","True","Test Method","BiomedicalConceptProperty_19","[]","True","d4321760-df1e-4174-b8e0-219adb9ee1ab"
"string","Vital Signs Position","True","Vital Signs Position","BiomedicalConceptProperty_20","[]","True","43a6f236-8a84-44f3-825e-392e6adfa19f"
"decimal","Vital Signs Result","True","Vital Signs Result","BiomedicalConceptProperty_21","[]","True","c634756c-d138-4212-800b-4b74718572c0"
"string","Unit of Pressure","True","Unit of Pressure","BiomedicalConceptProperty_22","","True","913d109c-f5bd-41cd-a39e-4487244f4885"
"string","Vital Signs Location","True","Vital Signs Location","BiomedicalConceptProperty_23","[]","True","ca8c17b7-1e30-4ea7-bb31-4aab3834590c"
"string","Vital Signs Laterality","True","Vital Signs Laterality","BiomedicalConceptProperty_24","[]","True","73500514-3a35-4478-b2a4-23358ccc37b9"
"string","Test Method","True","Test Method","BiomedicalConceptProperty_25","[]","True","c6e679ef-2f85-480c-a3a6-96343bb06674"
"string","Vital Signs Position","True","Vital Signs Position","BiomedicalConceptProperty_26","[]","True","81c1c581-5133-4b61-bb0d-1994bd0052bf"
"decimal","Vital Signs Result","True","Vital Signs Result","BiomedicalConceptProperty_27","[]","True","fa23ba1f-a4ef-473e-8475-0ba322e87a15"
"string","Unit of Temperature","True","Unit of Temperature","BiomedicalConceptProperty_28","","True","1fba5b61-4ff2-4315-b7ee-711b5ebf424e"
"string","Vital Signs Location","True","Vital Signs Location","BiomedicalConceptProperty_29","[]","True","66bbe7a4-2ca1-412a-a72e-7801039095c3"
"decimal","Vital Signs Result","True","Vital Signs Result","BiomedicalConceptProperty_30","[]","True","d5b09bc7-4c01-43e9-bcdf-e341adc0967b"
"string","Unit of Weight","True","Unit of Weight","BiomedicalConceptProperty_31","","True","15b535d9-c9d0-430f-b4c2-6ac18d416aec"
"decimal","Vital Signs Result","True","Vital Signs Result","BiomedicalConceptProperty_32","[]","True","54bc953c-7172-45d9-ade9-ef0cfc7a0a4e"
"string","Unit of Height","True","Unit of Height","BiomedicalConceptProperty_33","","True","769f6c2a-0dfe-484f-a928-5099b1403ae4"
"decimal","Laboratory Test Result","True","Laboratory Test Result","BiomedicalConceptProperty_34","[]","True","e09389dc-f4d1-4603-8e70-fbde8d7df0e2"
"boolean","Laboratory Test Fasting Status","True","Laboratory Test Fasting Status","BiomedicalConceptProperty_35","[]","True","4cfa1f96-9252-4308-a43e-12cb1d28b59a"
"string","Unit of Catalytic Activity Concentration","True","Unit of Catalytic Activity Concentration","BiomedicalConceptProperty_36","[]","True","1f3b8eeb-71db-4153-996c-4d6d02b7f16f"
"string","Biospecimen Type","True","Biospecimen Type","BiomedicalConceptProperty_37","[]","True","2fdeb5e9-817d-4ada-a8e9-9dd19c5c142f"
"string","Laboratory Test Result","True","Laboratory Test Result","BiomedicalConceptProperty_38","[]","True","84272ea9-7ec5-428c-b828-aff0e06f4ab7"
"boolean","Laboratory Test Fasting Status","True","Laboratory Test Fasting Status","BiomedicalConceptProperty_39","[]","True","3a31c6c6-eebd-4513-857d-5c116efd7e2b"
"string","Unit of Concentration","True","Unit of Concentration","BiomedicalConceptProperty_40","[]","True","09d14df9-65c7-4331-a51d-b006ef5e17da"
"string","Biospecimen Type","True","Biospecimen Type","BiomedicalConceptProperty_41","[]","True","f9a569e4-133a-46a2-9ee4-9d86007f2184"
"decimal","Laboratory Test Result","True","Laboratory Test Result","BiomedicalConceptProperty_42","[]","True","570077da-8869-4a9d-a735-f8a49d95d529"
"boolean","Laboratory Test Fasting Status","True","Laboratory Test Fasting Status","BiomedicalConceptProperty_43","[]","True","10b873ed-2f7f-45b6-bdb6-07013f0d0ad6"
"string","Unit of Catalytic Activity Concentration","True","Unit of Catalytic Activity Concentration","BiomedicalConceptProperty_44","[]","True","8774fa24-9e8d-4cdb-a29b-46691185b0a7"
"string","Biospecimen Type","True","Biospecimen Type","BiomedicalConceptProperty_45","[]","True","d494c3d9-c3d6-481b-a3f1-638673585441"
"decimal","Laboratory Test Result","True","Laboratory Test Result","BiomedicalConceptProperty_46","[]","True","c051ee27-f2f7-4aeb-8021-8ce16d48fff1"
"boolean","Laboratory Test Fasting Status","True","Laboratory Test Fasting Status","BiomedicalConceptProperty_47","[]","True","b30840a7-3518-494e-b8e1-07bcb34817f8"
"string","Unit of Catalytic Activity Concentration","True","Unit of Catalytic Activity Concentration","BiomedicalConceptProperty_48","[]","True","470fb7b8-af52-4fd3-bfe6-3ba143b199d9"
"string","Biospecimen Type","True","Biospecimen Type","BiomedicalConceptProperty_49","[]","True","2268e3de-5132-4835-a652-7bb63e8b5549"
"string","Laboratory Test Result","True","Laboratory Test Result","BiomedicalConceptProperty_50","[]","True","5579edf3-b37f-4109-8cea-9c80b83e90b8"
"boolean","Laboratory Test Fasting Status","True","Laboratory Test Fasting Status","BiomedicalConceptProperty_51","[]","True","07166f0f-fb82-45c2-b7a2-54c5f6ce026f"
"string","Unit of Concentration","True","Unit of Concentration","BiomedicalConceptProperty_52","[]","True","489e79e1-7961-42c3-95cd-6b2fa4be6275"
"string","Biospecimen Type","True","Biospecimen Type","BiomedicalConceptProperty_53","[]","True","8f38283d-30a1-4c39-a99b-eae69a01edea"
"decimal","Laboratory Test Result","True","Laboratory Test Result","BiomedicalConceptProperty_54","[]","True","3193a1bf-eff0-4f77-a869-b6f2a635781b"
"boolean","Laboratory Test Fasting Status","True","Laboratory Test Fasting Status","BiomedicalConceptProperty_55","[]","True","6511c866-f24d-4a98-952c-9b60bf80c9f7"
"string","Molarity Unit","True","Molarity Unit","BiomedicalConceptProperty_56","[]","True","09487127-7e36-416d-bab6-a2a5098d57c5"
"string","Biospecimen Type","True","Biospecimen Type","BiomedicalConceptProperty_57","[]","True","b9d2148f-9d64-42c8-ad5c-07e4e90339fe"
"decimal","Laboratory Test Result","True","Laboratory Test Result","BiomedicalConceptProperty_58","[]","True","abfe2325-0fff-4d1b-a05b-50c562e07b9a"
"boolean","Laboratory Test Fasting Status","True","Laboratory Test Fasting Status","BiomedicalConceptProperty_59","[]","True","ca9a60ab-79a5-4655-9976-eee39c8c8f77"
"string","Molarity Unit","True","Molarity Unit","BiomedicalConceptProperty_60","[]","True","9a268427-4586-4798-8b24-dc290960517b"
"string","Biospecimen Type","True","Biospecimen Type","BiomedicalConceptProperty_61","[]","True","d9727043-685e-4b79-8e63-c8cce2a8fc13"
"decimal","Vital Signs Result","True","Vital Signs Result","BiomedicalConceptProperty_62","[]","True","65d515b4-8ee4-49b7-a195-18feedfb9332"
"string","Unit of Pressure","True","Unit of Pressure","BiomedicalConceptProperty_63","","True","d86aa6b1-06f5-4b72-9834-0b64979c8ec1"
"string","Vital Signs Location","True","Vital Signs Location","BiomedicalConceptProperty_64","[]","True","3bfb6ee5-f0ba-46ae-9252-1179b1c19d82"
"string","Vital Signs Laterality","True","Vital Signs Laterality","BiomedicalConceptProperty_65","[]","True","1e176ee3-c2b6-44b6-a8f5-d8a3d973e053"
"string","Test Method","True","Test Method","BiomedicalConceptProperty_66","[]","True","0579a68d-ce41-4405-bc08-1fdccc5e07cc"
"string","Vital Signs Position","True","Vital Signs Position","BiomedicalConceptProperty_67","[]","True","e858d8ae-04d2-434e-af71-8cdab32034ba"
"decimal","Vital Signs Result","True","Vital Signs Result","BiomedicalConceptProperty_68","[]","True","163886a8-480c-495d-95fd-9f79b4863052"
"string","Unit of Pressure","True","Unit of Pressure","BiomedicalConceptProperty_69","","True","45484972-91a9-4aff-8aef-2c45321c35ac"
"string","Vital Signs Location","True","Vital Signs Location","BiomedicalConceptProperty_70","[]","True","d9763072-c42c-4d8c-9e8c-e3be3a2723ba"
"string","Vital Signs Laterality","True","Vital Signs Laterality","BiomedicalConceptProperty_71","[]","True","6e7fcccd-6976-4b9e-bbf2-8dff78a4ffd4"
"string","Test Method","True","Test Method","BiomedicalConceptProperty_72","[]","True","78e4dc84-b474-42e5-973f-d5c4e22a82da"
"string","Vital Signs Position","True","Vital Signs Position","BiomedicalConceptProperty_73","[]","True","fcbb7505-a297-41ee-a687-4f009d77d698"
"decimal","Vital Signs Result","True","Vital Signs Result","BiomedicalConceptProperty_74","[]","True","ae19fed8-eb72-46f7-a88a-9c4d9362d303"
"string","Unit of Pressure","True","Unit of Pressure","BiomedicalConceptProperty_75","","True","0f28587e-679f-4b3e-b73f-029a6e0ea8cd"
"string","Vital Signs Location","True","Vital Signs Location","BiomedicalConceptProperty_76","[]","True","8b8b6818-bc00-4bde-892b-a186ceae74c0"
"string","Vital Signs Laterality","True","Vital Signs Laterality","BiomedicalConceptProperty_77","[]","True","8fc773db-cec2-4631-bc81-a2f0b043fc6a"
"string","Test Method","True","Test Method","BiomedicalConceptProperty_78","[]","True","a3a9e3c3-da1a-47a7-8da6-3407a6fc42c9"
"string","Vital Signs Position","True","Vital Signs Position","BiomedicalConceptProperty_79","[]","True","8976d16c-c77f-444a-95f7-15360ce5f441"
"decimal","Vital Signs Result","True","Vital Signs Result","BiomedicalConceptProperty_80","[]","True","7b8a0fe1-e060-4885-b577-6746572e6c1f"
"string","Unit of Pressure","True","Unit of Pressure","BiomedicalConceptProperty_81","","True","424bcb40-37e9-4302-8b06-512f1e6d8f29"
"string","Vital Signs Location","True","Vital Signs Location","BiomedicalConceptProperty_82","[]","True","39579a61-38eb-43a2-89a5-7759eeb70075"
"string","Vital Signs Laterality","True","Vital Signs Laterality","BiomedicalConceptProperty_83","[]","True","38e5ee4f-a9e5-4ede-a2ca-76c4629cb92a"
"string","Test Method","True","Test Method","BiomedicalConceptProperty_84","[]","True","b56e174f-4609-4f1c-ab29-62d5cdef293b"
"string","Vital Signs Position","True","Vital Signs Position","BiomedicalConceptProperty_85","[]","True","2ebcfd8b-32bb-4c2d-ad21-6f50db174d91"
