"bcReference","bcSynonyms","uuid:ID","name","id","label"
"/mdr/bc/packages/2023-10-03/biomedicalconcepts/C41331","['Adverse Event Reported Term', 'AETERM']","ce017997-1f56-4466-bf2f-98c39f27f1c5","Adverse Event","BiomedicalConcept_1","Adverse Event"
"/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25298","['SYSBP']","1a628510-96ba-4afb-a1e2-17e4b20d8443","Systolic Blood Pressure","BiomedicalConcept_2","Systolic Blood Pressure"
"/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25299","['DIABP']","796bde95-e4dc-4a80-9f44-57d77f3605cc","Diastolic Blood Pressure","BiomedicalConcept_3","Diastolic Blood Pressure"
"/mdr/bc/packages/2022-10-26/biomedicalconcepts/C174446","['Temperature']","07283e29-af41-44bb-94ae-99ebc69bd4ad","Body Temperature","BiomedicalConcept_4","Body Temperature"
"/mdr/bc/packages/2022-10-26/biomedicalconcepts/C81328","['Weight']","a56bf148-53c6-4414-bcd7-fad9981a57ee","Body Weight","BiomedicalConcept_5","Body Weight"
"/mdr/bc/packages/2022-10-26/biomedicalconcepts/C164634","['Height']","7c118dc7-7458-402a-9391-3499ec95ee12","Body Height","BiomedicalConcept_6","Body Height"
"/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64433","['ALT', 'SGPT']","33c0fc05-b64d-4ea2-b7f2-f9571ec7abed","Alanine Aminotransferase Measurement","BiomedicalConcept_7","Alanine Aminotransferase Measurement"
"/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64431","['Albumin']","dda9c5b0-1e85-44c0-b014-090e31d06479","Albumin Measurement","BiomedicalConcept_8","Albumin Measurement"
"/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64432","['Alkaline Phosphatase']","5c584a62-ee38-45e0-9c39-6d9d629d9bec","Alkaline Phosphatase Measurement","BiomedicalConcept_9","Alkaline Phosphatase Measurement"
"/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64467","['AST', 'SGOT']","0d22ae3e-340d-48db-97a7-ec01dab61f89","Aspartate Aminotransferase Measurement","BiomedicalConcept_10","Aspartate Aminotransferase Measurement"
"/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64547","['Creatinine']","2f63170e-adb8-425c-9434-81c2ba9eddff","Creatinine Measurement","BiomedicalConcept_11","Creatinine Measurement"
"/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64853","['Potassium', 'K']","68f741e7-6479-4cd0-98cb-1d71a7ea3fd2","Potassium Measurement","BiomedicalConcept_12","Potassium Measurement"
"/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64809","['Sodium', 'NA']","d03c74af-ef55-4fa0-9f99-d7c00580ff17","Sodium Measurement","BiomedicalConcept_13","Sodium Measurement"
"/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25298","['SYSBP']","d255acfa-0806-400e-a549-10d1eadf2b7f","Systolic Blood Pressure","BiomedicalConcept_14","Systolic Blood Pressure"
"/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25299","['DIABP']","31451f51-97ee-426e-88e5-32852725c1ba","Diastolic Blood Pressure","BiomedicalConcept_15","Diastolic Blood Pressure"
"/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25298","['SYSBP']","2d91ef06-0a23-4734-b1f0-a205e934cc21","Systolic Blood Pressure","BiomedicalConcept_16","Systolic Blood Pressure"
"/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25299","['DIABP']","10305781-427b-4808-adf0-7410756a2acc","Diastolic Blood Pressure","BiomedicalConcept_17","Diastolic Blood Pressure"
