"code","codeSystem","decode","id","codeSystemVersion","uuid:ID"
"C64433","NCI Thesaurus","Alanine Aminotransferase Measurement","Code_261","","8998f47a-5dd5-4d7a-b048-99f5c3cd6124"
"C36292","NCI Thesaurus","Laboratory Test Result","Code_267","","2c24e7e1-8599-486c-b396-31b70ba3e8a9"
"C83309","NCI Thesaurus","Laboratory Test Fasting Status","Code_268","","262f7523-5149-4118-a91b-250a3557162d"
"C48207","NCI Thesaurus","Unit of Concentration","Code_269","","08af38d9-f776-43fb-8016-0ca1d468a9fb"
"C70713","NCI Thesaurus","Biospecimen Type","Code_270","","6a050244-3ebe-4d2e-8097-4a6b30511934"
"C64431","NCI Thesaurus","Albumin Measurement","Code_266","","c9c820d0-69bf-47c4-b417-748d458cc47f"
"C36292","NCI Thesaurus","Laboratory Test Result","Code_272","","b8795bde-c3af-4ac1-ad3e-a278dfd16691"
"C83309","NCI Thesaurus","Laboratory Test Fasting Status","Code_273","","44e5a20f-3a8b-4b29-bca3-9fcd4f1ee471"
"C67365","NCI Thesaurus","Unit of Catalytic Activity Concentration","Code_274","","94479750-9d97-4226-9c73-609ec0905a7f"
"C70713","NCI Thesaurus","Biospecimen Type","Code_275","","d27c1180-3b5c-4726-9cf8-3bddb0dff261"
"C64432","NCI Thesaurus","Alkaline Phosphatase Measurement","Code_271","","df0af8ae-6327-4ded-a0b2-ceff0d445ff7"
"C36292","NCI Thesaurus","Laboratory Test Result","Code_277","","720689c2-0a78-4f94-9844-52230af17d4f"
"C83309","NCI Thesaurus","Laboratory Test Fasting Status","Code_278","","bac694c8-7f40-4ca0-a59d-a699f812b16b"
"C67365","NCI Thesaurus","Unit of Catalytic Activity Concentration","Code_279","","45b3ba4f-5b0c-4483-9791-3c18c993c333"
"C70713","NCI Thesaurus","Biospecimen Type","Code_280","","51145221-d8d6-400e-865e-223b612a9095"
"C64467","NCI Thesaurus","Aspartate Aminotransferase Measurement","Code_276","","6cb68164-ae76-4bb1-8b3b-3946064d67b8"
"C36292","NCI Thesaurus","Laboratory Test Result","Code_282","","7570fb11-9bc8-4c9c-8e56-6703535e8aa1"
"C83309","NCI Thesaurus","Laboratory Test Fasting Status","Code_283","","bd8f311f-aa69-44e0-b349-4b1646ce97f3"
"C48207","NCI Thesaurus","Unit of Concentration","Code_284","","252bc788-9c29-4c2b-b1d2-78310871c52b"
"C70713","NCI Thesaurus","Biospecimen Type","Code_285","","42ec960c-b969-4386-a078-c1ab452ad8c6"
"C64547","NCI Thesaurus","Creatinine Measurement","Code_281","","76dbfeae-d1e7-44bb-b434-c860ac4cc219"
"C36292","NCI Thesaurus","Laboratory Test Result","Code_287","","e6295bb8-83e7-4613-9138-eb8b302e55a5"
"C83309","NCI Thesaurus","Laboratory Test Fasting Status","Code_288","","811c6cf5-43e3-4bd1-84d8-f21a15966efc"
"C64567","NCI Thesaurus","Molarity Unit","Code_289","","63b8de6f-3a5b-4e56-8cdc-ae83c25e0949"
"C70713","NCI Thesaurus","Biospecimen Type","Code_290","","1580f3cd-7a1d-491c-8013-1c0c3ab75967"
"C64853","NCI Thesaurus","Potassium Measurement","Code_286","","8f8f48de-faec-4824-b2ed-cf8c3b8add85"
"C36292","NCI Thesaurus","Laboratory Test Result","Code_292","","ce590496-34b6-4287-a982-d3a8c3cdcd21"
"C83309","NCI Thesaurus","Laboratory Test Fasting Status","Code_293","","ba7bb96a-a7fe-4d6a-8d99-fd6d69ce3fb9"
"C64567","NCI Thesaurus","Molarity Unit","Code_294","","f9e44b4c-ca4c-49c4-94cb-11869ca0b9f1"
"C70713","NCI Thesaurus","Biospecimen Type","Code_295","","bce10af2-048b-410b-8807-71a39e72afeb"
"C64809","NCI Thesaurus","Sodium Measurement","Code_291","","eda098da-b0ed-4e36-90ba-94ab30e7e1e5"
"C78541","NCI Thesaurus","Adverse Event Verbatim Description","Code_126","","0fff1a6c-e770-41ed-ba5c-d5ce705ab450"
"C83344","NCI Thesaurus","Adverse Event Dictionary Derived Term","Code_127","","8f152196-41f6-4106-8030-b3dd6897646b"
"C83198","NCI Thesaurus","Adverse Event Category","Code_128","","bcc76e33-3c45-4656-affc-ade4db88b229"
"C83212","NCI Thesaurus","Adverse Event Subcategory","Code_129","","fb51b557-3586-4ac6-b411-b0471e8789d9"
"C87840","NCI Thesaurus","Adverse Event Pre-specified","Code_130","","24949fe8-7385-47be-be26-da822c326854"
"C53253","NCI Thesaurus","Severity of Adverse Event","Code_131","","578663fe-610b-403d-ad2f-a36cec8daed0"
"C78605","NCI Thesaurus","Adverse Event Toxicity Grade","Code_132","","d21bf43a-5e5e-4960-8f6d-25945fef3a2b"
"C53252","NCI Thesaurus","Seriousness of Adverse Event","Code_133","","6570606a-ecac-4512-a7b1-1758382f2aa3"
"C17998","http://www.cdisc.org","Unknown","Code_134","2023-09-29","bf46d77e-816c-4326-8602-74addea2a04d"
"C83013","NCI Thesaurus","Adverse Event Action Taken with Study Treatment","Code_135","","761311dc-4d67-405d-9c78-adda16bef28d"
"C41358","NCI Thesaurus","Adverse Event Attribution to Product or Procedure","Code_136","","fee06f3b-ed45-4892-8a44-f5590dffc6db"
"C83208","NCI Thesaurus","Adverse Event Pattern","Code_137","","a5c60c73-5058-4613-87ea-48365399135a"
"C17998","http://www.cdisc.org","Unknown","Code_138","2023-09-29","94b049cd-aa7c-4fcc-b374-b1cc05c393d7"
"C49489","NCI Thesaurus","Adverse Event Outcome","Code_139","","6538d58e-a7c2-4e4e-a130-22e539a40274"
"C83215","NCI Thesaurus","Adverse Event Start Date Time","Code_140","","9b5fed81-8eec-42f7-b169-40d57e6f6239"
"C83201","NCI Thesaurus","Adverse Event End Date Time","Code_141","","b675ad23-0d9f-481b-85f1-9f45090e6242"
"C41331","NCI Thesaurus","Adverse Event","Code_125","","ba8611b7-4931-4478-ba40-2e3c6a6a9f20"
"C173522","NCI Thesaurus","Vital Signs Result","Code_143","","3ff08009-d828-456e-af8d-b84932d5feac"
"C42547","http://www.cdisc.org","Pascal","Code_144","2023-09-29","123da03d-9876-40ab-a7bb-179776a3197c"
"C49669","NCI Thesaurus","Unit of Pressure","Code_145","","b39fec4a-00a0-48ce-9917-929f27f6ec2a"
"C83088","NCI Thesaurus","Vital Signs Location","Code_146","","26524cf1-d4d8-478d-a865-72d56a0618e8"
"C123975","NCI Thesaurus","Vital Signs Laterality","Code_147","","b148882c-9d27-4c34-b622-3d8b66106615"
"C82535","NCI Thesaurus","Test Method","Code_148","","1ca2c038-97bf-4404-8a8d-4527b2072935"
"C83114","NCI Thesaurus","Vital Signs Position","Code_149","","cddb0e4f-6c9e-4114-a55f-2aec8b279dac"
"C25298","NCI Thesaurus","Systolic Blood Pressure","Code_142","","d89ce8c6-5f6a-4760-8f40-f6286a644bb5"
"C173522","NCI Thesaurus","Vital Signs Result","Code_151","","366a1e68-4b7c-46d6-bfd4-946d0b23a367"
"C42547","http://www.cdisc.org","Pascal","Code_152","2023-09-29","3fb93361-9392-47f2-84ad-511a87980114"
"C49669","NCI Thesaurus","Unit of Pressure","Code_153","","c81b72d4-109d-4e1f-aa70-ef6871aab799"
"C83088","NCI Thesaurus","Vital Signs Location","Code_154","","2b0d1db4-602d-4394-860c-a16c3059277c"
"C123975","NCI Thesaurus","Vital Signs Laterality","Code_155","","70239478-0881-45ea-a90a-002b48517ba3"
"C82535","NCI Thesaurus","Test Method","Code_156","","f5f93a7f-e3e9-457c-b6f6-2d493ffcd4d5"
"C83114","NCI Thesaurus","Vital Signs Position","Code_157","","19573e77-75a4-4505-9f29-0ce07d422c10"
"C25299","NCI Thesaurus","Diastolic Blood Pressure","Code_150","","5303bf4b-02a1-473d-aa23-68edf87e9aa7"
"C173522","NCI Thesaurus","Vital Signs Result","Code_159","","29f3dc6e-7b56-4d09-8e86-1c76221e000e"
"C42537","http://www.cdisc.org","Kelvin","Code_160","2023-09-29","bf5638fd-3202-4ee5-aff0-945eeeb63b89"
"C44276","NCI Thesaurus","Unit of Temperature","Code_161","","a8c92c30-923c-4c38-9ae5-d6e5416ef968"
"C83088","NCI Thesaurus","Vital Signs Location","Code_162","","7994fbc7-0b41-4b87-a564-12a447ed5b16"
"C174446","NCI Thesaurus","Body Temperature","Code_158","","6bf56c10-664f-448d-911b-df309d784828"
"C173522","NCI Thesaurus","Vital Signs Result","Code_164","","82bd3865-004a-4ee4-8d76-6b5c8778b14b"
"C28252","http://www.cdisc.org","Kilogram","Code_165","2023-09-29","38072fb3-0886-4bfc-b62b-bdb10fde6b62"
"C48155","http://www.cdisc.org","Gram","Code_166","2023-09-29","72ac6427-8f47-4f3a-9b69-71fae4f61e80"
"C48531","http://www.cdisc.org","Pound","Code_167","2023-09-29","2b032c4f-a44b-4fad-8dec-262c9f026292"
"C48208","NCI Thesaurus","Unit of Weight","Code_168","","202d7b9c-1614-4fa8-951f-04873b2a13d1"
"C81328","NCI Thesaurus","Body Weight","Code_163","","ebb1701f-e7ab-4c64-82ac-ad7aa7a09acb"
"C173522","NCI Thesaurus","Vital Signs Result","Code_170","","c7a2ee03-3b9e-4291-8541-8d3c93a78387"
"C49668","http://www.cdisc.org","Centimeter","Code_171","2023-09-29","6d4506fe-596a-48a9-a54d-416232cd72a1"
"C48500","http://www.cdisc.org","Inch","Code_172","2023-09-29","65c02682-54a7-442e-8e99-748d13c47249"
"C28251","http://www.cdisc.org","Millimeter","Code_173","2023-09-29","ab03e410-f062-43f7-9a3b-99fde51377d5"
"C41139","http://www.cdisc.org","Meter","Code_174","2023-09-29","f44f6a5e-e0f3-49a3-ad2e-4a3ec5a7eab9"
"C168688","NCI Thesaurus","Unit of Height","Code_175","","813e1c66-05aa-44fc-abd1-cfd1a581ffc9"
"C164634","NCI Thesaurus","Body Height","Code_169","","b40abd5b-defd-4d56-8476-1861cf3c4138"
"C36292","NCI Thesaurus","Laboratory Test Result","Code_177","","77a22571-82ad-4445-bf7d-bd51e1f4e923"
"C83309","NCI Thesaurus","Laboratory Test Fasting Status","Code_178","","8f7798bc-1754-4764-a6cc-c15587278863"
"C67365","NCI Thesaurus","Unit of Catalytic Activity Concentration","Code_179","","24570449-3ece-4852-b63a-16eeda25713b"
"C70713","NCI Thesaurus","Biospecimen Type","Code_180","","6e253a10-2d26-4f83-86c5-df2e6230010a"
"C64433","NCI Thesaurus","Alanine Aminotransferase Measurement","Code_176","","538f65ea-f2d5-47d5-a3f9-5c57dce6cbfe"
"C36292","NCI Thesaurus","Laboratory Test Result","Code_182","","51e43ac2-36be-4584-b874-e6493d464dfc"
"C83309","NCI Thesaurus","Laboratory Test Fasting Status","Code_183","","f340bc24-92aa-4506-a021-4bb4e19f9e82"
"C48207","NCI Thesaurus","Unit of Concentration","Code_184","","9684540e-96bd-4c1a-a6bb-16aecd13245e"
"C70713","NCI Thesaurus","Biospecimen Type","Code_185","","9826ffe9-bf2a-4d97-95d5-caf2cc2a964e"
"C64431","NCI Thesaurus","Albumin Measurement","Code_181","","2569e75e-4b23-4448-acc5-0a42207a53fd"
"C36292","NCI Thesaurus","Laboratory Test Result","Code_187","","e9a27ab0-cdd1-4569-b00e-2ef6c5db1cbd"
"C83309","NCI Thesaurus","Laboratory Test Fasting Status","Code_188","","d86f2118-988b-4f8d-849f-b34b5d47cfaa"
"C67365","NCI Thesaurus","Unit of Catalytic Activity Concentration","Code_189","","1b278989-56ab-4cc4-b87a-2c6771ee43dd"
"C70713","NCI Thesaurus","Biospecimen Type","Code_190","","fdc00cb9-1592-4f57-8f1f-a040b0579880"
"C64432","NCI Thesaurus","Alkaline Phosphatase Measurement","Code_186","","1b5fb093-bfe6-4153-839a-d9509cf25483"
"C36292","NCI Thesaurus","Laboratory Test Result","Code_192","","16ea351c-ec4d-4cad-ac99-2bf266217038"
"C83309","NCI Thesaurus","Laboratory Test Fasting Status","Code_193","","9f9e7dae-5f3b-47f1-8fee-6a25d8cbe4f9"
"C67365","NCI Thesaurus","Unit of Catalytic Activity Concentration","Code_194","","4ce4d523-06e4-4357-9fb0-84616afa037b"
"C70713","NCI Thesaurus","Biospecimen Type","Code_195","","0df47230-230b-4cc1-bbd2-3268b857ada1"
"C64467","NCI Thesaurus","Aspartate Aminotransferase Measurement","Code_191","","83acf720-9ce0-4f5f-8124-5130a61060a0"
"C36292","NCI Thesaurus","Laboratory Test Result","Code_197","","159d4f26-3fe3-4ef8-9f42-14b7ff3e12a3"
"C83309","NCI Thesaurus","Laboratory Test Fasting Status","Code_198","","dc3631e1-6714-4864-a7b4-f1c4636edc9f"
"C48207","NCI Thesaurus","Unit of Concentration","Code_199","","596759a4-99d1-44eb-bfc8-6dec88892687"
"C70713","NCI Thesaurus","Biospecimen Type","Code_200","","e11b2b67-01bf-45c9-b685-6b382edb3847"
"C64547","NCI Thesaurus","Creatinine Measurement","Code_196","","c4cf0dcc-134c-400e-bfb6-663e196d238e"
"C36292","NCI Thesaurus","Laboratory Test Result","Code_202","","c2ad4ec1-43d5-4221-b1f1-af3a6c9a37b7"
"C83309","NCI Thesaurus","Laboratory Test Fasting Status","Code_203","","f121e92d-3561-4b0d-bdbc-1b0e91bc06fa"
"C64567","NCI Thesaurus","Molarity Unit","Code_204","","2a04b303-327f-4fcc-92f8-713f0af59055"
"C70713","NCI Thesaurus","Biospecimen Type","Code_205","","787a30c2-20f2-4243-8ca0-570b27f346f6"
"C64853","NCI Thesaurus","Potassium Measurement","Code_201","","ca080a90-c219-453e-8fe8-ce0d8be545c9"
"C36292","NCI Thesaurus","Laboratory Test Result","Code_207","","90586daf-6b32-477e-81ac-0c924db9590a"
"C83309","NCI Thesaurus","Laboratory Test Fasting Status","Code_208","","f07c2f2c-1e8f-44f7-8c1e-49531bca250b"
"C64567","NCI Thesaurus","Molarity Unit","Code_209","","9a81c0b6-c6d2-4eca-a280-514de1a94bf3"
"C70713","NCI Thesaurus","Biospecimen Type","Code_210","","e0e30d49-d1b3-49d7-a093-0d4528c7a326"
"C64809","NCI Thesaurus","Sodium Measurement","Code_206","","c8c9b47f-d119-4809-977c-6a715bd52158"
"C173522","NCI Thesaurus","Vital Signs Result","Code_212","","415dc46f-0010-41f2-95d9-f522e7dc9394"
"C42547","http://www.cdisc.org","Pascal","Code_213","2023-09-29","a9cd9ea7-4acf-4ab8-977e-aa942b4ea49e"
"C49669","NCI Thesaurus","Unit of Pressure","Code_214","","1094372c-1393-459b-8965-9009723d5b8f"
"C83088","NCI Thesaurus","Vital Signs Location","Code_215","","44120577-0078-4e75-8cd7-07c69f28b562"
"C123975","NCI Thesaurus","Vital Signs Laterality","Code_216","","bb433427-2501-4511-9e50-1a138ddf98b4"
"C82535","NCI Thesaurus","Test Method","Code_217","","d80c4e38-05ae-4039-a4d8-b090b8c3aae5"
"C83114","NCI Thesaurus","Vital Signs Position","Code_218","","7298dc4d-1eb3-41cc-89e6-2ebc31087ea6"
"C25298","NCI Thesaurus","Systolic Blood Pressure","Code_211","","1480dd23-ba9b-4a2a-b0e3-bbf7567f57ab"
"C173522","NCI Thesaurus","Vital Signs Result","Code_220","","7653cc59-33fc-4569-ad66-6281a7af133a"
"C42547","http://www.cdisc.org","Pascal","Code_221","2023-09-29","aeca6a91-3fc7-4e4c-8a04-71a587125901"
"C49669","NCI Thesaurus","Unit of Pressure","Code_222","","29839bbf-adf9-4c5f-9dbc-a1c99af69d12"
"C83088","NCI Thesaurus","Vital Signs Location","Code_223","","cf17411c-f5f9-43da-8d66-5f9b2fc7cb2b"
"C123975","NCI Thesaurus","Vital Signs Laterality","Code_224","","74fccc99-98e7-4713-8e2f-43f681954146"
"C82535","NCI Thesaurus","Test Method","Code_225","","bd381ea2-05bb-4ae3-abce-5de51cdd4674"
"C83114","NCI Thesaurus","Vital Signs Position","Code_226","","de61399c-caa8-4906-86d1-4a49710b93b1"
"C25299","NCI Thesaurus","Diastolic Blood Pressure","Code_219","","1b67b5c9-360b-412a-86cb-31b67346e250"
"C173522","NCI Thesaurus","Vital Signs Result","Code_228","","d3b246fa-f8c7-44fe-83ca-2f5bd4ca1acf"
"C42547","http://www.cdisc.org","Pascal","Code_229","2023-09-29","b1b2512d-4e7c-472f-82a7-ea0e714abb98"
"C49669","NCI Thesaurus","Unit of Pressure","Code_230","","3b809aa9-0b94-4b47-b28a-f794690c1928"
"C83088","NCI Thesaurus","Vital Signs Location","Code_231","","135b8091-acbd-4753-b8b1-99c5ad341755"
"C123975","NCI Thesaurus","Vital Signs Laterality","Code_232","","b12555aa-f440-4af5-ac2a-6d4c143a1ac2"
"C82535","NCI Thesaurus","Test Method","Code_233","","b9bf8670-1414-4fb8-8852-9e30ee06f921"
"C83114","NCI Thesaurus","Vital Signs Position","Code_234","","0598f04b-2bd2-48b2-a60b-fa7646ebc1d2"
"C25298","NCI Thesaurus","Systolic Blood Pressure","Code_227","","63352a68-f632-40b9-bd3a-e1434764010c"
"C173522","NCI Thesaurus","Vital Signs Result","Code_236","","9992f166-71a1-4f3e-878c-68ffd042d204"
"C42547","http://www.cdisc.org","Pascal","Code_237","2023-09-29","fc6b41d6-aa94-48c5-8967-fe0cb8c82690"
"C49669","NCI Thesaurus","Unit of Pressure","Code_238","","33337ea0-8c3d-466b-8bf8-c0c9ab36b7b7"
"C83088","NCI Thesaurus","Vital Signs Location","Code_239","","405ac449-b5b3-4c80-b414-7220ef6281a0"
