"isEnabled","uuid:ID","id","label","name","datatype","isRequired"
"True","af82708c-70db-4db9-9f88-75a07b4f8793","BiomedicalConceptProperty_8","Seriousness of Adverse Event","Seriousness of Adverse Event","boolean","True"
"True","a62b107e-f281-4658-9b62-c8b63bfeb178","BiomedicalConceptProperty_9","Adverse Event Action Taken with Study Treatment","Adverse Event Action Taken with Study Treatment","string","True"
"True","14f31ff8-09de-4f51-9ab1-184555157d43","BiomedicalConceptProperty_10","Adverse Event Attribution to Product or Procedure","Adverse Event Attribution to Product or Procedure","string","True"
"True","08bc93be-42c5-493f-9bc1-e5ba2177437c","BiomedicalConceptProperty_11","Adverse Event Pattern","Adverse Event Pattern","string","True"
"True","1027054e-535b-42e0-81b7-58288063dfe0","BiomedicalConceptProperty_12","Adverse Event Outcome","Adverse Event Outcome","string","True"
"True","343b9005-60fa-4ef0-87e1-85ff855a847b","BiomedicalConceptProperty_13","Adverse Event Start Date Time","Adverse Event Start Date Time","datetime","True"
"True","193b4507-6adb-47b8-a38a-b0090315aa66","BiomedicalConceptProperty_14","Adverse Event End Date Time","Adverse Event End Date Time","datetime","True"
"True","526ff1b8-9dd2-4f4d-9f15-ba678f308c06","BiomedicalConceptProperty_15","Vital Signs Result","Vital Signs Result","decimal","True"
"True","669d22b1-03f3-4f79-b46e-d3d6d0d994ea","BiomedicalConceptProperty_16","Unit of Pressure","Unit of Pressure","string","True"
"True","2c29b376-0b3b-4431-8504-8101e4ae5345","BiomedicalConceptProperty_17","Vital Signs Location","Vital Signs Location","string","True"
"True","27d13a54-c468-4242-aad2-1060900fbb17","BiomedicalConceptProperty_18","Vital Signs Laterality","Vital Signs Laterality","string","True"
"True","384bd1e3-7519-4422-b0e7-fe728d1d8c5a","BiomedicalConceptProperty_19","Test Method","Test Method","string","True"
"True","f772dd67-f066-4897-bd4c-32596d28eb11","BiomedicalConceptProperty_20","Vital Signs Position","Vital Signs Position","string","True"
"True","65905a3d-ab9c-425c-a786-ef67bb6c1967","BiomedicalConceptProperty_21","Vital Signs Result","Vital Signs Result","decimal","True"
"True","bc7839cd-c6f6-41b4-862c-f772ca987764","BiomedicalConceptProperty_22","Unit of Pressure","Unit of Pressure","string","True"
"True","4846f6d2-86c3-4ff9-b013-75b839399d4e","BiomedicalConceptProperty_23","Vital Signs Location","Vital Signs Location","string","True"
"True","da34120c-5abe-4311-90cc-ce38523977f1","BiomedicalConceptProperty_24","Vital Signs Laterality","Vital Signs Laterality","string","True"
"True","612f4ab8-7f36-4f15-8308-61b3326a5118","BiomedicalConceptProperty_25","Test Method","Test Method","string","True"
"True","aff41c22-ac53-4ecd-b598-57ff0b5ab48b","BiomedicalConceptProperty_26","Vital Signs Position","Vital Signs Position","string","True"
"True","8d95c240-f31c-4bdc-9518-83e29c4c9234","BiomedicalConceptProperty_27","Vital Signs Result","Vital Signs Result","decimal","True"
"True","d9922a7a-52b1-4860-be19-b525a947115c","BiomedicalConceptProperty_28","Unit of Temperature","Unit of Temperature","string","True"
"True","c5bc2316-2936-48e9-be6e-5c812c03f8ba","BiomedicalConceptProperty_29","Vital Signs Location","Vital Signs Location","string","True"
"True","ff0d4999-41f0-4727-bc5c-ae5c10723e4f","BiomedicalConceptProperty_30","Vital Signs Result","Vital Signs Result","decimal","True"
"True","4ab3a911-0943-4617-b781-f997334502a5","BiomedicalConceptProperty_31","Unit of Weight","Unit of Weight","string","True"
"True","2feb6ddb-f241-4674-8051-cd0434735477","BiomedicalConceptProperty_32","Vital Signs Result","Vital Signs Result","decimal","True"
"True","14034597-edac-41d0-a3be-0528242634fd","BiomedicalConceptProperty_33","Unit of Height","Unit of Height","string","True"
"True","052ad887-71bd-4847-9d7d-7ba301c7a8ca","BiomedicalConceptProperty_34","Laboratory Test Result","Laboratory Test Result","decimal","True"
"True","3f2c6dd3-c586-404f-9f5e-c7b216e69e5c","BiomedicalConceptProperty_35","Laboratory Test Fasting Status","Laboratory Test Fasting Status","boolean","True"
"True","14139e7c-83ae-4359-85f4-ffc35985e70f","BiomedicalConceptProperty_36","Unit of Catalytic Activity Concentration","Unit of Catalytic Activity Concentration","string","True"
"True","a134fb8c-d960-495b-bf9f-991087baa935","BiomedicalConceptProperty_37","Biospecimen Type","Biospecimen Type","string","True"
"True","82512f46-f93f-4292-8370-0def965b832c","BiomedicalConceptProperty_38","Laboratory Test Result","Laboratory Test Result","string","True"
"True","824f39b1-a01d-4993-8321-e50452b57348","BiomedicalConceptProperty_39","Laboratory Test Fasting Status","Laboratory Test Fasting Status","boolean","True"
"True","cc254362-763a-4940-8ef4-bf9e0ccc6d10","BiomedicalConceptProperty_40","Unit of Concentration","Unit of Concentration","string","True"
"True","892a0437-0206-446c-994a-20f7650a66df","BiomedicalConceptProperty_41","Biospecimen Type","Biospecimen Type","string","True"
"True","45b526bd-5599-4c7d-95eb-c89207c10c76","BiomedicalConceptProperty_42","Laboratory Test Result","Laboratory Test Result","decimal","True"
"True","a61c42ba-4ff1-48e9-8266-033b7da9c0e3","BiomedicalConceptProperty_43","Laboratory Test Fasting Status","Laboratory Test Fasting Status","boolean","True"
"True","babff430-c8ae-49c7-98fe-38694252cb2a","BiomedicalConceptProperty_44","Unit of Catalytic Activity Concentration","Unit of Catalytic Activity Concentration","string","True"
"True","faadeda8-e19e-48d8-8f78-058e88e0d686","BiomedicalConceptProperty_45","Biospecimen Type","Biospecimen Type","string","True"
"True","c6699530-b9dd-4cb8-b4e3-575acb2e3d71","BiomedicalConceptProperty_46","Laboratory Test Result","Laboratory Test Result","decimal","True"
"True","92adcf04-ab34-4850-9c3b-d804148db0d7","BiomedicalConceptProperty_47","Laboratory Test Fasting Status","Laboratory Test Fasting Status","boolean","True"
"True","c55b6566-8334-4f90-bd1c-7a541b20c01c","BiomedicalConceptProperty_48","Unit of Catalytic Activity Concentration","Unit of Catalytic Activity Concentration","string","True"
"True","013dd4d2-4d5a-41b6-b830-57c66b8c1378","BiomedicalConceptProperty_49","Biospecimen Type","Biospecimen Type","string","True"
"True","7ccdf8b9-5b3c-4fc0-918b-feda3e5a606d","BiomedicalConceptProperty_50","Laboratory Test Result","Laboratory Test Result","string","True"
"True","253dc326-a4fa-48b6-8d91-7444bac43ab7","BiomedicalConceptProperty_51","Laboratory Test Fasting Status","Laboratory Test Fasting Status","boolean","True"
"True","620bd8d1-812c-4665-ac4e-8499aef19d82","BiomedicalConceptProperty_52","Unit of Concentration","Unit of Concentration","string","True"
"True","0a986515-195c-46fd-9082-bf84a777f448","BiomedicalConceptProperty_53","Biospecimen Type","Biospecimen Type","string","True"
"True","4c2d7664-0cc1-4ec0-bac6-bd5eeb2a1eea","BiomedicalConceptProperty_54","Laboratory Test Result","Laboratory Test Result","decimal","True"
"True","598e322e-b607-42b2-bed5-9343cc3d5622","BiomedicalConceptProperty_55","Laboratory Test Fasting Status","Laboratory Test Fasting Status","boolean","True"
"True","40578d4f-3cea-4d6c-acdc-9088bf86c52e","BiomedicalConceptProperty_56","Molarity Unit","Molarity Unit","string","True"
"True","3c2dfc9a-e7a8-4638-adef-bbf450650279","BiomedicalConceptProperty_57","Biospecimen Type","Biospecimen Type","string","True"
"True","98e0ef6b-2e93-4507-98ca-20f1a22dbb0b","BiomedicalConceptProperty_58","Laboratory Test Result","Laboratory Test Result","decimal","True"
"True","fd94242e-5931-48b5-a966-2453b61b7f43","BiomedicalConceptProperty_59","Laboratory Test Fasting Status","Laboratory Test Fasting Status","boolean","True"
"True","61aaf807-6c39-4003-863e-33c6170e38d0","BiomedicalConceptProperty_60","Molarity Unit","Molarity Unit","string","True"
"True","98f00834-53c2-45b9-b4c1-28f98f50ca4e","BiomedicalConceptProperty_61","Biospecimen Type","Biospecimen Type","string","True"
"True","d8dcf765-4a6b-423c-b5af-1b41377fde18","BiomedicalConceptProperty_62","Vital Signs Result","Vital Signs Result","decimal","True"
"True","e43adfbc-6c32-4430-a2c0-a0379d01a0d9","BiomedicalConceptProperty_63","Unit of Pressure","Unit of Pressure","string","True"
"True","2b317f82-9926-46a0-b8bf-6b0a043ca834","BiomedicalConceptProperty_64","Vital Signs Location","Vital Signs Location","string","True"
"True","adb18a1d-322d-45d7-90fe-2beb9f2756ef","BiomedicalConceptProperty_65","Vital Signs Laterality","Vital Signs Laterality","string","True"
"True","2b043abf-4a92-4635-85be-e9142e9c3487","BiomedicalConceptProperty_66","Test Method","Test Method","string","True"
"True","e23ee273-72bc-4f96-9550-b6ea2a1465c4","BiomedicalConceptProperty_67","Vital Signs Position","Vital Signs Position","string","True"
"True","2f41679c-b431-4263-83df-cc1050a3ee1b","BiomedicalConceptProperty_68","Vital Signs Result","Vital Signs Result","decimal","True"
"True","8038a07e-4621-416c-b9e1-6aa791945518","BiomedicalConceptProperty_69","Unit of Pressure","Unit of Pressure","string","True"
"True","df80864b-3144-45c0-be08-7748196a8e41","BiomedicalConceptProperty_70","Vital Signs Location","Vital Signs Location","string","True"
"True","b4686384-d165-4512-bb07-de459a3928c4","BiomedicalConceptProperty_71","Vital Signs Laterality","Vital Signs Laterality","string","True"
"True","27cbdd34-e824-40ff-ada9-7cf3bb5c4c69","BiomedicalConceptProperty_72","Test Method","Test Method","string","True"
"True","92bafb6c-6401-4006-8de6-a608cf93d21e","BiomedicalConceptProperty_73","Vital Signs Position","Vital Signs Position","string","True"
"True","c7051e1e-bda3-4ffd-b33b-3b5eee7ecf80","BiomedicalConceptProperty_74","Vital Signs Result","Vital Signs Result","decimal","True"
"True","0761445f-2001-4806-89d8-c342b931d843","BiomedicalConceptProperty_75","Unit of Pressure","Unit of Pressure","string","True"
"True","630a57ae-b2a9-4093-89b3-140ac3aec4fe","BiomedicalConceptProperty_76","Vital Signs Location","Vital Signs Location","string","True"
"True","5c5c9f3c-f5e1-4ed3-98b3-07613989cf98","BiomedicalConceptProperty_77","Vital Signs Laterality","Vital Signs Laterality","string","True"
"True","618fc7f1-bd0b-4cd4-89a1-10f00052fd89","BiomedicalConceptProperty_78","Test Method","Test Method","string","True"
"True","3aa6a6a5-241c-4e7a-8721-930b5963cddd","BiomedicalConceptProperty_79","Vital Signs Position","Vital Signs Position","string","True"
"True","df54d714-db66-44f0-a507-749681892752","BiomedicalConceptProperty_80","Vital Signs Result","Vital Signs Result","decimal","True"
"True","22ae04ac-d7dc-41f2-a31b-114d09fccfd1","BiomedicalConceptProperty_81","Unit of Pressure","Unit of Pressure","string","True"
"True","2c9ede2a-f9b0-46fe-99b2-c38153049f5f","BiomedicalConceptProperty_82","Vital Signs Location","Vital Signs Location","string","True"
"True","a5b7c75a-f6e9-4d58-9fc0-8afe56b586fb","BiomedicalConceptProperty_83","Vital Signs Laterality","Vital Signs Laterality","string","True"
"True","b1bfca25-d840-4c19-84f0-53c0bcb8cfa4","BiomedicalConceptProperty_84","Test Method","Test Method","string","True"
"True","ca6b5542-79dd-4fa8-99d8-ad3d8345fa9f","BiomedicalConceptProperty_85","Vital Signs Position","Vital Signs Position","string","True"
