"decode","codeSystem","uuid:ID","code","id","codeSystemVersion"
"Secondary Endpoint","http://www.cdisc.org","f4fa16d3-e759-4bb8-82e4-659100fc56c0","C139173","Code_115","2023-09-29"
"Secondary Endpoint","http://www.cdisc.org","6c03ca5a-80fc-499a-8f09-327c88df6a8f","C139173","Code_116","2023-09-29"
"Secondary Endpoint","http://www.cdisc.org","bc82c17f-5b39-414c-a224-a5aaa37cdbcf","C139173","Code_117","2023-09-29"
"Secondary Endpoint","http://www.cdisc.org","60a8bfd3-98f3-4f47-829a-9716c38bb74e","C139173","Code_118","2023-09-29"
"Secondary Endpoint","http://www.cdisc.org","c09ad611-f19a-46c7-8f73-ea0fc718095e","C139173","Code_119","2023-09-29"
"Secondary Endpoint","http://www.cdisc.org","419e1eca-ba85-4c8b-8775-b1b40c86ca2f","C139173","Code_120","2023-09-29"
"Secondary Endpoint","http://www.cdisc.org","7cc21681-9a4d-4a78-a72b-da0201cfbde9","C139173","Code_121","2023-09-29"
"Secondary Endpoint","http://www.cdisc.org","4c83f389-66d0-4a86-a9ad-278e4ba25151","C139173","Code_122","2023-09-29"
"Secondary Endpoint","http://www.cdisc.org","1bccf2b9-1314-4d68-8ab1-962de532aaa4","C139173","Code_123","2023-09-29"
"Before","http://www.cdisc.org","ad964b16-b3cb-4d51-a602-347fd4689570","C201264","Code_48","2023-09-29"
"Start to Start","http://www.cdisc.org","2f7bdffd-9513-486d-bf9f-e167f42645b4","C201265","Code_50","2023-09-29"
"Before","http://www.cdisc.org","81f820e2-624a-4751-bf50-b9280fe7d029","C201264","Code_53","2023-09-29"
"Start to Start","http://www.cdisc.org","c5e24150-1827-4984-8b31-cdf3da906fd7","C201265","Code_55","2023-09-29"
"Fixed Reference","http://www.cdisc.org","2a76e78e-550b-4674-bac4-4fcf973db82b","C201264","Code_56","2023-09-29"
"Start to Start","http://www.cdisc.org","042b11e3-f973-44a5-b6d3-1957edbd27a3","C201265","Code_60","2023-09-29"
"After","http://www.cdisc.org","b3e0dd3c-6bff-4f1a-9b3e-c475e8ad5897","C201264","Code_62","2023-09-29"
"Start to Start","http://www.cdisc.org","26504d99-5474-4349-a3f9-2a833b9675a0","C201265","Code_65","2023-09-29"
"After","http://www.cdisc.org","92497c5d-ba38-40d8-a41a-04d914f311a5","C201264","Code_67","2023-09-29"
"Start to Start","http://www.cdisc.org","5df4ae5c-16cf-40dc-ae4a-aad08a72810f","C201265","Code_70","2023-09-29"
"Draft","http://www.cdisc.org","945d5730-42a6-4d1c-b410-a2508ef5b820","C85255","Code_5","2023-09-29"
"Protocol Effective Date","http://www.cdisc.org","3566dbab-3b35-4e64-9ad2-589b4644a38f","C99903x1","Code_8","2023-09-29"
"Global","http://www.cdisc.org","c27c6457-c311-4e7a-a3b2-7bd00b7d014e","C68846","Code_9","2023-09-29"
