"instanceType","text","name","uuid:ID","sectionNumber","sectionTitle","id"
"NarrativeContent","<div></div>","SECTION 7.1.2","7a91c942-d81c-4fb7-8ece-a394051f1adb","7.1.2","Temporary Discontinuation or Interruption of Trial Intervention","NarrativeContent_55"
"NarrativeContent","<div></div>","SECTION 7.1.3","6ea58bf7-e5af-413a-87bd-e0d9877ba9e9","7.1.3","Rechallenge","NarrativeContent_56"
"NarrativeContent","<div></div>","SECTION 7.2","403c9193-2f04-42af-b426-59c775dc05bd","7.2","Participant Withdrawal from the Trial","NarrativeContent_57"
"NarrativeContent","<div></div>","SECTION 7.3","ab12ebed-8baf-49db-b08d-19679ff9310f","7.3","Lost to Follow-Up","NarrativeContent_58"
"NarrativeContent","<div></div>","SECTION 7.4","b183d795-bd0b-4a94-9c7b-a0063a596261","7.4","Trial Stopping Rules","NarrativeContent_59"
"NarrativeContent","<div></div>","SECTION 8","d0f490cb-11a4-4206-935d-ad8b4150cd37","8","TRIAL ASSESSMENTS AND PROCEDURES","NarrativeContent_60"
"NarrativeContent","<div></div>","SECTION 8.1","320e2fb8-3e30-492b-8bcb-e1c6f2a5d4e8","8.1","Screening/Baseline Assessments and Procedures","NarrativeContent_61"
"NarrativeContent","<div></div>","SECTION 8.2","f8d73c35-3665-489d-8c95-a977c04e1d8f","8.2","Efficacy Assessments and Procedures","NarrativeContent_62"
"NarrativeContent","<div></div>","SECTION 8.3","3af3332f-a63a-4cbf-9ee5-9935168438a3","8.3","Safety Assessments and Procedures","NarrativeContent_63"
"NarrativeContent","<div></div>","SECTION 8.3.1","d742affa-9537-48d0-9ab1-3af47c2b858a","8.3.1","Physical Examination","NarrativeContent_64"
"NarrativeContent","<div></div>","SECTION 8.3.2","9394ad81-2f44-4c29-b56e-90c4082fe3f3","8.3.2","Vital Signs","NarrativeContent_65"
"NarrativeContent","<div></div>","SECTION 8.3.3","6a8b65f0-9019-445d-ae22-3fcb1cc30b9d","8.3.3","Electrocardiograms","NarrativeContent_66"
"NarrativeContent","<div></div>","SECTION 8.3.4","8529ec78-2f5e-4209-aa26-f6ae0a2d760b","8.3.4","Clinical Laboratory Assessments","NarrativeContent_67"
"NarrativeContent","<div></div>","SECTION 8.3.5","45eee273-a696-4b20-9f12-bde41e9610dd","8.3.5","Suicidal Ideation and Behaviour Risk Monitoring","NarrativeContent_68"
"NarrativeContent","<div></div>","SECTION 8.4","5c887f6b-f348-4254-8651-a9b155286936","8.4","Adverse Events and Serious Adverse Events","NarrativeContent_69"
"NarrativeContent","<div></div>","SECTION 8.4.1","448ff7ef-7a88-46b9-a112-09a013e948e5","8.4.1","Definitions of AE and SAE","NarrativeContent_70"
"NarrativeContent","<div></div>","SECTION 8.4.2","7a168d92-20ad-4c03-ae49-a02e1974c6c4","8.4.2","Time Period and Frequency for Collecting AE and SAE Information","NarrativeContent_71"
"NarrativeContent","<div></div>","SECTION 8.4.3","7ae36f69-1e2d-4f66-a06c-5e79f871b181","8.4.3","Identifying AEs and SAEs","NarrativeContent_72"
"NarrativeContent","<div></div>","SECTION 8.4.4","c472f327-0f94-40f6-b167-7cfb17442834","8.4.4","Recording of AEs and SAEs","NarrativeContent_73"
"NarrativeContent","<div></div>","SECTION 8.4.5","5c530872-7706-420c-afe7-4480202938f1","8.4.5","Follow-up of AEs and SAEs","NarrativeContent_74"
"NarrativeContent","<div></div>","SECTION 8.4.6","0fb23a4a-4169-4ed5-898d-fcd2b49516a8","8.4.6","Reporting of SAEs","NarrativeContent_75"
"NarrativeContent","<div></div>","SECTION 8.4.7","0dd4ecb5-0f54-4ff1-ad97-4786ee3cf259","8.4.7","Regulatory Reporting Requirements for SAEs","NarrativeContent_76"
"NarrativeContent","<div></div>","SECTION 8.4.8","8c560eab-d32c-4706-a1e5-f3f4acf19773","8.4.8","Serious and Unexpected Adverse Reaction Reporting","NarrativeContent_77"
"NarrativeContent","<div></div>","SECTION 8.4.9","9f10fa9e-649b-4c7f-9221-a590e23c1c28","8.4.9","Adverse Events of Special Interest","NarrativeContent_78"
"NarrativeContent","<div></div>","SECTION 8.4.10","b6e4b540-60d2-4992-9e09-6da4d3d24a88","8.4.10","Disease-related Events or Outcomes Not Qualifying as AEs or SAEs","NarrativeContent_79"
"NarrativeContent","<div></div>","SECTION 8.5","8614f169-9a76-4a6f-b683-d71c0d83e515","8.5","Pregnancy and Postpartum Information","NarrativeContent_80"
"NarrativeContent","<div></div>","SECTION 8.5.1","b962c7c0-47b5-4da3-83a3-b79350f79727","8.5.1","Participants Who Become Pregnant During the Trial","NarrativeContent_81"
"NarrativeContent","<div></div>","SECTION 8.5.2","60892718-e4a9-4748-a04a-d906f1468180","8.5.2","Participants Whose Partners Become Pregnant","NarrativeContent_82"
"NarrativeContent","<div></div>","SECTION 8.6","c73bdf6b-444e-495c-ad35-d773f1704aea","8.6","Medical Device Product Complaints for Drug/Device Combination Products","NarrativeContent_83"
"NarrativeContent","<div></div>","SECTION 8.6.1","f558be0f-6bbb-4079-aab7-1e940b7a2ea3","8.6.1","Definition of Medical Device Product Complaints","NarrativeContent_84"
"NarrativeContent","<div></div>","SECTION 8.6.2","dd562e36-ebaf-47b3-a48c-fd4ae2aa6284","8.6.2","Recording of Medical Device Product Complaints","NarrativeContent_85"
"NarrativeContent","<div></div>","SECTION 8.6.3","45066567-918f-4e7f-9db2-bf5f178ee186","8.6.3","Time Period and Frequency for Collecting Medical Device Product Complaints .","NarrativeContent_86"
"NarrativeContent","<div></div>","SECTION 8.6.4","473a680b-18a8-446e-9e47-30b5fd27c94d","8.6.4","Follow-Up of Medical Device Product Complaints","NarrativeContent_87"
"NarrativeContent","<div></div>","SECTION 8.6.5","79636264-ca08-427d-a3ad-c74028d593e1","8.6.5","Regulatory Reporting Requirements for Medical Device Product Complaints","NarrativeContent_88"
"NarrativeContent","<div></div>","SECTION 8.7","f6f7b08c-047d-4111-a6cd-7c7d1381e81b","8.7","Pharmacokinetics","NarrativeContent_89"
"NarrativeContent","<div></div>","SECTION 8.8","40a762d4-ef7d-46fa-8976-506391fed9f5","8.8","Genetics","NarrativeContent_90"
"NarrativeContent","<div></div>","SECTION 8.9","ead7d0a9-3be1-403b-89ee-cb4c8a829ecb","8.9","Biomarkers","NarrativeContent_91"
"NarrativeContent","<div></div>","SECTION 8.1","8be8b81e-ad10-4e6f-95bb-d632364f20c3","8.1","Immunogenicity Assessments","NarrativeContent_92"
"NarrativeContent","<div></div>","SECTION 8.1.1","48a6b27e-7e73-4265-a363-0218707d96a1","8.1.1","Medical Resource Utilisation and Health Economics","NarrativeContent_93"
"NarrativeContent","<div></div>","SECTION 9","fffd6291-0b08-487a-b604-b1d264aafeb7","9","STATISTICAL CONSIDERATIONS","NarrativeContent_94"
"NarrativeContent","<div></div>","SECTION 9.1","64c2fe85-5374-445e-a954-333a52009b8c","9.1","Analysis Sets","NarrativeContent_95"
"NarrativeContent","<div></div>","SECTION 9.2","2fe38103-3f80-4e46-9dec-9c86112c6b7a","9.2","Analyses Supporting Primary Objective(s)","NarrativeContent_96"
"NarrativeContent","<div></div>","SECTION 9.2.1","2645145e-abb9-4fca-a28f-9b495f4785b3","9.2.1","Statistical Model, Hypothesis, and Method of Analysis","NarrativeContent_97"
"NarrativeContent","<div></div>","SECTION 9.2.2","80ef4fe5-7faf-41c5-91f8-05f3171a0954","9.2.2","Handling of Intercurrent Events of Primary Estimand(s)","NarrativeContent_98"
"NarrativeContent","<div></div>","SECTION 9.2.3","bb98565c-a50f-4373-bdeb-ac1e21fd48f5","9.2.3","Handling of Missing Data","NarrativeContent_99"
"NarrativeContent","<div></div>","SECTION 9.2.4","b7df6814-82b9-4f9b-92be-626e342b7f46","9.2.4","Sensitivity Analysis","NarrativeContent_100"
"NarrativeContent","<div></div>","SECTION 9.2.5","0b99440e-3966-4e0e-b255-f4d966671032","9.2.5","Supplementary Analysis","NarrativeContent_101"
"NarrativeContent","<div></div>","SECTION 9.3","ed28d783-bc00-4542-b766-88d0e0fc42d6","9.3","Analysis Supporting Secondary Objective(s)","NarrativeContent_102"
"NarrativeContent","<div></div>","SECTION 9.4","56902e7f-cf55-4013-981d-1cad3576bea5","9.4","Analysis of Exploratory Objective(s)","NarrativeContent_103"
"NarrativeContent","<div></div>","SECTION 9.5","ecf4ecfe-7692-4a77-9984-f847f4c61019","9.5","Safety Analyses","NarrativeContent_104"
"NarrativeContent","<div></div>","SECTION 9.6","3a63b75a-6943-44d1-85ac-26e0f26d0e8e","9.6","Other Analyses","NarrativeContent_105"
"NarrativeContent","<div></div>","SECTION 9.7","752538b4-aa3d-4c1e-b3e0-21e077e3af4f","9.7","Interim Analyses","NarrativeContent_106"
"NarrativeContent","<div></div>","SECTION 9.8","c9c6099b-6e2e-433d-a385-d9dc2698a19c","9.8","Sample Size Determination","NarrativeContent_107"
"NarrativeContent","<div></div>","SECTION 9.9","c663e1f1-5aed-4ffb-b22c-e62d3e7d92e5","9.9","Protocol Deviations","NarrativeContent_108"
"NarrativeContent","<div></div>","SECTION 10","a2275025-0c4f-4f8c-9540-2c0273f494b2","10","GENERAL CONSIDERATIONS: REGULATORY, ETHICAL, AND TRIAL OVERSIGHT","NarrativeContent_109"
"NarrativeContent","<div></div>","SECTION 10.1","4a6be70f-61e8-4c05-957b-922a68ab55ad","10.1","Regulatory and Ethical Considerations","NarrativeContent_110"
"NarrativeContent","<div></div>","SECTION 10.2","d07a1097-aa18-4f92-b409-030131ebbc6e","10.2","Committees","NarrativeContent_111"
"NarrativeContent","<div></div>","SECTION 10.3","f8ccf743-8f2a-4121-b2fa-005cc642efab","10.3","Informed Consent Process","NarrativeContent_112"
"NarrativeContent","<div></div>","SECTION 10.4","9d4c8337-b377-4580-a0fd-123464fe8541","10.4","Data Protection","NarrativeContent_113"
"NarrativeContent","<div></div>","SECTION 10.5","a5a85ddd-7f2f-4fc3-9c1d-0c654bf127cc","10.5","Early Site Closure or Trial Termination","NarrativeContent_114"
"NarrativeContent","<div></div>","SECTION 11","24651ea7-27b4-479f-a278-e6304025dde9","11","GENERAL CONSIDERATIONS: RISK MANAGEMENT AND QUALITY ASSURANCE","NarrativeContent_115"
"NarrativeContent","<div></div>","SECTION 11.1","cfd811c2-dd2b-4e16-a37b-b38fda5672a4","11.1","Quality Tolerance Limits","NarrativeContent_116"
"NarrativeContent","<div></div>","SECTION 11.2","70a95cb6-5366-428e-a03e-023d95c37700","11.2","Data Quality Assurance","NarrativeContent_117"
"NarrativeContent","<div></div>","SECTION 11.3","5f767f40-fd08-4f9a-8c23-a4e668f0b127","11.3","Source Data","NarrativeContent_118"
"NarrativeContent","<div></div>","SECTION 12","bc775ba9-66c0-4378-bc36-509860c155a2","12","APPENDIX: ADVERSE EVENTS AND SERIOUS ADVERSE EVENTS - DEFINITIONS, SEVERITY, AND CAUSALITY","NarrativeContent_119"
"NarrativeContent","<div></div>","SECTION 12.1","fb6c659c-27fc-41a8-932a-01dfb9c21537","12.1","Further Details and Clarifications on the AE Definition","NarrativeContent_120"
"NarrativeContent","<div></div>","SECTION 12.2","c5504bcd-48a3-47ac-9d5a-1cc56050bab1","12.2","Further Details and Clarifications on the SAE Definition","NarrativeContent_121"
"NarrativeContent","<div></div>","SECTION 12.3","ef86353f-408e-4fd3-89a6-64f30c746ad2","12.3","Severity","NarrativeContent_122"
"NarrativeContent","<div></div>","SECTION 12.4","eb7cd824-3027-4191-b5f9-7fb0e269999d","12.4","Causality","NarrativeContent_123"
"NarrativeContent","<div></div>","SECTION 13","9f1b00ca-c5fa-4ca5-8783-8238c6754ba7","13","APPENDIX: DEFINITIONS AND SUPPORTING OPERATIONAL DETAILS","NarrativeContent_124"
"NarrativeContent","<div></div>","SECTION 13.1","8ffaffa2-3ea8-4d46-8fd3-d8b212c1b984","13.1","Contraception and Pregnancy Testing","NarrativeContent_125"
"NarrativeContent","<div></div>","SECTION 13.1.1","90865f55-3895-4787-9cf7-7d7ca9edde40","13.1.1","Definitions Related to Childbearing Potential","NarrativeContent_126"
"NarrativeContent","<div></div>","SECTION 13.1.2","33d930b4-c06b-4526-ac37-e08dd0e83a7c","13.1.2","Contraception","NarrativeContent_127"
"NarrativeContent","<div></div>","SECTION 13.1.3","24198ddb-ca8c-480f-ac28-fc9055feaa5e","13.1.3","Pregnancy Testing","NarrativeContent_128"
"NarrativeContent","<div></div>","SECTION 13.2","3f8b5d12-1ebe-499e-a43b-e16fa8f88261","13.2","Clinical Laboratory Tests","NarrativeContent_129"
"NarrativeContent","<div></div>","SECTION 13.3","6de9848c-cea8-4827-b313-7ba0799feae9","13.3","Country/Region-Specific Differences","NarrativeContent_130"
"NarrativeContent","<div></div>","SECTION 13.4","0f387236-33be-4e90-a933-48b76f41bd12","13.4","Prior Protocol Amendments","NarrativeContent_131"
"NarrativeContent","<div></div>","SECTION 14","ed471ae1-a5bf-4b88-b549-4ddf3648ed77","14","APPENDIX: GLOSSARY OF TERMS","NarrativeContent_132"
"NarrativeContent","<div></div>","SECTION 15","4a0124b8-877f-4154-929d-aee3e0a89685","15","APPENDIX: REFERENCES","NarrativeContent_133"
