"text","name","sectionTitle","uuid:ID","sectionNumber","id"
"<div></div>","SECTION 4.2.3","Other Trial Design Considerations","460fa68d-0fe3-49ff-97ed-7de2e67a1b33","4.2.3","NarrativeContent_18"
"<div></div>","SECTION 4.3","Access to Trial Intervention After End of Trial","7f79a0fc-1d20-4e67-b967-f62dc18f676e","4.3","NarrativeContent_19"
"<div></div>","SECTION 4.4","Start of Trial and End of Trial","e2c80348-ee28-4a0c-8a17-971776967aac","4.4","NarrativeContent_20"
"<div></div>","SECTION 5","TRIAL POPULATION","46d70a94-4209-4ab9-aa6a-34d4c73536b0","5","NarrativeContent_21"
"<div><p>For Lilly studies, the following definitions are used:</p>
<div>
  <div><strong>Screen</strong></div>
  <div>
    <p>Screening is the act of determining if an individual meets minimum requirements to become part of a pool of potential candidates for participation in a clinical study.</p>
    <p>In this study, <strong>screening</strong> will include asking the candidate preliminary questions (such as age and general health status) and conducting invasive or diagnostic procedures and/or tests (for example, diagnostic psychological tests, x-rays, blood draws). Patients will sign the consent at their screening visit, thereby consenting to undergo the screening procedures and to participate in the study if they qualify.</p>
  </div>  
</div>
<div>
  <div>To <strong>enter</strong></div>
  <div>
    <p>Patients <strong>entered</strong> into the study are those from whom informed consent for the study has been obtained. Adverse events will be reported for each patient who has <strong>entered</strong> the study, even if the patient is never assigned to a treatment group (<strong>enrolled</strong>).</p></div>
  </div>  
</div>
<div>
  <div>To <strong>enroll</strong></div>
  <div>
    <p>Patients who are enrolled in the study are those who have been assigned to a treatment group. Patients who are entered into the study but fail to meet criteria specified in the protocol for treatment assignment will not be enrolled in the study.</p></div>
  </div>  
</div>
<p>At Visit 1, patients who meet the enrollment criteria of Mini-Mental State Examination (MMSE) score of 10 to 23 (Attachment LZZT.6), Hachinski Ischemia Score ≤4 (Attachment LZZT.8), a physical exam, safety labs, ECG, and urinalysis, will proceed to Visit 2 and Visit 3. At Visit 3, patients whose CNS imaging and other pending labs from Visit 1 satisfy the inclusion criteria (Section 3.4.2.1) will be enrolled in the study. Approximately 300 patients with a diagnosis of probable mild to moderate AD will be enrolled in the study.</p></div>","SECTION 5.1","Selection of Trial Population","6a7b9ba8-0b34-48db-95dd-df453069e0d7","5.1","NarrativeContent_22"
"<div></div>","SECTION 5.2","Rationale for Trial Population","e9d6168c-5710-4c80-9fbf-1214ec856f64","5.2","NarrativeContent_23"
"<div><usdm:section name=""M11-inclusion""></div>","SECTION 5.3","Inclusion Criteria","3031ddb8-99c5-4578-a7c3-74a62b4c0237","5.3","NarrativeContent_24"
"<div><usdm:section name=""M11-exclusion""></div>","SECTION 5.4","Exclusion Criteria","12ed6fd8-be6f-469a-a79d-247f58241fbe","5.4","NarrativeContent_25"
"<div></div>","SECTION 5.5","Lifestyle Considerations","a6560b24-541a-4383-a7fd-c6bd77d5e3fc","5.5","NarrativeContent_26"
"<div></div>","SECTION 5.5.1","Meals and Dietary Restrictions","10dce15f-9d74-41e4-9d8c-6ee1e73f1c9c","5.5.1","NarrativeContent_27"
"<div><p>Not applicable</p></div>","SECTION 5.5.2","Caffeine, Alcohol, Tobacco, and Other Habits","578a2027-d7b0-4b4c-b4b7-5e6fbbbff154","5.5.2","NarrativeContent_28"
"<div></div>","SECTION 5.5.3","Physical Activity","cbabde4c-f8b6-4be5-88a9-5f90e325ef6a","5.5.3","NarrativeContent_29"
"<div></div>","SECTION 5.5.4","Other Activity","afe2e43c-0afc-4385-b430-78a8ec654243","5.5.4","NarrativeContent_30"
"<div></div>","SECTION 5.6","Screen Failures","4f997774-9a49-4c5c-9068-51aa642a68f0","5.6","NarrativeContent_31"
"<div></div>","SECTION 6","TRIAL INTERVENTION AND CONCOMITANT THERAPY","028a6899-68e8-48eb-bace-6ecf4f247bb8","6","NarrativeContent_32"
"<div></div>","SECTION 6.1","Description of Trial Intervention","c6ffb386-393e-42ab-b6b4-72ba597343de","6.1","NarrativeContent_33"
"<div></div>","SECTION 6.2","Rationale for Trial Intervention","6163e0f3-bdbd-4360-8a65-9093d425bff6","6.2","NarrativeContent_34"
"<div></div>","SECTION 6.3","Dosing and Administration","7e5bba4d-f62d-441b-93ac-6407b289fc6a","6.3","NarrativeContent_35"
"<div></div>","SECTION 6.3.1","Trial Intervention Dose Modification","f5014dbd-ab01-4116-a405-a1e8805fcaf2","6.3.1","NarrativeContent_36"
"<div></div>","SECTION 6.4","Treatment of Overdose","be049232-602c-416e-993f-dc28ec49297c","6.4","NarrativeContent_37"
"<div></div>","SECTION 6.5","Preparation, Handling, Storage and Accountability","3b8460fe-fa83-4c21-bd1b-82543b4c8e43","6.5","NarrativeContent_38"
"<div></div>","SECTION 6.5.1","Preparation of Trial Intervention","e33a6dcd-a461-4047-a4ea-1c7cf01de2c2","6.5.1","NarrativeContent_39"
"<div></div>","SECTION 6.5.2","Handling and Storage of Trial Intervention","030f1873-a4ef-4d35-988b-c857b6d95964","6.5.2","NarrativeContent_40"
"<div></div>","SECTION 6.5.3","Accountability of Trial Intervention","a0e50aaa-33b0-42ed-8a33-8b0d47af982f","6.5.3","NarrativeContent_41"
"<div></div>","SECTION 6.6","Participant Assignment, Randomisation and Blinding","0287c475-6664-4c9b-834a-e283d2430324","6.6","NarrativeContent_42"
"<div></div>","SECTION 6.6.1","Participant Assignment","2c0fa27e-cd95-4809-94e5-d9f9a5818776","6.6.1","NarrativeContent_43"
"<div></div>","SECTION 6.6.2","Randomisation","49dde191-4fa2-4cb1-9f3f-37de46a939cc","6.6.2","NarrativeContent_44"
"<div><p>The study will be double-blind. To further preserve the blinding of the study, only a minimum number of Lilly and CRO personnel will see the randomization table and codes before the study is complete.</p>
<p>Emergency codes generated by a computer drug-labeling system will be available to the investigator. These codes, which reveal the patients treatment group, may be opened during the study only if the choice of follow-up treatment depends on the patient’s therapy assignment.</p>
<p>The investigator should make every effort to contact the clinical research physician prior to unblinding a patient’s therapy assignment. If a patient’s therapy assignment is unblinded, Lilly must be notified immediately by telephone. After the study, the investigator must return all sealed and any opened codes.</p></div>","SECTION 6.6.3","Blinding and Unblinding","fd30e488-2d53-41fd-ad4f-b32ea955f592","6.6.3","NarrativeContent_45"
"<div></div>","SECTION 6.7","Trial Intervention Compliance","3cc5886d-67c4-4597-b91d-c93aa769261b","6.7","NarrativeContent_46"
"<div></div>","SECTION 6.8","Concomitant Therapy","a78cf9a3-35c6-405d-9f89-90cce88e003c","6.8","NarrativeContent_47"
"<div></div>","SECTION 6.8.1","Prohibited Concomitant Therapy","0ac4fac4-8525-4438-8659-0dbbc1a586f1","6.8.1","NarrativeContent_48"
"<div></div>","SECTION 6.8.2","Permitted Concomitant Therapy","0caecdbe-be84-4aaa-9f17-94a12f939907","6.8.2","NarrativeContent_49"
"<div></div>","SECTION 6.8.3","Rescue Therapy","a76b449c-d86e-4eac-b478-2742e2b0615e","6.8.3","NarrativeContent_50"
"<div></div>","SECTION 6.8.4","Other Therapy","e591a245-1be7-483c-b5da-e42d7c6467dc","6.8.4","NarrativeContent_51"
"<div></div>","SECTION 7","DISCONTINUATION OF TRIAL INTERVENTION AND PARTICIPANT WITHDRAWAL FROM TRIAL","ca42a152-05c0-4e35-bfae-333616d49e0b","7","NarrativeContent_52"
"<div></div>","SECTION 7.1","Discontinuation of Trial Intervention","74bb1b60-82b8-4047-bdea-7dccd39d010a","7.1","NarrativeContent_53"
"<div></div>","SECTION 7.1.1","Criteria for Permanent Discontinuation of Trial Intervention","43d9719d-6490-4161-942c-bdc706fec8eb","7.1.1","NarrativeContent_54"
"<div></div>","SECTION 7.1.2","Temporary Discontinuation or Interruption of Trial Intervention","cc231244-3835-493e-ace9-53ad95c3cc58","7.1.2","NarrativeContent_55"
"<div></div>","SECTION 7.1.3","Rechallenge","a0268dbe-0ba1-4f64-808e-edf5e416af92","7.1.3","NarrativeContent_56"
"<div></div>","SECTION 7.2","Participant Withdrawal from the Trial","3bd9a24a-6fe4-4cbe-abb0-2303b4ad1ccd","7.2","NarrativeContent_57"
"<div></div>","SECTION 7.3","Lost to Follow-Up","f2292407-9c7e-426e-ad3a-0cb6ec741b5b","7.3","NarrativeContent_58"
"<div></div>","SECTION 7.4","Trial Stopping Rules","1d70a731-c9a4-4132-a1cf-f60692029186","7.4","NarrativeContent_59"
"<div></div>","SECTION 8","TRIAL ASSESSMENTS AND PROCEDURES","ae7d9ce8-1ac5-4a41-8643-0da273452375","8","NarrativeContent_60"
"<div></div>","SECTION 8.1","Screening/Baseline Assessments and Procedures","ab93e6d3-3f26-4ca2-8313-005e82f664e1","8.1","NarrativeContent_61"
"<div></div>","SECTION 8.2","Efficacy Assessments and Procedures","5555d681-a7e2-4792-8036-b9d30f9fe92b","8.2","NarrativeContent_62"
"<div></div>","SECTION 8.3","Safety Assessments and Procedures","93e05b81-6771-4915-8e67-2f939a6963e9","8.3","NarrativeContent_63"
"<div></div>","SECTION 8.3.1","Physical Examination","8ae5cb70-ec30-4ec7-9476-2292277bddcf","8.3.1","NarrativeContent_64"
"<div></div>","SECTION 8.3.2","Vital Signs","0f9f4cda-7235-4bee-85e2-702a4e4d9f79","8.3.2","NarrativeContent_65"
"<div></div>","SECTION 8.3.3","Electrocardiograms","8ff2638c-5501-4570-8bf0-e9d2e74b364c","8.3.3","NarrativeContent_66"
"<div></div>","SECTION 8.3.4","Clinical Laboratory Assessments","051deda8-67a4-4ab2-8386-37a7d6963abe","8.3.4","NarrativeContent_67"
"<div></div>","SECTION 8.3.5","Suicidal Ideation and Behaviour Risk Monitoring","f7829355-1a8a-471e-a0d1-3bb82473ab28","8.3.5","NarrativeContent_68"
"<div></div>","SECTION 8.4","Adverse Events and Serious Adverse Events","4a849ede-aa4f-4200-bff7-ecf3ec4ce575","8.4","NarrativeContent_69"
"<div></div>","SECTION 8.4.1","Definitions of AE and SAE","976b9f09-7eac-4556-8604-129037d21a7b","8.4.1","NarrativeContent_70"
"<div></div>","SECTION 8.4.2","Time Period and Frequency for Collecting AE and SAE Information","01c40ce4-3e73-4e35-b52b-d45cd50168dd","8.4.2","NarrativeContent_71"
"<div></div>","SECTION 8.4.3","Identifying AEs and SAEs","6c12cbe6-de04-4834-b3d0-f2b00ba79c20","8.4.3","NarrativeContent_72"
"<div></div>","SECTION 8.4.4","Recording of AEs and SAEs","8f582bc4-6ed8-45e7-9bab-4767b3536b82","8.4.4","NarrativeContent_73"
"<div></div>","SECTION 8.4.5","Follow-up of AEs and SAEs","2bc07be5-da57-4604-8833-5b17e9f7b7a4","8.4.5","NarrativeContent_74"
"<div></div>","SECTION 8.4.6","Reporting of SAEs","2b8b0a4b-7066-42bd-b56f-e3785f0763fd","8.4.6","NarrativeContent_75"
"<div></div>","SECTION 8.4.7","Regulatory Reporting Requirements for SAEs","b4a26714-013d-4a84-9dbf-590ff9b92760","8.4.7","NarrativeContent_76"
"<div></div>","SECTION 8.4.8","Serious and Unexpected Adverse Reaction Reporting","4a67dc59-04d4-4064-9254-f20f9e07bb98","8.4.8","NarrativeContent_77"
"<div></div>","SECTION 8.4.9","Adverse Events of Special Interest","9fec2354-2eda-4c99-b9e8-de17666dd693","8.4.9","NarrativeContent_78"
"<div></div>","SECTION 8.4.10","Disease-related Events or Outcomes Not Qualifying as AEs or SAEs","433eb46e-29e2-41b0-9c5d-97be66d29396","8.4.10","NarrativeContent_79"
"<div></div>","SECTION 8.5","Pregnancy and Postpartum Information","f98f1b29-461f-4fdb-aef2-fbef43630597","8.5","NarrativeContent_80"
"<div></div>","SECTION 8.5.1","Participants Who Become Pregnant During the Trial","d291fd35-c1a0-4018-9131-8a1ecadf8cbc","8.5.1","NarrativeContent_81"
"<div></div>","SECTION 8.5.2","Participants Whose Partners Become Pregnant","b73a2027-84a8-42a6-9403-0d61a966b67b","8.5.2","NarrativeContent_82"
"<div></div>","SECTION 8.6","Medical Device Product Complaints for Drug/Device Combination Products","45474c0a-c714-4332-8393-3c855cc37a2f","8.6","NarrativeContent_83"
"<div></div>","SECTION 8.6.1","Definition of Medical Device Product Complaints","47c9e6ee-ec15-45b9-9f4e-261bac795fe4","8.6.1","NarrativeContent_84"
"<div></div>","SECTION 8.6.2","Recording of Medical Device Product Complaints","db964ff3-9853-44d3-b33d-accc3020bd7d","8.6.2","NarrativeContent_85"
"<div></div>","SECTION 8.6.3","Time Period and Frequency for Collecting Medical Device Product Complaints .","47166bef-a70d-40a6-9a52-5c8e6d259cd9","8.6.3","NarrativeContent_86"
"<div></div>","SECTION 8.6.4","Follow-Up of Medical Device Product Complaints","c31e7843-dc01-4031-895e-252c8df81b4e","8.6.4","NarrativeContent_87"
"<div></div>","SECTION 8.6.5","Regulatory Reporting Requirements for Medical Device Product Complaints","a387e2a5-a9bc-443e-a964-e0fd03c1be0f","8.6.5","NarrativeContent_88"
"<div></div>","SECTION 8.7","Pharmacokinetics","a93d41dd-ec73-4e92-922e-4bf04bab15c8","8.7","NarrativeContent_89"
"<div></div>","SECTION 8.8","Genetics","779ac0ce-742b-4360-8407-9bb9747e33bc","8.8","NarrativeContent_90"
"<div></div>","SECTION 8.9","Biomarkers","0150013d-c4d0-4097-9d90-6096afb9ea98","8.9","NarrativeContent_91"
"<div></div>","SECTION 8.1","Immunogenicity Assessments","5bacc695-1b95-4614-95aa-7d5b3991c504","8.1","NarrativeContent_92"
"<div></div>","SECTION 8.1.1","Medical Resource Utilisation and Health Economics","f2470075-0523-49dd-942c-35cd7358a7d1","8.1.1","NarrativeContent_93"
"<div></div>","SECTION 9","STATISTICAL CONSIDERATIONS","93b49b4d-70b8-4778-a1c7-401e7bbe9694","9","NarrativeContent_94"
"<div></div>","SECTION 9.1","Analysis Sets","f67aca5c-3a80-47b8-8372-91233f20d00a","9.1","NarrativeContent_95"
"<div></div>","SECTION 9.2","Analyses Supporting Primary Objective(s)","d5962456-2865-4d46-8f4b-100398c19b80","9.2","NarrativeContent_96"
"<div></div>","SECTION 9.2.1","Statistical Model, Hypothesis, and Method of Analysis","b4332938-6dac-4a56-b2e5-abbd40cf0777","9.2.1","NarrativeContent_97"
"<div></div>","SECTION 9.2.2","Handling of Intercurrent Events of Primary Estimand(s)","c11c0bac-320a-4ef3-8cdf-b005ab390b96","9.2.2","NarrativeContent_98"
"<div></div>","SECTION 9.2.3","Handling of Missing Data","3f614b31-2171-4a68-b4f3-f79c82f3822a","9.2.3","NarrativeContent_99"
"<div></div>","SECTION 9.2.4","Sensitivity Analysis","4e2b3b10-c1e9-4cf3-836d-ffc89caecd06","9.2.4","NarrativeContent_100"
"<div></div>","SECTION 9.2.5","Supplementary Analysis","3af7b328-bdf9-4ada-8177-3c4d81e29db9","9.2.5","NarrativeContent_101"
"<div></div>","SECTION 9.3","Analysis Supporting Secondary Objective(s)","08a75bed-cb54-43c7-8e25-a8c08d2cc2d6","9.3","NarrativeContent_102"
"<div></div>","SECTION 9.4","Analysis of Exploratory Objective(s)","703a8695-6c5f-4ab5-a87b-dd851f4775c7","9.4","NarrativeContent_103"
"<div></div>","SECTION 9.5","Safety Analyses","1f6af3d7-06b2-4e07-90bd-e6919cde4831","9.5","NarrativeContent_104"
"<div></div>","SECTION 9.6","Other Analyses","b42beb31-0b49-4565-90b6-ee7ada5b9ece","9.6","NarrativeContent_105"
"<div></div>","SECTION 9.7","Interim Analyses","255fe99b-9751-4dc8-ad4a-a0d1926bfd52","9.7","NarrativeContent_106"
"<div></div>","SECTION 9.8","Sample Size Determination","9a4604dd-921e-4b8f-b8a5-21b36117ddb4","9.8","NarrativeContent_107"
"<div></div>","SECTION 9.9","Protocol Deviations","ea003c0a-5ae6-422f-8eb8-943c9a348b28","9.9","NarrativeContent_108"
"<div></div>","SECTION 10","GENERAL CONSIDERATIONS: REGULATORY, ETHICAL, AND TRIAL OVERSIGHT","9596603b-6398-4f7d-931f-7aa7864fa0d3","10","NarrativeContent_109"
"<div></div>","SECTION 10.1","Regulatory and Ethical Considerations","dec8b16b-f2fe-4eda-8379-ef4839cfa9b1","10.1","NarrativeContent_110"
"<div></div>","SECTION 10.2","Committees","53a6e3b8-eb1a-42bb-b6d8-9038635ea7ce","10.2","NarrativeContent_111"
"<div></div>","SECTION 10.3","Informed Consent Process","f8a756e4-2f4e-4f98-8dc9-7fd0db2af165","10.3","NarrativeContent_112"
"<div></div>","SECTION 10.4","Data Protection","793438b2-1b00-4138-aad2-b5b8ba0baf1b","10.4","NarrativeContent_113"
"<div></div>","SECTION 10.5","Early Site Closure or Trial Termination","6af6796c-9843-45aa-9602-26b8c3de860b","10.5","NarrativeContent_114"
"<div></div>","SECTION 11","GENERAL CONSIDERATIONS: RISK MANAGEMENT AND QUALITY ASSURANCE","0a3da1a6-18bb-4b0d-a98f-9ee5687ad9bf","11","NarrativeContent_115"
"<div></div>","SECTION 11.1","Quality Tolerance Limits","ec8c527a-5aa6-4e85-bfda-c47e37f6d8f6","11.1","NarrativeContent_116"
"<div></div>","SECTION 11.2","Data Quality Assurance","c1722f3b-5322-4d3a-a09b-d6711bfd49cc","11.2","NarrativeContent_117"
"<div></div>","SECTION 11.3","Source Data","21252f9a-f663-436a-90e5-6f1205a967cf","11.3","NarrativeContent_118"
"<div></div>","SECTION 12","APPENDIX: ADVERSE EVENTS AND SERIOUS ADVERSE EVENTS - DEFINITIONS, SEVERITY, AND CAUSALITY","ae4b1b7a-3b73-4391-ab3e-e756c7391022","12","NarrativeContent_119"
"<div></div>","SECTION 12.1","Further Details and Clarifications on the AE Definition","5eda2fa0-4414-45dd-83b3-d0fcc3ad37fa","12.1","NarrativeContent_120"
"<div></div>","SECTION 12.2","Further Details and Clarifications on the SAE Definition","3166a21e-ff85-4f74-be1e-a0dd7dea8656","12.2","NarrativeContent_121"
"<div></div>","SECTION 12.3","Severity","67f494a2-a959-4993-9e29-d269fa892b4f","12.3","NarrativeContent_122"
"<div></div>","SECTION 12.4","Causality","49a4e37c-ce52-49e9-b95b-a0e524c49e3c","12.4","NarrativeContent_123"
"<div></div>","SECTION 13","APPENDIX: DEFINITIONS AND SUPPORTING OPERATIONAL DETAILS","d81b94f3-94c1-4ed2-86e4-6cdb23a36e81","13","NarrativeContent_124"
"<div></div>","SECTION 13.1","Contraception and Pregnancy Testing","5ea3c793-1576-41e5-81fa-32642f271094","13.1","NarrativeContent_125"
"<div></div>","SECTION 13.1.1","Definitions Related to Childbearing Potential","f57367a5-b3a8-49d8-9aad-8972ce8deaf3","13.1.1","NarrativeContent_126"
"<div></div>","SECTION 13.1.2","Contraception","3a08f7ae-3d4f-441c-9bc8-8a7596b5080c","13.1.2","NarrativeContent_127"
"<div></div>","SECTION 13.1.3","Pregnancy Testing","21cad301-0e66-4f81-bbbc-797a79a38d9f","13.1.3","NarrativeContent_128"
"<div></div>","SECTION 13.2","Clinical Laboratory Tests","1ccacc69-a7ec-4cbc-acc8-353b538dc38b","13.2","NarrativeContent_129"
"<div></div>","SECTION 13.3","Country/Region-Specific Differences","547ee505-55d4-496b-b432-13ca10613e5c","13.3","NarrativeContent_130"
"<div></div>","SECTION 13.4","Prior Protocol Amendments","e214c642-4fe2-4033-8b3c-a699e0022afd","13.4","NarrativeContent_131"
"<div></div>","SECTION 14","APPENDIX: GLOSSARY OF TERMS","7b094af5-cb53-45cd-99b7-63653ae5dae5","14","NarrativeContent_132"
"<div></div>","SECTION 15","APPENDIX: REFERENCES","46e039c6-4515-41ea-8029-158eed560714","15","NarrativeContent_133"
