"uuid:ID","id","codeSystem","decode","code","codeSystemVersion"
"32d48f60-f9c8-42bf-b9b5-acb0c0ec4cd5","Code_36","ISO 3166 1 alpha3","Europe","150","2020-08"
"b1d2c46e-1644-457d-8641-d3487721301d","Code_39","http://www.cdisc.org","Country","C25464","2023-09-29"
"8833b0ba-0fdd-497b-a1c4-584664ff8387","Code_38","ISO 3166 1 alpha3","Denmark","DNK","2020-08"
"db3b0538-b54c-4bfa-89a8-9c2b2d3b15a3","Code_33","http://www.cdisc.org","IRB/IEC Feedback","C99904x3","2023-09-29"
"57bba7f8-6d84-43c1-a347-e5f6f2cef095","Code_34","http://www.cdisc.org","Global","C68846","2023-09-29"
"473b8a20-5055-4f44-b60f-0dc32c678f82","Code_3","SPONSOR","Vacines Group","VAC","12"
"e3792d87-a09e-4a01-80b0-cc67dbc12448","Code_4","SPONSOR","Regulatory","REG","12"
"a70b9f4e-8f2f-4bf0-afb6-950a741a8eb2","Code_46","http://www.cdisc.org","Study Registry","C93453","2023-09-29"
"01f3dfda-1474-4c93-add6-81051db1f855","Code_47","ISO 3166 1 alpha3","United Kingdom of Great Britain and Northern Ireland","GBR","2020-08"
"19a528a7-872e-4c56-804a-f31dd71b98c3","Code_48","http://www.cdisc.org","Clinical Study Sponsor","C70793","2023-09-29"
"2f58c7bd-28d7-4589-8500-2ec3bfd6cf4c","Code_49","ISO 3166 1 alpha3","France","FRA","2020-08"
"7594812f-4b22-487e-a2fb-4a84abcc0610","Code_50","http://www.cdisc.org","Regulatory Agency","C188863","2023-09-29"
"e35ef871-744a-4c4b-940d-4927d0c3a446","Code_51","http://www.cdisc.org","Regulatory Agency","C188863","2023-09-29"
"0f4364ac-49af-4cbd-ade4-7a3996c3c64f","Code_52","http://www.cdisc.org","Study Registry","C93453","2023-09-29"
"4bc15434-225a-42d0-9adf-b539b954cd9d","Code_84","http://www.cdisc.org","Basic Research","C15714","2023-09-29"
"b8177500-4458-497c-9eae-d5939aceaf83","Code_85","http://www.cdisc.org","Device Feasibility Study","C139174","2023-09-29"
"8abd5b57-6f9a-4d44-9980-8faf6e8e81e1","Code_86","http://www.cdisc.org","Efficacy Study","C49666","2023-09-29"
"14bd80b4-aad6-4550-b4f9-8425c35c8705","Code_81","SPONSOR","Type 2 diabetes","T2_DIABETES","12"
"e5b187e8-97f8-4939-a3e4-77111924e762","Code_82","SNOMED","Diabetes mellitus (disorder)","73211009","January 31, 2018"
"a0f32cc4-b85d-474a-98a6-da4aa14a3c95","Code_87","http://www.cdisc.org","Parallel Study","C82639","2023-09-29"
"b42a9f10-42ad-4dd2-aaa9-873b38c0b779","Code_55","http://www.cdisc.org","Visit","C25716","2023-09-29"
"3f8bf0eb-592d-4b2a-9082-e256517eed6b","Code_56","http://www.cdisc.org","Clinic","C51282","2023-09-29"
"31f2e900-4b13-42f4-803f-5ce5b8a8a395","Code_57","http://www.cdisc.org","In Person","C175574","2023-09-29"
"3064d988-0009-4278-b01e-0ea8b700f399","Code_58","http://www.cdisc.org","Visit","C25716","2023-09-29"
"200f718e-f62c-4a4a-8a19-1c8d33652799","Code_59","http://www.cdisc.org","Clinic","C51282","2023-09-29"
"6039f203-2762-44d8-9ece-c3158d08808a","Code_60","http://www.cdisc.org","In Person","C175574","2023-09-29"
"9a9ec8e2-d2b7-47b2-b9b9-3a9cf353c00c","Code_61","http://www.cdisc.org","Visit","C25716","2023-09-29"
"540e4769-12a7-4da2-b7e1-78dc6c044f4d","Code_62","http://www.cdisc.org","Clinic","C51282","2023-09-29"
"049376e9-6ccc-478c-8df0-2e2ff89a9182","Code_63","http://www.cdisc.org","In Person","C175574","2023-09-29"
"d9f5cc60-483f-4379-81ef-75620a3a3c28","Code_64","http://www.cdisc.org","Visit","C25716","2023-09-29"
"f6a351e4-cd99-44be-8669-27af5e419776","Code_65","http://www.cdisc.org","Clinic","C51282","2023-09-29"
"e367a0b0-00d4-4f5a-8448-8b607fa79e1f","Code_66","http://www.cdisc.org","In Person","C175574","2023-09-29"
"bc33b571-d027-4158-98b7-ecd821a73444","Code_67","http://www.cdisc.org","Visit","C25716","2023-09-29"
"f8bfa22d-1577-401d-94b2-b5d2dc1021c9","Code_68","http://www.cdisc.org","Clinic","C51282","2023-09-29"
"ac2449ad-b1d6-4580-a401-b6db37f862ee","Code_69","http://www.cdisc.org","In Person","C175574","2023-09-29"
"4ce10894-6eaf-4231-ba6c-684ca60304bf","Code_70","http://www.cdisc.org","Visit","C25716","2023-09-29"
"3943974a-ca3b-466c-bc49-cb47fdde9a31","Code_71","http://www.cdisc.org","Home","C18002","2023-09-29"
"3f578e52-47dc-457b-9f15-af53e02b4e2d","Code_72","http://www.cdisc.org","Telephone Call","C171537","2023-09-29"
"541d22ee-3a3d-41ea-a61b-51f2b5cea001","Code_53","SNOMED","Test","12345678","January 31, 2018"
"ae37e6b2-94e8-4060-a40d-3c81e45e9712","Code_54","SNOMED","Test","12345679","January 31, 2018"
"bfb7a763-30fc-4ffc-b25a-ddf5c5ec95c4","Code_89","http://www.cdisc.org","Male","C20197","2023-09-29"
"86140a8a-1ea0-46bc-985f-00dbff81917b","Code_90","http://www.cdisc.org","Female","C16576","2023-09-29"
"2b542f54-3a04-48c0-99e2-09ab3a7b9041","Code_91","NCI Thesaurus","Sex","C28421",""
"7a09951a-0328-40b7-9e71-7f7d8809d917","Code_88","NCI Thesaurus","Sex","C28421",""
"864d2a82-a491-4eb8-b645-74132d4aeba1","Code_93","NCI Thesaurus","Race","C17049",""
"064322a2-9ea5-4181-b269-c9d5a06cae11","Code_92","NCI Thesaurus","Race","C17049",""
"e2895e8c-19df-4221-8c17-7d592204923c","Code_95","NCI Thesaurus","Vital Signs Result","C173522",""
"0bb3b476-a95c-4857-a04b-cfa4cdfa2809","Code_96","http://www.cdisc.org","Kilogram","C28252","2023-09-29"
"afeaa2c2-36eb-4520-a15b-f0e903f34a54","Code_97","http://www.cdisc.org","Gram","C48155","2023-09-29"
"2ba34367-7f5d-4ab7-b53b-e77e39bce274","Code_98","http://www.cdisc.org","Pound","C48531","2023-09-29"
"0c8cfabd-68de-4302-b65a-d0789f6b5510","Code_99","NCI Thesaurus","Unit of Weight","C48208",""
"0230da16-5e69-4ee4-8e80-94116fcd8a09","Code_94","NCI Thesaurus","Body Weight","C81328",""
"7615dcf1-cb88-4123-8109-d36cec3c092e","Code_73","http://www.cdisc.org","Active Comparator Arm","C174267","2023-09-29"
"3291b3fe-8fee-4244-86d9-e49e010e9ae8","Code_74","http://www.cdisc.org","Data Generated Within Study","C188866","2023-09-29"
"0a3e5cf0-1a07-4e57-8698-924fc505f8a5","Code_75","http://www.cdisc.org","Placebo Comparator Arm","C174268","2023-09-29"
"ddc52909-f4e7-47f9-8885-39f570a38341","Code_76","http://www.cdisc.org","Data Generated Within Study","C188866","2023-09-29"
"f495f61b-b8b1-49ac-bb7f-cd5ba64a9d23","Code_83","http://www.cdisc.org","Open Label Study","C49659","2023-09-29"
"11ac57ea-633f-48cf-b512-7caa9d789339","Code_77","http://www.cdisc.org","Trial Screening","C48262","2023-09-29"
"4d95e18b-be5a-4f3a-8632-5fbb7c8598fd","Code_78","http://www.cdisc.org","Baseline Epoch","C125938","2023-09-29"
"aa3cb340-0b40-464f-8b0a-fb0988456147","Code_79","http://www.cdisc.org","Treatment Epoch","C101526","2023-09-29"
"a52450f7-93f6-4698-b54b-bada9f9d6faf","Code_80","http://www.cdisc.org","Clinical Study Follow-up","C99158","2023-09-29"
"4746aea3-fe50-4b98-a333-f4e657edbf51","Code_100","SNOMED","Indication1","12345","January 31, 2018"
"1103691b-964a-4a10-9db6-a7564f06d18a","Code_101","SNOMED","Indication2","345678","January 31, 2018"
"9a22b42a-dfe3-42db-8345-0470d2a99562","Code_107","M11","role1","role1","None set"
"7f4f7753-025b-4c7f-ac9e-748ab7567dc0","Code_108","http://www.cdisc.org","Pharmacologic Substance","C1909","2023-09-29"
"05e3340f-68bd-4afe-8efd-cc56ea9a0c7a","Code_111","http://www.cdisc.org","Day","C25301","2023-09-29"
"7d33ddcd-9638-44ab-bd54-39e2f072ea27","Code_106","SPONSOR","B","A","12"
"108c8d00-e7c1-4597-8ad0-154ccc72149d","Code_102","http://www.cdisc.org","Percentage","C25613","2023-09-29"
"2d830364-dda1-4fca-9f60-0a55919c4800","Code_104","http://www.cdisc.org","Milligram","C28253","2023-09-29"
"dbea8d94-bb8e-4886-b175-6b33db97090b","Code_103","http://www.cdisc.org","Dental Route of Administration","C38197","2023-09-29"
"9b7988e7-630f-4fc4-baac-90fbac6ea244","Code_105","http://www.cdisc.org","Ten Days Per Month","C139179","2023-09-29"
"dbed1ab8-e15b-4c54-8b8f-4fd620873df3","Code_110","M11","desig_1","desig1","None set"
"50d27b08-2685-4645-b774-79e9b347f05d","Code_109","FDA","B","A","None set"
"598c370d-5c59-4643-96e0-72937f7e92ac","Code_117","M11","role2","role2","None set"
"cb79f33d-81e3-4ee7-8958-c686a10d52c3","Code_118","http://www.cdisc.org","Pharmacologic Substance","C1909","2023-09-29"
"03c893c6-9e6b-41f6-97d2-49d55d8a9fb9","Code_121","http://www.cdisc.org","Day","C25301","2023-09-29"
"558097b1-af8d-4911-aa39-3a53f7e4dc8b","Code_116","SPONSOR","B","A","12"
"5f1bdd68-3690-404e-b261-47e752bd7a18","Code_112","http://www.cdisc.org","Percentage","C25613","2023-09-29"
"9af3ba39-9034-45d7-8ac4-47232248633d","Code_114","http://www.cdisc.org","Milligram","C28253","2023-09-29"
"772651d3-30df-4399-8c46-0fbaf6e6bf46","Code_113","http://www.cdisc.org","Dental Route of Administration","C38197","2023-09-29"
"27fad9b8-31a9-4cbd-b25a-ea2ddd729282","Code_115","http://www.cdisc.org","Ten Days Per Month","C139179","2023-09-29"
"68e62298-e2f3-47ec-a381-5e6d593e8b43","Code_120","M11","desig_2","desig2","None set"
"b31b8969-7a31-4660-9613-4f48e7abf86f","Code_119","FDA","B","A","None set"
"bfbc89d0-542f-438f-90db-229c90a97a03","Code_128","http://www.cdisc.org","Trial Primary Objective","C85826","2023-09-29"
"ecfc1227-14f3-45e1-9936-6a071cd147f8","Code_127","http://www.cdisc.org","Primary Endpoint","C94496","2023-09-29"
"9cb864f8-6361-423d-a4a7-aed2914078f3","Code_130","http://www.cdisc.org","Trial Secondary Objective","C85827","2023-09-29"
"df2d60f6-fc07-4a6c-bbda-ef3ebbfaaba2","Code_129","http://www.cdisc.org","Secondary Endpoint","C139173","2023-09-29"
"afb79e78-7ac9-425e-844a-7991899686ab","Code_131","http://www.cdisc.org","Secondary Endpoint","C139173","2023-09-29"
"f35a6808-b955-4e85-8054-087bacb3c375","Code_132","http://www.cdisc.org","Inclusion Criteria","C25532","2023-09-29"
"4178cc8f-671c-4321-8d8b-7e85a6348a5e","Code_133","http://www.cdisc.org","Inclusion Criteria","C25532","2023-09-29"
"e8693b51-b7ad-4d90-ad3a-fa34ac885efc","Code_134","http://www.cdisc.org","Exclusion Criteria","C25370","2023-09-29"
"917fe2b7-420e-4db3-99e8-86847198969c","Code_135","http://www.cdisc.org","Exclusion Criteria","C25370","2023-09-29"
"9870803c-7bdb-4f16-adad-c8208beaa248","Code_17","http://www.cdisc.org","Before","C201264","2023-09-29"
"9bfb766b-9453-421c-8e15-6429003327c4","Code_18","http://www.cdisc.org","Start to Start","C201265","2023-09-29"
"212ccc5f-68bd-42e3-ae1e-483a97e9449c","Code_19","http://www.cdisc.org","Before","C201264","2023-09-29"
"f4f003b8-9f13-4fe3-9195-4c30e4f09584","Code_20","http://www.cdisc.org","Start to Start","C201265","2023-09-29"
"1f24d350-3ece-4533-ae02-c76cd83820ae","Code_22","http://www.cdisc.org","Fixed Reference","C201264","2023-09-29"
"21a13c5f-d10e-4072-9f9d-bc0d9514537b","Code_23","http://www.cdisc.org","Start to Start","C201265","2023-09-29"
"44de442c-5a88-4617-9f80-42fc29b9760f","Code_24","http://www.cdisc.org","After","C201264","2023-09-29"
"4e985052-8ff2-44b5-a755-8b1177c478dc","Code_25","http://www.cdisc.org","Start to Start","C201265","2023-09-29"
"c5e54b81-127f-4982-b3d2-6d6bbf119d8e","Code_27","http://www.cdisc.org","After","C201264","2023-09-29"
"83ab4250-0536-4a11-ba84-3da5b7c76927","Code_28","http://www.cdisc.org","Start to Start","C201265","2023-09-29"
"8e88d74e-1ceb-4cfe-8096-6f3147e47d7c","Code_30","http://www.cdisc.org","After","C201264","2023-09-29"
"f62a9631-c590-44cf-8525-3eabe3f0ddf0","Code_31","http://www.cdisc.org","Start to Start","C201265","2023-09-29"
"40baf14f-02d7-4182-9ef8-f4b186588ccf","Code_5","http://www.cdisc.org","Draft","C85255","2023-09-29"
"9975643f-0b9c-4773-bbec-a5ff9c515006","Code_15","http://www.cdisc.org","Protocol Effective Date","C99903x1","2023-09-29"
"8c667f0b-3ac6-4b85-b698-c6f510654674","Code_16","http://www.cdisc.org","Global","C68846","2023-09-29"
