"name","uuid:ID","instanceType","id","reference","synonyms","label"
"Albumin Presence in Urine","bd7fa61d-e6d6-4e65-9c15-7f9bcccf1120","BiomedicalConcept","BiomedicalConcept_8","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/ALBURINPRES","['Albumin', 'Albumin Measurement']","Albumin Presence in Urine"
"Alkaline Phosphatase Concentration in Serum/Plasma","9811c268-a5bc-4f4d-96c7-6b927945c7a4","BiomedicalConcept","BiomedicalConcept_9","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALPSERPL","['Alkaline Phosphatase', 'Alkaline Phosphatase Measurement']","Alkaline Phosphatase Concentration in Serum/Plasma"
"Aspartate Aminotransferase in Serum/Plasma","25e0af91-e86d-49d4-8d91-9ac52d61b3fe","BiomedicalConcept","BiomedicalConcept_10","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ASTSERPL","['AST', 'SGOT', 'Aspartate Aminotransferase Measurement']","Aspartate Aminotransferase in Serum/Plasma"
"Creatinine Concentration in Urine","f3a508e1-74de-4232-8ce2-2c8d92381e12","BiomedicalConcept","BiomedicalConcept_11","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/CREATURIN","['Creatinine', 'Creatinine Measurement']","Creatinine Concentration in Urine"
"Potassium Concentration in Urine","15e1d14d-13d6-4698-85c4-3f03e2ffc333","BiomedicalConcept","BiomedicalConcept_12","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/KURIN","['Potassium', 'K', 'Potassium Measurement']","Potassium Concentration in Urine"
"Sodium Concentration in Urine","b5e54fa0-bcc2-476d-9107-cab24bcb95f4","BiomedicalConcept","BiomedicalConcept_13","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SODIUMURIN","['Sodium', 'NA', 'Sodium Measurement']","Sodium Concentration in Urine"
"Systolic Blood Pressure","6361c896-8c79-4d8a-b5f8-7b934eb1d96d","BiomedicalConcept","BiomedicalConcept_14","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP","['SYSBP', 'Systolic Blood Pressure']","Systolic Blood Pressure"
"Diastolic Blood Pressure","9c1bba6a-c708-498a-8e10-c08d59473155","BiomedicalConcept","BiomedicalConcept_15","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP","['DIABP', 'Diastolic Blood Pressure']","Diastolic Blood Pressure"
"Heart Rate","51f79ac0-33a7-4996-86fe-f41f2c97489b","BiomedicalConcept","BiomedicalConcept_16","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HR","['Heart Rate']","Heart Rate"
"Systolic Blood Pressure","ec52a333-e6c5-4a8c-8277-6e663b381e74","BiomedicalConcept","BiomedicalConcept_17","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP","['SYSBP', 'Systolic Blood Pressure']","Systolic Blood Pressure"
"Diastolic Blood Pressure","9cda60bb-b464-4091-b2a3-fd3cf7fcf2f1","BiomedicalConcept","BiomedicalConcept_18","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP","['DIABP', 'Diastolic Blood Pressure']","Diastolic Blood Pressure"
"Heart Rate","a897ad6c-72ed-41c4-a69e-94a5ee674716","BiomedicalConcept","BiomedicalConcept_19","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HR","['Heart Rate']","Heart Rate"
