"text","id","sectionNumber","sectionTitle","name","uuid:ID"
"<div></div>","NarrativeContent_43","6.6.2","Randomisation","SECTION 6.6.2","4d29e7ba-997e-4671-abc5-de89eae02933"
"<div><p>Blinding and unblinding text here please</p></div>","NarrativeContent_44","6.6.3","Blinding and Unblinding","SECTION 6.6.3","c5017dbe-1390-47ba-b141-0db36ddb0340"
"<div></div>","NarrativeContent_45","6.7","Trial Intervention Compliance","SECTION 6.7","2dc1e828-2e9b-4882-b89b-3966c4fce760"
"<div></div>","NarrativeContent_46","6.8","Concomitant Therapy","SECTION 6.8","9d268d38-110a-4e34-8dfc-c41b6ed55f44"
"<div></div>","NarrativeContent_47","6.8.1","Prohibited Concomitant Therapy","SECTION 6.8.1","9a47462f-15d6-4080-8fc9-a8362b673745"
"<div></div>","NarrativeContent_48","6.8.2","Permitted Concomitant Therapy","SECTION 6.8.2","b3afcec7-07da-427a-b7d8-ce7c3c60822f"
"<div></div>","NarrativeContent_49","6.8.3","Rescue Therapy","SECTION 6.8.3","9965578b-f531-4d01-bb3d-80653a9f2600"
"<div></div>","NarrativeContent_50","6.8.4","Other Therapy","SECTION 6.8.4","1c29f079-5a84-4a85-a170-9b0cf14f05be"
"<div></div>","NarrativeContent_51","7","DISCONTINUATION OF TRIAL INTERVENTION AND PARTICIPANT WITHDRAWAL FROM TRIAL","SECTION 7","5e2741e4-5c00-4ffc-bcfb-ae726e973ef7"
"<div></div>","NarrativeContent_52","7.1","Discontinuation of Trial Intervention","SECTION 7.1","782a38c3-20b3-40a4-9309-535bec4b81cd"
"<div></div>","NarrativeContent_53","7.1.1","Criteria for Permanent Discontinuation of Trial Intervention","SECTION 7.1.1","5365592b-707e-4bc4-834a-25e87cd66eea"
"<div></div>","NarrativeContent_54","7.1.2","Temporary Discontinuation or Interruption of Trial Intervention","SECTION 7.1.2","a285062e-aecf-461b-bbfc-8bb87371f7d3"
"<div></div>","NarrativeContent_55","7.1.3","Rechallenge","SECTION 7.1.3","a84a8452-45b3-4c93-b69c-0c08668e2d56"
"<div></div>","NarrativeContent_56","7.2","Participant Withdrawal from the Trial","SECTION 7.2","e8ddb232-dcd5-4624-9a99-149a9811f6fb"
"<div></div>","NarrativeContent_57","7.3","Lost to Follow-Up","SECTION 7.3","cf561556-33a0-4949-8bc6-e691707dee97"
"<div></div>","NarrativeContent_58","7.4","Trial Stopping Rules","SECTION 7.4","40764747-eff8-40f8-9158-8cf249afbff5"
"<div></div>","NarrativeContent_59","8","TRIAL ASSESSMENTS AND PROCEDURES","SECTION 8","a4c9efec-067c-4d78-8e9b-6b826c8c3c5a"
"<div></div>","NarrativeContent_60","8.1","Screening/Baseline Assessments and Procedures","SECTION 8.1","60b7f123-3027-4c18-83b1-4e987dd1a65d"
"<div></div>","NarrativeContent_61","8.2","Efficacy Assessments and Procedures","SECTION 8.2","991e865d-0464-40b4-9c3b-fdcb6c17dad9"
"<div></div>","NarrativeContent_62","8.3","Safety Assessments and Procedures","SECTION 8.3","7652d63c-09a8-4fc2-a52f-c7885065c4d5"
"<div></div>","NarrativeContent_63","8.3.1","Physical Examination","SECTION 8.3.1","600c412c-3b82-4e27-b442-8116e59a47c6"
"<div></div>","NarrativeContent_64","8.3.2","Vital Signs","SECTION 8.3.2","0683217e-b27f-4dc6-86f7-4c19a6fe050c"
"<div></div>","NarrativeContent_65","8.3.3","Electrocardiograms","SECTION 8.3.3","16a9a297-3f5b-4eda-b910-8af0746a20ce"
"<div></div>","NarrativeContent_66","8.3.4","Clinical Laboratory Assessments","SECTION 8.3.4","7001e0e4-5a64-4f14-9d5b-bf0ec43424ad"
"<div></div>","NarrativeContent_67","8.3.5","Suicidal Ideation and Behaviour Risk Monitoring","SECTION 8.3.5","af5c6302-41a2-4d3b-9ddc-d6b5bb9c2b5d"
"<div></div>","NarrativeContent_68","8.4","Adverse Events and Serious Adverse Events","SECTION 8.4","c881695c-767b-4868-8b72-60f92c9a8328"
"<div></div>","NarrativeContent_69","8.4.1","Definitions of AE and SAE","SECTION 8.4.1","9f320369-e221-4a28-a7c1-0ab8008cf4a9"
"<div></div>","NarrativeContent_70","8.4.2","Time Period and Frequency for Collecting AE and SAE Information","SECTION 8.4.2","201d2296-8797-43f2-b179-2ba30afab249"
"<div></div>","NarrativeContent_71","8.4.3","Identifying AEs and SAEs","SECTION 8.4.3","d09cb507-d14c-4481-aa60-6429bdc13ff3"
"<div></div>","NarrativeContent_72","8.4.4","Recording of AEs and SAEs","SECTION 8.4.4","97e84e01-d280-45ce-a3a9-0b77a107f8d4"
"<div></div>","NarrativeContent_73","8.4.5","Follow-up of AEs and SAEs","SECTION 8.4.5","508f90a7-e9ca-49d0-a6e7-c89554c43e40"
"<div></div>","NarrativeContent_74","8.4.6","Reporting of SAEs","SECTION 8.4.6","8efb2dfd-e2ac-443a-8f73-1a527aafc296"
"<div></div>","NarrativeContent_75","8.4.7","Regulatory Reporting Requirements for SAEs","SECTION 8.4.7","ce2f43b1-7d5e-4d2a-94fd-9fffe86fdb6c"
"<div></div>","NarrativeContent_76","8.4.8","Serious and Unexpected Adverse Reaction Reporting","SECTION 8.4.8","6783dd8b-fde0-4d6f-98dc-8ae953cbd8c5"
"<div></div>","NarrativeContent_77","8.4.9","Adverse Events of Special Interest","SECTION 8.4.9","e564571c-4e79-4f6a-90ed-9485991bd063"
"<div></div>","NarrativeContent_78","8.4.10","Disease-related Events or Outcomes Not Qualifying as AEs or SAEs","SECTION 8.4.10","d283a2c7-091b-454e-8d5c-7a6add579126"
"<div></div>","NarrativeContent_79","8.5","Pregnancy and Postpartum Information","SECTION 8.5","cb02b332-39cb-4ce3-9254-9276b3d035d5"
"<div></div>","NarrativeContent_80","8.5.1","Participants Who Become Pregnant During the Trial","SECTION 8.5.1","fd579c4a-4b7c-494b-a0c8-978579656340"
"<div></div>","NarrativeContent_81","8.5.2","Participants Whose Partners Become Pregnant","SECTION 8.5.2","e5891078-173c-4e92-9f06-04f22f349832"
"<div></div>","NarrativeContent_82","8.6","Medical Device Product Complaints for Drug/Device Combination Products","SECTION 8.6","7baddc26-dea0-4a57-87b6-66da91d24d74"
"<div></div>","NarrativeContent_83","8.6.1","Definition of Medical Device Product Complaints","SECTION 8.6.1","714d9149-4a28-43be-8ef6-b2679e05da26"
"<div></div>","NarrativeContent_84","8.6.2","Recording of Medical Device Product Complaints","SECTION 8.6.2","c700981b-baf7-42ec-872a-1deef1c83799"
"<div></div>","NarrativeContent_85","8.6.3","Time Period and Frequency for Collecting Medical Device Product Complaints .","SECTION 8.6.3","91ec823a-049e-44d7-9840-687f713d2078"
"<div></div>","NarrativeContent_86","8.6.4","Follow-Up of Medical Device Product Complaints","SECTION 8.6.4","adbcccca-0bcc-4712-b9a8-fc6c2a825c9a"
"<div></div>","NarrativeContent_87","8.6.5","Regulatory Reporting Requirements for Medical Device Product Complaints","SECTION 8.6.5","0489938f-172b-4983-982e-67add6ed1f72"
"<div></div>","NarrativeContent_88","8.7","Pharmacokinetics","SECTION 8.7","53c6ea65-4865-4ad5-b92a-8dd305defb73"
"<div></div>","NarrativeContent_89","8.8","Genetics","SECTION 8.8","e4d380c5-beea-4108-be83-2343a9160ba3"
"<div></div>","NarrativeContent_90","8.9","Biomarkers","SECTION 8.9","39b9bc29-09ae-4fe4-b6b7-7a25461aca2a"
"<div></div>","NarrativeContent_91","8.1","Immunogenicity Assessments","SECTION 8.1","33994dc5-b716-4601-8810-e174e16fc315"
"<div></div>","NarrativeContent_92","8.1.1","Medical Resource Utilisation and Health Economics","SECTION 8.1.1","e38e00c1-dc2c-45c5-a392-a241fc477bb4"
"<div></div>","NarrativeContent_93","9","STATISTICAL CONSIDERATIONS","SECTION 9","aef80353-b735-417b-b7e3-0c60c7a50148"
"<div></div>","NarrativeContent_94","9.1","Analysis Sets","SECTION 9.1","06d139c6-e05f-4b60-a78e-01e61de7d304"
"<div></div>","NarrativeContent_95","9.2","Analyses Supporting Primary Objective(s)","SECTION 9.2","42b0b18f-4f83-4155-93c2-bfc7955b5273"
"<div></div>","NarrativeContent_96","9.2.1","Statistical Model, Hypothesis, and Method of Analysis","SECTION 9.2.1","4b5ca54f-fccd-4f3d-9c8f-5adcae12b255"
"<div></div>","NarrativeContent_97","9.2.2","Handling of Intercurrent Events of Primary Estimand(s)","SECTION 9.2.2","f927573e-7210-45b7-9392-c4fd8f8f3cc4"
"<div></div>","NarrativeContent_98","9.2.3","Handling of Missing Data","SECTION 9.2.3","7f73837b-abaa-417b-9bcc-f1d768dcc0c6"
"<div></div>","NarrativeContent_99","9.2.4","Sensitivity Analysis","SECTION 9.2.4","64ed45be-cec9-4493-9dfa-a4217f8f1294"
"<div></div>","NarrativeContent_100","9.2.5","Supplementary Analysis","SECTION 9.2.5","91f30e73-bb39-40f1-b9f4-e894d0a27528"
"<div></div>","NarrativeContent_101","9.3","Analysis Supporting Secondary Objective(s)","SECTION 9.3","bf44829f-8214-406a-9a1f-99f9511940bc"
"<div></div>","NarrativeContent_102","9.4","Analysis of Exploratory Objective(s)","SECTION 9.4","e28425c0-8495-420b-83fc-041afa101848"
"<div></div>","NarrativeContent_103","9.5","Safety Analyses","SECTION 9.5","8cd570cc-e29c-4977-8d57-df5de37078e0"
"<div></div>","NarrativeContent_104","9.6","Other Analyses","SECTION 9.6","f45dc006-ac36-4f50-bc0f-013f277e4d72"
"<div></div>","NarrativeContent_105","9.7","Interim Analyses","SECTION 9.7","c33d4ac2-049a-409d-9e51-01cee69103ca"
"<div></div>","NarrativeContent_106","9.8","Sample Size Determination","SECTION 9.8","cb976a7b-9223-4c47-bbd7-1c94b75d748b"
"<div></div>","NarrativeContent_107","9.9","Protocol Deviations","SECTION 9.9","76c1f682-3b9b-44b7-9a2a-3bfe5461e87c"
"<div></div>","NarrativeContent_108","10","GENERAL CONSIDERATIONS: REGULATORY, ETHICAL, AND TRIAL OVERSIGHT","SECTION 10","40e19bf7-e289-4939-8efa-b79eaef1bd75"
"<div></div>","NarrativeContent_109","10.1","Regulatory and Ethical Considerations","SECTION 10.1","bedc6012-8740-4c16-ad02-a89a96d4a6b1"
"<div></div>","NarrativeContent_110","10.2","Committees","SECTION 10.2","930583a1-4be4-4457-9e86-88dee4d9a24f"
"<div></div>","NarrativeContent_111","10.3","Informed Consent Process","SECTION 10.3","16a2f21c-ab11-421a-b590-054290b05006"
"<div></div>","NarrativeContent_112","10.4","Data Protection","SECTION 10.4","479ddc4d-7087-4fcb-b15e-f9f253785808"
"<div></div>","NarrativeContent_113","10.5","Early Site Closure or Trial Termination","SECTION 10.5","51fbbea3-fe03-4b3a-9d0b-5c778166ab2c"
"<div></div>","NarrativeContent_114","11","GENERAL CONSIDERATIONS: RISK MANAGEMENT AND QUALITY ASSURANCE","SECTION 11","9f684731-4070-41a9-b95a-033eca2ec0cd"
"<div></div>","NarrativeContent_115","11.1","Quality Tolerance Limits","SECTION 11.1","ddfc80b5-32a4-4c91-81e8-3cb3896b7512"
"<div></div>","NarrativeContent_116","11.2","Data Quality Assurance","SECTION 11.2","f9457de4-83bd-4150-bcd6-78e3f412a0b5"
"<div></div>","NarrativeContent_117","11.3","Source Data","SECTION 11.3","995c2cc5-0c77-4b24-92bf-5ffc8d330a68"
"<div></div>","NarrativeContent_118","12","APPENDIX: ADVERSE EVENTS AND SERIOUS ADVERSE EVENTS - DEFINITIONS, SEVERITY, AND CAUSALITY","SECTION 12","18b0e4fe-c0af-4a8d-b5ad-dda610ac8e49"
"<div></div>","NarrativeContent_119","12.1","Further Details and Clarifications on the AE Definition","SECTION 12.1","3803e597-1165-4459-ad60-7c0c6cc0ce5f"
"<div></div>","NarrativeContent_120","12.2","Further Details and Clarifications on the SAE Definition","SECTION 12.2","2dc3067d-95f9-4a33-a88e-0b4dfd09da56"
"<div></div>","NarrativeContent_121","12.3","Severity","SECTION 12.3","9828f5de-fc68-443d-aa66-b6defc6a1207"
"<div></div>","NarrativeContent_122","12.4","Causality","SECTION 12.4","b19fff9a-bc16-4552-92c2-f76da8df3241"
"<div></div>","NarrativeContent_123","13","APPENDIX: DEFINITIONS AND SUPPORTING OPERATIONAL DETAILS","SECTION 13","479c35ae-0e9f-4fac-a280-5528669dce80"
"<div></div>","NarrativeContent_124","13.1","Contraception and Pregnancy Testing","SECTION 13.1","2ecf6cc4-f080-40d8-9e73-fed20641cc8e"
"<div></div>","NarrativeContent_125","13.1.1","Definitions Related to Childbearing Potential","SECTION 13.1.1","2141c792-efd2-48ae-894e-091199427109"
"<div></div>","NarrativeContent_126","13.1.2","Contraception","SECTION 13.1.2","4a6b9cbf-355e-4014-a200-2abf641d0853"
"<div></div>","NarrativeContent_127","13.1.3","Pregnancy Testing","SECTION 13.1.3","af982eaf-2834-494c-8e50-abe77183644b"
"<div></div>","NarrativeContent_128","13.2","Clinical Laboratory Tests","SECTION 13.2","0a7ff476-736e-4456-bf63-fb007250908d"
"<div></div>","NarrativeContent_129","13.3","Country/Region-Specific Differences","SECTION 13.3","c305338d-69bc-4bd6-89d2-93aea87ef0b1"
"<div></div>","NarrativeContent_130","13.4","Prior Protocol Amendments","SECTION 13.4","2fce4b02-06f0-4433-bf31-e405a82354c4"
"<div></div>","NarrativeContent_131","14","APPENDIX: GLOSSARY OF TERMS","SECTION 14","aaea2de0-04d9-4c58-aa87-d088c42b6c62"
"<div></div>","NarrativeContent_132","15","APPENDIX: REFERENCES","SECTION 15","91c33144-174a-47f7-b692-1c629a2d749a"
