"code","id","decode","uuid:ID","codeSystemVersion","codeSystem"
"C175574","Code_24","In Person","76b3076a-c843-42ee-bb4f-70bedd70c746","2023-09-29","http://www.cdisc.org"
"C25716","Code_25","Visit","e35fcdee-ab58-4f06-a781-9a6d1e19eff3","2023-09-29","http://www.cdisc.org"
"C51282","Code_26","Clinic","7e2ebe0d-7f22-40e3-b4ea-74b42111611b","2023-09-29","http://www.cdisc.org"
"C175574","Code_27","In Person","46b7fa97-8e2e-492d-90cd-33e7ac993d5b","2023-09-29","http://www.cdisc.org"
"C25716","Code_28","Visit","e8730672-76d9-42cd-a095-6b1c09cb8ad8","2023-09-29","http://www.cdisc.org"
"C18002","Code_29","Home","fe35ae58-ad9a-4ffa-9de6-782d4b0b7a66","2023-09-29","http://www.cdisc.org"
"C171537","Code_30","Telephone Call","c9837e29-30ae-4ba9-b54c-85d4485a527c","2023-09-29","http://www.cdisc.org"
"C20197","Code_72","Male","8c4518c0-d902-49f4-a9a5-a7f89eff72f6","2023-09-29","http://www.cdisc.org"
"C16576","Code_73","Female","08f5ecd8-f001-4174-8fd1-6cfa0644415d","2023-09-29","http://www.cdisc.org"
"C28421","Code_74","Sex","e548d020-e12b-48ca-a553-b6ea787e407d","","NCI Thesaurus"
"C28421","Code_71","Sex","06835da6-5a3d-4d98-b2e2-f917c6aed2d2","","NCI Thesaurus"
"C17049","Code_76","Race","4a437096-c76a-40d8-9e7d-14554af43992","","NCI Thesaurus"
"C17049","Code_75","Race","b7323fad-e0a1-444a-ba97-beec75285af9","","NCI Thesaurus"
"C173522","Code_78","Vital Signs Result","1b5b16a7-eb11-4f1a-8626-0434437f2acf","","NCI Thesaurus"
"C28252","Code_79","Kilogram","65aed5b3-54bd-4dd1-836a-817145978132","2023-09-29","http://www.cdisc.org"
"C48155","Code_80","Gram","ecc5d12b-4b15-4f1d-a38e-aff57e910bd2","2023-09-29","http://www.cdisc.org"
"C48531","Code_81","Pound","16da503e-81c9-4100-87ad-dfb54df2f87f","2023-09-29","http://www.cdisc.org"
"C48208","Code_82","Unit of Weight","d8799b23-6bc8-4d91-822a-774abda9b786","","NCI Thesaurus"
"C81328","Code_77","Body Weight","8d2f2c80-d0f6-4693-a7ea-1e35d4e779ee","","NCI Thesaurus"
"C174267","Code_31","Active Comparator Arm","0a126742-121d-44fc-8ecf-2cd5927f71d9","2023-09-29","http://www.cdisc.org"
"C188866","Code_32","Data Generated Within Study","8f113fbf-8ca1-4607-b989-e611e387f190","2023-09-29","http://www.cdisc.org"
"C174268","Code_33","Placebo Comparator Arm","f15bec36-07d0-4220-a708-a372aec2c8fb","2023-09-29","http://www.cdisc.org"
"C188866","Code_34","Data Generated Within Study","1dbf8e67-65dd-4270-add4-5a148d94cf62","2023-09-29","http://www.cdisc.org"
"C49659","Code_41","Open Label Study","3f5058df-22a9-4898-b2b3-cc063548ce2b","2023-09-29","http://www.cdisc.org"
"C48262","Code_35","Trial Screening","c10fbef3-973d-4729-b501-c67a54871fcf","2023-09-29","http://www.cdisc.org"
"C125938","Code_36","Baseline Epoch","815d795a-0a4f-468d-9719-f35556ea0509","2023-09-29","http://www.cdisc.org"
"C101526","Code_37","Treatment Epoch","fdb5f290-ea2c-4bc7-a914-c6a2320f2073","2023-09-29","http://www.cdisc.org"
"C99158","Code_38","Clinical Study Follow-up","106fcb75-350e-458a-8fbf-4a09c75d9ebf","2023-09-29","http://www.cdisc.org"
"12345","Code_83","Indication1","7261efe5-44c2-46fc-b589-738babceeb9f","January 31, 2018","SNOMED"
"345678","Code_84","Indication2","acbbf544-ecd7-4a16-b6dc-249558532c3a","January 31, 2018","SNOMED"
"role1","Code_90","role1","7a4d7926-d03f-4dfb-b00b-2bbc0acb6d0f","None set","M11"
"C1909","Code_91","Pharmacologic Substance","b7ea0b3c-44bc-41eb-9c3c-b8f1f5adda2f","2023-09-29","http://www.cdisc.org"
"C25301","Code_94","Day","2abae8f6-fe79-4985-96b8-7b2b1fcf50ed","2023-09-29","http://www.cdisc.org"
"A","Code_89","B","d9385b18-793a-4ab5-b250-db88cff2b9f9","12","SPONSOR"
"C25613","Code_85","Percentage","2e3a3d70-3bb5-484c-96bc-364d6a760fc6","2023-09-29","http://www.cdisc.org"
"C28253","Code_87","Milligram","9ff443bf-ded4-4d9f-b907-9ead80576bf4","2023-09-29","http://www.cdisc.org"
"C38197","Code_86","Dental Route of Administration","aa074be0-079b-40a2-a842-e3f3a3045258","2023-09-29","http://www.cdisc.org"
"C139179","Code_88","Ten Days Per Month","2c9365cf-7e0e-476d-89a5-99e794fe1d7d","2023-09-29","http://www.cdisc.org"
"desig1","Code_93","desig_1","3d0a7dc0-282b-4303-9580-cb9835fc48c4","None set","M11"
"A","Code_92","B","4eb5b74f-e8e3-4676-8492-4f985765ee7a","None set","FDA"
"role2","Code_100","role2","63c14cc2-0e69-406b-8b61-c7334dbcdb62","None set","M11"
"C1909","Code_101","Pharmacologic Substance","7ab9594c-a610-4fec-b41e-f5ec2a4a1e01","2023-09-29","http://www.cdisc.org"
"C25301","Code_104","Day","5d3311a5-7724-434b-a8f4-217282efcff1","2023-09-29","http://www.cdisc.org"
"A","Code_99","B","3d59a96f-0f5c-4baf-bac9-2d49349c2ce9","12","SPONSOR"
"C25613","Code_95","Percentage","9b0227c3-6afe-44ba-b566-a349f11fe8ea","2023-09-29","http://www.cdisc.org"
"C28253","Code_97","Milligram","f3081894-ac88-4202-82ff-1f5b21f9152a","2023-09-29","http://www.cdisc.org"
"C38197","Code_96","Dental Route of Administration","f9f6cab9-4e78-44e8-b522-58ab90933f51","2023-09-29","http://www.cdisc.org"
"C139179","Code_98","Ten Days Per Month","9a8de4b8-9bee-4c1d-a673-5ce8db279a24","2023-09-29","http://www.cdisc.org"
"desig2","Code_103","desig_2","37ad4fd5-a5aa-48cf-905d-36cbe5bde002","None set","M11"
"A","Code_102","B","e5fd87c5-68b6-4127-b00c-82aa794df3eb","None set","FDA"
"C85826","Code_111","Trial Primary Objective","c7ea9a1e-c02a-4f06-a083-989aac7dd243","2023-09-29","http://www.cdisc.org"
"C94496","Code_110","Primary Endpoint","3ed80812-ad27-472c-87cd-be56b62bc5d6","2023-09-29","http://www.cdisc.org"
"C85827","Code_113","Trial Secondary Objective","fc2efd26-3e20-49d6-95c0-0c62a4ff0673","2023-09-29","http://www.cdisc.org"
"C139173","Code_112","Secondary Endpoint","ab1e84fb-97e0-423b-b2f0-003b582def19","2023-09-29","http://www.cdisc.org"
"C139173","Code_114","Secondary Endpoint","359740ef-e259-4c8a-acb7-30afecb346c3","2023-09-29","http://www.cdisc.org"
"C139173","Code_115","Secondary Endpoint","9d0ad65c-f63e-4401-921c-c9d2aa3a0b3d","2023-09-29","http://www.cdisc.org"
"C139173","Code_116","Secondary Endpoint","4b0ec536-e44c-4dd6-9311-9fa6ceb4d7a6","2023-09-29","http://www.cdisc.org"
"C139173","Code_117","Secondary Endpoint","38cceb86-595b-4354-975b-cb5752f2b42e","2023-09-29","http://www.cdisc.org"
"C139173","Code_118","Secondary Endpoint","6ca1b584-4c81-4236-9025-ad8ffe02c223","2023-09-29","http://www.cdisc.org"
"C139173","Code_119","Secondary Endpoint","80a899a5-213b-4613-9bd0-5556597b6199","2023-09-29","http://www.cdisc.org"
"C139173","Code_120","Secondary Endpoint","de7788a1-5f6b-4099-ad47-6f5a55c5057b","2023-09-29","http://www.cdisc.org"
"C139173","Code_121","Secondary Endpoint","12ae1653-461e-48f1-b712-21dead5ed84f","2023-09-29","http://www.cdisc.org"
"C139173","Code_122","Secondary Endpoint","42841ca7-508a-4a27-8258-5ff4629200bb","2023-09-29","http://www.cdisc.org"
"C139173","Code_123","Secondary Endpoint","1fba8520-97fa-47ef-a415-a1a7fe05d8ea","2023-09-29","http://www.cdisc.org"
"C201264","Code_48","Before","285a4eaa-38bc-4830-97c4-e1f9ff80dcd2","2023-09-29","http://www.cdisc.org"
"C201265","Code_50","Start to Start","e3d22712-c767-4eeb-b89d-ea423f247377","2023-09-29","http://www.cdisc.org"
"C201264","Code_53","Before","aca9b537-e0a6-4dc3-83e7-e6a0df056e71","2023-09-29","http://www.cdisc.org"
"C201265","Code_55","Start to Start","906464ce-5769-4ff6-a4ff-45186662911e","2023-09-29","http://www.cdisc.org"
"C201264","Code_56","Fixed Reference","ba5a27ba-d0b9-4c41-b1af-8fbe2ea75c8c","2023-09-29","http://www.cdisc.org"
"C201265","Code_60","Start to Start","cba078fc-bf0c-46c3-8b74-c6f10f455321","2023-09-29","http://www.cdisc.org"
"C201264","Code_62","After","bb2cc808-4adc-4d9d-9fc9-1b2c508091f3","2023-09-29","http://www.cdisc.org"
"C201265","Code_65","Start to Start","b790058d-a78a-4ca8-ac93-c8d3d2644fa1","2023-09-29","http://www.cdisc.org"
"C201264","Code_67","After","23bb78f6-6434-4ee1-a1d8-a697a9ef0a9e","2023-09-29","http://www.cdisc.org"
"C201265","Code_70","Start to Start","2a476443-7fbf-4cc4-a11f-537c395a6892","2023-09-29","http://www.cdisc.org"
"C85255","Code_5","Draft","887ce7da-8216-4043-810a-0b6c3c0899a3","2023-09-29","http://www.cdisc.org"
"C99903x1","Code_8","Protocol Effective Date","f605ca76-84e5-40f1-bd5d-9551d29c58d9","2023-09-29","http://www.cdisc.org"
"C68846","Code_9","Global","5a408269-4050-4b70-838a-7be22fedfee1","2023-09-29","http://www.cdisc.org"
