"label","reference","uuid:ID","name","instanceType","synonyms","id"
"Body Temperature","/mdr/bc/packages/2023-12-12/biomedicalconcepts/C174446","0f897798-d0df-419a-9b18-a15a9ff68127","Body Temperature","BiomedicalConcept","['Temperature']","BiomedicalConcept_4"
"Body Weight","/mdr/bc/packages/2023-12-12/biomedicalconcepts/C81328","01652759-86ba-48f1-a07a-efb35f65a2f4","Body Weight","BiomedicalConcept","['Weight']","BiomedicalConcept_5"
"Body Height","/mdr/bc/packages/2023-12-12/biomedicalconcepts/C164634","5c84e613-6c78-4080-a474-452051d9f7f7","Body Height","BiomedicalConcept","['Height']","BiomedicalConcept_6"
"Alanine Aminotransferase Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64433","40726e13-4162-4a82-a609-fd3d127293a1","Alanine Aminotransferase Measurement","BiomedicalConcept","['ALT', 'SGPT']","BiomedicalConcept_7"
"Albumin Measurement","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64431","1a2cfd6d-2101-4b34-8830-37fcef5ed229","Albumin Measurement","BiomedicalConcept","['Albumin']","BiomedicalConcept_8"
"Alkaline Phosphatase Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64432","1288a6ec-5ea5-48cf-b147-cd59498f8a13","Alkaline Phosphatase Measurement","BiomedicalConcept","['Alkaline Phosphatase']","BiomedicalConcept_9"
"Aspartate Aminotransferase Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64467","61f86b15-5e61-44a9-9f16-4b18f64ffc13","Aspartate Aminotransferase Measurement","BiomedicalConcept","['AST', 'SGOT']","BiomedicalConcept_10"
"Creatinine Measurement","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64547","b522b2a2-292c-4cc0-b23a-7f1239c0356b","Creatinine Measurement","BiomedicalConcept","['Creatinine']","BiomedicalConcept_11"
"Potassium Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64853","8f361bb1-6420-464c-9ad2-e185c0bd61dc","Potassium Measurement","BiomedicalConcept","['Potassium', 'K']","BiomedicalConcept_12"
"Sodium Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64809","222156b0-bde5-4ad2-8cb8-b09424254370","Sodium Measurement","BiomedicalConcept","['Sodium', 'NA']","BiomedicalConcept_13"
"Systolic Blood Pressure","/mdr/bc/packages/2023-12-12/biomedicalconcepts/C25298","0576440e-f161-4a29-ac78-efe0dece8730","Systolic Blood Pressure","BiomedicalConcept","['SYSBP']","BiomedicalConcept_14"
"Diastolic Blood Pressure","/mdr/bc/packages/2023-12-12/biomedicalconcepts/C25299","d61dff44-cb57-495d-907e-67bf3448c743","Diastolic Blood Pressure","BiomedicalConcept","['DIABP']","BiomedicalConcept_15"
"Heart Rate","/mdr/bc/packages/2023-12-12/biomedicalconcepts/C49677","7836a135-6448-4a7d-b4bf-cbab9cc461ad","Heart Rate","BiomedicalConcept","","BiomedicalConcept_16"
"Systolic Blood Pressure","/mdr/bc/packages/2023-12-12/biomedicalconcepts/C25298","d3209ea8-8d52-4cab-8d72-21a6dad65f7e","Systolic Blood Pressure","BiomedicalConcept","['SYSBP']","BiomedicalConcept_17"
"Diastolic Blood Pressure","/mdr/bc/packages/2023-12-12/biomedicalconcepts/C25299","383ee5ef-1afc-41b4-8abc-c212f85d716a","Diastolic Blood Pressure","BiomedicalConcept","['DIABP']","BiomedicalConcept_18"
"Heart Rate","/mdr/bc/packages/2023-12-12/biomedicalconcepts/C49677","0303bb15-c11d-42ab-8991-aec73a525a01","Heart Rate","BiomedicalConcept","","BiomedicalConcept_19"
