"label","uuid:ID","name","instanceType","id","isRequired","isEnabled","datatype"
"Molarity Unit","c255b997-4b92-44a3-aef7-a22ef86c2369","Molarity Unit","BiomedicalConceptProperty","BiomedicalConceptProperty_122","True","True","string"
"Biospecimen Type","7a62c5f5-163f-46c7-b0fd-4784ef38ed1c","Biospecimen Type","BiomedicalConceptProperty","BiomedicalConceptProperty_123","True","True","string"
"Reported Event Term","c02e671d-6a5b-49a2-b5fe-4065d57a6978","Reported Event Term","BiomedicalConceptProperty","BiomedicalConceptProperty_1","True","True","string"
"Dictionary-derived Term","bdcd388c-1cc5-44c7-82cd-f4c7c7c3e9fc","Dictionary-derived Term","BiomedicalConceptProperty","BiomedicalConceptProperty_2","True","True","string"
"Category","d86a19ea-83d9-4c1b-a5f0-9b8f7f94d441","Category","BiomedicalConceptProperty","BiomedicalConceptProperty_3","True","True","string"
"Subcategory","50648c8f-f659-42ac-ad09-5214006a8240","Subcategory","BiomedicalConceptProperty","BiomedicalConceptProperty_4","True","True","string"
"Observation Start Date Time","87d17dbd-2e65-4ac1-8ae5-dca9c20ad180","Observation Start Date Time","BiomedicalConceptProperty","BiomedicalConceptProperty_5","True","True","datetime"
"Clinical Test Result","8ee8efca-b496-49b8-a476-10584ae02da5","Clinical Test Result","BiomedicalConceptProperty","BiomedicalConceptProperty_6","True","True","decimal"
"Unit of Pressure","e7a9669d-b8c7-414c-8d1c-88fd5bf45de0","Unit of Pressure","BiomedicalConceptProperty","BiomedicalConceptProperty_7","True","True","string"
"Anatomic Site","f19bd840-e1f3-4622-bfbb-32f70e17ce2a","Anatomic Site","BiomedicalConceptProperty","BiomedicalConceptProperty_8","True","True","string"
"Laterality","bfcbdf66-9359-442a-ab7a-7af63ad676f6","Laterality","BiomedicalConceptProperty","BiomedicalConceptProperty_9","True","True","string"
"Test Method","444ac39f-a480-4767-a4ce-244dd27782f5","Test Method","BiomedicalConceptProperty","BiomedicalConceptProperty_10","True","True","string"
"Body Position","1355d520-1e15-4cc6-bb55-e116214293c2","Body Position","BiomedicalConceptProperty","BiomedicalConceptProperty_11","True","True","string"
"Clinical Test Result","f48042eb-20bf-45b8-be7f-b384f2fc092d","Clinical Test Result","BiomedicalConceptProperty","BiomedicalConceptProperty_12","True","True","decimal"
"Unit of Pressure","662bdc33-2e5a-4b24-a3f6-7eabc99f5bc3","Unit of Pressure","BiomedicalConceptProperty","BiomedicalConceptProperty_13","True","True","string"
"Anatomic Site","b767102f-741a-4d73-b628-6a15260dafd2","Anatomic Site","BiomedicalConceptProperty","BiomedicalConceptProperty_14","True","True","string"
"Laterality","28d02e74-01f1-4ccf-a0b6-36a041a71218","Laterality","BiomedicalConceptProperty","BiomedicalConceptProperty_15","True","True","string"
"Test Method","c598efc0-ba08-475a-ac37-b899ac66fc6e","Test Method","BiomedicalConceptProperty","BiomedicalConceptProperty_16","True","True","string"
"Body Position","3ad78bc2-9bad-43d3-988c-e614e2e6f6a9","Body Position","BiomedicalConceptProperty","BiomedicalConceptProperty_17","True","True","string"
"Clinical Test Result","c74758e3-0883-49de-98bd-b8d7b472b1de","Clinical Test Result","BiomedicalConceptProperty","BiomedicalConceptProperty_18","True","True","decimal"
"Unit of Temperature","0e5d2d47-f269-4b19-849b-09c762cf8b48","Unit of Temperature","BiomedicalConceptProperty","BiomedicalConceptProperty_19","True","True","string"
"Anatomic Site","ec731183-20c5-4d7d-aa28-9934d4d7dce2","Anatomic Site","BiomedicalConceptProperty","BiomedicalConceptProperty_20","True","True","string"
"Clinical Test Result","29e88e24-3714-4421-b67c-427a218f4ea5","Clinical Test Result","BiomedicalConceptProperty","BiomedicalConceptProperty_21","True","True","decimal"
"Unit of Weight","f4d9a2dc-7232-4ea7-a11c-8b5509f63fb0","Unit of Weight","BiomedicalConceptProperty","BiomedicalConceptProperty_22","True","True","string"
"Clinical Test Result","af97e776-7629-4fe0-ae73-d56c16101882","Clinical Test Result","BiomedicalConceptProperty","BiomedicalConceptProperty_23","True","True","decimal"
"Unit of Height","1b5afb26-eeb5-409f-bef3-2dd51244a2cf","Unit of Height","BiomedicalConceptProperty","BiomedicalConceptProperty_24","True","True","string"
"Laboratory Test Result","bf8bd04c-4005-4c56-85a7-b490c076909f","Laboratory Test Result","BiomedicalConceptProperty","BiomedicalConceptProperty_25","True","True","decimal"
"Laboratory Test Fasting Status","9ce1d2a8-6266-471b-8b26-ac501053ba4b","Laboratory Test Fasting Status","BiomedicalConceptProperty","BiomedicalConceptProperty_26","True","True","boolean"
"Unit of Catalytic Activity Concentration","64a57cae-ca73-42d1-83d0-98b1d98b8363","Unit of Catalytic Activity Concentration","BiomedicalConceptProperty","BiomedicalConceptProperty_27","True","True","string"
"Biospecimen Type","861525ba-f6f9-4829-aff6-267a642c5037","Biospecimen Type","BiomedicalConceptProperty","BiomedicalConceptProperty_28","True","True","string"
"Laboratory Test Result","9863879c-300e-4c4f-bf34-97742500041a","Laboratory Test Result","BiomedicalConceptProperty","BiomedicalConceptProperty_29","True","True","string"
"Laboratory Test Fasting Status","32c07a47-8ef5-4cec-b27c-3cc3379b888f","Laboratory Test Fasting Status","BiomedicalConceptProperty","BiomedicalConceptProperty_30","True","True","boolean"
"Unit of Concentration","1dac01bb-5164-4355-bb2a-b4c371689bc9","Unit of Concentration","BiomedicalConceptProperty","BiomedicalConceptProperty_31","True","True","string"
"Biospecimen Type","33ac0776-81f3-4bc0-beff-0756f39a58a4","Biospecimen Type","BiomedicalConceptProperty","BiomedicalConceptProperty_32","True","True","string"
"Laboratory Test Result","2a230ec4-1b3b-44a6-9a4b-143f6aeb84e1","Laboratory Test Result","BiomedicalConceptProperty","BiomedicalConceptProperty_33","True","True","decimal"
"Laboratory Test Fasting Status","55efe682-37d5-4307-96b8-482ad23a6518","Laboratory Test Fasting Status","BiomedicalConceptProperty","BiomedicalConceptProperty_34","True","True","boolean"
"Unit of Catalytic Activity Concentration","70439ca1-5553-40c7-9c47-be0f431234cb","Unit of Catalytic Activity Concentration","BiomedicalConceptProperty","BiomedicalConceptProperty_35","True","True","string"
"Biospecimen Type","2090ca1d-79c0-4edb-b472-36f2384a84a1","Biospecimen Type","BiomedicalConceptProperty","BiomedicalConceptProperty_36","True","True","string"
"Laboratory Test Result","45774ca2-38e0-423e-ae23-df1ec9477cec","Laboratory Test Result","BiomedicalConceptProperty","BiomedicalConceptProperty_37","True","True","decimal"
"Laboratory Test Fasting Status","38d455cd-5509-4920-aceb-affc1de3413f","Laboratory Test Fasting Status","BiomedicalConceptProperty","BiomedicalConceptProperty_38","True","True","boolean"
"Unit of Catalytic Activity Concentration","8431fc47-7173-455b-ba36-3f9971a46eb1","Unit of Catalytic Activity Concentration","BiomedicalConceptProperty","BiomedicalConceptProperty_39","True","True","string"
"Biospecimen Type","d64457fc-2d50-4ca9-8f4f-096965115a1d","Biospecimen Type","BiomedicalConceptProperty","BiomedicalConceptProperty_40","True","True","string"
"Laboratory Test Result","754a4315-2ddd-40e0-b71e-84c18411a711","Laboratory Test Result","BiomedicalConceptProperty","BiomedicalConceptProperty_41","True","True","string"
"Laboratory Test Fasting Status","74284446-1287-4583-89d9-23d41cddeed2","Laboratory Test Fasting Status","BiomedicalConceptProperty","BiomedicalConceptProperty_42","True","True","boolean"
"Unit of Concentration","615a168c-16a0-483d-9136-08c7ab50b5be","Unit of Concentration","BiomedicalConceptProperty","BiomedicalConceptProperty_43","True","True","string"
"Biospecimen Type","9c08c072-e823-4f46-b823-0f2410d425f2","Biospecimen Type","BiomedicalConceptProperty","BiomedicalConceptProperty_44","True","True","string"
"Laboratory Test Result","a8e31a79-dfce-4c2a-9d69-83b7b348277e","Laboratory Test Result","BiomedicalConceptProperty","BiomedicalConceptProperty_45","True","True","decimal"
"Laboratory Test Fasting Status","7f8dc540-203a-415b-b6ff-d2360c2ec944","Laboratory Test Fasting Status","BiomedicalConceptProperty","BiomedicalConceptProperty_46","True","True","boolean"
"Molarity Unit","e8faa6ad-b99c-4d85-8b84-ae866d5b1419","Molarity Unit","BiomedicalConceptProperty","BiomedicalConceptProperty_47","True","True","string"
"Biospecimen Type","17526046-33d8-44ef-b414-12336a1c0791","Biospecimen Type","BiomedicalConceptProperty","BiomedicalConceptProperty_48","True","True","string"
"Laboratory Test Result","fb70f4b3-c044-4ac6-bf26-0c9f5e424ca7","Laboratory Test Result","BiomedicalConceptProperty","BiomedicalConceptProperty_49","True","True","decimal"
"Laboratory Test Fasting Status","5de967a7-de20-4da2-8c76-a5ac8ca0113f","Laboratory Test Fasting Status","BiomedicalConceptProperty","BiomedicalConceptProperty_50","True","True","boolean"
"Molarity Unit","e1d59c97-b55c-4a96-9693-4cc20b363be6","Molarity Unit","BiomedicalConceptProperty","BiomedicalConceptProperty_51","True","True","string"
"Biospecimen Type","7ecaa6cb-1c4a-4e77-b6b2-86058f71e64c","Biospecimen Type","BiomedicalConceptProperty","BiomedicalConceptProperty_52","True","True","string"
"Clinical Test Result","a4c15734-de83-4434-a5a4-4fdbc6d66325","Clinical Test Result","BiomedicalConceptProperty","BiomedicalConceptProperty_53","True","True","decimal"
"Unit of Pressure","80d4e4fc-83d6-424a-850b-ae59a33097e7","Unit of Pressure","BiomedicalConceptProperty","BiomedicalConceptProperty_54","True","True","string"
"Anatomic Site","f80140e3-105c-4821-ad9b-ea4a06db8392","Anatomic Site","BiomedicalConceptProperty","BiomedicalConceptProperty_55","True","True","string"
"Laterality","b26e4c94-e279-4195-bf79-5e60908315f7","Laterality","BiomedicalConceptProperty","BiomedicalConceptProperty_56","True","True","string"
"Test Method","43fbaec9-1b00-4516-b408-123208546653","Test Method","BiomedicalConceptProperty","BiomedicalConceptProperty_57","True","True","string"
"Body Position","dea64562-824b-4d25-b07d-53b919c9fd42","Body Position","BiomedicalConceptProperty","BiomedicalConceptProperty_58","True","True","string"
"Clinical Test Result","b646868b-5e40-4ba7-82e6-54248eb0b99e","Clinical Test Result","BiomedicalConceptProperty","BiomedicalConceptProperty_59","True","True","decimal"
"Unit of Pressure","efa02ad9-176c-4825-a6d7-4bc1292d1b68","Unit of Pressure","BiomedicalConceptProperty","BiomedicalConceptProperty_60","True","True","string"
"Anatomic Site","159bab54-e09c-445e-ad83-01506d6d5904","Anatomic Site","BiomedicalConceptProperty","BiomedicalConceptProperty_61","True","True","string"
"Laterality","04b24592-d71b-48ab-b643-ac14ea7eb003","Laterality","BiomedicalConceptProperty","BiomedicalConceptProperty_62","True","True","string"
"Test Method","79b94a1c-23ed-46e7-8c39-8a4a4861ae2f","Test Method","BiomedicalConceptProperty","BiomedicalConceptProperty_63","True","True","string"
"Body Position","3b80e29a-a062-4088-8dda-c6b33a45274e","Body Position","BiomedicalConceptProperty","BiomedicalConceptProperty_64","True","True","string"
"Clinical Test Result","ff6ab0b0-2a8e-48f1-bfe9-491763b61048","Clinical Test Result","BiomedicalConceptProperty","BiomedicalConceptProperty_65","True","True","integer"
"Count per Minute","e9c9a753-606a-421c-a4e4-6c0772fb5c91","Count per Minute","BiomedicalConceptProperty","BiomedicalConceptProperty_66","True","True","string"
"Anatomic Site","abd7fc64-484f-4835-94b4-44b0caa8e094","Anatomic Site","BiomedicalConceptProperty","BiomedicalConceptProperty_67","True","True","string"
"Laterality","1a197caf-d10d-4447-b2da-aa70090dd735","Laterality","BiomedicalConceptProperty","BiomedicalConceptProperty_68","True","True","string"
"Test Method","9bff59f3-87ad-4eff-bfb9-6caf70bbba6e","Test Method","BiomedicalConceptProperty","BiomedicalConceptProperty_69","True","True","string"
"Body Position","e2eeff9b-b905-41e5-b9f0-bdc8ff96b942","Body Position","BiomedicalConceptProperty","BiomedicalConceptProperty_70","True","True","string"
"Clinical Test Result","bc248729-151d-4ec8-befc-5e01e82ca8f9","Clinical Test Result","BiomedicalConceptProperty","BiomedicalConceptProperty_71","True","True","decimal"
"Unit of Pressure","4a251db5-0ecb-47f0-98e4-bb6f63e2e1b6","Unit of Pressure","BiomedicalConceptProperty","BiomedicalConceptProperty_72","True","True","string"
"Anatomic Site","ec38b713-0c25-4cd6-9a8a-35755cb62c77","Anatomic Site","BiomedicalConceptProperty","BiomedicalConceptProperty_73","True","True","string"
"Laterality","31a45430-5e12-4ff9-9dfe-eb7d02d1949d","Laterality","BiomedicalConceptProperty","BiomedicalConceptProperty_74","True","True","string"
"Test Method","41251714-0e33-4bf1-a2e1-4ff322f5f3df","Test Method","BiomedicalConceptProperty","BiomedicalConceptProperty_75","True","True","string"
"Body Position","693d334f-8ce2-4385-842e-8c867a6cb760","Body Position","BiomedicalConceptProperty","BiomedicalConceptProperty_76","True","True","string"
"Clinical Test Result","7e03703d-1175-4646-acc6-f959d8367889","Clinical Test Result","BiomedicalConceptProperty","BiomedicalConceptProperty_77","True","True","decimal"
"Unit of Pressure","796af220-6585-4185-bc98-0f44ac5a7874","Unit of Pressure","BiomedicalConceptProperty","BiomedicalConceptProperty_78","True","True","string"
"Anatomic Site","d64aac4d-15af-4160-8acd-f0cf62571f19","Anatomic Site","BiomedicalConceptProperty","BiomedicalConceptProperty_79","True","True","string"
"Laterality","abe9e606-c32b-4445-8223-dc5808504d0d","Laterality","BiomedicalConceptProperty","BiomedicalConceptProperty_80","True","True","string"
"Test Method","63070829-13f3-49e7-8944-c7a8dc046f96","Test Method","BiomedicalConceptProperty","BiomedicalConceptProperty_81","True","True","string"
"Body Position","544ef656-758b-4c0e-8723-a66358563c4c","Body Position","BiomedicalConceptProperty","BiomedicalConceptProperty_82","True","True","string"
"Clinical Test Result","18c124f9-aa77-41ec-8dc9-dd72023e0e92","Clinical Test Result","BiomedicalConceptProperty","BiomedicalConceptProperty_83","True","True","integer"
"Count per Minute","015d4a14-b08c-4c33-9a41-c04561d5f116","Count per Minute","BiomedicalConceptProperty","BiomedicalConceptProperty_84","True","True","string"
"Anatomic Site","9e9f475b-fbdb-4bcd-be2e-442d5b44f1f0","Anatomic Site","BiomedicalConceptProperty","BiomedicalConceptProperty_85","True","True","string"
"Laterality","9f8fbcc4-525c-4d06-b04c-09c40a0afa2d","Laterality","BiomedicalConceptProperty","BiomedicalConceptProperty_86","True","True","string"
"Test Method","3ab09d3a-0d70-487e-bfd2-7d19b7ab7821","Test Method","BiomedicalConceptProperty","BiomedicalConceptProperty_87","True","True","string"
"Body Position","d6ff1307-b1cd-4cfa-a3eb-c844709b4d93","Body Position","BiomedicalConceptProperty","BiomedicalConceptProperty_88","True","True","string"
