"instanceType","label","reference","synonyms","uuid:ID","name","id"
"BiomedicalConcept","Weight","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/WEIGHT","['Weight', 'Body Weight']","debf9ecb-bf27-46a5-a976-050a12ec337e","Weight","BiomedicalConcept_5"
"BiomedicalConcept","Height","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HEIGHT","['Height', 'Body Height']","70def464-98bc-4b2f-b88a-def436832d4f","Height","BiomedicalConcept_6"
"BiomedicalConcept","Alanine Aminotransferase Concentration in Serum/Plasma","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALTSERPL","['ALT', 'SGPT', 'Alanine Aminotransferase Measurement']","cec48522-10bf-45da-a80d-96ad1a7d360b","Alanine Aminotransferase Concentration in Serum/Plasma","BiomedicalConcept_7"
"BiomedicalConcept","Albumin Presence in Urine","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/ALBURINPRES","['Albumin', 'Albumin Measurement']","fb29cccf-df41-465f-b8e3-079fa62e0ffc","Albumin Presence in Urine","BiomedicalConcept_8"
"BiomedicalConcept","Alkaline Phosphatase Concentration in Serum/Plasma","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALPSERPL","['Alkaline Phosphatase', 'Alkaline Phosphatase Measurement']","74b4ebd9-d050-4942-b097-c38f6cede4c7","Alkaline Phosphatase Concentration in Serum/Plasma","BiomedicalConcept_9"
"BiomedicalConcept","Aspartate Aminotransferase in Serum/Plasma","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ASTSERPL","['AST', 'SGOT', 'Aspartate Aminotransferase Measurement']","27056f2e-484c-4d97-ab18-8efe848c41a6","Aspartate Aminotransferase in Serum/Plasma","BiomedicalConcept_10"
"BiomedicalConcept","Creatinine Concentration in Urine","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/CREATURIN","['Creatinine', 'Creatinine Measurement']","a50392b4-a26f-4c82-9557-207b1e2bf118","Creatinine Concentration in Urine","BiomedicalConcept_11"
"BiomedicalConcept","Potassium Concentration in Urine","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/KURIN","['Potassium', 'K', 'Potassium Measurement']","72ad0d9a-440c-4a77-b3e8-bb8ae9bec00b","Potassium Concentration in Urine","BiomedicalConcept_12"
"BiomedicalConcept","Sodium Concentration in Urine","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SODIUMURIN","['Sodium', 'NA', 'Sodium Measurement']","527b91cc-ab38-4b1f-901b-c59335dd021a","Sodium Concentration in Urine","BiomedicalConcept_13"
"BiomedicalConcept","Systolic Blood Pressure","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP","['SYSBP', 'Systolic Blood Pressure']","c1cbc91d-bdba-4ac9-968c-64b6e3a55110","Systolic Blood Pressure","BiomedicalConcept_14"
"BiomedicalConcept","Diastolic Blood Pressure","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP","['DIABP', 'Diastolic Blood Pressure']","98a77d5b-642e-4411-b941-c9ab9622ba4d","Diastolic Blood Pressure","BiomedicalConcept_15"
"BiomedicalConcept","Heart Rate","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HR","['Heart Rate']","5dfc4328-f074-48ca-99f4-c2a75e3cec58","Heart Rate","BiomedicalConcept_16"
"BiomedicalConcept","Systolic Blood Pressure","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP","['SYSBP', 'Systolic Blood Pressure']","ab539c20-23a7-46ce-911f-9d26dfeb2ae4","Systolic Blood Pressure","BiomedicalConcept_17"
"BiomedicalConcept","Diastolic Blood Pressure","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP","['DIABP', 'Diastolic Blood Pressure']","44a938cc-8ace-48d1-955d-575faf45cecc","Diastolic Blood Pressure","BiomedicalConcept_18"
"BiomedicalConcept","Heart Rate","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HR","['Heart Rate']","37fac671-7750-431a-a849-570f11c9814b","Heart Rate","BiomedicalConcept_19"
