"synonyms","id","reference","instanceType","uuid:ID","label","name"
"['Temperature', 'Body Temperature']","BiomedicalConcept_4","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/TEMP","BiomedicalConcept","ebc462d2-a5f4-4401-9533-317cf8980ff9","Temperature","Temperature"
"['Weight', 'Body Weight']","BiomedicalConcept_5","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/WEIGHT","BiomedicalConcept","dcc356ca-0c1f-4a0d-94b0-9a6ef8c33d8a","Weight","Weight"
"['Height', 'Body Height']","BiomedicalConcept_6","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HEIGHT","BiomedicalConcept","0280eb85-9a9e-4942-b4a4-55115e434ae2","Height","Height"
"['ALT', 'SGPT', 'Alanine Aminotransferase Measurement']","BiomedicalConcept_7","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALTSERPL","BiomedicalConcept","b6150b1d-5262-4e1c-934a-2bab6eb07639","Alanine Aminotransferase Concentration in Serum/Plasma","Alanine Aminotransferase Concentration in Serum/Plasma"
"['Albumin', 'Albumin Measurement']","BiomedicalConcept_8","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/ALBURINPRES","BiomedicalConcept","68bbba61-51e6-4788-a0f8-e72ae1acfd24","Albumin Presence in Urine","Albumin Presence in Urine"
"['Alkaline Phosphatase', 'Alkaline Phosphatase Measurement']","BiomedicalConcept_9","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALPSERPL","BiomedicalConcept","cfbd34c6-6c39-4cdc-9087-d9d33c3122ab","Alkaline Phosphatase Concentration in Serum/Plasma","Alkaline Phosphatase Concentration in Serum/Plasma"
"['AST', 'SGOT', 'Aspartate Aminotransferase Measurement']","BiomedicalConcept_10","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ASTSERPL","BiomedicalConcept","67465d0a-f26b-43b9-9bb4-5485c37f0cae","Aspartate Aminotransferase in Serum/Plasma","Aspartate Aminotransferase in Serum/Plasma"
"['Creatinine', 'Creatinine Measurement']","BiomedicalConcept_11","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/CREATURIN","BiomedicalConcept","bf19f5ce-179b-4501-b3bd-9e1603a9966d","Creatinine Concentration in Urine","Creatinine Concentration in Urine"
"['Potassium', 'K', 'Potassium Measurement']","BiomedicalConcept_12","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/KURIN","BiomedicalConcept","58bd6e11-5241-446b-b58c-440ed3d702dc","Potassium Concentration in Urine","Potassium Concentration in Urine"
"['Sodium', 'NA', 'Sodium Measurement']","BiomedicalConcept_13","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SODIUMURIN","BiomedicalConcept","faba8cce-a78c-4c37-ab4c-865521906c7a","Sodium Concentration in Urine","Sodium Concentration in Urine"
"['SYSBP', 'Systolic Blood Pressure']","BiomedicalConcept_14","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP","BiomedicalConcept","4eb07290-b719-4b7d-8dbf-2ed28622bc08","Systolic Blood Pressure","Systolic Blood Pressure"
"['DIABP', 'Diastolic Blood Pressure']","BiomedicalConcept_15","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP","BiomedicalConcept","52d2a0f6-397e-415b-8626-ebe50734f58a","Diastolic Blood Pressure","Diastolic Blood Pressure"
"['Heart Rate']","BiomedicalConcept_16","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HR","BiomedicalConcept","91fe3fc7-3125-4490-8604-4b7a0bc176a7","Heart Rate","Heart Rate"
"['SYSBP', 'Systolic Blood Pressure']","BiomedicalConcept_17","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP","BiomedicalConcept","7e2a4f87-8bd5-45fc-b582-accd986ea434","Systolic Blood Pressure","Systolic Blood Pressure"
"['DIABP', 'Diastolic Blood Pressure']","BiomedicalConcept_18","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP","BiomedicalConcept","19ddc82f-c2cc-4427-b4af-290d716b5742","Diastolic Blood Pressure","Diastolic Blood Pressure"
"['Heart Rate']","BiomedicalConcept_19","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HR","BiomedicalConcept","6b052c00-e258-4d64-ad96-06cd08d41b89","Heart Rate","Heart Rate"
