"decode","codeSystemVersion","code","uuid:ID","id","instanceType","codeSystem"
"ADAPTIVE","2023-12-15","C98704","2f74cdd5-9361-47ce-bbbf-fc319f2fb4fb","Code_144","Code","http://www.cdisc.org"
"Parallel Study","2023-12-15","C82639","c9f485c2-0e4d-4a75-8f67-2fc3a719f15b","Code_141","Code","http://www.cdisc.org"
"Visit","2023-12-15","C25716","edf9c506-747c-4e36-b1b7-970e3bc2650d","Code_83","Code","http://www.cdisc.org"
"Clinic","2023-12-15","C51282","41ffa9fc-6f28-458c-a56c-f2c3fba7fafa","Code_84","Code","http://www.cdisc.org"
"In Person","2023-12-15","C175574","ee00417a-717d-4f30-9937-f43d33cd0945","Code_85","Code","http://www.cdisc.org"
"Visit","2023-12-15","C25716","26fdba81-015e-4816-a9db-6214cf37e27a","Code_86","Code","http://www.cdisc.org"
"Clinic","2023-12-15","C51282","15308dc0-74fe-45a0-b9d2-faf428af18bd","Code_87","Code","http://www.cdisc.org"
"In Person","2023-12-15","C175574","b9acdfd3-82db-4ee3-92c1-fb6712db546c","Code_88","Code","http://www.cdisc.org"
"Visit","2023-12-15","C25716","b8e2ed0f-37e1-4680-91f1-3f56300969c9","Code_89","Code","http://www.cdisc.org"
"Clinic","2023-12-15","C51282","8778dedf-dcf6-4567-92c9-db893568f7d6","Code_90","Code","http://www.cdisc.org"
"In Person","2023-12-15","C175574","730fea24-bc4a-49bc-8b8d-7fa3f72d4bfe","Code_91","Code","http://www.cdisc.org"
"Visit","2023-12-15","C25716","8e70b90c-e8d6-456a-9111-76201db59ece","Code_92","Code","http://www.cdisc.org"
"Clinic","2023-12-15","C51282","25cae22e-4ac7-4562-9e29-c35688e62702","Code_93","Code","http://www.cdisc.org"
"In Person","2023-12-15","C175574","54125cec-3d11-4098-9af3-ceca54c414eb","Code_94","Code","http://www.cdisc.org"
"Visit","2023-12-15","C25716","3e3128df-7119-4f2f-b23b-e22068531d67","Code_95","Code","http://www.cdisc.org"
"Clinic","2023-12-15","C51282","31ac1976-0fef-4c96-8db2-bcf570e68175","Code_96","Code","http://www.cdisc.org"
"In Person","2023-12-15","C175574","99bebe07-3b41-4f9a-897e-80113f263fc8","Code_97","Code","http://www.cdisc.org"
"Visit","2023-12-15","C25716","3bd65056-265f-4cd6-b3a0-5078ffbd6959","Code_98","Code","http://www.cdisc.org"
"Clinic","2023-12-15","C51282","74d59e90-24d8-4171-b5f1-c0d691a19821","Code_99","Code","http://www.cdisc.org"
"In Person","2023-12-15","C175574","ef167909-af41-46b2-be13-20b334ffe252","Code_100","Code","http://www.cdisc.org"
"Visit","2023-12-15","C25716","9dff5647-84ed-434c-90fb-43d7c7efbc83","Code_101","Code","http://www.cdisc.org"
"Clinic","2023-12-15","C51282","de61a4d9-14f5-45fd-9b6a-ba96618e1d60","Code_102","Code","http://www.cdisc.org"
"In Person","2023-12-15","C175574","3f6dc695-c661-4a30-ad47-a908de8cc34f","Code_103","Code","http://www.cdisc.org"
"Telephone Call","2023-12-15","C171537","5b52f164-e313-459d-abd0-d982601bfb65","Code_104","Code","http://www.cdisc.org"
"Visit","2023-12-15","C25716","8a3c7cd6-249d-40bf-b5ff-1de33496bc7e","Code_105","Code","http://www.cdisc.org"
"Clinic","2023-12-15","C51282","71e1831a-6a6e-4eac-a6d8-e2e4aae2c81a","Code_106","Code","http://www.cdisc.org"
"In Person","2023-12-15","C175574","96f4bd94-e8d7-43ae-b6e6-302649fe2cac","Code_107","Code","http://www.cdisc.org"
"Telephone Call","2023-12-15","C171537","2964763c-b820-4e71-ba4b-33e9a6efd326","Code_108","Code","http://www.cdisc.org"
"Visit","2023-12-15","C25716","47b032bb-8528-450d-8706-c3ccf462a01e","Code_109","Code","http://www.cdisc.org"
"Clinic","2023-12-15","C51282","8a649598-da14-4d74-bed7-36cf6925a3df","Code_110","Code","http://www.cdisc.org"
"In Person","2023-12-15","C175574","574f7ba2-350d-4769-8676-ed20921b8b41","Code_111","Code","http://www.cdisc.org"
"Telephone Call","2023-12-15","C171537","3f81b608-887f-410a-b700-4b87e465358b","Code_112","Code","http://www.cdisc.org"
"Visit","2023-12-15","C25716","e38be739-bd99-47bb-a8de-f73b96cfe944","Code_113","Code","http://www.cdisc.org"
"Clinic","2023-12-15","C51282","3e7bacd5-8730-4b01-9865-6d6b985b0ace","Code_114","Code","http://www.cdisc.org"
"In Person","2023-12-15","C175574","a74c225b-7d23-4e76-981e-a1aafbd7816f","Code_115","Code","http://www.cdisc.org"
"Telephone Call","2023-12-15","C171537","24eacedb-21c1-4726-b5ba-95f78d46ec97","Code_116","Code","http://www.cdisc.org"
"Visit","2023-12-15","C25716","100df12b-4b59-4803-8171-ba8c3e3b38f1","Code_117","Code","http://www.cdisc.org"
"Clinic","2023-12-15","C51282","984970a7-22c1-4592-9ea6-2288b97cdc98","Code_118","Code","http://www.cdisc.org"
"In Person","2023-12-15","C175574","0e6eebb5-196f-4afb-9e2c-e8e76a7bb0b2","Code_119","Code","http://www.cdisc.org"
"Visit","2023-12-15","C25716","06ccfe07-0e40-49a1-a592-952803dc55c2","Code_120","Code","http://www.cdisc.org"
"Clinic","2023-12-15","C51282","19dd0cc7-fcb2-4332-a72f-6647c3174ea9","Code_121","Code","http://www.cdisc.org"
"In Person","2023-12-15","C175574","2f54e543-6899-4569-8215-66f7e9520bfc","Code_122","Code","http://www.cdisc.org"
"CT of head without contrast","January 31, 2018","383371000119108","fc290ed9-b609-4101-af3c-8ef765340258","Code_80","Code","SNOMED"
"Subject Supine","12","123","6f083a55-6b79-467f-9afc-e0690dd2710d","Code_81","Code","SPONSOR"
"Subject Standing","12","124","a8555480-2964-45bf-9caa-5210622e36dc","Code_82","Code","SPONSOR"
"Dictionary-derived Term","2023-12-15","C82977","a81c1b67-081f-4107-ac30-47389636177e","Code_429","Code","http://www.cdisc.org"
"Reported Event Term","2023-12-15","C82571","53675c93-c4c7-4908-a455-fd77273a68e9","Code_430","Code","http://www.cdisc.org"
"Observation Start Date Time","2023-12-15","C82517","9b7801aa-eeea-44a1-96ff-303baf69bddc","Code_431","Code","http://www.cdisc.org"
"Informed Consent","2023-12-15","C16735","6e27ba63-7b47-4377-816f-7bc21beb502f","Code_432","Code","http://www.cdisc.org"
"Male","2023-12-15","C20197","d91cd09a-eca2-4798-9166-d89fef589388","Code_433","Code","http://www.cdisc.org"
"Female","2023-12-15","C16576","59c3a9e3-a995-4694-a2bd-5073806311f1","Code_434","Code","http://www.cdisc.org"
"Sex","2023-12-15","C28421","4bad193c-c079-4295-a228-fbe2bc2ef429","Code_435","Code","http://www.cdisc.org"
"Sex","2023-12-15","C28421","5c53a489-0900-4331-886a-9625441cf4cd","Code_436","Code","http://www.cdisc.org"
"Race","2023-12-15","C17049","457589d2-6f30-4b81-8aba-23c9f4b43411","Code_437","Code","http://www.cdisc.org"
"Race","2023-12-15","C17049","aacde7c3-eed9-4524-b8ac-5543143055ef","Code_438","Code","http://www.cdisc.org"
"TEMP","2023-12-15","C174446","335da661-de28-4b42-83dd-899629ceb984","Code_439","Code","http://www.cdisc.org"
"Clinical Test Result","2023-12-15","C77140","8b187360-43b0-4439-8fdf-055726a66ed0","Code_440","Code","http://www.cdisc.org"
"Degree Celsius","2023-12-15","C42559","f52acdc4-b15e-4f2f-a019-f325feb27d24","Code_441","Code","http://www.cdisc.org"
"Degree Fahrenheit","2023-12-15","C44277","c22ca2ff-c809-4e94-bf98-1cd052337b21","Code_442","Code","http://www.cdisc.org"
"Kelvin","2023-12-15","C42537","5359fb56-8e32-4bcf-b6e1-a53726cb031c","Code_443","Code","http://www.cdisc.org"
"Unit of Temperature","2023-12-15","C44276","744c0dc9-7838-49c1-8c15-203f6773c0f0","Code_444","Code","http://www.cdisc.org"
"Axilla","2023-12-15","C12674","6f4e028d-0717-438a-86e0-5dac7940c6a6","Code_445","Code","http://www.cdisc.org"
"Ear","2023-12-15","C12394","720a8671-ec79-45c8-bc55-d442175a07ac","Code_446","Code","http://www.cdisc.org"
"Forehead","2023-12-15","C89803","5a489000-5198-4487-a122-5f82e8d65849","Code_447","Code","http://www.cdisc.org"
"Oral Cavity","2023-12-15","C12421","3cd3621d-bc49-4bcf-a7a1-b10cad960bc6","Code_448","Code","http://www.cdisc.org"
"Rectum","2023-12-15","C12390","44c28114-de9c-4de9-a902-1052d477767b","Code_449","Code","http://www.cdisc.org"
"Anatomic Site","2023-12-15","C13717","3f2a4354-293a-4780-8f8b-a95a35dd296c","Code_450","Code","http://www.cdisc.org"
"TEMP","2023-12-15","C174446","017dcd9d-c6db-4720-8778-fef4c5cc5fa7","Code_451","Code","http://www.cdisc.org"
"WEIGHT","2023-12-15","C25208","04a41627-b117-47e6-9d27-31541c65b339","Code_452","Code","http://www.cdisc.org"
"Clinical Test Result","2023-12-15","C77140","73c8df0c-168e-422b-a8b0-4fa23a341a03","Code_453","Code","http://www.cdisc.org"
"Pound","2023-12-15","C48531","97e20915-6f4a-4eb4-aa1f-cf99806df785","Code_454","Code","http://www.cdisc.org"
"Gram","2023-12-15","C48155","3eac6626-99b3-4f3e-9c62-297365f7fc88","Code_455","Code","http://www.cdisc.org"
"Kilogram","2023-12-15","C28252","3f7ccb57-a405-43da-8a10-5045717e4ec2","Code_456","Code","http://www.cdisc.org"
"Unit of Weight","2023-12-15","C48208","17a3e837-d53b-441d-8670-58470ec76277","Code_457","Code","http://www.cdisc.org"
"WEIGHT","2023-12-15","C25208","622b4605-da64-4808-aa3c-3c228b42b2b6","Code_458","Code","http://www.cdisc.org"
"HEIGHT","2023-12-15","C25347","97ef825b-08dd-4fac-a0e8-1422f3ed2569","Code_459","Code","http://www.cdisc.org"
"Clinical Test Result","2023-12-15","C77140","234944a8-f851-46bb-b097-f070aa971330","Code_460","Code","http://www.cdisc.org"
"Centimeter","2023-12-15","C49668","e3626bfc-3b55-4f50-93ac-a70ecadb72df","Code_461","Code","http://www.cdisc.org"
"Inch","2023-12-15","C48500","96369ba5-cead-4f2b-8cb7-0fc5f862e1af","Code_462","Code","http://www.cdisc.org"
"Meter","2023-12-15","C41139","0e8569c4-68b7-4943-bbe2-bbe5cc01e987","Code_463","Code","http://www.cdisc.org"
"Unit of Height","2023-12-15","C168688","a7a78664-6fa4-4a69-af9c-16fdb21c11b6","Code_464","Code","http://www.cdisc.org"
"HEIGHT","2023-12-15","C25347","b8427e5b-77f9-4979-a8bb-5ca3d1321ace","Code_465","Code","http://www.cdisc.org"
"ALT","2023-12-15","C64433","a573b7d2-ac2f-4a4d-ad80-88ae623ca471","Code_466","Code","http://www.cdisc.org"
"Laboratory Test Result","2023-12-15","C36292","37f8da58-03cb-4e99-bd7d-61718f34d416","Code_467","Code","http://www.cdisc.org"
"Unit per Liter","2023-12-15","C67456","d145d410-d338-4577-8110-e2056adc0503","Code_468","Code","http://www.cdisc.org"
"Microkatal per Liter","2023-12-15","C67397","29247409-4460-41ba-ac22-20666240cfc3","Code_469","Code","http://www.cdisc.org"
"International Unit per Liter","2023-12-15","C67376","8cd4e72b-67d7-4570-a452-66fa5695fc5d","Code_470","Code","http://www.cdisc.org"
"Nanokatal per Liter","2023-12-15","C70510","4e03383f-4142-4683-a12c-691c846417cd","Code_471","Code","http://www.cdisc.org"
"Unit of Catalytic Activity Concentration","2023-12-15","C67365","4f3b41de-6e4b-4891-a433-917a637a732a","Code_472","Code","http://www.cdisc.org"
"Biospecimen Type","2023-12-15","C70713","0bdbf4a1-eab2-4a2e-9951-a13d3709fded","Code_473","Code","http://www.cdisc.org"
"No","2023-12-15","C49487","38466f83-ddb9-40ca-a1ab-4ae6df7abac9","Code_474","Code","http://www.cdisc.org"
"Yes","2023-12-15","C49488","419cafd2-b0ab-4b13-9ab7-8889937b68d3","Code_475","Code","http://www.cdisc.org"
"Laboratory Test Fasting Status","2023-12-15","C83309","d304ad43-1256-4b19-b081-9d048ec5f95f","Code_476","Code","http://www.cdisc.org"
"ALT","2023-12-15","C64433","5367768c-79bc-4e6e-a981-4e3cf84d9cdf","Code_477","Code","http://www.cdisc.org"
"ALB","2023-12-15","C64431","b41f37f1-dcce-4794-8cb6-fddb1331efe3","Code_478","Code","http://www.cdisc.org"
"Laboratory Test Result","2023-12-15","C36292","54ff5268-f863-4f2e-9c84-4f09652c7ffc","Code_479","Code","http://www.cdisc.org"
"Biospecimen Type","2023-12-15","C70713","8fbef967-0cb2-4218-b3b1-de287dbc6e73","Code_480","Code","http://www.cdisc.org"
"No","2023-12-15","C49487","9d13746d-8402-4e13-9875-3da767f8fbe5","Code_481","Code","http://www.cdisc.org"
"Yes","2023-12-15","C49488","f5fb1e95-f6cf-43a9-aec4-67d085d072fe","Code_482","Code","http://www.cdisc.org"
"Laboratory Test Fasting Status","2023-12-15","C83309","89eb9d79-0b23-4c94-90ec-559824157ecd","Code_483","Code","http://www.cdisc.org"
"ALB","2023-12-15","C64431","a5415fe1-1ba4-4124-a945-fb0a3d65bff7","Code_484","Code","http://www.cdisc.org"
"ALP","2023-12-15","C64432","559b928c-3e14-430f-a0bb-94d140088797","Code_485","Code","http://www.cdisc.org"
"Laboratory Test Result","2023-12-15","C36292","91f37eb1-0d2c-4902-b8bf-182e29f668a0","Code_486","Code","http://www.cdisc.org"
"Unit per Liter","2023-12-15","C67456","43df71d2-3955-45dd-ae8e-5d7c7aab4085","Code_487","Code","http://www.cdisc.org"
"Microkatal per Liter","2023-12-15","C67397","f0a2c1cf-72dc-4133-a11e-937d9edef63a","Code_488","Code","http://www.cdisc.org"
"International Unit per Liter","2023-12-15","C67376","74393ca2-c76a-4f75-a5b7-c976a5c767af","Code_489","Code","http://www.cdisc.org"
"Unit of Catalytic Activity Concentration","2023-12-15","C67365","1aaf24b8-ebcf-4e4a-9db0-5ec88c95c350","Code_490","Code","http://www.cdisc.org"
"Biospecimen Type","2023-12-15","C70713","4a4fb155-9a8f-4385-85c8-bfa5e19bad5b","Code_491","Code","http://www.cdisc.org"
"No","2023-12-15","C49487","443da91c-23b9-490a-91df-007beb12359e","Code_492","Code","http://www.cdisc.org"
"Yes","2023-12-15","C49488","a9799597-ae6f-4259-b8bb-073e04de9978","Code_493","Code","http://www.cdisc.org"
"Laboratory Test Fasting Status","2023-12-15","C83309","7619bf87-2394-419b-8e8c-53b7b40c9328","Code_494","Code","http://www.cdisc.org"
"ALP","2023-12-15","C64432","ae943b54-575b-4c93-8863-6497dd904f92","Code_495","Code","http://www.cdisc.org"
"AST","2023-12-15","C64467","99e6ac86-ce91-4158-983a-d441f0ff5adc","Code_496","Code","http://www.cdisc.org"
"Laboratory Test Result","2023-12-15","C36292","c487ce18-f862-490c-965a-7f1841b97d94","Code_497","Code","http://www.cdisc.org"
"Unit per Liter","2023-12-15","C67456","bbfc1bcf-c1ff-4096-a8a7-72686d1801d1","Code_498","Code","http://www.cdisc.org"
"Microkatal per Liter","2023-12-15","C67397","92ec5bc8-db5d-4c9d-892c-6056610c7fb1","Code_499","Code","http://www.cdisc.org"
"International Unit per Liter","2023-12-15","C67376","d8a07244-5332-4caa-8f93-dd28345957a0","Code_500","Code","http://www.cdisc.org"
"Unit of Catalytic Activity Concentration","2023-12-15","C67365","51d64386-fe94-4f34-a2aa-015eebe49fe9","Code_501","Code","http://www.cdisc.org"
"Biospecimen Type","2023-12-15","C70713","e22e0705-6e71-4798-a0d9-ac39f986e326","Code_502","Code","http://www.cdisc.org"
"No","2023-12-15","C49487","09fbe2ec-82f0-4200-bd93-60195ad7d611","Code_503","Code","http://www.cdisc.org"
"Yes","2023-12-15","C49488","d66abd01-9a63-4650-bb3a-ed5f1da26427","Code_504","Code","http://www.cdisc.org"
"Laboratory Test Fasting Status","2023-12-15","C83309","57398aa0-258f-41b9-81bb-80d6881b2683","Code_505","Code","http://www.cdisc.org"
"AST","2023-12-15","C64467","63410847-de3d-4c49-9472-e9d4c8102aa1","Code_506","Code","http://www.cdisc.org"
"CREAT","2023-12-15","C64547","9736856a-6895-4806-a656-cc9f98cd69c1","Code_507","Code","http://www.cdisc.org"
"Laboratory Test Result","2023-12-15","C36292","9d176882-a60c-481f-98ad-b48074f9b547","Code_508","Code","http://www.cdisc.org"
"Milligram per Deciliter","2023-12-15","C67015","88e6111b-4c42-4771-8902-8dca701d4b28","Code_509","Code","http://www.cdisc.org"
"Microgram per Milliliter","2023-12-15","C64572","3fdbef20-cf87-4b8a-bef3-07bc5ca55030","Code_510","Code","http://www.cdisc.org"
"Millimole per Liter","2023-12-15","C64387","3169dd1e-9a8f-4d2a-adbe-0369d493aac2","Code_511","Code","http://www.cdisc.org"
"Micromole per Liter","2023-12-15","C48508","96769f00-0313-4eb4-a1d9-7800484ea571","Code_512","Code","http://www.cdisc.org"
"Unit of Concentration","2023-12-15","C48207","f4104171-a6f5-4ebc-9500-4de446b0b275","Code_513","Code","http://www.cdisc.org"
"Biospecimen Type","2023-12-15","C70713","c48843dc-ea7a-402c-9de2-41a0a2ccd8b6","Code_514","Code","http://www.cdisc.org"
"No","2023-12-15","C49487","1aa7ee39-7bc8-41a8-a18f-2d2fc2eea2e3","Code_515","Code","http://www.cdisc.org"
"Yes","2023-12-15","C49488","81311c70-ae1b-432e-bef4-b372e8e6c79b","Code_516","Code","http://www.cdisc.org"
"Laboratory Test Fasting Status","2023-12-15","C83309","b0da78c8-0510-42b2-ba42-c874f3ac8f98","Code_517","Code","http://www.cdisc.org"
"CREAT","2023-12-15","C64547","40d78d13-1804-4f6b-99f1-7a6fffd12782","Code_518","Code","http://www.cdisc.org"
"K","2023-12-15","C64853","e0564d92-8d94-4fc6-b16f-4bbc25f21247","Code_519","Code","http://www.cdisc.org"
"Laboratory Test Result","2023-12-15","C36292","2da38cd4-ce62-4079-8e13-9ba77b60e01c","Code_520","Code","http://www.cdisc.org"
"Milliequivalent per Liter","2023-12-15","C67474","e68266eb-88ed-4a5e-aaff-6953c25a6869","Code_521","Code","http://www.cdisc.org"
"Milliequivalent per Deciliter","2023-12-15","C67473","35bb6962-4d74-4ba0-9216-03253fedf163","Code_522","Code","http://www.cdisc.org"
"Millimole per Liter","2023-12-15","C64387","523724ba-b2af-4099-ab04-1f700b64e161","Code_523","Code","http://www.cdisc.org"
"Molarity Unit","2023-12-15","C64567","4f063ca8-d39b-4318-9588-7f274f9f826a","Code_524","Code","http://www.cdisc.org"
"Biospecimen Type","2023-12-15","C70713","94886c1c-2c60-4cc6-bc6c-e81f489fde6c","Code_525","Code","http://www.cdisc.org"
"No","2023-12-15","C49487","fb7320c5-2ab0-421e-b8ba-50beb8050fbf","Code_526","Code","http://www.cdisc.org"
"Yes","2023-12-15","C49488","ea5fcf1a-f2a7-4031-bb85-6d39e3b777bd","Code_527","Code","http://www.cdisc.org"
"Laboratory Test Fasting Status","2023-12-15","C83309","6a8bcf08-0229-4dcb-a3ab-4997d7f443dc","Code_528","Code","http://www.cdisc.org"
"K","2023-12-15","C64853","aa1a25f4-45e2-4071-86f4-1e552e001b2a","Code_529","Code","http://www.cdisc.org"
"SODIUM","2023-12-15","C64809","76674c7d-f167-4ead-b050-244a43df2c0e","Code_530","Code","http://www.cdisc.org"
"Laboratory Test Result","2023-12-15","C36292","668fe524-2857-4081-8a9d-bbec52bb1ec2","Code_531","Code","http://www.cdisc.org"
"Milliequivalent per Liter","2023-12-15","C67474","0b47e26f-71bc-417a-9a90-63ff725831a6","Code_532","Code","http://www.cdisc.org"
"Milliequivalent per Deciliter","2023-12-15","C67473","502b6ac5-82a3-4f75-aedf-0145ca94feee","Code_533","Code","http://www.cdisc.org"
"Millimole per Liter","2023-12-15","C64387","f39384e1-c032-4c4d-ba01-0982b3d68125","Code_534","Code","http://www.cdisc.org"
"Molarity Unit","2023-12-15","C64567","61d555ab-26b2-4cb8-9838-bdd113efb787","Code_535","Code","http://www.cdisc.org"
"Biospecimen Type","2023-12-15","C70713","03c90381-d1ff-4134-b2c2-8c051b03f1d0","Code_536","Code","http://www.cdisc.org"
"No","2023-12-15","C49487","cfe8f0af-a1f2-435c-bace-d4209fcc0b88","Code_537","Code","http://www.cdisc.org"
"Yes","2023-12-15","C49488","b67bf84e-7388-4403-b2e4-f2af85b08de9","Code_538","Code","http://www.cdisc.org"
"Laboratory Test Fasting Status","2023-12-15","C83309","dc3c01e7-223c-492c-8af1-68e4bd3e05dc","Code_539","Code","http://www.cdisc.org"
"SODIUM","2023-12-15","C64809","510a719e-ba50-487a-b249-301e2181fdb3","Code_540","Code","http://www.cdisc.org"
"HBA1C","2023-12-15","C64849","b7a6ed37-ee9d-4c24-91a0-1ed4e2a3ee58","Code_541","Code","http://www.cdisc.org"
"Laboratory Test Result","2023-12-15","C36292","9f4dfc95-6534-458f-8f88-b4b160a476da","Code_542","Code","http://www.cdisc.org"
"Gram per Deciliter","2023-12-15","C64783","d1242d78-6d8c-40b5-8630-9b30d41c70d0","Code_543","Code","http://www.cdisc.org"
"LBORRESU","2023-12-15","No Concept Code","db28059f-9b60-4124-94d6-e25837835cb4","Code_544","Code","http://www.cdisc.org"
"Biospecimen Type","2023-12-15","C70713","b22b53ca-9130-4c7b-83b6-032cbc69f837","Code_545","Code","http://www.cdisc.org"
"No","2023-12-15","C49487","bab6dfdb-f847-4d8c-9c9c-ee5e49457678","Code_546","Code","http://www.cdisc.org"
"Yes","2023-12-15","C49488","305db904-be18-4e9e-a879-42288e8098e4","Code_547","Code","http://www.cdisc.org"
"Laboratory Test Fasting Status","2023-12-15","C83309","72bb61c1-8702-4535-904e-3fa22baa2a22","Code_548","Code","http://www.cdisc.org"
"HBA1C","2023-12-15","C64849","434ca8d3-f3fd-4faa-bac5-d6590cb6be95","Code_549","Code","http://www.cdisc.org"
"Adverse Event Verbatim Description","2023-12-15","C78541","2ad63395-157f-4aa6-884d-e25e0a7f5dac","Code_145","Code","http://www.cdisc.org"
"Adverse Event Dictionary Derived Term","2023-12-15","C83344","ba657e6f-cbd9-4727-803f-9504f0428ee9","Code_146","Code","http://www.cdisc.org"
"No","2023-12-15","C49487","e5dc0841-5a01-4e31-af2a-fe34f62a20dc","Code_147","Code","http://www.cdisc.org"
"Yes","2023-12-15","C49488","588d3992-a84b-424c-9281-eba37df26c6d","Code_148","Code","http://www.cdisc.org"
"Adverse Event Pre-specified","2023-12-15","C87840","71afb997-26e8-43b4-9570-b426f1dcb979","Code_149","Code","http://www.cdisc.org"
"Adverse Event Location","2023-12-15","C83205","5bd9c384-290a-4257-b446-c63e9618ce85","Code_150","Code","http://www.cdisc.org"
"Severity of Adverse Event","2023-12-15","C53253","ccd3a2e5-f8d9-4bb7-a60b-ad72eef257a5","Code_151","Code","http://www.cdisc.org"
"No","2023-12-15","C49487","13c19b80-1f91-425c-a763-f6b8f381dd4b","Code_152","Code","http://www.cdisc.org"
"Yes","2023-12-15","C49488","d739e862-c5d3-4b9b-9934-043d56cbbcb9","Code_153","Code","http://www.cdisc.org"
"Seriousness of Adverse Event","2023-12-15","C53252","01ebb219-c437-4673-b6c6-fc3ebf563a1a","Code_154","Code","http://www.cdisc.org"
"Adverse Event Action Taken with Study Treatment","2023-12-15","C83013","945deb3d-4ed6-4a6a-9f3d-7dbcc47b7cde","Code_155","Code","http://www.cdisc.org"
"Other Actions taken in Response to Adverse Event","2023-12-15","C83109","8f719855-3d8e-4329-ad9e-47f796cf7130","Code_156","Code","http://www.cdisc.org"
"Adverse Event Attribution to Product or Procedure","2023-12-15","C41358","e154e351-26a9-40f1-83ed-04971220f228","Code_157","Code","http://www.cdisc.org"
"Adverse Event Relationship to Non Study Treatment","2023-12-15","C83210","61affce7-3682-4b69-84e9-8c2d2c704964","Code_158","Code","http://www.cdisc.org"
"Adverse Event Pattern","2023-12-15","C83208","5a0f00b7-a986-4efe-872a-0094f4323d0c","Code_159","Code","http://www.cdisc.org"
"Adverse Event Outcome","2023-12-15","C49489","11d06f61-9714-4598-8b1a-f93e90db4845","Code_160","Code","http://www.cdisc.org"
"No","2023-12-15","C49487","352b5f3b-c906-49e9-9cf4-9e96c559f48e","Code_161","Code","http://www.cdisc.org"
"Yes","2023-12-15","C49488","731638bf-0e98-49b2-98bd-a0a8c7d44eca","Code_162","Code","http://www.cdisc.org"
"Adverse Event Involves Cancer","2023-12-15","C83211","f2f1c4fe-ff34-41da-85e5-c7fa42f9dfe8","Code_163","Code","http://www.cdisc.org"
"No","2023-12-15","C49487","294e22a6-42dd-4abd-98cc-4914a8daf89b","Code_164","Code","http://www.cdisc.org"
"Yes","2023-12-15","C49488","5a65515f-46eb-42e7-acbf-cf1d860882aa","Code_165","Code","http://www.cdisc.org"
"Adverse Event Seriousness Due to Congenital Anomaly","2023-12-15","C83117","3b74cd3c-31e0-470f-81b8-a4f07ebc0684","Code_166","Code","http://www.cdisc.org"
"No","2023-12-15","C49487","65046f9d-56d7-41eb-a478-674436f36528","Code_167","Code","http://www.cdisc.org"
"Yes","2023-12-15","C49488","1f6cfe5c-90b7-477d-92c2-cb5eee843e98","Code_168","Code","http://www.cdisc.org"
