"bcPropertyRequired","id","bcPropertyResponseCodes","label","name","bcPropertyEnabled","uuid:ID","bcPropertyDatatype"
"True","BiomedicalConceptProperty_106","[]","Laboratory Test Fasting Status","Laboratory Test Fasting Status","True","c62438f4-916e-41ef-8ddb-2d3a8f727e7d","boolean"
"True","BiomedicalConceptProperty_107","[]","Unit of Catalytic Activity Concentration","Unit of Catalytic Activity Concentration","True","539e4d44-b401-4564-a775-bacf8cd81af8","string"
"True","BiomedicalConceptProperty_108","[]","Biospecimen Type","Biospecimen Type","True","5d6c320a-86e3-499b-8ee0-a1e8521f1cba","string"
"True","BiomedicalConceptProperty_109","[]","Laboratory Test Result","Laboratory Test Result","True","b08fdc01-e4e6-44e5-a26f-b2aeca9ad296","string"
"True","BiomedicalConceptProperty_110","[]","Laboratory Test Fasting Status","Laboratory Test Fasting Status","True","2e4bd40a-6d57-4914-9b5d-63a44b619ee5","boolean"
"True","BiomedicalConceptProperty_111","[]","Unit of Concentration","Unit of Concentration","True","d857ee53-c897-48ab-9f3e-e47f34017340","string"
"True","BiomedicalConceptProperty_112","[]","Biospecimen Type","Biospecimen Type","True","acae3ce9-c632-48c4-b2f7-5e5f3e23b49c","string"
"True","BiomedicalConceptProperty_113","[]","Laboratory Test Result","Laboratory Test Result","True","a600993f-5635-4511-aff3-8670159c0a3a","decimal"
"True","BiomedicalConceptProperty_114","[]","Laboratory Test Fasting Status","Laboratory Test Fasting Status","True","b9693a28-c4bb-4372-98bf-4563e0ab5a47","boolean"
"True","BiomedicalConceptProperty_115","[]","Molarity Unit","Molarity Unit","True","0ae3fcf0-ceec-4293-84b2-4a219a395846","string"
"True","BiomedicalConceptProperty_116","[]","Biospecimen Type","Biospecimen Type","True","ec53a27d-a3ee-4998-a2ea-52b8bc8770ee","string"
"True","BiomedicalConceptProperty_117","[]","Laboratory Test Result","Laboratory Test Result","True","541c6e43-dca2-4ba6-92e1-61eb4328a4c5","decimal"
"True","BiomedicalConceptProperty_118","[]","Laboratory Test Fasting Status","Laboratory Test Fasting Status","True","7480cba5-e319-49c8-b332-ae5464d758a1","boolean"
"True","BiomedicalConceptProperty_119","[]","Molarity Unit","Molarity Unit","True","5ca5dc14-a56a-442e-885f-9dd01624c320","string"
"True","BiomedicalConceptProperty_120","[]","Biospecimen Type","Biospecimen Type","True","0da6291e-7809-4f96-8414-490b86acd84f","string"
"True","BiomedicalConceptProperty_1","[]","Adverse Event Verbatim Description","Adverse Event Verbatim Description","True","1db37d7b-09c2-4595-a9c7-239fc305df44","string"
"True","BiomedicalConceptProperty_2","[]","Adverse Event Dictionary Derived Term","Adverse Event Dictionary Derived Term","True","5be7bb62-2de7-49c6-b1fa-5ad40960cdd6","string"
"True","BiomedicalConceptProperty_3","[]","Adverse Event Category","Adverse Event Category","True","243ed7ee-894b-4ab8-9140-4408a7218bbb","string"
"True","BiomedicalConceptProperty_4","[]","Adverse Event Subcategory","Adverse Event Subcategory","True","9f5f3bfc-988a-464d-98a7-917b1f06ec0c","string"
"True","BiomedicalConceptProperty_5","[]","Adverse Event Pre-specified","Adverse Event Pre-specified","True","b8115ea2-86d7-4cf9-a00f-4a81c5d39b13","boolean"
"True","BiomedicalConceptProperty_6","[]","Severity of Adverse Event","Severity of Adverse Event","True","d32ba1c0-1c11-428d-9486-bc8958e0d07e","string"
"True","BiomedicalConceptProperty_7","[]","Adverse Event Toxicity Grade","Adverse Event Toxicity Grade","True","4458a489-6bf5-499e-bd5d-4395c0225490","string"
"True","BiomedicalConceptProperty_8","[]","Seriousness of Adverse Event","Seriousness of Adverse Event","True","24bf221d-a171-458d-8cd8-65966f94a246","boolean"
"True","BiomedicalConceptProperty_9","","Adverse Event Action Taken with Study Treatment","Adverse Event Action Taken with Study Treatment","True","e9fa8722-12b5-4122-9e1d-028558b652d6","string"
"True","BiomedicalConceptProperty_10","[]","Adverse Event Attribution to Product or Procedure","Adverse Event Attribution to Product or Procedure","True","4a0a0840-a263-422e-8dca-488c070bbf79","string"
"True","BiomedicalConceptProperty_11","[]","Adverse Event Pattern","Adverse Event Pattern","True","9595deb5-6184-433d-8313-529d6a086c32","string"
"True","BiomedicalConceptProperty_12","","Adverse Event Outcome","Adverse Event Outcome","True","4776ee02-a0a8-4a3d-871e-0c43ccadab1b","string"
"True","BiomedicalConceptProperty_13","[]","Adverse Event Start Date Time","Adverse Event Start Date Time","True","a1fc98d6-46b4-43e7-86db-1086e17f68f5","datetime"
"True","BiomedicalConceptProperty_14","[]","Adverse Event End Date Time","Adverse Event End Date Time","True","f9456882-87f2-4404-8860-3e74d56fe8ad","datetime"
"True","BiomedicalConceptProperty_15","[]","Vital Signs Result","Vital Signs Result","True","0fad88c7-2ac7-41f5-942f-12851f30c091","decimal"
"True","BiomedicalConceptProperty_16","","Unit of Pressure","Unit of Pressure","True","9a19eefc-1086-4aac-a1d4-df9d0f6081df","string"
"True","BiomedicalConceptProperty_17","[]","Vital Signs Location","Vital Signs Location","True","52ce79eb-238c-4f9a-89df-99290b53d483","string"
"True","BiomedicalConceptProperty_18","[]","Vital Signs Laterality","Vital Signs Laterality","True","2b0c7371-a989-4c82-8ae5-412b3c21adbf","string"
"True","BiomedicalConceptProperty_19","[]","Test Method","Test Method","True","ac9e365b-c2aa-473b-8e79-5d4fce05ee8c","string"
"True","BiomedicalConceptProperty_20","[]","Vital Signs Position","Vital Signs Position","True","fa94f44f-825a-4451-b9b3-e899457f0e32","string"
"True","BiomedicalConceptProperty_21","[]","Vital Signs Result","Vital Signs Result","True","e6a7e4df-6da7-4b9d-86e5-ee47f4377dde","decimal"
"True","BiomedicalConceptProperty_22","","Unit of Pressure","Unit of Pressure","True","81efe7b1-761a-476f-9db2-8c620625533a","string"
"True","BiomedicalConceptProperty_23","[]","Vital Signs Location","Vital Signs Location","True","91501404-740b-4708-897d-6365df17d85d","string"
"True","BiomedicalConceptProperty_24","[]","Vital Signs Laterality","Vital Signs Laterality","True","bc7099af-0098-47b8-b87f-1ae2b61dd2de","string"
"True","BiomedicalConceptProperty_25","[]","Test Method","Test Method","True","95807daf-5cb3-4652-8195-a3ba99719bce","string"
"True","BiomedicalConceptProperty_26","[]","Vital Signs Position","Vital Signs Position","True","3acc674f-947d-44f5-b065-f4bb3f573719","string"
"True","BiomedicalConceptProperty_27","[]","Vital Signs Result","Vital Signs Result","True","e84d8af8-4036-433c-8272-07e2ad7dddb1","decimal"
"True","BiomedicalConceptProperty_28","","Unit of Temperature","Unit of Temperature","True","35ea29c3-e164-4f1a-aca3-f529c9b59238","string"
"True","BiomedicalConceptProperty_29","[]","Vital Signs Location","Vital Signs Location","True","5877e8c2-b4ac-44b1-8e6a-23d555db9070","string"
"True","BiomedicalConceptProperty_30","[]","Vital Signs Result","Vital Signs Result","True","b9345c23-55df-4833-a01b-842f3ea808a0","decimal"
"True","BiomedicalConceptProperty_31","","Unit of Weight","Unit of Weight","True","3e14259c-a27c-4bc8-b442-37875c4786b2","string"
"True","BiomedicalConceptProperty_32","[]","Vital Signs Result","Vital Signs Result","True","3e53e38c-11b6-4af5-bbb6-45eaa0a7ec46","decimal"
"True","BiomedicalConceptProperty_33","","Unit of Height","Unit of Height","True","d1c2ef40-a946-4e7e-a84f-bbbe18c6729a","string"
"True","BiomedicalConceptProperty_34","[]","Laboratory Test Result","Laboratory Test Result","True","1a56cb9d-8a76-4f61-914e-e5300d496ab9","decimal"
"True","BiomedicalConceptProperty_35","[]","Laboratory Test Fasting Status","Laboratory Test Fasting Status","True","7aa9d817-bfb3-4f07-b219-b00ea67e2bfa","boolean"
"True","BiomedicalConceptProperty_36","[]","Unit of Catalytic Activity Concentration","Unit of Catalytic Activity Concentration","True","338d8433-52f5-4f1d-b540-36e4e554923d","string"
"True","BiomedicalConceptProperty_37","[]","Biospecimen Type","Biospecimen Type","True","c08bd81b-d6c1-4d72-84fd-e2404b2f6d90","string"
"True","BiomedicalConceptProperty_38","[]","Laboratory Test Result","Laboratory Test Result","True","49be7c8d-3cfb-4119-874e-885df1e53310","string"
"True","BiomedicalConceptProperty_39","[]","Laboratory Test Fasting Status","Laboratory Test Fasting Status","True","a0d2d2bd-9ac6-487c-9bc9-894274b39af5","boolean"
"True","BiomedicalConceptProperty_40","[]","Unit of Concentration","Unit of Concentration","True","89d39f1e-b3ca-4b5f-af9e-20c7cb7c26e7","string"
"True","BiomedicalConceptProperty_41","[]","Biospecimen Type","Biospecimen Type","True","462ec177-827f-4f98-9de0-a3809923f504","string"
"True","BiomedicalConceptProperty_42","[]","Laboratory Test Result","Laboratory Test Result","True","c40fc918-1613-43ea-ac4e-2a19aa72985e","decimal"
"True","BiomedicalConceptProperty_43","[]","Laboratory Test Fasting Status","Laboratory Test Fasting Status","True","eb37c783-f9f9-4c49-a186-75758e17a604","boolean"
"True","BiomedicalConceptProperty_44","[]","Unit of Catalytic Activity Concentration","Unit of Catalytic Activity Concentration","True","a6856e45-6aa5-4f80-8004-fc951dd39a38","string"
"True","BiomedicalConceptProperty_45","[]","Biospecimen Type","Biospecimen Type","True","c510aee4-0f44-4a65-b06a-97573cc35ea7","string"
"True","BiomedicalConceptProperty_46","[]","Laboratory Test Result","Laboratory Test Result","True","f4753204-2d7c-48a4-8125-17c1af5e6ffd","decimal"
"True","BiomedicalConceptProperty_47","[]","Laboratory Test Fasting Status","Laboratory Test Fasting Status","True","f069473f-e667-48a1-8a7e-4fa118a32a97","boolean"
"True","BiomedicalConceptProperty_48","[]","Unit of Catalytic Activity Concentration","Unit of Catalytic Activity Concentration","True","193dc4ef-c8ca-4231-b83d-6d8b372a5994","string"
"True","BiomedicalConceptProperty_49","[]","Biospecimen Type","Biospecimen Type","True","1ec19d9c-b53e-4c60-8dad-b9467ff27b58","string"
"True","BiomedicalConceptProperty_50","[]","Laboratory Test Result","Laboratory Test Result","True","ed63e400-cff1-423a-ae54-31ea19e9d107","string"
"True","BiomedicalConceptProperty_51","[]","Laboratory Test Fasting Status","Laboratory Test Fasting Status","True","6cc17ee2-e5a1-46d1-88e4-0be7ec46729e","boolean"
"True","BiomedicalConceptProperty_52","[]","Unit of Concentration","Unit of Concentration","True","15bc5c41-4d34-4b70-a32c-6c8f66a886e7","string"
"True","BiomedicalConceptProperty_53","[]","Biospecimen Type","Biospecimen Type","True","680a3863-6c2e-4b56-8bc9-3e5e92f3aca5","string"
"True","BiomedicalConceptProperty_54","[]","Laboratory Test Result","Laboratory Test Result","True","3d37228a-68c8-48f6-90d4-4877310ec790","decimal"
"True","BiomedicalConceptProperty_55","[]","Laboratory Test Fasting Status","Laboratory Test Fasting Status","True","6bde2c63-9d78-45de-be29-be4bf1ee6000","boolean"
"True","BiomedicalConceptProperty_56","[]","Molarity Unit","Molarity Unit","True","80f8e616-7c36-49a2-bc6a-947ac90a4354","string"
"True","BiomedicalConceptProperty_57","[]","Biospecimen Type","Biospecimen Type","True","977e25b4-8030-4e1a-9333-72cd39ef0b54","string"
"True","BiomedicalConceptProperty_58","[]","Laboratory Test Result","Laboratory Test Result","True","e435e700-ad02-43aa-9e59-cca8a0f4bb37","decimal"
"True","BiomedicalConceptProperty_59","[]","Laboratory Test Fasting Status","Laboratory Test Fasting Status","True","d19a602b-b7c2-4c9c-946d-b4310fd2977f","boolean"
"True","BiomedicalConceptProperty_60","[]","Molarity Unit","Molarity Unit","True","3a6b1d39-cc52-4b33-81fb-aca090a545a1","string"
"True","BiomedicalConceptProperty_61","[]","Biospecimen Type","Biospecimen Type","True","d0f01639-230e-488a-976f-786b00484683","string"
"True","BiomedicalConceptProperty_62","[]","Vital Signs Result","Vital Signs Result","True","92967da3-e929-4a73-9be5-74c033083b22","decimal"
"True","BiomedicalConceptProperty_63","","Unit of Pressure","Unit of Pressure","True","a873954f-9ea3-4ced-b675-ff406dfc2fbd","string"
"True","BiomedicalConceptProperty_64","[]","Vital Signs Location","Vital Signs Location","True","2bef77dc-5f2b-4fd1-94d8-65787ca731e5","string"
"True","BiomedicalConceptProperty_65","[]","Vital Signs Laterality","Vital Signs Laterality","True","f39b825c-a29b-42f4-a089-25e0937528e7","string"
"True","BiomedicalConceptProperty_66","[]","Test Method","Test Method","True","780f3220-fe22-4a5e-b52c-e034e6c49121","string"
"True","BiomedicalConceptProperty_67","[]","Vital Signs Position","Vital Signs Position","True","77859dec-5599-40e4-b8b1-b94c3f4c9f22","string"
"True","BiomedicalConceptProperty_68","[]","Vital Signs Result","Vital Signs Result","True","e293e484-286d-4665-858d-61e45bb6318e","decimal"
"True","BiomedicalConceptProperty_69","","Unit of Pressure","Unit of Pressure","True","c04aeb9d-016b-45a0-9eb8-07ae7de72596","string"
"True","BiomedicalConceptProperty_70","[]","Vital Signs Location","Vital Signs Location","True","0ade1182-7869-4307-be10-fddd619ac718","string"
"True","BiomedicalConceptProperty_71","[]","Vital Signs Laterality","Vital Signs Laterality","True","46727ee1-5741-4e74-9d92-e51eb1772e28","string"
"True","BiomedicalConceptProperty_72","[]","Test Method","Test Method","True","bf61bbb4-3ea8-4441-9381-a414e146a214","string"
"True","BiomedicalConceptProperty_73","[]","Vital Signs Position","Vital Signs Position","True","91523f4f-eaa0-40dd-944e-3125ee13e7b9","string"
"True","BiomedicalConceptProperty_74","[]","Vital Signs Result","Vital Signs Result","True","9677f055-6965-4ae7-b56c-7585bd82d37e","decimal"
"True","BiomedicalConceptProperty_75","","Unit of Pressure","Unit of Pressure","True","a5f9a19f-fdb6-442f-a5b7-484582c9432b","string"
"True","BiomedicalConceptProperty_76","[]","Vital Signs Location","Vital Signs Location","True","19d28e83-7f0c-46c6-b7db-66ce37d9ad56","string"
"True","BiomedicalConceptProperty_77","[]","Vital Signs Laterality","Vital Signs Laterality","True","a106480d-c2a2-426c-aa85-20386bd5ab19","string"
"True","BiomedicalConceptProperty_78","[]","Test Method","Test Method","True","7e665b6e-c492-4f06-b79b-ad0348125880","string"
"True","BiomedicalConceptProperty_79","[]","Vital Signs Position","Vital Signs Position","True","b4f5e107-9b08-4237-a76d-980579181704","string"
"True","BiomedicalConceptProperty_80","[]","Vital Signs Result","Vital Signs Result","True","3728b748-8f11-4a94-9b4e-a2afc79a6300","decimal"
"True","BiomedicalConceptProperty_81","","Unit of Pressure","Unit of Pressure","True","1fae35bc-d569-47f5-bfac-5498fbc64080","string"
"True","BiomedicalConceptProperty_82","[]","Vital Signs Location","Vital Signs Location","True","22ae31ce-5a14-4a2f-9906-06407772e008","string"
"True","BiomedicalConceptProperty_83","[]","Vital Signs Laterality","Vital Signs Laterality","True","fcb84591-f551-4bb8-9eda-692622824d02","string"
"True","BiomedicalConceptProperty_84","[]","Test Method","Test Method","True","a332ff0c-ed44-4b4e-84f4-2cb23e01a07b","string"
"True","BiomedicalConceptProperty_85","[]","Vital Signs Position","Vital Signs Position","True","ee8b580f-e9f3-40e0-9fa1-492c5dbe4b65","string"
