"bcSynonyms","id","bcReference","label","name","uuid:ID"
"['Weight']","BiomedicalConcept_5","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C81328","Body Weight","Body Weight","d8d66554-a651-42ff-9404-6000b380c869"
"['Height']","BiomedicalConcept_6","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C164634","Body Height","Body Height","abacf58a-9b2a-4e03-bc3d-00c92d843ffa"
"['ALT', 'SGPT']","BiomedicalConcept_7","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64433","Alanine Aminotransferase Measurement","Alanine Aminotransferase Measurement","d7b316e7-d71a-428b-919f-e5ef3aa59e7d"
"['Albumin']","BiomedicalConcept_8","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64431","Albumin Measurement","Albumin Measurement","c525643f-57d0-426b-864e-403d8af50fe0"
"['Alkaline Phosphatase']","BiomedicalConcept_9","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64432","Alkaline Phosphatase Measurement","Alkaline Phosphatase Measurement","8d290c95-7379-40da-bc2b-0320a3d37fa8"
"['AST', 'SGOT']","BiomedicalConcept_10","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64467","Aspartate Aminotransferase Measurement","Aspartate Aminotransferase Measurement","e6fc68c1-1db2-490c-9aa9-e0bd09044c7e"
"['Creatinine']","BiomedicalConcept_11","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64547","Creatinine Measurement","Creatinine Measurement","d2a8d813-4083-450e-93f3-62fb97709c90"
"['Potassium', 'K']","BiomedicalConcept_12","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64853","Potassium Measurement","Potassium Measurement","d9a23d49-ec36-4be1-80c8-aefff1ea70ab"
"['Sodium', 'NA']","BiomedicalConcept_13","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64809","Sodium Measurement","Sodium Measurement","3b2d9510-b5ab-4039-a37c-0a20e4236d7d"
"['SYSBP']","BiomedicalConcept_14","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25298","Systolic Blood Pressure","Systolic Blood Pressure","be1e078f-b08d-45ec-82bf-339d001f04e1"
"['DIABP']","BiomedicalConcept_15","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25299","Diastolic Blood Pressure","Diastolic Blood Pressure","bc1b590c-afff-472d-b4eb-15c30168437b"
"['SYSBP']","BiomedicalConcept_16","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25298","Systolic Blood Pressure","Systolic Blood Pressure","c98a7af5-f2f8-4257-9f65-c6e79cc7b8f9"
"['DIABP']","BiomedicalConcept_17","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25299","Diastolic Blood Pressure","Diastolic Blood Pressure","d2b1ad42-4c72-4bfb-9e11-4667c7263441"
