"label","isEnabled","id","datatype","instanceType","uuid:ID","isRequired","name"
"LBSPEC","True","BiomedicalConceptProperty_134","","BiomedicalConceptProperty","a2e1a91d-1a2d-431e-9d03-3a9f79a10d98","True","LBSPEC"
"LBFAST","True","BiomedicalConceptProperty_135","","BiomedicalConceptProperty","266014d7-451f-4c68-8ab0-b085fed211a4","True","LBFAST"
"LBTESTCD","True","BiomedicalConceptProperty_136","","BiomedicalConceptProperty","6fa14424-22a0-4248-99d0-7b38c875acc8","True","LBTESTCD"
"LBORRES","True","BiomedicalConceptProperty_137","text","BiomedicalConceptProperty","8b4e7cd2-247b-4024-babd-e98829c27fea","True","LBORRES"
"LBSPEC","True","BiomedicalConceptProperty_138","","BiomedicalConceptProperty","25a42de7-036b-40e2-a34f-5c652643349c","True","LBSPEC"
"LBFAST","True","BiomedicalConceptProperty_139","","BiomedicalConceptProperty","1c4e0f53-b3a5-475f-b16d-1212068ee532","True","LBFAST"
"LBTESTCD","True","BiomedicalConceptProperty_140","","BiomedicalConceptProperty","fce517eb-cff7-4068-8098-3bb8e7e533d8","True","LBTESTCD"
"LBORRES","True","BiomedicalConceptProperty_141","float","BiomedicalConceptProperty","c0233829-fd5f-454f-bbea-f44ae4c7ed1c","True","LBORRES"
"LBORRESU","True","BiomedicalConceptProperty_142","","BiomedicalConceptProperty","b033a185-ea4b-4022-92d9-f3952947a080","True","LBORRESU"
"LBSPEC","True","BiomedicalConceptProperty_143","","BiomedicalConceptProperty","1c3dc979-536a-442f-9b69-06bd5e8e7f3d","True","LBSPEC"
"LBFAST","True","BiomedicalConceptProperty_144","","BiomedicalConceptProperty","4bb08d0c-4204-4709-80fe-e7c461182772","True","LBFAST"
"LBTESTCD","True","BiomedicalConceptProperty_145","","BiomedicalConceptProperty","3ccb6b9b-c475-4a21-838e-5156380c294a","True","LBTESTCD"
"LBORRES","True","BiomedicalConceptProperty_146","float","BiomedicalConceptProperty","72615951-a123-4ba8-ae86-04ce3b1e87b8","True","LBORRES"
"LBORRESU","True","BiomedicalConceptProperty_147","","BiomedicalConceptProperty","aa2c8ab7-b008-4a26-8b79-1ff295c23a9a","True","LBORRESU"
"LBSPEC","True","BiomedicalConceptProperty_148","","BiomedicalConceptProperty","8aa5525c-fefd-465f-97e6-e786e889d752","True","LBSPEC"
"LBFAST","True","BiomedicalConceptProperty_149","","BiomedicalConceptProperty","9c781316-48eb-4a80-af12-0512791c1f51","True","LBFAST"
"LBTESTCD","True","BiomedicalConceptProperty_150","","BiomedicalConceptProperty","a76e42f9-5232-4b87-b405-dd019bbcf251","True","LBTESTCD"
"LBORRES","True","BiomedicalConceptProperty_151","float","BiomedicalConceptProperty","2179275d-7882-433f-9784-33b9e598241d","True","LBORRES"
"LBORRESU","True","BiomedicalConceptProperty_152","","BiomedicalConceptProperty","3f9c154d-7398-474e-b473-2709e3b0611e","True","LBORRESU"
"LBSPEC","True","BiomedicalConceptProperty_153","","BiomedicalConceptProperty","7dfd4389-2c5d-4257-9ffe-56cb48a16c14","True","LBSPEC"
"LBFAST","True","BiomedicalConceptProperty_154","","BiomedicalConceptProperty","9c27b3e1-8d99-42bd-8096-36a87e5a7245","True","LBFAST"
"LBTESTCD","True","BiomedicalConceptProperty_155","","BiomedicalConceptProperty","5c78c332-cde2-438a-a797-55148fdd508d","True","LBTESTCD"
"LBORRES","True","BiomedicalConceptProperty_156","float","BiomedicalConceptProperty","e1f3087e-6996-4dd1-85dc-dd9e47d0499b","True","LBORRES"
"LBORRESU","True","BiomedicalConceptProperty_157","","BiomedicalConceptProperty","682306cb-5093-4a06-917c-19017f19fad9","True","LBORRESU"
"LBSPEC","True","BiomedicalConceptProperty_158","","BiomedicalConceptProperty","00fd6e04-e48d-4075-95d4-bbee069593bc","True","LBSPEC"
"LBFAST","True","BiomedicalConceptProperty_159","","BiomedicalConceptProperty","20ad45fb-2bbc-46d0-8cb0-eeead2fd5265","True","LBFAST"
"LBTESTCD","True","BiomedicalConceptProperty_160","","BiomedicalConceptProperty","381ccacf-3530-459a-bf33-8bfd9f1f984f","True","LBTESTCD"
"LBORRES","True","BiomedicalConceptProperty_161","float","BiomedicalConceptProperty","6f0729ee-7615-42eb-93ed-03f8ed8ffb82","True","LBORRES"
"LBORRESU","True","BiomedicalConceptProperty_162","","BiomedicalConceptProperty","184e8a3e-c1f3-47fa-b094-31b7bf8455a6","True","LBORRESU"
"LBSPEC","True","BiomedicalConceptProperty_163","","BiomedicalConceptProperty","46b8acf0-fe05-41a1-a17c-543960d19aa1","True","LBSPEC"
"LBFAST","True","BiomedicalConceptProperty_164","","BiomedicalConceptProperty","0239278d-b045-4ac8-a01b-f5d9d75c2ef3","True","LBFAST"
"LBTESTCD","True","BiomedicalConceptProperty_165","","BiomedicalConceptProperty","d503de37-f175-4df6-a7cb-9ec725458fd1","True","LBTESTCD"
"LBORRES","True","BiomedicalConceptProperty_166","float","BiomedicalConceptProperty","1023879c-0032-413e-8288-8977e028b82b","True","LBORRES"
"LBORRESU","True","BiomedicalConceptProperty_167","","BiomedicalConceptProperty","63725312-c29c-4dc6-9026-f04f355cb24b","True","LBORRESU"
"LBSPEC","True","BiomedicalConceptProperty_168","","BiomedicalConceptProperty","22e5e9a7-7270-48c6-98f0-c56602f0084c","True","LBSPEC"
"LBFAST","True","BiomedicalConceptProperty_169","","BiomedicalConceptProperty","d2835789-0c92-4ca6-af35-6e0992b146b7","True","LBFAST"
"AETERM","True","BiomedicalConceptProperty_1","text","BiomedicalConceptProperty","ce21cfa6-f11e-48de-95cc-3b8824391abd","True","AETERM"
"AEDECOD","True","BiomedicalConceptProperty_2","text","BiomedicalConceptProperty","a8dd3fc7-1dca-4cb4-9451-c10365506de3","True","AEDECOD"
"AEPRESP","True","BiomedicalConceptProperty_3","text","BiomedicalConceptProperty","319c7048-bba4-40a9-ba69-e238ea78d09f","True","AEPRESP"
"AELOC","True","BiomedicalConceptProperty_4","text","BiomedicalConceptProperty","ef94796f-7ac7-49b4-a4b3-759cd6742c6e","True","AELOC"
"AESEV","True","BiomedicalConceptProperty_5","text","BiomedicalConceptProperty","d6274045-ff91-4af4-bd91-1d6a826c2ba2","True","AESEV"
"AESER","True","BiomedicalConceptProperty_6","text","BiomedicalConceptProperty","6af453f4-44c1-456e-849f-332a6c63598d","True","AESER"
"AEACN","True","BiomedicalConceptProperty_7","text","BiomedicalConceptProperty","311c560d-bb00-4890-9934-e1adacbcbe1f","True","AEACN"
"AEACNOTH","True","BiomedicalConceptProperty_8","text","BiomedicalConceptProperty","522208d0-44b7-45b2-b1f3-a0e88b74c098","True","AEACNOTH"
"AEREL","True","BiomedicalConceptProperty_9","text","BiomedicalConceptProperty","90d072fb-a14f-4767-8188-98937086feb1","True","AEREL"
"AERELNST","True","BiomedicalConceptProperty_10","text","BiomedicalConceptProperty","1bda840c-eb45-4b7d-97ac-67eb8dc282d6","True","AERELNST"
"AEPATT","True","BiomedicalConceptProperty_11","text","BiomedicalConceptProperty","3af56e87-b377-44d2-b20c-4ae73b070b83","True","AEPATT"
"AEOUT","True","BiomedicalConceptProperty_12","text","BiomedicalConceptProperty","4c5af050-8d28-4c4f-8669-61e54d4bca11","True","AEOUT"
"AESCAN","True","BiomedicalConceptProperty_13","text","BiomedicalConceptProperty","6be94ab1-76c6-44fd-8d94-ca65ca0c9ada","True","AESCAN"
"AESCONG","True","BiomedicalConceptProperty_14","text","BiomedicalConceptProperty","bdd3be40-fc1f-4dbc-a6b6-fa6ecc851988","True","AESCONG"
"AESDISAB","True","BiomedicalConceptProperty_15","text","BiomedicalConceptProperty","a820a5ab-765f-4c7b-83c6-45989b0106c4","True","AESDISAB"
"AESDTH","True","BiomedicalConceptProperty_16","text","BiomedicalConceptProperty","e8b1e71f-efd9-4fc8-8f0d-a10319f2b918","True","AESDTH"
"AESHOSP","True","BiomedicalConceptProperty_17","text","BiomedicalConceptProperty","c064e453-ead9-42e2-9677-326eca8f3b8b","True","AESHOSP"
"AESLIFE","True","BiomedicalConceptProperty_18","text","BiomedicalConceptProperty","402cee71-af10-4608-ad94-7464ec9da5a0","True","AESLIFE"
"AESOD","True","BiomedicalConceptProperty_19","text","BiomedicalConceptProperty","79cedf32-76f2-4a62-9a2c-6dbbd3b5eb70","True","AESOD"
"AESMIE","True","BiomedicalConceptProperty_20","text","BiomedicalConceptProperty","e3b9043b-2f02-4354-9b5f-5c92435f9e83","True","AESMIE"
"AECONTRT","True","BiomedicalConceptProperty_21","text","BiomedicalConceptProperty","001b8192-1208-4779-81b4-5cc24f08982a","True","AECONTRT"
"AESTDTC","True","BiomedicalConceptProperty_22","datetime","BiomedicalConceptProperty","9758a2a8-0c98-450c-b7df-ea621c0dd98c","True","AESTDTC"
"AEENDTC","True","BiomedicalConceptProperty_23","datetime","BiomedicalConceptProperty","75c82b7f-fab7-4fce-bde7-c0fbdef41f02","True","AEENDTC"
"VSTESTCD","True","BiomedicalConceptProperty_24","","BiomedicalConceptProperty","436c8dd3-e8d6-4d79-88f1-8e5b138c0d0a","True","VSTESTCD"
"VSORRES","True","BiomedicalConceptProperty_25","integer","BiomedicalConceptProperty","7a2d2df1-4cf5-4ddd-b9a5-7f3ca81d4d53","True","VSORRES"
"VSORRESU","True","BiomedicalConceptProperty_26","","BiomedicalConceptProperty","a8533f51-c3cd-4759-a5f4-d21512cb8939","True","VSORRESU"
"VSPOS","True","BiomedicalConceptProperty_27","","BiomedicalConceptProperty","57ab69de-60bf-4bcf-986f-c18536f6d8f3","True","VSPOS"
"VSLOC","True","BiomedicalConceptProperty_28","","BiomedicalConceptProperty","d142c089-0d07-4be4-a667-cedc0744b3fb","True","VSLOC"
"VSLAT","True","BiomedicalConceptProperty_29","","BiomedicalConceptProperty","228d600f-dd6c-41ba-9c05-cf8c852065ff","True","VSLAT"
"VSTESTCD","True","BiomedicalConceptProperty_30","","BiomedicalConceptProperty","7b89dd7c-d280-41fa-862f-fc8f39566ce1","True","VSTESTCD"
"VSORRES","True","BiomedicalConceptProperty_31","integer","BiomedicalConceptProperty","f77c3fdd-d349-4db5-aafb-d30f9a58c4ec","True","VSORRES"
"VSORRESU","True","BiomedicalConceptProperty_32","","BiomedicalConceptProperty","44b3e2bb-ac08-492d-8ac8-704c30d87f35","True","VSORRESU"
"VSPOS","True","BiomedicalConceptProperty_33","","BiomedicalConceptProperty","09aa5d33-3b8b-490e-b671-7d9a598c751e","True","VSPOS"
"VSLOC","True","BiomedicalConceptProperty_34","","BiomedicalConceptProperty","2ff9f451-bbcd-4cab-ad10-909b08b9369b","True","VSLOC"
"VSLAT","True","BiomedicalConceptProperty_35","","BiomedicalConceptProperty","349bbc5f-a9db-4058-ba4a-cb35cf3f54c9","True","VSLAT"
"VSTESTCD","True","BiomedicalConceptProperty_36","","BiomedicalConceptProperty","1e6975c0-9ccf-4528-b60c-ee0ca59dff80","True","VSTESTCD"
"VSORRES","True","BiomedicalConceptProperty_37","float","BiomedicalConceptProperty","1a22d660-f35e-4ee7-99ad-72c2a45293e0","True","VSORRES"
"VSORRESU","True","BiomedicalConceptProperty_38","","BiomedicalConceptProperty","3a4c654d-8242-4c80-9f06-0ff84781ae4f","True","VSORRESU"
"VSLOC","True","BiomedicalConceptProperty_39","","BiomedicalConceptProperty","8abd505d-3964-40dd-9af5-9a620350b8d9","True","VSLOC"
"VSTESTCD","True","BiomedicalConceptProperty_40","","BiomedicalConceptProperty","e7668e00-036f-4a1f-a00a-42e605bf9281","True","VSTESTCD"
"VSORRES","True","BiomedicalConceptProperty_41","float","BiomedicalConceptProperty","0225ee76-ccb8-4b31-ac87-69f7777493e7","True","VSORRES"
"VSORRESU","True","BiomedicalConceptProperty_42","","BiomedicalConceptProperty","90a8b802-bf47-4557-a8c4-520cf06c6d30","True","VSORRESU"
"VSTESTCD","True","BiomedicalConceptProperty_43","","BiomedicalConceptProperty","2d707acc-a388-4604-a6ed-a6f2cb195538","True","VSTESTCD"
"VSORRES","True","BiomedicalConceptProperty_44","float","BiomedicalConceptProperty","5d51da25-a4f5-4757-986f-971639801fce","True","VSORRES"
"VSORRESU","True","BiomedicalConceptProperty_45","","BiomedicalConceptProperty","19328866-9248-45f3-81dd-817ad3bd80f1","True","VSORRESU"
"LBTESTCD","True","BiomedicalConceptProperty_46","","BiomedicalConceptProperty","f617eb9c-9993-4ac5-9e76-ecdb70e8d611","True","LBTESTCD"
"LBORRES","True","BiomedicalConceptProperty_47","float","BiomedicalConceptProperty","cacb529c-eb9a-4758-83ae-ba0a433e2b61","True","LBORRES"
"LBORRESU","True","BiomedicalConceptProperty_48","","BiomedicalConceptProperty","d4d7d250-250b-4e12-93aa-fbc2330bf96d","True","LBORRESU"
"LBSPEC","True","BiomedicalConceptProperty_49","","BiomedicalConceptProperty","2578e868-96a1-4946-b9b4-2e79916058a8","True","LBSPEC"
"LBFAST","True","BiomedicalConceptProperty_50","","BiomedicalConceptProperty","03c7ebc7-4c19-489f-9b3e-38a49d85f294","True","LBFAST"
"LBTESTCD","True","BiomedicalConceptProperty_51","","BiomedicalConceptProperty","ef99d30d-5d35-46dc-8799-cbf32f251178","True","LBTESTCD"
"LBORRES","True","BiomedicalConceptProperty_52","text","BiomedicalConceptProperty","9705d5bc-cb81-4392-9e06-9933242e6917","True","LBORRES"
"LBSPEC","True","BiomedicalConceptProperty_53","","BiomedicalConceptProperty","733b2a96-f1c6-4e6d-b3e2-f76ee43dfde8","True","LBSPEC"
"LBFAST","True","BiomedicalConceptProperty_54","","BiomedicalConceptProperty","669623ed-8eff-40f2-b7f4-1c6a7e27a0fe","True","LBFAST"
"LBTESTCD","True","BiomedicalConceptProperty_55","","BiomedicalConceptProperty","4778ebcd-073c-4e4a-b32b-0b9ca4b7375d","True","LBTESTCD"
"LBORRES","True","BiomedicalConceptProperty_56","float","BiomedicalConceptProperty","4bc05af3-548f-439e-b370-7ca6482826ee","True","LBORRES"
"LBORRESU","True","BiomedicalConceptProperty_57","","BiomedicalConceptProperty","8f3bea4b-8c44-4a1a-8f7b-b52a3f438593","True","LBORRESU"
"LBSPEC","True","BiomedicalConceptProperty_58","","BiomedicalConceptProperty","fff66eb8-d7e9-4c82-bfa1-a63fafb05880","True","LBSPEC"
"LBFAST","True","BiomedicalConceptProperty_59","","BiomedicalConceptProperty","ad62466e-b185-479a-877f-d0c3ecef922c","True","LBFAST"
"LBTESTCD","True","BiomedicalConceptProperty_60","","BiomedicalConceptProperty","acf9c795-1760-4888-8d26-859ed0ab564a","True","LBTESTCD"
"LBORRES","True","BiomedicalConceptProperty_61","float","BiomedicalConceptProperty","37485096-e26e-4b29-8427-cb43401c88c9","True","LBORRES"
"LBORRESU","True","BiomedicalConceptProperty_62","","BiomedicalConceptProperty","dbe08250-885e-41ab-9b98-f73f4a189d11","True","LBORRESU"
"LBSPEC","True","BiomedicalConceptProperty_63","","BiomedicalConceptProperty","e4dd67ef-0af4-4df2-8cf1-74fdd291bf1c","True","LBSPEC"
"LBFAST","True","BiomedicalConceptProperty_64","","BiomedicalConceptProperty","ffbb5254-59df-4c29-a58a-9caa6584a902","True","LBFAST"
"LBTESTCD","True","BiomedicalConceptProperty_65","","BiomedicalConceptProperty","c6508dc9-2793-4157-a822-85080c8e986c","True","LBTESTCD"
"LBORRES","True","BiomedicalConceptProperty_66","float","BiomedicalConceptProperty","8e7960c3-aa68-452f-851d-bd3462d0daa1","True","LBORRES"
"LBORRESU","True","BiomedicalConceptProperty_67","","BiomedicalConceptProperty","e62980e7-af3a-41da-8e4b-85418b29b297","True","LBORRESU"
"LBSPEC","True","BiomedicalConceptProperty_68","","BiomedicalConceptProperty","9a30ad62-6cf2-455d-be6b-84ab4116bfef","True","LBSPEC"
"LBFAST","True","BiomedicalConceptProperty_69","","BiomedicalConceptProperty","3eed1f7b-2e07-4a03-944b-6b7ee5f5d639","True","LBFAST"
"LBTESTCD","True","BiomedicalConceptProperty_70","","BiomedicalConceptProperty","30ec79a9-5cc0-4be7-adc5-f42614cfc349","True","LBTESTCD"
"LBORRES","True","BiomedicalConceptProperty_71","float","BiomedicalConceptProperty","6ec92063-e0dc-4982-80db-1263a1489ce1","True","LBORRES"
"LBORRESU","True","BiomedicalConceptProperty_72","","BiomedicalConceptProperty","3a897c26-7124-4d78-934f-7018fe6db853","True","LBORRESU"
"LBSPEC","True","BiomedicalConceptProperty_73","","BiomedicalConceptProperty","b1b76b5a-a888-4ab9-bd12-709099f89752","True","LBSPEC"
"LBFAST","True","BiomedicalConceptProperty_74","","BiomedicalConceptProperty","2a992b08-44bd-4e7a-874e-086bc352e517","True","LBFAST"
"LBTESTCD","True","BiomedicalConceptProperty_75","","BiomedicalConceptProperty","0da7b0c0-5601-4f77-8ce1-bcb857b51c3d","True","LBTESTCD"
"LBORRES","True","BiomedicalConceptProperty_76","float","BiomedicalConceptProperty","f5e7ef6b-ac61-407f-8d15-3a6a34fafade","True","LBORRES"
"LBORRESU","True","BiomedicalConceptProperty_77","","BiomedicalConceptProperty","5525953b-272c-4435-8c0a-e96b92aa93d7","True","LBORRESU"
"LBSPEC","True","BiomedicalConceptProperty_78","","BiomedicalConceptProperty","d2d1172f-2920-4122-94c6-143fc4dfd93e","True","LBSPEC"
"LBFAST","True","BiomedicalConceptProperty_79","","BiomedicalConceptProperty","5cc965d3-642b-48c3-ae8f-4aeffc3d0dbc","True","LBFAST"
"VSTESTCD","True","BiomedicalConceptProperty_80","","BiomedicalConceptProperty","fe5a027f-e521-4b74-aff3-291fc00e6624","True","VSTESTCD"
"VSORRES","True","BiomedicalConceptProperty_81","integer","BiomedicalConceptProperty","183dd806-3fdd-4449-af47-0714125ae996","True","VSORRES"
"VSORRESU","True","BiomedicalConceptProperty_82","","BiomedicalConceptProperty","a72e0deb-a81f-417c-91a1-14172a949f40","True","VSORRESU"
"VSPOS","True","BiomedicalConceptProperty_83","","BiomedicalConceptProperty","0a252c0e-456d-4c72-9bd0-f78842e99a7f","True","VSPOS"
"VSLOC","True","BiomedicalConceptProperty_84","","BiomedicalConceptProperty","fef20f30-f4a0-48f2-a377-33c15f83355b","True","VSLOC"
"VSLAT","True","BiomedicalConceptProperty_85","","BiomedicalConceptProperty","3bc82836-9989-4d93-8fdc-276babecc239","True","VSLAT"
"VSTESTCD","True","BiomedicalConceptProperty_86","","BiomedicalConceptProperty","33b09036-d21c-4c21-9e87-74ce717e63d8","True","VSTESTCD"
"VSORRES","True","BiomedicalConceptProperty_87","integer","BiomedicalConceptProperty","1e2a454d-d9ba-49b7-81ad-6fb93806288c","True","VSORRES"
"VSORRESU","True","BiomedicalConceptProperty_88","","BiomedicalConceptProperty","c2f7cf9c-b531-4126-99e0-6a496b27d57a","True","VSORRESU"
"VSPOS","True","BiomedicalConceptProperty_89","","BiomedicalConceptProperty","535c470f-a41b-4f72-9085-87bcb53d5daf","True","VSPOS"
"VSLOC","True","BiomedicalConceptProperty_90","","BiomedicalConceptProperty","f66e9bbe-b05a-42db-a5ac-ac8fc80587e3","True","VSLOC"
"VSLAT","True","BiomedicalConceptProperty_91","","BiomedicalConceptProperty","e2dc4909-f324-46eb-af78-d5b56a66b709","True","VSLAT"
"VSTESTCD","True","BiomedicalConceptProperty_92","","BiomedicalConceptProperty","fa9a4f34-9934-459a-adb0-cdd39999c1d2","True","VSTESTCD"
"VSORRES","True","BiomedicalConceptProperty_93","integer","BiomedicalConceptProperty","aa5adaf7-2883-42c4-9406-ca15507d16a4","True","VSORRES"
"VSORRESU","True","BiomedicalConceptProperty_94","","BiomedicalConceptProperty","ca90259d-42ad-4c3d-ae36-0c9d7d4b1e67","True","VSORRESU"
"VSPOS","True","BiomedicalConceptProperty_95","","BiomedicalConceptProperty","fe2a0c6c-65e6-4c65-bd65-cea695f61181","True","VSPOS"
"VSLOC","True","BiomedicalConceptProperty_96","","BiomedicalConceptProperty","f891f3c3-aab8-4a26-9a66-9cd801af3956","True","VSLOC"
"VSLAT","True","BiomedicalConceptProperty_97","","BiomedicalConceptProperty","4008d0ed-8174-4202-8216-5364c62eac8a","True","VSLAT"
"VSTESTCD","True","BiomedicalConceptProperty_98","","BiomedicalConceptProperty","f665d2bd-95ef-49db-a8ff-e2e1a65c4269","True","VSTESTCD"
"VSORRES","True","BiomedicalConceptProperty_99","integer","BiomedicalConceptProperty","cbf005d6-8ae5-4883-b148-2d8663a2b664","True","VSORRES"
"VSORRESU","True","BiomedicalConceptProperty_100","","BiomedicalConceptProperty","77779ce2-ebed-4496-9914-5213a9176a80","True","VSORRESU"
"VSPOS","True","BiomedicalConceptProperty_101","","BiomedicalConceptProperty","ae5bcf4c-fbb9-4380-9b37-1f4165dbd009","True","VSPOS"
"VSLOC","True","BiomedicalConceptProperty_102","","BiomedicalConceptProperty","b9abd51d-d97d-42c7-9e0c-c6c6bc91eec2","True","VSLOC"
"VSLAT","True","BiomedicalConceptProperty_103","","BiomedicalConceptProperty","c35a3034-5e8a-4c64-9606-3fe74b209838","True","VSLAT"
"VSTESTCD","True","BiomedicalConceptProperty_104","","BiomedicalConceptProperty","2ad3dbb3-51e3-426a-a37b-e4c286299255","True","VSTESTCD"
"VSORRES","True","BiomedicalConceptProperty_105","integer","BiomedicalConceptProperty","ee211eae-dea0-45b7-a448-dc424fe1c5ef","True","VSORRES"
"VSORRESU","True","BiomedicalConceptProperty_106","","BiomedicalConceptProperty","d42a7489-9b3f-455a-96fe-4a829f100b0c","True","VSORRESU"
"VSPOS","True","BiomedicalConceptProperty_107","","BiomedicalConceptProperty","94fd3c70-7f6e-4e81-b2c8-4ef2110881bb","True","VSPOS"
"VSLOC","True","BiomedicalConceptProperty_108","","BiomedicalConceptProperty","61a50ead-aa7e-4e9d-858a-46ef86f442e3","True","VSLOC"
"VSLAT","True","BiomedicalConceptProperty_109","","BiomedicalConceptProperty","4efec023-4ae0-49d5-acfa-0d5b1a83a271","True","VSLAT"
"VSTESTCD","True","BiomedicalConceptProperty_110","","BiomedicalConceptProperty","adb1464b-a8b1-4f41-95ee-75758bce8e96","True","VSTESTCD"
"VSORRES","True","BiomedicalConceptProperty_111","integer","BiomedicalConceptProperty","ebf64ff0-be75-46df-b128-2e7e69f3ce6c","True","VSORRES"
"VSORRESU","True","BiomedicalConceptProperty_112","","BiomedicalConceptProperty","aeb2be2e-1967-4af8-83cf-36a5e4bfd3a4","True","VSORRESU"
"VSPOS","True","BiomedicalConceptProperty_113","","BiomedicalConceptProperty","ba80790a-3dde-4802-b2b8-fa72203433fc","True","VSPOS"
"VSLOC","True","BiomedicalConceptProperty_114","","BiomedicalConceptProperty","f9351355-06bb-4e81-8eb9-9bea870e1e98","True","VSLOC"
"VSLAT","True","BiomedicalConceptProperty_115","","BiomedicalConceptProperty","b28c418f-07bb-4f91-bf2e-145da02b7df9","True","VSLAT"
