"decode","codeSystemVersion","id","instanceType","uuid:ID","code","codeSystem"
"Clinic","2023-12-15","Code_93","Code","6bb92e83-0b85-49b4-8725-eba894bcea85","C51282","http://www.cdisc.org"
"In Person","2023-12-15","Code_94","Code","b9b5075c-6ed7-4872-8eba-1c100dba1418","C175574","http://www.cdisc.org"
"Visit","2023-12-15","Code_95","Code","9816caea-a003-4821-8f16-2c728ecc3e98","C25716","http://www.cdisc.org"
"Clinic","2023-12-15","Code_96","Code","80583bb0-d31b-48da-96e5-a57bf5d6a55e","C51282","http://www.cdisc.org"
"In Person","2023-12-15","Code_97","Code","b7f2582b-919b-4034-9414-97c9c8450438","C175574","http://www.cdisc.org"
"Visit","2023-12-15","Code_98","Code","f2838eb1-c8bb-43ab-86a0-14675e11a1e8","C25716","http://www.cdisc.org"
"Clinic","2023-12-15","Code_99","Code","f29af755-82b9-4fe0-b31e-a8fa13db2742","C51282","http://www.cdisc.org"
"In Person","2023-12-15","Code_100","Code","755d3e9b-a866-4918-88b6-b96a1c8db11b","C175574","http://www.cdisc.org"
"Visit","2023-12-15","Code_101","Code","27e245ce-7192-41a5-adee-d0f3bf1db4b1","C25716","http://www.cdisc.org"
"Clinic","2023-12-15","Code_102","Code","1efe5309-0c11-4067-a3e5-854a4e2ecb4b","C51282","http://www.cdisc.org"
"In Person","2023-12-15","Code_103","Code","3b895fa6-a816-4a72-bc81-d0e8d0a607c3","C175574","http://www.cdisc.org"
"Telephone Call","2023-12-15","Code_104","Code","48f3be1c-2ad6-4dc5-90f7-cc861bfb3c32","C171537","http://www.cdisc.org"
"Visit","2023-12-15","Code_105","Code","e64d661f-4a0d-4a2d-905e-a15303133bf1","C25716","http://www.cdisc.org"
"Clinic","2023-12-15","Code_106","Code","52fa6f48-a341-42f4-acf8-af78ec1b95bc","C51282","http://www.cdisc.org"
"In Person","2023-12-15","Code_107","Code","78104934-16da-477e-8cb1-62678bbd162f","C175574","http://www.cdisc.org"
"Telephone Call","2023-12-15","Code_108","Code","e4eee3cd-ab77-485b-a455-3f267cee9e1e","C171537","http://www.cdisc.org"
"Visit","2023-12-15","Code_109","Code","2fc68228-1a12-45ea-bbdd-17da435c3fac","C25716","http://www.cdisc.org"
"Clinic","2023-12-15","Code_110","Code","2c03d197-8056-41cd-b62a-66cc3fd9265f","C51282","http://www.cdisc.org"
"In Person","2023-12-15","Code_111","Code","2639358f-86e5-4ecd-ac3d-42986c356295","C175574","http://www.cdisc.org"
"Telephone Call","2023-12-15","Code_112","Code","03579b51-8742-48dd-8431-9fbaa2f5e01a","C171537","http://www.cdisc.org"
"Visit","2023-12-15","Code_113","Code","ad44f2bb-30d8-405a-8103-1e5dccca96c4","C25716","http://www.cdisc.org"
"Clinic","2023-12-15","Code_114","Code","e3bc47d9-e8c9-4925-90da-2e63fbf786c7","C51282","http://www.cdisc.org"
"In Person","2023-12-15","Code_115","Code","0c335583-d241-480e-a635-9b83bc0d53d9","C175574","http://www.cdisc.org"
"Telephone Call","2023-12-15","Code_116","Code","d8c68c98-0daf-4906-a18f-659a89897e93","C171537","http://www.cdisc.org"
"Visit","2023-12-15","Code_117","Code","11e1442f-4558-46c2-b344-27ddbbdc825c","C25716","http://www.cdisc.org"
"Clinic","2023-12-15","Code_118","Code","5867b92e-dee7-4a84-bf33-c82f6515c210","C51282","http://www.cdisc.org"
"In Person","2023-12-15","Code_119","Code","6dd4d851-695d-4dcf-b9c1-ef11cbc56dd3","C175574","http://www.cdisc.org"
"Visit","2023-12-15","Code_120","Code","1858fe11-2cdb-41f1-88a8-c38b5962f0b6","C25716","http://www.cdisc.org"
"Clinic","2023-12-15","Code_121","Code","20605726-208a-4c74-a466-c4f293f22213","C51282","http://www.cdisc.org"
"In Person","2023-12-15","Code_122","Code","b7e969b9-f0bb-49d4-a1cd-20069819f2ad","C175574","http://www.cdisc.org"
"CT of head without contrast","January 31, 2018","Code_80","Code","75e757f6-816d-48c9-bd9c-188051d5f20f","383371000119108","SNOMED"
"Subject Supine","12","Code_81","Code","85b1accb-dba9-4aeb-874b-6eb40e331005","123","SPONSOR"
"Subject Standing","12","Code_82","Code","5f5d5ae8-6887-4daf-b49c-1f16fa5e8c22","124","SPONSOR"
"Dictionary-derived Term","2023-12-15","Code_429","Code","c3a1e9a1-c6c9-4b22-98e4-42e21412c3b9","C82977","http://www.cdisc.org"
"Reported Event Term","2023-12-15","Code_430","Code","0554489d-1cb7-4714-9ec9-13fba67f6b58","C82571","http://www.cdisc.org"
"Observation Start Date Time","2023-12-15","Code_431","Code","e1730ce3-9498-4eab-805e-cce42b86169d","C82517","http://www.cdisc.org"
"Informed Consent","2023-12-15","Code_432","Code","605ba276-7d29-4d06-869a-fa54776ac24c","C16735","http://www.cdisc.org"
"Male","2023-12-15","Code_433","Code","fbea17b5-ddc8-4487-b5b8-06c68d8d977c","C20197","http://www.cdisc.org"
"Female","2023-12-15","Code_434","Code","c58cfb68-011b-4775-a364-ac60bdab56d8","C16576","http://www.cdisc.org"
"Sex","2023-12-15","Code_435","Code","2a4ddac6-8bda-460b-beb1-a453a94cd27d","C28421","http://www.cdisc.org"
"Sex","2023-12-15","Code_436","Code","a1c2e264-01b0-4086-8b9f-02deae53006b","C28421","http://www.cdisc.org"
"Race","2023-12-15","Code_437","Code","39f802c4-d581-4903-8bab-e667b757b1d3","C17049","http://www.cdisc.org"
"Race","2023-12-15","Code_438","Code","830f1003-42a8-4149-872c-9f335a1c1a2b","C17049","http://www.cdisc.org"
"TEMP","2023-12-15","Code_439","Code","5bca4e57-ef92-41ff-bb5d-4b00ab5bf0ae","C174446","http://www.cdisc.org"
"Clinical Test Result","2023-12-15","Code_440","Code","e55e958b-569f-499c-9093-6170dc808b3e","C77140","http://www.cdisc.org"
"Degree Celsius","2023-12-15","Code_441","Code","b0158824-33b9-49c3-bd2b-2286bc42debe","C42559","http://www.cdisc.org"
"Degree Fahrenheit","2023-12-15","Code_442","Code","1981c884-dd73-453d-8d80-84a7fc71a45e","C44277","http://www.cdisc.org"
"Kelvin","2023-12-15","Code_443","Code","1ff1ef41-a206-44c3-8679-564d81237072","C42537","http://www.cdisc.org"
"Unit of Temperature","2023-12-15","Code_444","Code","1f48a9cc-d683-4846-9437-2b07d7411dae","C44276","http://www.cdisc.org"
"Axilla","2023-12-15","Code_445","Code","76bfc40e-561b-4ebc-874e-12b287c1ffc7","C12674","http://www.cdisc.org"
"Ear","2023-12-15","Code_446","Code","036941f5-1b51-426e-a491-dbbdda2c90d0","C12394","http://www.cdisc.org"
"Forehead","2023-12-15","Code_447","Code","14bdfa98-4fc3-439d-bc36-c6d0d169304a","C89803","http://www.cdisc.org"
"Oral Cavity","2023-12-15","Code_448","Code","9e157dd6-2c54-4829-8774-957a2e2575d0","C12421","http://www.cdisc.org"
"Rectum","2023-12-15","Code_449","Code","8349b627-782b-4b40-bd78-84397107217b","C12390","http://www.cdisc.org"
"Anatomic Site","2023-12-15","Code_450","Code","012a8930-c1a8-44b5-96ed-283b32534a53","C13717","http://www.cdisc.org"
"TEMP","2023-12-15","Code_451","Code","75343761-d587-4131-b77a-478646d2e08f","C174446","http://www.cdisc.org"
"WEIGHT","2023-12-15","Code_452","Code","51ab8fd9-aee9-4005-8e63-f9bfcc9e3a18","C25208","http://www.cdisc.org"
"Clinical Test Result","2023-12-15","Code_453","Code","488f5d26-576f-41f7-9964-2a744ddd85ff","C77140","http://www.cdisc.org"
"Pound","2023-12-15","Code_454","Code","754202bf-56cf-45b9-a4aa-f1fc2f794ae1","C48531","http://www.cdisc.org"
"Gram","2023-12-15","Code_455","Code","3fd73d58-00da-4920-86de-ce1d18f28243","C48155","http://www.cdisc.org"
"Kilogram","2023-12-15","Code_456","Code","abc14e11-e598-4976-84da-7ff693711a9b","C28252","http://www.cdisc.org"
"Unit of Weight","2023-12-15","Code_457","Code","02ba65b1-7110-4baa-9790-798eb3d4c682","C48208","http://www.cdisc.org"
"WEIGHT","2023-12-15","Code_458","Code","da71717c-cb44-44fb-8977-ae1da30e0c03","C25208","http://www.cdisc.org"
"HEIGHT","2023-12-15","Code_459","Code","1aabdc2b-cf28-4761-963b-4a5a0eb753ad","C25347","http://www.cdisc.org"
"Clinical Test Result","2023-12-15","Code_460","Code","4fa028ec-c9ea-4f35-a64e-c8b1a94340d2","C77140","http://www.cdisc.org"
"Centimeter","2023-12-15","Code_461","Code","ac62e3d7-c974-452b-b64d-74f9d388f6c0","C49668","http://www.cdisc.org"
"Inch","2023-12-15","Code_462","Code","7a3bb3e8-b3f9-4d6f-a5df-e2632890a4f0","C48500","http://www.cdisc.org"
"Meter","2023-12-15","Code_463","Code","91227c37-9577-41e5-9a0a-eb7be3750984","C41139","http://www.cdisc.org"
"Unit of Height","2023-12-15","Code_464","Code","86431c04-ed30-4ceb-a879-750de1d3dac7","C168688","http://www.cdisc.org"
"HEIGHT","2023-12-15","Code_465","Code","e0cf0004-87ed-4bd3-849a-d24dd521cd33","C25347","http://www.cdisc.org"
"ALT","2023-12-15","Code_466","Code","6fe50ed1-54c2-4868-a828-9d96df457708","C64433","http://www.cdisc.org"
"Laboratory Test Result","2023-12-15","Code_467","Code","578a0bf8-1966-4fb9-bd7a-f82581e6c75a","C36292","http://www.cdisc.org"
"Unit per Liter","2023-12-15","Code_468","Code","8c470ca0-0487-4426-95f5-f9710eb40589","C67456","http://www.cdisc.org"
"Microkatal per Liter","2023-12-15","Code_469","Code","5a2be50b-8fbb-45b4-8b0b-e71d8fd94279","C67397","http://www.cdisc.org"
"International Unit per Liter","2023-12-15","Code_470","Code","061829f6-cb3f-4e5b-bfc0-d80ddfccef91","C67376","http://www.cdisc.org"
"Nanokatal per Liter","2023-12-15","Code_471","Code","e5c19b3a-79c0-47b5-8b54-b69bf4ec9eb3","C70510","http://www.cdisc.org"
"Unit of Catalytic Activity Concentration","2023-12-15","Code_472","Code","ad8374f7-5713-497b-941c-212722480330","C67365","http://www.cdisc.org"
"Biospecimen Type","2023-12-15","Code_473","Code","ac0370fc-6a47-4909-b307-5b1a23bc68da","C70713","http://www.cdisc.org"
"No","2023-12-15","Code_474","Code","b6c9764c-9d9c-4755-b204-cff6e0314efd","C49487","http://www.cdisc.org"
"Yes","2023-12-15","Code_475","Code","388125ae-8edb-4c12-a372-8a68ab65e0c9","C49488","http://www.cdisc.org"
"Laboratory Test Fasting Status","2023-12-15","Code_476","Code","be9b7571-e19a-4f2f-a294-833517f95e7a","C83309","http://www.cdisc.org"
"ALT","2023-12-15","Code_477","Code","ec6c6818-0697-4c9a-a97e-3623f17f2ace","C64433","http://www.cdisc.org"
"ALB","2023-12-15","Code_478","Code","f07bf7c3-0c85-4fa3-b327-43a4c688a7e1","C64431","http://www.cdisc.org"
"Laboratory Test Result","2023-12-15","Code_479","Code","c194263e-d583-4449-884f-01ee2a378a31","C36292","http://www.cdisc.org"
"Biospecimen Type","2023-12-15","Code_480","Code","05cf3b3f-92a2-4fd7-9886-68945e63333b","C70713","http://www.cdisc.org"
"No","2023-12-15","Code_481","Code","51c07803-6e75-4abe-8dda-f39eadb3bb8f","C49487","http://www.cdisc.org"
"Yes","2023-12-15","Code_482","Code","4b69546a-d2e7-4a1b-8eda-f68b0566c8bb","C49488","http://www.cdisc.org"
"Laboratory Test Fasting Status","2023-12-15","Code_483","Code","9413ef1e-b1b3-4a6e-aded-bb8bc0a0f292","C83309","http://www.cdisc.org"
"ALB","2023-12-15","Code_484","Code","2e4431c0-8648-42e9-b6a7-42d6fc18b315","C64431","http://www.cdisc.org"
"ALP","2023-12-15","Code_485","Code","4dcebf20-2088-4b8a-aa7c-003889e8d351","C64432","http://www.cdisc.org"
"Laboratory Test Result","2023-12-15","Code_486","Code","392be253-4a37-49f1-91cf-d8e61a301036","C36292","http://www.cdisc.org"
"Unit per Liter","2023-12-15","Code_487","Code","654ac108-d602-4a2f-8624-efd841804504","C67456","http://www.cdisc.org"
"Microkatal per Liter","2023-12-15","Code_488","Code","7315a05f-35d5-425d-90c5-3f70bc2c8b03","C67397","http://www.cdisc.org"
"International Unit per Liter","2023-12-15","Code_489","Code","35454d7a-eb65-47ee-a1c6-6a286315f526","C67376","http://www.cdisc.org"
"Unit of Catalytic Activity Concentration","2023-12-15","Code_490","Code","485d1a62-c1b0-4420-bb35-4bb1bf337ba4","C67365","http://www.cdisc.org"
"Biospecimen Type","2023-12-15","Code_491","Code","9dc32336-ecbe-44f7-8a67-bc4a9d643f2e","C70713","http://www.cdisc.org"
"No","2023-12-15","Code_492","Code","55df11b3-49ad-4fa6-a5de-81b3fa2699bc","C49487","http://www.cdisc.org"
"Yes","2023-12-15","Code_493","Code","3fe7ae70-2e0b-4f92-97c8-0a8a0b2548ea","C49488","http://www.cdisc.org"
"Laboratory Test Fasting Status","2023-12-15","Code_494","Code","d0af55b3-c4cf-4acb-b6c1-cd0787b6ce1c","C83309","http://www.cdisc.org"
"ALP","2023-12-15","Code_495","Code","0c214390-3f8a-4fd0-8866-edfad70b6cc3","C64432","http://www.cdisc.org"
"AST","2023-12-15","Code_496","Code","a66e22b5-04f3-420c-aab4-fb0191254fad","C64467","http://www.cdisc.org"
"Laboratory Test Result","2023-12-15","Code_497","Code","6109a3f0-d318-4a38-8329-51f3213ca189","C36292","http://www.cdisc.org"
"Unit per Liter","2023-12-15","Code_498","Code","e7d32b25-2ef6-43ac-a312-685416921fd4","C67456","http://www.cdisc.org"
"Microkatal per Liter","2023-12-15","Code_499","Code","7f741b2f-afbb-45db-a955-d6b3bacda5a2","C67397","http://www.cdisc.org"
"International Unit per Liter","2023-12-15","Code_500","Code","bc3d6279-c0f2-434f-a549-a08d14ed5a12","C67376","http://www.cdisc.org"
"Unit of Catalytic Activity Concentration","2023-12-15","Code_501","Code","c1c15bef-5fd5-4a97-ba37-8421e651c180","C67365","http://www.cdisc.org"
"Biospecimen Type","2023-12-15","Code_502","Code","95c08ba6-fc61-4110-bc5c-3a547165688e","C70713","http://www.cdisc.org"
"No","2023-12-15","Code_503","Code","6672edbe-07be-490c-aa6c-e3fb783af37f","C49487","http://www.cdisc.org"
"Yes","2023-12-15","Code_504","Code","2c5d8978-5a7e-4b0a-ab17-375aa2819d03","C49488","http://www.cdisc.org"
"Laboratory Test Fasting Status","2023-12-15","Code_505","Code","ef67cbc4-e5b3-465e-8928-2e9a766bfa35","C83309","http://www.cdisc.org"
"AST","2023-12-15","Code_506","Code","d84f0478-1163-4af5-8e5f-f9ed343cc82e","C64467","http://www.cdisc.org"
"CREAT","2023-12-15","Code_507","Code","732a39f6-1587-4273-ae9f-65416af602f9","C64547","http://www.cdisc.org"
"Laboratory Test Result","2023-12-15","Code_508","Code","62bce14a-e533-44ba-9a6e-f165a21a830f","C36292","http://www.cdisc.org"
"Milligram per Deciliter","2023-12-15","Code_509","Code","9b8add88-98ec-450d-b9cd-0ad51f9f753e","C67015","http://www.cdisc.org"
"Microgram per Milliliter","2023-12-15","Code_510","Code","3bc227b1-df88-46dd-9bee-946d6f0c9645","C64572","http://www.cdisc.org"
"Millimole per Liter","2023-12-15","Code_511","Code","67bdc835-f0c7-475b-bd59-f22f18d0b446","C64387","http://www.cdisc.org"
"Micromole per Liter","2023-12-15","Code_512","Code","d51f8ab7-d911-4b7e-b885-4efbd7d9bc23","C48508","http://www.cdisc.org"
"Unit of Concentration","2023-12-15","Code_513","Code","ca9d3d75-f5b4-4b5e-8274-7bac06c3a7a1","C48207","http://www.cdisc.org"
"Biospecimen Type","2023-12-15","Code_514","Code","9edb1b96-cff3-4a37-9d0c-107ca85c0d4a","C70713","http://www.cdisc.org"
"No","2023-12-15","Code_515","Code","f98f4322-d194-4296-b8c6-133afabc30db","C49487","http://www.cdisc.org"
"Yes","2023-12-15","Code_516","Code","1c770433-1500-4b98-8ae1-0646d43079e2","C49488","http://www.cdisc.org"
"Laboratory Test Fasting Status","2023-12-15","Code_517","Code","8a1418ba-663a-42c8-9b74-b3c9bd43efc6","C83309","http://www.cdisc.org"
"CREAT","2023-12-15","Code_518","Code","5e7be0aa-c237-4a8a-9285-3aa4c05382ac","C64547","http://www.cdisc.org"
"K","2023-12-15","Code_519","Code","06b7d24f-7c02-41ee-9860-e7df7e1a2232","C64853","http://www.cdisc.org"
"Laboratory Test Result","2023-12-15","Code_520","Code","4a27442f-f6de-40f0-a17e-a99c0bc6c786","C36292","http://www.cdisc.org"
"Milliequivalent per Liter","2023-12-15","Code_521","Code","9638cad7-3cbd-4484-9f15-3f807679dd0e","C67474","http://www.cdisc.org"
"Milliequivalent per Deciliter","2023-12-15","Code_522","Code","bb756743-a4e8-44d7-8a4f-3fd21a257892","C67473","http://www.cdisc.org"
"Millimole per Liter","2023-12-15","Code_523","Code","b767f065-bca5-4758-8594-e2c3b08aa4f4","C64387","http://www.cdisc.org"
"Molarity Unit","2023-12-15","Code_524","Code","12ec3318-3b13-4145-91dc-a00de260cd87","C64567","http://www.cdisc.org"
"Biospecimen Type","2023-12-15","Code_525","Code","eb230073-aced-4be9-9305-841c5ceff855","C70713","http://www.cdisc.org"
"No","2023-12-15","Code_526","Code","f611a1f2-c368-49f1-9827-81fb5ae3e6fd","C49487","http://www.cdisc.org"
"Yes","2023-12-15","Code_527","Code","8db6bb39-c8cf-4bbd-8145-7c93f228d03e","C49488","http://www.cdisc.org"
"Laboratory Test Fasting Status","2023-12-15","Code_528","Code","2e145174-3d35-4630-a107-2df86024dd6f","C83309","http://www.cdisc.org"
"K","2023-12-15","Code_529","Code","4f4371bd-e674-4390-9b15-c9ef83dcae11","C64853","http://www.cdisc.org"
"SODIUM","2023-12-15","Code_530","Code","34ff6f62-6576-4a7e-aceb-3e9378d0d336","C64809","http://www.cdisc.org"
"Laboratory Test Result","2023-12-15","Code_531","Code","beaf69b6-bae8-4c87-a4b4-34c97b2a06bc","C36292","http://www.cdisc.org"
"Milliequivalent per Liter","2023-12-15","Code_532","Code","95eb19ae-8757-4a2a-8711-15e8306d6801","C67474","http://www.cdisc.org"
"Milliequivalent per Deciliter","2023-12-15","Code_533","Code","bfab0b54-d70e-4741-a72f-88ba87f44177","C67473","http://www.cdisc.org"
"Millimole per Liter","2023-12-15","Code_534","Code","ef210216-b749-4d66-8272-57f3d7e720c1","C64387","http://www.cdisc.org"
"Molarity Unit","2023-12-15","Code_535","Code","c000c57a-b733-401b-b8ec-8824426c1c57","C64567","http://www.cdisc.org"
"Biospecimen Type","2023-12-15","Code_536","Code","291108ff-eca3-48f0-a3ba-aa85b717cb69","C70713","http://www.cdisc.org"
"No","2023-12-15","Code_537","Code","1603f1cd-892c-4e37-a747-185513e2c0b3","C49487","http://www.cdisc.org"
"Yes","2023-12-15","Code_538","Code","8fe5604f-9c1a-4efe-a810-738188820d16","C49488","http://www.cdisc.org"
"Laboratory Test Fasting Status","2023-12-15","Code_539","Code","cabeab20-54c5-42ee-ba78-1cccbf080f0e","C83309","http://www.cdisc.org"
"SODIUM","2023-12-15","Code_540","Code","1a61b308-a395-49ab-97d5-bdebc1f49da4","C64809","http://www.cdisc.org"
"HBA1C","2023-12-15","Code_541","Code","27be62d7-27a2-44ad-89a5-0ec5f1172a34","C64849","http://www.cdisc.org"
"Laboratory Test Result","2023-12-15","Code_542","Code","4150faa8-7490-4721-8565-0a48d272cf47","C36292","http://www.cdisc.org"
"Gram per Deciliter","2023-12-15","Code_543","Code","828cc20a-3a43-4b49-ad8a-ed5ce6a51ee3","C64783","http://www.cdisc.org"
"LBORRESU","2023-12-15","Code_544","Code","0547211a-d398-4daa-9cb5-d2c643cd6590","No Concept Code","http://www.cdisc.org"
"Biospecimen Type","2023-12-15","Code_545","Code","352aeb65-7723-4d64-a9e8-2fc736f52a27","C70713","http://www.cdisc.org"
"No","2023-12-15","Code_546","Code","1d7e9b1f-c87a-4851-8512-37273dee395f","C49487","http://www.cdisc.org"
"Yes","2023-12-15","Code_547","Code","ac58337c-c506-41ba-9baf-e796b8efb8e1","C49488","http://www.cdisc.org"
"Laboratory Test Fasting Status","2023-12-15","Code_548","Code","903672f2-adc8-40f0-968c-fa04bc690716","C83309","http://www.cdisc.org"
"HBA1C","2023-12-15","Code_549","Code","7a875093-ceb6-485d-b12a-f812d1011770","C64849","http://www.cdisc.org"
"Adverse Event Verbatim Description","2023-12-15","Code_145","Code","1236c57c-bb3e-44d7-ada8-8ad30ac6b631","C78541","http://www.cdisc.org"
"Adverse Event Dictionary Derived Term","2023-12-15","Code_146","Code","4d400e4a-9bba-48be-8c04-12e1f1bcf7cc","C83344","http://www.cdisc.org"
"No","2023-12-15","Code_147","Code","d846ae9c-f56e-4cbc-a4e7-40015f673e23","C49487","http://www.cdisc.org"
"Yes","2023-12-15","Code_148","Code","4bcff235-cebf-4592-9272-166f85c02fae","C49488","http://www.cdisc.org"
"Adverse Event Pre-specified","2023-12-15","Code_149","Code","5ddbcdb5-5a84-4def-a91e-524d87f81690","C87840","http://www.cdisc.org"
"Adverse Event Location","2023-12-15","Code_150","Code","0591d3a6-42a3-4567-a2c7-bfc073ae69ed","C83205","http://www.cdisc.org"
"Severity of Adverse Event","2023-12-15","Code_151","Code","f2f94c45-7de3-4ebd-b5f3-79bed3c1bbf6","C53253","http://www.cdisc.org"
"No","2023-12-15","Code_152","Code","45d2e5d8-a99b-45c7-a635-436c848792f4","C49487","http://www.cdisc.org"
"Yes","2023-12-15","Code_153","Code","bd8ab502-7897-4818-a52a-d94dcb650380","C49488","http://www.cdisc.org"
"Seriousness of Adverse Event","2023-12-15","Code_154","Code","6211778c-4543-41d0-8ac8-514e66b82404","C53252","http://www.cdisc.org"
"Adverse Event Action Taken with Study Treatment","2023-12-15","Code_155","Code","c1ff5406-b64f-4528-9041-e55c6b192cbe","C83013","http://www.cdisc.org"
"Other Actions taken in Response to Adverse Event","2023-12-15","Code_156","Code","3b891e99-62dd-47d3-8cba-0277b9276e31","C83109","http://www.cdisc.org"
"Adverse Event Attribution to Product or Procedure","2023-12-15","Code_157","Code","0bd1e96a-47fd-403f-9243-101017627825","C41358","http://www.cdisc.org"
"Adverse Event Relationship to Non Study Treatment","2023-12-15","Code_158","Code","dc5c6d40-163c-4a35-9aca-347c8609f6da","C83210","http://www.cdisc.org"
"Adverse Event Pattern","2023-12-15","Code_159","Code","b35b718c-bbca-45b4-8b5a-bba86b85a31e","C83208","http://www.cdisc.org"
"Adverse Event Outcome","2023-12-15","Code_160","Code","259dd21b-7768-4114-86c2-d2708a091cba","C49489","http://www.cdisc.org"
"No","2023-12-15","Code_161","Code","a3a534ad-25ff-467a-92e4-12b3c32ebf64","C49487","http://www.cdisc.org"
"Yes","2023-12-15","Code_162","Code","8120ad77-cedd-4c72-9a97-40bc0e632b81","C49488","http://www.cdisc.org"
"Adverse Event Involves Cancer","2023-12-15","Code_163","Code","6590086c-e661-49db-8d0b-ed38882dbad2","C83211","http://www.cdisc.org"
"No","2023-12-15","Code_164","Code","96f8a578-229f-46ec-a730-ceac7530365e","C49487","http://www.cdisc.org"
"Yes","2023-12-15","Code_165","Code","509af7f2-7759-4fa2-a084-d3c3e8133dea","C49488","http://www.cdisc.org"
"Adverse Event Seriousness Due to Congenital Anomaly","2023-12-15","Code_166","Code","266fed44-410f-4566-8a90-b1e54e070a8a","C83117","http://www.cdisc.org"
"No","2023-12-15","Code_167","Code","d46cb153-68fb-4bdc-a08e-78006d7b3d91","C49487","http://www.cdisc.org"
"Yes","2023-12-15","Code_168","Code","2b0db36e-1145-4f3b-8b1f-9c154d63c21a","C49488","http://www.cdisc.org"
