"decode","codeSystemVersion","uuid:ID","instanceType","code","id","codeSystem"
"In Person","2023-12-15","76d4efaa-a814-4ced-b204-d971a47f8033","Code","C175574","Code_119","http://www.cdisc.org"
"Visit","2023-12-15","286658e8-4557-4e0a-8572-5cd903ff709e","Code","C25716","Code_120","http://www.cdisc.org"
"Clinic","2023-12-15","ebf3be37-403a-4aec-a14b-ab949e217e9f","Code","C51282","Code_121","http://www.cdisc.org"
"In Person","2023-12-15","db011071-fc04-43b0-87c3-a10060678269","Code","C175574","Code_122","http://www.cdisc.org"
"CT of head without contrast","January 31, 2018","bf411e8f-8486-406b-8ba1-4fba79811bc2","Code","383371000119108","Code_80","SNOMED"
"Subject Supine","12","96415207-6e3f-492d-b8e4-23d5fb2e24cf","Code","123","Code_81","SPONSOR"
"Subject Standing","12","599c801a-a0d1-4cf1-81ac-e21f675a42f3","Code","124","Code_82","SPONSOR"
"Dictionary-derived Term","2023-12-15","28f01993-5d83-4503-af2f-d4a74dbc921b","Code","C82977","Code_429","http://www.cdisc.org"
"Reported Event Term","2023-12-15","2b51594a-b5e6-493c-8494-58b8a8f1f84c","Code","C82571","Code_430","http://www.cdisc.org"
"Observation Start Date Time","2023-12-15","93ce2b80-58f5-434b-912a-74b9e13f0db6","Code","C82517","Code_431","http://www.cdisc.org"
"Informed Consent","2023-12-15","cb5eebd5-59b5-46bd-9dc3-760e383fe681","Code","C16735","Code_432","http://www.cdisc.org"
"Male","2023-12-15","92c8be9b-d824-496f-b3b7-21331bfeef64","Code","C20197","Code_433","http://www.cdisc.org"
"Female","2023-12-15","0d8039dd-b66d-42a0-9bfc-566de6d82b5f","Code","C16576","Code_434","http://www.cdisc.org"
"Sex","2023-12-15","628b3428-04e3-4740-84af-2396d68e0166","Code","C28421","Code_435","http://www.cdisc.org"
"Sex","2023-12-15","0bf8c9f7-f909-45df-940f-54759401d459","Code","C28421","Code_436","http://www.cdisc.org"
"Race","2023-12-15","04efb978-2710-4f42-9c12-123044f6686f","Code","C17049","Code_437","http://www.cdisc.org"
"Race","2023-12-15","baab79fd-452d-4cb5-87c9-ebf6ee70b88f","Code","C17049","Code_438","http://www.cdisc.org"
"TEMP","2023-12-15","e303a8f0-6a62-48d3-a3af-adb28cbc25c4","Code","C174446","Code_439","http://www.cdisc.org"
"Clinical Test Result","2023-12-15","cbcaba29-31b6-477b-938e-0805ab16e9a1","Code","C77140","Code_440","http://www.cdisc.org"
"Degree Celsius","2023-12-15","c6ca7cfe-1b2d-40a6-bf20-8b16cf3a2db8","Code","C42559","Code_441","http://www.cdisc.org"
"Degree Fahrenheit","2023-12-15","529a1758-3ace-4bbb-973b-ce2392e38b39","Code","C44277","Code_442","http://www.cdisc.org"
"Kelvin","2023-12-15","7a93bb14-4df0-4bc0-9f06-2def4d44597c","Code","C42537","Code_443","http://www.cdisc.org"
"Unit of Temperature","2023-12-15","b2a50372-a62f-4559-9ddf-a069322ca37e","Code","C44276","Code_444","http://www.cdisc.org"
"Axilla","2023-12-15","d4b06208-9e75-4855-85f3-2103be933b29","Code","C12674","Code_445","http://www.cdisc.org"
"Ear","2023-12-15","82111294-595c-4bff-bbd1-6c9286a0ff0c","Code","C12394","Code_446","http://www.cdisc.org"
"Forehead","2023-12-15","d923b9f2-797e-4faa-8a60-c5b44132a09c","Code","C89803","Code_447","http://www.cdisc.org"
"Oral Cavity","2023-12-15","bb3472d8-0a94-4880-bfe7-f5dc79ef298c","Code","C12421","Code_448","http://www.cdisc.org"
"Rectum","2023-12-15","da4b3114-7401-41c6-8eb9-8bb64caf7c2a","Code","C12390","Code_449","http://www.cdisc.org"
"Anatomic Site","2023-12-15","fc2ffa93-d9c4-4ec3-8cfa-b987206c1f3d","Code","C13717","Code_450","http://www.cdisc.org"
"TEMP","2023-12-15","f710c020-248d-409b-acd2-9eac01fcb523","Code","C174446","Code_451","http://www.cdisc.org"
"WEIGHT","2023-12-15","d8b67781-2832-4306-a0eb-dd63b4c628d3","Code","C25208","Code_452","http://www.cdisc.org"
"Clinical Test Result","2023-12-15","59c460f2-b19c-4e60-862b-eae8e85ed3d2","Code","C77140","Code_453","http://www.cdisc.org"
"Pound","2023-12-15","a84c4cb5-abb5-432d-b34b-d0c40eb63d25","Code","C48531","Code_454","http://www.cdisc.org"
"Gram","2023-12-15","d2ffa3b3-273b-4c10-a37a-bf2cf1293f55","Code","C48155","Code_455","http://www.cdisc.org"
"Kilogram","2023-12-15","f42e4702-d770-43a5-8838-968f78ca138a","Code","C28252","Code_456","http://www.cdisc.org"
"Unit of Weight","2023-12-15","4abc9005-a65e-4a79-8a00-c8261d401c6a","Code","C48208","Code_457","http://www.cdisc.org"
"WEIGHT","2023-12-15","f897fd7a-bd0f-43ce-b247-c5674bab5083","Code","C25208","Code_458","http://www.cdisc.org"
"HEIGHT","2023-12-15","9e5298aa-c692-4ac9-bafc-b25c55991cfc","Code","C25347","Code_459","http://www.cdisc.org"
"Clinical Test Result","2023-12-15","d5281b6c-79d0-457e-b16f-89d5451b1de0","Code","C77140","Code_460","http://www.cdisc.org"
"Centimeter","2023-12-15","9fae5bd0-c904-43d9-be21-a16850c630b1","Code","C49668","Code_461","http://www.cdisc.org"
"Inch","2023-12-15","f31bbaf1-e765-4b2e-a11b-dc20d65c9a18","Code","C48500","Code_462","http://www.cdisc.org"
"Meter","2023-12-15","f0ffbbf9-ba18-4396-a7e5-2dd947d2a71d","Code","C41139","Code_463","http://www.cdisc.org"
"Unit of Height","2023-12-15","fe5cb154-b572-4d29-831f-1336fb742536","Code","C168688","Code_464","http://www.cdisc.org"
"HEIGHT","2023-12-15","96834732-1ae7-4f99-b600-985249146743","Code","C25347","Code_465","http://www.cdisc.org"
"ALT","2023-12-15","1b329757-7c5e-4fd9-8ce4-197aec09998b","Code","C64433","Code_466","http://www.cdisc.org"
"Laboratory Test Result","2023-12-15","c1c52909-727e-4e9a-a99d-e20ff0c27577","Code","C36292","Code_467","http://www.cdisc.org"
"Unit per Liter","2023-12-15","39b33eef-7a56-4bd1-a28f-80129f1e6dc8","Code","C67456","Code_468","http://www.cdisc.org"
"Microkatal per Liter","2023-12-15","42a00ed7-33ba-4f6a-b1f5-475601ab5299","Code","C67397","Code_469","http://www.cdisc.org"
"International Unit per Liter","2023-12-15","2a8ca70c-e9c2-41cf-a53b-12bd024de29e","Code","C67376","Code_470","http://www.cdisc.org"
"Nanokatal per Liter","2023-12-15","5d2a7891-c994-446f-a902-9aaa24d8cd5f","Code","C70510","Code_471","http://www.cdisc.org"
"Unit of Catalytic Activity Concentration","2023-12-15","6238d20e-e9c3-4d76-8360-b367008b59c5","Code","C67365","Code_472","http://www.cdisc.org"
"Biospecimen Type","2023-12-15","81f8fab5-4cd1-47a3-86ea-87bdba498f66","Code","C70713","Code_473","http://www.cdisc.org"
"No","2023-12-15","0f5e44cd-3f6e-46f0-a38b-66b5756e953d","Code","C49487","Code_474","http://www.cdisc.org"
"Yes","2023-12-15","33f5977f-3ee3-42b8-98cb-57f25f1a7ed5","Code","C49488","Code_475","http://www.cdisc.org"
"Laboratory Test Fasting Status","2023-12-15","dffcc672-6d96-41de-a5b2-1839a570afae","Code","C83309","Code_476","http://www.cdisc.org"
"ALT","2023-12-15","3cd15fdf-68f8-499f-b728-a8e8f05f158e","Code","C64433","Code_477","http://www.cdisc.org"
"ALB","2023-12-15","7249c3cd-36f2-4c83-8f18-9be3a51ae42c","Code","C64431","Code_478","http://www.cdisc.org"
"Laboratory Test Result","2023-12-15","bee67cd5-a9a1-4345-905b-9494fd0ef1bf","Code","C36292","Code_479","http://www.cdisc.org"
"Biospecimen Type","2023-12-15","68d10910-747f-4415-8f8e-316dfc8bd1a1","Code","C70713","Code_480","http://www.cdisc.org"
"No","2023-12-15","008d9b3f-502a-489f-97ab-20ef5c5e72e9","Code","C49487","Code_481","http://www.cdisc.org"
"Yes","2023-12-15","8fd26249-fc56-4e42-b599-14e2e4725995","Code","C49488","Code_482","http://www.cdisc.org"
"Laboratory Test Fasting Status","2023-12-15","64fe5fbf-6754-431a-b1fe-1d27db3931c0","Code","C83309","Code_483","http://www.cdisc.org"
"ALB","2023-12-15","80030347-651b-412d-ae79-b80006f097a8","Code","C64431","Code_484","http://www.cdisc.org"
"ALP","2023-12-15","73b0ae9b-a422-4616-8552-ecfbc4b9d700","Code","C64432","Code_485","http://www.cdisc.org"
"Laboratory Test Result","2023-12-15","d25288c3-5ed0-4159-8d8c-dbe1521b9d4a","Code","C36292","Code_486","http://www.cdisc.org"
"Unit per Liter","2023-12-15","726c87ce-08cd-46a4-81b9-1a1ff9f07393","Code","C67456","Code_487","http://www.cdisc.org"
"Microkatal per Liter","2023-12-15","e9cd2de9-adf3-40b8-b5a2-4e5ab3ad879b","Code","C67397","Code_488","http://www.cdisc.org"
"International Unit per Liter","2023-12-15","3892ddae-b4e5-4af0-9bd5-7c900fc7c8c7","Code","C67376","Code_489","http://www.cdisc.org"
"Unit of Catalytic Activity Concentration","2023-12-15","38ef93bf-b818-49cb-9257-d5dc2c467140","Code","C67365","Code_490","http://www.cdisc.org"
"Biospecimen Type","2023-12-15","75624071-35ef-4f62-9dde-ac061db94319","Code","C70713","Code_491","http://www.cdisc.org"
"No","2023-12-15","b59a5f96-9add-4004-bb1d-e467dcfb1f94","Code","C49487","Code_492","http://www.cdisc.org"
"Yes","2023-12-15","7f7d663e-b2ac-42e0-98cd-d56f2ca04b82","Code","C49488","Code_493","http://www.cdisc.org"
"Laboratory Test Fasting Status","2023-12-15","3f15b0ed-64db-449f-86e5-00fe0fd9685d","Code","C83309","Code_494","http://www.cdisc.org"
"ALP","2023-12-15","6699d327-92ee-489c-86d7-2294cee9d4ac","Code","C64432","Code_495","http://www.cdisc.org"
"AST","2023-12-15","bacf4824-10ab-4580-a60e-3610b695670c","Code","C64467","Code_496","http://www.cdisc.org"
"Laboratory Test Result","2023-12-15","682e637d-d6c1-4965-92fb-485a4dd153d6","Code","C36292","Code_497","http://www.cdisc.org"
"Unit per Liter","2023-12-15","ef57fdb4-2a5c-4f76-ae04-ed2d03638486","Code","C67456","Code_498","http://www.cdisc.org"
"Microkatal per Liter","2023-12-15","4ef23402-8995-435f-8832-e91babb48bd0","Code","C67397","Code_499","http://www.cdisc.org"
"International Unit per Liter","2023-12-15","26dce10b-547c-48ad-90e6-d1a016dfe59e","Code","C67376","Code_500","http://www.cdisc.org"
"Unit of Catalytic Activity Concentration","2023-12-15","cbac7731-5709-469c-a165-023ef08b3990","Code","C67365","Code_501","http://www.cdisc.org"
"Biospecimen Type","2023-12-15","ac974682-b6f2-4df3-b905-5b10a607ec7f","Code","C70713","Code_502","http://www.cdisc.org"
"No","2023-12-15","9d0a239a-23cd-40d3-9b80-bb9b73e44e62","Code","C49487","Code_503","http://www.cdisc.org"
"Yes","2023-12-15","7ecd9e03-952e-46dc-8f8d-c4729c97e8cc","Code","C49488","Code_504","http://www.cdisc.org"
"Laboratory Test Fasting Status","2023-12-15","1a1de2bd-e62e-4032-b767-7dfaa091d948","Code","C83309","Code_505","http://www.cdisc.org"
"AST","2023-12-15","589e8d5a-8e0c-4449-b050-b790fbff8e98","Code","C64467","Code_506","http://www.cdisc.org"
"CREAT","2023-12-15","bab21539-2ff9-40de-9461-1deda17bf3d8","Code","C64547","Code_507","http://www.cdisc.org"
"Laboratory Test Result","2023-12-15","7cc7ffba-980c-48ca-90a1-bb7390ccdf0c","Code","C36292","Code_508","http://www.cdisc.org"
"Milligram per Deciliter","2023-12-15","3bc1baa7-d397-4a4f-8cf9-aaa98518a4f4","Code","C67015","Code_509","http://www.cdisc.org"
"Microgram per Milliliter","2023-12-15","06e5fda7-dd50-48ba-8f14-c0bafa7f1b56","Code","C64572","Code_510","http://www.cdisc.org"
"Millimole per Liter","2023-12-15","202abce4-dd6a-44bf-9378-1ff726bc4c37","Code","C64387","Code_511","http://www.cdisc.org"
"Micromole per Liter","2023-12-15","c9e8c95f-6ef0-4d99-a484-e67d34a50e0c","Code","C48508","Code_512","http://www.cdisc.org"
"Unit of Concentration","2023-12-15","39acf35a-36e3-42b2-b7ff-e38f49dddcd3","Code","C48207","Code_513","http://www.cdisc.org"
"Biospecimen Type","2023-12-15","2b807389-0fe3-47fa-ba53-c74a19b4f6d1","Code","C70713","Code_514","http://www.cdisc.org"
"No","2023-12-15","e1412a92-5935-4f06-9629-41d5cd290fcf","Code","C49487","Code_515","http://www.cdisc.org"
"Yes","2023-12-15","17f7b927-1e77-4f28-85a7-b5e5786b5931","Code","C49488","Code_516","http://www.cdisc.org"
"Laboratory Test Fasting Status","2023-12-15","22925a7f-c1b8-4677-aae6-98527df8c051","Code","C83309","Code_517","http://www.cdisc.org"
"CREAT","2023-12-15","cfe41625-6c44-4a60-8daa-2abf2037a941","Code","C64547","Code_518","http://www.cdisc.org"
"K","2023-12-15","2db5fef3-fc18-47d9-ab91-b3399dc9f563","Code","C64853","Code_519","http://www.cdisc.org"
"Laboratory Test Result","2023-12-15","cd2b9d2f-b784-4fa3-80c7-4fc605acd2bc","Code","C36292","Code_520","http://www.cdisc.org"
"Milliequivalent per Liter","2023-12-15","caab54b6-0ac3-40b7-915a-377df9dc16d5","Code","C67474","Code_521","http://www.cdisc.org"
"Milliequivalent per Deciliter","2023-12-15","9607419c-6812-4403-8cc4-28fb4cd17e4e","Code","C67473","Code_522","http://www.cdisc.org"
"Millimole per Liter","2023-12-15","15b3f5ea-4edb-4677-a321-8e0c3d168cf6","Code","C64387","Code_523","http://www.cdisc.org"
"Molarity Unit","2023-12-15","b116d28e-102a-4a21-81e6-1fd41ff4bb76","Code","C64567","Code_524","http://www.cdisc.org"
"Biospecimen Type","2023-12-15","8a55398d-cbe5-482a-8dcf-2b114b7bb84a","Code","C70713","Code_525","http://www.cdisc.org"
"No","2023-12-15","937ff1cb-b3b2-4889-b4d8-9e7c955f23fd","Code","C49487","Code_526","http://www.cdisc.org"
"Yes","2023-12-15","4828097f-06bd-459f-a291-0f374fbfa51e","Code","C49488","Code_527","http://www.cdisc.org"
"Laboratory Test Fasting Status","2023-12-15","0a0c0b92-9c93-40df-b49b-8796399810a6","Code","C83309","Code_528","http://www.cdisc.org"
"K","2023-12-15","8fbaf4b2-c3e3-461b-aad7-09aec42f8aba","Code","C64853","Code_529","http://www.cdisc.org"
"SODIUM","2023-12-15","6691daf3-4974-437d-a978-b7055c05cb2c","Code","C64809","Code_530","http://www.cdisc.org"
"Laboratory Test Result","2023-12-15","95217f80-86b4-4957-9966-a1ecd0ccb52e","Code","C36292","Code_531","http://www.cdisc.org"
"Milliequivalent per Liter","2023-12-15","31f45275-dc9f-4c92-8be5-6d860181e64a","Code","C67474","Code_532","http://www.cdisc.org"
"Milliequivalent per Deciliter","2023-12-15","0f85f294-3215-44a1-93ae-75080eab1fe2","Code","C67473","Code_533","http://www.cdisc.org"
"Millimole per Liter","2023-12-15","30336b9f-f7a9-46af-8815-904f05aa9503","Code","C64387","Code_534","http://www.cdisc.org"
"Molarity Unit","2023-12-15","591cd501-0fd3-4a72-ab63-e1a4f8af04d0","Code","C64567","Code_535","http://www.cdisc.org"
"Biospecimen Type","2023-12-15","5e4e54a8-09f7-4771-8201-6555032cbb3d","Code","C70713","Code_536","http://www.cdisc.org"
"No","2023-12-15","51ea46e5-5903-43b2-a6d4-0a268b78e341","Code","C49487","Code_537","http://www.cdisc.org"
"Yes","2023-12-15","edeb7192-d824-4010-8976-f32b3f229fae","Code","C49488","Code_538","http://www.cdisc.org"
"Laboratory Test Fasting Status","2023-12-15","11fe8457-4f38-4247-8fed-bcc7d4358568","Code","C83309","Code_539","http://www.cdisc.org"
"SODIUM","2023-12-15","cecdfa36-1014-4a6d-afa8-4a7e0f57fc84","Code","C64809","Code_540","http://www.cdisc.org"
"HBA1C","2023-12-15","0f67bbec-2c10-4f48-95d5-4efcc72c91fc","Code","C64849","Code_541","http://www.cdisc.org"
"Laboratory Test Result","2023-12-15","4ffd9db2-bd56-4255-bf6d-f90c8a068028","Code","C36292","Code_542","http://www.cdisc.org"
"Gram per Deciliter","2023-12-15","b8bd05df-b73e-4dae-91d0-884ec6eb9a3d","Code","C64783","Code_543","http://www.cdisc.org"
"LBORRESU","2023-12-15","3a88f608-6a6b-4394-a83f-22b5faed404d","Code","No Concept Code","Code_544","http://www.cdisc.org"
"Biospecimen Type","2023-12-15","108b0d4d-63bf-4412-9baf-d4305a9135a5","Code","C70713","Code_545","http://www.cdisc.org"
"No","2023-12-15","c7ab664c-ac1e-4794-8705-37a74f749de0","Code","C49487","Code_546","http://www.cdisc.org"
"Yes","2023-12-15","1e14a66e-70fa-434e-a43a-f589d976d8d0","Code","C49488","Code_547","http://www.cdisc.org"
"Laboratory Test Fasting Status","2023-12-15","4b4f88cd-68ee-4529-83e1-a9534925616d","Code","C83309","Code_548","http://www.cdisc.org"
"HBA1C","2023-12-15","25f10a27-ff80-41f1-a2e1-5256d28b0789","Code","C64849","Code_549","http://www.cdisc.org"
"Adverse Event Verbatim Description","2023-12-15","798aa41d-dace-4ba4-98d9-cc6430e75d2d","Code","C78541","Code_145","http://www.cdisc.org"
"Adverse Event Dictionary Derived Term","2023-12-15","9ef7bf82-c0d4-4287-ac5d-dfd2e90bf2d9","Code","C83344","Code_146","http://www.cdisc.org"
"No","2023-12-15","f19f526c-f007-44de-ad34-8acc1b419938","Code","C49487","Code_147","http://www.cdisc.org"
"Yes","2023-12-15","c7198388-502f-433c-9dc3-6651a52cee13","Code","C49488","Code_148","http://www.cdisc.org"
"Adverse Event Pre-specified","2023-12-15","bd9c0206-8daf-4d80-9a68-722600e3d07b","Code","C87840","Code_149","http://www.cdisc.org"
"Adverse Event Location","2023-12-15","8d77ef98-5d9f-404a-a850-9877b46cec0d","Code","C83205","Code_150","http://www.cdisc.org"
"Severity of Adverse Event","2023-12-15","506359ab-ea50-4107-af05-9e1a206809c8","Code","C53253","Code_151","http://www.cdisc.org"
"No","2023-12-15","29739377-85fc-496c-bef2-4fcbc231209f","Code","C49487","Code_152","http://www.cdisc.org"
"Yes","2023-12-15","82f28cbe-10a0-4f46-bda3-442edc34b97b","Code","C49488","Code_153","http://www.cdisc.org"
"Seriousness of Adverse Event","2023-12-15","42f82ade-7934-4771-b4d3-4e43c95ccbe1","Code","C53252","Code_154","http://www.cdisc.org"
"Adverse Event Action Taken with Study Treatment","2023-12-15","b821490e-2ff2-4c4c-8fd3-759e79fe0e41","Code","C83013","Code_155","http://www.cdisc.org"
"Other Actions taken in Response to Adverse Event","2023-12-15","00bd9342-fb3f-4835-9c61-adad354aad2a","Code","C83109","Code_156","http://www.cdisc.org"
"Adverse Event Attribution to Product or Procedure","2023-12-15","23a8cc5c-2d17-4112-8e20-e5bb465fa522","Code","C41358","Code_157","http://www.cdisc.org"
"Adverse Event Relationship to Non Study Treatment","2023-12-15","26b7a807-8a3a-4241-8522-17eb44c43eca","Code","C83210","Code_158","http://www.cdisc.org"
"Adverse Event Pattern","2023-12-15","bfd8ebbd-1a6d-4ded-bc75-ff5597dab3dd","Code","C83208","Code_159","http://www.cdisc.org"
"Adverse Event Outcome","2023-12-15","5234c785-fee4-421c-b362-dda35b9fcb2f","Code","C49489","Code_160","http://www.cdisc.org"
"No","2023-12-15","6d98b66e-d4c5-444c-8d9d-5a2bd1b96127","Code","C49487","Code_161","http://www.cdisc.org"
"Yes","2023-12-15","1bfa6acc-ae80-455a-9b1e-0f6275ffa560","Code","C49488","Code_162","http://www.cdisc.org"
"Adverse Event Involves Cancer","2023-12-15","2e397f72-26ae-4cb5-91b5-6bfcb8efe0ff","Code","C83211","Code_163","http://www.cdisc.org"
"No","2023-12-15","88a4201a-2ef6-483f-a135-ef7ecb0acd3f","Code","C49487","Code_164","http://www.cdisc.org"
"Yes","2023-12-15","3818e310-2318-4c22-aa4f-2ea7b123ef96","Code","C49488","Code_165","http://www.cdisc.org"
"Adverse Event Seriousness Due to Congenital Anomaly","2023-12-15","565c6674-82b8-4c2e-b259-a85947ccdc2d","Code","C83117","Code_166","http://www.cdisc.org"
"No","2023-12-15","a686cd3c-9bec-47da-97a7-47aeae996dcd","Code","C49487","Code_167","http://www.cdisc.org"
