"name","uuid:ID","sectionNumber","text","sectionTitle","id"
"SECTION 5.3","81fffd2a-1854-45f1-a2ee-2099d6f95086","5.3","<div><p>Inclusion criteria are:</p>
<ul>
  <li>1. Something</li>
  <li>2. Something else</li>
</ul></div>","Inclusion Criteria","NarrativeContent_23"
"SECTION 5.4","ee487072-4762-48b2-bb9c-6663bfbfebf2","5.4","<div><p>Exclusion criteria are:</p>
<ul>
  <li>1. Dont do this</li>
  <li>2. And don't do that</li>
</ul></div>","Exclusion Criteria","NarrativeContent_24"
"SECTION 5.5","fb1f5839-a781-45dc-91c1-edb5960cca51","5.5","<div></div>","Lifestyle Considerations","NarrativeContent_25"
"SECTION 5.5.1","6b4b3413-0d93-4f91-aeb6-0fe554fead52","5.5.1","<div></div>","Meals and Dietary Restrictions","NarrativeContent_26"
"SECTION 5.5.2","bf29a9f4-5cdc-4177-bb58-9b2e8fa1faf7","5.5.2","<div></div>","Caffeine, Alcohol, Tobacco, and Other Habits","NarrativeContent_27"
"SECTION 5.5.3","cda4f063-711d-4625-b75e-348ffef403d6","5.5.3","<div></div>","Physical Activity","NarrativeContent_28"
"SECTION 5.5.4","952ed03d-adb0-48cd-82a5-424dfc81ccff","5.5.4","<div></div>","Other Activity","NarrativeContent_29"
"SECTION 5.6","78e99c9b-a309-4c71-84d8-65c2eb429043","5.6","<div></div>","Screen Failures","NarrativeContent_30"
"SECTION 6","a94e6d80-832e-44e5-868f-3abec76411c7","6","<div></div>","TRIAL INTERVENTION AND CONCOMITANT THERAPY","NarrativeContent_31"
"SECTION 6.1","5ae38adb-b0d3-43b7-8a6e-fb7999b7b70c","6.1","<div></div>","Description of Trial Intervention","NarrativeContent_32"
"SECTION 6.2","35547021-7218-4e88-ad36-be131a0bee85","6.2","<div></div>","Rationale for Trial Intervention","NarrativeContent_33"
"SECTION 6.3","e3cb3bb8-2a39-47c7-b21e-ab631ced8fe9","6.3","<div></div>","Dosing and Administration","NarrativeContent_34"
"SECTION 6.3.1","c20406ee-3d49-4e1e-a73c-a0eada1857b6","6.3.1","<div></div>","Trial Intervention Dose Modification","NarrativeContent_35"
"SECTION 6.4","ba77bcfe-b78b-4df2-ab36-4d55ec5428a3","6.4","<div></div>","Treatment of Overdose","NarrativeContent_36"
"SECTION 6.5","21fbac19-53e4-4314-895a-7717ea19aa4c","6.5","<div></div>","Preparation, Handling, Storage and Accountability","NarrativeContent_37"
"SECTION 6.5.1","d03e6f51-9cd3-4d9a-b2c2-cd638603769c","6.5.1","<div></div>","Preparation of Trial Intervention","NarrativeContent_38"
"SECTION 6.5.2","65822309-3edc-4c96-88ff-d68767fe9037","6.5.2","<div></div>","Handling and Storage of Trial Intervention","NarrativeContent_39"
"SECTION 6.5.3","97a5e25c-d614-4b0d-98a2-0b1cb833bd3b","6.5.3","<div></div>","Accountability of Trial Intervention","NarrativeContent_40"
"SECTION 6.6","06ea2b33-d1b6-45b0-b1fd-8b6314ee3e5d","6.6","<div></div>","Participant Assignment, Randomisation and Blinding","NarrativeContent_41"
"SECTION 6.6.1","159e0acb-8e6d-4ac7-86fa-b2438cda236b","6.6.1","<div></div>","Participant Assignment","NarrativeContent_42"
"SECTION 6.6.2","8b47d889-5a1e-455b-9bd5-ce02caa74a66","6.6.2","<div></div>","Randomisation","NarrativeContent_43"
"SECTION 6.6.3","7414897e-d189-4243-b884-e02a2bc35307","6.6.3","<div><p>Blinding and unblinding text here please</p></div>","Blinding and Unblinding","NarrativeContent_44"
"SECTION 6.7","8ff9bcf7-e63a-442b-a118-18e3c767c080","6.7","<div></div>","Trial Intervention Compliance","NarrativeContent_45"
"SECTION 6.8","a3ab27d3-d6d4-4993-bab8-4b711f18df16","6.8","<div></div>","Concomitant Therapy","NarrativeContent_46"
"SECTION 6.8.1","4d792e6b-1d19-46ce-822e-066babc2be6b","6.8.1","<div></div>","Prohibited Concomitant Therapy","NarrativeContent_47"
"SECTION 6.8.2","d33a9a5c-5430-4448-9253-44a8dd66b6fa","6.8.2","<div></div>","Permitted Concomitant Therapy","NarrativeContent_48"
"SECTION 6.8.3","697b63b2-f59e-4986-a8fa-bb8cbd432883","6.8.3","<div></div>","Rescue Therapy","NarrativeContent_49"
"SECTION 6.8.4","0df434c2-3a8a-4fdf-b0ee-f7d88457d4f5","6.8.4","<div></div>","Other Therapy","NarrativeContent_50"
"SECTION 7","a696b745-8662-4e31-a994-7f23b3752775","7","<div></div>","DISCONTINUATION OF TRIAL INTERVENTION AND PARTICIPANT WITHDRAWAL FROM TRIAL","NarrativeContent_51"
"SECTION 7.1","c242a2a5-34f7-4265-80a5-dfd7a285dcd8","7.1","<div></div>","Discontinuation of Trial Intervention","NarrativeContent_52"
"SECTION 7.1.1","cdd7120c-f513-4317-8ef5-2d78f95b05fe","7.1.1","<div></div>","Criteria for Permanent Discontinuation of Trial Intervention","NarrativeContent_53"
"SECTION 7.1.2","3a4a1ca0-6780-419d-8dd0-02024ed65c4c","7.1.2","<div></div>","Temporary Discontinuation or Interruption of Trial Intervention","NarrativeContent_54"
"SECTION 7.1.3","52fd46fc-a0f6-440d-b830-37794691edcf","7.1.3","<div></div>","Rechallenge","NarrativeContent_55"
"SECTION 7.2","dbcd00a5-e46c-4efb-b1cb-8f38bd65fb3a","7.2","<div></div>","Participant Withdrawal from the Trial","NarrativeContent_56"
"SECTION 7.3","0516a1e0-ba10-4b0b-b400-05ca8a6c37d0","7.3","<div></div>","Lost to Follow-Up","NarrativeContent_57"
"SECTION 7.4","b40a2283-9734-4a7b-aa37-c415b35a51ac","7.4","<div></div>","Trial Stopping Rules","NarrativeContent_58"
"SECTION 8","09230e4e-e9c0-4cb1-a179-748dc2dafa41","8","<div></div>","TRIAL ASSESSMENTS AND PROCEDURES","NarrativeContent_59"
"SECTION 8.1","8838d368-4351-489e-bd13-715ea68cd8a1","8.1","<div></div>","Screening/Baseline Assessments and Procedures","NarrativeContent_60"
"SECTION 8.2","8e8731aa-0f3b-4649-8a7c-95567f9513ef","8.2","<div></div>","Efficacy Assessments and Procedures","NarrativeContent_61"
"SECTION 8.3","bdc5c265-fe2a-4110-b846-037079793c48","8.3","<div></div>","Safety Assessments and Procedures","NarrativeContent_62"
"SECTION 8.3.1","13dbc8e3-d3cc-43f9-9b86-80feee5008c5","8.3.1","<div></div>","Physical Examination","NarrativeContent_63"
"SECTION 8.3.2","a4de8dc0-18e6-483a-843b-177e743552a6","8.3.2","<div></div>","Vital Signs","NarrativeContent_64"
"SECTION 8.3.3","2cd400af-d0ff-43bb-b880-b5638cffd9c3","8.3.3","<div></div>","Electrocardiograms","NarrativeContent_65"
"SECTION 8.3.4","df7984e0-67e9-44bc-b944-8a5c8cc697c8","8.3.4","<div></div>","Clinical Laboratory Assessments","NarrativeContent_66"
"SECTION 8.3.5","d4a032ab-7953-4205-8068-0f014c6d25ff","8.3.5","<div></div>","Suicidal Ideation and Behaviour Risk Monitoring","NarrativeContent_67"
"SECTION 8.4","f49a90a5-f2f8-4d60-91e1-fea22710007b","8.4","<div></div>","Adverse Events and Serious Adverse Events","NarrativeContent_68"
"SECTION 8.4.1","d916031f-7eb0-44fd-938a-b235541ed92a","8.4.1","<div></div>","Definitions of AE and SAE","NarrativeContent_69"
"SECTION 8.4.2","1a232005-f29b-493e-8f1d-f1209f0e3eae","8.4.2","<div></div>","Time Period and Frequency for Collecting AE and SAE Information","NarrativeContent_70"
"SECTION 8.4.3","3cc7efcf-eecc-4d91-98c8-d8a9553979ca","8.4.3","<div></div>","Identifying AEs and SAEs","NarrativeContent_71"
"SECTION 8.4.4","b2c93cfb-7aca-4af6-8756-37ccb2ff8361","8.4.4","<div></div>","Recording of AEs and SAEs","NarrativeContent_72"
"SECTION 8.4.5","ad635bc6-d1fe-413e-b501-4b3bbad9a44c","8.4.5","<div></div>","Follow-up of AEs and SAEs","NarrativeContent_73"
"SECTION 8.4.6","4e679ac7-f03a-4de8-a48e-d6c2881e1abd","8.4.6","<div></div>","Reporting of SAEs","NarrativeContent_74"
"SECTION 8.4.7","bfe90259-c11b-4f39-ba04-eb30c61a1fbc","8.4.7","<div></div>","Regulatory Reporting Requirements for SAEs","NarrativeContent_75"
"SECTION 8.4.8","a82dd076-6b11-45d6-b1d2-7fdb5bc9ddf8","8.4.8","<div></div>","Serious and Unexpected Adverse Reaction Reporting","NarrativeContent_76"
"SECTION 8.4.9","89961669-b35c-40cb-ab76-f20fbf273e36","8.4.9","<div></div>","Adverse Events of Special Interest","NarrativeContent_77"
"SECTION 8.4.10","d25852df-bcf1-4ccf-a5ab-97f338591439","8.4.10","<div></div>","Disease-related Events or Outcomes Not Qualifying as AEs or SAEs","NarrativeContent_78"
"SECTION 8.5","44c56af7-c835-4671-9c2b-4491b0cc4113","8.5","<div></div>","Pregnancy and Postpartum Information","NarrativeContent_79"
"SECTION 8.5.1","e4e6002d-68d0-4fe6-80ec-b67c5c47b8c6","8.5.1","<div></div>","Participants Who Become Pregnant During the Trial","NarrativeContent_80"
"SECTION 8.5.2","d260736b-2d98-4407-ac0e-89d03d2ce8b7","8.5.2","<div></div>","Participants Whose Partners Become Pregnant","NarrativeContent_81"
"SECTION 8.6","977db37e-42c4-4ade-aa19-48587f1dab8e","8.6","<div></div>","Medical Device Product Complaints for Drug/Device Combination Products","NarrativeContent_82"
"SECTION 8.6.1","a594ceb4-57af-4979-9c60-85361ee81399","8.6.1","<div></div>","Definition of Medical Device Product Complaints","NarrativeContent_83"
"SECTION 8.6.2","9eb10baa-50ef-4387-aa6c-dad79568fc7e","8.6.2","<div></div>","Recording of Medical Device Product Complaints","NarrativeContent_84"
"SECTION 8.6.3","3c9eadb5-d28f-4a3c-a1d4-08e3b86e167c","8.6.3","<div></div>","Time Period and Frequency for Collecting Medical Device Product Complaints .","NarrativeContent_85"
"SECTION 8.6.4","b6ed3aef-7a55-41f6-90cc-319846338754","8.6.4","<div></div>","Follow-Up of Medical Device Product Complaints","NarrativeContent_86"
"SECTION 8.6.5","e3cd096b-58bb-457a-8361-c56a279555ff","8.6.5","<div></div>","Regulatory Reporting Requirements for Medical Device Product Complaints","NarrativeContent_87"
"SECTION 8.7","15701f72-e0c2-418d-9794-9dc89d9184d4","8.7","<div></div>","Pharmacokinetics","NarrativeContent_88"
"SECTION 8.8","b1838305-2bc4-42a5-8e0f-2367a9853967","8.8","<div></div>","Genetics","NarrativeContent_89"
"SECTION 8.9","047509ca-b2da-4da1-854d-443122de4913","8.9","<div></div>","Biomarkers","NarrativeContent_90"
"SECTION 8.1","d2af7e6f-01dd-437d-a77f-5ca9575bf89d","8.1","<div></div>","Immunogenicity Assessments","NarrativeContent_91"
"SECTION 8.1.1","a9d1b6ce-c36a-4eaa-af7f-e748732ef308","8.1.1","<div></div>","Medical Resource Utilisation and Health Economics","NarrativeContent_92"
"SECTION 9","8921eb87-c8c9-40dc-b00f-4b0f05e7bc2e","9","<div></div>","STATISTICAL CONSIDERATIONS","NarrativeContent_93"
"SECTION 9.1","088d5b5a-783b-4d33-8651-9386e7876f55","9.1","<div></div>","Analysis Sets","NarrativeContent_94"
"SECTION 9.2","8e251126-7817-425e-911a-da50927afc45","9.2","<div></div>","Analyses Supporting Primary Objective(s)","NarrativeContent_95"
"SECTION 9.2.1","f32f218d-2959-4fd8-9d9a-97675bf41797","9.2.1","<div></div>","Statistical Model, Hypothesis, and Method of Analysis","NarrativeContent_96"
"SECTION 9.2.2","9220abc8-073f-400c-9fd5-64d8329fb7c3","9.2.2","<div></div>","Handling of Intercurrent Events of Primary Estimand(s)","NarrativeContent_97"
"SECTION 9.2.3","befc3caa-1659-4dbd-8dc0-82209a9ff36b","9.2.3","<div></div>","Handling of Missing Data","NarrativeContent_98"
"SECTION 9.2.4","528e580a-bbe0-4729-9cbb-503eeaf7aa4b","9.2.4","<div></div>","Sensitivity Analysis","NarrativeContent_99"
"SECTION 9.2.5","3c9c0157-0c52-4df8-8d20-8e330c7fa8af","9.2.5","<div></div>","Supplementary Analysis","NarrativeContent_100"
"SECTION 9.3","ed8e0278-6a10-4dc4-84fe-1d06005db734","9.3","<div></div>","Analysis Supporting Secondary Objective(s)","NarrativeContent_101"
"SECTION 9.4","2fb93684-3b3e-4331-9361-1742b77e45be","9.4","<div></div>","Analysis of Exploratory Objective(s)","NarrativeContent_102"
"SECTION 9.5","61dc9d25-be99-45a1-80a7-4c746f39b646","9.5","<div></div>","Safety Analyses","NarrativeContent_103"
"SECTION 9.6","c72b7453-0968-402e-8ef0-bc677a146014","9.6","<div></div>","Other Analyses","NarrativeContent_104"
"SECTION 9.7","5f47612b-dd3c-4841-891d-548e3fff1670","9.7","<div></div>","Interim Analyses","NarrativeContent_105"
"SECTION 9.8","7ba27814-2cfb-4c38-94dd-81a50be40279","9.8","<div></div>","Sample Size Determination","NarrativeContent_106"
"SECTION 9.9","46b763da-883e-48f0-9fee-8da827f45d79","9.9","<div></div>","Protocol Deviations","NarrativeContent_107"
"SECTION 10","d93c3b87-1ff6-4578-89bc-8d5a9b14ad9a","10","<div></div>","GENERAL CONSIDERATIONS: REGULATORY, ETHICAL, AND TRIAL OVERSIGHT","NarrativeContent_108"
"SECTION 10.1","5da90c20-efab-4063-bc20-d174e5a6b57c","10.1","<div></div>","Regulatory and Ethical Considerations","NarrativeContent_109"
"SECTION 10.2","4f3b7556-531a-41a8-8879-c0e39db6d5f9","10.2","<div></div>","Committees","NarrativeContent_110"
"SECTION 10.3","968a4152-f36d-4672-aee0-677fe35cf08a","10.3","<div></div>","Informed Consent Process","NarrativeContent_111"
"SECTION 10.4","736e38e8-e3b4-48bb-a629-7dbb7d29e373","10.4","<div></div>","Data Protection","NarrativeContent_112"
"SECTION 10.5","d79faa7b-cf77-4695-82c2-ce0b553c2dac","10.5","<div></div>","Early Site Closure or Trial Termination","NarrativeContent_113"
"SECTION 11","f7b83a6a-23db-463d-8f5e-c853029f0b1d","11","<div></div>","GENERAL CONSIDERATIONS: RISK MANAGEMENT AND QUALITY ASSURANCE","NarrativeContent_114"
"SECTION 11.1","0f9fff8f-e893-4dfe-89b0-c18a97e80326","11.1","<div></div>","Quality Tolerance Limits","NarrativeContent_115"
"SECTION 11.2","d08a72be-7a94-42b5-bbff-aae11831c896","11.2","<div></div>","Data Quality Assurance","NarrativeContent_116"
"SECTION 11.3","4877a8ff-fc60-4249-a998-b34ac0dff300","11.3","<div></div>","Source Data","NarrativeContent_117"
"SECTION 12","06b485a4-b628-44fd-980c-6c47071c1b11","12","<div></div>","APPENDIX: ADVERSE EVENTS AND SERIOUS ADVERSE EVENTS - DEFINITIONS, SEVERITY, AND CAUSALITY","NarrativeContent_118"
"SECTION 12.1","3468304a-7195-42f3-8455-658bac0413f9","12.1","<div></div>","Further Details and Clarifications on the AE Definition","NarrativeContent_119"
"SECTION 12.2","46694310-d265-46f3-95d4-22bae53888e4","12.2","<div></div>","Further Details and Clarifications on the SAE Definition","NarrativeContent_120"
"SECTION 12.3","6e0ac120-7744-4a90-899d-2ce1645e9a64","12.3","<div></div>","Severity","NarrativeContent_121"
"SECTION 12.4","7a55715e-45ba-4d81-b255-49804fae5db0","12.4","<div></div>","Causality","NarrativeContent_122"
"SECTION 13","4e99f700-6b65-4774-84f6-4d9ac8d3f2ce","13","<div></div>","APPENDIX: DEFINITIONS AND SUPPORTING OPERATIONAL DETAILS","NarrativeContent_123"
"SECTION 13.1","6a2d6e9c-5678-40ff-bd4b-beb8c5012410","13.1","<div></div>","Contraception and Pregnancy Testing","NarrativeContent_124"
"SECTION 13.1.1","0df7864d-40f4-436b-bbb8-a61464c28ed3","13.1.1","<div></div>","Definitions Related to Childbearing Potential","NarrativeContent_125"
"SECTION 13.1.2","69623c53-dcca-47dd-aa92-24cecac72951","13.1.2","<div></div>","Contraception","NarrativeContent_126"
"SECTION 13.1.3","2cf0679b-5fed-4beb-b48e-59f0df780319","13.1.3","<div></div>","Pregnancy Testing","NarrativeContent_127"
"SECTION 13.2","a22d8806-7cbb-4b8b-ba09-0dfebe8adcba","13.2","<div></div>","Clinical Laboratory Tests","NarrativeContent_128"
"SECTION 13.3","4ea061e5-4ac5-40d5-8dd2-bb57667e1f97","13.3","<div></div>","Country/Region-Specific Differences","NarrativeContent_129"
"SECTION 13.4","a37076e1-2c53-4bfc-9f9d-59feab49ff6c","13.4","<div></div>","Prior Protocol Amendments","NarrativeContent_130"
"SECTION 14","c7c8da6f-9287-4b38-a19d-0122c502e696","14","<div></div>","APPENDIX: GLOSSARY OF TERMS","NarrativeContent_131"
"SECTION 15","84f75731-b456-4bc6-b10f-0cda8e7ad42a","15","<div></div>","APPENDIX: REFERENCES","NarrativeContent_132"
