"decode","uuid:ID","codeSystemVersion","id","codeSystem","code"
"Sex","c4f8d3cc-73d2-4ae5-b88d-cc5a7d29a4a5","","Code_74","NCI Thesaurus","C28421"
"Sex","d29b38a1-990d-4869-9ed4-70dee5c24db3","","Code_71","NCI Thesaurus","C28421"
"Race","16989f44-3a4f-49e5-8528-936d1c1d556d","","Code_76","NCI Thesaurus","C17049"
"Race","31fa622c-a1e5-4ad7-ad08-be8c64b6fe5f","","Code_75","NCI Thesaurus","C17049"
"Vital Signs Result","f7b8c20c-800c-49d2-a430-e86a726ffe05","","Code_78","NCI Thesaurus","C173522"
"Kilogram","94f744ca-9055-43de-8df2-6b2fbc8781ff","2023-09-29","Code_79","http://www.cdisc.org","C28252"
"Gram","9404ba4b-78b7-4be2-bd3a-3be7ca4f2b49","2023-09-29","Code_80","http://www.cdisc.org","C48155"
"Pound","53bc38a0-9327-4a11-b59f-f00b153c6f8e","2023-09-29","Code_81","http://www.cdisc.org","C48531"
"Unit of Weight","9164fb9c-f912-46cf-974e-abd9b3de44eb","","Code_82","NCI Thesaurus","C48208"
"Body Weight","f9ca9f87-02f5-4e8b-b53d-ee743bc04435","","Code_77","NCI Thesaurus","C81328"
"Active Comparator Arm","432b7845-7839-4301-a426-9b3540a6e327","2023-09-29","Code_31","http://www.cdisc.org","C174267"
"Data Generated Within Study","dc64f33f-5eb0-44ba-a58c-e87ca5899496","2023-09-29","Code_32","http://www.cdisc.org","C188866"
"Placebo Comparator Arm","223badc7-a505-4607-a3dd-c265126d4272","2023-09-29","Code_33","http://www.cdisc.org","C174268"
"Data Generated Within Study","fa5281fb-96e1-454f-8f41-eed0c679b966","2023-09-29","Code_34","http://www.cdisc.org","C188866"
"Open Label Study","0a74a780-f3ec-4ae2-a2b8-9f53a9e6174d","2023-09-29","Code_41","http://www.cdisc.org","C49659"
"Trial Screening","bdba17ac-9ef6-4ed0-967f-6710e42e746c","2023-09-29","Code_35","http://www.cdisc.org","C48262"
"Baseline Epoch","4e9f026f-2415-4aec-9bbd-3dc684d6ddfe","2023-09-29","Code_36","http://www.cdisc.org","C125938"
"Treatment Epoch","5126d603-4716-427d-bd04-f70305dc0851","2023-09-29","Code_37","http://www.cdisc.org","C101526"
"Clinical Study Follow-up","0c6775b3-4c8a-407a-bc71-3e5504596ca2","2023-09-29","Code_38","http://www.cdisc.org","C99158"
"Indication1","dd6c581b-c59b-4f30-8de7-122007e0b684","January 31, 2018","Code_83","SNOMED","12345"
"Indication2","32c8f51c-b567-4ea6-a9cf-c4116c8b4c84","January 31, 2018","Code_84","SNOMED","345678"
"role1","2e1ce56f-ed70-4040-9d0b-a299908d5586","None set","Code_90","M11","role1"
"Pharmacologic Substance","6cf7def9-5617-4671-95d9-ff64139ca2cb","2023-09-29","Code_91","http://www.cdisc.org","C1909"
"Day","6dfc305b-191a-4615-b988-703bf55ade3e","2023-09-29","Code_94","http://www.cdisc.org","C25301"
"B","b70815e7-57ed-4b3d-af78-52907520d29f","12","Code_89","SPONSOR","A"
"Percentage","ab36bdf1-ddb9-4f96-bea3-c6b702628e7b","2023-09-29","Code_85","http://www.cdisc.org","C25613"
"Milligram","b3920de5-8e16-4cf0-ba5b-cb828473782a","2023-09-29","Code_87","http://www.cdisc.org","C28253"
"Dental Route of Administration","5fa539d5-9313-4e34-a7ea-5fde0781a35b","2023-09-29","Code_86","http://www.cdisc.org","C38197"
"Ten Days Per Month","a55d9e5e-381c-4c66-b89b-2b0e21014234","2023-09-29","Code_88","http://www.cdisc.org","C139179"
"desig_1","064ea6e4-e2d8-451c-9ca8-bb635caf7e49","None set","Code_93","M11","desig1"
"B","0c094170-21cc-4287-882d-aa29d58c421b","None set","Code_92","FDA","A"
"role2","b8744359-3957-4972-809b-419d69b5472f","None set","Code_100","M11","role2"
"Pharmacologic Substance","81f854ab-0718-4a3a-87cf-ebead16e98a4","2023-09-29","Code_101","http://www.cdisc.org","C1909"
"Day","51a60e7c-3136-4fd5-9ba1-531e843443dd","2023-09-29","Code_104","http://www.cdisc.org","C25301"
"B","b9277ea2-0b69-46f7-9e3a-0af8675ee4af","12","Code_99","SPONSOR","A"
"Percentage","72196b78-bbed-4029-92f9-cb1fa9e29050","2023-09-29","Code_95","http://www.cdisc.org","C25613"
"Milligram","e1807040-8c2e-4e48-bc3a-cedfc51cf05a","2023-09-29","Code_97","http://www.cdisc.org","C28253"
"Dental Route of Administration","cadc2afb-72a7-4a09-ac96-630a6e9729ed","2023-09-29","Code_96","http://www.cdisc.org","C38197"
"Ten Days Per Month","310c9171-81ba-48f2-9238-702b41b3d016","2023-09-29","Code_98","http://www.cdisc.org","C139179"
"desig_2","b1de7845-51b1-4ba3-8790-3db88ac18093","None set","Code_103","M11","desig2"
"B","3c4292e6-97ba-4ed0-b546-facdaf31a691","None set","Code_102","FDA","A"
"Trial Primary Objective","ecec10b8-4cb6-4c1a-aa3c-7ba9f3d1d9d2","2023-09-29","Code_111","http://www.cdisc.org","C85826"
"Primary Endpoint","5f423894-9ae0-40b8-877e-1a116e4ae913","2023-09-29","Code_110","http://www.cdisc.org","C94496"
"Trial Secondary Objective","abf0f9f1-7c67-43e5-a6f7-f51c7bb9e9bf","2023-09-29","Code_113","http://www.cdisc.org","C85827"
"Secondary Endpoint","3cfc4f87-9a5e-4236-ac00-8ef9c5d1ec5a","2023-09-29","Code_112","http://www.cdisc.org","C139173"
"Secondary Endpoint","e2300ead-72bd-4c92-94cb-1309ad5ffca3","2023-09-29","Code_114","http://www.cdisc.org","C139173"
"Secondary Endpoint","c8e0c2a8-f7a4-4dd4-8a03-111a0d539662","2023-09-29","Code_115","http://www.cdisc.org","C139173"
"Secondary Endpoint","9cf4f3f6-1358-4fc5-9f2d-64fc45b6f49b","2023-09-29","Code_116","http://www.cdisc.org","C139173"
"Secondary Endpoint","011d78e4-7393-4446-adca-bc2f17aa1f8a","2023-09-29","Code_117","http://www.cdisc.org","C139173"
"Secondary Endpoint","bef7d200-6434-40a2-a59f-a1231ba7eb9c","2023-09-29","Code_118","http://www.cdisc.org","C139173"
"Secondary Endpoint","9391213c-148d-4b9e-a21c-6e0f818c3f55","2023-09-29","Code_119","http://www.cdisc.org","C139173"
"Secondary Endpoint","ca4fee22-52e4-4322-9990-361b92ca0b3d","2023-09-29","Code_120","http://www.cdisc.org","C139173"
"Secondary Endpoint","00b31aa3-64d9-49a4-992c-12d81f593304","2023-09-29","Code_121","http://www.cdisc.org","C139173"
"Secondary Endpoint","61ec7d43-010f-46e7-b9a6-cbd2f8da0bdf","2023-09-29","Code_122","http://www.cdisc.org","C139173"
"Secondary Endpoint","85f146f5-7136-48bc-b7be-4ffabb947928","2023-09-29","Code_123","http://www.cdisc.org","C139173"
"Before","45ebca10-930f-4989-a929-09ef974e8251","2023-09-29","Code_48","http://www.cdisc.org","C201264"
"Start to Start","06abeba4-b4cd-4b72-a7bb-ba1c7196c33b","2023-09-29","Code_50","http://www.cdisc.org","C201265"
"Before","c5a44013-18ce-432e-9e75-275e47682a12","2023-09-29","Code_53","http://www.cdisc.org","C201264"
"Start to Start","aaee0b3d-fd9b-4600-a2f5-a882f7d89422","2023-09-29","Code_55","http://www.cdisc.org","C201265"
"Fixed Reference","c3d2c48d-37ea-40c5-bcf6-62a702ba07d2","2023-09-29","Code_56","http://www.cdisc.org","C201264"
"Start to Start","3d00be0d-a388-4a22-a27a-45ecc1ebc802","2023-09-29","Code_60","http://www.cdisc.org","C201265"
"After","1eac0465-50ff-4a65-9542-82d1b8e7ca1e","2023-09-29","Code_62","http://www.cdisc.org","C201264"
"Start to Start","3765a232-c092-4f94-a2ee-787deddd0ed5","2023-09-29","Code_65","http://www.cdisc.org","C201265"
"After","6ec94aa6-9245-4f2c-8228-7d25af8f0f45","2023-09-29","Code_67","http://www.cdisc.org","C201264"
"Start to Start","96593f65-e7e3-45d1-8364-a3a552449b97","2023-09-29","Code_70","http://www.cdisc.org","C201265"
"Draft","a0431142-868b-4d46-afe8-1b73992e9896","2023-09-29","Code_5","http://www.cdisc.org","C85255"
"Protocol Effective Date","2ba83011-9888-4e46-97f8-e403cd73e2f5","2023-09-29","Code_8","http://www.cdisc.org","C99903x1"
"Global","bbeab60f-4407-42cb-8279-85d7334c5392","2023-09-29","Code_9","http://www.cdisc.org","C68846"
