"codeSystem","instanceType","codeSystemVersion","id","code","decode","uuid:ID"
"SNOMED","Code","January 31, 2018","Code_135","26929004","Alzheimer's disease","d1747381-2d35-4363-9508-6c3344554a44"
"http://www.cdisc.org","Code","2023-12-15","Code_143","C99907x1","EXTENSION","a594ddcc-5453-49c8-a214-fa295c5109f5"
"http://www.cdisc.org","Code","2023-12-15","Code_144","C98704","ADAPTIVE","4afe0ba9-c23f-493a-8e6c-d08515504516"
"http://www.cdisc.org","Code","2023-12-15","Code_141","C82639","Parallel Study","510939c6-8137-43bb-b3eb-9176f9db2f29"
"http://www.cdisc.org","Code","2023-12-15","Code_83","C25716","Visit","5dcbfa04-d96e-4ea1-b5f5-5d5d8993affe"
"http://www.cdisc.org","Code","2023-12-15","Code_84","C51282","Clinic","accff32b-4e35-45b5-9ed7-4bb29a19d9fe"
"http://www.cdisc.org","Code","2023-12-15","Code_85","C175574","In Person","f8cd5348-8436-4ebe-8340-9f94c4d1b290"
"http://www.cdisc.org","Code","2023-12-15","Code_86","C25716","Visit","18fe5c76-23b1-4f8c-9d04-911b7adc9277"
"http://www.cdisc.org","Code","2023-12-15","Code_87","C51282","Clinic","00ba8807-f1ab-4de7-ba69-6a8d7ea19a13"
"http://www.cdisc.org","Code","2023-12-15","Code_88","C175574","In Person","23591d2b-1e72-4cb0-b165-76ec81f18d06"
"http://www.cdisc.org","Code","2023-12-15","Code_89","C25716","Visit","b3ff9d5b-68f0-4b8f-925c-63401abb7fa3"
"http://www.cdisc.org","Code","2023-12-15","Code_90","C51282","Clinic","a97fc06c-7a47-4308-8649-048e27e21373"
"http://www.cdisc.org","Code","2023-12-15","Code_91","C175574","In Person","c3869bd7-693a-4ce6-b6cf-a490494a49a5"
"http://www.cdisc.org","Code","2023-12-15","Code_92","C25716","Visit","20c88b46-163d-46f3-90f1-ad2e66880c01"
"http://www.cdisc.org","Code","2023-12-15","Code_93","C51282","Clinic","e235f73f-f23b-4d63-a47f-fea48dcb4360"
"http://www.cdisc.org","Code","2023-12-15","Code_94","C175574","In Person","8adba928-11bf-41e9-ba28-80b56aa94a00"
"http://www.cdisc.org","Code","2023-12-15","Code_95","C25716","Visit","a20e49b7-6aad-4e6d-a10c-0a2c6010df15"
"http://www.cdisc.org","Code","2023-12-15","Code_96","C51282","Clinic","f5994312-78f0-46a2-ac95-216707694128"
"http://www.cdisc.org","Code","2023-12-15","Code_97","C175574","In Person","d4738852-f26e-4e70-bf29-f5f966c2b380"
"http://www.cdisc.org","Code","2023-12-15","Code_98","C25716","Visit","59d3f307-1e65-4f2e-a55f-da9ecaf74d42"
"http://www.cdisc.org","Code","2023-12-15","Code_99","C51282","Clinic","9e1fcccc-a183-4e9a-b17e-da5594bfbc84"
"http://www.cdisc.org","Code","2023-12-15","Code_100","C175574","In Person","2fa49804-40dd-43dc-bf99-9beaea4dc2e4"
"http://www.cdisc.org","Code","2023-12-15","Code_101","C25716","Visit","b9fb444a-2255-4388-aaf4-3a510f8b9eb9"
"http://www.cdisc.org","Code","2023-12-15","Code_102","C51282","Clinic","70bfbd73-5ee2-4be0-bd0c-670e57dfbc60"
"http://www.cdisc.org","Code","2023-12-15","Code_103","C175574","In Person","5bd1ca0f-d579-4671-8bd2-4dbe5b6358ac"
"http://www.cdisc.org","Code","2023-12-15","Code_104","C171537","Telephone Call","f6906a92-e810-4d7e-bb06-f277bff2ad93"
"http://www.cdisc.org","Code","2023-12-15","Code_105","C25716","Visit","2a7d6a97-78d6-46e2-bcf1-7b0dfe383169"
"http://www.cdisc.org","Code","2023-12-15","Code_106","C51282","Clinic","f8df0ea9-8efd-4dce-8673-353f6311a186"
"http://www.cdisc.org","Code","2023-12-15","Code_107","C175574","In Person","d8b18d64-79f5-4c44-b048-9168ddc87690"
"http://www.cdisc.org","Code","2023-12-15","Code_108","C171537","Telephone Call","d5786a4b-8942-4e8d-a8aa-7a1084f4001d"
"http://www.cdisc.org","Code","2023-12-15","Code_109","C25716","Visit","107fa753-e599-4639-b393-671ec5012dd7"
"http://www.cdisc.org","Code","2023-12-15","Code_110","C51282","Clinic","66f05202-bc9d-4e3b-8d84-9e7bf0809047"
"http://www.cdisc.org","Code","2023-12-15","Code_111","C175574","In Person","b02c4f76-c043-458b-9784-d65c9db16fad"
"http://www.cdisc.org","Code","2023-12-15","Code_112","C171537","Telephone Call","c75a6be8-b92a-4446-ac30-586614a306bf"
"http://www.cdisc.org","Code","2023-12-15","Code_113","C25716","Visit","2f2c1522-79fb-43cc-a79c-dbac164ff612"
"http://www.cdisc.org","Code","2023-12-15","Code_114","C51282","Clinic","4547c522-3d0d-45e4-89f5-591363037f8c"
"http://www.cdisc.org","Code","2023-12-15","Code_115","C175574","In Person","e39ff0b8-fef2-4863-8567-f6459455f398"
"http://www.cdisc.org","Code","2023-12-15","Code_116","C171537","Telephone Call","8f65e222-c1ec-4b23-b9e8-87fb12eb9855"
"http://www.cdisc.org","Code","2023-12-15","Code_117","C25716","Visit","e3498e5c-d366-4c20-89ad-29ede8e8978c"
"http://www.cdisc.org","Code","2023-12-15","Code_118","C51282","Clinic","80002812-fa11-4a33-ad1e-40a43b876c21"
"http://www.cdisc.org","Code","2023-12-15","Code_119","C175574","In Person","e052629d-c6bc-43ef-944f-ef26a2a5f024"
"http://www.cdisc.org","Code","2023-12-15","Code_120","C25716","Visit","6683a653-b2c1-4d7c-a6cb-254456cdfe52"
"http://www.cdisc.org","Code","2023-12-15","Code_121","C51282","Clinic","e47fe95e-1291-4b29-ade7-3a94e32e9119"
"http://www.cdisc.org","Code","2023-12-15","Code_122","C175574","In Person","7a1482c0-cfa7-46ef-a45d-01b8c6290424"
"SNOMED","Code","January 31, 2018","Code_80","383371000119108","CT of head without contrast","dfb9ab45-0eb6-40a5-8305-ffd910ef9397"
"SPONSOR","Code","12","Code_81","123","Subject Supine","9b002735-fbf8-49a0-bbae-1416e86d67c7"
"SPONSOR","Code","12","Code_82","124","Subject Standing","e3dad917-6dd4-44e2-b3cc-927401b60b6a"
"http://www.cdisc.org","Code","2023-12-15","Code_429","C82977","Dictionary-derived Term","e18ee6d7-6ed0-4c9e-8d19-a2ff2fc1c17c"
"http://www.cdisc.org","Code","2023-12-15","Code_430","C82571","Reported Event Term","16cf912f-5535-4cee-a281-17b7e1ad2511"
"http://www.cdisc.org","Code","2023-12-15","Code_431","C82517","Observation Start Date Time","e70f612a-fd6b-4d25-a43d-6f8979f2b825"
"http://www.cdisc.org","Code","2023-12-15","Code_432","C16735","Informed Consent","f74eee52-a7ce-4178-bb6e-e3fa75e392bb"
"http://www.cdisc.org","Code","2023-12-15","Code_433","C20197","Male","c6a2017b-0e28-4bf8-9aaa-a2cc2ecb53ff"
"http://www.cdisc.org","Code","2023-12-15","Code_434","C16576","Female","fde9bc86-97b6-42d4-be2e-9727600d6c65"
"http://www.cdisc.org","Code","2023-12-15","Code_435","C28421","Sex","10853ec2-1224-426c-b3b4-0531c6cc51e2"
"http://www.cdisc.org","Code","2023-12-15","Code_436","C28421","Sex","92042775-ec12-495e-8fa8-be968772a912"
"http://www.cdisc.org","Code","2023-12-15","Code_437","C17049","Race","93985055-edd2-46ea-801e-7b7ba82e188b"
"http://www.cdisc.org","Code","2023-12-15","Code_438","C17049","Race","931473f1-f1e8-4c8e-86ad-d0db95292ec7"
"http://www.cdisc.org","Code","2023-12-15","Code_439","C174446","TEMP","d4501fac-9881-4a34-9edd-d07984f007a3"
"http://www.cdisc.org","Code","2023-12-15","Code_440","C77140","Clinical Test Result","ced1be0d-937e-4407-8a09-8bc52d034913"
"http://www.cdisc.org","Code","2023-12-15","Code_441","C42559","Degree Celsius","3639c785-e676-41df-90bf-e35b6a0a1166"
"http://www.cdisc.org","Code","2023-12-15","Code_442","C44277","Degree Fahrenheit","7e049496-d328-4dd3-9cb4-a6880ff2ee25"
"http://www.cdisc.org","Code","2023-12-15","Code_443","C42537","Kelvin","c47b6bbe-76a6-4644-af43-46681da180b7"
"http://www.cdisc.org","Code","2023-12-15","Code_444","C44276","Unit of Temperature","4af05c2e-7060-40f9-89f6-986a2eec5b69"
"http://www.cdisc.org","Code","2023-12-15","Code_445","C12674","Axilla","8cea5c99-29ba-408e-a359-a687c536d84b"
"http://www.cdisc.org","Code","2023-12-15","Code_446","C12394","Ear","e977ebc5-c3eb-4129-818e-6f8e764888f4"
"http://www.cdisc.org","Code","2023-12-15","Code_447","C89803","Forehead","201626bf-bea5-43fc-992f-4efa84bebfa7"
"http://www.cdisc.org","Code","2023-12-15","Code_448","C12421","Oral Cavity","30f559d7-63c0-4052-b8ae-2d0ba983cbd7"
"http://www.cdisc.org","Code","2023-12-15","Code_449","C12390","Rectum","fa7d0191-3f76-4540-bff5-5e2fd793e1bb"
"http://www.cdisc.org","Code","2023-12-15","Code_450","C13717","Anatomic Site","1afb7f43-29d1-4a3a-8656-e4bcf4d54f16"
"http://www.cdisc.org","Code","2023-12-15","Code_451","C174446","TEMP","44da1273-84c6-4ef7-9d0c-6e20547fa792"
"http://www.cdisc.org","Code","2023-12-15","Code_452","C25208","WEIGHT","6a45c786-30dd-42b4-96b5-9a052e29b0e9"
"http://www.cdisc.org","Code","2023-12-15","Code_453","C77140","Clinical Test Result","de5dcd4d-77ef-4b84-af86-cf5d0bdf495d"
"http://www.cdisc.org","Code","2023-12-15","Code_454","C48531","Pound","c5cd36a8-3a4e-4cba-847d-a4ffe73a2048"
"http://www.cdisc.org","Code","2023-12-15","Code_455","C48155","Gram","b7022407-351e-4cfc-9c62-808c6af12086"
"http://www.cdisc.org","Code","2023-12-15","Code_456","C28252","Kilogram","7839f7a8-38ed-4843-b5c4-fbb9bc6ee6fa"
"http://www.cdisc.org","Code","2023-12-15","Code_457","C48208","Unit of Weight","5b671152-fb7c-4210-bb55-74d84058cbbf"
"http://www.cdisc.org","Code","2023-12-15","Code_458","C25208","WEIGHT","28071fe2-0517-4591-89b1-9e7f9b5f9f24"
"http://www.cdisc.org","Code","2023-12-15","Code_459","C25347","HEIGHT","339380fa-6c4d-49a7-9ac1-e6cffda76922"
"http://www.cdisc.org","Code","2023-12-15","Code_460","C77140","Clinical Test Result","bf505e7f-ed36-4d6e-a5dc-35f77b85820d"
"http://www.cdisc.org","Code","2023-12-15","Code_461","C49668","Centimeter","8845c85f-eb6e-4b72-b8c4-71b5d368864f"
"http://www.cdisc.org","Code","2023-12-15","Code_462","C48500","Inch","e7507519-cb5f-4cc4-b90f-3e8c8b0456ca"
"http://www.cdisc.org","Code","2023-12-15","Code_463","C41139","Meter","0079e2d4-d8d7-46e3-9db5-0f9a873a335c"
"http://www.cdisc.org","Code","2023-12-15","Code_464","C168688","Unit of Height","901f42a8-dca8-4cdf-9301-77893d0c72bd"
"http://www.cdisc.org","Code","2023-12-15","Code_465","C25347","HEIGHT","b17127b5-7116-4fda-975b-1bdaf2ce73ff"
"http://www.cdisc.org","Code","2023-12-15","Code_466","C64433","ALT","9d8fd41f-c672-4ee2-b0bc-ff2c86e63152"
"http://www.cdisc.org","Code","2023-12-15","Code_467","C36292","Laboratory Test Result","73e2a7a9-3086-4a34-a268-4460c8b901bc"
"http://www.cdisc.org","Code","2023-12-15","Code_468","C67456","Unit per Liter","36df4f27-7726-4150-aa10-f3507c58833c"
"http://www.cdisc.org","Code","2023-12-15","Code_469","C67397","Microkatal per Liter","e3888e8f-93f3-43db-b94e-d6a03dff7de7"
"http://www.cdisc.org","Code","2023-12-15","Code_470","C67376","International Unit per Liter","619e2903-0447-42b8-ae04-d6e82ec80dec"
"http://www.cdisc.org","Code","2023-12-15","Code_471","C70510","Nanokatal per Liter","3a1c5378-fedd-4072-ad0a-c887e68d0930"
"http://www.cdisc.org","Code","2023-12-15","Code_472","C67365","Unit of Catalytic Activity Concentration","30865f9c-8e21-4e6b-9fb6-2bde980ace7d"
"http://www.cdisc.org","Code","2023-12-15","Code_473","C70713","Biospecimen Type","32a9b03f-f685-4dfc-99f1-707f5c6c8156"
"http://www.cdisc.org","Code","2023-12-15","Code_474","C49487","No","f2128209-3ced-4940-95ed-865aae5e8939"
"http://www.cdisc.org","Code","2023-12-15","Code_475","C49488","Yes","7a168d28-89cf-4453-8c3e-efdd928cfa64"
"http://www.cdisc.org","Code","2023-12-15","Code_476","C83309","Laboratory Test Fasting Status","b9181ecf-76f6-444c-9ac0-6e0e32ed2eac"
"http://www.cdisc.org","Code","2023-12-15","Code_477","C64433","ALT","1a9a1a3e-8a94-465e-9741-75a1ba991444"
"http://www.cdisc.org","Code","2023-12-15","Code_478","C64431","ALB","f6878ee7-50ee-439c-96df-10de79b821bf"
"http://www.cdisc.org","Code","2023-12-15","Code_479","C36292","Laboratory Test Result","288631fd-48d5-42d6-8a5a-9f2a10753811"
"http://www.cdisc.org","Code","2023-12-15","Code_480","C70713","Biospecimen Type","6407a54b-098f-4662-a24f-1b55031bd251"
"http://www.cdisc.org","Code","2023-12-15","Code_481","C49487","No","d0a6515e-0b1f-4e8f-93f6-346e619a227a"
"http://www.cdisc.org","Code","2023-12-15","Code_482","C49488","Yes","d9904d6d-533c-4c9d-8f75-8953bb6c5823"
"http://www.cdisc.org","Code","2023-12-15","Code_483","C83309","Laboratory Test Fasting Status","d193262a-cd9c-416b-8b78-3a37ea42f123"
"http://www.cdisc.org","Code","2023-12-15","Code_484","C64431","ALB","bebabd68-5742-4df2-a772-83130b74d201"
"http://www.cdisc.org","Code","2023-12-15","Code_485","C64432","ALP","eda1c889-d81b-41d9-9b44-fc23ef62d611"
"http://www.cdisc.org","Code","2023-12-15","Code_486","C36292","Laboratory Test Result","fe5465cd-c057-4978-971e-8e9bc0951680"
"http://www.cdisc.org","Code","2023-12-15","Code_487","C67456","Unit per Liter","e5f7878d-144a-4ef5-aec6-9c9a8debf4b5"
"http://www.cdisc.org","Code","2023-12-15","Code_488","C67397","Microkatal per Liter","97f6728d-79dc-4fc6-a359-66e51558f094"
"http://www.cdisc.org","Code","2023-12-15","Code_489","C67376","International Unit per Liter","091b20f0-24e0-40fc-9734-4ba1bae51067"
"http://www.cdisc.org","Code","2023-12-15","Code_490","C67365","Unit of Catalytic Activity Concentration","96678ea0-e30b-414d-8fb0-1430da438c4c"
"http://www.cdisc.org","Code","2023-12-15","Code_491","C70713","Biospecimen Type","4a05f87d-bb15-43fe-87ff-f9661d5a4f15"
"http://www.cdisc.org","Code","2023-12-15","Code_492","C49487","No","6180dfa0-e8bd-42f1-a609-d3dcd069624d"
"http://www.cdisc.org","Code","2023-12-15","Code_493","C49488","Yes","b3282b50-f293-4bd6-bf6a-3bc290a8a373"
"http://www.cdisc.org","Code","2023-12-15","Code_494","C83309","Laboratory Test Fasting Status","08367dd6-e8d1-4e87-a754-9331631d9be3"
"http://www.cdisc.org","Code","2023-12-15","Code_495","C64432","ALP","e8c24c93-8bdb-4b93-8430-c41fa4df9aa8"
"http://www.cdisc.org","Code","2023-12-15","Code_496","C64467","AST","66cdffe1-bd3f-4d49-b3fc-b0ad15ad2d3d"
"http://www.cdisc.org","Code","2023-12-15","Code_497","C36292","Laboratory Test Result","d6c6b9cb-b574-492b-adf0-b376c19e7741"
"http://www.cdisc.org","Code","2023-12-15","Code_498","C67456","Unit per Liter","c0da2a54-34a7-4aac-a1ec-17eb4a3b2e0f"
"http://www.cdisc.org","Code","2023-12-15","Code_499","C67397","Microkatal per Liter","f366a1bd-4f3f-4d2b-aee3-860fda154efb"
"http://www.cdisc.org","Code","2023-12-15","Code_500","C67376","International Unit per Liter","4045ffd1-544b-4038-ae9b-6b776b32ed18"
"http://www.cdisc.org","Code","2023-12-15","Code_501","C67365","Unit of Catalytic Activity Concentration","ddd856d9-96c4-41f6-9f09-fad50321e2c1"
"http://www.cdisc.org","Code","2023-12-15","Code_502","C70713","Biospecimen Type","4c2cdee9-a8fc-499b-b52c-3a640c005bdb"
"http://www.cdisc.org","Code","2023-12-15","Code_503","C49487","No","9685beff-d6c2-489c-a655-9c3edbf2cf71"
"http://www.cdisc.org","Code","2023-12-15","Code_504","C49488","Yes","0cde7170-7a19-4ff2-8d12-79d013213967"
"http://www.cdisc.org","Code","2023-12-15","Code_505","C83309","Laboratory Test Fasting Status","d22fdc36-6cea-4dc1-8a79-beaa941d97e4"
"http://www.cdisc.org","Code","2023-12-15","Code_506","C64467","AST","42cd087e-ddb8-45ad-aef3-fa0ab030520e"
"http://www.cdisc.org","Code","2023-12-15","Code_507","C64547","CREAT","fd75fdff-437a-4f93-b5d5-f89da30553ff"
"http://www.cdisc.org","Code","2023-12-15","Code_508","C36292","Laboratory Test Result","3534e5ea-84c7-4f2e-9049-b68e544448be"
"http://www.cdisc.org","Code","2023-12-15","Code_509","C67015","Milligram per Deciliter","99bbb72f-b343-4731-8aec-1c954c7e8122"
"http://www.cdisc.org","Code","2023-12-15","Code_510","C64572","Microgram per Milliliter","d737ce7e-2f7a-4c99-a780-295950bbf07b"
"http://www.cdisc.org","Code","2023-12-15","Code_511","C64387","Millimole per Liter","d7b89b4e-a79e-4533-999a-59c9ea46e02e"
"http://www.cdisc.org","Code","2023-12-15","Code_512","C48508","Micromole per Liter","0dab1748-90b5-4d02-a9c7-7f58b424905c"
"http://www.cdisc.org","Code","2023-12-15","Code_513","C48207","Unit of Concentration","53eba7c5-f279-4758-a909-252321546b7b"
"http://www.cdisc.org","Code","2023-12-15","Code_514","C70713","Biospecimen Type","e5a78408-b1ac-4f8a-9c43-ab518e6c56ff"
"http://www.cdisc.org","Code","2023-12-15","Code_515","C49487","No","70f53d38-c61f-4f97-8d28-a95c5c1779e4"
"http://www.cdisc.org","Code","2023-12-15","Code_516","C49488","Yes","15868033-7802-4cde-a382-8abe87fac593"
"http://www.cdisc.org","Code","2023-12-15","Code_517","C83309","Laboratory Test Fasting Status","4f121d98-2010-4678-91a9-ae43160a1c05"
"http://www.cdisc.org","Code","2023-12-15","Code_518","C64547","CREAT","16905e36-212a-4212-9d08-6a594eae330a"
"http://www.cdisc.org","Code","2023-12-15","Code_519","C64853","K","23f96781-8d73-4a12-9f1e-897aa08baf72"
"http://www.cdisc.org","Code","2023-12-15","Code_520","C36292","Laboratory Test Result","bffcac7a-145a-47ad-a8d0-fc4c48a48cd6"
"http://www.cdisc.org","Code","2023-12-15","Code_521","C67474","Milliequivalent per Liter","5fa897b3-2d0d-4b55-93f8-ca6c22d86fa6"
"http://www.cdisc.org","Code","2023-12-15","Code_522","C67473","Milliequivalent per Deciliter","d6dbbe76-c0df-47a0-9d03-a546cfee4f59"
"http://www.cdisc.org","Code","2023-12-15","Code_523","C64387","Millimole per Liter","10855d6e-536b-4e1c-a2e4-4ebbb6a12eb7"
"http://www.cdisc.org","Code","2023-12-15","Code_524","C64567","Molarity Unit","9093fb33-8bed-4c06-b7f8-a35ff6b4c3ed"
"http://www.cdisc.org","Code","2023-12-15","Code_525","C70713","Biospecimen Type","03adfa6e-be02-48f5-a9ee-ffac438b867d"
"http://www.cdisc.org","Code","2023-12-15","Code_526","C49487","No","be078104-aa69-40b6-b0bf-bee97c87989f"
"http://www.cdisc.org","Code","2023-12-15","Code_527","C49488","Yes","6c3084ec-c7ed-4767-b874-0dfae1921a1c"
"http://www.cdisc.org","Code","2023-12-15","Code_528","C83309","Laboratory Test Fasting Status","8c94c0ba-1001-4378-b68b-63378a2bca5a"
"http://www.cdisc.org","Code","2023-12-15","Code_529","C64853","K","e17f38e0-c595-4368-bb6a-345c9beee89d"
"http://www.cdisc.org","Code","2023-12-15","Code_530","C64809","SODIUM","e7d5ebb6-a0ad-4dcf-9163-7336da9e9dc2"
"http://www.cdisc.org","Code","2023-12-15","Code_531","C36292","Laboratory Test Result","4ef601fa-91ab-4ddb-ad1f-31f42511475e"
"http://www.cdisc.org","Code","2023-12-15","Code_532","C67474","Milliequivalent per Liter","d0a33e0c-4163-422e-a584-e4ade9ea89ac"
"http://www.cdisc.org","Code","2023-12-15","Code_533","C67473","Milliequivalent per Deciliter","3b642f0a-af04-46c0-b643-3bc337bff1af"
"http://www.cdisc.org","Code","2023-12-15","Code_534","C64387","Millimole per Liter","98203d4a-d2a1-45af-96dc-16861299aa64"
"http://www.cdisc.org","Code","2023-12-15","Code_535","C64567","Molarity Unit","289b89bb-4e0e-48c0-8305-703c1b8d1885"
"http://www.cdisc.org","Code","2023-12-15","Code_536","C70713","Biospecimen Type","46cd301f-bdba-4ac3-9135-1c1091ce6009"
"http://www.cdisc.org","Code","2023-12-15","Code_537","C49487","No","6f8a5365-e0f4-4cd7-86d2-9ec335544a43"
"http://www.cdisc.org","Code","2023-12-15","Code_538","C49488","Yes","10f42760-1ec5-4f20-b50d-d0f2d2073a81"
"http://www.cdisc.org","Code","2023-12-15","Code_539","C83309","Laboratory Test Fasting Status","eed72e4d-5dfb-4db2-8bde-7f709402a12d"
"http://www.cdisc.org","Code","2023-12-15","Code_540","C64809","SODIUM","860db0aa-cf8b-4ac2-95b7-7562aa1458a6"
"http://www.cdisc.org","Code","2023-12-15","Code_541","C64849","HBA1C","0e90434c-27de-433b-b8c0-4948c9ed30d7"
"http://www.cdisc.org","Code","2023-12-15","Code_542","C36292","Laboratory Test Result","66dd74d2-0f8c-4f9c-b5a7-832e7a297ff4"
"http://www.cdisc.org","Code","2023-12-15","Code_543","C64783","Gram per Deciliter","d81668d1-e091-4d49-a747-f4e6cbe48f3d"
"http://www.cdisc.org","Code","2023-12-15","Code_544","No Concept Code","LBORRESU","90b7eaa7-0c45-47c8-af35-f313179e7246"
"http://www.cdisc.org","Code","2023-12-15","Code_545","C70713","Biospecimen Type","54868c86-cc1b-410d-872d-db49897f778e"
"http://www.cdisc.org","Code","2023-12-15","Code_546","C49487","No","0109e255-7cc9-4e70-bedd-cd6a5178b407"
"http://www.cdisc.org","Code","2023-12-15","Code_547","C49488","Yes","8f4ac6f0-007d-453c-a0ab-9b78abbd0408"
"http://www.cdisc.org","Code","2023-12-15","Code_548","C83309","Laboratory Test Fasting Status","0db105dc-47e8-4d8e-84db-0309dd15090a"
"http://www.cdisc.org","Code","2023-12-15","Code_549","C64849","HBA1C","ceeb6d4c-e5dc-4230-962c-47a8c0e0c16a"
"http://www.cdisc.org","Code","2023-12-15","Code_145","C78541","Adverse Event Verbatim Description","939ab1f3-c2da-42c5-8551-68bf2f295fbd"
"http://www.cdisc.org","Code","2023-12-15","Code_146","C83344","Adverse Event Dictionary Derived Term","381c07fe-8263-4238-836f-33c4c545456b"
"http://www.cdisc.org","Code","2023-12-15","Code_147","C49487","No","66569369-b4a1-445d-9852-a0b83737efe8"
"http://www.cdisc.org","Code","2023-12-15","Code_148","C49488","Yes","4fb98908-86bb-4e0a-83ad-581096e0ca4d"
"http://www.cdisc.org","Code","2023-12-15","Code_149","C87840","Adverse Event Pre-specified","f3cf3168-e768-45b7-a2d5-16df0360a9dd"
"http://www.cdisc.org","Code","2023-12-15","Code_150","C83205","Adverse Event Location","8fd2832d-37d0-4865-8fc1-06f6807488aa"
"http://www.cdisc.org","Code","2023-12-15","Code_151","C53253","Severity of Adverse Event","f6beb5a9-b3b9-49ca-b9d6-455e15f1daa9"
"http://www.cdisc.org","Code","2023-12-15","Code_152","C49487","No","08fdf9d9-d1ec-4308-99b8-689ea31bdad2"
"http://www.cdisc.org","Code","2023-12-15","Code_153","C49488","Yes","316e5c96-8490-47a1-b0ab-63517fdec38c"
"http://www.cdisc.org","Code","2023-12-15","Code_154","C53252","Seriousness of Adverse Event","c8717a7d-bba1-4eb6-927d-b8651c1e10e3"
"http://www.cdisc.org","Code","2023-12-15","Code_155","C83013","Adverse Event Action Taken with Study Treatment","a7a3358a-43ed-41fb-8ce8-c0661e858dd9"
"http://www.cdisc.org","Code","2023-12-15","Code_156","C83109","Other Actions taken in Response to Adverse Event","dbbade29-8466-4e2f-a5d9-203060220747"
"http://www.cdisc.org","Code","2023-12-15","Code_157","C41358","Adverse Event Attribution to Product or Procedure","49a3bf6c-bc4f-49ab-9c70-86042b19d475"
"http://www.cdisc.org","Code","2023-12-15","Code_158","C83210","Adverse Event Relationship to Non Study Treatment","d2be95b7-9d33-4fc0-959d-b037ea16c4c9"
"http://www.cdisc.org","Code","2023-12-15","Code_159","C83208","Adverse Event Pattern","cb844fd2-9ec0-4a76-b5b6-fd0d2d5cb032"
"http://www.cdisc.org","Code","2023-12-15","Code_160","C49489","Adverse Event Outcome","58a64e5d-7b5c-4cc1-8a7d-ca7bff5c1b13"
"http://www.cdisc.org","Code","2023-12-15","Code_161","C49487","No","7d0de59f-9a9c-48a0-be3e-fc2078d9999b"
"http://www.cdisc.org","Code","2023-12-15","Code_162","C49488","Yes","bef0024b-fcd8-4843-bf56-edb66ec1c8dc"
"http://www.cdisc.org","Code","2023-12-15","Code_163","C83211","Adverse Event Involves Cancer","8c3f7efa-f3c5-4c21-befd-da2b0e0b1670"
"http://www.cdisc.org","Code","2023-12-15","Code_164","C49487","No","f8b186b0-5968-4e39-bdfe-b391dd689fb8"
"http://www.cdisc.org","Code","2023-12-15","Code_165","C49488","Yes","a3f51aa5-3ce3-42ac-a0fb-ef8f94cd60b2"
"http://www.cdisc.org","Code","2023-12-15","Code_166","C83117","Adverse Event Seriousness Due to Congenital Anomaly","5d5b46ac-ce88-4f3a-913d-9d4868d0fc93"
"http://www.cdisc.org","Code","2023-12-15","Code_167","C49487","No","eb53b791-7d68-4911-adf5-f4b9c1dd8e4a"
