"name","sectionTitle","uuid:ID","sectionNumber","id","instanceType","text"
"SECTION 5.5.3","Physical Activity","c5894115-eb59-4edf-95db-37b7b3609a6e","5.5.3","NarrativeContent_29","NarrativeContent","<div></div>"
"SECTION 5.5.4","Other Activity","5127102d-74b2-4ac1-be6e-608b48234853","5.5.4","NarrativeContent_30","NarrativeContent","<div></div>"
"SECTION 5.6","Screen Failures","6f6c5027-49e1-4f06-91c1-5752012658ef","5.6","NarrativeContent_31","NarrativeContent","<div></div>"
"SECTION 6","TRIAL INTERVENTION AND CONCOMITANT THERAPY","cfbbdeda-b31a-4ae7-8c58-2da31d29757a","6","NarrativeContent_32","NarrativeContent","<div></div>"
"SECTION 6.1","Description of Trial Intervention","7b21b322-53cb-4434-8f30-0e50b3de62b8","6.1","NarrativeContent_33","NarrativeContent","<div></div>"
"SECTION 6.2","Rationale for Trial Intervention","00c00145-a590-421c-a8c5-9a87f22a1ed7","6.2","NarrativeContent_34","NarrativeContent","<div></div>"
"SECTION 6.3","Dosing and Administration","7128e2be-6a54-4a09-b508-637c2e9552bf","6.3","NarrativeContent_35","NarrativeContent","<div></div>"
"SECTION 6.3.1","Trial Intervention Dose Modification","fb6201ab-87c7-4f2b-94fd-3f1040b43a7a","6.3.1","NarrativeContent_36","NarrativeContent","<div></div>"
"SECTION 6.4","Treatment of Overdose","ce205b80-9cf8-43d3-8de7-e179c8cac53f","6.4","NarrativeContent_37","NarrativeContent","<div></div>"
"SECTION 6.5","Preparation, Handling, Storage and Accountability","5d09c546-4b4b-4f71-9cf0-ee0031834732","6.5","NarrativeContent_38","NarrativeContent","<div></div>"
"SECTION 6.5.1","Preparation of Trial Intervention","05f40d53-5702-427c-aa7e-eb45f69522cc","6.5.1","NarrativeContent_39","NarrativeContent","<div></div>"
"SECTION 6.5.2","Handling and Storage of Trial Intervention","d4ed9659-1fda-4628-89de-a50b3490be9a","6.5.2","NarrativeContent_40","NarrativeContent","<div></div>"
"SECTION 6.5.3","Accountability of Trial Intervention","fc9a5a11-8506-4e67-a491-9b42c547b4f1","6.5.3","NarrativeContent_41","NarrativeContent","<div></div>"
"SECTION 6.6","Participant Assignment, Randomisation and Blinding","9a09e3ee-fd31-4ac8-ac54-84bb8fea7074","6.6","NarrativeContent_42","NarrativeContent","<div></div>"
"SECTION 6.6.1","Participant Assignment","47f738c2-0f51-4d0c-a7b4-50634a7fc740","6.6.1","NarrativeContent_43","NarrativeContent","<div></div>"
"SECTION 6.6.2","Randomisation","090a5df7-517e-4365-ac83-89fa54a09ccf","6.6.2","NarrativeContent_44","NarrativeContent","<div></div>"
"SECTION 6.6.3","Blinding and Unblinding","c1441a3d-a843-46af-90c4-281b293ce5f8","6.6.3","NarrativeContent_45","NarrativeContent","<div><p>The study will be double-blind. To further preserve the blinding of the study, only a minimum number of Lilly and CRO personnel will see the randomization table and codes before the study is complete.</p>
<p>Emergency codes generated by a computer drug-labeling system will be available to the investigator. These codes, which reveal the patients treatment group, may be opened during the study only if the choice of follow-up treatment depends on the patient’s therapy assignment.</p>
<p>The investigator should make every effort to contact the clinical research physician prior to unblinding a patient’s therapy assignment. If a patient’s therapy assignment is unblinded, Lilly must be notified immediately by telephone. After the study, the investigator must return all sealed and any opened codes.</p></div>"
"SECTION 6.7","Trial Intervention Compliance","5dd4a692-7230-4e97-88a3-527e52466ba7","6.7","NarrativeContent_46","NarrativeContent","<div></div>"
"SECTION 6.8","Concomitant Therapy","fc994754-f276-4901-b6ab-69f9caa04759","6.8","NarrativeContent_47","NarrativeContent","<div></div>"
"SECTION 6.8.1","Prohibited Concomitant Therapy","7e902f72-0edf-4f8c-b6cb-0da93192056e","6.8.1","NarrativeContent_48","NarrativeContent","<div></div>"
"SECTION 6.8.2","Permitted Concomitant Therapy","46a1b78c-15d9-4a17-8378-5832ce2da511","6.8.2","NarrativeContent_49","NarrativeContent","<div></div>"
"SECTION 6.8.3","Rescue Therapy","05d52c8e-18f0-488e-9d30-8c6dcdee7c79","6.8.3","NarrativeContent_50","NarrativeContent","<div></div>"
"SECTION 6.8.4","Other Therapy","815ccf23-8489-4f31-87f2-d8e1f3bca886","6.8.4","NarrativeContent_51","NarrativeContent","<div></div>"
"SECTION 7","DISCONTINUATION OF TRIAL INTERVENTION AND PARTICIPANT WITHDRAWAL FROM TRIAL","e50bbd73-f4b4-48c4-af39-3187504b914a","7","NarrativeContent_52","NarrativeContent","<div></div>"
"SECTION 7.1","Discontinuation of Trial Intervention","c6fd1f4b-0eaf-4470-9366-36dc450b4869","7.1","NarrativeContent_53","NarrativeContent","<div></div>"
"SECTION 7.1.1","Criteria for Permanent Discontinuation of Trial Intervention","03f5d4e9-c8e3-4cec-98e9-a61e5a77e638","7.1.1","NarrativeContent_54","NarrativeContent","<div></div>"
"SECTION 7.1.2","Temporary Discontinuation or Interruption of Trial Intervention","7d57f396-cf10-422c-ad08-7dcd6ba59e04","7.1.2","NarrativeContent_55","NarrativeContent","<div></div>"
"SECTION 7.1.3","Rechallenge","68f5f334-2b2f-41e3-8d7c-f2cbf40f66f3","7.1.3","NarrativeContent_56","NarrativeContent","<div></div>"
"SECTION 7.2","Participant Withdrawal from the Trial","1cda9996-205f-4b3f-80d8-bf83cd2541d6","7.2","NarrativeContent_57","NarrativeContent","<div></div>"
"SECTION 7.3","Lost to Follow-Up","65975fc1-4122-4633-b885-bc50615eff03","7.3","NarrativeContent_58","NarrativeContent","<div></div>"
"SECTION 7.4","Trial Stopping Rules","77d6452d-a63e-4a0b-91b6-93626f8ec9c7","7.4","NarrativeContent_59","NarrativeContent","<div></div>"
"SECTION 8","TRIAL ASSESSMENTS AND PROCEDURES","a9dbdfb5-4f64-4e99-9733-220af82ac9ba","8","NarrativeContent_60","NarrativeContent","<div></div>"
"SECTION 8.1","Screening/Baseline Assessments and Procedures","5a09c33f-5d31-4892-afcf-c6964c74ee9a","8.1","NarrativeContent_61","NarrativeContent","<div></div>"
"SECTION 8.2","Efficacy Assessments and Procedures","cb34968d-3ffd-4f9c-97ba-eab515111d8b","8.2","NarrativeContent_62","NarrativeContent","<div></div>"
"SECTION 8.3","Safety Assessments and Procedures","084504ea-2da0-43c7-807c-08fb8743dcc7","8.3","NarrativeContent_63","NarrativeContent","<div></div>"
"SECTION 8.3.1","Physical Examination","f0d57ac1-508d-419c-900f-86495dfcb47f","8.3.1","NarrativeContent_64","NarrativeContent","<div></div>"
"SECTION 8.3.2","Vital Signs","8798b00a-76ca-435e-800c-1214abc72e84","8.3.2","NarrativeContent_65","NarrativeContent","<div></div>"
"SECTION 8.3.3","Electrocardiograms","8371a006-3c91-4ed0-90e3-b8355af2980b","8.3.3","NarrativeContent_66","NarrativeContent","<div></div>"
"SECTION 8.3.4","Clinical Laboratory Assessments","7ff2c25c-4ed4-41bf-a4ca-0f07016bad25","8.3.4","NarrativeContent_67","NarrativeContent","<div></div>"
"SECTION 8.3.5","Suicidal Ideation and Behaviour Risk Monitoring","754c78ce-18e9-43de-8057-c2b80ebc1b68","8.3.5","NarrativeContent_68","NarrativeContent","<div></div>"
"SECTION 8.4","Adverse Events and Serious Adverse Events","123e3712-2da4-4ca9-8d14-04aebdf10d9a","8.4","NarrativeContent_69","NarrativeContent","<div></div>"
"SECTION 8.4.1","Definitions of AE and SAE","211e2fd7-376b-44e2-8239-0189ac20601d","8.4.1","NarrativeContent_70","NarrativeContent","<div></div>"
"SECTION 8.4.2","Time Period and Frequency for Collecting AE and SAE Information","f93f9310-7873-4ca6-808f-9675e9bcc828","8.4.2","NarrativeContent_71","NarrativeContent","<div></div>"
"SECTION 8.4.3","Identifying AEs and SAEs","4dcc6519-1d81-4f6d-a029-5758960024de","8.4.3","NarrativeContent_72","NarrativeContent","<div></div>"
"SECTION 8.4.4","Recording of AEs and SAEs","c76cb8a2-c35e-481d-ac82-9768d7863ba7","8.4.4","NarrativeContent_73","NarrativeContent","<div></div>"
"SECTION 8.4.5","Follow-up of AEs and SAEs","ed268d70-3829-4119-b6bc-39ff1c2e4162","8.4.5","NarrativeContent_74","NarrativeContent","<div></div>"
"SECTION 8.4.6","Reporting of SAEs","5ce5fbc7-5516-40e1-bcef-3217412ea67f","8.4.6","NarrativeContent_75","NarrativeContent","<div></div>"
"SECTION 8.4.7","Regulatory Reporting Requirements for SAEs","0502cca6-b820-4754-9b41-322e9ad1c92a","8.4.7","NarrativeContent_76","NarrativeContent","<div></div>"
"SECTION 8.4.8","Serious and Unexpected Adverse Reaction Reporting","df936f56-c882-48ad-9e81-d1a97d57b1fa","8.4.8","NarrativeContent_77","NarrativeContent","<div></div>"
"SECTION 8.4.9","Adverse Events of Special Interest","c3ff84ce-d1cf-432a-913c-c70373f8fbd5","8.4.9","NarrativeContent_78","NarrativeContent","<div></div>"
"SECTION 8.4.10","Disease-related Events or Outcomes Not Qualifying as AEs or SAEs","138d865c-7e03-424f-bb68-c849f59218c1","8.4.10","NarrativeContent_79","NarrativeContent","<div></div>"
"SECTION 8.5","Pregnancy and Postpartum Information","b7a05fe6-4643-4bc2-973a-80814462f83f","8.5","NarrativeContent_80","NarrativeContent","<div></div>"
"SECTION 8.5.1","Participants Who Become Pregnant During the Trial","03685873-1411-4678-8806-5514c80e4789","8.5.1","NarrativeContent_81","NarrativeContent","<div></div>"
"SECTION 8.5.2","Participants Whose Partners Become Pregnant","73b19866-c316-4976-98c1-6e59b840b95d","8.5.2","NarrativeContent_82","NarrativeContent","<div></div>"
"SECTION 8.6","Medical Device Product Complaints for Drug/Device Combination Products","26b5a136-db3a-4468-b840-2928a5714dc0","8.6","NarrativeContent_83","NarrativeContent","<div></div>"
"SECTION 8.6.1","Definition of Medical Device Product Complaints","1b868e50-9279-4bd2-b02b-5e2a7891a4da","8.6.1","NarrativeContent_84","NarrativeContent","<div></div>"
"SECTION 8.6.2","Recording of Medical Device Product Complaints","fc65b35d-0373-4d8e-bc56-798f31643530","8.6.2","NarrativeContent_85","NarrativeContent","<div></div>"
"SECTION 8.6.3","Time Period and Frequency for Collecting Medical Device Product Complaints .","5e4fd98b-d4ee-4132-8899-182fb351fd52","8.6.3","NarrativeContent_86","NarrativeContent","<div></div>"
"SECTION 8.6.4","Follow-Up of Medical Device Product Complaints","fc528c46-629a-4255-96ed-81ff92a877cb","8.6.4","NarrativeContent_87","NarrativeContent","<div></div>"
"SECTION 8.6.5","Regulatory Reporting Requirements for Medical Device Product Complaints","d7c66388-bedc-4617-aa71-f36f73c2915e","8.6.5","NarrativeContent_88","NarrativeContent","<div></div>"
"SECTION 8.7","Pharmacokinetics","11429fc6-2d42-486c-b7d8-6968d24f5dfd","8.7","NarrativeContent_89","NarrativeContent","<div></div>"
"SECTION 8.8","Genetics","a6e62da7-8dea-48b5-81b1-6dabda317a5f","8.8","NarrativeContent_90","NarrativeContent","<div></div>"
"SECTION 8.9","Biomarkers","1e7db7b8-15b4-4f26-81db-885e66c69bb5","8.9","NarrativeContent_91","NarrativeContent","<div></div>"
"SECTION 8.1","Immunogenicity Assessments","bb112464-cdd9-4fff-aa76-53c15d2ef779","8.1","NarrativeContent_92","NarrativeContent","<div></div>"
"SECTION 8.1.1","Medical Resource Utilisation and Health Economics","021daf0c-7e42-4fe3-9b61-65978c6b854e","8.1.1","NarrativeContent_93","NarrativeContent","<div></div>"
"SECTION 9","STATISTICAL CONSIDERATIONS","4dbff709-5ba1-4ab1-a664-73e9c6220d84","9","NarrativeContent_94","NarrativeContent","<div></div>"
"SECTION 9.1","Analysis Sets","522936f9-0ca5-44fa-9fe2-5493ce22851b","9.1","NarrativeContent_95","NarrativeContent","<div></div>"
"SECTION 9.2","Analyses Supporting Primary Objective(s)","f1efede1-825f-4545-8737-698f3871e935","9.2","NarrativeContent_96","NarrativeContent","<div></div>"
"SECTION 9.2.1","Statistical Model, Hypothesis, and Method of Analysis","2b3d7477-2fb7-4df2-90d7-e0e89cce7988","9.2.1","NarrativeContent_97","NarrativeContent","<div></div>"
"SECTION 9.2.2","Handling of Intercurrent Events of Primary Estimand(s)","8a189e18-18f5-4074-9153-6079aa2c8791","9.2.2","NarrativeContent_98","NarrativeContent","<div></div>"
"SECTION 9.2.3","Handling of Missing Data","eb622d34-fdd6-47df-b0bf-1e726cdbc7a1","9.2.3","NarrativeContent_99","NarrativeContent","<div></div>"
"SECTION 9.2.4","Sensitivity Analysis","26845f94-1b94-4388-8584-918e410bb10d","9.2.4","NarrativeContent_100","NarrativeContent","<div></div>"
"SECTION 9.2.5","Supplementary Analysis","fcb68d2e-91b0-4d70-8d0f-8d7b304198f1","9.2.5","NarrativeContent_101","NarrativeContent","<div></div>"
"SECTION 9.3","Analysis Supporting Secondary Objective(s)","9cd9b0b4-641c-4a02-84dc-efb39e8e7781","9.3","NarrativeContent_102","NarrativeContent","<div></div>"
"SECTION 9.4","Analysis of Exploratory Objective(s)","436ca681-ff0b-4441-8832-aeeee3c3d7a2","9.4","NarrativeContent_103","NarrativeContent","<div></div>"
"SECTION 9.5","Safety Analyses","f1f1f6c4-6844-425f-9055-b933261e2921","9.5","NarrativeContent_104","NarrativeContent","<div></div>"
"SECTION 9.6","Other Analyses","8b8300f0-bc54-40a7-8525-2bbd33cf9444","9.6","NarrativeContent_105","NarrativeContent","<div></div>"
"SECTION 9.7","Interim Analyses","c23deba4-cdf8-44b2-b56e-eeadef38a0b4","9.7","NarrativeContent_106","NarrativeContent","<div></div>"
"SECTION 9.8","Sample Size Determination","9f5e6ec7-0154-478f-9beb-727e3fc1abfa","9.8","NarrativeContent_107","NarrativeContent","<div></div>"
"SECTION 9.9","Protocol Deviations","11347f9f-4f8f-4dc9-bcc7-c31eb072b6d1","9.9","NarrativeContent_108","NarrativeContent","<div></div>"
"SECTION 10","GENERAL CONSIDERATIONS: REGULATORY, ETHICAL, AND TRIAL OVERSIGHT","3571c4cd-c35c-4bef-87cc-0db5e8b1079d","10","NarrativeContent_109","NarrativeContent","<div></div>"
"SECTION 10.1","Regulatory and Ethical Considerations","792e41c0-a1fe-4495-a332-9197d69234f6","10.1","NarrativeContent_110","NarrativeContent","<div></div>"
"SECTION 10.2","Committees","497ea665-b6c0-4591-9e2e-3f0965db0fa5","10.2","NarrativeContent_111","NarrativeContent","<div></div>"
"SECTION 10.3","Informed Consent Process","e27c81c9-0c7e-4155-b980-05371f789481","10.3","NarrativeContent_112","NarrativeContent","<div></div>"
"SECTION 10.4","Data Protection","7bce3b59-83bf-4083-a898-6a2df70f646f","10.4","NarrativeContent_113","NarrativeContent","<div></div>"
"SECTION 10.5","Early Site Closure or Trial Termination","9d9c3a06-1503-4acd-9e89-dc2e41790893","10.5","NarrativeContent_114","NarrativeContent","<div></div>"
"SECTION 11","GENERAL CONSIDERATIONS: RISK MANAGEMENT AND QUALITY ASSURANCE","ecae7922-1ce7-43e6-b320-ce754c635f2b","11","NarrativeContent_115","NarrativeContent","<div></div>"
"SECTION 11.1","Quality Tolerance Limits","9444d56d-1e59-45b4-9e7b-381603f9b4c8","11.1","NarrativeContent_116","NarrativeContent","<div></div>"
"SECTION 11.2","Data Quality Assurance","4bc85c90-a971-436d-bb63-975f47d605da","11.2","NarrativeContent_117","NarrativeContent","<div></div>"
"SECTION 11.3","Source Data","42629c57-9200-4a68-af94-d5e4176aca62","11.3","NarrativeContent_118","NarrativeContent","<div></div>"
"SECTION 12","APPENDIX: ADVERSE EVENTS AND SERIOUS ADVERSE EVENTS - DEFINITIONS, SEVERITY, AND CAUSALITY","6886a551-3a77-4558-9911-db6bf9e0241c","12","NarrativeContent_119","NarrativeContent","<div></div>"
"SECTION 12.1","Further Details and Clarifications on the AE Definition","db9623cd-1803-4f35-b967-d52ffa32c8b6","12.1","NarrativeContent_120","NarrativeContent","<div></div>"
"SECTION 12.2","Further Details and Clarifications on the SAE Definition","cfbf53fc-507d-4099-86c2-2b304894e6a8","12.2","NarrativeContent_121","NarrativeContent","<div></div>"
"SECTION 12.3","Severity","77d2b0ff-61ba-418d-aaa3-db09331cd031","12.3","NarrativeContent_122","NarrativeContent","<div></div>"
"SECTION 12.4","Causality","c4e93e8d-e476-41c7-82b0-19714f5d9edf","12.4","NarrativeContent_123","NarrativeContent","<div></div>"
"SECTION 13","APPENDIX: DEFINITIONS AND SUPPORTING OPERATIONAL DETAILS","56bb9fa4-b1da-4525-97c5-1ea0fbdb3683","13","NarrativeContent_124","NarrativeContent","<div></div>"
"SECTION 13.1","Contraception and Pregnancy Testing","5a23bf19-8d9c-4a14-a8f2-b860ec571bb3","13.1","NarrativeContent_125","NarrativeContent","<div></div>"
"SECTION 13.1.1","Definitions Related to Childbearing Potential","782099a7-3742-4731-bbd5-5093bcf609b4","13.1.1","NarrativeContent_126","NarrativeContent","<div></div>"
"SECTION 13.1.2","Contraception","e01173b4-89bd-4e4d-aa97-7f13aa45c51e","13.1.2","NarrativeContent_127","NarrativeContent","<div></div>"
"SECTION 13.1.3","Pregnancy Testing","b7b25587-a174-4809-ae5f-420d44ab3459","13.1.3","NarrativeContent_128","NarrativeContent","<div></div>"
"SECTION 13.2","Clinical Laboratory Tests","bb26287a-8fc7-4bdd-a679-89ba3f8e0c94","13.2","NarrativeContent_129","NarrativeContent","<div></div>"
"SECTION 13.3","Country/Region-Specific Differences","2037e4fa-ca25-4ffe-b6ac-12f2be887a7b","13.3","NarrativeContent_130","NarrativeContent","<div></div>"
"SECTION 13.4","Prior Protocol Amendments","12c7b967-7f9b-44fa-aad2-1ef8885192d4","13.4","NarrativeContent_131","NarrativeContent","<div></div>"
"SECTION 14","APPENDIX: GLOSSARY OF TERMS","93d7485e-16c7-4c2e-ba03-b5d23bfde084","14","NarrativeContent_132","NarrativeContent","<div></div>"
"SECTION 15","APPENDIX: REFERENCES","88b6caa0-05dc-4439-94ea-11abf177012c","15","NarrativeContent_133","NarrativeContent","<div></div>"
