"name","synonyms","reference","uuid:ID","id","instanceType","label"
"Alkaline Phosphatase Measurement","['Alkaline Phosphatase']","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64432","53f69b9c-8565-4b12-a609-0c16d0d1e609","BiomedicalConcept_9","BiomedicalConcept","Alkaline Phosphatase Measurement"
"Aspartate Aminotransferase Measurement","['AST', 'SGOT']","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64467","47efb7b1-b5c3-4608-98a9-6f33fb6610f4","BiomedicalConcept_10","BiomedicalConcept","Aspartate Aminotransferase Measurement"
"Creatinine Measurement","['Creatinine']","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64547","3a97ee3b-da8d-46b9-aa5a-46a6db339a77","BiomedicalConcept_11","BiomedicalConcept","Creatinine Measurement"
"Potassium Measurement","['Potassium', 'K']","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64853","d8b5e266-6f83-484d-aec9-57d58a5f88f2","BiomedicalConcept_12","BiomedicalConcept","Potassium Measurement"
"Sodium Measurement","['Sodium', 'NA']","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64809","f0863db6-2480-487a-966e-0886bba46266","BiomedicalConcept_13","BiomedicalConcept","Sodium Measurement"
"Systolic Blood Pressure","['SYSBP']","/mdr/bc/packages/2023-12-12/biomedicalconcepts/C25298","a8f9200e-87c2-4cbf-8bd0-9a10b0a121ef","BiomedicalConcept_14","BiomedicalConcept","Systolic Blood Pressure"
"Diastolic Blood Pressure","['DIABP']","/mdr/bc/packages/2023-12-12/biomedicalconcepts/C25299","ecd49255-4f02-4e39-8921-8783825bef16","BiomedicalConcept_15","BiomedicalConcept","Diastolic Blood Pressure"
"Heart Rate","","/mdr/bc/packages/2023-12-12/biomedicalconcepts/C49677","75c882f3-3528-4fb1-8674-4c8c57fa3dc6","BiomedicalConcept_16","BiomedicalConcept","Heart Rate"
"Systolic Blood Pressure","['SYSBP']","/mdr/bc/packages/2023-12-12/biomedicalconcepts/C25298","055ccb80-2caa-4526-b95b-698012e273f2","BiomedicalConcept_17","BiomedicalConcept","Systolic Blood Pressure"
"Diastolic Blood Pressure","['DIABP']","/mdr/bc/packages/2023-12-12/biomedicalconcepts/C25299","44726519-52ca-4ad6-ae39-30f34fe1335d","BiomedicalConcept_18","BiomedicalConcept","Diastolic Blood Pressure"
"Heart Rate","","/mdr/bc/packages/2023-12-12/biomedicalconcepts/C49677","1c205116-f1eb-4ff0-a165-cbe596222958","BiomedicalConcept_19","BiomedicalConcept","Heart Rate"
