"uuid:ID","reference","name","id","synonyms","label","instanceType"
"c0ad4467-5cfa-4199-b7a3-f473d0502431","/mdr/bc/packages/2023-12-12/biomedicalconcepts/C41331","Adverse Event","BiomedicalConcept_1","","Adverse Event","BiomedicalConcept"
"8eedd19c-4c5f-4326-9258-3303966a4211","/mdr/bc/packages/2023-12-12/biomedicalconcepts/C25298","Systolic Blood Pressure","BiomedicalConcept_2","['SYSBP']","Systolic Blood Pressure","BiomedicalConcept"
"2f8a38ef-9bd8-4d4b-ac16-4e8f8baf13ef","/mdr/bc/packages/2023-12-12/biomedicalconcepts/C25299","Diastolic Blood Pressure","BiomedicalConcept_3","['DIABP']","Diastolic Blood Pressure","BiomedicalConcept"
"555789ed-44d6-466a-9f1f-615554432d79","/mdr/bc/packages/2023-12-12/biomedicalconcepts/C174446","Body Temperature","BiomedicalConcept_4","['Temperature']","Body Temperature","BiomedicalConcept"
"cba07da9-96bb-4b54-94cd-03c94978e462","/mdr/bc/packages/2023-12-12/biomedicalconcepts/C81328","Body Weight","BiomedicalConcept_5","['Weight']","Body Weight","BiomedicalConcept"
"f5b5bf32-4daf-4320-9ec3-90463c04dc6e","/mdr/bc/packages/2023-12-12/biomedicalconcepts/C164634","Body Height","BiomedicalConcept_6","['Height']","Body Height","BiomedicalConcept"
"116514ee-084f-4691-8e55-636e7d78a094","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64433","Alanine Aminotransferase Measurement","BiomedicalConcept_7","['ALT', 'SGPT']","Alanine Aminotransferase Measurement","BiomedicalConcept"
"903f5317-4b16-4c41-ad84-a17179566982","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64431","Albumin Measurement","BiomedicalConcept_8","['Albumin']","Albumin Measurement","BiomedicalConcept"
"011b78b4-3bab-42b9-9f40-13d806d3e05e","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64432","Alkaline Phosphatase Measurement","BiomedicalConcept_9","['Alkaline Phosphatase']","Alkaline Phosphatase Measurement","BiomedicalConcept"
"55c6fc38-1d00-474e-9e75-ab0f8d12e105","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64467","Aspartate Aminotransferase Measurement","BiomedicalConcept_10","['AST', 'SGOT']","Aspartate Aminotransferase Measurement","BiomedicalConcept"
"32153dc4-0c82-4c22-91ef-c652afaffe88","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64547","Creatinine Measurement","BiomedicalConcept_11","['Creatinine']","Creatinine Measurement","BiomedicalConcept"
"c70554a7-8689-4b21-8030-d3819d030670","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64853","Potassium Measurement","BiomedicalConcept_12","['Potassium', 'K']","Potassium Measurement","BiomedicalConcept"
"ab8c5994-2931-43cb-a5b9-53d09cde062b","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64809","Sodium Measurement","BiomedicalConcept_13","['Sodium', 'NA']","Sodium Measurement","BiomedicalConcept"
"5a231d0a-1b10-4723-9fe6-64d367654d52","/mdr/bc/packages/2023-12-12/biomedicalconcepts/C25298","Systolic Blood Pressure","BiomedicalConcept_14","['SYSBP']","Systolic Blood Pressure","BiomedicalConcept"
"9835e344-32b3-43e4-81f5-8b62c442b6c0","/mdr/bc/packages/2023-12-12/biomedicalconcepts/C25299","Diastolic Blood Pressure","BiomedicalConcept_15","['DIABP']","Diastolic Blood Pressure","BiomedicalConcept"
"65f0e29d-fa4f-49d5-8074-7b6eb325a493","/mdr/bc/packages/2023-12-12/biomedicalconcepts/C49677","Heart Rate","BiomedicalConcept_16","","Heart Rate","BiomedicalConcept"
"db5c868a-8df5-4154-8a9e-2b04f5a69075","/mdr/bc/packages/2023-12-12/biomedicalconcepts/C25298","Systolic Blood Pressure","BiomedicalConcept_17","['SYSBP']","Systolic Blood Pressure","BiomedicalConcept"
"6edb6eb4-7abb-4047-8462-f04fd8ec7385","/mdr/bc/packages/2023-12-12/biomedicalconcepts/C25299","Diastolic Blood Pressure","BiomedicalConcept_18","['DIABP']","Diastolic Blood Pressure","BiomedicalConcept"
"b1991ecb-717b-48bb-82fb-d25e957b6c84","/mdr/bc/packages/2023-12-12/biomedicalconcepts/C49677","Heart Rate","BiomedicalConcept_19","","Heart Rate","BiomedicalConcept"
