"synonyms","instanceType","uuid:ID","reference","label","name","id"
"['Hemoglobin A1C', 'HBA1C', 'Glycosylated Hemoglobin A1C', 'Glycosylated Hemoglobin Measurement']","BiomedicalConcept","fc54ae67-b3a4-4d03-adec-bad95c02c9cb","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/HBA1CBLD","Hemoglobin A1C Concentration in Blood","Hemoglobin A1C Concentration in Blood","BiomedicalConcept_33"
"['Adverse Event', 'Solicited Adverse Event']","BiomedicalConcept","350c8a4b-fe52-43d8-9453-b9097b75f655","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/AEPRESP","Adverse Event Prespecified","Adverse Event Prespecified","BiomedicalConcept_1"
"['SYSBP', 'Systolic Blood Pressure']","BiomedicalConcept","f99e9e38-b86c-4f54-bff7-b124a1696630","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP","Systolic Blood Pressure","Systolic Blood Pressure","BiomedicalConcept_2"
"['DIABP', 'Diastolic Blood Pressure']","BiomedicalConcept","0f3fe200-2695-44b4-acdf-a48943c9d977","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP","Diastolic Blood Pressure","Diastolic Blood Pressure","BiomedicalConcept_3"
"['Temperature', 'Body Temperature']","BiomedicalConcept","2bcbf6a2-2a76-4754-8434-1fe00cd8737f","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/TEMP","Temperature","Temperature","BiomedicalConcept_4"
"['Weight', 'Body Weight']","BiomedicalConcept","cfcd1bf6-b00f-4194-95ad-6eb7c702080e","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/WEIGHT","Weight","Weight","BiomedicalConcept_5"
"['Height', 'Body Height']","BiomedicalConcept","dd940ba4-7e97-4fee-93e7-439379dc0bb8","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HEIGHT","Height","Height","BiomedicalConcept_6"
"['ALT', 'SGPT', 'Alanine Aminotransferase Measurement']","BiomedicalConcept","b20d60a1-38eb-4907-8757-efc8123cf377","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALTSERPL","Alanine Aminotransferase Concentration in Serum/Plasma","Alanine Aminotransferase Concentration in Serum/Plasma","BiomedicalConcept_7"
"['Albumin', 'Albumin Measurement']","BiomedicalConcept","1062d92b-ae66-4a83-a33d-83f21c98927a","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/ALBURINPRES","Albumin Presence in Urine","Albumin Presence in Urine","BiomedicalConcept_8"
"['Alkaline Phosphatase', 'Alkaline Phosphatase Measurement']","BiomedicalConcept","054cddcf-587e-4e19-876c-d2ebe99e25d4","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALPSERPL","Alkaline Phosphatase Concentration in Serum/Plasma","Alkaline Phosphatase Concentration in Serum/Plasma","BiomedicalConcept_9"
"['AST', 'SGOT', 'Aspartate Aminotransferase Measurement']","BiomedicalConcept","eb92d1f5-7993-4113-82d5-e187169de6fc","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ASTSERPL","Aspartate Aminotransferase in Serum/Plasma","Aspartate Aminotransferase in Serum/Plasma","BiomedicalConcept_10"
"['Creatinine', 'Creatinine Measurement']","BiomedicalConcept","228f2c8e-dd5a-4a88-9f69-3c1ed1aa30a8","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/CREATURIN","Creatinine Concentration in Urine","Creatinine Concentration in Urine","BiomedicalConcept_11"
"['Potassium', 'K', 'Potassium Measurement']","BiomedicalConcept","566fa2ed-b559-4b9b-983b-16f7acf0ed57","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/KURIN","Potassium Concentration in Urine","Potassium Concentration in Urine","BiomedicalConcept_12"
"['Sodium', 'NA', 'Sodium Measurement']","BiomedicalConcept","8bd84679-025e-4d5d-b5b8-560e984e03b7","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SODIUMURIN","Sodium Concentration in Urine","Sodium Concentration in Urine","BiomedicalConcept_13"
"['SYSBP', 'Systolic Blood Pressure']","BiomedicalConcept","c62a1375-58fe-4388-a27d-d6c8dfbe9e8a","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP","Systolic Blood Pressure","Systolic Blood Pressure","BiomedicalConcept_14"
"['DIABP', 'Diastolic Blood Pressure']","BiomedicalConcept","1a15450c-8b0a-40c8-83ef-9af4e7ad9422","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP","Diastolic Blood Pressure","Diastolic Blood Pressure","BiomedicalConcept_15"
"['Heart Rate']","BiomedicalConcept","762cede7-cf2c-4373-82d0-5f757cde60b6","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HR","Heart Rate","Heart Rate","BiomedicalConcept_16"
"['SYSBP', 'Systolic Blood Pressure']","BiomedicalConcept","6786a3ee-d6bb-45f7-8634-3e4dde588ae0","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP","Systolic Blood Pressure","Systolic Blood Pressure","BiomedicalConcept_17"
"['DIABP', 'Diastolic Blood Pressure']","BiomedicalConcept","5c0122f9-3e1c-4fd0-81cb-e1b996690bc7","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP","Diastolic Blood Pressure","Diastolic Blood Pressure","BiomedicalConcept_18"
"['Heart Rate']","BiomedicalConcept","1631f9d2-968e-4ac0-9ebc-84fd57f1bd36","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HR","Heart Rate","Heart Rate","BiomedicalConcept_19"
