"name","instanceType","sectionNumber","sectionTitle","text","id","uuid:ID"
"SECTION 5.3","NarrativeContent","5.3","Inclusion Criteria","<div><usdm:section name=""M11-inclusion""></div>","NarrativeContent_24","ee0532e1-1641-4cd2-81df-b0c18b62c75c"
"SECTION 5.4","NarrativeContent","5.4","Exclusion Criteria","<div><usdm:section name=""M11-exclusion""></div>","NarrativeContent_25","35f5a050-ece6-4d6d-b009-4ae858fae20c"
"SECTION 5.5","NarrativeContent","5.5","Lifestyle Considerations","<div></div>","NarrativeContent_26","75422e97-991b-47a1-908c-793272fa67a9"
"SECTION 5.5.1","NarrativeContent","5.5.1","Meals and Dietary Restrictions","<div></div>","NarrativeContent_27","0c494d31-9dfa-4234-a215-36a5381958ee"
"SECTION 5.5.2","NarrativeContent","5.5.2","Caffeine, Alcohol, Tobacco, and Other Habits","<div><p>Not applicable</p></div>","NarrativeContent_28","a710e8c7-5647-4b12-98f5-a3568d132769"
"SECTION 5.5.3","NarrativeContent","5.5.3","Physical Activity","<div></div>","NarrativeContent_29","d26c079e-8815-4aea-a180-4393e6894aab"
"SECTION 5.5.4","NarrativeContent","5.5.4","Other Activity","<div></div>","NarrativeContent_30","43bbb37a-ca27-49ea-8670-e3c92dabdc75"
"SECTION 5.6","NarrativeContent","5.6","Screen Failures","<div></div>","NarrativeContent_31","2fc38228-f337-453b-aff1-9bfcb12fffcd"
"SECTION 6","NarrativeContent","6","TRIAL INTERVENTION AND CONCOMITANT THERAPY","<div></div>","NarrativeContent_32","aab82c18-05e8-4203-9f16-8ac15e562d63"
"SECTION 6.1","NarrativeContent","6.1","Description of Trial Intervention","<div></div>","NarrativeContent_33","8d8deb87-47c6-4d1f-86aa-305503725d81"
"SECTION 6.2","NarrativeContent","6.2","Rationale for Trial Intervention","<div></div>","NarrativeContent_34","7be48fb3-ba8d-465f-ad52-c2ee27dafa38"
"SECTION 6.3","NarrativeContent","6.3","Dosing and Administration","<div></div>","NarrativeContent_35","44236c9b-8232-487c-9936-4d48b6e8545f"
"SECTION 6.3.1","NarrativeContent","6.3.1","Trial Intervention Dose Modification","<div></div>","NarrativeContent_36","c3a965e3-3f75-40f1-b191-2844953869de"
"SECTION 6.4","NarrativeContent","6.4","Treatment of Overdose","<div></div>","NarrativeContent_37","a1a123dd-8139-4322-890c-3a05a9eaf3a0"
"SECTION 6.5","NarrativeContent","6.5","Preparation, Handling, Storage and Accountability","<div></div>","NarrativeContent_38","26a1780b-f27d-411a-bdb7-8ad66c7f4f19"
"SECTION 6.5.1","NarrativeContent","6.5.1","Preparation of Trial Intervention","<div></div>","NarrativeContent_39","a7741602-dd21-4d61-a7d1-6459c354cd09"
"SECTION 6.5.2","NarrativeContent","6.5.2","Handling and Storage of Trial Intervention","<div></div>","NarrativeContent_40","534b9a56-408e-4753-9554-d508f287273a"
"SECTION 6.5.3","NarrativeContent","6.5.3","Accountability of Trial Intervention","<div></div>","NarrativeContent_41","ebb990ab-b28c-4690-8ec4-9bc7839c5b70"
"SECTION 6.6","NarrativeContent","6.6","Participant Assignment, Randomisation and Blinding","<div></div>","NarrativeContent_42","28b8c9e8-eba5-4669-a1fa-3013fe46f6f3"
"SECTION 6.6.1","NarrativeContent","6.6.1","Participant Assignment","<div></div>","NarrativeContent_43","9f454d82-1765-45f0-9d62-2aa7e6883611"
"SECTION 6.6.2","NarrativeContent","6.6.2","Randomisation","<div></div>","NarrativeContent_44","9b2d0f0a-f810-4102-9ae8-5a3427125289"
"SECTION 6.6.3","NarrativeContent","6.6.3","Blinding and Unblinding","<div><p>The study will be double-blind. To further preserve the blinding of the study, only a minimum number of Lilly and CRO personnel will see the randomization table and codes before the study is complete.</p>
<p>Emergency codes generated by a computer drug-labeling system will be available to the investigator. These codes, which reveal the patients treatment group, may be opened during the study only if the choice of follow-up treatment depends on the patient’s therapy assignment.</p>
<p>The investigator should make every effort to contact the clinical research physician prior to unblinding a patient’s therapy assignment. If a patient’s therapy assignment is unblinded, Lilly must be notified immediately by telephone. After the study, the investigator must return all sealed and any opened codes.</p></div>","NarrativeContent_45","47a99aec-d734-4578-94af-01029ccfb005"
"SECTION 6.7","NarrativeContent","6.7","Trial Intervention Compliance","<div></div>","NarrativeContent_46","f3b21def-f70a-422d-9908-b020f9de0067"
"SECTION 6.8","NarrativeContent","6.8","Concomitant Therapy","<div></div>","NarrativeContent_47","fdbacb3c-1779-4133-bc2b-fc1fead96ed8"
"SECTION 6.8.1","NarrativeContent","6.8.1","Prohibited Concomitant Therapy","<div></div>","NarrativeContent_48","8a29888f-812e-48fd-879b-e83bf21def77"
"SECTION 6.8.2","NarrativeContent","6.8.2","Permitted Concomitant Therapy","<div></div>","NarrativeContent_49","1b9fc8ea-b999-4095-a64d-92dfd94bde3c"
"SECTION 6.8.3","NarrativeContent","6.8.3","Rescue Therapy","<div></div>","NarrativeContent_50","20701a32-5401-4320-b2d8-0b1217794c92"
"SECTION 6.8.4","NarrativeContent","6.8.4","Other Therapy","<div></div>","NarrativeContent_51","fb22bf35-16c2-45e2-a6fd-03402c1e5935"
"SECTION 7","NarrativeContent","7","DISCONTINUATION OF TRIAL INTERVENTION AND PARTICIPANT WITHDRAWAL FROM TRIAL","<div></div>","NarrativeContent_52","3ee936a7-4111-4319-96ee-22639de417cb"
"SECTION 7.1","NarrativeContent","7.1","Discontinuation of Trial Intervention","<div></div>","NarrativeContent_53","46ba328b-918c-4a69-9216-dc5570d900de"
"SECTION 7.1.1","NarrativeContent","7.1.1","Criteria for Permanent Discontinuation of Trial Intervention","<div></div>","NarrativeContent_54","2169957a-b1a1-4b23-8b79-b67f82e9419f"
"SECTION 7.1.2","NarrativeContent","7.1.2","Temporary Discontinuation or Interruption of Trial Intervention","<div></div>","NarrativeContent_55","8d148cce-cdf7-479c-b1a5-2f03aeb1d28a"
"SECTION 7.1.3","NarrativeContent","7.1.3","Rechallenge","<div></div>","NarrativeContent_56","bd666bba-2b3e-4270-9e79-d3c54e9110c3"
"SECTION 7.2","NarrativeContent","7.2","Participant Withdrawal from the Trial","<div></div>","NarrativeContent_57","879c1f86-b3e1-4209-bbfd-08acb9f421e4"
"SECTION 7.3","NarrativeContent","7.3","Lost to Follow-Up","<div></div>","NarrativeContent_58","3870e4ed-f73c-4853-88ba-e4e7175464bb"
"SECTION 7.4","NarrativeContent","7.4","Trial Stopping Rules","<div></div>","NarrativeContent_59","3552aa9b-931b-43ce-b16e-457807519c97"
"SECTION 8","NarrativeContent","8","TRIAL ASSESSMENTS AND PROCEDURES","<div></div>","NarrativeContent_60","431a5008-5fe2-4e5f-ad72-ab9701936369"
"SECTION 8.1","NarrativeContent","8.1","Screening/Baseline Assessments and Procedures","<div></div>","NarrativeContent_61","90a7ba0b-a5db-4247-b1f9-f7c9d74f93aa"
"SECTION 8.2","NarrativeContent","8.2","Efficacy Assessments and Procedures","<div></div>","NarrativeContent_62","520a51d4-e02b-4356-abfc-ea3e18bef4f4"
"SECTION 8.3","NarrativeContent","8.3","Safety Assessments and Procedures","<div></div>","NarrativeContent_63","e47c39f4-4a40-453c-8887-ec6dda89c29d"
"SECTION 8.3.1","NarrativeContent","8.3.1","Physical Examination","<div></div>","NarrativeContent_64","4f2c0d40-0842-4b68-95bc-35839609bbf9"
"SECTION 8.3.2","NarrativeContent","8.3.2","Vital Signs","<div></div>","NarrativeContent_65","a9538286-d293-461f-ad57-cae7551fa88b"
"SECTION 8.3.3","NarrativeContent","8.3.3","Electrocardiograms","<div></div>","NarrativeContent_66","ec168a7f-9c43-432d-a4ad-b57caa6a4439"
"SECTION 8.3.4","NarrativeContent","8.3.4","Clinical Laboratory Assessments","<div></div>","NarrativeContent_67","317c9ac5-bfba-43bf-890a-fd18236abbef"
"SECTION 8.3.5","NarrativeContent","8.3.5","Suicidal Ideation and Behaviour Risk Monitoring","<div></div>","NarrativeContent_68","c062fdb4-bf70-48b5-8f96-a4923cf24e09"
"SECTION 8.4","NarrativeContent","8.4","Adverse Events and Serious Adverse Events","<div></div>","NarrativeContent_69","51158352-fe7c-439f-a4cf-3383869499a0"
"SECTION 8.4.1","NarrativeContent","8.4.1","Definitions of AE and SAE","<div></div>","NarrativeContent_70","6231dea7-6fc8-4a05-a43f-3512ebb1794b"
"SECTION 8.4.2","NarrativeContent","8.4.2","Time Period and Frequency for Collecting AE and SAE Information","<div></div>","NarrativeContent_71","aead5737-4389-441a-92ac-64534e3f63de"
"SECTION 8.4.3","NarrativeContent","8.4.3","Identifying AEs and SAEs","<div></div>","NarrativeContent_72","61555688-1704-4c02-90fd-6ae41087b1f7"
"SECTION 8.4.4","NarrativeContent","8.4.4","Recording of AEs and SAEs","<div></div>","NarrativeContent_73","ad13079f-3f44-4b6c-99ef-74f180337d4a"
"SECTION 8.4.5","NarrativeContent","8.4.5","Follow-up of AEs and SAEs","<div></div>","NarrativeContent_74","2d8e4f3b-d858-4f89-ac1d-ba8847ee7dc7"
"SECTION 8.4.6","NarrativeContent","8.4.6","Reporting of SAEs","<div></div>","NarrativeContent_75","44404e8a-1343-438b-844b-7b502551026d"
"SECTION 8.4.7","NarrativeContent","8.4.7","Regulatory Reporting Requirements for SAEs","<div></div>","NarrativeContent_76","1ddb6a24-1bf6-469d-bf21-a3dd45ab42d4"
"SECTION 8.4.8","NarrativeContent","8.4.8","Serious and Unexpected Adverse Reaction Reporting","<div></div>","NarrativeContent_77","a21eeb65-34b9-482c-a590-9ad668db0b2e"
"SECTION 8.4.9","NarrativeContent","8.4.9","Adverse Events of Special Interest","<div></div>","NarrativeContent_78","d182688c-56aa-4c09-8079-db70bb2bcd43"
"SECTION 8.4.10","NarrativeContent","8.4.10","Disease-related Events or Outcomes Not Qualifying as AEs or SAEs","<div></div>","NarrativeContent_79","992a9ed2-a848-4248-b259-04874f6d2de7"
"SECTION 8.5","NarrativeContent","8.5","Pregnancy and Postpartum Information","<div></div>","NarrativeContent_80","4339adad-14d7-417e-b589-4e4bdcf6451c"
"SECTION 8.5.1","NarrativeContent","8.5.1","Participants Who Become Pregnant During the Trial","<div></div>","NarrativeContent_81","e394c516-1eec-4489-97f0-32e14c98b3ef"
"SECTION 8.5.2","NarrativeContent","8.5.2","Participants Whose Partners Become Pregnant","<div></div>","NarrativeContent_82","8df10b69-3b52-4fc8-9a6e-6a4a8510b07c"
"SECTION 8.6","NarrativeContent","8.6","Medical Device Product Complaints for Drug/Device Combination Products","<div></div>","NarrativeContent_83","d8f405aa-a1db-4a96-aa08-cbcb49da24b5"
"SECTION 8.6.1","NarrativeContent","8.6.1","Definition of Medical Device Product Complaints","<div></div>","NarrativeContent_84","30026fab-4872-468c-b03c-912baf8d7f65"
"SECTION 8.6.2","NarrativeContent","8.6.2","Recording of Medical Device Product Complaints","<div></div>","NarrativeContent_85","ad4abd09-5db8-45c2-b6c4-3621a8dd3d21"
"SECTION 8.6.3","NarrativeContent","8.6.3","Time Period and Frequency for Collecting Medical Device Product Complaints .","<div></div>","NarrativeContent_86","3e05292e-7fe4-46c2-96e8-85a3f3880c87"
"SECTION 8.6.4","NarrativeContent","8.6.4","Follow-Up of Medical Device Product Complaints","<div></div>","NarrativeContent_87","0f948299-7e2d-4b7d-b257-54ae886a54f6"
"SECTION 8.6.5","NarrativeContent","8.6.5","Regulatory Reporting Requirements for Medical Device Product Complaints","<div></div>","NarrativeContent_88","890a6e72-fc7c-412f-9c86-48a250bf805f"
"SECTION 8.7","NarrativeContent","8.7","Pharmacokinetics","<div></div>","NarrativeContent_89","770a2702-5e28-4587-a751-0a3ee4c5420f"
"SECTION 8.8","NarrativeContent","8.8","Genetics","<div></div>","NarrativeContent_90","95f39595-5960-460b-80ad-0bab2a2c5fcb"
"SECTION 8.9","NarrativeContent","8.9","Biomarkers","<div></div>","NarrativeContent_91","ac8d128f-70f3-48b2-9b8f-52e434445fb3"
"SECTION 8.1","NarrativeContent","8.1","Immunogenicity Assessments","<div></div>","NarrativeContent_92","053898be-c38d-4540-b790-6600b25797d2"
"SECTION 8.1.1","NarrativeContent","8.1.1","Medical Resource Utilisation and Health Economics","<div></div>","NarrativeContent_93","d486e358-4e3a-453b-a54a-98a8b57c8e40"
"SECTION 9","NarrativeContent","9","STATISTICAL CONSIDERATIONS","<div></div>","NarrativeContent_94","41b20ca9-a7be-43a6-820e-da47a8d891e1"
"SECTION 9.1","NarrativeContent","9.1","Analysis Sets","<div></div>","NarrativeContent_95","02ce929c-ab54-4730-b255-5333f0b02bc8"
"SECTION 9.2","NarrativeContent","9.2","Analyses Supporting Primary Objective(s)","<div></div>","NarrativeContent_96","ee944a00-eb78-4fd4-9a91-5f7819135054"
"SECTION 9.2.1","NarrativeContent","9.2.1","Statistical Model, Hypothesis, and Method of Analysis","<div></div>","NarrativeContent_97","6db676b2-9c49-480f-9102-8732d2b96a2d"
"SECTION 9.2.2","NarrativeContent","9.2.2","Handling of Intercurrent Events of Primary Estimand(s)","<div></div>","NarrativeContent_98","128232e9-3ec0-47d7-96c9-25ecc1084aaa"
"SECTION 9.2.3","NarrativeContent","9.2.3","Handling of Missing Data","<div></div>","NarrativeContent_99","57a3844e-3187-4a7c-a16d-641b0206cb3c"
"SECTION 9.2.4","NarrativeContent","9.2.4","Sensitivity Analysis","<div></div>","NarrativeContent_100","dcc729ec-90c9-46cd-b957-2f7e00c7ce56"
"SECTION 9.2.5","NarrativeContent","9.2.5","Supplementary Analysis","<div></div>","NarrativeContent_101","c4f0bf04-a33f-4c06-ba3c-682d6ff96369"
"SECTION 9.3","NarrativeContent","9.3","Analysis Supporting Secondary Objective(s)","<div></div>","NarrativeContent_102","fd0fe07e-6f7a-44b9-a3af-4fea9c5c3668"
"SECTION 9.4","NarrativeContent","9.4","Analysis of Exploratory Objective(s)","<div></div>","NarrativeContent_103","41a0a676-fe20-4b9f-b150-5622667913a8"
"SECTION 9.5","NarrativeContent","9.5","Safety Analyses","<div></div>","NarrativeContent_104","02c3660d-51bc-4501-9833-dfbe28dc3f4e"
"SECTION 9.6","NarrativeContent","9.6","Other Analyses","<div></div>","NarrativeContent_105","ca9217e2-d0b8-43e9-9d2e-921fc7bb2167"
"SECTION 9.7","NarrativeContent","9.7","Interim Analyses","<div></div>","NarrativeContent_106","84545e25-a002-445c-aaed-d1590ed3a97f"
"SECTION 9.8","NarrativeContent","9.8","Sample Size Determination","<div></div>","NarrativeContent_107","64bb0be7-39de-4b71-89b2-9422e7164015"
"SECTION 9.9","NarrativeContent","9.9","Protocol Deviations","<div></div>","NarrativeContent_108","5d11cc17-ce93-4a9d-8754-6db7d3b50d68"
"SECTION 10","NarrativeContent","10","GENERAL CONSIDERATIONS: REGULATORY, ETHICAL, AND TRIAL OVERSIGHT","<div></div>","NarrativeContent_109","506eacc2-3e14-4e4c-89a3-bddff7bdc4a3"
"SECTION 10.1","NarrativeContent","10.1","Regulatory and Ethical Considerations","<div></div>","NarrativeContent_110","bb5ed654-de9f-480b-a2e5-aaa8fc033aa1"
"SECTION 10.2","NarrativeContent","10.2","Committees","<div></div>","NarrativeContent_111","8664614f-24c2-454b-9ece-621f90304b1e"
"SECTION 10.3","NarrativeContent","10.3","Informed Consent Process","<div></div>","NarrativeContent_112","07f9cace-c7e6-4859-8b3e-fe9fd19ed4ce"
"SECTION 10.4","NarrativeContent","10.4","Data Protection","<div></div>","NarrativeContent_113","d54fdaa3-81f8-4684-aca6-128813cd5ef1"
"SECTION 10.5","NarrativeContent","10.5","Early Site Closure or Trial Termination","<div></div>","NarrativeContent_114","fdb3d3b6-7edc-4a0a-9548-5838da413183"
"SECTION 11","NarrativeContent","11","GENERAL CONSIDERATIONS: RISK MANAGEMENT AND QUALITY ASSURANCE","<div></div>","NarrativeContent_115","0b151e3d-5815-4db5-985b-439c781abf0f"
"SECTION 11.1","NarrativeContent","11.1","Quality Tolerance Limits","<div></div>","NarrativeContent_116","42515092-2585-41c3-8f12-aa0855e20693"
"SECTION 11.2","NarrativeContent","11.2","Data Quality Assurance","<div></div>","NarrativeContent_117","c34dbe00-f2dc-4fec-be62-c042a6e4be6c"
"SECTION 11.3","NarrativeContent","11.3","Source Data","<div></div>","NarrativeContent_118","000f2720-bc94-431e-b434-c94435310da3"
"SECTION 12","NarrativeContent","12","APPENDIX: ADVERSE EVENTS AND SERIOUS ADVERSE EVENTS - DEFINITIONS, SEVERITY, AND CAUSALITY","<div></div>","NarrativeContent_119","f68eafd4-2288-46b6-9709-1fcab909c7bf"
"SECTION 12.1","NarrativeContent","12.1","Further Details and Clarifications on the AE Definition","<div></div>","NarrativeContent_120","cced9a4c-9193-442a-b915-65254001004e"
"SECTION 12.2","NarrativeContent","12.2","Further Details and Clarifications on the SAE Definition","<div></div>","NarrativeContent_121","e83c7fc0-d09b-48d8-8f30-37a49045a2e2"
"SECTION 12.3","NarrativeContent","12.3","Severity","<div></div>","NarrativeContent_122","939b651b-c4d4-4ba1-b094-a90447667a48"
"SECTION 12.4","NarrativeContent","12.4","Causality","<div></div>","NarrativeContent_123","5764aca6-ab36-4ef8-9410-90106ae60957"
"SECTION 13","NarrativeContent","13","APPENDIX: DEFINITIONS AND SUPPORTING OPERATIONAL DETAILS","<div></div>","NarrativeContent_124","88556dc1-d6a7-4b9f-b4b6-d7ff69e4e529"
"SECTION 13.1","NarrativeContent","13.1","Contraception and Pregnancy Testing","<div></div>","NarrativeContent_125","4e176982-7de1-4f68-b69a-a7b94abe7003"
"SECTION 13.1.1","NarrativeContent","13.1.1","Definitions Related to Childbearing Potential","<div></div>","NarrativeContent_126","4336c1bf-016b-491e-b875-7e3d56b587e3"
"SECTION 13.1.2","NarrativeContent","13.1.2","Contraception","<div></div>","NarrativeContent_127","eff69c58-02ac-45c0-9423-e664186baf83"
"SECTION 13.1.3","NarrativeContent","13.1.3","Pregnancy Testing","<div></div>","NarrativeContent_128","470c5e22-4ff7-48d5-93fb-bfd9d2d24679"
"SECTION 13.2","NarrativeContent","13.2","Clinical Laboratory Tests","<div></div>","NarrativeContent_129","3ac97778-8dac-4b51-bd68-02aa76e5aae6"
"SECTION 13.3","NarrativeContent","13.3","Country/Region-Specific Differences","<div></div>","NarrativeContent_130","fa0929c2-90ef-4364-a4b5-b5746d9c9093"
"SECTION 13.4","NarrativeContent","13.4","Prior Protocol Amendments","<div></div>","NarrativeContent_131","f633a6f6-93ac-4e07-8226-388308062f57"
"SECTION 14","NarrativeContent","14","APPENDIX: GLOSSARY OF TERMS","<div></div>","NarrativeContent_132","cce18562-1dd6-4ad5-88ee-bea5432cf955"
"SECTION 15","NarrativeContent","15","APPENDIX: REFERENCES","<div></div>","NarrativeContent_133","fd22976f-149c-44b9-996a-12cac0b5f418"
