"name","instanceType","uuid:ID","isRequired","id","datatype","isEnabled","label"
"Laboratory Test Result","BiomedicalConceptProperty","02a3ef91-3ebc-4011-88f1-442bfc7e7de3","True","BiomedicalConceptProperty_125","decimal","True","Laboratory Test Result"
"Laboratory Test Fasting Status","BiomedicalConceptProperty","083a8df1-f3d1-448a-a485-49683bbe19ff","True","BiomedicalConceptProperty_126","boolean","True","Laboratory Test Fasting Status"
"Molarity Unit","BiomedicalConceptProperty","e3b6d798-7a39-4c4f-8e66-744b7b5e3301","True","BiomedicalConceptProperty_127","string","True","Molarity Unit"
"Biospecimen Type","BiomedicalConceptProperty","b7424eca-446a-4c93-a2e6-4f2db2230d33","True","BiomedicalConceptProperty_128","string","True","Biospecimen Type"
"Laboratory Test Result","BiomedicalConceptProperty","1666c761-a7b8-4b3f-85cb-90d5d031a9d0","True","BiomedicalConceptProperty_129","decimal","True","Laboratory Test Result"
"Laboratory Test Fasting Status","BiomedicalConceptProperty","92d4708f-3fbc-4bf9-bf17-4140558fc21b","True","BiomedicalConceptProperty_130","boolean","True","Laboratory Test Fasting Status"
"Molarity Unit","BiomedicalConceptProperty","41eb39e5-992c-4ef0-adde-910039206965","True","BiomedicalConceptProperty_131","string","True","Molarity Unit"
"Biospecimen Type","BiomedicalConceptProperty","37c0796e-5954-4eef-b25c-e2ea8f4c4156","True","BiomedicalConceptProperty_132","string","True","Biospecimen Type"
"Adverse Event Verbatim Description","BiomedicalConceptProperty","bf45d2a8-696c-4719-9e6f-9c218775465e","True","BiomedicalConceptProperty_1","string","True","Adverse Event Verbatim Description"
"Adverse Event Dictionary Derived Term","BiomedicalConceptProperty","2f8e7752-64b8-4e0f-8db5-fb0b3366ffcb","True","BiomedicalConceptProperty_2","string","True","Adverse Event Dictionary Derived Term"
"Adverse Event Category","BiomedicalConceptProperty","a6f36a7c-57f0-4d97-94cd-92528ffbaba8","True","BiomedicalConceptProperty_3","string","True","Adverse Event Category"
"Adverse Event Subcategory","BiomedicalConceptProperty","58a4dac1-df99-4cc9-8987-94b61f6a2a32","True","BiomedicalConceptProperty_4","string","True","Adverse Event Subcategory"
"Adverse Event Pre-specified","BiomedicalConceptProperty","6a4162e5-9d52-44c4-965f-24403c8d8976","True","BiomedicalConceptProperty_5","boolean","True","Adverse Event Pre-specified"
"Severity of Adverse Event","BiomedicalConceptProperty","c45e8102-2aa4-49e4-bd69-386014df493f","True","BiomedicalConceptProperty_6","string","True","Severity of Adverse Event"
"Adverse Event Toxicity Grade","BiomedicalConceptProperty","ed965402-c7fe-4458-b9c0-f31b37d56e57","True","BiomedicalConceptProperty_7","string","True","Adverse Event Toxicity Grade"
"Seriousness of Adverse Event","BiomedicalConceptProperty","014a7bd9-b6bb-4ce6-a9f0-27dd010c549c","True","BiomedicalConceptProperty_8","boolean","True","Seriousness of Adverse Event"
"Adverse Event Action Taken with Study Treatment","BiomedicalConceptProperty","7d0998fe-d874-479d-912d-561e0ecfc4c0","True","BiomedicalConceptProperty_9","string","True","Adverse Event Action Taken with Study Treatment"
"Adverse Event Attribution to Product or Procedure","BiomedicalConceptProperty","4ca25cd7-60ae-4986-ae09-6f508cc93f1a","True","BiomedicalConceptProperty_10","string","True","Adverse Event Attribution to Product or Procedure"
"Adverse Event Pattern","BiomedicalConceptProperty","b70d7ae9-982f-4174-9c64-ba41c9d9e001","True","BiomedicalConceptProperty_11","string","True","Adverse Event Pattern"
"Adverse Event Outcome","BiomedicalConceptProperty","2b2920d9-f266-4629-a0bb-b683455b7fd5","True","BiomedicalConceptProperty_12","string","True","Adverse Event Outcome"
"Adverse Event Start Date Time","BiomedicalConceptProperty","b452e2e7-8b6a-4eab-8b1d-603e23ad7be4","True","BiomedicalConceptProperty_13","datetime","True","Adverse Event Start Date Time"
"Adverse Event End Date Time","BiomedicalConceptProperty","78ca23b0-f23d-4589-b360-c97f7b483c84","True","BiomedicalConceptProperty_14","datetime","True","Adverse Event End Date Time"
"Vital Signs Result","BiomedicalConceptProperty","96b8a192-b383-46a3-9d01-248b6f79d6e0","True","BiomedicalConceptProperty_15","decimal","True","Vital Signs Result"
"Unit of Pressure","BiomedicalConceptProperty","6f5e2d03-8f26-4b52-acb6-47699eb6b027","True","BiomedicalConceptProperty_16","string","True","Unit of Pressure"
"Vital Signs Location","BiomedicalConceptProperty","313e950d-b427-40f5-a2fc-e76c9006423e","True","BiomedicalConceptProperty_17","string","True","Vital Signs Location"
"Vital Signs Laterality","BiomedicalConceptProperty","476c0018-0a4a-4473-b1af-ced95c4ac87a","True","BiomedicalConceptProperty_18","string","True","Vital Signs Laterality"
"Test Method","BiomedicalConceptProperty","a2f40f12-3e16-48b1-800b-9b35b398c9f9","True","BiomedicalConceptProperty_19","string","True","Test Method"
"Vital Signs Position","BiomedicalConceptProperty","c16c53fa-d9dc-43f7-bef7-9d10dd0693d7","True","BiomedicalConceptProperty_20","string","True","Vital Signs Position"
"Vital Signs Result","BiomedicalConceptProperty","edd50877-2aaa-43da-b233-3f0d6f2112ce","True","BiomedicalConceptProperty_21","decimal","True","Vital Signs Result"
"Unit of Pressure","BiomedicalConceptProperty","353b770a-e509-4bb8-a9f6-009f6f66c0c3","True","BiomedicalConceptProperty_22","string","True","Unit of Pressure"
"Vital Signs Location","BiomedicalConceptProperty","dc419a6e-992d-4a2b-b213-f96262d327e4","True","BiomedicalConceptProperty_23","string","True","Vital Signs Location"
"Vital Signs Laterality","BiomedicalConceptProperty","6da7774c-849b-4d74-8bae-76c47ed778a3","True","BiomedicalConceptProperty_24","string","True","Vital Signs Laterality"
"Test Method","BiomedicalConceptProperty","6e8ae5f6-b661-4e66-8036-0274ccfc9bfb","True","BiomedicalConceptProperty_25","string","True","Test Method"
"Vital Signs Position","BiomedicalConceptProperty","a000cb5f-4bda-4293-8042-965544b48af4","True","BiomedicalConceptProperty_26","string","True","Vital Signs Position"
"Vital Signs Result","BiomedicalConceptProperty","41e5d803-3727-4681-b489-4ec4a6b3fa2b","True","BiomedicalConceptProperty_27","decimal","True","Vital Signs Result"
"Unit of Temperature","BiomedicalConceptProperty","1e5fe8bf-6a78-4258-89f9-534ce25a76e7","True","BiomedicalConceptProperty_28","string","True","Unit of Temperature"
"Vital Signs Location","BiomedicalConceptProperty","568a468b-3fa1-4953-b51f-e61fdaeb1f5c","True","BiomedicalConceptProperty_29","string","True","Vital Signs Location"
"Vital Signs Result","BiomedicalConceptProperty","d0747c10-9f10-462a-b623-e1507626b42a","True","BiomedicalConceptProperty_30","decimal","True","Vital Signs Result"
"Unit of Weight","BiomedicalConceptProperty","6a0b7b7a-9748-4ed6-93d9-eeb1d837fcf1","True","BiomedicalConceptProperty_31","string","True","Unit of Weight"
"Vital Signs Result","BiomedicalConceptProperty","11f28ea8-73ff-4d2d-89a8-abf6dd5ba3a6","True","BiomedicalConceptProperty_32","decimal","True","Vital Signs Result"
"Unit of Height","BiomedicalConceptProperty","4395bbda-0944-4809-af86-42ea9bd49051","True","BiomedicalConceptProperty_33","string","True","Unit of Height"
"Laboratory Test Result","BiomedicalConceptProperty","7d16175b-9ffa-4b37-9c82-9111fd206546","True","BiomedicalConceptProperty_34","decimal","True","Laboratory Test Result"
"Laboratory Test Fasting Status","BiomedicalConceptProperty","8917ccd8-7e2d-4cfa-bc5c-76bb0bbadbd9","True","BiomedicalConceptProperty_35","boolean","True","Laboratory Test Fasting Status"
"Unit of Catalytic Activity Concentration","BiomedicalConceptProperty","abc7d0c2-3e59-4857-ae14-02356d1760e3","True","BiomedicalConceptProperty_36","string","True","Unit of Catalytic Activity Concentration"
"Biospecimen Type","BiomedicalConceptProperty","5a9b43f9-8a7f-4d23-8a1a-b040dddc609f","True","BiomedicalConceptProperty_37","string","True","Biospecimen Type"
"Laboratory Test Result","BiomedicalConceptProperty","670e7165-df13-4b3e-b693-8bdf629a7f46","True","BiomedicalConceptProperty_38","string","True","Laboratory Test Result"
"Laboratory Test Fasting Status","BiomedicalConceptProperty","a723d8d8-1180-4f16-9c69-bc10cd21a0a7","True","BiomedicalConceptProperty_39","boolean","True","Laboratory Test Fasting Status"
"Unit of Concentration","BiomedicalConceptProperty","a59791fc-c026-4f13-881c-40fe7ac9af26","True","BiomedicalConceptProperty_40","string","True","Unit of Concentration"
"Biospecimen Type","BiomedicalConceptProperty","a870cc7a-d656-4e2d-be07-2f1a5040fa9b","True","BiomedicalConceptProperty_41","string","True","Biospecimen Type"
"Laboratory Test Result","BiomedicalConceptProperty","e34c8096-ab01-4ab0-b9dc-fd598d717e34","True","BiomedicalConceptProperty_42","decimal","True","Laboratory Test Result"
"Laboratory Test Fasting Status","BiomedicalConceptProperty","2d9cff79-6cb9-47e0-b24d-b11a78ef4445","True","BiomedicalConceptProperty_43","boolean","True","Laboratory Test Fasting Status"
"Unit of Catalytic Activity Concentration","BiomedicalConceptProperty","7d385318-352b-44a0-8708-0b46ac0f04be","True","BiomedicalConceptProperty_44","string","True","Unit of Catalytic Activity Concentration"
"Biospecimen Type","BiomedicalConceptProperty","e72dada1-471f-4068-ada3-035354259b52","True","BiomedicalConceptProperty_45","string","True","Biospecimen Type"
"Laboratory Test Result","BiomedicalConceptProperty","917214c5-19c9-47eb-b277-e15f7145cdc1","True","BiomedicalConceptProperty_46","decimal","True","Laboratory Test Result"
"Laboratory Test Fasting Status","BiomedicalConceptProperty","a13cde94-581e-466d-a27e-746cf0df1b18","True","BiomedicalConceptProperty_47","boolean","True","Laboratory Test Fasting Status"
"Unit of Catalytic Activity Concentration","BiomedicalConceptProperty","027e11f8-114f-41c7-b8f4-16ff0adda05a","True","BiomedicalConceptProperty_48","string","True","Unit of Catalytic Activity Concentration"
"Biospecimen Type","BiomedicalConceptProperty","3a1424f9-6145-456e-aa7e-007f634822e8","True","BiomedicalConceptProperty_49","string","True","Biospecimen Type"
"Laboratory Test Result","BiomedicalConceptProperty","b01f94d9-6741-4955-971a-214f68ebfda6","True","BiomedicalConceptProperty_50","string","True","Laboratory Test Result"
"Laboratory Test Fasting Status","BiomedicalConceptProperty","11b5b437-19e2-4df9-94e0-22b32ecd7db1","True","BiomedicalConceptProperty_51","boolean","True","Laboratory Test Fasting Status"
"Unit of Concentration","BiomedicalConceptProperty","7b0438ab-70ac-4933-9f31-2df999de5162","True","BiomedicalConceptProperty_52","string","True","Unit of Concentration"
"Biospecimen Type","BiomedicalConceptProperty","fab80286-1d56-4c6b-99a2-d8bc9d95f9f2","True","BiomedicalConceptProperty_53","string","True","Biospecimen Type"
"Laboratory Test Result","BiomedicalConceptProperty","2dc94e88-0712-4a13-97d4-9d49e4d9b720","True","BiomedicalConceptProperty_54","decimal","True","Laboratory Test Result"
"Laboratory Test Fasting Status","BiomedicalConceptProperty","cfd28c1e-79a8-4739-8177-ad2206c3defc","True","BiomedicalConceptProperty_55","boolean","True","Laboratory Test Fasting Status"
"Molarity Unit","BiomedicalConceptProperty","8554d84b-4dc0-4861-ab3d-de36f0f19979","True","BiomedicalConceptProperty_56","string","True","Molarity Unit"
"Biospecimen Type","BiomedicalConceptProperty","e73fca8f-9d2c-4ec4-9c38-886611e56e11","True","BiomedicalConceptProperty_57","string","True","Biospecimen Type"
"Laboratory Test Result","BiomedicalConceptProperty","b4be71f3-4b56-4f86-8a64-368f91aacee3","True","BiomedicalConceptProperty_58","decimal","True","Laboratory Test Result"
"Laboratory Test Fasting Status","BiomedicalConceptProperty","1ed8cb4f-ddd0-4ee4-b230-9fcc0af67365","True","BiomedicalConceptProperty_59","boolean","True","Laboratory Test Fasting Status"
"Molarity Unit","BiomedicalConceptProperty","235ee6f8-4fb0-44e4-945d-869660f4434b","True","BiomedicalConceptProperty_60","string","True","Molarity Unit"
"Biospecimen Type","BiomedicalConceptProperty","7f72291c-e9e8-492c-8e34-af5d3d51cf61","True","BiomedicalConceptProperty_61","string","True","Biospecimen Type"
"Vital Signs Result","BiomedicalConceptProperty","dc9b8ab1-55d7-4562-9b07-a9258d771582","True","BiomedicalConceptProperty_62","decimal","True","Vital Signs Result"
"Unit of Pressure","BiomedicalConceptProperty","c772dec3-fbd6-4f7f-8f2c-69794509c7ef","True","BiomedicalConceptProperty_63","string","True","Unit of Pressure"
"Vital Signs Location","BiomedicalConceptProperty","81ec2d99-ae4e-4140-938c-d9c613bbd6da","True","BiomedicalConceptProperty_64","string","True","Vital Signs Location"
"Vital Signs Laterality","BiomedicalConceptProperty","cf228a6c-6074-4bf9-9fce-000095a46290","True","BiomedicalConceptProperty_65","string","True","Vital Signs Laterality"
"Test Method","BiomedicalConceptProperty","a04b542c-84e7-4f63-939d-4e912ca94b7e","True","BiomedicalConceptProperty_66","string","True","Test Method"
"Vital Signs Position","BiomedicalConceptProperty","5bdd748c-7679-4092-a0e0-fc7cfb3bdfee","True","BiomedicalConceptProperty_67","string","True","Vital Signs Position"
"Vital Signs Result","BiomedicalConceptProperty","18d17347-5e19-4c3d-9dd3-56bf06d89c6f","True","BiomedicalConceptProperty_68","decimal","True","Vital Signs Result"
"Unit of Pressure","BiomedicalConceptProperty","d0477dbb-5b64-4ee5-af33-803d76af127d","True","BiomedicalConceptProperty_69","string","True","Unit of Pressure"
"Vital Signs Location","BiomedicalConceptProperty","2431ec76-ee30-4b98-b3a3-ffd1e79a9bd0","True","BiomedicalConceptProperty_70","string","True","Vital Signs Location"
"Vital Signs Laterality","BiomedicalConceptProperty","ff01b95e-a794-4842-b9ba-f06dc772a1c6","True","BiomedicalConceptProperty_71","string","True","Vital Signs Laterality"
"Test Method","BiomedicalConceptProperty","4e96e132-77b6-45c0-8506-4f43da1d48d3","True","BiomedicalConceptProperty_72","string","True","Test Method"
"Vital Signs Position","BiomedicalConceptProperty","e6063897-bfb9-459f-a2c1-128799f7892e","True","BiomedicalConceptProperty_73","string","True","Vital Signs Position"
"Vital Signs Result","BiomedicalConceptProperty","a668f0fa-adb0-4330-a1d6-41a188e08b93","True","BiomedicalConceptProperty_74","integer","True","Vital Signs Result"
"Count per Minute","BiomedicalConceptProperty","8b888544-b238-428e-b988-10eb64445573","True","BiomedicalConceptProperty_75","string","True","Count per Minute"
"Vital Signs Location","BiomedicalConceptProperty","4e93ae09-7788-4c3b-a514-05ee4996b0d7","True","BiomedicalConceptProperty_76","string","True","Vital Signs Location"
"Vital Signs Laterality","BiomedicalConceptProperty","13754480-6400-4fc3-80c5-1d52a13a93df","True","BiomedicalConceptProperty_77","string","True","Vital Signs Laterality"
"Test Method","BiomedicalConceptProperty","abb0f203-b2ec-4184-89de-cf8013d9b695","True","BiomedicalConceptProperty_78","string","True","Test Method"
"Vital Signs Position","BiomedicalConceptProperty","bdb22509-2bd6-4869-85c4-2871f60c3609","True","BiomedicalConceptProperty_79","string","True","Vital Signs Position"
"Vital Signs Result","BiomedicalConceptProperty","28e61688-8efa-43c9-a5f0-7b8d35b39dcd","True","BiomedicalConceptProperty_80","decimal","True","Vital Signs Result"
"Unit of Pressure","BiomedicalConceptProperty","b6491d5e-cd99-4f48-b709-31b53dee7e39","True","BiomedicalConceptProperty_81","string","True","Unit of Pressure"
"Vital Signs Location","BiomedicalConceptProperty","ec6d5c17-7f9f-491d-b920-1a0e636be5f1","True","BiomedicalConceptProperty_82","string","True","Vital Signs Location"
"Vital Signs Laterality","BiomedicalConceptProperty","4922d6c6-06b1-447e-abfd-ecbc844295de","True","BiomedicalConceptProperty_83","string","True","Vital Signs Laterality"
"Test Method","BiomedicalConceptProperty","5fff92c1-44e2-4440-94fd-a598b77588e2","True","BiomedicalConceptProperty_84","string","True","Test Method"
"Vital Signs Position","BiomedicalConceptProperty","1949be1e-58ad-4f48-abd8-4342b542f7b0","True","BiomedicalConceptProperty_85","string","True","Vital Signs Position"
"Vital Signs Result","BiomedicalConceptProperty","5ad5ed69-36c7-421b-a20d-2a8d9153488a","True","BiomedicalConceptProperty_86","decimal","True","Vital Signs Result"
"Unit of Pressure","BiomedicalConceptProperty","dafcb6bf-4c7c-4b7e-ba26-3b7a1074af85","True","BiomedicalConceptProperty_87","string","True","Unit of Pressure"
"Vital Signs Location","BiomedicalConceptProperty","bc3fa766-e113-4a0d-b496-747a6b677eb6","True","BiomedicalConceptProperty_88","string","True","Vital Signs Location"
"Vital Signs Laterality","BiomedicalConceptProperty","ba316b39-cc18-40a0-b4fb-978588703e58","True","BiomedicalConceptProperty_89","string","True","Vital Signs Laterality"
"Test Method","BiomedicalConceptProperty","bd5e319b-ffa9-4152-a65c-83b5a130573d","True","BiomedicalConceptProperty_90","string","True","Test Method"
"Vital Signs Position","BiomedicalConceptProperty","17b73687-382c-4d05-bd00-608dbafffd03","True","BiomedicalConceptProperty_91","string","True","Vital Signs Position"
"Vital Signs Result","BiomedicalConceptProperty","5df4907c-b0de-4ef9-abb9-ead4611e65e0","True","BiomedicalConceptProperty_92","integer","True","Vital Signs Result"
"Count per Minute","BiomedicalConceptProperty","b4ee3853-77a4-4333-aea8-55e611d72a10","True","BiomedicalConceptProperty_93","string","True","Count per Minute"
"Vital Signs Location","BiomedicalConceptProperty","95c6b21d-95a7-4bb8-9b24-7d54020dd352","True","BiomedicalConceptProperty_94","string","True","Vital Signs Location"
"Vital Signs Laterality","BiomedicalConceptProperty","ee6b65f9-28cb-4132-a2da-46dca7911bb0","True","BiomedicalConceptProperty_95","string","True","Vital Signs Laterality"
"Test Method","BiomedicalConceptProperty","0bf56596-9435-4836-92d1-9afbed6821c9","True","BiomedicalConceptProperty_96","string","True","Test Method"
"Vital Signs Position","BiomedicalConceptProperty","b085bb34-12b5-4f6a-9b79-45653e0013aa","True","BiomedicalConceptProperty_97","string","True","Vital Signs Position"
