"label","uuid:ID","synonyms","instanceType","name","id","reference"
"Creatinine Concentration in Urine","66a2403a-78b2-4ef5-9eb6-049c663d59ed","['Creatinine', 'Creatinine Measurement']","BiomedicalConcept","Creatinine Concentration in Urine","BiomedicalConcept_30","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/CREATURIN"
"Potassium Concentration in Urine","539f4700-3ef5-4b8d-925b-b44de6706567","['Potassium', 'K', 'Potassium Measurement']","BiomedicalConcept","Potassium Concentration in Urine","BiomedicalConcept_31","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/KURIN"
"Sodium Concentration in Urine","9695e9c2-0f54-4524-b441-1b795158bd14","['Sodium', 'NA', 'Sodium Measurement']","BiomedicalConcept","Sodium Concentration in Urine","BiomedicalConcept_32","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SODIUMURIN"
"Hemoglobin A1C Concentration in Blood","56fcb106-74c8-4725-ad22-5a976b80e898","['Hemoglobin A1C', 'HBA1C', 'Glycosylated Hemoglobin A1C', 'Glycosylated Hemoglobin Measurement']","BiomedicalConcept","Hemoglobin A1C Concentration in Blood","BiomedicalConcept_33","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/HBA1CBLD"
"Adverse Event Prespecified","3bbc594e-87a5-4e6b-8a2a-c530ee64461f","['Adverse Event', 'Solicited Adverse Event']","BiomedicalConcept","Adverse Event Prespecified","BiomedicalConcept_1","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/AEPRESP"
"Systolic Blood Pressure","923245ad-1bf1-4a14-99c1-92055c3fdd20","['SYSBP', 'Systolic Blood Pressure']","BiomedicalConcept","Systolic Blood Pressure","BiomedicalConcept_2","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP"
"Diastolic Blood Pressure","dac40ca7-9e4a-48f6-aacb-995f661ee641","['DIABP', 'Diastolic Blood Pressure']","BiomedicalConcept","Diastolic Blood Pressure","BiomedicalConcept_3","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP"
"Temperature","36d01fca-53c0-4240-823a-f0b64e5cf7e1","['Temperature', 'Body Temperature']","BiomedicalConcept","Temperature","BiomedicalConcept_4","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/TEMP"
"Weight","52b932e3-22d3-489f-989c-eb87d9fb8485","['Weight', 'Body Weight']","BiomedicalConcept","Weight","BiomedicalConcept_5","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/WEIGHT"
"Height","9861c9ba-2cce-494e-a235-bf45e895020c","['Height', 'Body Height']","BiomedicalConcept","Height","BiomedicalConcept_6","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HEIGHT"
"Alanine Aminotransferase Concentration in Serum/Plasma","f0e954d8-6643-4687-a4ec-d1fc7f772423","['ALT', 'SGPT', 'Alanine Aminotransferase Measurement']","BiomedicalConcept","Alanine Aminotransferase Concentration in Serum/Plasma","BiomedicalConcept_7","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALTSERPL"
"Albumin Presence in Urine","a6048fc4-56f4-4b1d-8489-a44647437132","['Albumin', 'Albumin Measurement']","BiomedicalConcept","Albumin Presence in Urine","BiomedicalConcept_8","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/ALBURINPRES"
"Alkaline Phosphatase Concentration in Serum/Plasma","117f9eee-1a05-4521-af28-ea9e899bbd55","['Alkaline Phosphatase', 'Alkaline Phosphatase Measurement']","BiomedicalConcept","Alkaline Phosphatase Concentration in Serum/Plasma","BiomedicalConcept_9","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALPSERPL"
"Aspartate Aminotransferase in Serum/Plasma","d895030a-0908-4d5f-b715-6ef4ac002773","['AST', 'SGOT', 'Aspartate Aminotransferase Measurement']","BiomedicalConcept","Aspartate Aminotransferase in Serum/Plasma","BiomedicalConcept_10","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ASTSERPL"
"Creatinine Concentration in Urine","11e160ae-eb5e-4789-af8e-e941df1ede64","['Creatinine', 'Creatinine Measurement']","BiomedicalConcept","Creatinine Concentration in Urine","BiomedicalConcept_11","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/CREATURIN"
"Potassium Concentration in Urine","e108737a-be67-4946-8f47-56391f51f24c","['Potassium', 'K', 'Potassium Measurement']","BiomedicalConcept","Potassium Concentration in Urine","BiomedicalConcept_12","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/KURIN"
"Sodium Concentration in Urine","5a73030c-5f89-4bbc-985b-3f519ea7a496","['Sodium', 'NA', 'Sodium Measurement']","BiomedicalConcept","Sodium Concentration in Urine","BiomedicalConcept_13","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SODIUMURIN"
"Systolic Blood Pressure","a4b42686-bf0e-4845-a32f-efcc427cc387","['SYSBP', 'Systolic Blood Pressure']","BiomedicalConcept","Systolic Blood Pressure","BiomedicalConcept_14","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP"
"Diastolic Blood Pressure","b1b5825a-4e94-4625-9316-84e8a480356b","['DIABP', 'Diastolic Blood Pressure']","BiomedicalConcept","Diastolic Blood Pressure","BiomedicalConcept_15","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP"
"Heart Rate","c1104679-efd3-4c2b-8603-04f9c1acfd9a","['Heart Rate']","BiomedicalConcept","Heart Rate","BiomedicalConcept_16","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HR"
"Systolic Blood Pressure","0e19192b-8d05-4c26-b0e6-22a26f1b2b62","['SYSBP', 'Systolic Blood Pressure']","BiomedicalConcept","Systolic Blood Pressure","BiomedicalConcept_17","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP"
"Diastolic Blood Pressure","422b4d03-b004-44fd-a7f5-395e91d9eb5b","['DIABP', 'Diastolic Blood Pressure']","BiomedicalConcept","Diastolic Blood Pressure","BiomedicalConcept_18","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP"
"Heart Rate","105e3e96-f155-4871-9f04-f6e4bf7ce467","['Heart Rate']","BiomedicalConcept","Heart Rate","BiomedicalConcept_19","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HR"
