"name","reference","uuid:ID","instanceType","synonyms","id","label"
"Creatinine Concentration in Urine","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/CREATURIN","1660b8dd-b140-47d7-bd6e-15b1e940670b","BiomedicalConcept","['Creatinine', 'Creatinine Measurement']","BiomedicalConcept_30","Creatinine Concentration in Urine"
"Potassium Concentration in Urine","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/KURIN","af1d7034-991a-4995-9002-750b5976e113","BiomedicalConcept","['Potassium', 'K', 'Potassium Measurement']","BiomedicalConcept_31","Potassium Concentration in Urine"
"Sodium Concentration in Urine","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SODIUMURIN","9a64c562-e4ee-441f-9f4b-ef044e0b1f2d","BiomedicalConcept","['Sodium', 'NA', 'Sodium Measurement']","BiomedicalConcept_32","Sodium Concentration in Urine"
"Hemoglobin A1C Concentration in Blood","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/HBA1CBLD","ebbd80a1-6069-441e-b0f0-ad094336fcc1","BiomedicalConcept","['Hemoglobin A1C', 'HBA1C', 'Glycosylated Hemoglobin A1C', 'Glycosylated Hemoglobin Measurement']","BiomedicalConcept_33","Hemoglobin A1C Concentration in Blood"
"Adverse Event Prespecified","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/AEPRESP","d97a1e4a-8f0d-4f1e-ba90-a4862d64befb","BiomedicalConcept","['Adverse Event', 'Solicited Adverse Event']","BiomedicalConcept_1","Adverse Event Prespecified"
"Systolic Blood Pressure","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP","a409ff13-d9e2-4cf9-b159-3e3bab20ce45","BiomedicalConcept","['SYSBP', 'Systolic Blood Pressure']","BiomedicalConcept_2","Systolic Blood Pressure"
"Diastolic Blood Pressure","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP","c1067f86-1a68-4b42-82e8-79a30dab5624","BiomedicalConcept","['DIABP', 'Diastolic Blood Pressure']","BiomedicalConcept_3","Diastolic Blood Pressure"
"Temperature","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/TEMP","d50106d7-e929-436a-92eb-2e0e310f54cb","BiomedicalConcept","['Temperature', 'Body Temperature']","BiomedicalConcept_4","Temperature"
"Weight","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/WEIGHT","01f0a450-a140-4cac-9f76-a552b557b56d","BiomedicalConcept","['Weight', 'Body Weight']","BiomedicalConcept_5","Weight"
"Height","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HEIGHT","833ddc2c-f9e4-492c-a7cc-16d85b38124a","BiomedicalConcept","['Height', 'Body Height']","BiomedicalConcept_6","Height"
"Alanine Aminotransferase Concentration in Serum/Plasma","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALTSERPL","ff65bc3f-48c3-4738-9ed1-3fef105751ee","BiomedicalConcept","['ALT', 'SGPT', 'Alanine Aminotransferase Measurement']","BiomedicalConcept_7","Alanine Aminotransferase Concentration in Serum/Plasma"
"Albumin Presence in Urine","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/ALBURINPRES","528ad5df-1333-49e0-8af2-486d1debcc3c","BiomedicalConcept","['Albumin', 'Albumin Measurement']","BiomedicalConcept_8","Albumin Presence in Urine"
"Alkaline Phosphatase Concentration in Serum/Plasma","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALPSERPL","42d16589-3d57-4641-9233-3e8bbe6ba332","BiomedicalConcept","['Alkaline Phosphatase', 'Alkaline Phosphatase Measurement']","BiomedicalConcept_9","Alkaline Phosphatase Concentration in Serum/Plasma"
"Aspartate Aminotransferase in Serum/Plasma","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ASTSERPL","dda067db-80f3-4677-8eb6-b298b2a1fce9","BiomedicalConcept","['AST', 'SGOT', 'Aspartate Aminotransferase Measurement']","BiomedicalConcept_10","Aspartate Aminotransferase in Serum/Plasma"
"Creatinine Concentration in Urine","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/CREATURIN","1ecac6fb-a5a2-41be-b278-5de5f7791fd5","BiomedicalConcept","['Creatinine', 'Creatinine Measurement']","BiomedicalConcept_11","Creatinine Concentration in Urine"
"Potassium Concentration in Urine","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/KURIN","0526dd67-70c1-4791-8cb7-b69e2947e890","BiomedicalConcept","['Potassium', 'K', 'Potassium Measurement']","BiomedicalConcept_12","Potassium Concentration in Urine"
"Sodium Concentration in Urine","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SODIUMURIN","ffec883c-2c3b-4269-adf3-6b954086a98a","BiomedicalConcept","['Sodium', 'NA', 'Sodium Measurement']","BiomedicalConcept_13","Sodium Concentration in Urine"
"Systolic Blood Pressure","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP","4ba34ff8-6ea1-4c5a-91cb-a921116d6c99","BiomedicalConcept","['SYSBP', 'Systolic Blood Pressure']","BiomedicalConcept_14","Systolic Blood Pressure"
"Diastolic Blood Pressure","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP","61dc6d4e-b594-46a7-a232-5a190b8494d1","BiomedicalConcept","['DIABP', 'Diastolic Blood Pressure']","BiomedicalConcept_15","Diastolic Blood Pressure"
"Heart Rate","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HR","3d48345d-c4e0-461e-ab61-c0e522cee805","BiomedicalConcept","['Heart Rate']","BiomedicalConcept_16","Heart Rate"
"Systolic Blood Pressure","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP","573c7bfc-27a6-42a2-81d9-c26b731db076","BiomedicalConcept","['SYSBP', 'Systolic Blood Pressure']","BiomedicalConcept_17","Systolic Blood Pressure"
"Diastolic Blood Pressure","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP","f7cfd544-e48a-497d-b4f3-4230ea026a0c","BiomedicalConcept","['DIABP', 'Diastolic Blood Pressure']","BiomedicalConcept_18","Diastolic Blood Pressure"
"Heart Rate","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HR","cd501340-8dba-4378-abf4-e15e62e3ce35","BiomedicalConcept","['Heart Rate']","BiomedicalConcept_19","Heart Rate"
