"decode","codeSystemVersion","uuid:ID","instanceType","code","id","codeSystem"
"In Person","2023-12-15","2d2ae4ee-16ca-4a6a-89bd-aed8d940660b","Code","C175574","Code_85","http://www.cdisc.org"
"Visit","2023-12-15","fc44ceac-8884-4d5d-8ce4-97808acebe49","Code","C25716","Code_86","http://www.cdisc.org"
"Clinic","2023-12-15","df68db14-9ba0-432a-8e6f-7a657cfc3dfd","Code","C51282","Code_87","http://www.cdisc.org"
"In Person","2023-12-15","973d6c22-a23b-4798-a7b4-aab283c5a292","Code","C175574","Code_88","http://www.cdisc.org"
"Visit","2023-12-15","53150647-dd8a-4618-990a-cac558f61346","Code","C25716","Code_89","http://www.cdisc.org"
"Clinic","2023-12-15","d84e2b2d-480e-4646-85a5-a0f8fbc6adb9","Code","C51282","Code_90","http://www.cdisc.org"
"In Person","2023-12-15","81b7c144-261a-4b26-8a41-e9431f75feea","Code","C175574","Code_91","http://www.cdisc.org"
"Visit","2023-12-15","b9ebd7ee-4510-43a1-b317-f6e6d6b64081","Code","C25716","Code_92","http://www.cdisc.org"
"Clinic","2023-12-15","8f78f227-8a5b-490a-830d-63f6b0d97bbe","Code","C51282","Code_93","http://www.cdisc.org"
"In Person","2023-12-15","db3600dd-3637-4fa2-aa68-3db5518fae74","Code","C175574","Code_94","http://www.cdisc.org"
"Visit","2023-12-15","6edff36b-3625-41ee-8373-192587877532","Code","C25716","Code_95","http://www.cdisc.org"
"Clinic","2023-12-15","44010ea1-dd5d-4889-83bf-f0f40ba37fd1","Code","C51282","Code_96","http://www.cdisc.org"
"In Person","2023-12-15","ec90c400-58fe-441d-af57-594d4f8b0202","Code","C175574","Code_97","http://www.cdisc.org"
"Visit","2023-12-15","487e3252-7d49-49d0-b76b-fbbc67a40b61","Code","C25716","Code_98","http://www.cdisc.org"
"Clinic","2023-12-15","75a6f3ea-3170-4324-9f49-765300b56b82","Code","C51282","Code_99","http://www.cdisc.org"
"In Person","2023-12-15","533587b2-895a-46ce-a639-9e7c4bbd63f1","Code","C175574","Code_100","http://www.cdisc.org"
"Visit","2023-12-15","fb6231cd-1291-46cd-9df3-b87e86517e21","Code","C25716","Code_101","http://www.cdisc.org"
"Clinic","2023-12-15","477706aa-86f0-45b1-8019-cb778d97d176","Code","C51282","Code_102","http://www.cdisc.org"
"In Person","2023-12-15","fe025bd5-e792-4301-bbac-a0cc6193dab7","Code","C175574","Code_103","http://www.cdisc.org"
"Telephone Call","2023-12-15","0fecf770-cc51-42a0-a426-78f4d2ab7d82","Code","C171537","Code_104","http://www.cdisc.org"
"Visit","2023-12-15","31cea0da-fc4e-4437-a17c-04a25c86efe3","Code","C25716","Code_105","http://www.cdisc.org"
"Clinic","2023-12-15","8e5cff41-83d1-4045-9b6d-64ab47491305","Code","C51282","Code_106","http://www.cdisc.org"
"In Person","2023-12-15","e145415c-9857-4641-9875-1f6ca00d267b","Code","C175574","Code_107","http://www.cdisc.org"
"Telephone Call","2023-12-15","99ffd74b-1e4d-4f76-ab74-95edde563ca4","Code","C171537","Code_108","http://www.cdisc.org"
"Visit","2023-12-15","d5e84492-d4bf-4903-92c4-565d55185e83","Code","C25716","Code_109","http://www.cdisc.org"
"Clinic","2023-12-15","5aa57cbd-d8a5-4c72-a733-61e4410daa99","Code","C51282","Code_110","http://www.cdisc.org"
"In Person","2023-12-15","8941ec0d-84aa-448e-bd6a-0cefc1228d01","Code","C175574","Code_111","http://www.cdisc.org"
"Telephone Call","2023-12-15","aa23fde2-ac5b-4743-998c-b842827bc47c","Code","C171537","Code_112","http://www.cdisc.org"
"Visit","2023-12-15","e5ee585e-f9ab-4d8d-b44a-67322ea50e85","Code","C25716","Code_113","http://www.cdisc.org"
"Clinic","2023-12-15","06317731-f654-4d39-a906-e7ff62ac3e51","Code","C51282","Code_114","http://www.cdisc.org"
"In Person","2023-12-15","ec166cfc-1226-4132-b320-45e84788dc62","Code","C175574","Code_115","http://www.cdisc.org"
"Telephone Call","2023-12-15","512799b6-709c-479b-b9b2-ff810ee01049","Code","C171537","Code_116","http://www.cdisc.org"
"Visit","2023-12-15","7e99b7bc-4a75-427f-8584-2698445b6536","Code","C25716","Code_117","http://www.cdisc.org"
"Clinic","2023-12-15","3f3e067f-28bf-47e7-894b-8999549f2d41","Code","C51282","Code_118","http://www.cdisc.org"
"In Person","2023-12-15","64cca548-ca30-4e83-bf55-eb1b215e2d62","Code","C175574","Code_119","http://www.cdisc.org"
"Visit","2023-12-15","bc502dd6-5bca-4544-a77d-33a45d6faf16","Code","C25716","Code_120","http://www.cdisc.org"
"Clinic","2023-12-15","647bc994-92b6-4131-8583-624c792119dc","Code","C51282","Code_121","http://www.cdisc.org"
"In Person","2023-12-15","d78cb243-77d8-4165-9479-212a08363794","Code","C175574","Code_122","http://www.cdisc.org"
"CT of head without contrast","January 31, 2018","240761f4-0686-4cf2-86a1-6c1c947d6112","Code","383371000119108","Code_80","SNOMED"
"Subject Supine","12","70988231-afec-4721-a1e3-c79e84dfbae8","Code","123","Code_81","SPONSOR"
"Subject Standing","12","3f67a033-6ed1-48d0-8278-b102dc70cb36","Code","124","Code_82","SPONSOR"
"Dictionary-derived Term","2023-12-15","a4cc420d-255e-4030-8392-957197bf343c","Code","C82977","Code_429","http://www.cdisc.org"
"Reported Event Term","2023-12-15","c757bef1-b212-4415-acdd-93e19b755c9c","Code","C82571","Code_430","http://www.cdisc.org"
"Observation Start Date Time","2023-12-15","7bf23cb7-3e4b-4a49-b888-c61aea66d25b","Code","C82517","Code_431","http://www.cdisc.org"
"Informed Consent","2023-12-15","15a55f69-0a52-4132-814e-bec38b194725","Code","C16735","Code_432","http://www.cdisc.org"
"Male","2023-12-15","4a369313-5570-415f-a463-13b9598f9898","Code","C20197","Code_433","http://www.cdisc.org"
"Female","2023-12-15","cead8114-b646-4647-bd89-eeac39a8bab6","Code","C16576","Code_434","http://www.cdisc.org"
"Sex","2023-12-15","6db66840-9596-414f-9ff3-749d5f8514dd","Code","C28421","Code_435","http://www.cdisc.org"
"Sex","2023-12-15","dcafe1ec-a506-4008-aea3-b7c27fe5a125","Code","C28421","Code_436","http://www.cdisc.org"
"Race","2023-12-15","8c952a91-8c29-4553-ac4f-e4c74f7ff7ea","Code","C17049","Code_437","http://www.cdisc.org"
"Race","2023-12-15","ed11ae1f-b4e5-4c6f-bbd2-43462ecaa244","Code","C17049","Code_438","http://www.cdisc.org"
"TEMP","2023-12-15","7377f87e-daa7-4e57-9aed-3ba21ae0db20","Code","C174446","Code_439","http://www.cdisc.org"
"Clinical Test Result","2023-12-15","8ec91ef6-4ce7-4651-8302-ae55c88a71d1","Code","C77140","Code_440","http://www.cdisc.org"
"Degree Celsius","2023-12-15","35073c6f-59dc-4fb1-926e-8ec16fc97456","Code","C42559","Code_441","http://www.cdisc.org"
"Degree Fahrenheit","2023-12-15","281733b1-5574-4c8f-9017-c09c8c1b1d07","Code","C44277","Code_442","http://www.cdisc.org"
"Kelvin","2023-12-15","5bdbe21c-4525-44e4-a8ef-d3843c65f64c","Code","C42537","Code_443","http://www.cdisc.org"
"Unit of Temperature","2023-12-15","22e1341c-0d7f-49ea-993a-32187d952570","Code","C44276","Code_444","http://www.cdisc.org"
"Axilla","2023-12-15","0b386eb2-3351-4270-ad9e-c93626a1fedd","Code","C12674","Code_445","http://www.cdisc.org"
"Ear","2023-12-15","9861ea21-38bf-4942-b7a1-d3bd44f1f50f","Code","C12394","Code_446","http://www.cdisc.org"
"Forehead","2023-12-15","8237c527-8075-4196-9775-627dfe06c062","Code","C89803","Code_447","http://www.cdisc.org"
"Oral Cavity","2023-12-15","b1250586-7ceb-4014-b038-91d0d3d1d2b4","Code","C12421","Code_448","http://www.cdisc.org"
"Rectum","2023-12-15","58d6938b-3eec-4728-886b-d775cb44801a","Code","C12390","Code_449","http://www.cdisc.org"
"Anatomic Site","2023-12-15","65a9c2dc-cfb7-419a-85c6-b4dd2c402781","Code","C13717","Code_450","http://www.cdisc.org"
"TEMP","2023-12-15","2cfae06f-1f57-474c-b85e-c3651d228ee1","Code","C174446","Code_451","http://www.cdisc.org"
"WEIGHT","2023-12-15","33eb75ac-e271-4a69-8ee3-2feb100e1357","Code","C25208","Code_452","http://www.cdisc.org"
"Clinical Test Result","2023-12-15","71387302-6505-4f1e-8ce6-8db97ebf89b0","Code","C77140","Code_453","http://www.cdisc.org"
"Pound","2023-12-15","cacbca07-1748-4c6d-9ddb-db248bca8593","Code","C48531","Code_454","http://www.cdisc.org"
"Gram","2023-12-15","a319d6d0-6eaf-4448-b94a-726ebe4e3aaa","Code","C48155","Code_455","http://www.cdisc.org"
"Kilogram","2023-12-15","19459e6b-f77f-441d-a482-185bc0219bec","Code","C28252","Code_456","http://www.cdisc.org"
"Unit of Weight","2023-12-15","7e1d742a-f04d-4c57-8d4a-3d62e54848aa","Code","C48208","Code_457","http://www.cdisc.org"
"WEIGHT","2023-12-15","971c1df9-152d-4e0e-b3a3-9f48ca761e0f","Code","C25208","Code_458","http://www.cdisc.org"
"HEIGHT","2023-12-15","62d8591f-9dbd-4bd4-a52b-2d1dae00b0c1","Code","C25347","Code_459","http://www.cdisc.org"
"Clinical Test Result","2023-12-15","1fc7ade3-899f-476f-8802-4d217052cfa0","Code","C77140","Code_460","http://www.cdisc.org"
"Centimeter","2023-12-15","fcefdb5a-6c39-40a7-9cb8-8a6719dfba93","Code","C49668","Code_461","http://www.cdisc.org"
"Inch","2023-12-15","e89fd2b6-4b09-45a2-aef0-e6784de06337","Code","C48500","Code_462","http://www.cdisc.org"
"Meter","2023-12-15","d1084f51-3cc9-4089-9f3f-2f4e9a972ba3","Code","C41139","Code_463","http://www.cdisc.org"
"Unit of Height","2023-12-15","859c31af-4f17-45ab-ad4a-c6ac9dc7be79","Code","C168688","Code_464","http://www.cdisc.org"
"HEIGHT","2023-12-15","5fb930ef-75e1-43b1-91d2-4cf461b6072e","Code","C25347","Code_465","http://www.cdisc.org"
"ALT","2023-12-15","f63d5e75-dbd3-48f0-9b1b-f2b1df4073c2","Code","C64433","Code_466","http://www.cdisc.org"
"Laboratory Test Result","2023-12-15","5ad6dfed-b731-4630-9d9b-bb9a99c12632","Code","C36292","Code_467","http://www.cdisc.org"
"Unit per Liter","2023-12-15","fa8b33a6-7120-4003-9e9b-725b20513bea","Code","C67456","Code_468","http://www.cdisc.org"
"Microkatal per Liter","2023-12-15","5ffab9f2-18e5-42fb-acdb-70f9356b2c94","Code","C67397","Code_469","http://www.cdisc.org"
"International Unit per Liter","2023-12-15","8f9b3ebb-c94a-4961-95fe-356e040251e0","Code","C67376","Code_470","http://www.cdisc.org"
"Nanokatal per Liter","2023-12-15","66c7aa5c-2264-46b3-ae8b-bfddec23c2c0","Code","C70510","Code_471","http://www.cdisc.org"
"Unit of Catalytic Activity Concentration","2023-12-15","e018de98-5332-49fe-82a6-9f55c6586c48","Code","C67365","Code_472","http://www.cdisc.org"
"Biospecimen Type","2023-12-15","6e72a074-8ff6-4f22-842b-4616daa98fb0","Code","C70713","Code_473","http://www.cdisc.org"
"No","2023-12-15","c771816e-7bbf-4ac9-aadc-551a2c90cbef","Code","C49487","Code_474","http://www.cdisc.org"
"Yes","2023-12-15","46094aa8-c442-4ce9-9aec-fab2bb1dbd01","Code","C49488","Code_475","http://www.cdisc.org"
"Laboratory Test Fasting Status","2023-12-15","b26e56c5-0cb7-45a6-84ce-37aa909c0e0c","Code","C83309","Code_476","http://www.cdisc.org"
"ALT","2023-12-15","cf6f7b75-2b68-4d1f-af9b-eeeaa0c31a84","Code","C64433","Code_477","http://www.cdisc.org"
"ALB","2023-12-15","dad03142-6e18-4b94-83af-7bb8d7f8c217","Code","C64431","Code_478","http://www.cdisc.org"
"Laboratory Test Result","2023-12-15","09a5a76f-9839-4ef1-989d-73d1ad75e6fa","Code","C36292","Code_479","http://www.cdisc.org"
"Biospecimen Type","2023-12-15","275c7eee-7d4b-4212-99fc-b77c1f64044d","Code","C70713","Code_480","http://www.cdisc.org"
"No","2023-12-15","ec79952c-4a33-4c99-b78d-11a49da04b89","Code","C49487","Code_481","http://www.cdisc.org"
"Yes","2023-12-15","d688ef29-3df0-4edc-a717-d0f2b0c0e00d","Code","C49488","Code_482","http://www.cdisc.org"
"Laboratory Test Fasting Status","2023-12-15","bb2c1615-bcfe-41ff-a278-4f3b9846991d","Code","C83309","Code_483","http://www.cdisc.org"
"ALB","2023-12-15","8a49261d-a6db-47ef-98e6-d7d6d8a0693a","Code","C64431","Code_484","http://www.cdisc.org"
"ALP","2023-12-15","9f3ef71d-ff2d-4c62-b190-9b8a4f421cd0","Code","C64432","Code_485","http://www.cdisc.org"
"Laboratory Test Result","2023-12-15","664043d2-236b-4ec1-8284-5564598264fc","Code","C36292","Code_486","http://www.cdisc.org"
"Unit per Liter","2023-12-15","ac8ef340-79ed-4e1c-aeda-62c475d825a6","Code","C67456","Code_487","http://www.cdisc.org"
"Microkatal per Liter","2023-12-15","619c0fcf-7d94-4885-b925-9eeb49f5b028","Code","C67397","Code_488","http://www.cdisc.org"
"International Unit per Liter","2023-12-15","d9e0723a-f836-4911-9748-02d64dd6ca34","Code","C67376","Code_489","http://www.cdisc.org"
"Unit of Catalytic Activity Concentration","2023-12-15","d9cdcb3c-37af-4d38-903b-8b679d57731d","Code","C67365","Code_490","http://www.cdisc.org"
"Biospecimen Type","2023-12-15","b814be17-34ee-47bf-8e28-6be061aea3f6","Code","C70713","Code_491","http://www.cdisc.org"
"No","2023-12-15","5c6c326b-27e7-4364-a823-d03a72b0761b","Code","C49487","Code_492","http://www.cdisc.org"
"Yes","2023-12-15","76c5f684-459b-4cc1-8500-e887a0bd4c1f","Code","C49488","Code_493","http://www.cdisc.org"
"Laboratory Test Fasting Status","2023-12-15","aa402e73-8d62-4c33-99d8-d5381af29461","Code","C83309","Code_494","http://www.cdisc.org"
"ALP","2023-12-15","da4f2a26-57aa-45df-bc8f-1eae9f0ca026","Code","C64432","Code_495","http://www.cdisc.org"
"AST","2023-12-15","49c5285d-53c7-487f-899b-f82a452567c1","Code","C64467","Code_496","http://www.cdisc.org"
"Laboratory Test Result","2023-12-15","65ecf8b7-62f2-44c5-8ff1-18962c86e64f","Code","C36292","Code_497","http://www.cdisc.org"
"Unit per Liter","2023-12-15","f96e81e5-4a04-4a45-9d4c-4abf45121c4f","Code","C67456","Code_498","http://www.cdisc.org"
"Microkatal per Liter","2023-12-15","28d5afa2-39f9-43c1-83a7-c6ea6355e0e5","Code","C67397","Code_499","http://www.cdisc.org"
"International Unit per Liter","2023-12-15","4585f5ec-9ffb-44c9-840f-8102a96d87d7","Code","C67376","Code_500","http://www.cdisc.org"
"Unit of Catalytic Activity Concentration","2023-12-15","5d1b57e6-682c-413d-8598-6a23fb9a0c08","Code","C67365","Code_501","http://www.cdisc.org"
"Biospecimen Type","2023-12-15","8af2e279-f15d-49ef-b2ae-98d0dce99ad5","Code","C70713","Code_502","http://www.cdisc.org"
"No","2023-12-15","be28a910-861b-44eb-b722-875cc07fba15","Code","C49487","Code_503","http://www.cdisc.org"
"Yes","2023-12-15","e7dfecab-faef-42d2-8256-55666094d4ee","Code","C49488","Code_504","http://www.cdisc.org"
"Laboratory Test Fasting Status","2023-12-15","465fbc7e-12db-4343-8909-5bb901cb042f","Code","C83309","Code_505","http://www.cdisc.org"
"AST","2023-12-15","789394ac-f53b-45e6-9527-dc016848715b","Code","C64467","Code_506","http://www.cdisc.org"
"CREAT","2023-12-15","a7843e47-ed70-4209-a7de-8c51ddf35956","Code","C64547","Code_507","http://www.cdisc.org"
"Laboratory Test Result","2023-12-15","3844a543-c2fd-4121-bf40-16c7b6682b8b","Code","C36292","Code_508","http://www.cdisc.org"
"Milligram per Deciliter","2023-12-15","9e3e8433-4863-4ffe-a091-cda765c475db","Code","C67015","Code_509","http://www.cdisc.org"
"Microgram per Milliliter","2023-12-15","6ba61d7c-c683-412e-9952-4898ec40b1ac","Code","C64572","Code_510","http://www.cdisc.org"
"Millimole per Liter","2023-12-15","0e608bf5-587f-436e-ae40-48aaecf7cd2b","Code","C64387","Code_511","http://www.cdisc.org"
"Micromole per Liter","2023-12-15","fc140729-0379-4eda-8b44-37626932cb6f","Code","C48508","Code_512","http://www.cdisc.org"
"Unit of Concentration","2023-12-15","f9b7a158-d306-43f0-bbbc-8cdf53f3cbfc","Code","C48207","Code_513","http://www.cdisc.org"
"Biospecimen Type","2023-12-15","5a3a9f6e-412a-46dc-addc-7bfd828cdb38","Code","C70713","Code_514","http://www.cdisc.org"
"No","2023-12-15","9500c8e8-ee64-4054-b24b-b2fd8f65193d","Code","C49487","Code_515","http://www.cdisc.org"
"Yes","2023-12-15","6b04fc35-f574-444d-abed-289ca9d7772e","Code","C49488","Code_516","http://www.cdisc.org"
"Laboratory Test Fasting Status","2023-12-15","3710df08-de26-4dd1-a747-2b5229d2dce5","Code","C83309","Code_517","http://www.cdisc.org"
"CREAT","2023-12-15","12f46a75-a354-43a2-9a29-f2d6d33939ef","Code","C64547","Code_518","http://www.cdisc.org"
"K","2023-12-15","6d74c5d1-7915-415d-8cd2-5f10c9e9e93d","Code","C64853","Code_519","http://www.cdisc.org"
"Laboratory Test Result","2023-12-15","541ee1fd-789f-4e21-9df6-bf78e59ff0ab","Code","C36292","Code_520","http://www.cdisc.org"
"Milliequivalent per Liter","2023-12-15","a54ae583-12a2-4eec-99db-740221666c8d","Code","C67474","Code_521","http://www.cdisc.org"
"Milliequivalent per Deciliter","2023-12-15","98a7d6b5-db92-4aa6-bfb1-314188699c63","Code","C67473","Code_522","http://www.cdisc.org"
"Millimole per Liter","2023-12-15","9a2ba531-d7da-45a0-a4e4-fe0686ec8169","Code","C64387","Code_523","http://www.cdisc.org"
"Molarity Unit","2023-12-15","ae0e6f43-cbb8-4d36-a8d5-43af4d6fff2c","Code","C64567","Code_524","http://www.cdisc.org"
"Biospecimen Type","2023-12-15","8c640d8f-69c5-4cca-a2d1-4ddcd77fa406","Code","C70713","Code_525","http://www.cdisc.org"
"No","2023-12-15","e505539d-2197-4e82-8eda-22f7a6ad3ffc","Code","C49487","Code_526","http://www.cdisc.org"
"Yes","2023-12-15","d89d0cd0-25c1-4071-be2d-b923f2b2f528","Code","C49488","Code_527","http://www.cdisc.org"
"Laboratory Test Fasting Status","2023-12-15","f7da7295-0b85-4316-a06c-ea8b12ac6b79","Code","C83309","Code_528","http://www.cdisc.org"
"K","2023-12-15","375eac9f-83ce-493b-aa21-cf7b11d40c40","Code","C64853","Code_529","http://www.cdisc.org"
"SODIUM","2023-12-15","5351d81a-dfe1-4d63-b13b-5aa5cfc83deb","Code","C64809","Code_530","http://www.cdisc.org"
"Laboratory Test Result","2023-12-15","b8e1125d-c9fe-48f0-a9eb-1a041828df2d","Code","C36292","Code_531","http://www.cdisc.org"
"Milliequivalent per Liter","2023-12-15","890a2229-91df-44bb-bba4-c723774ed204","Code","C67474","Code_532","http://www.cdisc.org"
"Milliequivalent per Deciliter","2023-12-15","f0d09d4e-1fd0-46d8-9b70-b202dd933831","Code","C67473","Code_533","http://www.cdisc.org"
"Millimole per Liter","2023-12-15","5be0ec41-a8c3-40f0-99ed-24ca02092385","Code","C64387","Code_534","http://www.cdisc.org"
"Molarity Unit","2023-12-15","82cde16c-ce06-422a-892c-d759693e07e2","Code","C64567","Code_535","http://www.cdisc.org"
"Biospecimen Type","2023-12-15","d9768ca1-d92e-45c2-aa30-7649a7d37a16","Code","C70713","Code_536","http://www.cdisc.org"
"No","2023-12-15","08cffae0-7d59-43bf-b143-6c0ab41254af","Code","C49487","Code_537","http://www.cdisc.org"
"Yes","2023-12-15","e4b47c80-3392-4625-be58-1b9ef48f6ca9","Code","C49488","Code_538","http://www.cdisc.org"
"Laboratory Test Fasting Status","2023-12-15","edbfede0-e2d9-447a-bc8c-147defcce0b0","Code","C83309","Code_539","http://www.cdisc.org"
"SODIUM","2023-12-15","bd0aedcd-07c3-421e-9205-ad644303ec69","Code","C64809","Code_540","http://www.cdisc.org"
"HBA1C","2023-12-15","a6c2ce95-83a6-4feb-be40-d963850163dd","Code","C64849","Code_541","http://www.cdisc.org"
"Laboratory Test Result","2023-12-15","34ca3a0f-a3d4-4182-8f7a-dc59d55a11c3","Code","C36292","Code_542","http://www.cdisc.org"
"Gram per Deciliter","2023-12-15","e97cc4f5-7792-482e-849e-be066a9b850c","Code","C64783","Code_543","http://www.cdisc.org"
"LBORRESU","2023-12-15","b6c735e5-61ac-41a2-b1d7-be6a15e99d58","Code","No Concept Code","Code_544","http://www.cdisc.org"
"Biospecimen Type","2023-12-15","a387eac6-ff97-46a4-9b3b-fd5729138368","Code","C70713","Code_545","http://www.cdisc.org"
"No","2023-12-15","ced7d89a-07c7-4de3-b0b3-7fb304a1b687","Code","C49487","Code_546","http://www.cdisc.org"
"Yes","2023-12-15","058b899f-0e8c-4a4e-9fc9-54cdcfc0404e","Code","C49488","Code_547","http://www.cdisc.org"
"Laboratory Test Fasting Status","2023-12-15","80986144-5edc-4e19-b245-5aa66c0d6694","Code","C83309","Code_548","http://www.cdisc.org"
"HBA1C","2023-12-15","4602b1ba-d102-41e9-accc-fd49291f1e0c","Code","C64849","Code_549","http://www.cdisc.org"
"Adverse Event Verbatim Description","2023-12-15","88047462-3525-4450-88ed-d79f1aea1c32","Code","C78541","Code_145","http://www.cdisc.org"
"Adverse Event Dictionary Derived Term","2023-12-15","1e9d9bab-c166-4749-bcbf-4fba6d053ad3","Code","C83344","Code_146","http://www.cdisc.org"
"No","2023-12-15","dda95e14-6967-4b34-8682-f8403e8b9f6a","Code","C49487","Code_147","http://www.cdisc.org"
"Yes","2023-12-15","4dcd72ec-de95-4779-b5b7-0b1cda5ac8a5","Code","C49488","Code_148","http://www.cdisc.org"
"Adverse Event Pre-specified","2023-12-15","22b8b375-f981-41c9-9412-5fb33a2f8b3e","Code","C87840","Code_149","http://www.cdisc.org"
"Adverse Event Location","2023-12-15","c141f266-fde8-4028-b141-da1d24afe180","Code","C83205","Code_150","http://www.cdisc.org"
"Severity of Adverse Event","2023-12-15","94f98c22-3d35-430c-943a-fb885e29b3ed","Code","C53253","Code_151","http://www.cdisc.org"
"No","2023-12-15","5d541d1a-2c4e-409a-9543-03318e706f9e","Code","C49487","Code_152","http://www.cdisc.org"
"Yes","2023-12-15","891b18c1-4381-4fc6-8dfc-53d7d6258492","Code","C49488","Code_153","http://www.cdisc.org"
"Seriousness of Adverse Event","2023-12-15","fbfa65a5-0c58-4964-986f-a193e0d15ddf","Code","C53252","Code_154","http://www.cdisc.org"
"Adverse Event Action Taken with Study Treatment","2023-12-15","ca49ff54-3eb1-4ed0-a2ac-f3b7b911cf78","Code","C83013","Code_155","http://www.cdisc.org"
"Other Actions taken in Response to Adverse Event","2023-12-15","89d7b960-4279-4f7d-a8c3-22b13dc0ade4","Code","C83109","Code_156","http://www.cdisc.org"
"Adverse Event Attribution to Product or Procedure","2023-12-15","986c2093-597c-4935-a7a9-ea35f5541ae3","Code","C41358","Code_157","http://www.cdisc.org"
"Adverse Event Relationship to Non Study Treatment","2023-12-15","1aa8ae9c-c15e-4645-a804-362002550b7d","Code","C83210","Code_158","http://www.cdisc.org"
"Adverse Event Pattern","2023-12-15","41bccf4d-427b-4bd0-bcb6-5124cb1656f0","Code","C83208","Code_159","http://www.cdisc.org"
"Adverse Event Outcome","2023-12-15","3ca3adca-e624-401f-890b-46506d9430b6","Code","C49489","Code_160","http://www.cdisc.org"
"No","2023-12-15","c17430bc-5523-42e4-b17d-525dac44181d","Code","C49487","Code_161","http://www.cdisc.org"
"Yes","2023-12-15","6088a8cd-daa3-4e88-9e04-5fce2fc1a14e","Code","C49488","Code_162","http://www.cdisc.org"
"Adverse Event Involves Cancer","2023-12-15","bd41e611-4cbf-4518-8af3-6e70861357d2","Code","C83211","Code_163","http://www.cdisc.org"
"No","2023-12-15","6b14dadc-16c6-4483-852f-070220f3690c","Code","C49487","Code_164","http://www.cdisc.org"
"Yes","2023-12-15","f4ad188f-3162-46b6-863d-f44fd04472d3","Code","C49488","Code_165","http://www.cdisc.org"
"Adverse Event Seriousness Due to Congenital Anomaly","2023-12-15","d4922b91-a867-4685-85ed-ea7fb3ce3b53","Code","C83117","Code_166","http://www.cdisc.org"
"No","2023-12-15","8b159218-64d9-44ae-aa0b-c5c3ea01683a","Code","C49487","Code_167","http://www.cdisc.org"
"Yes","2023-12-15","a771b99c-fb75-4e25-9ecd-4d46bd80606d","Code","C49488","Code_168","http://www.cdisc.org"
